" Daily soil water balance output for Alfalfa in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for  Alfalfa at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"2015.0","2.0","13.0","44.0","781.0","0.88","0.9","0.0","2.11","0.9","1.9","0.0","0.0","0.0","0.0","25.77","106.76","498.58","249.29","472.81","391.82","0.0","","","","","","",""
"2015.0","2.0","14.0","45.0","781.0","0.8","0.9","0.0","2.23","0.9","2.01","0.0","0.0","0.0","0.0","27.77","106.76","498.58","249.29","470.81","391.82","0.0","","","","","","",""
"2015.0","2.0","15.0","46.0","781.0","0.73","0.9","0.0","2.13","0.9","1.92","0.0","0.0","0.0","0.0","29.69","106.76","498.58","249.29","468.89","391.82","0.0","","","","","","",""
"2015.0","2.0","16.0","47.0","781.0","0.69","0.9","0.0","2.07","0.9","1.86","0.0","0.0","0.0","0.0","31.55","106.76","498.58","249.29","467.03","391.82","0.0","","","","","","",""
"2015.0","2.0","17.0","48.0","781.0","0.65","0.9","0.0","1.78","0.9","1.6","0.0","0.0","0.0","0.0","33.16","106.76","498.58","249.29","465.42","391.82","0.0","","","","","","",""
"2015.0","2.0","18.0","49.0","781.0","0.62","0.9","0.0","1.83","0.9","1.65","0.0","0.0","0.0","0.0","34.8","106.76","498.58","249.29","463.78","391.82","0.0","","","","","","",""
"2015.0","2.0","19.0","50.0","781.0","0.6","0.9","0.0","1.16","0.9","1.04","0.0","0.0","0.0","0.0","35.85","106.76","498.58","249.29","462.73","391.82","0.0","","","","","","",""
"2015.0","2.0","20.0","51.0","781.0","0.58","0.9","0.0","1.9","0.9","1.71","0.0","0.0","0.0","0.0","37.56","106.76","498.58","249.29","461.02","391.82","0.0","","","","","","",""
"2015.0","2.0","21.0","52.0","781.0","0.56","0.9","0.0","1.8","0.9","1.62","0.0","0.0","0.0","0.0","39.18","106.76","498.58","249.29","459.4","391.82","0.0","","","","","","",""
"2015.0","2.0","22.0","53.0","781.0","0.53","0.9","0.0","2.86","0.9","2.57","0.0","0.0","0.0","0.0","41.75","106.76","498.58","249.29","456.83","391.82","0.0","","","","","","",""
"2015.0","2.0","23.0","54.0","781.0","0.5","0.9","0.0","3.4","0.9","3.06","0.0","0.0","0.0","0.0","44.81","106.76","498.58","249.29","453.77","391.82","0.0","","","","","","",""
"2015.0","2.0","24.0","55.0","781.0","0.48","0.9","0.0","2.7","0.9","2.43","0.0","0.0","0.0","0.0","47.24","106.76","498.58","249.29","451.34","391.82","0.0","","","","","","",""
"2015.0","2.0","25.0","56.0","781.0","0.46","0.9","0.0","2.19","0.9","1.97","0.0","0.0","0.0","0.0","49.21","106.76","498.58","249.29","449.37","391.82","0.0","","","","","","",""
"2015.0","2.0","26.0","57.0","781.0","0.44","0.9","0.0","2.85","0.9","2.57","0.0","0.0","0.0","0.0","51.78","106.76","498.58","249.29","446.8","391.82","0.0","","","","","","",""
"2015.0","2.0","27.0","58.0","781.0","0.43","0.9","0.0","2.91","0.9","2.62","0.0","0.0","0.0","0.0","54.4","106.76","498.58","249.29","444.18","391.82","0.0","","","","","","",""
"2015.0","2.0","28.0","59.0","781.0","0.42","0.9","0.0","2.05","0.9","1.85","0.0","0.0","0.0","0.0","56.24","106.76","498.58","249.29","442.34","391.82","0.0","","","","","","",""
"2015.0","3.0","1.0","60.0","781.0","0.41","0.9","0.0","2.5","0.9","2.25","0.02","0.02","0.0","0.0","58.47","106.76","498.58","249.29","440.11","391.82","0.0","","","","","","",""
"2015.0","3.0","2.0","61.0","781.0","0.4","0.9","0.0","2.14","0.9","1.93","0.0","0.0","0.0","0.0","60.4","106.76","498.58","249.29","438.18","391.82","0.0","","","","","","",""
"2015.0","3.0","3.0","62.0","781.0","0.39","0.9","0.0","2.47","0.9","2.22","0.02","0.02","0.0","0.0","62.6","106.76","498.58","249.29","435.98","391.82","0.0","","","","","","",""
"2015.0","3.0","4.0","63.0","781.0","0.38","0.9","0.0","2.62","0.9","2.36","0.0","0.0","0.0","0.0","64.96","106.76","498.58","249.29","433.62","391.82","0.0","","","","","","",""
"2015.0","3.0","5.0","64.0","781.0","0.37","0.9","0.0","2.83","0.9","2.55","0.0","0.0","0.0","0.0","67.5","106.76","498.58","249.29","431.08","391.82","0.0","","","","","","",""
"2015.0","3.0","6.0","65.0","781.0","0.36","0.9","0.0","3.01","0.9","2.71","0.0","0.0","0.0","0.0","70.21","106.76","498.58","249.29","428.37","391.82","0.0","","","","","","",""
"2015.0","3.0","7.0","66.0","781.0","0.35","0.9","0.0","2.91","0.9","2.62","0.0","0.0","0.0","0.0","72.83","106.76","498.58","249.29","425.75","391.82","0.0","","","","","","",""
"2015.0","3.0","8.0","67.0","781.0","0.34","0.9","0.0","2.92","0.9","2.63","0.0","0.0","0.0","0.0","75.46","106.76","498.58","249.29","423.12","391.82","0.0","","","","","","",""
"2015.0","3.0","9.0","68.0","781.0","0.33","0.9","0.0","2.84","0.9","2.56","0.0","0.0","0.0","0.0","78.02","106.76","498.58","249.29","420.56","391.82","0.0","","","","","","",""
"2015.0","3.0","10.0","69.0","781.0","0.33","0.9","0.0","2.41","0.9","2.17","0.0","0.0","0.0","0.0","80.19","106.76","498.58","249.29","418.39","391.82","0.0","","","","","","",""
"2015.0","3.0","11.0","70.0","781.0","1.14","0.9","0.0","2.12","1.14","2.41","2.84","2.84","0.0","0.0","79.75","106.76","498.58","249.29","418.83","391.82","0.0","","","","","","",""
"2015.0","3.0","12.0","71.0","781.0","1.09","0.9","0.0","3.28","1.09","3.57","3.22","3.22","0.0","0.0","80.1","106.76","498.58","249.29","418.48","391.82","0.0","","","","","","",""
"2015.0","3.0","13.0","72.0","781.0","1.08","0.9","0.0","3.05","1.08","3.3","0.0","0.0","0.0","0.0","83.4","106.76","498.58","249.29","415.18","391.82","0.0","","","","","","",""
"2015.0","3.0","14.0","73.0","781.0","0.86","0.9","0.0","3.51","0.9","3.16","0.0","0.0","0.0","0.0","86.56","106.76","498.58","249.29","412.02","391.82","0.0","","","","","","",""
"2015.0","3.0","15.0","74.0","781.0","0.73","0.9","0.0","3.83","0.9","3.45","0.0","0.0","0.0","0.0","90.0","106.76","498.58","249.29","408.58","391.82","0.0","","","","","","",""
"2015.0","3.0","16.0","75.0","781.0","0.67","0.9","0.0","2.77","0.9","2.49","0.0","0.0","0.0","0.0","92.5","106.76","498.58","249.29","406.08","391.82","0.0","","","","","","",""
"2015.0","3.0","17.0","76.0","781.0","0.61","0.9","0.0","3.6","0.9","3.24","0.0","0.0","0.0","0.0","95.74","106.76","498.58","249.29","402.84","391.82","0.0","","","","","","",""
"2015.0","3.0","18.0","77.0","781.0","0.56","0.9","0.0","3.7","0.9","3.33","0.0","0.0","0.0","0.0","99.07","106.76","498.58","249.29","399.51","391.82","0.0","","","","","","",""
"2015.0","3.0","19.0","78.0","781.0","0.52","0.9","0.0","3.73","0.9","3.36","0.0","0.0","0.0","0.0","102.42","106.76","498.58","249.29","396.16","391.82","0.0","","","","","","",""
"2015.0","3.0","20.0","79.0","781.0","0.49","0.9","0.0","3.13","0.9","2.82","0.0","0.0","0.0","0.0","105.24","106.76","498.58","249.29","393.34","391.82","0.0","","","","","","",""
"2015.0","3.0","21.0","80.0","781.0","0.46","0.9","0.0","3.46","0.9","3.11","0.0","0.0","0.0","0.0","0.0","106.76","498.58","249.29","498.58","391.82","108.36","","","","","","",""
"2015.0","3.0","22.0","81.0","781.0","0.45","0.9","0.0","2.95","0.9","2.66","0.0","0.0","0.0","0.0","2.66","106.76","498.58","249.29","495.92","391.82","0.0","","","","","","",""
"2015.0","3.0","23.0","82.0","781.0","0.43","0.9","0.0","3.01","0.9","2.71","0.09","0.09","0.0","0.0","5.27","106.76","498.58","249.29","493.31","391.82","0.0","","","","","","",""
"2015.0","3.0","24.0","83.0","781.0","0.41","0.9","0.0","3.29","0.9","2.96","0.0","0.0","0.0","0.0","8.24","106.76","498.58","249.29","490.34","391.82","0.0","","","","","","",""
"2015.0","3.0","25.0","84.0","781.0","0.39","0.9","0.0","3.98","0.9","3.58","0.0","0.0","0.0","0.0","11.82","106.76","498.58","249.29","486.76","391.82","0.0","","","","","","",""
"2015.0","3.0","26.0","85.0","781.0","0.38","0.9","0.0","3.89","0.9","3.5","0.0","0.0","0.0","0.0","15.32","106.76","498.58","249.29","483.26","391.82","0.0","","","","","","",""
"2015.0","3.0","27.0","86.0","781.0","0.36","0.9","0.0","4.2","0.9","3.78","0.0","0.0","0.0","0.0","19.1","106.76","498.58","249.29","479.48","391.82","0.0","","","","","","",""
"2015.0","3.0","28.0","87.0","781.0","0.35","0.9","0.0","4.77","0.9","4.29","0.0","0.0","0.0","0.0","23.39","106.76","498.58","249.29","475.19","391.82","0.0","","","","","","",""
"2015.0","3.0","29.0","88.0","781.0","0.34","0.9","0.0","4.58","0.9","4.12","0.0","0.0","0.0","0.0","27.51","106.76","498.58","249.29","471.07","391.82","0.0","","","","","","",""
"2015.0","3.0","30.0","89.0","781.0","0.32","0.9","0.0","4.37","0.9","3.93","0.0","0.0","0.0","0.0","31.45","106.76","498.58","249.29","467.13","391.82","0.0","","","","","","",""
"2015.0","3.0","31.0","90.0","781.0","0.31","0.9","0.0","4.56","0.9","4.1","0.0","0.0","0.0","0.0","35.55","106.76","498.58","249.29","463.03","391.82","0.0","","","","","","",""
"2015.0","4.0","1.0","91.0","781.0","0.31","0.9","0.0","4.09","0.9","3.68","0.0","0.0","0.0","0.0","39.23","106.76","498.58","249.29","459.35","391.82","0.0","","","","","","",""
"2015.0","4.0","2.0","92.0","781.0","0.3","0.9","0.0","5.22","0.9","4.7","0.0","0.0","0.0","0.0","43.93","106.76","498.58","249.29","454.65","391.82","0.0","","","","","","",""
"2015.0","4.0","3.0","93.0","781.0","0.29","0.9","0.0","4.53","0.9","4.08","0.0","0.0","0.0","0.0","48.01","106.76","498.58","249.29","450.57","391.82","0.0","","","","","","",""
"2015.0","4.0","4.0","94.0","781.0","0.28","0.9","0.0","4.37","0.9","3.93","0.0","0.0","0.0","0.0","51.94","106.76","498.58","249.29","446.64","391.82","0.0","","","","","","",""
"2015.0","4.0","5.0","95.0","781.0","0.28","0.9","0.0","2.64","0.9","2.38","0.82","0.82","0.0","0.0","53.5","106.76","498.58","249.29","445.08","391.82","0.0","","","","","","",""
"2015.0","4.0","6.0","96.0","781.0","0.27","0.9","0.0","2.87","0.9","2.58","1.69","1.69","0.0","0.0","54.39","106.76","498.58","249.29","444.19","391.82","0.0","","","","","","",""
"2015.0","4.0","7.0","97.0","781.0","1.11","0.9","0.0","2.84","1.11","3.14","3.8","3.8","0.0","0.0","53.73","106.76","498.58","249.29","444.85","391.82","0.0","","","","","","",""
"2015.0","4.0","8.0","98.0","781.0","1.09","0.9","0.0","3.15","1.09","3.45","4.57","4.57","0.0","0.0","52.61","106.76","498.58","249.29","445.97","391.82","0.0","","","","","","",""
"2015.0","4.0","9.0","99.0","781.0","1.05","0.9","0.0","3.48","1.05","3.66","0.0","0.0","0.0","0.0","56.27","106.76","498.58","249.29","442.31","391.82","0.0","","","","","","",""
"2015.0","4.0","10.0","100.0","781.0","0.83","0.9","0.0","4.04","0.9","3.64","0.0","0.0","0.0","0.0","59.91","106.76","498.58","249.29","438.67","391.82","0.0","","","","","","",""
"2015.0","4.0","11.0","101.0","781.0","0.7","0.9","0.0","4.18","0.9","3.76","0.0","0.0","0.0","0.0","63.67","106.76","498.58","249.29","434.91","391.82","0.0","","","","","","",""
"2015.0","4.0","12.0","102.0","781.0","0.61","0.9","0.0","4.74","0.9","4.27","0.0","0.0","0.0","0.0","67.93","106.76","498.58","249.29","430.65","391.82","0.0","","","","","","",""
"2015.0","4.0","13.0","103.0","781.0","0.54","0.9","0.0","4.61","0.9","4.15","0.0","0.0","0.0","0.0","72.08","106.76","498.58","249.29","426.5","391.82","0.0","","","","","","",""
"2015.0","4.0","14.0","104.0","781.0","0.49","0.9","0.0","4.9","0.9","4.41","0.0","0.0","0.0","0.0","76.49","106.76","498.58","249.29","422.09","391.82","0.0","","","","","","",""
"2015.0","4.0","15.0","105.0","781.0","0.45","0.9","0.0","5.96","0.9","5.36","0.0","0.0","0.0","0.0","81.86","106.76","498.58","249.29","416.72","391.82","0.0","","","","","","",""
"2015.0","4.0","16.0","106.0","781.0","0.42","0.9","0.0","5.56","0.9","5.0","0.0","0.0","0.0","0.0","86.86","106.76","498.58","249.29","411.72","391.82","0.0","","","","","","",""
"2015.0","4.0","17.0","107.0","781.0","0.39","0.9","0.0","5.25","0.9","4.73","0.0","0.0","0.0","0.0","91.59","106.76","498.58","249.29","406.99","391.82","0.0","","","","","","",""
"2015.0","4.0","18.0","108.0","781.0","0.37","0.9","0.0","4.79","0.9","4.31","0.0","0.0","0.0","0.0","95.9","106.76","498.58","249.29","402.68","391.82","0.0","","","","","","",""
"2015.0","4.0","19.0","109.0","781.0","0.36","0.9","0.0","4.84","0.9","4.36","0.0","0.0","0.0","0.0","100.25","106.76","498.58","249.29","398.33","391.82","0.0","","","","","","",""
"2015.0","4.0","20.0","110.0","781.0","0.34","0.9","0.0","4.45","0.9","4.01","0.0","0.0","0.0","0.0","104.26","106.76","498.58","249.29","394.32","391.82","0.0","","","","","","",""
"2015.0","4.0","21.0","111.0","781.0","0.33","0.9","0.0","3.69","0.9","3.32","0.0","0.0","0.0","0.0","0.0","106.76","498.58","249.29","498.58","391.82","107.58","","","","","","",""
"2015.0","4.0","22.0","112.0","781.0","0.32","0.9","0.0","4.06","0.9","3.65","0.0","0.0","0.0","0.0","3.65","106.76","498.58","249.29","494.93","391.82","0.0","","","","","","",""
"2015.0","4.0","23.0","113.0","781.0","0.31","0.9","0.0","4.55","0.9","4.1","0.0","0.0","0.0","0.0","7.75","106.76","498.58","249.29","490.83","391.82","0.0","","","","","","",""
"2015.0","4.0","24.0","114.0","781.0","0.3","0.9","0.0","4.92","0.9","4.43","0.0","0.0","0.0","0.0","12.18","106.76","498.58","249.29","486.4","391.82","0.0","","","","","","",""
"2015.0","4.0","25.0","115.0","781.0","0.29","0.9","0.0","4.04","0.9","3.64","4.04","4.04","0.0","0.0","11.77","106.76","498.58","249.29","486.81","391.82","0.0","","","","","","",""
"2015.0","4.0","26.0","116.0","781.0","0.29","0.9","0.0","5.0","0.9","4.5","0.0","0.0","0.0","0.0","16.27","106.76","498.58","249.29","482.31","391.82","0.0","","","","","","",""
"2015.0","4.0","27.0","117.0","781.0","0.28","0.9","0.0","5.7","0.9","5.13","0.0","0.0","0.0","0.0","21.4","106.76","498.58","249.29","477.18","391.82","0.0","","","","","","",""
"2015.0","4.0","28.0","118.0","781.0","0.27","0.9","0.0","5.31","0.9","4.78","0.0","0.0","0.0","0.0","26.18","106.76","498.58","249.29","472.4","391.82","0.0","","","","","","",""
"2015.0","4.0","29.0","119.0","781.0","0.26","0.9","0.0","5.12","0.9","4.61","0.0","0.0","0.0","0.0","30.79","106.76","498.58","249.29","467.79","391.82","0.0","","","","","","",""
"2015.0","4.0","30.0","120.0","781.0","0.25","0.9","0.0","6.3","0.9","5.67","0.0","0.0","0.0","0.0","36.46","106.76","498.58","249.29","462.12","391.82","0.0","","","","","","",""
"2015.0","5.0","1.0","121.0","781.0","0.25","0.9","0.0","6.17","0.9","5.55","0.0","0.0","0.0","0.0","42.01","106.76","498.58","249.29","456.57","391.82","0.0","","","","","","",""
"2015.0","5.0","2.0","122.0","781.0","0.24","0.9","0.0","5.52","0.9","4.97","0.0","0.0","0.0","0.0","46.98","106.76","498.58","249.29","451.6","391.82","0.0","","","","","","",""
"2015.0","5.0","3.0","123.0","781.0","0.24","0.9","0.0","4.85","0.9","4.37","0.0","0.0","0.0","0.0","51.35","106.76","498.58","249.29","447.23","391.82","0.0","","","","","","",""
"2015.0","5.0","4.0","124.0","781.0","0.23","0.9","0.0","4.57","0.9","4.11","0.0","0.0","0.0","0.0","55.46","106.76","498.58","249.29","443.12","391.82","0.0","","","","","","",""
"2015.0","5.0","5.0","125.0","781.0","0.23","0.9","0.0","4.68","0.9","4.21","0.0","0.0","0.0","0.0","59.67","106.76","498.58","249.29","438.91","391.82","0.0","","","","","","",""
"2015.0","5.0","6.0","126.0","781.0","0.22","0.9","0.0","4.88","0.9","4.39","0.0","0.0","0.0","0.0","64.06","106.76","498.58","249.29","434.52","391.82","0.0","","","","","","",""
"2015.0","5.0","7.0","127.0","781.0","0.22","0.9","0.0","3.03","0.9","2.73","0.0","0.0","0.0","0.0","66.79","106.76","498.58","249.29","431.79","391.82","0.0","","","","","","",""
"2015.0","5.0","8.0","128.0","781.0","0.22","0.9","0.0","4.27","0.9","3.84","1.21","1.21","0.0","0.0","69.42","106.76","498.58","249.29","429.16","391.82","0.0","","","","","","",""
"2015.0","5.0","9.0","129.0","781.0","0.21","0.9","0.0","4.65","0.9","4.19","0.0","0.0","0.0","0.0","73.61","106.76","498.58","249.29","424.97","391.82","0.0","","","","","","",""
"2015.0","5.0","10.0","130.0","781.0","0.21","0.9","0.0","4.94","0.9","4.45","0.0","0.0","0.0","0.0","78.05","106.76","498.58","249.29","420.53","391.82","0.0","","","","","","",""
"2015.0","5.0","11.0","131.0","781.0","0.21","0.9","0.0","4.97","0.9","4.47","0.0","0.0","0.0","0.0","82.53","106.76","498.58","249.29","416.05","391.82","0.0","","","","","","",""
"2015.0","5.0","12.0","132.0","781.0","0.2","0.9","0.0","4.93","0.9","4.44","0.0","0.0","0.0","0.0","86.96","106.76","498.58","249.29","411.62","391.82","0.0","","","","","","",""
"2015.0","5.0","13.0","133.0","781.0","0.2","0.9","0.0","4.61","0.9","4.15","0.0","0.0","0.0","0.0","91.11","106.76","498.58","249.29","407.47","391.82","0.0","","","","","","",""
"2015.0","5.0","14.0","134.0","781.0","0.2","0.9","0.0","3.0","0.9","2.7","0.0","0.0","0.0","0.0","93.81","106.76","498.58","249.29","404.77","391.82","0.0","","","","","","",""
"2015.0","5.0","15.0","135.0","781.0","1.04","0.9","0.0","4.53","1.04","4.71","11.7","11.7","0.0","0.0","86.82","106.76","498.58","249.29","411.76","391.82","0.0","","","","","","",""
"2015.0","5.0","16.0","136.0","781.0","0.88","0.9","0.0","4.61","0.9","4.15","0.0","0.0","0.0","0.0","90.97","106.76","498.58","249.29","407.61","391.82","0.0","","","","","","",""
"2015.0","5.0","17.0","137.0","781.0","0.74","0.9","0.0","3.94","0.9","3.55","0.0","0.0","0.0","0.0","94.51","106.76","498.58","249.29","404.07","391.82","0.0","","","","","","",""
"2015.0","5.0","18.0","138.0","781.0","0.63","0.9","0.0","4.69","0.9","4.22","0.0","0.0","0.0","0.0","98.73","106.76","498.58","249.29","399.85","391.82","0.0","","","","","","",""
"2015.0","5.0","19.0","139.0","781.0","0.56","0.9","0.0","4.84","0.9","4.36","0.0","0.0","0.0","0.0","103.09","106.76","498.58","249.29","395.49","391.82","0.0","","","","","","",""
"2015.0","5.0","20.0","140.0","781.0","0.51","0.9","0.0","4.67","0.9","4.2","0.0","0.0","0.0","0.0","0.0","106.76","498.58","249.29","498.58","391.82","107.29","","","","","","",""
"2015.0","5.0","21.0","141.0","781.0","0.47","0.9","0.0","4.2","0.9","3.78","0.0","0.0","0.0","0.0","3.78","106.76","498.58","249.29","494.8","391.82","0.0","","","","","","",""
"2015.0","5.0","22.0","142.0","781.0","0.44","0.9","0.0","4.77","0.9","4.29","0.0","0.0","0.0","0.0","8.07","106.76","498.58","249.29","490.51","391.82","0.0","","","","","","",""
"2015.0","5.0","23.0","143.0","781.0","0.41","0.9","0.0","4.69","0.9","4.22","0.0","0.0","0.0","0.0","12.29","106.76","498.58","249.29","486.29","391.82","0.0","","","","","","",""
"2015.0","5.0","24.0","144.0","781.0","0.39","0.9","0.0","5.17","0.9","4.65","0.0","0.0","0.0","0.0","16.95","106.76","498.58","249.29","481.63","391.82","0.0","","","","","","",""
"2015.0","5.0","25.0","145.0","781.0","0.37","0.9","0.0","5.17","0.9","4.65","0.0","0.0","0.0","0.0","21.6","106.76","498.58","249.29","476.98","391.82","0.0","","","","","","",""
"2015.0","5.0","26.0","146.0","781.0","0.35","0.9","0.0","5.18","0.9","4.66","0.0","0.0","0.0","0.0","26.26","106.76","498.58","249.29","472.32","391.82","0.0","","","","","","",""
"2015.0","5.0","27.0","147.0","781.0","0.34","0.9","0.0","5.24","0.9","4.72","0.0","0.0","0.0","0.0","30.98","106.76","498.58","249.29","467.6","391.82","0.0","","","","","","",""
"2015.0","5.0","28.0","148.0","781.0","0.32","0.9","0.0","5.12","0.9","4.61","0.0","0.0","0.0","0.0","35.59","106.76","498.58","249.29","462.99","391.82","0.0","","","","","","",""
"2015.0","5.0","29.0","149.0","781.0","0.31","0.9","0.0","5.74","0.9","5.17","0.0","0.0","0.0","0.0","40.75","106.76","498.58","249.29","457.83","391.82","0.0","","","","","","",""
"2015.0","5.0","30.0","150.0","781.0","0.3","0.9","0.0","6.09","0.9","5.48","0.0","0.0","0.0","0.0","46.23","106.76","498.58","249.29","452.35","391.82","0.0","","","","","","",""
"2015.0","5.0","31.0","151.0","781.0","0.29","0.9","0.0","5.25","0.9","4.73","0.0","0.0","0.0","0.0","50.96","106.76","498.58","249.29","447.62","391.82","0.0","","","","","","",""
"2015.0","6.0","1.0","152.0","781.0","0.28","0.9","0.0","5.51","0.9","4.96","0.0","0.0","0.0","0.0","55.92","106.76","498.58","249.29","442.66","391.82","0.0","","","","","","",""
"2015.0","6.0","2.0","153.0","781.0","0.27","0.9","0.0","5.52","0.9","4.97","0.0","0.0","0.0","0.0","60.89","106.76","498.58","249.29","437.69","391.82","0.0","","","","","","",""
"2015.0","6.0","3.0","154.0","781.0","0.26","0.9","0.0","5.25","0.9","4.73","0.0","0.0","0.0","0.0","65.61","106.76","498.58","249.29","432.97","391.82","0.0","","","","","","",""
"2015.0","6.0","4.0","155.0","781.0","0.26","0.9","0.0","5.59","0.9","5.03","0.0","0.0","0.0","0.0","70.64","106.76","498.58","249.29","427.94","391.82","0.0","","","","","","",""
"2015.0","6.0","5.0","156.0","781.0","0.25","0.9","0.0","6.19","0.9","5.57","0.0","0.0","0.0","0.0","76.21","106.76","498.58","249.29","422.37","391.82","0.0","","","","","","",""
"2015.0","6.0","6.0","157.0","781.0","0.24","0.9","0.0","6.0","0.9","5.4","0.0","0.0","0.0","0.0","81.61","106.76","498.58","249.29","416.97","391.82","0.0","","","","","","",""
"2015.0","6.0","7.0","158.0","781.0","0.23","0.9","0.0","6.42","0.9","5.78","0.0","0.0","0.0","0.0","87.39","106.76","498.58","249.29","411.19","391.82","0.0","","","","","","",""
"2015.0","6.0","8.0","159.0","781.0","0.23","0.9","0.0","7.13","0.9","6.42","0.0","0.0","0.0","0.0","93.81","106.76","498.58","249.29","404.77","391.82","0.0","","","","","","",""
"2015.0","6.0","9.0","160.0","781.0","0.22","0.9","0.0","6.15","0.9","5.54","0.0","0.0","0.0","0.0","99.34","106.76","498.58","249.29","399.24","391.82","0.0","","","","","","",""
"2015.0","6.0","10.0","161.0","781.0","0.22","0.9","0.0","2.9","0.9","2.61","0.76","0.76","0.0","0.0","101.19","106.76","498.58","249.29","397.39","391.82","0.0","","","","","","",""
"2015.0","6.0","11.0","162.0","781.0","0.22","0.9","0.0","6.56","0.9","5.9","3.16","3.16","0.0","0.0","103.94","106.76","498.58","249.29","394.64","391.82","0.0","","","","","","",""
"2015.0","6.0","12.0","163.0","781.0","0.21","0.9","0.0","7.25","0.9","6.53","0.0","0.0","0.0","0.0","0.0","106.76","498.58","249.29","498.58","391.82","110.46","","","","","","",""
"2015.0","6.0","13.0","164.0","781.0","0.21","0.9","0.0","7.01","0.9","6.31","0.0","0.0","0.0","0.0","6.31","106.76","498.58","249.29","492.27","391.82","0.0","","","","","","",""
"2015.0","6.0","14.0","165.0","781.0","0.2","0.9","0.0","6.27","0.9","5.64","0.0","0.0","0.0","0.0","11.95","106.76","498.58","249.29","486.63","391.82","0.0","","","","","","",""
"2015.0","6.0","15.0","166.0","781.0","0.2","0.9","0.0","6.1","0.9","5.49","0.0","0.0","0.0","0.0","17.44","106.76","498.58","249.29","481.14","391.82","0.0","","","","","","",""
"2015.0","6.0","16.0","167.0","781.0","0.19","0.9","0.0","6.47","0.9","5.82","0.0","0.0","0.0","0.0","23.27","106.76","498.58","249.29","475.31","391.82","0.0","","","","","","",""
"2015.0","6.0","17.0","168.0","781.0","0.19","0.9","0.0","6.61","0.9","5.95","0.0","0.0","0.0","0.0","29.21","106.76","498.58","249.29","469.37","391.82","0.0","","","","","","",""
"2015.0","6.0","18.0","169.0","781.0","0.19","0.9","0.0","6.97","0.9","6.27","0.0","0.0","0.0","0.0","35.49","106.76","498.58","249.29","463.09","391.82","0.0","","","","","","",""
"2015.0","6.0","19.0","170.0","781.0","0.18","0.9","0.0","6.99","0.9","6.29","0.0","0.0","0.0","0.0","41.78","106.76","498.58","249.29","456.8","391.82","0.0","","","","","","",""
"2015.0","6.0","20.0","171.0","781.0","0.18","0.9","0.0","6.55","0.9","5.9","0.0","0.0","0.0","0.0","47.67","106.76","498.58","249.29","450.91","391.82","0.0","","","","","","",""
"2015.0","6.0","21.0","172.0","781.0","0.18","0.9","0.0","7.0","0.9","6.3","0.0","0.0","0.0","0.0","53.97","106.76","498.58","249.29","444.61","391.82","0.0","","","","","","",""
"2015.0","6.0","22.0","173.0","781.0","0.17","0.9","0.0","6.6","0.9","5.94","0.0","0.0","0.0","0.0","59.91","106.76","498.58","249.29","438.67","391.82","0.0","","","","","","",""
"2015.0","6.0","23.0","174.0","781.0","0.17","0.9","0.0","6.94","0.9","6.25","0.0","0.0","0.0","0.0","66.16","106.76","498.58","249.29","432.42","391.82","0.0","","","","","","",""
"2015.0","6.0","24.0","175.0","781.0","0.17","0.9","0.0","6.83","0.9","6.15","0.0","0.0","0.0","0.0","72.31","106.76","498.58","249.29","426.27","391.82","0.0","","","","","","",""
"2015.0","6.0","25.0","176.0","781.0","0.17","0.9","0.0","7.59","0.9","6.83","0.0","0.0","0.0","0.0","79.14","106.76","498.58","249.29","419.44","391.82","0.0","","","","","","",""
"2015.0","6.0","26.0","177.0","781.0","0.16","0.9","0.0","7.7","0.9","6.93","0.0","0.0","0.0","0.0","86.07","106.76","498.58","249.29","412.51","391.82","0.0","","","","","","",""
"2015.0","6.0","27.0","178.0","781.0","0.16","0.9","0.0","6.14","0.9","5.53","0.0","0.0","0.0","0.0","91.59","106.76","498.58","249.29","406.99","391.82","0.0","","","","","","",""
"2015.0","6.0","28.0","179.0","781.0","0.16","0.9","0.0","6.65","0.9","5.99","0.0","0.0","0.0","0.0","97.58","106.76","498.58","249.29","401.0","391.82","0.0","","","","","","",""
"2015.0","6.0","29.0","180.0","781.0","0.16","0.9","0.0","7.15","0.9","6.44","0.0","0.0","0.0","0.0","104.01","106.76","498.58","249.29","394.57","391.82","0.0","","","","","","",""
"2015.0","6.0","30.0","181.0","781.0","0.15","0.9","0.0","7.38","0.9","6.64","0.0","0.0","0.0","0.0","0.0","106.76","498.58","249.29","498.58","391.82","110.66","","","","","","",""
"2015.0","7.0","1.0","182.0","781.0","0.15","0.9","0.0","7.19","0.9","6.47","0.0","0.0","0.0","0.0","6.47","106.76","498.58","249.29","492.11","391.82","0.0","","","","","","",""
"2015.0","7.0","2.0","183.0","781.0","0.15","0.9","0.0","6.4","0.9","5.76","0.0","0.0","0.0","0.0","12.23","106.76","498.58","249.29","486.35","391.82","0.0","","","","","","",""
"2015.0","7.0","3.0","184.0","781.0","0.15","0.9","0.0","7.14","0.9","6.43","0.0","0.0","0.0","0.0","18.66","106.76","498.58","249.29","479.92","391.82","0.0","","","","","","",""
