" Daily soil water balance output for Urban Landscape in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Urban Landscape in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"2015.0","2.0","11.0","42.0","7712.0","1.15","0.8","0.0","1.59","1.15","1.83","0.0","0.0","0.0","0.0","3.74","29.38","120.0","60.0","116.26","90.62","0.0","","","","","","",""
"2015.0","2.0","12.0","43.0","7712.0","1.03","0.8","0.0","1.98","1.03","2.03","0.0","0.0","0.0","0.0","5.77","29.38","120.0","60.0","114.23","90.62","0.0","","","","","","",""
"2015.0","2.0","13.0","44.0","7712.0","0.91","0.8","0.0","2.03","0.91","1.84","0.0","0.0","0.0","0.0","7.61","29.38","120.0","60.0","112.39","90.62","0.0","","","","","","",""
"2015.0","2.0","14.0","45.0","7712.0","0.82","0.8","0.0","2.18","0.82","1.78","0.0","0.0","0.0","0.0","9.39","29.38","120.0","60.0","110.61","90.62","0.0","","","","","","",""
"2015.0","2.0","15.0","46.0","7712.0","0.75","0.8","0.0","2.09","0.8","1.67","0.0","0.0","0.0","0.0","11.06","29.38","120.0","60.0","108.94","90.62","0.0","","","","","","",""
"2015.0","2.0","16.0","47.0","7712.0","0.7","0.8","0.0","2.24","0.8","1.79","0.0","0.0","0.0","0.0","12.86","29.38","120.0","60.0","107.14","90.62","0.0","","","","","","",""
"2015.0","2.0","17.0","48.0","7712.0","0.66","0.8","0.0","1.94","0.8","1.55","0.0","0.0","0.0","0.0","14.41","29.38","120.0","60.0","105.59","90.62","0.0","","","","","","",""
"2015.0","2.0","18.0","49.0","7712.0","0.63","0.8","0.0","1.5","0.8","1.2","0.0","0.0","0.0","0.0","15.61","29.38","120.0","60.0","104.39","90.62","0.0","","","","","","",""
"2015.0","2.0","19.0","50.0","7712.0","0.62","0.8","0.0","1.08","0.8","0.86","0.0","0.0","0.0","0.0","16.47","29.38","120.0","60.0","103.53","90.62","0.0","","","","","","",""
"2015.0","2.0","20.0","51.0","7712.0","0.59","0.8","0.0","1.97","0.8","1.58","0.0","0.0","0.0","0.0","18.05","29.38","120.0","60.0","101.95","90.62","0.0","","","","","","",""
"2015.0","2.0","21.0","52.0","7712.0","0.57","0.8","0.0","1.62","0.8","1.3","0.0","0.0","0.0","0.0","19.34","29.38","120.0","60.0","100.66","90.62","0.0","","","","","","",""
"2015.0","2.0","22.0","53.0","7712.0","0.53","0.8","0.0","3.74","0.8","2.99","0.0","0.0","0.0","0.0","22.34","29.38","120.0","60.0","97.66","90.62","0.0","","","","","","",""
"2015.0","2.0","23.0","54.0","7712.0","0.49","0.8","0.0","4.35","0.8","3.48","0.0","0.0","0.0","0.0","25.82","29.38","120.0","60.0","94.18","90.62","0.0","","","","","","",""
"2015.0","2.0","24.0","55.0","7712.0","0.47","0.8","0.0","2.85","0.8","2.28","0.0","0.0","0.0","0.0","28.1","29.38","120.0","60.0","91.9","90.62","0.0","","","","","","",""
"2015.0","2.0","25.0","56.0","7712.0","0.45","0.8","0.0","2.19","0.8","1.75","0.0","0.0","0.0","0.0","0.0","29.38","120.0","60.0","120.0","90.62","29.85","","","","","","",""
"2015.0","2.0","26.0","57.0","7712.0","0.44","0.8","0.0","3.07","0.8","2.46","0.0","0.0","0.0","0.0","2.46","29.38","120.0","60.0","117.54","90.62","0.0","","","","","","",""
"2015.0","2.0","27.0","58.0","7712.0","0.42","0.8","0.0","2.77","0.8","2.22","0.0","0.0","0.0","0.0","4.67","29.38","120.0","60.0","115.33","90.62","0.0","","","","","","",""
"2015.0","2.0","28.0","59.0","7712.0","0.41","0.8","0.0","1.93","0.8","1.54","0.0","0.0","0.0","0.0","6.22","29.38","120.0","60.0","113.78","90.62","0.0","","","","","","",""
"2015.0","3.0","1.0","60.0","7712.0","0.4","0.8","0.0","2.68","0.8","2.14","0.0","0.0","0.0","0.0","8.36","29.38","120.0","60.0","111.64","90.62","0.0","","","","","","",""
"2015.0","3.0","2.0","61.0","7712.0","0.39","0.8","0.0","2.33","0.8","1.86","0.0","0.0","0.0","0.0","10.22","29.38","120.0","60.0","109.78","90.62","0.0","","","","","","",""
"2015.0","3.0","3.0","62.0","7712.0","0.38","0.8","0.0","2.59","0.8","2.07","1.02","1.02","0.0","0.0","11.28","29.38","120.0","60.0","108.72","90.62","0.0","","","","","","",""
"2015.0","3.0","4.0","63.0","7712.0","0.37","0.8","0.0","2.6","0.8","2.08","0.0","0.0","0.0","0.0","13.36","29.38","120.0","60.0","106.64","90.62","0.0","","","","","","",""
"2015.0","3.0","5.0","64.0","7712.0","0.36","0.8","0.0","2.79","0.8","2.23","0.0","0.0","0.0","0.0","15.59","29.38","120.0","60.0","104.41","90.62","0.0","","","","","","",""
"2015.0","3.0","6.0","65.0","7712.0","0.35","0.8","0.0","3.0","0.8","2.4","0.0","0.0","0.0","0.0","17.99","29.38","120.0","60.0","102.01","90.62","0.0","","","","","","",""
"2015.0","3.0","7.0","66.0","7712.0","0.35","0.8","0.0","2.8","0.8","2.24","0.0","0.0","0.0","0.0","20.23","29.38","120.0","60.0","99.77","90.62","0.0","","","","","","",""
"2015.0","3.0","8.0","67.0","7712.0","0.34","0.8","0.0","2.98","0.8","2.38","0.0","0.0","0.0","0.0","22.61","29.38","120.0","60.0","97.39","90.62","0.0","","","","","","",""
"2015.0","3.0","9.0","68.0","7712.0","0.33","0.8","0.0","3.06","0.8","2.45","0.0","0.0","0.0","0.0","25.06","29.38","120.0","60.0","94.94","90.62","0.0","","","","","","",""
"2015.0","3.0","10.0","69.0","7712.0","0.32","0.8","0.0","2.4","0.8","1.92","0.0","0.0","0.0","0.0","26.98","29.38","120.0","60.0","93.02","90.62","0.0","","","","","","",""
"2015.0","3.0","11.0","70.0","7712.0","0.32","0.8","0.0","2.11","0.8","1.69","1.32","1.32","0.0","0.0","27.35","29.38","120.0","60.0","92.65","90.62","0.0","","","","","","",""
"2015.0","3.0","12.0","71.0","7712.0","1.08","0.8","0.0","3.47","1.08","3.75","3.55","3.55","0.0","0.0","27.55","29.38","120.0","60.0","92.45","90.62","0.0","","","","","","",""
"2015.0","3.0","13.0","72.0","7712.0","1.06","0.8","0.0","3.11","1.06","3.29","0.0","0.0","0.0","0.0","0.0","29.38","120.0","60.0","120.0","90.62","30.84","","","","","","",""
"2015.0","3.0","14.0","73.0","7712.0","0.86","0.8","0.0","3.29","0.86","2.84","0.0","0.0","0.0","0.0","2.84","29.38","120.0","60.0","117.16","90.62","0.0","","","","","","",""
"2015.0","3.0","15.0","74.0","7712.0","0.73","0.8","0.0","3.85","0.8","3.08","0.0","0.0","0.0","0.0","5.92","29.38","120.0","60.0","114.08","90.62","0.0","","","","","","",""
"2015.0","3.0","16.0","75.0","7712.0","0.68","0.8","0.0","2.46","0.8","1.97","0.0","0.0","0.0","0.0","7.89","29.38","120.0","60.0","112.11","90.62","0.0","","","","","","",""
"2015.0","3.0","17.0","76.0","7712.0","0.61","0.8","0.0","3.49","0.8","2.79","0.0","0.0","0.0","0.0","10.68","29.38","120.0","60.0","109.32","90.62","0.0","","","","","","",""
"2015.0","3.0","18.0","77.0","7712.0","0.56","0.8","0.0","3.89","0.8","3.11","0.0","0.0","0.0","0.0","13.79","29.38","120.0","60.0","106.21","90.62","0.0","","","","","","",""
"2015.0","3.0","19.0","78.0","7712.0","0.52","0.8","0.0","3.94","0.8","3.15","0.0","0.0","0.0","0.0","16.94","29.38","120.0","60.0","103.06","90.62","0.0","","","","","","",""
"2015.0","3.0","20.0","79.0","7712.0","0.49","0.8","0.0","3.11","0.8","2.49","0.0","0.0","0.0","0.0","19.43","29.38","120.0","60.0","100.57","90.62","0.0","","","","","","",""
"2015.0","3.0","21.0","80.0","7712.0","0.46","0.8","0.0","3.63","0.8","2.9","0.0","0.0","0.0","0.0","22.34","29.38","120.0","60.0","97.66","90.62","0.0","","","","","","",""
"2015.0","3.0","22.0","81.0","7712.0","0.44","0.8","0.0","3.27","0.8","2.62","0.0","0.0","0.0","0.0","24.95","29.38","120.0","60.0","95.05","90.62","0.0","","","","","","",""
"2015.0","3.0","23.0","82.0","7712.0","0.42","0.8","0.0","3.28","0.8","2.62","0.25","0.25","0.0","0.0","27.33","29.38","120.0","60.0","92.67","90.62","0.0","","","","","","",""
"2015.0","3.0","24.0","83.0","7712.0","0.41","0.8","0.0","3.19","0.8","2.55","0.0","0.0","0.0","0.0","0.0","29.38","120.0","60.0","120.0","90.62","29.88","","","","","","",""
"2015.0","3.0","25.0","84.0","7712.0","0.39","0.8","0.0","4.23","0.8","3.38","0.0","0.0","0.0","0.0","3.38","29.38","120.0","60.0","116.62","90.62","0.0","","","","","","",""
"2015.0","3.0","26.0","85.0","7712.0","0.37","0.8","0.0","3.92","0.8","3.14","0.0","0.0","0.0","0.0","6.52","29.38","120.0","60.0","113.48","90.62","0.0","","","","","","",""
"2015.0","3.0","27.0","86.0","7712.0","0.36","0.8","0.0","4.55","0.8","3.64","0.0","0.0","0.0","0.0","10.16","29.38","120.0","60.0","109.84","90.62","0.0","","","","","","",""
"2015.0","3.0","28.0","87.0","7712.0","0.34","0.8","0.0","4.99","0.8","3.99","0.0","0.0","0.0","0.0","14.15","29.38","120.0","60.0","105.85","90.62","0.0","","","","","","",""
"2015.0","3.0","29.0","88.0","7712.0","0.33","0.8","0.0","4.76","0.8","3.81","0.0","0.0","0.0","0.0","17.96","29.38","120.0","60.0","102.04","90.62","0.0","","","","","","",""
"2015.0","3.0","30.0","89.0","7712.0","0.32","0.8","0.0","4.57","0.8","3.66","0.0","0.0","0.0","0.0","21.62","29.38","120.0","60.0","98.38","90.62","0.0","","","","","","",""
"2015.0","3.0","31.0","90.0","7712.0","0.31","0.8","0.0","4.61","0.8","3.69","0.0","0.0","0.0","0.0","25.3","29.38","120.0","60.0","94.7","90.62","0.0","","","","","","",""
"2015.0","4.0","1.0","91.0","7712.0","0.3","0.8","0.0","4.22","0.8","3.38","0.0","0.0","0.0","0.0","28.68","29.38","120.0","60.0","91.32","90.62","0.0","","","","","","",""
"2015.0","4.0","2.0","92.0","7712.0","0.29","0.8","0.0","5.59","0.8","4.47","0.0","0.0","0.0","0.0","0.0","29.38","120.0","60.0","120.0","90.62","33.15","","","","","","",""
"2015.0","4.0","3.0","93.0","7712.0","0.28","0.8","0.0","4.63","0.8","3.7","0.0","0.0","0.0","0.0","3.7","29.38","120.0","60.0","116.3","90.62","0.0","","","","","","",""
"2015.0","4.0","4.0","94.0","7712.0","0.28","0.8","0.0","4.53","0.8","3.62","0.0","0.0","0.0","0.0","7.33","29.38","120.0","60.0","112.67","90.62","0.0","","","","","","",""
"2015.0","4.0","5.0","95.0","7712.0","0.27","0.8","0.0","2.58","0.8","2.06","0.0","0.0","0.0","0.0","9.39","29.38","120.0","60.0","110.61","90.62","0.0","","","","","","",""
"2015.0","4.0","6.0","96.0","7712.0","0.27","0.8","0.0","2.98","0.8","2.38","1.42","1.42","0.0","0.0","10.36","29.38","120.0","60.0","109.64","90.62","0.0","","","","","","",""
"2015.0","4.0","7.0","97.0","7712.0","1.12","0.8","0.0","2.41","1.12","2.71","6.49","6.49","0.0","0.0","6.57","29.38","120.0","60.0","113.43","90.62","0.0","","","","","","",""
"2015.0","4.0","8.0","98.0","7712.0","1.1","0.8","0.0","2.91","1.1","3.21","13.25","9.79","0.0","0.0","0.0","29.38","120.0","60.0","120.0","90.62","0.0","","","","","","",""
"2015.0","4.0","9.0","99.0","7712.0","1.07","0.8","0.0","3.48","1.07","3.74","0.0","0.0","0.0","0.0","3.74","29.38","120.0","60.0","116.26","90.62","0.0","","","","","","",""
"2015.0","4.0","10.0","100.0","7712.0","0.83","0.8","0.0","4.13","0.83","3.44","0.0","0.0","0.0","0.0","7.18","29.38","120.0","60.0","112.82","90.62","0.0","","","","","","",""
"2015.0","4.0","11.0","101.0","7712.0","0.7","0.8","0.0","4.29","0.8","3.43","0.0","0.0","0.0","0.0","10.61","29.38","120.0","60.0","109.39","90.62","0.0","","","","","","",""
"2015.0","4.0","12.0","102.0","7712.0","0.6","0.8","0.0","4.97","0.8","3.98","0.0","0.0","0.0","0.0","14.59","29.38","120.0","60.0","105.41","90.62","0.0","","","","","","",""
"2015.0","4.0","13.0","103.0","7712.0","0.53","0.8","0.0","5.12","0.8","4.1","0.0","0.0","0.0","0.0","18.68","29.38","120.0","60.0","101.32","90.62","0.0","","","","","","",""
"2015.0","4.0","14.0","104.0","7712.0","0.49","0.8","0.0","4.85","0.8","3.88","0.0","0.0","0.0","0.0","22.56","29.38","120.0","60.0","97.44","90.62","0.0","","","","","","",""
"2015.0","4.0","15.0","105.0","7712.0","0.44","0.8","0.0","6.7","0.8","5.36","0.0","0.0","0.0","0.0","27.92","29.38","120.0","60.0","92.08","90.62","0.0","","","","","","",""
"2015.0","4.0","16.0","106.0","7712.0","0.4","0.8","0.0","6.12","0.8","4.9","0.0","0.0","0.0","0.0","0.0","29.38","120.0","60.0","120.0","90.62","32.82","","","","","","",""
"2015.0","4.0","17.0","107.0","7712.0","0.38","0.8","0.0","5.33","0.8","4.26","0.0","0.0","0.0","0.0","4.26","29.38","120.0","60.0","115.74","90.62","0.0","","","","","","",""
"2015.0","4.0","18.0","108.0","7712.0","0.36","0.8","0.0","5.03","0.8","4.02","0.0","0.0","0.0","0.0","8.29","29.38","120.0","60.0","111.71","90.62","0.0","","","","","","",""
"2015.0","4.0","19.0","109.0","7712.0","0.34","0.8","0.0","5.36","0.8","4.29","0.0","0.0","0.0","0.0","12.58","29.38","120.0","60.0","107.42","90.62","0.0","","","","","","",""
"2015.0","4.0","20.0","110.0","7712.0","0.33","0.8","0.0","4.9","0.8","3.92","0.0","0.0","0.0","0.0","16.5","29.38","120.0","60.0","103.5","90.62","0.0","","","","","","",""
"2015.0","4.0","21.0","111.0","7712.0","0.32","0.8","0.0","3.95","0.8","3.16","0.0","0.0","0.0","0.0","19.66","29.38","120.0","60.0","100.34","90.62","0.0","","","","","","",""
"2015.0","4.0","22.0","112.0","7712.0","0.31","0.8","0.0","4.22","0.8","3.38","0.0","0.0","0.0","0.0","23.03","29.38","120.0","60.0","96.97","90.62","0.0","","","","","","",""
"2015.0","4.0","23.0","113.0","7712.0","0.3","0.8","0.0","4.83","0.8","3.86","0.0","0.0","0.0","0.0","26.9","29.38","120.0","60.0","93.1","90.62","0.0","","","","","","",""
"2015.0","4.0","24.0","114.0","7712.0","0.29","0.8","0.0","4.92","0.8","3.94","0.0","0.0","0.0","0.0","0.0","29.38","120.0","60.0","120.0","90.62","30.83","","","","","","",""
"2015.0","4.0","25.0","115.0","7712.0","1.06","0.8","0.0","4.12","1.06","4.35","14.13","4.35","0.0","0.0","0.0","29.38","120.0","60.0","120.0","90.62","0.0","","","","","","",""
"2015.0","4.0","26.0","116.0","7712.0","0.87","0.8","0.0","5.12","0.87","4.46","0.0","0.0","0.0","0.0","4.46","29.38","120.0","60.0","115.54","90.62","0.0","","","","","","",""
"2015.0","4.0","27.0","117.0","7712.0","0.67","0.8","0.0","6.14","0.8","4.91","0.0","0.0","0.0","0.0","9.37","29.38","120.0","60.0","110.63","90.62","0.0","","","","","","",""
"2015.0","4.0","28.0","118.0","7712.0","0.57","0.8","0.0","5.67","0.8","4.54","0.0","0.0","0.0","0.0","13.9","29.38","120.0","60.0","106.1","90.62","0.0","","","","","","",""
"2015.0","4.0","29.0","119.0","7712.0","0.51","0.8","0.0","5.35","0.8","4.28","0.0","0.0","0.0","0.0","18.18","29.38","120.0","60.0","101.82","90.62","0.0","","","","","","",""
"2015.0","4.0","30.0","120.0","7712.0","0.45","0.8","0.0","6.54","0.8","5.23","0.0","0.0","0.0","0.0","23.42","29.38","120.0","60.0","96.58","90.62","0.0","","","","","","",""
"2015.0","5.0","1.0","121.0","7712.0","0.41","0.8","0.0","6.55","0.8","5.24","0.0","0.0","0.0","0.0","28.66","29.38","120.0","60.0","91.34","90.62","0.0","","","","","","",""
"2015.0","5.0","2.0","122.0","7712.0","0.38","0.8","0.0","6.19","0.8","4.95","0.0","0.0","0.0","0.0","0.0","29.38","120.0","60.0","120.0","90.62","33.61","","","","","","",""
"2015.0","5.0","3.0","123.0","7712.0","0.36","0.8","0.0","5.44","0.8","4.35","0.0","0.0","0.0","0.0","4.35","29.38","120.0","60.0","115.65","90.62","0.0","","","","","","",""
"2015.0","5.0","4.0","124.0","7712.0","0.35","0.8","0.0","4.95","0.8","3.96","0.0","0.0","0.0","0.0","8.31","29.38","120.0","60.0","111.69","90.62","0.0","","","","","","",""
"2015.0","5.0","5.0","125.0","7712.0","0.33","0.8","0.0","4.89","0.8","3.91","0.0","0.0","0.0","0.0","12.22","29.38","120.0","60.0","107.78","90.62","0.0","","","","","","",""
"2015.0","5.0","6.0","126.0","7712.0","0.32","0.8","0.0","5.24","0.8","4.19","0.0","0.0","0.0","0.0","16.42","29.38","120.0","60.0","103.58","90.62","0.0","","","","","","",""
"2015.0","5.0","7.0","127.0","7712.0","0.31","0.8","0.0","4.2","0.8","3.36","0.45","0.45","0.0","0.0","19.33","29.38","120.0","60.0","100.67","90.62","0.0","","","","","","",""
"2015.0","5.0","8.0","128.0","7712.0","0.3","0.8","0.0","4.53","0.8","3.62","0.55","0.55","0.0","0.0","22.4","29.38","120.0","60.0","97.6","90.62","0.0","","","","","","",""
"2015.0","5.0","9.0","129.0","7712.0","0.29","0.8","0.0","5.14","0.8","4.11","0.0","0.0","0.0","0.0","26.51","29.38","120.0","60.0","93.49","90.62","0.0","","","","","","",""
"2015.0","5.0","10.0","130.0","7712.0","0.28","0.8","0.0","5.31","0.8","4.25","0.0","0.0","0.0","0.0","0.0","29.38","120.0","60.0","120.0","90.62","30.76","","","","","","",""
"2015.0","5.0","11.0","131.0","7712.0","0.27","0.8","0.0","5.28","0.8","4.22","0.0","0.0","0.0","0.0","4.22","29.38","120.0","60.0","115.78","90.62","0.0","","","","","","",""
"2015.0","5.0","12.0","132.0","7712.0","0.27","0.8","0.0","5.03","0.8","4.02","0.0","0.0","0.0","0.0","8.25","29.38","120.0","60.0","111.75","90.62","0.0","","","","","","",""
"2015.0","5.0","13.0","133.0","7712.0","0.26","0.8","0.0","4.79","0.8","3.83","0.0","0.0","0.0","0.0","12.08","29.38","120.0","60.0","107.92","90.62","0.0","","","","","","",""
"2015.0","5.0","14.0","134.0","7712.0","0.26","0.8","0.0","3.95","0.8","3.16","0.0","0.0","0.0","0.0","15.24","29.38","120.0","60.0","104.76","90.62","0.0","","","","","","",""
"2015.0","5.0","15.0","135.0","7712.0","0.25","0.8","0.0","4.75","0.8","3.8","0.02","0.02","0.0","0.0","19.02","29.38","120.0","60.0","100.98","90.62","0.0","","","","","","",""
"2015.0","5.0","16.0","136.0","7712.0","0.24","0.8","0.0","4.87","0.8","3.9","0.0","0.0","0.0","0.0","22.92","29.38","120.0","60.0","97.08","90.62","0.0","","","","","","",""
"2015.0","5.0","17.0","137.0","7712.0","0.24","0.8","0.0","4.0","0.8","3.2","0.0","0.0","0.0","0.0","26.12","29.38","120.0","60.0","93.88","90.62","0.0","","","","","","",""
"2015.0","5.0","18.0","138.0","7712.0","0.24","0.8","0.0","4.7","0.8","3.76","0.0","0.0","0.0","0.0","0.0","29.38","120.0","60.0","120.0","90.62","29.88","","","","","","",""
"2015.0","5.0","19.0","139.0","7712.0","0.23","0.8","0.0","5.07","0.8","4.06","0.0","0.0","0.0","0.0","4.06","29.38","120.0","60.0","115.94","90.62","0.0","","","","","","",""
"2015.0","5.0","20.0","140.0","7712.0","0.23","0.8","0.0","5.05","0.8","4.04","0.0","0.0","0.0","0.0","8.1","29.38","120.0","60.0","111.9","90.62","0.0","","","","","","",""
"2015.0","5.0","21.0","141.0","7712.0","0.22","0.8","0.0","4.58","0.8","3.66","0.0","0.0","0.0","0.0","11.76","29.38","120.0","60.0","108.24","90.62","0.0","","","","","","",""
"2015.0","5.0","22.0","142.0","7712.0","0.22","0.8","0.0","4.94","0.8","3.95","0.0","0.0","0.0","0.0","15.71","29.38","120.0","60.0","104.29","90.62","0.0","","","","","","",""
"2015.0","5.0","23.0","143.0","7712.0","0.22","0.8","0.0","4.77","0.8","3.82","0.0","0.0","0.0","0.0","19.53","29.38","120.0","60.0","100.47","90.62","0.0","","","","","","",""
"2015.0","5.0","24.0","144.0","7712.0","0.21","0.8","0.0","5.77","0.8","4.62","0.0","0.0","0.0","0.0","24.14","29.38","120.0","60.0","95.86","90.62","0.0","","","","","","",""
"2015.0","5.0","25.0","145.0","7712.0","0.21","0.8","0.0","5.58","0.8","4.46","0.0","0.0","0.0","0.0","28.61","29.38","120.0","60.0","91.39","90.62","0.0","","","","","","",""
"2015.0","5.0","26.0","146.0","7712.0","0.2","0.8","0.0","5.63","0.8","4.5","0.0","0.0","0.0","0.0","0.0","29.38","120.0","60.0","120.0","90.62","33.11","","","","","","",""
"2015.0","5.0","27.0","147.0","7712.0","0.2","0.8","0.0","5.67","0.8","4.54","0.0","0.0","0.0","0.0","4.54","29.38","120.0","60.0","115.46","90.62","0.0","","","","","","",""
"2015.0","5.0","28.0","148.0","7712.0","0.2","0.8","0.0","5.48","0.8","4.38","0.0","0.0","0.0","0.0","8.92","29.38","120.0","60.0","111.08","90.62","0.0","","","","","","",""
"2015.0","5.0","29.0","149.0","7712.0","0.19","0.8","0.0","6.16","0.8","4.93","0.0","0.0","0.0","0.0","13.85","29.38","120.0","60.0","106.15","90.62","0.0","","","","","","",""
"2015.0","5.0","30.0","150.0","7712.0","0.19","0.8","0.0","6.49","0.8","5.19","0.0","0.0","0.0","0.0","19.04","29.38","120.0","60.0","100.96","90.62","0.0","","","","","","",""
"2015.0","5.0","31.0","151.0","7712.0","0.19","0.8","0.0","5.57","0.8","4.46","0.0","0.0","0.0","0.0","23.5","29.38","120.0","60.0","96.5","90.62","0.0","","","","","","",""
"2015.0","6.0","1.0","152.0","7712.0","0.19","0.8","0.0","5.56","0.8","4.45","0.0","0.0","0.0","0.0","27.94","29.38","120.0","60.0","92.06","90.62","0.0","","","","","","",""
"2015.0","6.0","2.0","153.0","7712.0","0.18","0.8","0.0","5.75","0.8","4.6","0.0","0.0","0.0","0.0","0.0","29.38","120.0","60.0","120.0","90.62","32.54","","","","","","",""
"2015.0","6.0","3.0","154.0","7712.0","0.18","0.8","0.0","5.65","0.8","4.52","0.0","0.0","0.0","0.0","4.52","29.38","120.0","60.0","115.48","90.62","0.0","","","","","","",""
"2015.0","6.0","4.0","155.0","7712.0","0.18","0.8","0.0","5.94","0.8","4.75","0.0","0.0","0.0","0.0","9.27","29.38","120.0","60.0","110.73","90.62","0.0","","","","","","",""
"2015.0","6.0","5.0","156.0","7712.0","0.17","0.8","0.0","6.93","0.8","5.54","0.0","0.0","0.0","0.0","14.82","29.38","120.0","60.0","105.18","90.62","0.0","","","","","","",""
"2015.0","6.0","6.0","157.0","7712.0","0.17","0.8","0.0","6.53","0.8","5.22","0.01","0.01","0.0","0.0","20.03","29.38","120.0","60.0","99.97","90.62","0.0","","","","","","",""
"2015.0","6.0","7.0","158.0","7712.0","0.17","0.8","0.0","7.06","0.8","5.65","0.0","0.0","0.0","0.0","25.68","29.38","120.0","60.0","94.32","90.62","0.0","","","","","","",""
"2015.0","6.0","8.0","159.0","7712.0","0.17","0.8","0.0","7.42","0.8","5.94","0.0","0.0","0.0","0.0","0.0","29.38","120.0","60.0","120.0","90.62","31.61","","","","","","",""
"2015.0","6.0","9.0","160.0","7712.0","0.16","0.8","0.0","7.22","0.8","5.78","0.0","0.0","0.0","0.0","5.78","29.38","120.0","60.0","114.22","90.62","0.0","","","","","","",""
"2015.0","6.0","10.0","161.0","7712.0","0.16","0.8","0.0","2.57","0.8","2.06","0.07","0.07","0.0","0.0","7.76","29.38","120.0","60.0","112.24","90.62","0.0","","","","","","",""
"2015.0","6.0","11.0","162.0","7712.0","0.16","0.8","0.0","7.16","0.8","5.73","1.22","1.22","0.0","0.0","12.27","29.38","120.0","60.0","107.73","90.62","0.0","","","","","","",""
"2015.0","6.0","12.0","163.0","7712.0","0.16","0.8","0.0","8.08","0.8","6.46","0.0","0.0","0.0","0.0","18.73","29.38","120.0","60.0","101.27","90.62","0.0","","","","","","",""
"2015.0","6.0","13.0","164.0","7712.0","0.16","0.8","0.0","7.66","0.8","6.13","0.0","0.0","0.0","0.0","24.86","29.38","120.0","60.0","95.14","90.62","0.0","","","","","","",""
"2015.0","6.0","14.0","165.0","7712.0","0.15","0.8","0.0","6.92","0.8","5.54","0.0","0.0","0.0","0.0","0.0","29.38","120.0","60.0","120.0","90.62","30.4","","","","","","",""
"2015.0","6.0","15.0","166.0","7712.0","0.15","0.8","0.0","6.72","0.8","5.38","0.0","0.0","0.0","0.0","5.38","29.38","120.0","60.0","114.62","90.62","0.0","","","","","","",""
"2015.0","6.0","16.0","167.0","7712.0","0.15","0.8","0.0","7.03","0.8","5.62","0.0","0.0","0.0","0.0","11.0","29.38","120.0","60.0","109.0","90.62","0.0","","","","","","",""
"2015.0","6.0","17.0","168.0","7712.0","0.15","0.8","0.0","6.97","0.8","5.58","0.0","0.0","0.0","0.0","16.58","29.38","120.0","60.0","103.42","90.62","0.0","","","","","","",""
"2015.0","6.0","18.0","169.0","7712.0","0.15","0.8","0.0","7.75","0.8","6.2","0.0","0.0","0.0","0.0","22.78","29.38","120.0","60.0","97.22","90.62","0.0","","","","","","",""
"2015.0","6.0","19.0","170.0","7712.0","0.14","0.8","0.0","7.43","0.8","5.94","0.0","0.0","0.0","0.0","28.72","29.38","120.0","60.0","91.28","90.62","0.0","","","","","","",""
"2015.0","6.0","20.0","171.0","7712.0","0.14","0.8","0.0","7.17","0.8","5.74","0.0","0.0","0.0","0.0","0.0","29.38","120.0","60.0","120.0","90.62","34.46","","","","","","",""
"2015.0","6.0","21.0","172.0","7712.0","0.14","0.8","0.0","7.78","0.8","6.22","0.0","0.0","0.0","0.0","6.22","29.38","120.0","60.0","113.78","90.62","0.0","","","","","","",""
"2015.0","6.0","22.0","173.0","7712.0","0.14","0.8","0.0","6.99","0.8","5.59","0.0","0.0","0.0","0.0","11.82","29.38","120.0","60.0","108.18","90.62","0.0","","","","","","",""
"2015.0","6.0","23.0","174.0","7712.0","0.14","0.8","0.0","7.45","0.8","5.96","0.0","0.0","0.0","0.0","17.78","29.38","120.0","60.0","102.22","90.62","0.0","","","","","","",""
"2015.0","6.0","24.0","175.0","7712.0","0.14","0.8","0.0","7.51","0.8","6.01","0.0","0.0","0.0","0.0","23.78","29.38","120.0","60.0","96.22","90.62","0.0","","","","","","",""
"2015.0","6.0","25.0","176.0","7712.0","0.14","0.8","0.0","7.98","0.8","6.38","0.0","0.0","0.0","0.0","0.0","29.38","120.0","60.0","120.0","90.62","30.17","","","","","","",""
"2015.0","6.0","26.0","177.0","7712.0","0.13","0.8","0.0","8.46","0.8","6.77","0.0","0.0","0.0","0.0","6.77","29.38","120.0","60.0","113.23","90.62","0.0","","","","","","",""
"2015.0","6.0","27.0","178.0","7712.0","0.13","0.8","0.0","7.16","0.8","5.73","0.0","0.0","0.0","0.0","12.5","29.38","120.0","60.0","107.5","90.62","0.0","","","","","","",""
"2015.0","6.0","28.0","179.0","7712.0","0.13","0.8","0.0","7.43","0.8","5.94","0.0","0.0","0.0","0.0","18.44","29.38","120.0","60.0","101.56","90.62","0.0","","","","","","",""
"2015.0","6.0","29.0","180.0","7712.0","0.13","0.8","0.0","7.6","0.8","6.08","0.0","0.0","0.0","0.0","24.52","29.38","120.0","60.0","95.48","90.62","0.0","","","","","","",""
"2015.0","6.0","30.0","181.0","7712.0","0.13","0.8","0.0","7.68","0.8","6.14","0.0","0.0","0.0","0.0","0.0","29.38","120.0","60.0","120.0","90.62","30.66","","","","","","",""
