" Daily soil water balance output for Potatoes in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Potatoes in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","2.0","9.0","40.0","36.0","1.14","0.0","0.0","1.97","1.14","2.25","23.02","2.25","0.0","0.0","0.0","20.25","162.0","81.0","162.0","141.75","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","36.0","1.14","0.0","0.0","1.83","1.14","2.09","0.18","0.18","0.0","0.0","1.91","20.25","162.0","81.0","160.09","141.75","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","36.0","1.15","0.0","0.0","1.59","1.15","1.83","0.0","0.0","0.0","0.0","3.74","20.25","162.0","81.0","158.26","141.75","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","36.0","1.03","0.0","0.0","1.98","1.03","2.03","0.0","0.0","0.0","0.0","5.77","20.25","162.0","81.0","156.23","141.75","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","36.0","0.91","0.0","0.0","2.03","0.91","1.84","0.0","0.0","0.0","0.0","7.61","20.25","162.0","81.0","154.39","141.75","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","36.0","0.82","0.0","0.0","2.18","0.82","1.78","0.0","0.0","0.0","0.0","9.39","20.25","162.0","81.0","152.61","141.75","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","36.0","0.75","0.0","0.0","2.09","0.75","1.57","0.0","0.0","0.0","0.0","10.96","20.25","162.0","81.0","151.04","141.75","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","36.0","0.7","0.0","0.0","2.24","0.7","1.56","0.0","0.0","0.0","0.0","12.52","20.25","162.0","81.0","149.48","141.75","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","36.0","0.66","0.0","0.0","1.94","0.66","1.28","0.0","0.0","0.0","0.0","13.8","20.25","162.0","81.0","148.2","141.75","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","36.0","0.63","0.0","0.0","1.5","0.63","0.95","0.0","0.0","0.0","0.0","14.74","20.25","162.0","81.0","147.26","141.75","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","36.0","0.62","0.0","0.0","1.08","0.62","0.66","0.0","0.0","0.0","0.0","15.41","20.25","162.0","81.0","146.59","141.75","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","36.0","0.59","0.0","0.0","1.97","0.59","1.16","0.0","0.0","0.0","0.0","16.57","20.25","162.0","81.0","145.43","141.75","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","36.0","0.57","0.0","0.0","1.62","0.57","0.92","0.0","0.0","0.0","0.0","17.49","20.25","162.0","81.0","144.51","141.75","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","36.0","0.53","0.0","0.0","3.74","0.53","1.97","0.0","0.0","0.0","0.0","19.46","20.25","162.0","81.0","142.54","141.75","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","36.0","0.49","0.0","0.0","4.35","0.49","2.13","0.0","0.0","0.0","0.0","21.58","20.25","162.0","81.0","140.42","141.75","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","36.0","0.47","0.0","0.0","2.85","0.47","1.33","0.0","0.0","0.0","0.0","20.25","20.25","162.0","81.0","141.75","141.75","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","36.0","0.45","0.0","0.0","2.19","0.45","0.99","0.0","0.0","0.0","0.0","21.24","20.25","162.0","81.0","140.76","141.75","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","36.0","0.44","0.0","0.0","3.07","0.44","1.34","0.0","0.0","0.0","0.0","20.25","20.25","162.0","81.0","141.75","141.75","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","36.0","0.42","0.0","0.0","2.77","0.42","1.17","0.0","0.0","0.0","0.0","21.42","20.25","162.0","81.0","140.58","141.75","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","36.0","0.41","0.0","0.0","1.93","0.41","0.8","0.0","0.0","0.0","0.0","20.25","20.25","162.0","81.0","141.75","141.75","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","36.0","0.4","0.0","0.0","2.68","0.4","1.07","0.0","0.0","0.0","0.0","21.32","20.25","162.0","81.0","140.68","141.75","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","36.0","0.39","0.0","0.0","2.33","0.39","0.91","0.0","0.0","0.0","0.0","20.25","20.25","162.0","81.0","141.75","141.75","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","36.0","0.38","0.0","0.0","2.59","0.38","0.99","1.02","1.02","0.0","0.0","20.22","20.25","162.0","81.0","141.78","141.75","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","36.0","0.37","0.0","0.0","2.6","0.37","0.97","0.0","0.0","0.0","0.0","21.18","20.25","162.0","81.0","140.82","141.75","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","36.0","0.36","0.0","0.0","2.79","0.36","1.01","0.0","0.0","0.0","0.0","20.25","20.25","162.0","81.0","141.75","141.75","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","36.0","0.35","0.0","0.0","3.0","0.35","1.06","0.0","0.0","0.0","0.0","21.31","20.25","162.0","81.0","140.69","141.75","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","36.0","0.35","0.0","0.0","2.8","0.35","0.97","0.0","0.0","0.0","0.0","20.25","20.25","162.0","81.0","141.75","141.75","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","36.0","0.34","0.0","0.0","2.98","0.34","1.01","0.0","0.0","0.0","0.0","21.26","20.25","162.0","81.0","140.74","141.75","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","36.0","0.33","0.0","0.0","3.06","0.33","1.01","0.0","0.0","0.0","0.0","20.25","20.25","162.0","81.0","141.75","141.75","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","36.0","0.32","0.0","0.0","2.4","0.32","0.78","0.0","0.0","0.0","0.0","21.03","20.25","162.0","81.0","140.97","141.75","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","36.0","0.32","0.0","0.0","2.11","0.32","0.67","1.32","1.32","0.0","0.0","19.71","20.25","162.0","81.0","142.29","141.75","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","36.0","1.08","0.0","0.0","3.47","1.08","3.75","3.55","3.55","0.0","0.0","19.91","20.25","162.0","81.0","142.09","141.75","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","36.0","1.06","0.0","0.0","3.11","1.06","3.29","0.0","0.0","0.0","0.0","23.2","20.25","162.0","81.0","138.8","141.75","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","36.0","0.86","0.0","0.0","3.29","0.86","2.84","0.0","0.0","0.0","0.0","20.25","20.25","162.0","81.0","141.75","141.75","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","36.0","0.73","0.0","0.0","3.85","0.73","2.81","0.0","0.0","0.0","0.0","23.06","20.25","162.0","81.0","138.94","141.75","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","36.0","0.68","0.0","0.0","2.46","0.68","1.66","0.0","0.0","0.0","0.0","20.25","20.25","162.0","81.0","141.75","141.75","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","36.0","0.61","0.0","0.0","3.49","0.61","2.13","0.0","0.0","0.0","0.0","22.38","20.25","162.0","81.0","139.62","141.75","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","36.0","0.56","0.0","0.0","3.89","0.56","2.17","0.0","0.0","0.0","0.0","20.25","20.25","162.0","81.0","141.75","141.75","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","36.0","0.52","0.0","0.0","3.94","0.52","2.03","0.0","0.0","0.0","0.0","22.28","20.25","162.0","81.0","139.72","141.75","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","36.0","0.49","0.0","0.0","3.11","0.49","1.52","0.0","0.0","0.0","0.0","20.25","20.25","162.0","81.0","141.75","141.75","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","36.0","0.46","0.0","0.0","3.63","0.46","1.68","0.0","0.0","0.0","0.0","21.93","20.25","162.0","81.0","140.07","141.75","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","36.0","0.44","0.0","0.0","3.27","0.44","1.45","0.0","0.0","0.0","0.0","20.25","20.25","162.0","81.0","141.75","141.75","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","36.0","0.42","0.0","0.0","3.28","0.42","1.39","0.25","0.25","0.0","0.0","21.39","20.25","162.0","81.0","140.61","141.75","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","36.0","0.41","0.0","0.0","3.19","0.41","1.3","0.0","0.0","0.0","0.0","20.25","20.25","162.0","81.0","141.75","141.75","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","36.0","0.39","0.0","0.0","4.23","0.39","1.65","0.0","0.0","0.0","0.0","21.9","20.25","162.0","81.0","140.1","141.75","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","36.0","0.37","0.0","0.0","3.92","0.37","1.47","0.0","0.0","0.0","0.0","20.25","20.25","162.0","81.0","141.75","141.75","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","36.0","0.36","0.0","0.0","4.55","0.36","1.63","0.0","0.0","0.0","0.0","21.88","20.25","162.0","81.0","140.12","141.75","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","36.0","0.34","0.0","0.0","4.99","0.34","1.71","0.0","0.0","0.0","0.0","20.25","20.25","162.0","81.0","141.75","141.75","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","36.0","0.33","0.0","0.0","4.76","0.33","1.57","0.0","0.0","0.0","0.0","21.82","20.25","162.0","81.0","140.18","141.75","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","36.0","0.32","0.0","0.0","4.57","0.32","1.46","0.0","0.0","0.0","0.0","20.25","20.25","162.0","81.0","141.75","141.75","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","36.0","0.31","0.0","0.0","4.61","0.31","1.43","0.0","0.0","0.0","0.0","21.68","20.25","162.0","81.0","140.32","141.75","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","36.0","0.3","0.0","0.0","4.22","0.3","1.27","0.0","0.0","0.0","0.0","20.25","20.25","162.0","81.0","141.75","141.75","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","36.0","0.29","0.0","0.0","5.59","0.29","1.62","0.0","0.0","0.0","0.0","21.87","20.25","162.0","81.0","140.13","141.75","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","36.0","0.28","0.0","0.0","4.63","0.28","1.31","0.0","0.0","0.0","0.0","20.25","20.25","162.0","81.0","141.75","141.75","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","36.0","0.28","0.0","0.0","4.53","0.28","1.25","0.0","0.0","0.0","0.0","21.5","20.25","162.0","81.0","140.5","141.75","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","36.0","0.27","0.0","0.0","2.58","0.27","0.7","0.0","0.0","0.0","0.0","20.25","20.25","162.0","81.0","141.75","141.75","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","36.0","0.27","0.0","0.0","2.98","0.27","0.8","1.42","1.42","0.0","0.0","19.63","20.25","162.0","81.0","142.37","141.75","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","36.0","1.12","0.0","0.0","2.41","1.12","2.71","6.49","6.49","0.0","0.0","15.85","20.25","162.0","81.0","146.15","141.75","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","36.0","1.1","0.0","0.0","2.91","1.1","3.21","13.25","13.25","0.0","0.0","5.81","20.25","162.0","81.0","156.19","141.75","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","36.0","1.07","0.0","0.0","3.48","1.07","3.74","0.0","0.0","0.0","0.0","9.55","20.25","162.0","81.0","152.45","141.75","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","36.0","0.83","0.0","0.0","4.13","0.83","3.44","0.0","0.0","0.0","0.0","12.99","20.25","162.0","81.0","149.01","141.75","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","36.0","0.7","0.0","0.0","4.29","0.7","3.0","0.0","0.0","0.0","0.0","15.99","20.25","162.0","81.0","146.01","141.75","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","36.0","0.6","0.0","0.0","4.97","0.6","2.99","0.0","0.0","0.0","0.0","18.98","20.25","162.0","81.0","143.02","141.75","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","36.0","0.53","0.0","0.0","5.12","0.53","2.74","0.0","0.0","0.0","0.0","21.72","20.25","162.0","81.0","140.28","141.75","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","36.0","0.49","0.0","0.0","4.85","0.49","2.37","0.0","0.0","0.0","0.0","20.25","20.25","162.0","81.0","141.75","141.75","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","36.0","0.44","0.8","0.0","6.7","0.8","5.36","0.0","0.0","0.0","0.0","25.61","38.18","162.0","81.0","136.39","123.82","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","36.0","0.4","0.8","0.0","6.12","0.8","4.9","0.0","0.0","0.0","0.0","30.51","38.18","162.0","81.0","131.49","123.82","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","36.0","0.38","0.8","0.0","5.33","0.8","4.26","0.0","0.0","0.0","0.0","34.77","38.18","162.0","81.0","127.23","123.82","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","36.0","0.36","0.8","0.0","5.03","0.8","4.02","0.0","0.0","0.0","0.0","0.0","38.18","162.0","81.0","162.0","123.82","38.79","","","","","","","","",""
"2015.0","4.0","19.0","109.0","36.0","0.34","0.8","0.0","5.36","0.8","4.29","0.0","0.0","0.0","0.0","4.29","38.18","162.0","81.0","157.71","123.82","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","36.0","0.33","0.8","0.0","4.9","0.8","3.92","0.0","0.0","0.0","0.0","8.21","38.18","162.0","81.0","153.79","123.82","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","36.0","0.32","0.8","0.0","3.95","0.8","3.16","0.0","0.0","0.0","0.0","11.37","38.18","162.0","81.0","150.63","123.82","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","36.0","0.31","0.8","0.0","4.22","0.8","3.38","0.0","0.0","0.0","0.0","14.74","38.18","162.0","81.0","147.26","123.82","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","36.0","0.3","0.8","0.0","4.83","0.8","3.86","0.0","0.0","0.0","0.0","18.61","38.18","162.0","81.0","143.39","123.82","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","36.0","0.29","0.8","0.0","4.92","0.8","3.94","0.0","0.0","0.0","0.0","22.54","38.18","162.0","81.0","139.46","123.82","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","36.0","1.06","0.8","0.0","4.12","1.06","4.35","14.13","14.13","0.0","0.0","12.76","38.18","162.0","81.0","149.24","123.82","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","36.0","0.87","0.8","0.0","5.12","0.87","4.46","0.0","0.0","0.0","0.0","17.22","38.18","162.0","81.0","144.78","123.82","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","36.0","0.67","0.8","0.0","6.14","0.8","4.91","0.0","0.0","0.0","0.0","22.13","38.18","162.0","81.0","139.87","123.82","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","36.0","0.57","0.8","0.0","5.67","0.8","4.54","0.0","0.0","0.0","0.0","26.67","38.18","162.0","81.0","135.33","123.82","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","36.0","0.51","0.8","0.0","5.35","0.8","4.28","0.0","0.0","0.0","0.0","30.95","38.18","162.0","81.0","131.05","123.82","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","36.0","0.45","0.8","0.0","6.54","0.8","5.23","0.0","0.0","0.0","0.0","36.18","38.18","162.0","81.0","125.82","123.82","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","36.0","0.41","0.8","0.0","6.55","0.8","5.24","0.0","0.0","0.0","0.0","0.0","38.18","162.0","81.0","162.0","123.82","41.42","","","","","","","","",""
"2015.0","5.0","2.0","122.0","36.0","0.38","0.8","0.0","6.19","0.8","4.95","0.0","0.0","0.0","0.0","4.95","38.18","162.0","81.0","157.05","123.82","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","36.0","0.36","0.8","0.0","5.44","0.8","4.35","0.0","0.0","0.0","0.0","9.3","38.18","162.0","81.0","152.7","123.82","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","36.0","0.35","0.8","0.0","4.95","0.8","3.96","0.0","0.0","0.0","0.0","13.26","38.18","162.0","81.0","148.74","123.82","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","36.0","0.33","0.8","0.0","4.89","0.8","3.91","0.0","0.0","0.0","0.0","17.18","38.18","162.0","81.0","144.82","123.82","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","36.0","0.32","0.8","0.0","5.24","0.8","4.19","0.0","0.0","0.0","0.0","21.37","38.18","162.0","81.0","140.63","123.82","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","36.0","0.31","0.8","0.0","4.2","0.8","3.36","0.45","0.45","0.0","0.0","24.28","38.18","162.0","81.0","137.72","123.82","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","36.0","0.3","0.8","0.0","4.53","0.8","3.62","0.55","0.55","0.0","0.0","27.35","38.18","162.0","81.0","134.65","123.82","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","36.0","0.29","0.8","0.0","5.14","0.8","4.11","0.0","0.0","0.0","0.0","31.46","38.18","162.0","81.0","130.54","123.82","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","36.0","0.28","0.8","0.0","5.31","0.8","4.25","0.0","0.0","0.0","0.0","35.71","38.18","162.0","81.0","126.29","123.82","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","36.0","0.27","0.8","0.0","5.28","0.8","4.22","0.0","0.0","0.0","0.0","0.0","38.18","162.0","81.0","162.0","123.82","39.94","","","","","","","","",""
"2015.0","5.0","12.0","132.0","36.0","0.27","0.8","0.0","5.03","0.8","4.02","0.0","0.0","0.0","0.0","4.02","38.18","162.0","81.0","157.98","123.82","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","36.0","0.26","0.8","0.0","4.79","0.8","3.83","0.0","0.0","0.0","0.0","7.86","38.18","162.0","81.0","154.14","123.82","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","36.0","0.26","0.81","0.0","3.95","0.81","3.19","0.0","0.0","0.0","0.0","11.05","38.18","162.0","81.0","150.95","123.82","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","36.0","0.25","0.82","0.0","4.75","0.82","3.88","0.02","0.02","0.0","0.0","14.91","38.18","162.0","81.0","147.09","123.82","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","36.0","0.24","0.83","0.0","4.87","0.83","4.02","0.0","0.0","0.0","0.0","18.94","38.18","162.0","81.0","143.06","123.82","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","36.0","0.24","0.84","0.0","4.0","0.84","3.34","0.0","0.0","0.0","0.0","22.28","38.18","162.0","81.0","139.72","123.82","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","36.0","0.24","0.84","0.0","4.7","0.84","3.97","0.0","0.0","0.0","0.0","26.25","38.18","162.0","81.0","135.75","123.82","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","36.0","0.23","0.85","0.0","5.07","0.85","4.32","0.0","0.0","0.0","0.0","30.57","38.18","162.0","81.0","131.43","123.82","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","36.0","0.23","0.86","0.0","5.05","0.86","4.35","0.0","0.0","0.0","0.0","34.92","38.18","162.0","81.0","127.08","123.82","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","36.0","0.22","0.87","0.0","4.58","0.87","3.99","0.0","0.0","0.0","0.0","0.0","38.18","162.0","81.0","162.0","123.82","38.91","","","","","","","","",""
"2015.0","5.0","22.0","142.0","36.0","0.22","0.88","0.0","4.94","0.88","4.34","0.0","0.0","0.0","0.0","4.34","38.18","162.0","81.0","157.66","123.82","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","36.0","0.22","0.89","0.0","4.77","0.89","4.24","0.0","0.0","0.0","0.0","8.58","38.18","162.0","81.0","153.42","123.82","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","36.0","0.21","0.9","0.0","5.77","0.9","5.18","0.0","0.0","0.0","0.0","13.76","38.18","162.0","81.0","148.24","123.82","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","36.0","0.21","0.91","0.0","5.58","0.91","5.05","0.0","0.0","0.0","0.0","18.81","38.18","162.0","81.0","143.19","123.82","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","36.0","0.2","0.91","0.0","5.63","0.91","5.15","0.0","0.0","0.0","0.0","23.96","38.18","162.0","81.0","138.04","123.82","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","36.0","0.2","0.92","0.0","5.67","0.92","5.24","0.0","0.0","0.0","0.0","29.2","38.18","162.0","81.0","132.8","123.82","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","36.0","0.2","0.93","0.0","5.48","0.93","5.11","0.0","0.0","0.0","0.0","34.31","38.18","162.0","81.0","127.69","123.82","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","36.0","0.19","0.94","0.0","6.16","0.94","5.8","0.0","0.0","0.0","0.0","0.0","38.18","162.0","81.0","162.0","123.82","40.11","","","","","","","","",""
"2015.0","5.0","30.0","150.0","36.0","0.19","0.95","0.0","6.49","0.95","6.17","0.0","0.0","0.0","0.0","6.17","38.18","162.0","81.0","155.83","123.82","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","36.0","0.19","0.96","0.0","5.57","0.96","5.34","0.0","0.0","0.0","0.0","11.51","38.18","162.0","81.0","150.49","123.82","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","36.0","0.19","0.97","0.0","5.56","0.97","5.38","0.0","0.0","0.0","0.0","16.89","38.18","162.0","81.0","145.11","123.82","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","36.0","0.18","0.98","0.0","5.75","0.98","5.61","0.0","0.0","0.0","0.0","22.5","38.18","162.0","81.0","139.5","123.82","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","36.0","0.18","0.99","0.0","5.65","0.99","5.57","0.0","0.0","0.0","0.0","28.07","38.18","162.0","81.0","133.93","123.82","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","36.0","0.18","0.99","0.0","5.94","0.99","5.91","0.0","0.0","0.0","0.0","33.97","38.18","162.0","81.0","128.03","123.82","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","36.0","0.17","1.0","0.0","6.93","1.0","6.95","0.0","0.0","0.0","0.0","0.0","38.18","162.0","81.0","162.0","123.82","40.92","","","","","","","","",""
"2015.0","6.0","6.0","157.0","36.0","0.17","1.01","0.0","6.53","1.01","6.61","0.01","0.01","0.0","0.0","6.6","38.18","162.0","81.0","155.4","123.82","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","36.0","0.17","1.02","0.0","7.06","1.02","7.21","0.0","0.0","0.0","0.0","13.8","38.18","162.0","81.0","148.2","123.82","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","36.0","0.17","1.03","0.0","7.42","1.03","7.64","0.0","0.0","0.0","0.0","21.44","38.18","162.0","81.0","140.56","123.82","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","36.0","0.16","1.04","0.0","7.22","1.04","7.5","0.0","0.0","0.0","0.0","28.94","38.18","162.0","81.0","133.06","123.82","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","36.0","0.16","1.05","0.0","2.57","1.05","2.69","0.07","0.07","0.0","0.0","31.56","38.18","162.0","81.0","130.44","123.82","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","36.0","0.16","1.06","0.0","7.16","1.06","7.56","1.22","1.22","0.0","0.0","37.9","38.18","162.0","81.0","124.1","123.82","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","36.0","0.16","1.06","0.0","8.08","1.06","8.6","0.0","0.0","0.0","0.0","0.0","38.18","162.0","81.0","162.0","123.82","46.5","","","","","","","","",""
"2015.0","6.0","13.0","164.0","36.0","0.16","1.07","0.0","7.66","1.07","8.22","0.0","0.0","0.0","0.0","8.22","38.18","162.0","81.0","153.78","123.82","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","36.0","0.15","1.08","0.0","6.92","1.08","7.49","0.0","0.0","0.0","0.0","15.71","38.18","162.0","81.0","146.29","123.82","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","36.0","0.15","1.09","0.0","6.72","1.09","7.33","0.0","0.0","0.0","0.0","23.05","38.18","162.0","81.0","138.95","123.82","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","36.0","0.15","1.1","0.0","7.03","1.1","7.73","0.0","0.0","0.0","0.0","30.78","38.18","162.0","81.0","131.22","123.82","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","36.0","0.15","1.1","0.0","6.97","1.1","7.67","0.0","0.0","0.0","0.0","0.0","38.18","162.0","81.0","162.0","123.82","38.45","","","","","","","","",""
"2015.0","6.0","18.0","169.0","36.0","0.15","1.1","0.0","7.75","1.1","8.52","0.0","0.0","0.0","0.0","8.52","38.18","162.0","81.0","153.48","123.82","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","36.0","0.14","1.1","0.0","7.43","1.1","8.17","0.0","0.0","0.0","0.0","16.7","38.18","162.0","81.0","145.3","123.82","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","36.0","0.14","1.1","0.0","7.17","1.1","7.89","0.0","0.0","0.0","0.0","24.59","38.18","162.0","81.0","137.42","123.82","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","36.0","0.14","1.1","0.0","7.78","1.1","8.56","0.0","0.0","0.0","0.0","33.14","38.18","162.0","81.0","128.86","123.82","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","36.0","0.14","1.1","0.0","6.99","1.1","7.69","0.0","0.0","0.0","0.0","0.0","38.18","162.0","81.0","162.0","123.82","40.83","","","","","","","","",""
"2015.0","6.0","23.0","174.0","36.0","0.14","1.1","0.0","7.45","1.1","8.19","0.0","0.0","0.0","0.0","8.19","38.18","162.0","81.0","153.81","123.82","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","36.0","0.14","1.1","0.0","7.51","1.1","8.26","0.0","0.0","0.0","0.0","16.46","38.18","162.0","81.0","145.54","123.82","0.0","","","","","","","","",""
"2015.0","6.0","25.0","176.0","36.0","0.14","1.1","0.0","7.98","1.1","8.78","0.0","0.0","0.0","0.0","25.23","38.18","162.0","81.0","136.77","123.82","0.0","","","","","","","","",""
"2015.0","6.0","26.0","177.0","36.0","0.13","1.1","0.0","8.46","1.1","9.31","0.0","0.0","0.0","0.0","34.54","38.18","162.0","81.0","127.46","123.82","0.0","","","","","","","","",""
