" Daily soil water balance output for Urban Landscape in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Urban Landscape in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"2015.0","2.0","11.0","42.0","12750.0","1.15","0.8","0.0","1.69","1.15","1.94","0.0","0.0","0.0","0.0","4.06","32.86","136.0","68.0","131.94","103.14","0.0","","","","","","",""
"2015.0","2.0","12.0","43.0","12750.0","1.01","0.8","0.0","2.01","1.01","2.02","0.0","0.0","0.0","0.0","6.08","32.86","136.0","68.0","129.92","103.14","0.0","","","","","","",""
"2015.0","2.0","13.0","44.0","12750.0","0.89","0.8","0.0","2.06","0.89","1.84","0.0","0.0","0.0","0.0","7.92","32.86","136.0","68.0","128.08","103.14","0.0","","","","","","",""
"2015.0","2.0","14.0","45.0","12750.0","0.81","0.8","0.0","2.19","0.81","1.76","0.0","0.0","0.0","0.0","9.69","32.86","136.0","68.0","126.31","103.14","0.0","","","","","","",""
"2015.0","2.0","15.0","46.0","12750.0","0.74","0.8","0.0","2.1","0.8","1.68","0.0","0.0","0.0","0.0","11.37","32.86","136.0","68.0","124.63","103.14","0.0","","","","","","",""
"2015.0","2.0","16.0","47.0","12750.0","0.69","0.8","0.0","2.08","0.8","1.66","0.0","0.0","0.0","0.0","13.03","32.86","136.0","68.0","122.97","103.14","0.0","","","","","","",""
"2015.0","2.0","17.0","48.0","12750.0","0.66","0.8","0.0","1.79","0.8","1.43","0.0","0.0","0.0","0.0","14.46","32.86","136.0","68.0","121.54","103.14","0.0","","","","","","",""
"2015.0","2.0","18.0","49.0","12750.0","0.63","0.8","0.0","1.77","0.8","1.42","0.0","0.0","0.0","0.0","15.88","32.86","136.0","68.0","120.12","103.14","0.0","","","","","","",""
"2015.0","2.0","19.0","50.0","12750.0","0.61","0.8","0.0","1.04","0.8","0.83","0.0","0.0","0.0","0.0","16.71","32.86","136.0","68.0","119.29","103.14","0.0","","","","","","",""
"2015.0","2.0","20.0","51.0","12750.0","0.59","0.8","0.0","1.91","0.8","1.53","0.0","0.0","0.0","0.0","18.24","32.86","136.0","68.0","117.76","103.14","0.0","","","","","","",""
"2015.0","2.0","21.0","52.0","12750.0","0.56","0.8","0.0","1.73","0.8","1.38","0.0","0.0","0.0","0.0","19.62","32.86","136.0","68.0","116.38","103.14","0.0","","","","","","",""
"2015.0","2.0","22.0","53.0","12750.0","0.53","0.8","0.0","3.17","0.8","2.54","0.0","0.0","0.0","0.0","22.16","32.86","136.0","68.0","113.84","103.14","0.0","","","","","","",""
"2015.0","2.0","23.0","54.0","12750.0","0.5","0.8","0.0","3.74","0.8","2.99","0.0","0.0","0.0","0.0","25.15","32.86","136.0","68.0","110.85","103.14","0.0","","","","","","",""
"2015.0","2.0","24.0","55.0","12750.0","0.48","0.8","0.0","2.72","0.8","2.18","0.0","0.0","0.0","0.0","27.33","32.86","136.0","68.0","108.67","103.14","0.0","","","","","","",""
"2015.0","2.0","25.0","56.0","12750.0","0.46","0.8","0.0","2.16","0.8","1.73","0.0","0.0","0.0","0.0","29.05","32.86","136.0","68.0","106.95","103.14","0.0","","","","","","",""
"2015.0","2.0","26.0","57.0","12750.0","0.44","0.8","0.0","2.91","0.8","2.33","0.0","0.0","0.0","0.0","31.38","32.86","136.0","68.0","104.62","103.14","0.0","","","","","","",""
"2015.0","2.0","27.0","58.0","12750.0","0.43","0.8","0.0","2.89","0.8","2.31","0.0","0.0","0.0","0.0","0.0","32.86","136.0","68.0","136.0","103.14","33.69","","","","","","",""
"2015.0","2.0","28.0","59.0","12750.0","0.42","0.8","0.0","2.1","0.8","1.68","0.0","0.0","0.0","0.0","1.68","32.86","136.0","68.0","134.32","103.14","0.0","","","","","","",""
"2015.0","3.0","1.0","60.0","12750.0","0.41","0.8","0.0","2.54","0.8","2.03","0.0","0.0","0.0","0.0","3.71","32.86","136.0","68.0","132.29","103.14","0.0","","","","","","",""
"2015.0","3.0","2.0","61.0","12750.0","0.4","0.8","0.0","2.2","0.8","1.76","0.0","0.0","0.0","0.0","5.47","32.86","136.0","68.0","130.53","103.14","0.0","","","","","","",""
"2015.0","3.0","3.0","62.0","12750.0","0.39","0.8","0.0","2.5","0.8","2.0","0.31","0.31","0.0","0.0","7.16","32.86","136.0","68.0","128.84","103.14","0.0","","","","","","",""
"2015.0","3.0","4.0","63.0","12750.0","0.38","0.8","0.0","2.61","0.8","2.09","0.0","0.0","0.0","0.0","9.25","32.86","136.0","68.0","126.75","103.14","0.0","","","","","","",""
"2015.0","3.0","5.0","64.0","12750.0","0.37","0.8","0.0","2.81","0.8","2.25","0.0","0.0","0.0","0.0","11.5","32.86","136.0","68.0","124.5","103.14","0.0","","","","","","",""
"2015.0","3.0","6.0","65.0","12750.0","0.36","0.8","0.0","2.99","0.8","2.39","0.0","0.0","0.0","0.0","13.89","32.86","136.0","68.0","122.11","103.14","0.0","","","","","","",""
"2015.0","3.0","7.0","66.0","12750.0","0.35","0.8","0.0","2.86","0.8","2.29","0.0","0.0","0.0","0.0","16.18","32.86","136.0","68.0","119.82","103.14","0.0","","","","","","",""
"2015.0","3.0","8.0","67.0","12750.0","0.34","0.8","0.0","2.91","0.8","2.33","0.0","0.0","0.0","0.0","18.51","32.86","136.0","68.0","117.49","103.14","0.0","","","","","","",""
"2015.0","3.0","9.0","68.0","12750.0","0.33","0.8","0.0","2.86","0.8","2.29","0.0","0.0","0.0","0.0","20.79","32.86","136.0","68.0","115.21","103.14","0.0","","","","","","",""
"2015.0","3.0","10.0","69.0","12750.0","0.33","0.8","0.0","2.39","0.8","1.91","0.0","0.0","0.0","0.0","22.71","32.86","136.0","68.0","113.29","103.14","0.0","","","","","","",""
"2015.0","3.0","11.0","70.0","12750.0","1.13","0.8","0.0","2.24","1.13","2.53","2.67","2.67","0.0","0.0","22.57","32.86","136.0","68.0","113.43","103.14","0.0","","","","","","",""
"2015.0","3.0","12.0","71.0","12750.0","1.11","0.8","0.0","3.32","1.11","3.68","2.08","2.08","0.0","0.0","24.17","32.86","136.0","68.0","111.83","103.14","0.0","","","","","","",""
"2015.0","3.0","13.0","72.0","12750.0","0.93","0.8","0.0","3.03","0.93","2.83","0.0","0.0","0.0","0.0","27.0","32.86","136.0","68.0","109.0","103.14","0.0","","","","","","",""
"2015.0","3.0","14.0","73.0","12750.0","0.79","0.8","0.0","3.33","0.8","2.66","0.0","0.0","0.0","0.0","29.66","32.86","136.0","68.0","106.34","103.14","0.0","","","","","","",""
"2015.0","3.0","15.0","74.0","12750.0","0.69","0.8","0.0","3.77","0.8","3.02","0.0","0.0","0.0","0.0","32.68","32.86","136.0","68.0","103.32","103.14","0.0","","","","","","",""
"2015.0","3.0","16.0","75.0","12750.0","0.64","0.8","0.0","2.61","0.8","2.09","0.0","0.0","0.0","0.0","0.0","32.86","136.0","68.0","136.0","103.14","34.76","","","","","","",""
"2015.0","3.0","17.0","76.0","12750.0","0.58","0.8","0.0","3.59","0.8","2.87","0.0","0.0","0.0","0.0","2.87","32.86","136.0","68.0","133.13","103.14","0.0","","","","","","",""
"2015.0","3.0","18.0","77.0","12750.0","0.54","0.8","0.0","3.75","0.8","3.0","1.28","1.28","0.0","0.0","4.59","32.86","136.0","68.0","131.41","103.14","0.0","","","","","","",""
"2015.0","3.0","19.0","78.0","12750.0","0.5","0.8","0.0","3.78","0.8","3.02","0.0","0.0","0.0","0.0","7.62","32.86","136.0","68.0","128.38","103.14","0.0","","","","","","",""
"2015.0","3.0","20.0","79.0","12750.0","0.48","0.8","0.0","3.08","0.8","2.46","0.0","0.0","0.0","0.0","10.08","32.86","136.0","68.0","125.92","103.14","0.0","","","","","","",""
"2015.0","3.0","21.0","80.0","12750.0","0.45","0.8","0.0","3.5","0.8","2.8","0.0","0.0","0.0","0.0","12.88","32.86","136.0","68.0","123.12","103.14","0.0","","","","","","",""
"2015.0","3.0","22.0","81.0","12750.0","0.43","0.8","0.0","3.12","0.8","2.5","0.0","0.0","0.0","0.0","15.38","32.86","136.0","68.0","120.62","103.14","0.0","","","","","","",""
"2015.0","3.0","23.0","82.0","12750.0","0.42","0.8","0.0","3.08","0.8","2.46","0.53","0.53","0.0","0.0","17.31","32.86","136.0","68.0","118.69","103.14","0.0","","","","","","",""
"2015.0","3.0","24.0","83.0","12750.0","0.4","0.8","0.0","3.33","0.8","2.66","0.0","0.0","0.0","0.0","19.97","32.86","136.0","68.0","116.03","103.14","0.0","","","","","","",""
"2015.0","3.0","25.0","84.0","12750.0","0.39","0.8","0.0","4.06","0.8","3.25","0.0","0.0","0.0","0.0","23.22","32.86","136.0","68.0","112.78","103.14","0.0","","","","","","",""
"2015.0","3.0","26.0","85.0","12750.0","0.37","0.8","0.0","3.9","0.8","3.12","0.0","0.0","0.0","0.0","26.34","32.86","136.0","68.0","109.66","103.14","0.0","","","","","","",""
"2015.0","3.0","27.0","86.0","12750.0","0.36","0.8","0.0","4.27","0.8","3.42","0.0","0.0","0.0","0.0","29.76","32.86","136.0","68.0","106.24","103.14","0.0","","","","","","",""
"2015.0","3.0","28.0","87.0","12750.0","0.34","0.8","0.0","4.84","0.8","3.87","0.0","0.0","0.0","0.0","0.0","32.86","136.0","68.0","136.0","103.14","33.63","","","","","","",""
"2015.0","3.0","29.0","88.0","12750.0","0.33","0.8","0.0","4.63","0.8","3.7","0.0","0.0","0.0","0.0","3.7","32.86","136.0","68.0","132.3","103.14","0.0","","","","","","",""
"2015.0","3.0","30.0","89.0","12750.0","0.32","0.8","0.0","4.42","0.8","3.54","0.0","0.0","0.0","0.0","7.24","32.86","136.0","68.0","128.76","103.14","0.0","","","","","","",""
"2015.0","3.0","31.0","90.0","12750.0","0.31","0.8","0.0","4.62","0.8","3.7","0.0","0.0","0.0","0.0","10.94","32.86","136.0","68.0","125.06","103.14","0.0","","","","","","",""
"2015.0","4.0","1.0","91.0","12750.0","0.3","0.8","0.0","4.12","0.8","3.3","0.0","0.0","0.0","0.0","14.23","32.86","136.0","68.0","121.77","103.14","0.0","","","","","","",""
"2015.0","4.0","2.0","92.0","12750.0","0.29","0.8","0.0","5.35","0.8","4.28","0.0","0.0","0.0","0.0","18.51","32.86","136.0","68.0","117.49","103.14","0.0","","","","","","",""
"2015.0","4.0","3.0","93.0","12750.0","0.28","0.8","0.0","4.55","0.8","3.64","0.0","0.0","0.0","0.0","22.15","32.86","136.0","68.0","113.85","103.14","0.0","","","","","","",""
"2015.0","4.0","4.0","94.0","12750.0","0.28","0.8","0.0","4.42","0.8","3.54","0.0","0.0","0.0","0.0","25.69","32.86","136.0","68.0","110.31","103.14","0.0","","","","","","",""
"2015.0","4.0","5.0","95.0","12750.0","0.27","0.8","0.0","2.61","0.8","2.09","0.65","0.65","0.0","0.0","27.13","32.86","136.0","68.0","108.87","103.14","0.0","","","","","","",""
"2015.0","4.0","6.0","96.0","12750.0","1.1","0.8","0.0","2.92","1.1","3.22","4.82","4.82","0.0","0.0","25.53","32.86","136.0","68.0","110.47","103.14","0.0","","","","","","",""
"2015.0","4.0","7.0","97.0","12750.0","1.11","0.8","0.0","2.82","1.11","3.12","3.41","3.41","0.0","0.0","25.24","32.86","136.0","68.0","110.76","103.14","0.0","","","","","","",""
"2015.0","4.0","8.0","98.0","12750.0","1.1","0.8","0.0","3.06","1.1","3.36","6.61","6.61","0.0","0.0","21.99","32.86","136.0","68.0","114.01","103.14","0.0","","","","","","",""
"2015.0","4.0","9.0","99.0","12750.0","1.06","0.8","0.0","3.49","1.06","3.7","0.0","0.0","0.0","0.0","25.69","32.86","136.0","68.0","110.31","103.14","0.0","","","","","","",""
"2015.0","4.0","10.0","100.0","12750.0","0.83","0.8","0.0","4.07","0.83","3.37","0.0","0.0","0.0","0.0","29.06","32.86","136.0","68.0","106.94","103.14","0.0","","","","","","",""
"2015.0","4.0","11.0","101.0","12750.0","0.7","0.8","0.0","4.2","0.8","3.36","0.0","0.0","0.0","0.0","32.42","32.86","136.0","68.0","103.58","103.14","0.0","","","","","","",""
"2015.0","4.0","12.0","102.0","12750.0","0.61","0.8","0.0","4.8","0.8","3.84","0.0","0.0","0.0","0.0","0.0","32.86","136.0","68.0","136.0","103.14","36.26","","","","","","",""
"2015.0","4.0","13.0","103.0","12750.0","0.54","0.8","0.0","4.68","0.8","3.74","0.0","0.0","0.0","0.0","3.74","32.86","136.0","68.0","132.26","103.14","0.0","","","","","","",""
"2015.0","4.0","14.0","104.0","12750.0","0.49","0.8","0.0","4.89","0.8","3.91","0.0","0.0","0.0","0.0","7.66","32.86","136.0","68.0","128.34","103.14","0.0","","","","","","",""
"2015.0","4.0","15.0","105.0","12750.0","0.45","0.8","0.0","6.17","0.8","4.94","0.0","0.0","0.0","0.0","12.59","32.86","136.0","68.0","123.41","103.14","0.0","","","","","","",""
"2015.0","4.0","16.0","106.0","12750.0","0.41","0.8","0.0","5.75","0.8","4.6","0.0","0.0","0.0","0.0","17.19","32.86","136.0","68.0","118.81","103.14","0.0","","","","","","",""
"2015.0","4.0","17.0","107.0","12750.0","0.39","0.8","0.0","5.26","0.8","4.21","0.0","0.0","0.0","0.0","21.4","32.86","136.0","68.0","114.6","103.14","0.0","","","","","","",""
"2015.0","4.0","18.0","108.0","12750.0","0.37","0.8","0.0","4.83","0.8","3.86","0.0","0.0","0.0","0.0","25.26","32.86","136.0","68.0","110.74","103.14","0.0","","","","","","",""
"2015.0","4.0","19.0","109.0","12750.0","0.35","0.8","0.0","4.94","0.8","3.95","0.0","0.0","0.0","0.0","29.22","32.86","136.0","68.0","106.78","103.14","0.0","","","","","","",""
"2015.0","4.0","20.0","110.0","12750.0","0.34","0.8","0.0","4.55","0.8","3.64","0.0","0.0","0.0","0.0","32.86","32.86","136.0","68.0","103.14","103.14","0.0","","","","","","",""
"2015.0","4.0","21.0","111.0","12750.0","0.33","0.8","0.0","3.69","0.8","2.95","0.0","0.0","0.0","0.0","0.0","32.86","136.0","68.0","136.0","103.14","35.81","","","","","","",""
"2015.0","4.0","22.0","112.0","12750.0","0.32","0.8","0.0","4.06","0.8","3.25","0.0","0.0","0.0","0.0","3.25","32.86","136.0","68.0","132.75","103.14","0.0","","","","","","",""
"2015.0","4.0","23.0","113.0","12750.0","0.31","0.8","0.0","4.61","0.8","3.69","0.0","0.0","0.0","0.0","6.94","32.86","136.0","68.0","129.06","103.14","0.0","","","","","","",""
"2015.0","4.0","24.0","114.0","12750.0","0.3","0.8","0.0","4.98","0.8","3.98","0.0","0.0","0.0","0.0","10.92","32.86","136.0","68.0","125.08","103.14","0.0","","","","","","",""
"2015.0","4.0","25.0","115.0","12750.0","1.06","0.8","0.0","3.96","1.06","4.2","7.89","7.89","0.0","0.0","7.23","32.86","136.0","68.0","128.77","103.14","0.0","","","","","","",""
"2015.0","4.0","26.0","116.0","12750.0","0.88","0.8","0.0","5.06","0.88","4.47","0.0","0.0","0.0","0.0","11.7","32.86","136.0","68.0","124.3","103.14","0.0","","","","","","",""
"2015.0","4.0","27.0","117.0","12750.0","0.68","0.8","0.0","5.85","0.8","4.68","0.0","0.0","0.0","0.0","16.38","32.86","136.0","68.0","119.62","103.14","0.0","","","","","","",""
"2015.0","4.0","28.0","118.0","12750.0","0.58","0.8","0.0","5.37","0.8","4.3","0.0","0.0","0.0","0.0","20.68","32.86","136.0","68.0","115.32","103.14","0.0","","","","","","",""
"2015.0","4.0","29.0","119.0","12750.0","0.52","0.8","0.0","5.19","0.8","4.15","0.0","0.0","0.0","0.0","24.83","32.86","136.0","68.0","111.17","103.14","0.0","","","","","","",""
"2015.0","4.0","30.0","120.0","12750.0","0.46","0.8","0.0","6.36","0.8","5.09","0.0","0.0","0.0","0.0","29.92","32.86","136.0","68.0","106.08","103.14","0.0","","","","","","",""
"2015.0","5.0","1.0","121.0","12750.0","0.42","0.8","0.0","6.3","0.8","5.04","0.0","0.0","0.0","0.0","0.0","32.86","136.0","68.0","136.0","103.14","34.96","","","","","","",""
"2015.0","5.0","2.0","122.0","12750.0","0.39","0.8","0.0","5.65","0.8","4.52","0.0","0.0","0.0","0.0","4.52","32.86","136.0","68.0","131.48","103.14","0.0","","","","","","",""
"2015.0","5.0","3.0","123.0","12750.0","0.37","0.8","0.0","4.95","0.8","3.96","0.0","0.0","0.0","0.0","8.48","32.86","136.0","68.0","127.52","103.14","0.0","","","","","","",""
"2015.0","5.0","4.0","124.0","12750.0","0.36","0.8","0.0","4.62","0.8","3.7","0.0","0.0","0.0","0.0","12.18","32.86","136.0","68.0","123.82","103.14","0.0","","","","","","",""
"2015.0","5.0","5.0","125.0","12750.0","0.34","0.8","0.0","4.71","0.8","3.77","0.0","0.0","0.0","0.0","15.94","32.86","136.0","68.0","120.06","103.14","0.0","","","","","","",""
"2015.0","5.0","6.0","126.0","12750.0","0.33","0.8","0.0","4.99","0.8","3.99","0.0","0.0","0.0","0.0","19.94","32.86","136.0","68.0","116.06","103.14","0.0","","","","","","",""
"2015.0","5.0","7.0","127.0","12750.0","0.32","0.8","0.0","3.32","0.8","2.66","0.0","0.0","0.0","0.0","22.59","32.86","136.0","68.0","113.41","103.14","0.0","","","","","","",""
"2015.0","5.0","8.0","128.0","12750.0","0.31","0.8","0.0","4.33","0.8","3.46","0.3","0.3","0.0","0.0","25.76","32.86","136.0","68.0","110.24","103.14","0.0","","","","","","",""
"2015.0","5.0","9.0","129.0","12750.0","0.3","0.8","0.0","4.75","0.8","3.8","0.0","0.0","0.0","0.0","29.56","32.86","136.0","68.0","106.44","103.14","0.0","","","","","","",""
"2015.0","5.0","10.0","130.0","12750.0","0.29","0.8","0.0","4.97","0.8","3.98","0.0","0.0","0.0","0.0","0.0","32.86","136.0","68.0","136.0","103.14","33.53","","","","","","",""
"2015.0","5.0","11.0","131.0","12750.0","0.28","0.8","0.0","4.98","0.8","3.98","0.0","0.0","0.0","0.0","3.98","32.86","136.0","68.0","132.02","103.14","0.0","","","","","","",""
"2015.0","5.0","12.0","132.0","12750.0","0.28","0.8","0.0","4.94","0.8","3.95","0.0","0.0","0.0","0.0","7.94","32.86","136.0","68.0","128.06","103.14","0.0","","","","","","",""
"2015.0","5.0","13.0","133.0","12750.0","0.27","0.8","0.0","4.64","0.8","3.71","0.0","0.0","0.0","0.0","11.65","32.86","136.0","68.0","124.35","103.14","0.0","","","","","","",""
"2015.0","5.0","14.0","134.0","12750.0","0.27","0.8","0.0","3.04","0.8","2.43","0.0","0.0","0.0","0.0","14.08","32.86","136.0","68.0","121.92","103.14","0.0","","","","","","",""
"2015.0","5.0","15.0","135.0","12750.0","0.26","0.8","0.0","4.56","0.8","3.65","3.66","3.66","0.0","0.0","14.07","32.86","136.0","68.0","121.93","103.14","0.0","","","","","","",""
"2015.0","5.0","16.0","136.0","12750.0","0.25","0.8","0.0","4.67","0.8","3.74","0.0","0.0","0.0","0.0","17.8","32.86","136.0","68.0","118.2","103.14","0.0","","","","","","",""
"2015.0","5.0","17.0","137.0","12750.0","0.25","0.8","0.0","3.98","0.8","3.18","0.0","0.0","0.0","0.0","20.99","32.86","136.0","68.0","115.01","103.14","0.0","","","","","","",""
"2015.0","5.0","18.0","138.0","12750.0","0.24","0.8","0.0","4.71","0.8","3.77","0.0","0.0","0.0","0.0","24.76","32.86","136.0","68.0","111.24","103.14","0.0","","","","","","",""
"2015.0","5.0","19.0","139.0","12750.0","0.24","0.8","0.0","4.89","0.8","3.91","0.0","0.0","0.0","0.0","28.67","32.86","136.0","68.0","107.33","103.14","0.0","","","","","","",""
"2015.0","5.0","20.0","140.0","12750.0","0.24","0.8","0.0","4.74","0.8","3.79","0.0","0.0","0.0","0.0","32.46","32.86","136.0","68.0","103.54","103.14","0.0","","","","","","",""
"2015.0","5.0","21.0","141.0","12750.0","0.23","0.8","0.0","4.02","0.8","3.22","0.0","0.0","0.0","0.0","0.0","32.86","136.0","68.0","136.0","103.14","35.68","","","","","","",""
"2015.0","5.0","22.0","142.0","12750.0","0.23","0.8","0.0","4.76","0.8","3.81","0.0","0.0","0.0","0.0","3.81","32.86","136.0","68.0","132.19","103.14","0.0","","","","","","",""
"2015.0","5.0","23.0","143.0","12750.0","0.22","0.8","0.0","4.73","0.8","3.78","0.0","0.0","0.0","0.0","7.59","32.86","136.0","68.0","128.41","103.14","0.0","","","","","","",""
"2015.0","5.0","24.0","144.0","12750.0","0.22","0.8","0.0","5.3","0.8","4.24","0.0","0.0","0.0","0.0","11.83","32.86","136.0","68.0","124.17","103.14","0.0","","","","","","",""
"2015.0","5.0","25.0","145.0","12750.0","0.22","0.8","0.0","5.22","0.8","4.18","0.0","0.0","0.0","0.0","16.01","32.86","136.0","68.0","119.99","103.14","0.0","","","","","","",""
"2015.0","5.0","26.0","146.0","12750.0","0.21","0.8","0.0","5.23","0.8","4.18","0.0","0.0","0.0","0.0","20.19","32.86","136.0","68.0","115.81","103.14","0.0","","","","","","",""
"2015.0","5.0","27.0","147.0","12750.0","0.21","0.8","0.0","5.27","0.8","4.22","0.0","0.0","0.0","0.0","24.41","32.86","136.0","68.0","111.59","103.14","0.0","","","","","","",""
"2015.0","5.0","28.0","148.0","12750.0","0.2","0.8","0.0","5.16","0.8","4.13","0.0","0.0","0.0","0.0","28.54","32.86","136.0","68.0","107.46","103.14","0.0","","","","","","",""
"2015.0","5.0","29.0","149.0","12750.0","0.2","0.8","0.0","5.83","0.8","4.66","0.0","0.0","0.0","0.0","0.0","32.86","136.0","68.0","136.0","103.14","33.2","","","","","","",""
"2015.0","5.0","30.0","150.0","12750.0","0.2","0.8","0.0","6.13","0.8","4.9","0.0","0.0","0.0","0.0","4.9","32.86","136.0","68.0","131.1","103.14","0.0","","","","","","",""
"2015.0","5.0","31.0","151.0","12750.0","0.19","0.8","0.0","5.1","0.8","4.08","0.0","0.0","0.0","0.0","8.98","32.86","136.0","68.0","127.02","103.14","0.0","","","","","","",""
"2015.0","6.0","1.0","152.0","12750.0","0.19","0.8","0.0","5.33","0.8","4.26","0.0","0.0","0.0","0.0","13.25","32.86","136.0","68.0","122.75","103.14","0.0","","","","","","",""
"2015.0","6.0","2.0","153.0","12750.0","0.19","0.8","0.0","5.55","0.8","4.44","0.0","0.0","0.0","0.0","17.69","32.86","136.0","68.0","118.31","103.14","0.0","","","","","","",""
"2015.0","6.0","3.0","154.0","12750.0","0.19","0.8","0.0","5.22","0.8","4.18","0.0","0.0","0.0","0.0","21.86","32.86","136.0","68.0","114.14","103.14","0.0","","","","","","",""
"2015.0","6.0","4.0","155.0","12750.0","0.18","0.8","0.0","5.69","0.8","4.55","0.0","0.0","0.0","0.0","26.42","32.86","136.0","68.0","109.58","103.14","0.0","","","","","","",""
"2015.0","6.0","5.0","156.0","12750.0","0.18","0.8","0.0","6.41","0.8","5.13","0.0","0.0","0.0","0.0","31.54","32.86","136.0","68.0","104.46","103.14","0.0","","","","","","",""
"2015.0","6.0","6.0","157.0","12750.0","0.18","0.8","0.0","6.08","0.8","4.86","0.0","0.0","0.0","0.0","0.0","32.86","136.0","68.0","136.0","103.14","36.41","","","","","","",""
"2015.0","6.0","7.0","158.0","12750.0","0.18","0.8","0.0","6.53","0.8","5.22","0.0","0.0","0.0","0.0","5.22","32.86","136.0","68.0","130.78","103.14","0.0","","","","","","",""
"2015.0","6.0","8.0","159.0","12750.0","0.17","0.8","0.0","7.19","0.8","5.75","0.0","0.0","0.0","0.0","10.98","32.86","136.0","68.0","125.02","103.14","0.0","","","","","","",""
"2015.0","6.0","9.0","160.0","12750.0","0.17","0.8","0.0","6.4","0.8","5.12","0.0","0.0","0.0","0.0","16.1","32.86","136.0","68.0","119.9","103.14","0.0","","","","","","",""
"2015.0","6.0","10.0","161.0","12750.0","0.17","0.8","0.0","2.74","0.8","2.19","0.19","0.19","0.0","0.0","18.1","32.86","136.0","68.0","117.9","103.14","0.0","","","","","","",""
"2015.0","6.0","11.0","162.0","12750.0","0.17","0.8","0.0","6.69","0.8","5.35","3.14","3.14","0.0","0.0","20.31","32.86","136.0","68.0","115.69","103.14","0.0","","","","","","",""
"2015.0","6.0","12.0","163.0","12750.0","0.16","0.8","0.0","7.43","0.8","5.94","0.0","0.0","0.0","0.0","26.25","32.86","136.0","68.0","109.75","103.14","0.0","","","","","","",""
"2015.0","6.0","13.0","164.0","12750.0","0.16","0.8","0.0","7.13","0.8","5.7","0.0","0.0","0.0","0.0","31.96","32.86","136.0","68.0","104.04","103.14","0.0","","","","","","",""
"2015.0","6.0","14.0","165.0","12750.0","0.16","0.8","0.0","6.37","0.8","5.1","0.0","0.0","0.0","0.0","0.0","32.86","136.0","68.0","136.0","103.14","37.05","","","","","","",""
"2015.0","6.0","15.0","166.0","12750.0","0.16","0.8","0.0","6.19","0.8","4.95","0.0","0.0","0.0","0.0","4.95","32.86","136.0","68.0","131.05","103.14","0.0","","","","","","",""
"2015.0","6.0","16.0","167.0","12750.0","0.16","0.8","0.0","6.63","0.8","5.3","3.09","3.09","0.0","0.0","7.17","32.86","136.0","68.0","128.83","103.14","0.0","","","","","","",""
"2015.0","6.0","17.0","168.0","12750.0","0.15","0.8","0.0","6.67","0.8","5.34","0.0","0.0","0.0","0.0","12.5","32.86","136.0","68.0","123.5","103.14","0.0","","","","","","",""
"2015.0","6.0","18.0","169.0","12750.0","0.15","0.8","0.0","7.15","0.8","5.72","0.0","0.0","0.0","0.0","18.22","32.86","136.0","68.0","117.78","103.14","0.0","","","","","","",""
"2015.0","6.0","19.0","170.0","12750.0","0.15","0.8","0.0","7.13","0.8","5.7","0.0","0.0","0.0","0.0","23.93","32.86","136.0","68.0","112.07","103.14","0.0","","","","","","",""
"2015.0","6.0","20.0","171.0","12750.0","0.15","0.8","0.0","6.67","0.8","5.34","0.0","0.0","0.0","0.0","29.26","32.86","136.0","68.0","106.74","103.14","0.0","","","","","","",""
"2015.0","6.0","21.0","172.0","12750.0","0.15","0.8","0.0","7.12","0.8","5.7","0.0","0.0","0.0","0.0","0.0","32.86","136.0","68.0","136.0","103.14","34.96","","","","","","",""
"2015.0","6.0","22.0","173.0","12750.0","0.15","0.8","0.0","6.69","0.8","5.35","0.0","0.0","0.0","0.0","5.35","32.86","136.0","68.0","130.65","103.14","0.0","","","","","","",""
"2015.0","6.0","23.0","174.0","12750.0","0.14","0.8","0.0","7.08","0.8","5.66","0.0","0.0","0.0","0.0","11.02","32.86","136.0","68.0","124.98","103.14","0.0","","","","","","",""
"2015.0","6.0","24.0","175.0","12750.0","0.14","0.8","0.0","7.0","0.8","5.6","0.0","0.0","0.0","0.0","16.62","32.86","136.0","68.0","119.38","103.14","0.0","","","","","","",""
"2015.0","6.0","25.0","176.0","12750.0","0.14","0.8","0.0","7.72","0.8","6.18","0.0","0.0","0.0","0.0","22.79","32.86","136.0","68.0","113.21","103.14","0.0","","","","","","",""
"2015.0","6.0","26.0","177.0","12750.0","0.14","0.8","0.0","7.92","0.8","6.34","0.0","0.0","0.0","0.0","29.13","32.86","136.0","68.0","106.87","103.14","0.0","","","","","","",""
"2015.0","6.0","27.0","178.0","12750.0","0.14","0.8","0.0","6.22","0.8","4.98","0.0","0.0","0.0","0.0","0.0","32.86","136.0","68.0","136.0","103.14","34.1","","","","","","",""
"2015.0","6.0","28.0","179.0","12750.0","0.14","0.8","0.0","6.84","0.8","5.47","0.0","0.0","0.0","0.0","5.47","32.86","136.0","68.0","130.53","103.14","0.0","","","","","","",""
"2015.0","6.0","29.0","180.0","12750.0","0.13","0.8","0.0","7.27","0.8","5.82","0.0","0.0","0.0","0.0","11.29","32.86","136.0","68.0","124.71","103.14","0.0","","","","","","",""
"2015.0","6.0","30.0","181.0","12750.0","0.13","0.8","0.0","7.45","0.8","5.96","0.0","0.0","0.0","0.0","17.25","32.86","136.0","68.0","118.75","103.14","0.0","","","","","","",""
