" Daily soil water balance output for Safflower in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Safflower in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","2.0","8.0","39.0","1384.0","1.17","0.0","0.0","1.3","1.17","1.52","4.76","1.52","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","","","",""
"2015.0","2.0","9.0","40.0","1384.0","1.14","0.0","0.0","2.0","1.14","2.28","20.3","2.28","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","1384.0","1.14","0.0","0.0","1.82","1.14","2.08","0.0","0.0","0.0","0.0","2.08","26.4","536.45","268.22","534.37","510.05","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","1384.0","1.15","0.0","0.0","1.61","1.15","1.85","0.0","0.0","0.0","0.0","3.93","26.4","536.45","268.22","532.52","510.05","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","1384.0","1.02","0.0","0.0","1.97","1.02","2.02","0.0","0.0","0.0","0.0","5.94","26.4","536.45","268.22","530.5","510.05","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","1384.0","0.91","0.0","0.0","2.0","0.91","1.81","0.0","0.0","0.0","0.0","7.76","26.4","536.45","268.22","528.69","510.05","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","1384.0","0.82","0.0","0.0","2.16","0.82","1.77","0.0","0.0","0.0","0.0","9.53","26.4","536.45","268.22","526.92","510.05","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","1384.0","0.75","0.0","0.0","2.09","0.75","1.57","0.0","0.0","0.0","0.0","11.1","26.4","536.45","268.22","525.35","510.05","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","1384.0","0.7","0.0","0.0","2.19","0.7","1.53","0.0","0.0","0.0","0.0","12.63","26.4","536.45","268.22","523.82","510.05","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","1384.0","0.66","0.0","0.0","1.85","0.66","1.22","0.0","0.0","0.0","0.0","13.85","26.4","536.45","268.22","522.6","510.05","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","1384.0","0.63","0.0","0.0","1.58","0.63","1.0","0.0","0.0","0.0","0.0","14.85","26.4","536.45","268.22","521.6","510.05","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","1384.0","0.62","0.0","0.0","1.04","0.62","0.64","0.0","0.0","0.0","0.0","15.49","26.4","536.45","268.22","520.96","510.05","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","1384.0","0.59","0.0","0.0","2.0","0.59","1.18","0.0","0.0","0.0","0.0","16.67","26.4","536.45","268.22","519.78","510.05","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","1384.0","0.57","0.0","0.0","1.73","0.57","0.98","0.0","0.0","0.0","0.0","17.65","26.4","536.45","268.22","518.8","510.05","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","1384.0","0.53","0.0","0.0","3.63","0.53","1.92","0.0","0.0","0.0","0.0","19.57","26.4","536.45","268.22","516.88","510.05","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","1384.0","0.49","0.0","0.0","4.25","0.49","2.08","0.0","0.0","0.0","0.0","21.65","26.4","536.45","268.22","514.8","510.05","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","1384.0","0.47","0.0","0.0","2.81","0.47","1.32","0.0","0.0","0.0","0.0","22.97","26.4","536.45","268.22","513.48","510.05","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","1384.0","0.46","0.0","0.0","2.18","0.46","0.99","0.0","0.0","0.0","0.0","23.96","26.4","536.45","268.22","512.49","510.05","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","1384.0","0.44","0.0","0.0","3.03","0.44","1.33","0.0","0.0","0.0","0.0","25.29","26.4","536.45","268.22","511.16","510.05","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","1384.0","0.42","0.0","0.0","2.87","0.42","1.21","0.0","0.0","0.0","0.0","26.5","26.4","536.45","268.22","509.95","510.05","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","1384.0","0.41","0.0","0.0","2.01","0.41","0.83","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","1384.0","0.4","0.0","0.0","2.65","0.4","1.06","0.0","0.0","0.0","0.0","27.46","26.4","536.45","268.22","508.99","510.05","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","1384.0","0.39","0.0","0.0","2.24","0.39","0.88","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","1384.0","1.12","0.0","0.0","2.55","1.12","2.85","3.36","3.36","0.0","0.0","25.89","26.4","536.45","268.22","510.56","510.05","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","1384.0","1.12","0.0","0.0","2.6","1.12","2.9","0.0","0.0","0.0","0.0","28.8","26.4","536.45","268.22","507.65","510.05","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","1384.0","0.97","0.0","0.0","2.79","0.97","2.72","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","1384.0","0.83","0.0","0.0","2.99","0.83","2.48","0.0","0.0","0.0","0.0","28.88","26.4","536.45","268.22","507.57","510.05","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","1384.0","0.74","0.0","0.0","2.81","0.74","2.08","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","1384.0","0.67","0.0","0.0","2.94","0.67","1.97","0.0","0.0","0.0","0.0","28.37","26.4","536.45","268.22","508.08","510.05","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","1384.0","0.62","0.0","0.0","2.98","0.62","1.84","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","1384.0","0.58","0.0","0.0","2.3","0.58","1.34","0.0","0.0","0.0","0.0","27.74","26.4","536.45","268.22","508.7","510.05","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","1384.0","0.56","0.0","0.0","2.11","0.56","1.18","0.83","0.83","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","1384.0","1.08","0.0","0.0","3.41","1.08","3.7","4.58","4.58","0.0","0.0","25.52","26.4","536.45","268.22","510.93","510.05","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","1384.0","1.07","0.0","0.0","3.03","1.07","3.24","0.0","0.0","0.0","0.0","28.76","26.4","536.45","268.22","507.69","510.05","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","1384.0","0.87","0.0","0.0","3.23","0.87","2.82","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","1384.0","0.74","0.0","0.0","3.74","0.74","2.77","0.0","0.0","0.0","0.0","29.17","26.4","536.45","268.22","507.28","510.05","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","1384.0","0.68","0.0","0.0","2.43","0.68","1.66","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","1384.0","0.62","0.0","0.0","3.53","0.62","2.18","0.0","0.0","0.0","0.0","28.58","26.4","536.45","268.22","507.87","510.05","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","1384.0","0.56","0.0","0.0","3.85","0.56","2.17","0.01","0.01","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","1384.0","0.52","0.0","0.0","3.88","0.52","2.02","0.0","0.0","0.0","0.0","28.42","26.4","536.45","268.22","508.03","510.05","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","1384.0","0.49","0.0","0.0","3.07","0.49","1.51","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","1384.0","0.47","0.0","0.0","3.6","0.47","1.68","0.0","0.0","0.0","0.0","28.08","26.4","536.45","268.22","508.37","510.05","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","1384.0","0.44","0.0","0.0","3.31","0.44","1.47","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","1384.0","0.43","0.0","0.0","3.28","0.43","1.4","0.11","0.11","0.0","0.0","27.69","26.4","536.45","268.22","508.76","510.05","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","1384.0","0.41","0.0","0.0","3.19","0.41","1.31","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","1384.0","0.39","0.0","0.0","4.18","0.39","1.64","0.0","0.0","0.0","0.0","28.04","26.4","536.45","268.22","508.41","510.05","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","1384.0","0.38","0.0","0.0","3.88","0.38","1.46","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","1384.0","0.36","0.0","0.0","4.4","0.36","1.59","0.0","0.0","0.0","0.0","27.99","26.4","536.45","268.22","508.46","510.05","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","1384.0","0.35","0.0","0.0","4.93","0.35","1.7","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","1384.0","0.33","0.0","0.0","4.71","0.33","1.57","0.0","0.0","0.0","0.0","27.97","26.4","536.45","268.22","508.48","510.05","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","1384.0","0.32","0.0","0.0","4.49","0.32","1.44","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","1384.0","0.31","0.0","0.0","4.65","0.31","1.45","0.0","0.0","0.0","0.0","27.85","26.4","536.45","268.22","508.6","510.05","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","1384.0","0.3","0.0","0.0","4.22","0.3","1.28","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","1384.0","0.29","0.0","0.0","5.54","0.29","1.62","0.0","0.0","0.0","0.0","28.02","26.4","536.45","268.22","508.43","510.05","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","1384.0","0.28","0.0","0.0","4.6","0.28","1.31","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","1384.0","0.28","0.0","0.0","4.48","0.28","1.24","0.0","0.0","0.0","0.0","27.64","26.4","536.45","268.22","508.81","510.05","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","1384.0","0.27","0.0","0.0","2.56","0.27","0.7","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","1384.0","0.27","0.0","0.0","2.92","0.27","0.79","0.96","0.96","0.0","0.0","26.23","26.4","536.45","268.22","510.22","510.05","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","1384.0","1.12","0.0","0.0","2.53","1.12","2.83","4.05","4.05","0.0","0.0","25.01","26.4","536.45","268.22","511.44","510.05","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","1384.0","1.1","0.0","0.0","2.94","1.1","3.24","14.39","14.39","0.0","0.0","13.86","26.4","536.45","268.22","522.59","510.05","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","1384.0","1.07","0.0","0.0","3.48","1.07","3.73","0.0","0.0","0.0","0.0","17.59","26.4","536.45","268.22","518.86","510.05","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","1384.0","0.83","0.0","0.0","4.1","0.83","3.42","0.0","0.0","0.0","0.0","21.01","26.4","536.45","268.22","515.44","510.05","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","1384.0","0.7","0.0","0.0","4.26","0.7","2.98","0.0","0.0","0.0","0.0","23.99","26.4","536.45","268.22","512.46","510.05","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","1384.0","0.6","0.0","0.0","4.91","0.6","2.97","0.0","0.0","0.0","0.0","26.95","26.4","536.45","268.22","509.49","510.05","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","1384.0","0.54","0.0","0.0","4.91","0.54","2.64","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","1384.0","0.49","0.0","0.0","4.87","0.49","2.39","0.0","0.0","0.0","0.0","28.79","26.4","536.45","268.22","507.66","510.05","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","1384.0","0.44","0.0","0.0","6.58","0.44","2.91","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","1384.0","0.41","0.0","0.0","6.06","0.41","2.47","0.0","0.0","0.0","0.0","28.87","26.4","536.45","268.22","507.58","510.05","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","1384.0","0.38","0.0","0.0","5.29","0.38","2.03","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","1384.0","0.36","0.0","0.0","4.95","0.36","1.8","0.0","0.0","0.0","0.0","28.2","26.4","536.45","268.22","508.24","510.05","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","1384.0","0.35","0.0","0.0","5.18","0.35","1.8","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","1384.0","0.33","0.0","0.0","4.74","0.33","1.58","0.0","0.0","0.0","0.0","27.98","26.4","536.45","268.22","508.46","510.05","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","1384.0","0.32","0.0","0.0","3.79","0.32","1.23","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","1384.0","0.32","0.0","0.0","4.2","0.32","1.32","0.0","0.0","0.0","0.0","27.72","26.4","536.45","268.22","508.72","510.05","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","1384.0","0.31","0.0","0.0","4.75","0.31","1.45","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","1384.0","0.3","0.0","0.0","4.96","0.3","1.46","0.0","0.0","0.0","0.0","27.86","26.4","536.45","268.22","508.58","510.05","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","1384.0","1.06","0.0","0.0","3.96","1.06","4.2","11.93","11.93","0.0","0.0","15.93","26.4","536.45","268.22","520.51","510.05","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","1384.0","0.88","0.0","0.0","5.11","0.88","4.5","0.0","0.0","0.0","0.0","20.43","26.4","536.45","268.22","516.02","510.05","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","1384.0","0.67","0.0","0.0","6.12","0.67","4.12","0.0","0.0","0.0","0.0","24.55","26.4","536.45","268.22","511.9","510.05","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","1384.0","0.58","0.0","0.0","5.51","0.58","3.17","0.0","0.0","0.0","0.0","27.72","26.4","536.45","268.22","508.73","510.05","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","1384.0","0.51","0.0","0.0","5.26","0.51","2.7","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","1384.0","0.46","0.0","0.0","6.47","0.46","2.96","0.0","0.0","0.0","0.0","29.36","26.4","536.45","268.22","507.09","510.05","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","1384.0","0.42","0.2","0.0","6.45","0.42","2.69","0.0","0.0","0.0","0.0","32.05","70.96","536.45","268.22","504.4","465.48","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","1384.0","0.39","0.2","0.0","5.94","0.39","2.3","0.0","0.0","0.0","0.0","34.35","70.96","536.45","268.22","502.1","465.48","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","1384.0","0.37","0.2","0.0","5.17","0.37","1.9","0.0","0.0","0.0","0.0","36.25","70.96","536.45","268.22","500.2","465.48","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","1384.0","0.35","0.2","0.0","4.74","0.35","1.67","0.0","0.0","0.0","0.0","37.91","70.96","536.45","268.22","498.53","465.48","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","1384.0","0.34","0.2","0.0","4.79","0.34","1.62","0.0","0.0","0.0","0.0","39.53","70.96","536.45","268.22","496.92","465.48","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","1384.0","0.32","0.2","0.0","5.2","0.32","1.68","0.0","0.0","0.0","0.0","41.22","70.96","536.45","268.22","495.23","465.48","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","1384.0","0.32","0.2","0.0","3.82","0.32","1.21","0.5","0.5","0.0","0.0","41.92","70.96","536.45","268.22","494.53","465.48","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","1384.0","0.31","0.2","0.0","4.45","0.31","1.36","0.01","0.01","0.0","0.0","43.27","70.96","536.45","268.22","493.18","465.48","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","1384.0","0.3","0.2","0.0","4.99","0.3","1.48","0.0","0.0","0.0","0.0","44.75","70.96","536.45","268.22","491.7","465.48","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","1384.0","0.29","0.2","0.0","5.12","0.29","1.47","0.0","0.0","0.0","0.0","46.22","70.96","536.45","268.22","490.23","465.48","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","1384.0","0.28","0.2","0.0","5.11","0.28","1.42","0.0","0.0","0.0","0.0","47.64","70.96","536.45","268.22","488.8","465.48","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","1384.0","0.27","0.2","0.0","5.01","0.27","1.36","0.0","0.0","0.0","0.0","49.0","70.96","536.45","268.22","487.45","465.48","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","1384.0","0.26","0.2","0.0","4.72","0.26","1.25","0.0","0.0","0.0","0.0","50.25","70.96","536.45","268.22","486.2","465.48","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","1384.0","0.26","0.2","0.0","3.63","0.26","0.94","0.0","0.0","0.0","0.0","51.19","70.96","536.45","268.22","485.25","465.48","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","1384.0","0.25","0.24","0.0","4.7","0.25","1.2","0.06","0.06","0.0","0.0","52.33","70.96","536.45","268.22","484.12","465.48","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","1384.0","0.25","0.28","0.0","4.79","0.28","1.35","0.0","0.0","0.0","0.0","53.68","70.96","536.45","268.22","482.77","465.48","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","1384.0","0.24","0.32","0.0","3.87","0.32","1.24","0.0","0.0","0.0","0.0","54.92","70.96","536.45","268.22","481.53","465.48","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","1384.0","0.24","0.36","0.0","4.77","0.36","1.73","0.0","0.0","0.0","0.0","56.65","70.96","536.45","268.22","479.8","465.48","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","1384.0","0.24","0.4","0.0","4.98","0.4","2.0","0.0","0.0","0.0","0.0","58.65","70.96","536.45","268.22","477.8","465.48","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","1384.0","0.23","0.44","0.0","4.89","0.44","2.17","0.0","0.0","0.0","0.0","60.82","70.96","536.45","268.22","475.63","465.48","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","1384.0","0.23","0.48","0.0","4.59","0.48","2.22","0.0","0.0","0.0","0.0","63.03","70.96","536.45","268.22","473.41","465.48","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","1384.0","0.22","0.52","0.0","4.9","0.52","2.57","0.0","0.0","0.0","0.0","65.6","70.96","536.45","268.22","470.85","465.48","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","1384.0","0.22","0.56","0.0","4.73","0.56","2.67","0.0","0.0","0.0","0.0","68.27","70.96","536.45","268.22","468.18","465.48","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","1384.0","0.21","0.6","0.0","5.57","0.6","3.37","0.0","0.0","0.0","0.0","0.0","70.96","536.45","268.22","536.45","465.48","71.64","","","","","","","","",""
"2015.0","5.0","25.0","145.0","1384.0","0.21","0.65","0.0","5.38","0.65","3.47","0.0","0.0","0.0","0.0","3.47","70.96","536.45","268.22","532.98","465.48","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","1384.0","0.21","0.69","0.0","5.42","0.69","3.72","0.0","0.0","0.0","0.0","7.19","70.96","536.45","268.22","529.26","465.48","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","1384.0","0.2","0.73","0.0","5.47","0.73","3.97","0.0","0.0","0.0","0.0","11.16","70.96","536.45","268.22","525.29","465.48","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","1384.0","0.2","0.77","0.0","5.36","0.77","4.11","0.0","0.0","0.0","0.0","15.27","70.96","536.45","268.22","521.18","465.48","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","1384.0","0.2","0.81","0.0","5.96","0.81","4.81","0.0","0.0","0.0","0.0","20.08","70.96","536.45","268.22","516.37","465.48","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","1384.0","0.19","0.85","0.0","6.29","0.85","5.33","0.0","0.0","0.0","0.0","25.41","70.96","536.45","268.22","511.04","465.48","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","1384.0","0.19","0.89","0.0","5.29","0.89","4.7","0.0","0.0","0.0","0.0","30.11","70.96","536.45","268.22","506.34","465.48","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","1384.0","0.19","0.93","0.0","5.34","0.93","4.96","0.0","0.0","0.0","0.0","35.07","70.96","536.45","268.22","501.38","465.48","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","1384.0","0.19","0.97","0.0","5.63","0.97","5.46","0.0","0.0","0.0","0.0","40.52","70.96","536.45","268.22","495.92","465.48","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","1384.0","0.18","1.01","0.0","5.42","1.01","5.47","0.0","0.0","0.0","0.0","46.0","70.96","536.45","268.22","490.45","465.48","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","1384.0","0.18","1.05","0.0","5.87","1.05","6.16","0.0","0.0","0.0","0.0","52.16","70.96","536.45","268.22","484.29","465.48","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","1384.0","0.18","1.05","0.0","6.78","1.05","7.12","0.0","0.0","0.0","0.0","59.28","70.96","536.45","268.22","477.17","465.48","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","1384.0","0.17","1.05","0.0","6.33","1.05","6.65","0.0","0.0","0.0","0.0","65.92","70.96","536.45","268.22","470.52","465.48","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","1384.0","0.17","1.05","0.0","6.88","1.05","7.22","0.0","0.0","0.0","0.0","0.0","70.96","536.45","268.22","536.45","465.48","73.15","","","","","","","","",""
"2015.0","6.0","8.0","159.0","1384.0","0.17","1.05","0.0","7.31","1.05","7.68","0.0","0.0","0.0","0.0","7.68","70.96","536.45","268.22","528.77","465.48","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","1384.0","0.17","1.05","0.0","6.91","1.05","7.26","0.0","0.0","0.0","0.0","14.93","70.96","536.45","268.22","521.52","465.48","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","1384.0","0.17","1.05","0.0","2.53","1.05","2.66","0.32","0.32","0.0","0.0","17.27","70.96","536.45","268.22","519.18","465.48","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","1384.0","0.16","1.05","0.0","7.0","1.05","7.35","1.59","1.59","0.0","0.0","23.03","70.96","536.45","268.22","513.42","465.48","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","1384.0","0.16","1.05","0.0","7.84","1.05","8.23","0.0","0.0","0.0","0.0","31.26","70.96","536.45","268.22","505.19","465.48","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","1384.0","0.16","1.05","0.0","7.39","1.05","7.76","0.0","0.0","0.0","0.0","39.02","70.96","536.45","268.22","497.43","465.48","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","1384.0","0.16","1.05","0.0","6.62","1.05","6.95","0.0","0.0","0.0","0.0","45.97","70.96","536.45","268.22","490.48","465.48","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","1384.0","0.15","1.05","0.0","6.43","1.05","6.75","0.0","0.0","0.0","0.0","52.72","70.96","536.45","268.22","483.73","465.48","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","1384.0","0.15","1.05","0.0","6.82","1.05","7.16","0.02","0.02","0.0","0.0","59.86","70.96","536.45","268.22","476.59","465.48","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","1384.0","0.15","1.05","0.0","6.84","1.05","7.18","0.0","0.0","0.0","0.0","67.04","70.96","536.45","268.22","469.4","465.48","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","1384.0","0.15","1.05","0.0","7.46","1.05","7.83","0.0","0.0","0.0","0.0","0.0","70.96","536.45","268.22","536.45","465.48","74.88","","","","","","","","",""
"2015.0","6.0","19.0","170.0","1384.0","0.15","1.05","0.0","7.3","1.05","7.67","0.0","0.0","0.0","0.0","7.67","70.96","536.45","268.22","528.78","465.48","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","1384.0","0.15","1.05","0.0","6.95","1.05","7.3","0.0","0.0","0.0","0.0","14.96","70.96","536.45","268.22","521.49","465.48","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","1384.0","0.14","1.05","0.0","7.44","1.05","7.81","0.0","0.0","0.0","0.0","22.77","70.96","536.45","268.22","513.67","465.48","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","1384.0","0.14","1.05","0.0","6.8","1.05","7.14","0.0","0.0","0.0","0.0","29.91","134.11","536.45","268.22","506.53","402.34","0.0","","","","","","","","",""
"2015.0","6.0","23.0","174.0","1384.0","0.14","1.05","0.0","7.3","1.05","7.67","0.0","0.0","0.0","0.0","37.58","134.11","536.45","268.22","498.87","402.34","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","1384.0","0.14","1.05","0.0","7.32","1.05","7.69","0.0","0.0","0.0","0.0","45.27","134.11","536.45","268.22","491.18","402.34","0.0","","","","","","","","",""
