" Daily soil water balance output for Pears in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Pears in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","2.0","8.0","39.0","5105.0","1.16","0.0","0.0","1.39","1.16","1.62","12.03","7.96","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","","","",""
"2015.0","2.0","9.0","40.0","5105.0","1.14","0.0","0.0","2.02","1.14","2.3","18.45","2.3","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","5105.0","1.14","0.0","0.0","1.84","1.14","2.1","0.02","0.02","0.0","0.0","2.08","25.65","492.27","246.14","490.19","466.62","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","5105.0","1.15","0.0","0.0","1.63","1.15","1.87","0.0","0.0","0.0","0.0","3.95","25.65","492.27","246.14","488.32","466.62","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","5105.0","1.02","0.0","0.0","1.98","1.02","2.02","0.0","0.0","0.0","0.0","5.97","25.65","492.27","246.14","486.31","466.62","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","5105.0","0.9","0.0","0.0","2.03","0.9","1.83","0.0","0.0","0.0","0.0","7.8","25.65","492.27","246.14","484.48","466.62","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","5105.0","0.81","0.0","0.0","2.18","0.81","1.77","0.0","0.0","0.0","0.0","9.57","25.65","492.27","246.14","482.7","466.62","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","5105.0","0.75","0.0","0.0","2.08","0.75","1.56","0.0","0.0","0.0","0.0","11.13","25.65","492.27","246.14","481.15","466.62","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","5105.0","0.7","0.0","0.0","2.18","0.7","1.52","0.0","0.0","0.0","0.0","12.65","25.65","492.27","246.14","479.63","466.62","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","5105.0","0.66","0.0","0.0","1.84","0.66","1.21","0.0","0.0","0.0","0.0","13.86","25.65","492.27","246.14","478.42","466.62","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","5105.0","0.63","0.0","0.0","1.59","0.63","1.0","0.0","0.0","0.0","0.0","14.86","25.65","492.27","246.14","477.41","466.62","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","5105.0","0.62","0.0","0.0","1.06","0.62","0.65","0.0","0.0","0.0","0.0","15.51","25.65","492.27","246.14","476.76","466.62","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","5105.0","0.59","0.0","0.0","1.88","0.59","1.11","0.0","0.0","0.0","0.0","16.62","25.65","492.27","246.14","475.65","466.62","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","5105.0","0.57","0.0","0.0","1.63","0.57","0.93","0.0","0.0","0.0","0.0","17.55","25.65","492.27","246.14","474.73","466.62","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","5105.0","0.53","0.0","0.0","3.48","0.53","1.85","0.0","0.0","0.0","0.0","19.4","25.65","492.27","246.14","472.88","466.62","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","5105.0","0.49","0.0","0.0","4.09","0.49","2.02","0.0","0.0","0.0","0.0","21.41","25.65","492.27","246.14","470.86","466.62","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","5105.0","0.47","0.0","0.0","2.78","0.47","1.31","0.0","0.0","0.0","0.0","22.73","25.65","492.27","246.14","469.55","466.62","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","5105.0","0.46","0.0","0.0","2.16","0.46","0.99","0.0","0.0","0.0","0.0","23.72","25.65","492.27","246.14","468.56","466.62","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","5105.0","0.44","0.0","0.0","3.01","0.44","1.33","0.0","0.0","0.0","0.0","25.05","25.65","492.27","246.14","467.23","466.62","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","5105.0","0.43","0.0","0.0","2.86","0.43","1.22","0.0","0.0","0.0","0.0","26.26","25.65","492.27","246.14","466.01","466.62","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","5105.0","0.42","0.0","0.0","2.01","0.42","0.83","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","5105.0","0.4","0.0","0.0","2.6","0.4","1.05","0.0","0.0","0.0","0.0","26.7","25.65","492.27","246.14","465.58","466.62","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","5105.0","0.39","0.0","0.0","2.27","0.39","0.89","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","5105.0","0.38","0.0","0.0","2.57","0.38","0.99","0.86","0.86","0.0","0.0","25.78","25.65","492.27","246.14","466.5","466.62","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","5105.0","0.37","0.0","0.0","2.6","0.37","0.97","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","5105.0","0.37","0.0","0.0","2.79","0.37","1.02","0.0","0.0","0.0","0.0","26.67","25.65","492.27","246.14","465.61","466.62","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","5105.0","0.36","0.0","0.0","2.99","0.36","1.06","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","5105.0","0.35","0.0","0.0","2.82","0.35","0.98","0.0","0.0","0.0","0.0","26.63","25.65","492.27","246.14","465.64","466.62","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","5105.0","0.34","0.0","0.0","2.96","0.34","1.01","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","5105.0","0.33","0.0","0.0","2.98","0.33","0.99","0.0","0.0","0.0","0.0","26.64","25.65","492.27","246.14","465.63","466.62","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","5105.0","0.33","0.0","0.0","2.43","0.33","0.79","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","5105.0","0.32","0.0","0.0","2.13","0.32","0.69","0.72","0.72","0.0","0.0","25.62","25.65","492.27","246.14","466.66","466.62","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","5105.0","1.08","0.0","0.0","3.4","1.08","3.69","3.96","3.96","0.0","0.0","25.34","25.65","492.27","246.14","466.93","466.62","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","5105.0","1.07","0.0","0.0","3.07","1.07","3.28","0.0","0.0","0.0","0.0","28.62","25.65","492.27","246.14","463.66","466.62","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","5105.0","0.87","0.0","0.0","3.32","0.87","2.88","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","5105.0","0.73","0.0","0.0","3.87","0.73","2.83","0.0","0.0","0.0","0.0","28.48","25.65","492.27","246.14","463.79","466.62","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","5105.0","0.67","0.0","0.0","2.59","0.67","1.74","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","5105.0","0.61","0.0","0.0","3.57","0.61","2.17","0.0","0.0","0.0","0.0","27.82","25.65","492.27","246.14","464.45","466.62","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","5105.0","0.56","0.0","0.0","3.85","0.56","2.14","0.21","0.21","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","5105.0","0.52","0.0","0.0","3.88","0.52","2.0","0.0","0.0","0.0","0.0","27.65","25.65","492.27","246.14","464.63","466.62","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","5105.0","0.49","0.0","0.0","3.12","0.49","1.52","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","5105.0","0.46","0.0","0.0","3.61","0.46","1.67","0.0","0.0","0.0","0.0","27.32","25.65","492.27","246.14","464.96","466.62","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","5105.0","0.44","0.0","0.0","3.15","0.44","1.39","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","5105.0","0.42","0.0","0.0","3.24","0.42","1.38","0.46","0.46","0.0","0.0","26.57","25.65","492.27","246.14","465.71","466.62","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","5105.0","0.41","0.0","0.0","3.22","0.41","1.32","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","5105.0","0.39","0.0","0.0","4.16","0.39","1.62","0.0","0.0","0.0","0.0","27.27","25.65","492.27","246.14","465.0","466.62","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","5105.0","0.38","0.0","0.0","3.91","0.38","1.47","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","5105.0","0.36","0.0","0.0","4.48","0.36","1.61","0.0","0.0","0.0","0.0","27.26","25.65","492.27","246.14","465.01","466.62","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","5105.0","0.34","0.0","0.0","4.95","0.34","1.7","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","5105.0","0.33","0.0","0.0","4.75","0.33","1.57","0.0","0.0","0.0","0.0","27.22","25.65","492.27","246.14","465.05","466.62","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","5105.0","0.32","0.0","0.0","4.54","0.32","1.45","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","5105.0","0.31","0.0","0.0","4.67","0.31","1.45","0.0","0.0","0.0","0.0","27.1","25.65","492.27","246.14","465.18","466.62","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","5105.0","0.3","0.0","0.0","4.21","0.3","1.27","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","5105.0","0.29","0.0","0.0","5.53","0.29","1.61","0.0","0.0","0.0","0.0","27.26","25.65","492.27","246.14","465.02","466.62","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","5105.0","0.28","0.0","0.0","4.65","0.28","1.32","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","5105.0","0.28","0.0","0.0","4.54","0.28","1.25","0.0","0.0","0.0","0.0","26.9","25.65","492.27","246.14","465.37","466.62","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","5105.0","0.27","0.0","0.0","2.51","0.27","0.68","0.08","0.08","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","5105.0","0.27","0.0","0.0","2.97","0.27","0.8","2.53","2.53","0.0","0.0","23.92","25.65","492.27","246.14","468.36","466.62","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","5105.0","0.27","0.0","0.0","2.49","0.27","0.66","3.03","3.03","0.0","0.0","21.55","25.65","492.27","246.14","470.72","466.62","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","5105.0","1.1","0.0","0.0","2.99","1.1","3.29","14.46","14.46","0.0","0.0","10.38","25.65","492.27","246.14","481.89","466.62","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","5105.0","1.07","0.0","0.0","3.5","1.07","3.73","0.0","0.0","0.0","0.0","14.11","25.65","492.27","246.14","478.16","466.62","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","5105.0","0.83","0.0","0.0","4.14","0.83","3.43","0.0","0.0","0.0","0.0","17.54","25.65","492.27","246.14","474.74","466.62","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","5105.0","0.7","0.0","0.0","4.3","0.7","2.99","0.0","0.0","0.0","0.0","20.53","25.65","492.27","246.14","471.74","466.62","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","5105.0","0.6","0.0","0.0","4.93","0.6","2.96","0.0","0.0","0.0","0.0","23.5","25.65","492.27","246.14","468.78","466.62","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","5105.0","0.54","0.0","0.0","5.02","0.54","2.69","0.0","0.0","0.0","0.0","26.18","25.65","492.27","246.14","466.09","466.62","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","5105.0","0.49","0.0","0.0","4.9","0.49","2.39","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","5105.0","0.44","0.0","0.0","6.53","0.44","2.87","0.0","0.0","0.0","0.0","28.52","25.65","492.27","246.14","463.75","466.62","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","5105.0","0.41","0.55","0.0","5.97","0.55","3.28","0.0","0.0","0.0","0.0","31.8","103.61","492.27","246.14","460.47","388.66","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","5105.0","0.38","0.56","0.0","5.35","0.56","2.99","0.0","0.0","0.0","0.0","34.79","103.61","492.27","246.14","457.48","388.66","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","5105.0","0.36","0.57","0.0","4.99","0.57","2.83","0.0","0.0","0.0","0.0","37.62","103.61","492.27","246.14","454.66","388.66","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","5105.0","0.35","0.57","0.0","5.25","0.57","3.02","0.0","0.0","0.0","0.0","40.63","103.61","492.27","246.14","451.64","388.66","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","5105.0","0.33","0.58","0.0","4.8","0.58","2.8","0.0","0.0","0.0","0.0","43.43","103.61","492.27","246.14","448.84","388.66","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","5105.0","0.32","0.59","0.0","3.83","0.59","2.26","0.0","0.0","0.0","0.0","45.69","103.61","492.27","246.14","446.58","388.66","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","5105.0","0.31","0.6","0.0","4.16","0.6","2.49","0.0","0.0","0.0","0.0","48.19","103.61","492.27","246.14","444.09","388.66","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","5105.0","0.3","0.61","0.0","4.79","0.61","2.91","0.0","0.0","0.0","0.0","51.1","103.61","492.27","246.14","441.18","388.66","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","5105.0","0.29","0.62","0.0","5.05","0.62","3.11","0.0","0.0","0.0","0.0","54.21","103.61","492.27","246.14","438.07","388.66","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","5105.0","1.06","0.62","0.0","4.07","1.06","4.3","12.34","12.34","0.0","0.0","46.17","103.61","492.27","246.14","446.11","388.66","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","5105.0","0.87","0.63","0.0","5.14","0.87","4.48","0.0","0.0","0.0","0.0","50.65","103.61","492.27","246.14","441.62","388.66","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","5105.0","0.67","0.64","0.0","6.01","0.67","4.04","0.0","0.0","0.0","0.0","54.69","103.61","492.27","246.14","437.59","388.66","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","5105.0","0.57","0.65","0.0","5.62","0.65","3.64","0.0","0.0","0.0","0.0","58.33","103.61","492.27","246.14","433.94","388.66","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","5105.0","0.51","0.66","0.0","5.35","0.66","3.51","0.0","0.0","0.0","0.0","61.85","103.61","492.27","246.14","430.43","388.66","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","5105.0","0.46","0.66","0.0","6.46","0.66","4.29","0.0","0.0","0.0","0.0","66.14","103.61","492.27","246.14","426.13","388.66","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","5105.0","0.41","0.67","0.0","6.52","0.67","4.39","0.0","0.0","0.0","0.0","70.53","103.61","492.27","246.14","421.75","388.66","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","5105.0","0.39","0.68","0.0","6.03","0.68","4.11","0.0","0.0","0.0","0.0","74.63","103.61","492.27","246.14","417.64","388.66","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","5105.0","0.37","0.69","0.0","5.29","0.69","3.65","0.0","0.0","0.0","0.0","78.28","103.61","492.27","246.14","413.99","388.66","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","5105.0","0.35","0.7","0.0","4.85","0.7","3.38","0.0","0.0","0.0","0.0","81.66","103.61","492.27","246.14","410.61","388.66","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","5105.0","0.34","0.71","0.0","4.86","0.71","3.43","0.0","0.0","0.0","0.0","85.09","103.61","492.27","246.14","407.18","388.66","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","5105.0","0.32","0.71","0.0","5.17","0.71","3.69","0.0","0.0","0.0","0.0","88.79","103.61","492.27","246.14","403.49","388.66","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","5105.0","0.31","0.72","0.0","3.74","0.72","2.7","0.12","0.12","0.0","0.0","91.37","103.61","492.27","246.14","400.91","388.66","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","5105.0","0.3","0.73","0.0","4.45","0.73","3.25","0.04","0.04","0.0","0.0","94.58","103.61","492.27","246.14","397.7","388.66","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","5105.0","0.29","0.74","0.0","5.02","0.74","3.71","0.0","0.0","0.0","0.0","98.28","103.61","492.27","246.14","393.99","388.66","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","5105.0","0.29","0.75","0.0","5.24","0.75","3.91","0.0","0.0","0.0","0.0","102.2","103.61","492.27","246.14","390.08","388.66","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","5105.0","0.28","0.75","0.0","5.2","0.75","3.93","0.0","0.0","0.0","0.0","0.0","103.61","492.27","246.14","492.27","388.66","106.12","","","","","","","","",""
"2015.0","5.0","12.0","132.0","5105.0","0.27","0.76","0.0","5.04","0.76","3.85","0.0","0.0","0.0","0.0","3.85","103.61","492.27","246.14","488.43","388.66","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","5105.0","0.26","0.77","0.0","4.75","0.77","3.66","0.0","0.0","0.0","0.0","7.51","103.61","492.27","246.14","484.76","388.66","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","5105.0","0.26","0.78","0.0","3.53","0.78","2.75","0.0","0.0","0.0","0.0","10.26","103.61","492.27","246.14","482.01","388.66","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","5105.0","0.25","0.79","0.0","4.69","0.79","3.69","0.41","0.41","0.0","0.0","13.55","103.61","492.27","246.14","478.73","388.66","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","5105.0","0.25","0.8","0.0","4.83","0.8","3.84","0.0","0.0","0.0","0.0","17.39","103.61","492.27","246.14","474.88","388.66","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","5105.0","0.24","0.8","0.0","4.03","0.8","3.24","0.0","0.0","0.0","0.0","20.63","103.61","492.27","246.14","471.64","388.66","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","5105.0","0.24","0.81","0.0","4.74","0.81","3.85","0.0","0.0","0.0","0.0","24.48","103.61","492.27","246.14","467.79","388.66","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","5105.0","0.23","0.82","0.0","5.03","0.82","4.13","0.0","0.0","0.0","0.0","28.61","103.61","492.27","246.14","463.67","388.66","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","5105.0","0.23","0.83","0.0","4.98","0.83","4.13","0.0","0.0","0.0","0.0","32.73","103.61","492.27","246.14","459.54","388.66","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","5105.0","0.23","0.84","0.0","4.26","0.84","3.57","0.0","0.0","0.0","0.0","36.3","103.61","492.27","246.14","455.97","388.66","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","5105.0","0.22","0.85","0.0","4.91","0.85","4.15","0.0","0.0","0.0","0.0","40.45","103.61","492.27","246.14","451.83","388.66","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","5105.0","0.22","0.85","0.0","4.7","0.85","4.01","0.0","0.0","0.0","0.0","44.46","103.61","492.27","246.14","447.82","388.66","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","5105.0","0.21","0.86","0.0","5.63","0.86","4.85","0.0","0.0","0.0","0.0","49.31","103.61","492.27","246.14","442.97","388.66","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","5105.0","0.21","0.87","0.0","5.5","0.87","4.78","0.0","0.0","0.0","0.0","54.09","103.61","492.27","246.14","438.18","388.66","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","5105.0","0.21","0.88","0.0","5.52","0.88","4.85","0.0","0.0","0.0","0.0","58.94","103.61","492.27","246.14","433.34","388.66","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","5105.0","0.2","0.89","0.0","5.56","0.89","4.93","0.0","0.0","0.0","0.0","63.87","103.61","492.27","246.14","428.41","388.66","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","5105.0","0.2","0.89","0.0","5.44","0.89","4.86","0.0","0.0","0.0","0.0","68.73","103.61","492.27","246.14","423.54","388.66","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","5105.0","0.2","0.9","0.0","6.1","0.9","5.51","0.0","0.0","0.0","0.0","74.24","103.61","492.27","246.14","418.04","388.66","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","5105.0","0.19","0.91","0.0","6.43","0.91","5.86","0.0","0.0","0.0","0.0","80.09","103.61","492.27","246.14","412.18","388.66","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","5105.0","0.19","0.92","0.0","5.4","0.92","4.96","0.0","0.0","0.0","0.0","85.05","103.61","492.27","246.14","407.22","388.66","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","5105.0","0.19","0.93","0.0","5.46","0.93","5.06","0.0","0.0","0.0","0.0","90.11","103.61","492.27","246.14","402.16","388.66","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","5105.0","0.18","0.94","0.0","5.75","0.94","5.38","0.0","0.0","0.0","0.0","95.49","103.61","492.27","246.14","396.78","388.66","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","5105.0","0.18","0.94","0.0","5.49","0.94","5.18","0.0","0.0","0.0","0.0","100.67","103.61","492.27","246.14","391.6","388.66","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","5105.0","0.18","0.95","0.0","5.89","0.95","5.61","0.0","0.0","0.0","0.0","0.0","103.61","492.27","246.14","492.27","388.66","106.28","","","","","","","","",""
"2015.0","6.0","5.0","156.0","5105.0","0.18","0.96","0.0","6.77","0.96","6.5","0.0","0.0","0.0","0.0","6.5","103.61","492.27","246.14","485.78","388.66","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","5105.0","0.17","0.97","0.0","6.34","0.97","6.14","0.0","0.0","0.0","0.0","12.64","103.61","492.27","246.14","479.64","388.66","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","5105.0","0.17","0.98","0.0","6.9","0.98","6.74","0.0","0.0","0.0","0.0","19.37","103.61","492.27","246.14","472.9","388.66","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","5105.0","0.17","0.98","0.0","7.39","0.98","7.27","0.0","0.0","0.0","0.0","26.65","103.61","492.27","246.14","465.63","388.66","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","5105.0","0.17","0.99","0.0","7.03","0.99","6.98","0.0","0.0","0.0","0.0","33.62","103.61","492.27","246.14","458.65","388.66","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","5105.0","0.17","1.0","0.0","2.7","1.0","2.7","0.02","0.02","0.0","0.0","36.31","103.61","492.27","246.14","455.97","388.66","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","5105.0","0.16","1.01","0.0","7.01","1.01","7.07","2.18","2.18","0.0","0.0","41.2","103.61","492.27","246.14","451.07","388.66","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","5105.0","0.16","1.02","0.0","7.89","1.02","8.03","0.0","0.0","0.0","0.0","49.23","103.61","492.27","246.14","443.05","388.66","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","5105.0","0.16","1.03","0.0","7.55","1.03","7.74","0.0","0.0","0.0","0.0","56.97","103.61","492.27","246.14","435.31","388.66","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","5105.0","0.16","1.03","0.0","6.8","1.03","7.03","0.0","0.0","0.0","0.0","64.0","103.61","492.27","246.14","428.28","388.66","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","5105.0","0.15","1.04","0.0","6.62","1.04","6.9","0.0","0.0","0.0","0.0","70.89","103.61","492.27","246.14","421.38","388.66","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","5105.0","0.15","1.05","0.0","6.96","1.05","7.31","0.51","0.51","0.0","0.0","77.69","103.61","492.27","246.14","414.58","388.66","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","5105.0","0.15","1.05","0.0","6.97","1.05","7.32","0.0","0.0","0.0","0.0","85.01","103.61","492.27","246.14","407.27","388.66","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","5105.0","0.15","1.05","0.0","7.62","1.05","8.0","0.0","0.0","0.0","0.0","93.01","103.61","492.27","246.14","399.26","388.66","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","5105.0","0.15","1.05","0.0","7.42","1.05","7.79","0.0","0.0","0.0","0.0","100.8","103.61","492.27","246.14","391.47","388.66","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","5105.0","0.14","1.05","0.0","7.06","1.05","7.41","0.0","0.0","0.0","0.0","0.0","103.61","492.27","246.14","492.27","388.66","108.21","","","","","","","","",""
"2015.0","6.0","21.0","172.0","5105.0","0.14","1.05","0.0","7.62","1.05","8.0","0.0","0.0","0.0","0.0","8.0","103.61","492.27","246.14","484.27","388.66","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","5105.0","0.14","1.05","0.0","6.99","1.05","7.34","0.0","0.0","0.0","0.0","15.34","103.61","492.27","246.14","476.93","388.66","0.0","","","","","","","","",""
"2015.0","6.0","23.0","174.0","5105.0","0.14","1.05","0.0","7.4","1.05","7.77","0.0","0.0","0.0","0.0","23.11","103.61","492.27","246.14","469.16","388.66","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","5105.0","0.14","1.05","0.0","7.41","1.05","7.78","0.0","0.0","0.0","0.0","30.89","103.61","492.27","246.14","461.38","388.66","0.0","","","","","","","","",""
