" Daily soil water balance output for Pasture in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Pasture at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"2015.0","2.0","13.0","44.0","298.0","0.88","0.95","0.0","2.11","0.95","2.0","0.0","0.0","0.0","0.0","8.23","50.49","214.58","107.29","206.35","164.09","0.0","","","","","","",""
"2015.0","2.0","14.0","45.0","298.0","0.8","0.95","0.0","2.23","0.95","2.12","0.0","0.0","0.0","0.0","10.35","50.49","214.58","107.29","204.23","164.09","0.0","","","","","","",""
"2015.0","2.0","15.0","46.0","298.0","0.73","0.95","0.0","2.13","0.95","2.02","0.0","0.0","0.0","0.0","12.37","50.49","214.58","107.29","202.21","164.09","0.0","","","","","","",""
"2015.0","2.0","16.0","47.0","298.0","0.69","0.95","0.0","2.07","0.95","1.97","0.0","0.0","0.0","0.0","14.34","50.49","214.58","107.29","200.24","164.09","0.0","","","","","","",""
"2015.0","2.0","17.0","48.0","298.0","0.65","0.95","0.0","1.78","0.95","1.69","0.0","0.0","0.0","0.0","16.03","50.49","214.58","107.29","198.55","164.09","0.0","","","","","","",""
"2015.0","2.0","18.0","49.0","298.0","0.62","0.95","0.0","1.83","0.95","1.74","0.0","0.0","0.0","0.0","17.77","50.49","214.58","107.29","196.81","164.09","0.0","","","","","","",""
"2015.0","2.0","19.0","50.0","298.0","0.6","0.95","0.0","1.16","0.95","1.1","0.0","0.0","0.0","0.0","18.87","50.49","214.58","107.29","195.71","164.09","0.0","","","","","","",""
"2015.0","2.0","20.0","51.0","298.0","0.58","0.95","0.0","1.9","0.95","1.81","0.0","0.0","0.0","0.0","20.67","50.49","214.58","107.29","193.91","164.09","0.0","","","","","","",""
"2015.0","2.0","21.0","52.0","298.0","0.56","0.95","0.0","1.8","0.95","1.71","0.0","0.0","0.0","0.0","22.38","50.49","214.58","107.29","192.2","164.09","0.0","","","","","","",""
"2015.0","2.0","22.0","53.0","298.0","0.53","0.95","0.0","2.86","0.95","2.72","0.0","0.0","0.0","0.0","25.1","50.49","214.58","107.29","189.48","164.09","0.0","","","","","","",""
"2015.0","2.0","23.0","54.0","298.0","0.5","0.95","0.0","3.4","0.95","3.23","0.0","0.0","0.0","0.0","28.33","50.49","214.58","107.29","186.25","164.09","0.0","","","","","","",""
"2015.0","2.0","24.0","55.0","298.0","0.48","0.95","0.0","2.7","0.95","2.57","0.0","0.0","0.0","0.0","30.89","50.49","214.58","107.29","183.69","164.09","0.0","","","","","","",""
"2015.0","2.0","25.0","56.0","298.0","0.46","0.95","0.0","2.19","0.95","2.08","0.0","0.0","0.0","0.0","32.97","50.49","214.58","107.29","181.6","164.09","0.0","","","","","","",""
"2015.0","2.0","26.0","57.0","298.0","0.44","0.95","0.0","2.85","0.95","2.71","0.0","0.0","0.0","0.0","35.68","50.49","214.58","107.29","178.9","164.09","0.0","","","","","","",""
"2015.0","2.0","27.0","58.0","298.0","0.43","0.95","0.0","2.91","0.95","2.76","0.0","0.0","0.0","0.0","38.45","50.49","214.58","107.29","176.13","164.09","0.0","","","","","","",""
"2015.0","2.0","28.0","59.0","298.0","0.42","0.95","0.0","2.05","0.95","1.95","0.0","0.0","0.0","0.0","40.39","50.49","214.58","107.29","174.19","164.09","0.0","","","","","","",""
"2015.0","3.0","1.0","60.0","298.0","0.41","0.95","0.0","2.5","0.95","2.38","0.02","0.02","0.0","0.0","42.75","50.49","214.58","107.29","171.83","164.09","0.0","","","","","","",""
"2015.0","3.0","2.0","61.0","298.0","0.4","0.95","0.0","2.14","0.95","2.03","0.0","0.0","0.0","0.0","44.78","50.49","214.58","107.29","169.8","164.09","0.0","","","","","","",""
"2015.0","3.0","3.0","62.0","298.0","0.39","0.95","0.0","2.47","0.95","2.35","0.02","0.02","0.0","0.0","47.11","50.49","214.58","107.29","167.47","164.09","0.0","","","","","","",""
"2015.0","3.0","4.0","63.0","298.0","0.38","0.95","0.0","2.62","0.95","2.49","0.0","0.0","0.0","0.0","49.6","50.49","214.58","107.29","164.98","164.09","0.0","","","","","","",""
"2015.0","3.0","5.0","64.0","298.0","0.37","0.95","0.0","2.83","0.95","2.69","0.0","0.0","0.0","0.0","0.0","50.49","214.58","107.29","214.58","164.09","52.29","","","","","","",""
"2015.0","3.0","6.0","65.0","298.0","0.36","0.95","0.0","3.01","0.95","2.86","0.0","0.0","0.0","0.0","2.86","50.49","214.58","107.29","211.72","164.09","0.0","","","","","","",""
"2015.0","3.0","7.0","66.0","298.0","0.35","0.95","0.0","2.91","0.95","2.76","0.0","0.0","0.0","0.0","5.62","50.49","214.58","107.29","208.96","164.09","0.0","","","","","","",""
"2015.0","3.0","8.0","67.0","298.0","0.34","0.95","0.0","2.92","0.95","2.77","0.0","0.0","0.0","0.0","8.4","50.49","214.58","107.29","206.18","164.09","0.0","","","","","","",""
"2015.0","3.0","9.0","68.0","298.0","0.33","0.95","0.0","2.84","0.95","2.7","0.0","0.0","0.0","0.0","11.1","50.49","214.58","107.29","203.48","164.09","0.0","","","","","","",""
"2015.0","3.0","10.0","69.0","298.0","0.33","0.95","0.0","2.41","0.95","2.29","0.0","0.0","0.0","0.0","13.39","50.49","214.58","107.29","201.19","164.09","0.0","","","","","","",""
"2015.0","3.0","11.0","70.0","298.0","1.14","0.95","0.0","2.12","1.14","2.41","2.84","2.84","0.0","0.0","12.95","50.49","214.58","107.29","201.63","164.09","0.0","","","","","","",""
"2015.0","3.0","12.0","71.0","298.0","1.09","0.95","0.0","3.28","1.09","3.57","3.22","3.22","0.0","0.0","13.3","50.49","214.58","107.29","201.28","164.09","0.0","","","","","","",""
"2015.0","3.0","13.0","72.0","298.0","1.08","0.95","0.0","3.05","1.08","3.3","0.0","0.0","0.0","0.0","16.6","50.49","214.58","107.29","197.98","164.09","0.0","","","","","","",""
"2015.0","3.0","14.0","73.0","298.0","0.86","0.95","0.0","3.51","0.95","3.33","0.0","0.0","0.0","0.0","19.93","50.49","214.58","107.29","194.65","164.09","0.0","","","","","","",""
"2015.0","3.0","15.0","74.0","298.0","0.73","0.95","0.0","3.83","0.95","3.64","0.0","0.0","0.0","0.0","23.57","50.49","214.58","107.29","191.01","164.09","0.0","","","","","","",""
"2015.0","3.0","16.0","75.0","298.0","0.67","0.95","0.0","2.77","0.95","2.63","0.0","0.0","0.0","0.0","26.2","50.49","214.58","107.29","188.38","164.09","0.0","","","","","","",""
"2015.0","3.0","17.0","76.0","298.0","0.61","0.95","0.0","3.6","0.95","3.42","0.0","0.0","0.0","0.0","29.62","50.49","214.58","107.29","184.96","164.09","0.0","","","","","","",""
"2015.0","3.0","18.0","77.0","298.0","0.56","0.95","0.0","3.7","0.95","3.52","0.0","0.0","0.0","0.0","33.14","50.49","214.58","107.29","181.44","164.09","0.0","","","","","","",""
"2015.0","3.0","19.0","78.0","298.0","0.52","0.95","0.0","3.73","0.95","3.54","0.0","0.0","0.0","0.0","36.68","50.49","214.58","107.29","177.9","164.09","0.0","","","","","","",""
"2015.0","3.0","20.0","79.0","298.0","0.49","0.95","0.0","3.13","0.95","2.97","0.0","0.0","0.0","0.0","39.66","50.49","214.58","107.29","174.92","164.09","0.0","","","","","","",""
"2015.0","3.0","21.0","80.0","298.0","0.46","0.95","0.0","3.46","0.95","3.29","0.0","0.0","0.0","0.0","42.94","50.49","214.58","107.29","171.64","164.09","0.0","","","","","","",""
"2015.0","3.0","22.0","81.0","298.0","0.45","0.95","0.0","2.95","0.95","2.8","0.0","0.0","0.0","0.0","45.75","50.49","214.58","107.29","168.83","164.09","0.0","","","","","","",""
"2015.0","3.0","23.0","82.0","298.0","0.43","0.95","0.0","3.01","0.95","2.86","0.09","0.09","0.0","0.0","48.51","50.49","214.58","107.29","166.06","164.09","0.0","","","","","","",""
"2015.0","3.0","24.0","83.0","298.0","0.41","0.95","0.0","3.29","0.95","3.13","0.0","0.0","0.0","0.0","0.0","50.49","214.58","107.29","214.58","164.09","51.64","","","","","","",""
"2015.0","3.0","25.0","84.0","298.0","0.39","0.95","0.0","3.98","0.95","3.78","0.0","0.0","0.0","0.0","3.78","50.49","214.58","107.29","210.8","164.09","0.0","","","","","","",""
"2015.0","3.0","26.0","85.0","298.0","0.38","0.95","0.0","3.89","0.95","3.7","0.0","0.0","0.0","0.0","7.48","50.49","214.58","107.29","207.1","164.09","0.0","","","","","","",""
"2015.0","3.0","27.0","86.0","298.0","0.36","0.95","0.0","4.2","0.95","3.99","0.0","0.0","0.0","0.0","11.47","50.49","214.58","107.29","203.11","164.09","0.0","","","","","","",""
"2015.0","3.0","28.0","87.0","298.0","0.35","0.95","0.0","4.77","0.95","4.53","0.0","0.0","0.0","0.0","16.0","50.49","214.58","107.29","198.58","164.09","0.0","","","","","","",""
"2015.0","3.0","29.0","88.0","298.0","0.34","0.95","0.0","4.58","0.95","4.35","0.0","0.0","0.0","0.0","20.35","50.49","214.58","107.29","194.23","164.09","0.0","","","","","","",""
"2015.0","3.0","30.0","89.0","298.0","0.32","0.95","0.0","4.37","0.95","4.15","0.0","0.0","0.0","0.0","24.5","50.49","214.58","107.29","190.08","164.09","0.0","","","","","","",""
"2015.0","3.0","31.0","90.0","298.0","0.31","0.95","0.0","4.56","0.95","4.33","0.0","0.0","0.0","0.0","28.83","50.49","214.58","107.29","185.75","164.09","0.0","","","","","","",""
"2015.0","4.0","1.0","91.0","298.0","0.31","0.95","0.0","4.09","0.95","3.89","0.0","0.0","0.0","0.0","32.72","50.49","214.58","107.29","181.86","164.09","0.0","","","","","","",""
"2015.0","4.0","2.0","92.0","298.0","0.3","0.95","0.0","5.22","0.95","4.96","0.0","0.0","0.0","0.0","37.68","50.49","214.58","107.29","176.9","164.09","0.0","","","","","","",""
"2015.0","4.0","3.0","93.0","298.0","0.29","0.95","0.0","4.53","0.95","4.3","0.0","0.0","0.0","0.0","41.98","50.49","214.58","107.29","172.6","164.09","0.0","","","","","","",""
"2015.0","4.0","4.0","94.0","298.0","0.28","0.95","0.0","4.37","0.95","4.15","0.0","0.0","0.0","0.0","46.13","50.49","214.58","107.29","168.45","164.09","0.0","","","","","","",""
"2015.0","4.0","5.0","95.0","298.0","0.28","0.95","0.0","2.64","0.95","2.51","0.82","0.82","0.0","0.0","47.82","50.49","214.58","107.29","166.76","164.09","0.0","","","","","","",""
"2015.0","4.0","6.0","96.0","298.0","0.27","0.95","0.0","2.87","0.95","2.73","1.69","1.69","0.0","0.0","48.86","50.49","214.58","107.29","165.72","164.09","0.0","","","","","","",""
"2015.0","4.0","7.0","97.0","298.0","1.11","0.95","0.0","2.84","1.11","3.14","3.8","3.8","0.0","0.0","48.2","50.49","214.58","107.29","166.38","164.09","0.0","","","","","","",""
"2015.0","4.0","8.0","98.0","298.0","1.09","0.95","0.0","3.15","1.09","3.45","4.57","4.57","0.0","0.0","47.07","50.49","214.58","107.29","167.5","164.09","0.0","","","","","","",""
"2015.0","4.0","9.0","99.0","298.0","1.05","0.95","0.0","3.48","1.05","3.66","0.0","0.0","0.0","0.0","0.0","50.49","214.58","107.29","214.58","164.09","50.74","","","","","","",""
"2015.0","4.0","10.0","100.0","298.0","0.83","0.95","0.0","4.04","0.95","3.84","0.0","0.0","0.0","0.0","3.84","50.49","214.58","107.29","210.74","164.09","0.0","","","","","","",""
"2015.0","4.0","11.0","101.0","298.0","0.7","0.95","0.0","4.18","0.95","3.97","0.0","0.0","0.0","0.0","7.81","50.49","214.58","107.29","206.77","164.09","0.0","","","","","","",""
"2015.0","4.0","12.0","102.0","298.0","0.61","0.95","0.0","4.74","0.95","4.5","0.0","0.0","0.0","0.0","12.31","50.49","214.58","107.29","202.27","164.09","0.0","","","","","","",""
"2015.0","4.0","13.0","103.0","298.0","0.54","0.95","0.0","4.61","0.95","4.38","0.0","0.0","0.0","0.0","16.69","50.49","214.58","107.29","197.89","164.09","0.0","","","","","","",""
"2015.0","4.0","14.0","104.0","298.0","0.49","0.95","0.0","4.9","0.95","4.66","0.0","0.0","0.0","0.0","21.35","50.49","214.58","107.29","193.23","164.09","0.0","","","","","","",""
"2015.0","4.0","15.0","105.0","298.0","0.45","0.95","0.0","5.96","0.95","5.66","0.0","0.0","0.0","0.0","27.01","50.49","214.58","107.29","187.57","164.09","0.0","","","","","","",""
"2015.0","4.0","16.0","106.0","298.0","0.42","0.95","0.0","5.56","0.95","5.28","0.0","0.0","0.0","0.0","32.29","50.49","214.58","107.29","182.29","164.09","0.0","","","","","","",""
"2015.0","4.0","17.0","107.0","298.0","0.39","0.95","0.0","5.25","0.95","4.99","0.0","0.0","0.0","0.0","37.28","50.49","214.58","107.29","177.3","164.09","0.0","","","","","","",""
"2015.0","4.0","18.0","108.0","298.0","0.37","0.95","0.0","4.79","0.95","4.55","0.0","0.0","0.0","0.0","41.83","50.49","214.58","107.29","172.75","164.09","0.0","","","","","","",""
"2015.0","4.0","19.0","109.0","298.0","0.36","0.95","0.0","4.84","0.95","4.6","0.0","0.0","0.0","0.0","46.43","50.49","214.58","107.29","168.15","164.09","0.0","","","","","","",""
"2015.0","4.0","20.0","110.0","298.0","0.34","0.95","0.0","4.45","0.95","4.23","0.0","0.0","0.0","0.0","0.0","50.49","214.58","107.29","214.58","164.09","50.65","","","","","","",""
"2015.0","4.0","21.0","111.0","298.0","0.33","0.95","0.0","3.69","0.95","3.51","0.0","0.0","0.0","0.0","3.51","50.49","214.58","107.29","211.07","164.09","0.0","","","","","","",""
"2015.0","4.0","22.0","112.0","298.0","0.32","0.95","0.0","4.06","0.95","3.86","0.0","0.0","0.0","0.0","7.36","50.49","214.58","107.29","207.22","164.09","0.0","","","","","","",""
"2015.0","4.0","23.0","113.0","298.0","0.31","0.95","0.0","4.55","0.95","4.32","0.0","0.0","0.0","0.0","11.69","50.49","214.58","107.29","202.89","164.09","0.0","","","","","","",""
"2015.0","4.0","24.0","114.0","298.0","0.3","0.95","0.0","4.92","0.95","4.67","0.0","0.0","0.0","0.0","16.36","50.49","214.58","107.29","198.22","164.09","0.0","","","","","","",""
"2015.0","4.0","25.0","115.0","298.0","0.29","0.95","0.0","4.04","0.95","3.84","4.04","4.04","0.0","0.0","16.16","50.49","214.58","107.29","198.42","164.09","0.0","","","","","","",""
"2015.0","4.0","26.0","116.0","298.0","0.29","0.95","0.0","5.0","0.95","4.75","0.0","0.0","0.0","0.0","20.91","50.49","214.58","107.29","193.67","164.09","0.0","","","","","","",""
"2015.0","4.0","27.0","117.0","298.0","0.28","0.95","0.0","5.7","0.95","5.42","0.0","0.0","0.0","0.0","26.32","50.49","214.58","107.29","188.26","164.09","0.0","","","","","","",""
"2015.0","4.0","28.0","118.0","298.0","0.27","0.95","0.0","5.31","0.95","5.04","0.0","0.0","0.0","0.0","31.37","50.49","214.58","107.29","183.21","164.09","0.0","","","","","","",""
"2015.0","4.0","29.0","119.0","298.0","0.26","0.95","0.0","5.12","0.95","4.86","0.0","0.0","0.0","0.0","36.23","50.49","214.58","107.29","178.35","164.09","0.0","","","","","","",""
"2015.0","4.0","30.0","120.0","298.0","0.25","0.95","0.0","6.3","0.95","5.99","0.0","0.0","0.0","0.0","42.22","50.49","214.58","107.29","172.36","164.09","0.0","","","","","","",""
"2015.0","5.0","1.0","121.0","298.0","0.25","0.95","0.0","6.17","0.95","5.86","0.0","0.0","0.0","0.0","48.08","50.49","214.58","107.29","166.5","164.09","0.0","","","","","","",""
"2015.0","5.0","2.0","122.0","298.0","0.24","0.95","0.0","5.52","0.95","5.24","0.0","0.0","0.0","0.0","0.0","50.49","214.58","107.29","214.58","164.09","53.32","","","","","","",""
"2015.0","5.0","3.0","123.0","298.0","0.24","0.95","0.0","4.85","0.95","4.61","0.0","0.0","0.0","0.0","4.61","50.49","214.58","107.29","209.97","164.09","0.0","","","","","","",""
"2015.0","5.0","4.0","124.0","298.0","0.23","0.95","0.0","4.57","0.95","4.34","0.0","0.0","0.0","0.0","8.95","50.49","214.58","107.29","205.63","164.09","0.0","","","","","","",""
"2015.0","5.0","5.0","125.0","298.0","0.23","0.95","0.0","4.68","0.95","4.45","0.0","0.0","0.0","0.0","13.4","50.49","214.58","107.29","201.18","164.09","0.0","","","","","","",""
"2015.0","5.0","6.0","126.0","298.0","0.22","0.95","0.0","4.88","0.95","4.64","0.0","0.0","0.0","0.0","18.03","50.49","214.58","107.29","196.55","164.09","0.0","","","","","","",""
"2015.0","5.0","7.0","127.0","298.0","0.22","0.95","0.0","3.03","0.95","2.88","0.0","0.0","0.0","0.0","20.91","50.49","214.58","107.29","193.67","164.09","0.0","","","","","","",""
"2015.0","5.0","8.0","128.0","298.0","0.22","0.95","0.0","4.27","0.95","4.06","1.21","1.21","0.0","0.0","23.76","50.49","214.58","107.29","190.82","164.09","0.0","","","","","","",""
"2015.0","5.0","9.0","129.0","298.0","0.21","0.95","0.0","4.65","0.95","4.42","0.0","0.0","0.0","0.0","28.17","50.49","214.58","107.29","186.41","164.09","0.0","","","","","","",""
"2015.0","5.0","10.0","130.0","298.0","0.21","0.95","0.0","4.94","0.95","4.69","0.0","0.0","0.0","0.0","32.87","50.49","214.58","107.29","181.71","164.09","0.0","","","","","","",""
"2015.0","5.0","11.0","131.0","298.0","0.21","0.95","0.0","4.97","0.95","4.72","0.0","0.0","0.0","0.0","37.59","50.49","214.58","107.29","176.99","164.09","0.0","","","","","","",""
"2015.0","5.0","12.0","132.0","298.0","0.2","0.95","0.0","4.93","0.95","4.68","0.0","0.0","0.0","0.0","42.27","50.49","214.58","107.29","172.31","164.09","0.0","","","","","","",""
"2015.0","5.0","13.0","133.0","298.0","0.2","0.95","0.0","4.61","0.95","4.38","0.0","0.0","0.0","0.0","46.65","50.49","214.58","107.29","167.93","164.09","0.0","","","","","","",""
"2015.0","5.0","14.0","134.0","298.0","0.2","0.95","0.0","3.0","0.95","2.85","0.0","0.0","0.0","0.0","49.5","50.49","214.58","107.29","165.08","164.09","0.0","","","","","","",""
"2015.0","5.0","15.0","135.0","298.0","1.04","0.95","0.0","4.53","1.04","4.71","11.7","11.7","0.0","0.0","42.51","50.49","214.58","107.29","172.07","164.09","0.0","","","","","","",""
"2015.0","5.0","16.0","136.0","298.0","0.88","0.95","0.0","4.61","0.95","4.38","0.0","0.0","0.0","0.0","46.89","50.49","214.58","107.29","167.69","164.09","0.0","","","","","","",""
"2015.0","5.0","17.0","137.0","298.0","0.74","0.95","0.0","3.94","0.95","3.74","0.0","0.0","0.0","0.0","0.0","50.49","214.58","107.29","214.58","164.09","50.63","","","","","","",""
"2015.0","5.0","18.0","138.0","298.0","0.63","0.95","0.0","4.69","0.95","4.46","0.0","0.0","0.0","0.0","4.46","50.49","214.58","107.29","210.12","164.09","0.0","","","","","","",""
"2015.0","5.0","19.0","139.0","298.0","0.56","0.95","0.0","4.84","0.95","4.6","0.0","0.0","0.0","0.0","9.05","50.49","214.58","107.29","205.53","164.09","0.0","","","","","","",""
"2015.0","5.0","20.0","140.0","298.0","0.51","0.95","0.0","4.67","0.95","4.44","0.0","0.0","0.0","0.0","13.49","50.49","214.58","107.29","201.09","164.09","0.0","","","","","","",""
"2015.0","5.0","21.0","141.0","298.0","0.47","0.95","0.0","4.2","0.95","3.99","0.0","0.0","0.0","0.0","17.48","50.49","214.58","107.29","197.1","164.09","0.0","","","","","","",""
"2015.0","5.0","22.0","142.0","298.0","0.44","0.95","0.0","4.77","0.95","4.53","0.0","0.0","0.0","0.0","22.01","50.49","214.58","107.29","192.57","164.09","0.0","","","","","","",""
"2015.0","5.0","23.0","143.0","298.0","0.41","0.95","0.0","4.69","0.95","4.46","0.0","0.0","0.0","0.0","26.47","50.49","214.58","107.29","188.11","164.09","0.0","","","","","","",""
"2015.0","5.0","24.0","144.0","298.0","0.39","0.95","0.0","5.17","0.95","4.91","0.0","0.0","0.0","0.0","31.38","50.49","214.58","107.29","183.2","164.09","0.0","","","","","","",""
"2015.0","5.0","25.0","145.0","298.0","0.37","0.95","0.0","5.17","0.95","4.91","0.0","0.0","0.0","0.0","36.29","50.49","214.58","107.29","178.29","164.09","0.0","","","","","","",""
"2015.0","5.0","26.0","146.0","298.0","0.35","0.95","0.0","5.18","0.95","4.92","0.0","0.0","0.0","0.0","41.21","50.49","214.58","107.29","173.37","164.09","0.0","","","","","","",""
"2015.0","5.0","27.0","147.0","298.0","0.34","0.95","0.0","5.24","0.95","4.98","0.0","0.0","0.0","0.0","46.19","50.49","214.58","107.29","168.39","164.09","0.0","","","","","","",""
"2015.0","5.0","28.0","148.0","298.0","0.32","0.95","0.0","5.12","0.95","4.86","0.0","0.0","0.0","0.0","0.0","50.49","214.58","107.29","214.58","164.09","51.05","","","","","","",""
"2015.0","5.0","29.0","149.0","298.0","0.31","0.95","0.0","5.74","0.95","5.45","0.0","0.0","0.0","0.0","5.45","50.49","214.58","107.29","209.13","164.09","0.0","","","","","","",""
"2015.0","5.0","30.0","150.0","298.0","0.3","0.95","0.0","6.09","0.95","5.79","0.0","0.0","0.0","0.0","11.24","50.49","214.58","107.29","203.34","164.09","0.0","","","","","","",""
"2015.0","5.0","31.0","151.0","298.0","0.29","0.95","0.0","5.25","0.95","4.99","0.0","0.0","0.0","0.0","16.23","50.49","214.58","107.29","198.35","164.09","0.0","","","","","","",""
"2015.0","6.0","1.0","152.0","298.0","0.28","0.95","0.0","5.51","0.95","5.23","0.0","0.0","0.0","0.0","21.46","50.49","214.58","107.29","193.12","164.09","0.0","","","","","","",""
"2015.0","6.0","2.0","153.0","298.0","0.27","0.95","0.0","5.52","0.95","5.24","0.0","0.0","0.0","0.0","26.7","50.49","214.58","107.29","187.87","164.09","0.0","","","","","","",""
"2015.0","6.0","3.0","154.0","298.0","0.26","0.95","0.0","5.25","0.95","4.99","0.0","0.0","0.0","0.0","31.69","50.49","214.58","107.29","182.89","164.09","0.0","","","","","","",""
"2015.0","6.0","4.0","155.0","298.0","0.26","0.95","0.0","5.59","0.95","5.31","0.0","0.0","0.0","0.0","37.0","50.49","214.58","107.29","177.58","164.09","0.0","","","","","","",""
"2015.0","6.0","5.0","156.0","298.0","0.25","0.95","0.0","6.19","0.95","5.88","0.0","0.0","0.0","0.0","42.88","50.49","214.58","107.29","171.7","164.09","0.0","","","","","","",""
"2015.0","6.0","6.0","157.0","298.0","0.24","0.95","0.0","6.0","0.95","5.7","0.0","0.0","0.0","0.0","48.58","50.49","214.58","107.29","166.0","164.09","0.0","","","","","","",""
"2015.0","6.0","7.0","158.0","298.0","0.23","0.95","0.0","6.42","0.95","6.1","0.0","0.0","0.0","0.0","0.0","50.49","214.58","107.29","214.58","164.09","54.68","","","","","","",""
"2015.0","6.0","8.0","159.0","298.0","0.23","0.95","0.0","7.13","0.95","6.77","0.0","0.0","0.0","0.0","6.77","50.49","214.58","107.29","207.81","164.09","0.0","","","","","","",""
"2015.0","6.0","9.0","160.0","298.0","0.22","0.95","0.0","6.15","0.95","5.84","0.0","0.0","0.0","0.0","12.62","50.49","214.58","107.29","201.96","164.09","0.0","","","","","","",""
"2015.0","6.0","10.0","161.0","298.0","0.22","0.95","0.0","2.9","0.95","2.76","0.76","0.76","0.0","0.0","14.61","50.49","214.58","107.29","199.97","164.09","0.0","","","","","","",""
"2015.0","6.0","11.0","162.0","298.0","0.22","0.95","0.0","6.56","0.95","6.23","3.16","3.16","0.0","0.0","17.68","50.49","214.58","107.29","196.9","164.09","0.0","","","","","","",""
"2015.0","6.0","12.0","163.0","298.0","0.21","0.95","0.0","7.25","0.95","6.89","0.0","0.0","0.0","0.0","24.57","50.49","214.58","107.29","190.01","164.09","0.0","","","","","","",""
"2015.0","6.0","13.0","164.0","298.0","0.21","0.95","0.0","7.01","0.95","6.66","0.0","0.0","0.0","0.0","31.23","50.49","214.58","107.29","183.35","164.09","0.0","","","","","","",""
"2015.0","6.0","14.0","165.0","298.0","0.2","0.95","0.0","6.27","0.95","5.96","0.0","0.0","0.0","0.0","37.19","50.49","214.58","107.29","177.39","164.09","0.0","","","","","","",""
"2015.0","6.0","15.0","166.0","298.0","0.2","0.95","0.0","6.1","0.95","5.8","0.0","0.0","0.0","0.0","42.98","50.49","214.58","107.29","171.6","164.09","0.0","","","","","","",""
"2015.0","6.0","16.0","167.0","298.0","0.19","0.95","0.0","6.47","0.95","6.15","0.0","0.0","0.0","0.0","49.13","50.49","214.58","107.29","165.45","164.09","0.0","","","","","","",""
"2015.0","6.0","17.0","168.0","298.0","0.19","0.95","0.0","6.61","0.95","6.28","0.0","0.0","0.0","0.0","0.0","50.49","214.58","107.29","214.58","164.09","55.41","","","","","","",""
"2015.0","6.0","18.0","169.0","298.0","0.19","0.95","0.0","6.97","0.95","6.62","0.0","0.0","0.0","0.0","6.62","50.49","214.58","107.29","207.96","164.09","0.0","","","","","","",""
"2015.0","6.0","19.0","170.0","298.0","0.18","0.95","0.0","6.99","0.95","6.64","0.0","0.0","0.0","0.0","13.26","50.49","214.58","107.29","201.32","164.09","0.0","","","","","","",""
"2015.0","6.0","20.0","171.0","298.0","0.18","0.95","0.0","6.55","0.95","6.22","0.0","0.0","0.0","0.0","19.48","50.49","214.58","107.29","195.09","164.09","0.0","","","","","","",""
"2015.0","6.0","21.0","172.0","298.0","0.18","0.95","0.0","7.0","0.95","6.65","0.0","0.0","0.0","0.0","26.13","50.49","214.58","107.29","188.44","164.09","0.0","","","","","","",""
"2015.0","6.0","22.0","173.0","298.0","0.17","0.95","0.0","6.6","0.95","6.27","0.0","0.0","0.0","0.0","32.4","50.49","214.58","107.29","182.17","164.09","0.0","","","","","","",""
"2015.0","6.0","23.0","174.0","298.0","0.17","0.95","0.0","6.94","0.95","6.59","0.0","0.0","0.0","0.0","39.0","50.49","214.58","107.29","175.58","164.09","0.0","","","","","","",""
"2015.0","6.0","24.0","175.0","298.0","0.17","0.95","0.0","6.83","0.95","6.49","0.0","0.0","0.0","0.0","45.49","50.49","214.58","107.29","169.09","164.09","0.0","","","","","","",""
"2015.0","6.0","25.0","176.0","298.0","0.17","0.95","0.0","7.59","0.95","7.21","0.0","0.0","0.0","0.0","0.0","50.49","214.58","107.29","214.58","164.09","52.7","","","","","","",""
"2015.0","6.0","26.0","177.0","298.0","0.16","0.95","0.0","7.7","0.95","7.32","0.0","0.0","0.0","0.0","7.32","50.49","214.58","107.29","207.26","164.09","0.0","","","","","","",""
"2015.0","6.0","27.0","178.0","298.0","0.16","0.95","0.0","6.14","0.95","5.83","0.0","0.0","0.0","0.0","13.15","50.49","214.58","107.29","201.43","164.09","0.0","","","","","","",""
"2015.0","6.0","28.0","179.0","298.0","0.16","0.95","0.0","6.65","0.95","6.32","0.0","0.0","0.0","0.0","19.47","50.49","214.58","107.29","195.11","164.09","0.0","","","","","","",""
"2015.0","6.0","29.0","180.0","298.0","0.16","0.95","0.0","7.15","0.95","6.79","0.0","0.0","0.0","0.0","26.26","50.49","214.58","107.29","188.32","164.09","0.0","","","","","","",""
"2015.0","6.0","30.0","181.0","298.0","0.15","0.95","0.0","7.38","0.95","7.01","0.0","0.0","0.0","0.0","33.27","50.49","214.58","107.29","181.31","164.09","0.0","","","","","","",""
"2015.0","7.0","1.0","182.0","298.0","0.15","0.95","0.0","7.19","0.95","6.83","0.0","0.0","0.0","0.0","40.1","50.49","214.58","107.29","174.48","164.09","0.0","","","","","","",""
"2015.0","7.0","2.0","183.0","298.0","0.15","0.95","0.0","6.4","0.95","6.08","0.0","0.0","0.0","0.0","46.18","50.49","214.58","107.29","168.4","164.09","0.0","","","","","","",""
"2015.0","7.0","3.0","184.0","298.0","0.15","0.95","0.0","7.14","0.95","6.78","0.0","0.0","0.0","0.0","0.0","50.49","214.58","107.29","214.58","164.09","52.96","","","","","","",""
