" Daily soil water balance output for Walnuts in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Walnuts in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","2.0","9.0","40.0","4.0","1.14","0.0","0.0","2.02","1.14","2.3","18.45","2.3","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","4.0","1.14","0.0","0.0","1.84","1.14","2.1","0.02","0.02","0.0","0.0","2.08","25.65","492.27","246.14","490.19","466.62","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","4.0","1.15","0.0","0.0","1.63","1.15","1.87","0.0","0.0","0.0","0.0","3.95","25.65","492.27","246.14","488.32","466.62","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","4.0","1.02","0.0","0.0","1.98","1.02","2.02","0.0","0.0","0.0","0.0","5.97","25.65","492.27","246.14","486.31","466.62","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","4.0","0.9","0.0","0.0","2.03","0.9","1.83","0.0","0.0","0.0","0.0","7.8","25.65","492.27","246.14","484.48","466.62","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","4.0","0.81","0.0","0.0","2.18","0.81","1.77","0.0","0.0","0.0","0.0","9.57","25.65","492.27","246.14","482.7","466.62","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","4.0","0.75","0.0","0.0","2.08","0.75","1.56","0.0","0.0","0.0","0.0","11.13","25.65","492.27","246.14","481.15","466.62","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","4.0","0.7","0.0","0.0","2.18","0.7","1.52","0.0","0.0","0.0","0.0","12.65","25.65","492.27","246.14","479.63","466.62","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","4.0","0.66","0.0","0.0","1.84","0.66","1.21","0.0","0.0","0.0","0.0","13.86","25.65","492.27","246.14","478.42","466.62","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","4.0","0.63","0.0","0.0","1.59","0.63","1.0","0.0","0.0","0.0","0.0","14.86","25.65","492.27","246.14","477.41","466.62","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","4.0","0.62","0.0","0.0","1.06","0.62","0.65","0.0","0.0","0.0","0.0","15.51","25.65","492.27","246.14","476.76","466.62","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","4.0","0.59","0.0","0.0","1.88","0.59","1.11","0.0","0.0","0.0","0.0","16.62","25.65","492.27","246.14","475.65","466.62","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","4.0","0.57","0.0","0.0","1.63","0.57","0.93","0.0","0.0","0.0","0.0","17.55","25.65","492.27","246.14","474.73","466.62","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","4.0","0.53","0.0","0.0","3.48","0.53","1.85","0.0","0.0","0.0","0.0","19.4","25.65","492.27","246.14","472.88","466.62","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","4.0","0.49","0.0","0.0","4.09","0.49","2.02","0.0","0.0","0.0","0.0","21.41","25.65","492.27","246.14","470.86","466.62","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","4.0","0.47","0.0","0.0","2.78","0.47","1.31","0.0","0.0","0.0","0.0","22.73","25.65","492.27","246.14","469.55","466.62","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","4.0","0.46","0.0","0.0","2.16","0.46","0.99","0.0","0.0","0.0","0.0","23.72","25.65","492.27","246.14","468.56","466.62","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","4.0","0.44","0.0","0.0","3.01","0.44","1.33","0.0","0.0","0.0","0.0","25.05","25.65","492.27","246.14","467.23","466.62","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","4.0","0.43","0.0","0.0","2.86","0.43","1.22","0.0","0.0","0.0","0.0","26.26","25.65","492.27","246.14","466.01","466.62","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","4.0","0.42","0.0","0.0","2.01","0.42","0.83","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","4.0","0.4","0.0","0.0","2.6","0.4","1.05","0.0","0.0","0.0","0.0","26.7","25.65","492.27","246.14","465.58","466.62","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","4.0","0.39","0.0","0.0","2.27","0.39","0.89","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","4.0","0.38","0.0","0.0","2.57","0.38","0.99","0.86","0.86","0.0","0.0","25.78","25.65","492.27","246.14","466.5","466.62","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","4.0","0.37","0.0","0.0","2.6","0.37","0.97","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","4.0","0.37","0.0","0.0","2.79","0.37","1.02","0.0","0.0","0.0","0.0","26.67","25.65","492.27","246.14","465.61","466.62","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","4.0","0.36","0.0","0.0","2.99","0.36","1.06","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","4.0","0.35","0.0","0.0","2.82","0.35","0.98","0.0","0.0","0.0","0.0","26.63","25.65","492.27","246.14","465.64","466.62","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","4.0","0.34","0.0","0.0","2.96","0.34","1.01","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","4.0","0.33","0.0","0.0","2.98","0.33","0.99","0.0","0.0","0.0","0.0","26.64","25.65","492.27","246.14","465.63","466.62","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","4.0","0.33","0.0","0.0","2.43","0.33","0.79","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","4.0","0.32","0.0","0.0","2.13","0.32","0.69","0.72","0.72","0.0","0.0","25.62","25.65","492.27","246.14","466.66","466.62","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","4.0","1.08","0.0","0.0","3.4","1.08","3.69","3.96","3.96","0.0","0.0","25.34","25.65","492.27","246.14","466.93","466.62","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","4.0","1.07","0.0","0.0","3.07","1.07","3.28","0.0","0.0","0.0","0.0","28.62","25.65","492.27","246.14","463.66","466.62","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","4.0","0.87","0.0","0.0","3.32","0.87","2.88","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","4.0","0.73","0.0","0.0","3.87","0.73","2.83","0.0","0.0","0.0","0.0","28.48","25.65","492.27","246.14","463.79","466.62","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","4.0","0.67","0.0","0.0","2.59","0.67","1.74","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","4.0","0.61","0.0","0.0","3.57","0.61","2.17","0.0","0.0","0.0","0.0","27.82","25.65","492.27","246.14","464.45","466.62","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","4.0","0.56","0.0","0.0","3.85","0.56","2.14","0.21","0.21","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","4.0","0.52","0.0","0.0","3.88","0.52","2.0","0.0","0.0","0.0","0.0","27.65","25.65","492.27","246.14","464.63","466.62","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","4.0","0.49","0.0","0.0","3.12","0.49","1.52","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","4.0","0.46","0.0","0.0","3.61","0.46","1.67","0.0","0.0","0.0","0.0","27.32","25.65","492.27","246.14","464.96","466.62","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","4.0","0.44","0.0","0.0","3.15","0.44","1.39","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","4.0","0.42","0.0","0.0","3.24","0.42","1.38","0.46","0.46","0.0","0.0","26.57","25.65","492.27","246.14","465.71","466.62","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","4.0","0.41","0.0","0.0","3.22","0.41","1.32","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","4.0","0.39","0.0","0.0","4.16","0.39","1.62","0.0","0.0","0.0","0.0","27.27","25.65","492.27","246.14","465.0","466.62","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","4.0","0.38","0.0","0.0","3.91","0.38","1.47","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","4.0","0.36","0.0","0.0","4.48","0.36","1.61","0.0","0.0","0.0","0.0","27.26","25.65","492.27","246.14","465.01","466.62","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","4.0","0.34","0.0","0.0","4.95","0.34","1.7","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","4.0","0.33","0.0","0.0","4.75","0.33","1.57","0.0","0.0","0.0","0.0","27.22","25.65","492.27","246.14","465.05","466.62","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","4.0","0.32","0.0","0.0","4.54","0.32","1.45","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","4.0","0.31","0.0","0.0","4.67","0.31","1.45","0.0","0.0","0.0","0.0","27.1","25.65","492.27","246.14","465.18","466.62","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","4.0","0.3","0.0","0.0","4.21","0.3","1.27","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","4.0","0.29","0.0","0.0","5.53","0.29","1.61","0.0","0.0","0.0","0.0","27.26","25.65","492.27","246.14","465.02","466.62","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","4.0","0.28","0.0","0.0","4.65","0.28","1.32","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","4.0","0.28","0.0","0.0","4.54","0.28","1.25","0.0","0.0","0.0","0.0","26.9","25.65","492.27","246.14","465.37","466.62","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","4.0","0.27","0.0","0.0","2.51","0.27","0.68","0.08","0.08","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","4.0","0.27","0.0","0.0","2.97","0.27","0.8","2.53","2.53","0.0","0.0","23.92","25.65","492.27","246.14","468.36","466.62","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","4.0","0.27","0.0","0.0","2.49","0.27","0.66","3.03","3.03","0.0","0.0","21.55","25.65","492.27","246.14","470.72","466.62","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","4.0","1.1","0.0","0.0","2.99","1.1","3.29","14.46","14.46","0.0","0.0","10.38","25.65","492.27","246.14","481.89","466.62","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","4.0","1.07","0.0","0.0","3.5","1.07","3.73","0.0","0.0","0.0","0.0","14.11","25.65","492.27","246.14","478.16","466.62","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","4.0","0.83","0.0","0.0","4.14","0.83","3.43","0.0","0.0","0.0","0.0","17.54","25.65","492.27","246.14","474.74","466.62","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","4.0","0.7","0.0","0.0","4.3","0.7","2.99","0.0","0.0","0.0","0.0","20.53","25.65","492.27","246.14","471.74","466.62","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","4.0","0.6","0.0","0.0","4.93","0.6","2.96","0.0","0.0","0.0","0.0","23.5","25.65","492.27","246.14","468.78","466.62","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","4.0","0.54","0.0","0.0","5.02","0.54","2.69","0.0","0.0","0.0","0.0","26.18","25.65","492.27","246.14","466.09","466.62","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","4.0","0.49","0.0","0.0","4.9","0.49","2.39","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","4.0","0.44","0.0","0.0","6.53","0.44","2.87","0.0","0.0","0.0","0.0","28.52","25.65","492.27","246.14","463.75","466.62","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","4.0","0.41","0.55","0.0","5.97","0.55","3.28","0.0","0.0","0.0","0.0","31.8","106.23","492.27","246.14","460.47","386.04","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","4.0","0.38","0.56","0.0","5.35","0.56","2.97","0.0","0.0","0.0","0.0","34.78","106.23","492.27","246.14","457.5","386.04","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","4.0","0.36","0.56","0.0","4.99","0.56","2.8","0.0","0.0","0.0","0.0","37.58","106.23","492.27","246.14","454.69","386.04","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","4.0","0.35","0.57","0.0","5.25","0.57","2.98","0.0","0.0","0.0","0.0","40.57","106.23","492.27","246.14","451.71","386.04","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","4.0","0.33","0.57","0.0","4.8","0.57","2.76","0.0","0.0","0.0","0.0","43.32","106.23","492.27","246.14","448.95","386.04","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","4.0","0.32","0.58","0.0","3.83","0.58","2.22","0.0","0.0","0.0","0.0","45.55","106.23","492.27","246.14","446.73","386.04","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","4.0","0.31","0.59","0.0","4.16","0.59","2.44","0.0","0.0","0.0","0.0","47.99","106.23","492.27","246.14","444.29","386.04","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","4.0","0.3","0.59","0.0","4.79","0.59","2.84","0.0","0.0","0.0","0.0","50.82","106.23","492.27","246.14","441.45","386.04","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","4.0","0.29","0.6","0.0","5.05","0.6","3.02","0.0","0.0","0.0","0.0","53.85","106.23","492.27","246.14","438.43","386.04","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","4.0","1.06","0.6","0.0","4.07","1.06","4.3","12.34","12.34","0.0","0.0","45.81","106.23","492.27","246.14","446.47","386.04","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","4.0","0.87","0.61","0.0","5.14","0.87","4.48","0.0","0.0","0.0","0.0","50.29","106.23","492.27","246.14","441.98","386.04","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","4.0","0.67","0.62","0.0","6.01","0.67","4.04","0.0","0.0","0.0","0.0","54.33","106.23","492.27","246.14","437.95","386.04","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","4.0","0.57","0.62","0.0","5.62","0.62","3.5","0.0","0.0","0.0","0.0","57.83","106.23","492.27","246.14","434.45","386.04","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","4.0","0.51","0.63","0.0","5.35","0.63","3.36","0.0","0.0","0.0","0.0","61.19","106.23","492.27","246.14","431.08","386.04","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","4.0","0.46","0.63","0.0","6.46","0.63","4.1","0.0","0.0","0.0","0.0","65.29","106.23","492.27","246.14","426.98","386.04","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","4.0","0.41","0.64","0.0","6.52","0.64","4.18","0.0","0.0","0.0","0.0","69.47","106.23","492.27","246.14","422.8","386.04","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","4.0","0.39","0.65","0.0","6.03","0.65","3.9","0.0","0.0","0.0","0.0","73.37","106.23","492.27","246.14","418.9","386.04","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","4.0","0.37","0.65","0.0","5.29","0.65","3.45","0.0","0.0","0.0","0.0","76.83","106.23","492.27","246.14","415.45","386.04","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","4.0","0.35","0.66","0.0","4.85","0.66","3.2","0.0","0.0","0.0","0.0","80.03","106.23","492.27","246.14","412.25","386.04","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","4.0","0.34","0.67","0.0","4.86","0.67","3.23","0.0","0.0","0.0","0.0","83.26","106.23","492.27","246.14","409.02","386.04","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","4.0","0.32","0.67","0.0","5.17","0.67","3.47","0.0","0.0","0.0","0.0","86.73","106.23","492.27","246.14","405.55","386.04","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","4.0","0.31","0.68","0.0","3.74","0.68","2.53","0.12","0.12","0.0","0.0","89.14","106.23","492.27","246.14","403.13","386.04","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","4.0","0.3","0.68","0.0","4.45","0.68","3.04","0.04","0.04","0.0","0.0","92.14","106.23","492.27","246.14","400.13","386.04","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","4.0","0.29","0.69","0.0","5.02","0.69","3.46","0.0","0.0","0.0","0.0","95.6","106.23","492.27","246.14","396.67","386.04","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","4.0","0.29","0.7","0.0","5.24","0.7","3.64","0.0","0.0","0.0","0.0","99.25","106.23","492.27","246.14","393.03","386.04","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","4.0","0.28","0.7","0.0","5.2","0.7","3.65","0.0","0.0","0.0","0.0","102.9","106.23","492.27","246.14","389.38","386.04","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","4.0","0.27","0.71","0.0","5.04","0.71","3.57","0.0","0.0","0.0","0.0","0.0","106.23","492.27","246.14","492.27","386.04","106.46","","","","","","","","",""
"2015.0","5.0","13.0","133.0","4.0","0.26","0.71","0.0","4.75","0.71","3.39","0.0","0.0","0.0","0.0","3.39","106.23","492.27","246.14","488.89","386.04","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","4.0","0.26","0.72","0.0","3.53","0.72","2.54","0.0","0.0","0.0","0.0","5.93","106.23","492.27","246.14","486.34","386.04","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","4.0","0.25","0.73","0.0","4.69","0.73","3.4","0.41","0.41","0.0","0.0","8.92","106.23","492.27","246.14","483.35","386.04","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","4.0","0.25","0.73","0.0","4.83","0.73","3.53","0.0","0.0","0.0","0.0","12.46","106.23","492.27","246.14","479.82","386.04","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","4.0","0.24","0.74","0.0","4.03","0.74","2.97","0.0","0.0","0.0","0.0","15.43","106.23","492.27","246.14","476.84","386.04","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","4.0","0.24","0.74","0.0","4.74","0.74","3.53","0.0","0.0","0.0","0.0","18.96","106.23","492.27","246.14","473.32","386.04","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","4.0","0.23","0.75","0.0","5.03","0.75","3.77","0.0","0.0","0.0","0.0","22.73","106.23","492.27","246.14","469.54","386.04","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","4.0","0.23","0.76","0.0","4.98","0.76","3.77","0.0","0.0","0.0","0.0","26.5","106.23","492.27","246.14","465.78","386.04","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","4.0","0.23","0.76","0.0","4.26","0.76","3.25","0.0","0.0","0.0","0.0","29.74","106.23","492.27","246.14","462.53","386.04","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","4.0","0.22","0.77","0.0","4.91","0.77","3.77","0.0","0.0","0.0","0.0","33.51","106.23","492.27","246.14","458.76","386.04","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","4.0","0.22","0.77","0.0","4.7","0.77","3.64","0.0","0.0","0.0","0.0","37.15","106.23","492.27","246.14","455.12","386.04","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","4.0","0.21","0.78","0.0","5.63","0.78","4.39","0.0","0.0","0.0","0.0","41.55","106.23","492.27","246.14","450.73","386.04","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","4.0","0.21","0.79","0.0","5.5","0.79","4.33","0.0","0.0","0.0","0.0","45.87","106.23","492.27","246.14","446.4","386.04","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","4.0","0.21","0.79","0.0","5.52","0.79","4.37","0.0","0.0","0.0","0.0","50.25","106.23","492.27","246.14","442.03","386.04","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","4.0","0.2","0.8","0.0","5.56","0.8","4.44","0.0","0.0","0.0","0.0","54.69","106.23","492.27","246.14","437.59","386.04","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","4.0","0.2","0.8","0.0","5.44","0.8","4.38","0.0","0.0","0.0","0.0","59.06","106.23","492.27","246.14","433.21","386.04","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","4.0","0.2","0.81","0.0","6.1","0.81","4.94","0.0","0.0","0.0","0.0","64.01","106.23","492.27","246.14","428.27","386.04","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","4.0","0.19","0.82","0.0","6.43","0.82","5.25","0.0","0.0","0.0","0.0","69.26","106.23","492.27","246.14","423.02","386.04","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","4.0","0.19","0.82","0.0","5.4","0.82","4.44","0.0","0.0","0.0","0.0","73.7","106.23","492.27","246.14","418.57","386.04","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","4.0","0.19","0.83","0.0","5.46","0.83","4.53","0.0","0.0","0.0","0.0","78.23","106.23","492.27","246.14","414.05","386.04","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","4.0","0.18","0.83","0.0","5.75","0.83","4.8","0.0","0.0","0.0","0.0","83.03","106.23","492.27","246.14","409.25","386.04","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","4.0","0.18","0.84","0.0","5.49","0.84","4.62","0.0","0.0","0.0","0.0","87.64","106.23","492.27","246.14","404.63","386.04","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","4.0","0.18","0.85","0.0","5.89","0.85","4.99","0.0","0.0","0.0","0.0","92.63","106.23","492.27","246.14","399.64","386.04","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","4.0","0.18","0.85","0.0","6.77","0.85","5.78","0.0","0.0","0.0","0.0","98.41","106.23","492.27","246.14","393.87","386.04","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","4.0","0.17","0.86","0.0","6.34","0.86","5.45","0.0","0.0","0.0","0.0","103.85","106.23","492.27","246.14","388.42","386.04","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","4.0","0.17","0.87","0.0","6.9","0.87","5.97","0.0","0.0","0.0","0.0","0.0","106.23","492.27","246.14","492.27","386.04","109.82","","","","","","","","",""
"2015.0","6.0","8.0","159.0","4.0","0.17","0.87","0.0","7.39","0.87","6.44","0.0","0.0","0.0","0.0","6.44","106.23","492.27","246.14","485.84","386.04","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","4.0","0.17","0.88","0.0","7.03","0.88","6.17","0.0","0.0","0.0","0.0","12.61","106.23","492.27","246.14","479.67","386.04","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","4.0","0.17","0.88","0.0","2.7","0.88","2.39","0.02","0.02","0.0","0.0","14.97","106.23","492.27","246.14","477.3","386.04","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","4.0","0.16","0.89","0.0","7.01","0.89","6.23","2.18","2.18","0.0","0.0","19.03","106.23","492.27","246.14","473.25","386.04","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","4.0","0.16","0.9","0.0","7.89","0.9","7.07","0.0","0.0","0.0","0.0","26.09","106.23","492.27","246.14","466.18","386.04","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","4.0","0.16","0.9","0.0","7.55","0.9","6.81","0.0","0.0","0.0","0.0","32.9","106.23","492.27","246.14","459.38","386.04","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","4.0","0.16","0.91","0.0","6.8","0.91","6.17","0.0","0.0","0.0","0.0","39.07","106.23","492.27","246.14","453.21","386.04","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","4.0","0.15","0.91","0.0","6.62","0.91","6.05","0.0","0.0","0.0","0.0","45.12","106.23","492.27","246.14","447.16","386.04","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","4.0","0.15","0.92","0.0","6.96","0.92","6.4","0.51","0.51","0.0","0.0","51.01","106.23","492.27","246.14","441.27","386.04","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","4.0","0.15","0.93","0.0","6.97","0.93","6.45","0.0","0.0","0.0","0.0","57.46","106.23","492.27","246.14","434.81","386.04","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","4.0","0.15","0.93","0.0","7.62","0.93","7.1","0.0","0.0","0.0","0.0","64.56","106.23","492.27","246.14","427.71","386.04","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","4.0","0.15","0.94","0.0","7.42","0.94","6.96","0.0","0.0","0.0","0.0","71.52","106.23","492.27","246.14","420.76","386.04","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","4.0","0.14","0.94","0.0","7.06","0.94","6.66","0.0","0.0","0.0","0.0","78.18","106.23","492.27","246.14","414.09","386.04","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","4.0","0.14","0.95","0.0","7.62","0.95","7.24","0.0","0.0","0.0","0.0","85.42","106.23","492.27","246.14","406.85","386.04","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","4.0","0.14","0.96","0.0","6.99","0.96","6.68","0.0","0.0","0.0","0.0","92.11","106.23","492.27","246.14","400.17","386.04","0.0","","","","","","","","",""
"2015.0","6.0","23.0","174.0","4.0","0.14","0.96","0.0","7.4","0.96","7.12","0.0","0.0","0.0","0.0","99.23","106.23","492.27","246.14","393.05","386.04","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","4.0","0.14","0.97","0.0","7.41","0.97","7.17","0.0","0.0","0.0","0.0","0.0","106.23","492.27","246.14","492.27","386.04","106.4","","","","","","","","",""
"2015.0","6.0","25.0","176.0","4.0","0.14","0.97","0.0","8.0","0.97","7.79","0.0","0.0","0.0","0.0","7.79","106.23","492.27","246.14","484.48","386.04","0.0","","","","","","","","",""
"2015.0","6.0","26.0","177.0","4.0","0.13","0.98","0.0","8.37","0.98","8.21","0.0","0.0","0.0","0.0","16.0","106.23","492.27","246.14","476.28","386.04","0.0","","","","","","","","",""
