" Daily soil water balance output for Turf_farm in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Turf_farm in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"2015.0","2.0","13.0","44.0","238.0","0.91","0.85","0.0","2.03","0.91","1.84","0.0","0.0","0.0","0.0","7.61","47.2","201.17","100.58","193.56","153.96","0.0","","","","","","",""
"2015.0","2.0","14.0","45.0","238.0","0.82","0.85","0.0","2.18","0.85","1.85","0.0","0.0","0.0","0.0","9.46","47.2","201.17","100.58","191.7","153.96","0.0","","","","","","",""
"2015.0","2.0","15.0","46.0","238.0","0.75","0.85","0.0","2.09","0.85","1.78","0.0","0.0","0.0","0.0","11.24","47.2","201.17","100.58","189.93","153.96","0.0","","","","","","",""
"2015.0","2.0","16.0","47.0","238.0","0.7","0.85","0.0","2.24","0.85","1.9","0.0","0.0","0.0","0.0","13.14","47.2","201.17","100.58","188.02","153.96","0.0","","","","","","",""
"2015.0","2.0","17.0","48.0","238.0","0.66","0.85","0.0","1.94","0.85","1.65","0.0","0.0","0.0","0.0","14.79","47.2","201.17","100.58","186.37","153.96","0.0","","","","","","",""
"2015.0","2.0","18.0","49.0","238.0","0.63","0.85","0.0","1.5","0.85","1.28","0.0","0.0","0.0","0.0","16.07","47.2","201.17","100.58","185.1","153.96","0.0","","","","","","",""
"2015.0","2.0","19.0","50.0","238.0","0.62","0.85","0.0","1.08","0.85","0.92","0.0","0.0","0.0","0.0","16.99","47.2","201.17","100.58","184.18","153.96","0.0","","","","","","",""
"2015.0","2.0","20.0","51.0","238.0","0.59","0.85","0.0","1.97","0.85","1.67","0.0","0.0","0.0","0.0","18.66","47.2","201.17","100.58","182.51","153.96","0.0","","","","","","",""
"2015.0","2.0","21.0","52.0","238.0","0.57","0.85","0.0","1.62","0.85","1.38","0.0","0.0","0.0","0.0","20.04","47.2","201.17","100.58","181.13","153.96","0.0","","","","","","",""
"2015.0","2.0","22.0","53.0","238.0","0.53","0.85","0.0","3.74","0.85","3.18","0.0","0.0","0.0","0.0","23.22","47.2","201.17","100.58","177.95","153.96","0.0","","","","","","",""
"2015.0","2.0","23.0","54.0","238.0","0.49","0.85","0.0","4.35","0.85","3.7","0.0","0.0","0.0","0.0","26.91","47.2","201.17","100.58","174.25","153.96","0.0","","","","","","",""
"2015.0","2.0","24.0","55.0","238.0","0.47","0.85","0.0","2.85","0.85","2.42","0.0","0.0","0.0","0.0","29.34","47.2","201.17","100.58","171.83","153.96","0.0","","","","","","",""
"2015.0","2.0","25.0","56.0","238.0","0.45","0.85","0.0","2.19","0.85","1.86","0.0","0.0","0.0","0.0","31.2","47.2","201.17","100.58","169.97","153.96","0.0","","","","","","",""
"2015.0","2.0","26.0","57.0","238.0","0.44","0.85","0.0","3.07","0.85","2.61","0.0","0.0","0.0","0.0","33.81","47.2","201.17","100.58","167.36","153.96","0.0","","","","","","",""
"2015.0","2.0","27.0","58.0","238.0","0.42","0.85","0.0","2.77","0.85","2.35","0.0","0.0","0.0","0.0","36.16","47.2","201.17","100.58","165.01","153.96","0.0","","","","","","",""
"2015.0","2.0","28.0","59.0","238.0","0.41","0.85","0.0","1.93","0.85","1.64","0.0","0.0","0.0","0.0","37.8","47.2","201.17","100.58","163.36","153.96","0.0","","","","","","",""
"2015.0","3.0","1.0","60.0","238.0","0.4","0.85","0.0","2.68","0.85","2.28","0.0","0.0","0.0","0.0","40.08","47.2","201.17","100.58","161.09","153.96","0.0","","","","","","",""
"2015.0","3.0","2.0","61.0","238.0","0.39","0.85","0.0","2.33","0.85","1.98","0.0","0.0","0.0","0.0","42.06","47.2","201.17","100.58","159.11","153.96","0.0","","","","","","",""
"2015.0","3.0","3.0","62.0","238.0","0.38","0.85","0.0","2.59","0.85","2.2","1.02","1.02","0.0","0.0","43.24","47.2","201.17","100.58","157.92","153.96","0.0","","","","","","",""
"2015.0","3.0","4.0","63.0","238.0","0.37","0.85","0.0","2.6","0.85","2.21","0.0","0.0","0.0","0.0","45.45","47.2","201.17","100.58","155.71","153.96","0.0","","","","","","",""
"2015.0","3.0","5.0","64.0","238.0","0.36","0.85","0.0","2.79","0.85","2.37","0.0","0.0","0.0","0.0","0.0","47.2","201.17","100.58","201.17","153.96","47.82","","","","","","",""
"2015.0","3.0","6.0","65.0","238.0","0.35","0.85","0.0","3.0","0.85","2.55","0.0","0.0","0.0","0.0","2.55","47.2","201.17","100.58","198.62","153.96","0.0","","","","","","",""
"2015.0","3.0","7.0","66.0","238.0","0.35","0.85","0.0","2.8","0.85","2.38","0.0","0.0","0.0","0.0","4.93","47.2","201.17","100.58","196.24","153.96","0.0","","","","","","",""
"2015.0","3.0","8.0","67.0","238.0","0.34","0.85","0.0","2.98","0.85","2.53","0.0","0.0","0.0","0.0","7.46","47.2","201.17","100.58","193.71","153.96","0.0","","","","","","",""
"2015.0","3.0","9.0","68.0","238.0","0.33","0.85","0.0","3.06","0.85","2.6","0.0","0.0","0.0","0.0","10.06","47.2","201.17","100.58","191.1","153.96","0.0","","","","","","",""
"2015.0","3.0","10.0","69.0","238.0","0.32","0.85","0.0","2.4","0.85","2.04","0.0","0.0","0.0","0.0","12.1","47.2","201.17","100.58","189.06","153.96","0.0","","","","","","",""
"2015.0","3.0","11.0","70.0","238.0","0.32","0.85","0.0","2.11","0.85","1.79","1.32","1.32","0.0","0.0","12.58","47.2","201.17","100.58","188.59","153.96","0.0","","","","","","",""
"2015.0","3.0","12.0","71.0","238.0","1.08","0.85","0.0","3.47","1.08","3.75","3.55","3.55","0.0","0.0","12.78","47.2","201.17","100.58","188.39","153.96","0.0","","","","","","",""
"2015.0","3.0","13.0","72.0","238.0","1.06","0.85","0.0","3.11","1.06","3.29","0.0","0.0","0.0","0.0","16.07","47.2","201.17","100.58","185.1","153.96","0.0","","","","","","",""
"2015.0","3.0","14.0","73.0","238.0","0.86","0.85","0.0","3.29","0.86","2.84","0.0","0.0","0.0","0.0","18.91","47.2","201.17","100.58","182.26","153.96","0.0","","","","","","",""
"2015.0","3.0","15.0","74.0","238.0","0.73","0.85","0.0","3.85","0.85","3.27","0.0","0.0","0.0","0.0","22.18","47.2","201.17","100.58","178.99","153.96","0.0","","","","","","",""
"2015.0","3.0","16.0","75.0","238.0","0.68","0.85","0.0","2.46","0.85","2.09","0.0","0.0","0.0","0.0","24.27","47.2","201.17","100.58","176.9","153.96","0.0","","","","","","",""
"2015.0","3.0","17.0","76.0","238.0","0.61","0.85","0.0","3.49","0.85","2.97","0.0","0.0","0.0","0.0","27.24","47.2","201.17","100.58","173.93","153.96","0.0","","","","","","",""
"2015.0","3.0","18.0","77.0","238.0","0.56","0.85","0.0","3.89","0.85","3.31","0.0","0.0","0.0","0.0","30.54","47.2","201.17","100.58","170.62","153.96","0.0","","","","","","",""
"2015.0","3.0","19.0","78.0","238.0","0.52","0.85","0.0","3.94","0.85","3.35","0.0","0.0","0.0","0.0","33.89","47.2","201.17","100.58","167.27","153.96","0.0","","","","","","",""
"2015.0","3.0","20.0","79.0","238.0","0.49","0.85","0.0","3.11","0.85","2.64","0.0","0.0","0.0","0.0","36.54","47.2","201.17","100.58","164.63","153.96","0.0","","","","","","",""
"2015.0","3.0","21.0","80.0","238.0","0.46","0.85","0.0","3.63","0.85","3.09","0.0","0.0","0.0","0.0","39.62","47.2","201.17","100.58","161.55","153.96","0.0","","","","","","",""
"2015.0","3.0","22.0","81.0","238.0","0.44","0.85","0.0","3.27","0.85","2.78","0.0","0.0","0.0","0.0","42.4","47.2","201.17","100.58","158.77","153.96","0.0","","","","","","",""
"2015.0","3.0","23.0","82.0","238.0","0.42","0.85","0.0","3.28","0.85","2.79","0.25","0.25","0.0","0.0","44.94","47.2","201.17","100.58","156.23","153.96","0.0","","","","","","",""
"2015.0","3.0","24.0","83.0","238.0","0.41","0.85","0.0","3.19","0.85","2.71","0.0","0.0","0.0","0.0","0.0","47.2","201.17","100.58","201.17","153.96","47.65","","","","","","",""
"2015.0","3.0","25.0","84.0","238.0","0.39","0.85","0.0","4.23","0.85","3.6","0.0","0.0","0.0","0.0","3.6","47.2","201.17","100.58","197.57","153.96","0.0","","","","","","",""
"2015.0","3.0","26.0","85.0","238.0","0.37","0.85","0.0","3.92","0.85","3.33","0.0","0.0","0.0","0.0","6.93","47.2","201.17","100.58","194.24","153.96","0.0","","","","","","",""
"2015.0","3.0","27.0","86.0","238.0","0.36","0.85","0.0","4.55","0.85","3.87","0.0","0.0","0.0","0.0","10.8","47.2","201.17","100.58","190.37","153.96","0.0","","","","","","",""
"2015.0","3.0","28.0","87.0","238.0","0.34","0.85","0.0","4.99","0.85","4.24","0.0","0.0","0.0","0.0","15.04","47.2","201.17","100.58","186.13","153.96","0.0","","","","","","",""
"2015.0","3.0","29.0","88.0","238.0","0.33","0.85","0.0","4.76","0.85","4.05","0.0","0.0","0.0","0.0","19.08","47.2","201.17","100.58","182.09","153.96","0.0","","","","","","",""
"2015.0","3.0","30.0","89.0","238.0","0.32","0.85","0.0","4.57","0.85","3.88","0.0","0.0","0.0","0.0","22.97","47.2","201.17","100.58","178.2","153.96","0.0","","","","","","",""
"2015.0","3.0","31.0","90.0","238.0","0.31","0.85","0.0","4.61","0.85","3.92","0.0","0.0","0.0","0.0","26.89","47.2","201.17","100.58","174.28","153.96","0.0","","","","","","",""
"2015.0","4.0","1.0","91.0","238.0","0.3","0.85","0.0","4.22","0.85","3.59","0.0","0.0","0.0","0.0","30.47","47.2","201.17","100.58","170.7","153.96","0.0","","","","","","",""
"2015.0","4.0","2.0","92.0","238.0","0.29","0.85","0.0","5.59","0.85","4.75","0.0","0.0","0.0","0.0","35.22","47.2","201.17","100.58","165.94","153.96","0.0","","","","","","",""
"2015.0","4.0","3.0","93.0","238.0","0.28","0.85","0.0","4.63","0.85","3.94","0.0","0.0","0.0","0.0","39.16","47.2","201.17","100.58","162.01","153.96","0.0","","","","","","",""
"2015.0","4.0","4.0","94.0","238.0","0.28","0.85","0.0","4.53","0.85","3.85","0.0","0.0","0.0","0.0","43.01","47.2","201.17","100.58","158.16","153.96","0.0","","","","","","",""
"2015.0","4.0","5.0","95.0","238.0","0.27","0.85","0.0","2.58","0.85","2.19","0.0","0.0","0.0","0.0","45.2","47.2","201.17","100.58","155.97","153.96","0.0","","","","","","",""
"2015.0","4.0","6.0","96.0","238.0","0.27","0.85","0.0","2.98","0.85","2.53","1.42","1.42","0.0","0.0","46.32","47.2","201.17","100.58","154.85","153.96","0.0","","","","","","",""
"2015.0","4.0","7.0","97.0","238.0","1.12","0.85","0.0","2.41","1.12","2.71","6.49","6.49","0.0","0.0","42.53","47.2","201.17","100.58","158.63","153.96","0.0","","","","","","",""
"2015.0","4.0","8.0","98.0","238.0","1.1","0.85","0.0","2.91","1.1","3.21","13.25","13.25","0.0","0.0","32.5","47.2","201.17","100.58","168.67","153.96","0.0","","","","","","",""
"2015.0","4.0","9.0","99.0","238.0","1.07","0.85","0.0","3.48","1.07","3.74","0.0","0.0","0.0","0.0","36.24","47.2","201.17","100.58","164.93","153.96","0.0","","","","","","",""
"2015.0","4.0","10.0","100.0","238.0","0.83","0.85","0.0","4.13","0.85","3.51","0.0","0.0","0.0","0.0","39.75","47.2","201.17","100.58","161.42","153.96","0.0","","","","","","",""
"2015.0","4.0","11.0","101.0","238.0","0.7","0.85","0.0","4.29","0.85","3.65","0.0","0.0","0.0","0.0","43.39","47.2","201.17","100.58","157.77","153.96","0.0","","","","","","",""
"2015.0","4.0","12.0","102.0","238.0","0.6","0.85","0.0","4.97","0.85","4.22","0.0","0.0","0.0","0.0","0.0","47.2","201.17","100.58","201.17","153.96","47.62","","","","","","",""
"2015.0","4.0","13.0","103.0","238.0","0.53","0.85","0.0","5.12","0.85","4.35","0.0","0.0","0.0","0.0","4.35","47.2","201.17","100.58","196.82","153.96","0.0","","","","","","",""
"2015.0","4.0","14.0","104.0","238.0","0.49","0.85","0.0","4.85","0.85","4.12","0.0","0.0","0.0","0.0","8.47","47.2","201.17","100.58","192.69","153.96","0.0","","","","","","",""
"2015.0","4.0","15.0","105.0","238.0","0.44","0.85","0.0","6.7","0.85","5.7","0.0","0.0","0.0","0.0","14.17","47.2","201.17","100.58","187.0","153.96","0.0","","","","","","",""
"2015.0","4.0","16.0","106.0","238.0","0.4","0.85","0.0","6.12","0.85","5.2","0.0","0.0","0.0","0.0","19.37","47.2","201.17","100.58","181.8","153.96","0.0","","","","","","",""
"2015.0","4.0","17.0","107.0","238.0","0.38","0.85","0.0","5.33","0.85","4.53","0.0","0.0","0.0","0.0","23.9","47.2","201.17","100.58","177.27","153.96","0.0","","","","","","",""
"2015.0","4.0","18.0","108.0","238.0","0.36","0.85","0.0","5.03","0.85","4.28","0.0","0.0","0.0","0.0","28.18","47.2","201.17","100.58","172.99","153.96","0.0","","","","","","",""
"2015.0","4.0","19.0","109.0","238.0","0.34","0.85","0.0","5.36","0.85","4.56","0.0","0.0","0.0","0.0","32.73","47.2","201.17","100.58","168.43","153.96","0.0","","","","","","",""
"2015.0","4.0","20.0","110.0","238.0","0.33","0.85","0.0","4.9","0.85","4.17","0.0","0.0","0.0","0.0","36.9","47.2","201.17","100.58","164.27","153.96","0.0","","","","","","",""
"2015.0","4.0","21.0","111.0","238.0","0.32","0.85","0.0","3.95","0.85","3.36","0.0","0.0","0.0","0.0","40.26","47.2","201.17","100.58","160.91","153.96","0.0","","","","","","",""
"2015.0","4.0","22.0","112.0","238.0","0.31","0.85","0.0","4.22","0.85","3.59","0.0","0.0","0.0","0.0","43.84","47.2","201.17","100.58","157.33","153.96","0.0","","","","","","",""
"2015.0","4.0","23.0","113.0","238.0","0.3","0.85","0.0","4.83","0.85","4.11","0.0","0.0","0.0","0.0","0.0","47.2","201.17","100.58","201.17","153.96","47.95","","","","","","",""
"2015.0","4.0","24.0","114.0","238.0","0.29","0.85","0.0","4.92","0.85","4.18","0.0","0.0","0.0","0.0","4.18","47.2","201.17","100.58","196.99","153.96","0.0","","","","","","",""
"2015.0","4.0","25.0","115.0","238.0","1.06","0.85","0.0","4.12","1.06","4.35","14.13","8.53","0.0","0.0","0.0","47.2","201.17","100.58","201.17","153.96","0.0","","","","","","",""
"2015.0","4.0","26.0","116.0","238.0","0.87","0.85","0.0","5.12","0.87","4.46","0.0","0.0","0.0","0.0","4.46","47.2","201.17","100.58","196.71","153.96","0.0","","","","","","",""
"2015.0","4.0","27.0","117.0","238.0","0.67","0.85","0.0","6.14","0.85","5.22","0.0","0.0","0.0","0.0","9.67","47.2","201.17","100.58","191.49","153.96","0.0","","","","","","",""
"2015.0","4.0","28.0","118.0","238.0","0.57","0.85","0.0","5.67","0.85","4.82","0.0","0.0","0.0","0.0","14.49","47.2","201.17","100.58","186.67","153.96","0.0","","","","","","",""
"2015.0","4.0","29.0","119.0","238.0","0.51","0.85","0.0","5.35","0.85","4.55","0.0","0.0","0.0","0.0","19.04","47.2","201.17","100.58","182.13","153.96","0.0","","","","","","",""
"2015.0","4.0","30.0","120.0","238.0","0.45","0.85","0.0","6.54","0.85","5.56","0.0","0.0","0.0","0.0","24.6","47.2","201.17","100.58","176.57","153.96","0.0","","","","","","",""
"2015.0","5.0","1.0","121.0","238.0","0.41","0.85","0.0","6.55","0.85","5.57","0.0","0.0","0.0","0.0","30.17","47.2","201.17","100.58","171.0","153.96","0.0","","","","","","",""
"2015.0","5.0","2.0","122.0","238.0","0.38","0.85","0.0","6.19","0.85","5.26","0.0","0.0","0.0","0.0","35.43","47.2","201.17","100.58","165.74","153.96","0.0","","","","","","",""
"2015.0","5.0","3.0","123.0","238.0","0.36","0.85","0.0","5.44","0.85","4.62","0.0","0.0","0.0","0.0","40.05","47.2","201.17","100.58","161.11","153.96","0.0","","","","","","",""
"2015.0","5.0","4.0","124.0","238.0","0.35","0.85","0.0","4.95","0.85","4.21","0.0","0.0","0.0","0.0","44.26","47.2","201.17","100.58","156.91","153.96","0.0","","","","","","",""
"2015.0","5.0","5.0","125.0","238.0","0.33","0.85","0.0","4.89","0.85","4.16","0.0","0.0","0.0","0.0","0.0","47.2","201.17","100.58","201.17","153.96","48.42","","","","","","",""
"2015.0","5.0","6.0","126.0","238.0","0.32","0.85","0.0","5.24","0.85","4.45","0.0","0.0","0.0","0.0","4.45","47.2","201.17","100.58","196.71","153.96","0.0","","","","","","",""
"2015.0","5.0","7.0","127.0","238.0","0.31","0.85","0.0","4.2","0.85","3.57","0.45","0.45","0.0","0.0","7.57","47.2","201.17","100.58","193.59","153.96","0.0","","","","","","",""
"2015.0","5.0","8.0","128.0","238.0","0.3","0.85","0.0","4.53","0.85","3.85","0.55","0.55","0.0","0.0","10.87","47.2","201.17","100.58","190.29","153.96","0.0","","","","","","",""
"2015.0","5.0","9.0","129.0","238.0","0.29","0.85","0.0","5.14","0.85","4.37","0.0","0.0","0.0","0.0","15.24","47.2","201.17","100.58","185.92","153.96","0.0","","","","","","",""
"2015.0","5.0","10.0","130.0","238.0","0.28","0.85","0.0","5.31","0.85","4.51","0.0","0.0","0.0","0.0","19.76","47.2","201.17","100.58","181.41","153.96","0.0","","","","","","",""
"2015.0","5.0","11.0","131.0","238.0","0.27","0.85","0.0","5.28","0.85","4.49","0.0","0.0","0.0","0.0","24.25","47.2","201.17","100.58","176.92","153.96","0.0","","","","","","",""
"2015.0","5.0","12.0","132.0","238.0","0.27","0.85","0.0","5.03","0.85","4.28","0.0","0.0","0.0","0.0","28.52","47.2","201.17","100.58","172.65","153.96","0.0","","","","","","",""
"2015.0","5.0","13.0","133.0","238.0","0.26","0.85","0.0","4.79","0.85","4.07","0.0","0.0","0.0","0.0","32.59","47.2","201.17","100.58","168.58","153.96","0.0","","","","","","",""
"2015.0","5.0","14.0","134.0","238.0","0.26","0.85","0.0","3.95","0.85","3.36","0.0","0.0","0.0","0.0","35.95","47.2","201.17","100.58","165.22","153.96","0.0","","","","","","",""
"2015.0","5.0","15.0","135.0","238.0","0.25","0.85","0.0","4.75","0.85","4.04","0.02","0.02","0.0","0.0","39.97","47.2","201.17","100.58","161.2","153.96","0.0","","","","","","",""
"2015.0","5.0","16.0","136.0","238.0","0.24","0.85","0.0","4.87","0.85","4.14","0.0","0.0","0.0","0.0","44.11","47.2","201.17","100.58","157.06","153.96","0.0","","","","","","",""
"2015.0","5.0","17.0","137.0","238.0","0.24","0.85","0.0","4.0","0.85","3.4","0.0","0.0","0.0","0.0","0.0","47.2","201.17","100.58","201.17","153.96","47.51","","","","","","",""
"2015.0","5.0","18.0","138.0","238.0","0.24","0.85","0.0","4.7","0.85","4.0","0.0","0.0","0.0","0.0","4.0","47.2","201.17","100.58","197.17","153.96","0.0","","","","","","",""
"2015.0","5.0","19.0","139.0","238.0","0.23","0.85","0.0","5.07","0.85","4.31","0.0","0.0","0.0","0.0","8.3","47.2","201.17","100.58","192.86","153.96","0.0","","","","","","",""
"2015.0","5.0","20.0","140.0","238.0","0.23","0.85","0.0","5.05","0.85","4.29","0.0","0.0","0.0","0.0","12.6","47.2","201.17","100.58","188.57","153.96","0.0","","","","","","",""
"2015.0","5.0","21.0","141.0","238.0","0.22","0.85","0.0","4.58","0.85","3.89","0.0","0.0","0.0","0.0","16.49","47.2","201.17","100.58","184.68","153.96","0.0","","","","","","",""
"2015.0","5.0","22.0","142.0","238.0","0.22","0.85","0.0","4.94","0.85","4.2","0.0","0.0","0.0","0.0","20.69","47.2","201.17","100.58","180.48","153.96","0.0","","","","","","",""
"2015.0","5.0","23.0","143.0","238.0","0.22","0.85","0.0","4.77","0.85","4.05","0.0","0.0","0.0","0.0","24.74","47.2","201.17","100.58","176.42","153.96","0.0","","","","","","",""
"2015.0","5.0","24.0","144.0","238.0","0.21","0.85","0.0","5.77","0.85","4.9","0.0","0.0","0.0","0.0","29.65","47.2","201.17","100.58","171.52","153.96","0.0","","","","","","",""
"2015.0","5.0","25.0","145.0","238.0","0.21","0.85","0.0","5.58","0.85","4.74","0.0","0.0","0.0","0.0","34.39","47.2","201.17","100.58","166.78","153.96","0.0","","","","","","",""
"2015.0","5.0","26.0","146.0","238.0","0.2","0.85","0.0","5.63","0.85","4.79","0.0","0.0","0.0","0.0","39.18","47.2","201.17","100.58","161.99","153.96","0.0","","","","","","",""
"2015.0","5.0","27.0","147.0","238.0","0.2","0.85","0.0","5.67","0.85","4.82","0.0","0.0","0.0","0.0","44.0","47.2","201.17","100.58","157.17","153.96","0.0","","","","","","",""
"2015.0","5.0","28.0","148.0","238.0","0.2","0.85","0.0","5.48","0.85","4.66","0.0","0.0","0.0","0.0","0.0","47.2","201.17","100.58","201.17","153.96","48.65","","","","","","",""
"2015.0","5.0","29.0","149.0","238.0","0.19","0.85","0.0","6.16","0.85","5.24","0.0","0.0","0.0","0.0","5.24","47.2","201.17","100.58","195.93","153.96","0.0","","","","","","",""
"2015.0","5.0","30.0","150.0","238.0","0.19","0.85","0.0","6.49","0.85","5.52","0.0","0.0","0.0","0.0","10.75","47.2","201.17","100.58","190.42","153.96","0.0","","","","","","",""
"2015.0","5.0","31.0","151.0","238.0","0.19","0.85","0.0","5.57","0.85","4.73","0.0","0.0","0.0","0.0","15.49","47.2","201.17","100.58","185.68","153.96","0.0","","","","","","",""
"2015.0","6.0","1.0","152.0","238.0","0.19","0.85","0.0","5.56","0.85","4.73","0.0","0.0","0.0","0.0","20.21","47.2","201.17","100.58","180.96","153.96","0.0","","","","","","",""
"2015.0","6.0","2.0","153.0","238.0","0.18","0.85","0.0","5.75","0.85","4.89","0.0","0.0","0.0","0.0","25.1","47.2","201.17","100.58","176.07","153.96","0.0","","","","","","",""
"2015.0","6.0","3.0","154.0","238.0","0.18","0.85","0.0","5.65","0.85","4.8","0.0","0.0","0.0","0.0","29.9","47.2","201.17","100.58","171.27","153.96","0.0","","","","","","",""
"2015.0","6.0","4.0","155.0","238.0","0.18","0.85","0.0","5.94","0.85","5.05","0.0","0.0","0.0","0.0","34.95","47.2","201.17","100.58","166.22","153.96","0.0","","","","","","",""
"2015.0","6.0","5.0","156.0","238.0","0.17","0.85","0.0","6.93","0.85","5.89","0.0","0.0","0.0","0.0","40.84","47.2","201.17","100.58","160.33","153.96","0.0","","","","","","",""
"2015.0","6.0","6.0","157.0","238.0","0.17","0.85","0.0","6.53","0.85","5.55","0.01","0.01","0.0","0.0","46.38","47.2","201.17","100.58","154.79","153.96","0.0","","","","","","",""
"2015.0","6.0","7.0","158.0","238.0","0.17","0.85","0.0","7.06","0.85","6.0","0.0","0.0","0.0","0.0","0.0","47.2","201.17","100.58","201.17","153.96","52.38","","","","","","",""
"2015.0","6.0","8.0","159.0","238.0","0.17","0.85","0.0","7.42","0.85","6.31","0.0","0.0","0.0","0.0","6.31","47.2","201.17","100.58","194.86","153.96","0.0","","","","","","",""
"2015.0","6.0","9.0","160.0","238.0","0.16","0.85","0.0","7.22","0.85","6.14","0.0","0.0","0.0","0.0","12.44","47.2","201.17","100.58","188.72","153.96","0.0","","","","","","",""
"2015.0","6.0","10.0","161.0","238.0","0.16","0.85","0.0","2.57","0.85","2.18","0.07","0.07","0.0","0.0","14.56","47.2","201.17","100.58","186.61","153.96","0.0","","","","","","",""
"2015.0","6.0","11.0","162.0","238.0","0.16","0.85","0.0","7.16","0.85","6.09","1.22","1.22","0.0","0.0","19.42","47.2","201.17","100.58","181.74","153.96","0.0","","","","","","",""
"2015.0","6.0","12.0","163.0","238.0","0.16","0.85","0.0","8.08","0.85","6.87","0.0","0.0","0.0","0.0","26.29","47.2","201.17","100.58","174.88","153.96","0.0","","","","","","",""
"2015.0","6.0","13.0","164.0","238.0","0.16","0.85","0.0","7.66","0.85","6.51","0.0","0.0","0.0","0.0","32.8","47.2","201.17","100.58","168.36","153.96","0.0","","","","","","",""
"2015.0","6.0","14.0","165.0","238.0","0.15","0.85","0.0","6.92","0.85","5.88","0.0","0.0","0.0","0.0","38.69","47.2","201.17","100.58","162.48","153.96","0.0","","","","","","",""
"2015.0","6.0","15.0","166.0","238.0","0.15","0.85","0.0","6.72","0.85","5.71","0.0","0.0","0.0","0.0","44.4","47.2","201.17","100.58","156.77","153.96","0.0","","","","","","",""
"2015.0","6.0","16.0","167.0","238.0","0.15","0.85","0.0","7.03","0.85","5.98","0.0","0.0","0.0","0.0","0.0","47.2","201.17","100.58","201.17","153.96","50.37","","","","","","",""
"2015.0","6.0","17.0","168.0","238.0","0.15","0.85","0.0","6.97","0.85","5.92","0.0","0.0","0.0","0.0","5.92","47.2","201.17","100.58","195.24","153.96","0.0","","","","","","",""
"2015.0","6.0","18.0","169.0","238.0","0.15","0.85","0.0","7.75","0.85","6.59","0.0","0.0","0.0","0.0","12.51","47.2","201.17","100.58","188.66","153.96","0.0","","","","","","",""
"2015.0","6.0","19.0","170.0","238.0","0.14","0.85","0.0","7.43","0.85","6.32","0.0","0.0","0.0","0.0","18.83","47.2","201.17","100.58","182.34","153.96","0.0","","","","","","",""
"2015.0","6.0","20.0","171.0","238.0","0.14","0.85","0.0","7.17","0.85","6.09","0.0","0.0","0.0","0.0","24.92","47.2","201.17","100.58","176.25","153.96","0.0","","","","","","",""
"2015.0","6.0","21.0","172.0","238.0","0.14","0.85","0.0","7.78","0.85","6.61","0.0","0.0","0.0","0.0","31.54","47.2","201.17","100.58","169.63","153.96","0.0","","","","","","",""
"2015.0","6.0","22.0","173.0","238.0","0.14","0.85","0.0","6.99","0.85","5.94","0.0","0.0","0.0","0.0","37.48","47.2","201.17","100.58","163.69","153.96","0.0","","","","","","",""
"2015.0","6.0","23.0","174.0","238.0","0.14","0.85","0.0","7.45","0.85","6.33","0.0","0.0","0.0","0.0","43.81","47.2","201.17","100.58","157.36","153.96","0.0","","","","","","",""
"2015.0","6.0","24.0","175.0","238.0","0.14","0.85","0.0","7.51","0.85","6.38","0.0","0.0","0.0","0.0","0.0","47.2","201.17","100.58","201.17","153.96","50.19","","","","","","",""
"2015.0","6.0","25.0","176.0","238.0","0.14","0.85","0.0","7.98","0.85","6.78","0.0","0.0","0.0","0.0","6.78","47.2","201.17","100.58","194.39","153.96","0.0","","","","","","",""
"2015.0","6.0","26.0","177.0","238.0","0.13","0.85","0.0","8.46","0.85","7.19","0.0","0.0","0.0","0.0","13.97","47.2","201.17","100.58","187.19","153.96","0.0","","","","","","",""
"2015.0","6.0","27.0","178.0","238.0","0.13","0.85","0.0","7.16","0.85","6.09","0.0","0.0","0.0","0.0","20.06","47.2","201.17","100.58","181.11","153.96","0.0","","","","","","",""
"2015.0","6.0","28.0","179.0","238.0","0.13","0.85","0.0","7.43","0.85","6.32","0.0","0.0","0.0","0.0","26.38","47.2","201.17","100.58","174.79","153.96","0.0","","","","","","",""
"2015.0","6.0","29.0","180.0","238.0","0.13","0.85","0.0","7.6","0.85","6.46","0.0","0.0","0.0","0.0","32.84","47.2","201.17","100.58","168.33","153.96","0.0","","","","","","",""
"2015.0","6.0","30.0","181.0","238.0","0.13","0.85","0.0","7.68","0.85","6.53","0.0","0.0","0.0","0.0","39.36","47.2","201.17","100.58","161.8","153.96","0.0","","","","","","",""
"2015.0","7.0","1.0","182.0","238.0","0.13","0.85","0.0","7.42","0.85","6.31","0.0","0.0","0.0","0.0","45.67","47.2","201.17","100.58","155.5","153.96","0.0","","","","","","",""
"2015.0","7.0","2.0","183.0","238.0","0.13","0.85","0.0","7.56","0.85","6.43","0.0","0.0","0.0","0.0","0.0","47.2","201.17","100.58","201.17","153.96","52.1","","","","","","",""
"2015.0","7.0","3.0","184.0","238.0","0.12","0.85","0.0","7.43","0.85","6.32","0.0","0.0","0.0","0.0","6.32","47.2","201.17","100.58","194.85","153.96","0.0","","","","","","",""
