" Daily soil water balance output for Cherries in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Cherries in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"2015.0","2.0","9.0","40.0","595.0","1.14","0.0","0.0","2.07","1.14","2.35","11.18","2.35","0.0","0.0","0.0","22.95","466.34","233.17","466.34","443.39","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","595.0","1.14","0.0","0.0","1.86","1.14","2.12","0.0","0.0","0.0","0.0","2.12","22.95","466.34","233.17","464.22","443.39","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","595.0","1.15","0.0","0.0","1.69","1.15","1.94","0.0","0.0","0.0","0.0","4.06","22.95","466.34","233.17","462.29","443.39","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","595.0","1.01","0.0","0.0","2.01","1.01","2.02","0.0","0.0","0.0","0.0","6.08","22.95","466.34","233.17","460.26","443.39","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","595.0","0.89","0.0","0.0","2.06","0.89","1.84","0.0","0.0","0.0","0.0","7.92","22.95","466.34","233.17","458.42","443.39","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","595.0","0.81","0.0","0.0","2.19","0.81","1.76","0.0","0.0","0.0","0.0","9.69","22.95","466.34","233.17","456.66","443.39","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","595.0","0.74","0.0","0.0","2.1","0.74","1.56","0.0","0.0","0.0","0.0","11.24","22.95","466.34","233.17","455.1","443.39","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","595.0","0.69","0.0","0.0","2.08","0.69","1.44","0.0","0.0","0.0","0.0","12.68","22.95","466.34","233.17","453.66","443.39","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","595.0","0.66","0.0","0.0","1.79","0.66","1.18","0.0","0.0","0.0","0.0","13.86","22.95","466.34","233.17","452.48","443.39","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","595.0","0.63","0.0","0.0","1.77","0.63","1.11","0.0","0.0","0.0","0.0","14.97","22.95","466.34","233.17","451.37","443.39","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","595.0","0.61","0.0","0.0","1.04","0.61","0.64","0.0","0.0","0.0","0.0","15.61","22.95","466.34","233.17","450.74","443.39","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","595.0","0.59","0.0","0.0","1.91","0.59","1.12","0.0","0.0","0.0","0.0","16.73","22.95","466.34","233.17","449.62","443.39","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","595.0","0.56","0.0","0.0","1.73","0.56","0.98","0.0","0.0","0.0","0.0","17.7","22.95","466.34","233.17","448.64","443.39","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","595.0","0.53","0.0","0.0","3.17","0.53","1.68","0.0","0.0","0.0","0.0","19.38","22.95","466.34","233.17","446.96","443.39","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","595.0","0.5","0.0","0.0","3.74","0.5","1.86","0.0","0.0","0.0","0.0","21.24","22.95","466.34","233.17","445.11","443.39","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","595.0","0.48","0.0","0.0","2.72","0.48","1.29","0.0","0.0","0.0","0.0","22.53","22.95","466.34","233.17","443.81","443.39","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","595.0","0.46","0.0","0.0","2.16","0.46","1.0","0.0","0.0","0.0","0.0","23.53","22.95","466.34","233.17","442.82","443.39","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","595.0","0.44","0.0","0.0","2.91","0.44","1.29","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","595.0","0.43","0.0","0.0","2.89","0.43","1.24","0.0","0.0","0.0","0.0","24.19","22.95","466.34","233.17","442.16","443.39","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","595.0","0.42","0.0","0.0","2.1","0.42","0.88","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","595.0","0.41","0.0","0.0","2.54","0.41","1.03","0.0","0.0","0.0","0.0","23.98","22.95","466.34","233.17","442.36","443.39","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","595.0","0.4","0.0","0.0","2.2","0.4","0.87","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","595.0","0.39","0.0","0.0","2.5","0.39","0.97","0.31","0.31","0.0","0.0","23.61","22.95","466.34","233.17","442.74","443.39","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","595.0","0.38","0.0","0.0","2.61","0.38","0.98","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","595.0","0.37","0.0","0.0","2.81","0.37","1.03","0.0","0.0","0.0","0.0","23.98","22.95","466.34","233.17","442.36","443.39","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","595.0","0.36","0.0","0.0","2.99","0.36","1.07","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","595.0","0.35","0.0","0.0","2.86","0.35","1.0","0.0","0.0","0.0","0.0","23.95","22.95","466.34","233.17","442.4","443.39","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","595.0","0.34","0.0","0.0","2.91","0.34","0.99","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","595.0","0.33","0.0","0.0","2.86","0.33","0.95","0.0","0.0","0.0","0.0","23.9","22.95","466.34","233.17","442.44","443.39","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","595.0","0.33","0.0","0.0","2.39","0.33","0.78","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","595.0","1.13","0.0","0.0","2.24","1.13","2.53","2.67","2.67","0.0","0.0","22.81","22.95","466.34","233.17","443.53","443.39","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","595.0","1.11","0.0","0.0","3.32","1.11","3.68","2.08","2.08","0.0","0.0","24.41","22.95","466.34","233.17","441.93","443.39","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","595.0","0.93","0.0","0.0","3.03","0.93","2.83","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","595.0","0.79","0.0","0.0","3.33","0.79","2.63","0.0","0.0","0.0","0.0","25.58","22.95","466.34","233.17","440.76","443.39","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","595.0","0.69","0.0","0.0","3.77","0.69","2.59","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","595.0","0.64","0.0","0.0","2.61","0.64","1.66","0.0","0.0","0.0","0.0","24.61","22.95","466.34","233.17","441.73","443.39","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","595.0","0.58","0.0","0.0","3.59","0.58","2.09","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","595.0","0.54","0.0","0.0","3.75","0.54","2.01","1.28","1.28","0.0","0.0","23.68","22.95","466.34","233.17","442.66","443.39","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","595.0","0.5","0.0","0.0","3.78","0.5","1.89","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","595.0","0.48","0.0","0.0","3.08","0.48","1.47","0.0","0.0","0.0","0.0","24.42","22.95","466.34","233.17","441.93","443.39","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","595.0","0.45","0.0","0.0","3.5","0.45","1.58","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","595.0","0.43","0.0","0.0","3.12","0.43","1.35","0.0","0.0","0.0","0.0","24.3","22.95","466.34","233.17","442.04","443.39","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","595.0","0.42","0.0","0.0","3.08","0.42","1.29","0.53","0.53","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","595.0","0.4","0.0","0.0","3.33","0.4","1.34","0.0","0.0","0.0","0.0","24.29","22.95","466.34","233.17","442.05","443.39","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","595.0","0.39","0.0","0.0","4.06","0.39","1.56","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","595.0","0.37","0.0","0.0","3.9","0.37","1.45","0.0","0.0","0.0","0.0","24.4","22.95","466.34","233.17","441.95","443.39","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","595.0","0.36","0.0","0.0","4.27","0.36","1.52","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","595.0","0.34","0.0","0.0","4.84","0.34","1.65","0.0","0.0","0.0","0.0","24.6","22.95","466.34","233.17","441.74","443.39","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","595.0","0.33","0.0","0.0","4.63","0.33","1.52","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","595.0","0.32","0.0","0.0","4.42","0.32","1.41","0.0","0.0","0.0","0.0","24.36","22.95","466.34","233.17","441.99","443.39","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","595.0","0.31","0.0","0.0","4.62","0.31","1.43","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","595.0","0.3","0.0","0.0","4.12","0.3","1.24","0.0","0.0","0.0","0.0","24.19","22.95","466.34","233.17","442.16","443.39","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","595.0","0.29","0.0","0.0","5.35","0.29","1.55","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","595.0","0.28","0.0","0.0","4.55","0.28","1.29","0.0","0.0","0.0","0.0","24.24","22.95","466.34","233.17","442.11","443.39","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","595.0","0.28","0.0","0.0","4.42","0.28","1.22","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","595.0","0.27","0.0","0.0","2.61","0.27","0.71","0.65","0.65","0.0","0.0","23.01","22.95","466.34","233.17","443.33","443.39","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","595.0","1.1","0.0","0.0","2.92","1.1","3.22","4.82","4.82","0.0","0.0","18.19","22.95","466.34","233.17","448.15","443.39","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","595.0","1.11","0.0","0.0","2.82","1.11","3.12","3.41","3.41","0.0","0.0","17.9","22.95","466.34","233.17","448.44","443.39","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","595.0","1.1","0.0","0.0","3.06","1.1","3.36","6.61","6.61","0.0","0.0","14.65","22.95","466.34","233.17","451.69","443.39","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","595.0","1.06","0.0","0.0","3.49","1.06","3.7","0.0","0.0","0.0","0.0","18.35","22.95","466.34","233.17","447.99","443.39","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","595.0","0.83","0.0","0.0","4.07","0.83","3.37","0.0","0.0","0.0","0.0","21.72","22.95","466.34","233.17","444.62","443.39","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","595.0","0.7","0.0","0.0","4.2","0.7","2.94","0.0","0.0","0.0","0.0","24.66","22.95","466.34","233.17","441.68","443.39","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","595.0","0.61","0.0","0.0","4.8","0.61","2.9","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","595.0","0.54","0.0","0.0","4.68","0.54","2.54","0.0","0.0","0.0","0.0","25.49","22.95","466.34","233.17","440.86","443.39","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","595.0","0.49","0.0","0.0","4.89","0.49","2.42","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","595.0","0.45","0.55","0.0","6.17","0.55","3.39","0.0","0.0","0.0","0.0","26.34","98.18","466.34","233.17","440.0","368.17","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","595.0","0.41","0.56","0.0","5.75","0.56","3.2","0.0","0.0","0.0","0.0","29.54","98.18","466.34","233.17","436.8","368.17","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","595.0","0.39","0.56","0.0","5.26","0.56","2.96","0.0","0.0","0.0","0.0","32.5","98.18","466.34","233.17","433.85","368.17","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","595.0","0.37","0.57","0.0","4.83","0.57","2.74","0.0","0.0","0.0","0.0","35.24","98.18","466.34","233.17","431.1","368.17","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","595.0","0.35","0.57","0.0","4.94","0.57","2.84","0.0","0.0","0.0","0.0","38.08","98.18","466.34","233.17","428.26","368.17","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","595.0","0.34","0.58","0.0","4.55","0.58","2.64","0.0","0.0","0.0","0.0","40.72","98.18","466.34","233.17","425.62","368.17","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","595.0","0.33","0.59","0.0","3.69","0.59","2.16","0.0","0.0","0.0","0.0","42.89","98.18","466.34","233.17","423.46","368.17","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","595.0","0.32","0.59","0.0","4.06","0.59","2.41","0.0","0.0","0.0","0.0","45.29","98.18","466.34","233.17","421.05","368.17","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","595.0","0.31","0.6","0.0","4.61","0.6","2.76","0.0","0.0","0.0","0.0","48.05","98.18","466.34","233.17","418.29","368.17","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","595.0","0.3","0.6","0.0","4.98","0.6","3.01","0.0","0.0","0.0","0.0","51.07","98.18","466.34","233.17","415.28","368.17","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","595.0","1.06","0.61","0.0","3.96","1.06","4.2","7.89","7.89","0.0","0.0","47.38","98.18","466.34","233.17","418.96","368.17","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","595.0","0.88","0.62","0.0","5.06","0.88","4.47","0.0","0.0","0.0","0.0","51.85","98.18","466.34","233.17","414.5","368.17","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","595.0","0.68","0.62","0.0","5.85","0.68","3.99","0.0","0.0","0.0","0.0","55.83","98.18","466.34","233.17","410.51","368.17","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","595.0","0.58","0.63","0.0","5.37","0.63","3.38","0.0","0.0","0.0","0.0","59.21","98.18","466.34","233.17","407.13","368.17","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","595.0","0.52","0.64","0.0","5.19","0.64","3.3","0.0","0.0","0.0","0.0","62.51","98.18","466.34","233.17","403.83","368.17","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","595.0","0.46","0.64","0.0","6.36","0.64","4.08","0.0","0.0","0.0","0.0","66.59","98.18","466.34","233.17","399.76","368.17","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","595.0","0.42","0.65","0.0","6.3","0.65","4.08","0.0","0.0","0.0","0.0","70.67","98.18","466.34","233.17","395.68","368.17","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","595.0","0.39","0.65","0.0","5.65","0.65","3.69","0.0","0.0","0.0","0.0","74.36","98.18","466.34","233.17","391.98","368.17","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","595.0","0.37","0.66","0.0","4.95","0.66","3.27","0.0","0.0","0.0","0.0","77.63","98.18","466.34","233.17","388.72","368.17","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","595.0","0.36","0.67","0.0","4.62","0.67","3.08","0.0","0.0","0.0","0.0","80.7","98.18","466.34","233.17","385.64","368.17","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","595.0","0.34","0.67","0.0","4.71","0.67","3.16","0.0","0.0","0.0","0.0","83.87","98.18","466.34","233.17","382.48","368.17","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","595.0","0.33","0.68","0.0","4.99","0.68","3.38","0.0","0.0","0.0","0.0","87.25","98.18","466.34","233.17","379.09","368.17","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","595.0","0.32","0.68","0.0","3.32","0.68","2.27","0.0","0.0","0.0","0.0","89.52","98.18","466.34","233.17","376.82","368.17","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","595.0","0.31","0.69","0.0","4.33","0.69","2.99","0.3","0.3","0.0","0.0","92.21","98.18","466.34","233.17","374.13","368.17","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","595.0","0.3","0.7","0.0","4.75","0.7","3.31","0.0","0.0","0.0","0.0","95.52","98.18","466.34","233.17","370.82","368.17","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","595.0","0.29","0.7","0.0","4.97","0.7","3.49","0.0","0.0","0.0","0.0","0.0","98.18","466.34","233.17","466.34","368.17","99.01","","","","","","","","",""
"2015.0","5.0","11.0","131.0","595.0","0.28","0.71","0.0","4.98","0.71","3.53","0.0","0.0","0.0","0.0","3.53","98.18","466.34","233.17","462.82","368.17","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","595.0","0.28","0.71","0.0","4.94","0.71","3.53","0.0","0.0","0.0","0.0","7.06","98.18","466.34","233.17","459.29","368.17","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","595.0","0.27","0.72","0.0","4.64","0.72","3.34","0.0","0.0","0.0","0.0","10.4","98.18","466.34","233.17","455.94","368.17","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","595.0","0.27","0.73","0.0","3.04","0.73","2.21","0.0","0.0","0.0","0.0","12.61","98.18","466.34","233.17","453.73","368.17","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","595.0","0.26","0.73","0.0","4.56","0.73","3.34","3.66","3.66","0.0","0.0","12.29","98.18","466.34","233.17","454.05","368.17","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","595.0","0.25","0.74","0.0","4.67","0.74","3.45","0.0","0.0","0.0","0.0","15.75","98.18","466.34","233.17","450.6","368.17","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","595.0","0.25","0.75","0.0","3.98","0.75","2.97","0.0","0.0","0.0","0.0","18.71","98.18","466.34","233.17","447.63","368.17","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","595.0","0.24","0.75","0.0","4.71","0.75","3.54","0.0","0.0","0.0","0.0","22.25","98.18","466.34","233.17","444.09","368.17","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","595.0","0.24","0.76","0.0","4.89","0.76","3.7","0.0","0.0","0.0","0.0","25.95","98.18","466.34","233.17","440.39","368.17","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","595.0","0.24","0.76","0.0","4.74","0.76","3.62","0.0","0.0","0.0","0.0","29.57","98.18","466.34","233.17","436.77","368.17","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","595.0","0.23","0.77","0.0","4.02","0.77","3.09","0.0","0.0","0.0","0.0","32.67","98.18","466.34","233.17","433.68","368.17","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","595.0","0.23","0.78","0.0","4.76","0.78","3.69","0.0","0.0","0.0","0.0","36.36","98.18","466.34","233.17","429.99","368.17","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","595.0","0.22","0.78","0.0","4.73","0.78","3.7","0.0","0.0","0.0","0.0","40.05","98.18","466.34","233.17","426.29","368.17","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","595.0","0.22","0.79","0.0","5.3","0.79","4.18","0.0","0.0","0.0","0.0","44.23","98.18","466.34","233.17","422.11","368.17","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","595.0","0.22","0.79","0.0","5.22","0.79","4.14","0.0","0.0","0.0","0.0","48.37","98.18","466.34","233.17","417.97","368.17","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","595.0","0.21","0.8","0.0","5.23","0.8","4.18","0.0","0.0","0.0","0.0","52.56","98.18","466.34","233.17","413.79","368.17","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","595.0","0.21","0.81","0.0","5.27","0.81","4.25","0.0","0.0","0.0","0.0","56.81","98.18","466.34","233.17","409.54","368.17","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","595.0","0.2","0.81","0.0","5.16","0.81","4.19","0.0","0.0","0.0","0.0","61.0","98.18","466.34","233.17","405.35","368.17","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","595.0","0.2","0.82","0.0","5.83","0.82","4.77","0.0","0.0","0.0","0.0","65.77","98.18","466.34","233.17","400.58","368.17","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","595.0","0.2","0.82","0.0","6.13","0.82","5.05","0.0","0.0","0.0","0.0","70.82","98.18","466.34","233.17","395.52","368.17","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","595.0","0.19","0.83","0.0","5.1","0.83","4.24","0.0","0.0","0.0","0.0","75.06","98.18","466.34","233.17","391.29","368.17","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","595.0","0.19","0.84","0.0","5.33","0.84","4.46","0.0","0.0","0.0","0.0","79.52","98.18","466.34","233.17","386.83","368.17","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","595.0","0.19","0.84","0.0","5.55","0.84","4.68","0.0","0.0","0.0","0.0","84.19","98.18","466.34","233.17","382.15","368.17","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","595.0","0.19","0.85","0.0","5.22","0.85","4.43","0.0","0.0","0.0","0.0","88.62","98.18","466.34","233.17","377.72","368.17","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","595.0","0.18","0.85","0.0","5.69","0.85","4.86","0.0","0.0","0.0","0.0","93.49","98.18","466.34","233.17","372.86","368.17","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","595.0","0.18","0.86","0.0","6.41","0.86","5.52","0.0","0.0","0.0","0.0","0.0","98.18","466.34","233.17","466.34","368.17","99.01","","","","","","","","",""
"2015.0","6.0","6.0","157.0","595.0","0.18","0.87","0.0","6.08","0.87","5.27","0.0","0.0","0.0","0.0","5.27","98.18","466.34","233.17","461.07","368.17","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","595.0","0.18","0.87","0.0","6.53","0.87","5.7","0.0","0.0","0.0","0.0","10.97","98.18","466.34","233.17","455.37","368.17","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","595.0","0.17","0.88","0.0","7.19","0.88","6.32","0.0","0.0","0.0","0.0","17.3","98.18","466.34","233.17","449.05","368.17","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","595.0","0.17","0.89","0.0","6.4","0.89","5.67","0.0","0.0","0.0","0.0","22.96","98.18","466.34","233.17","443.38","368.17","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","595.0","0.17","0.89","0.0","2.74","0.89","2.44","0.19","0.19","0.0","0.0","25.21","98.18","466.34","233.17","441.13","368.17","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","595.0","0.17","0.9","0.0","6.69","0.9","6.0","3.14","3.14","0.0","0.0","28.08","98.18","466.34","233.17","438.26","368.17","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","595.0","0.16","0.9","0.0","7.43","0.9","6.71","0.0","0.0","0.0","0.0","34.79","98.18","466.34","233.17","431.55","368.17","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","595.0","0.16","0.91","0.0","7.13","0.91","6.49","0.0","0.0","0.0","0.0","41.28","98.18","466.34","233.17","425.06","368.17","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","595.0","0.16","0.92","0.0","6.37","0.92","5.83","0.0","0.0","0.0","0.0","47.11","98.18","466.34","233.17","419.23","368.17","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","595.0","0.16","0.92","0.0","6.19","0.92","5.71","0.0","0.0","0.0","0.0","52.82","98.18","466.34","233.17","413.52","368.17","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","595.0","0.16","0.93","0.0","6.63","0.93","6.15","3.09","3.09","0.0","0.0","55.88","98.18","466.34","233.17","410.46","368.17","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","595.0","0.15","0.93","0.0","6.67","0.93","6.23","0.0","0.0","0.0","0.0","62.11","98.18","466.34","233.17","404.23","368.17","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","595.0","0.15","0.94","0.0","7.15","0.94","6.72","0.0","0.0","0.0","0.0","68.84","98.18","466.34","233.17","397.51","368.17","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","595.0","0.15","0.95","0.0","7.13","0.95","6.75","0.0","0.0","0.0","0.0","75.58","98.18","466.34","233.17","390.76","368.17","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","595.0","0.15","0.95","0.0","6.67","0.95","6.35","0.0","0.0","0.0","0.0","81.94","98.18","466.34","233.17","384.41","368.17","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","595.0","0.15","0.96","0.0","7.12","0.96","6.82","0.0","0.0","0.0","0.0","88.76","98.18","466.34","233.17","377.58","368.17","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","595.0","0.15","0.96","0.0","6.69","0.96","6.45","0.0","0.0","0.0","0.0","95.22","98.18","466.34","233.17","371.13","368.17","0.0","","","","","","","","",""
"2015.0","6.0","23.0","174.0","595.0","0.14","0.97","0.0","7.08","0.97","6.87","0.0","0.0","0.0","0.0","0.0","98.18","466.34","233.17","466.34","368.17","102.09","","","","","","","","",""
"2015.0","6.0","24.0","175.0","595.0","0.14","0.98","0.0","7.0","0.98","6.84","0.0","0.0","0.0","0.0","6.84","98.18","466.34","233.17","459.51","368.17","0.0","","","","","","","","",""
"2015.0","6.0","25.0","176.0","595.0","0.14","0.98","0.0","7.72","0.98","7.59","0.0","0.0","0.0","0.0","14.43","98.18","466.34","233.17","451.92","368.17","0.0","","","","","","","","",""
"2015.0","6.0","26.0","177.0","595.0","0.14","0.99","0.0","7.92","0.99","7.83","0.0","0.0","0.0","0.0","22.26","98.18","466.34","233.17","444.08","368.17","0.0","","","","","","","","",""
