" Daily soil water balance output for Truck Crops in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Truck Crops in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"2015.0","2.0","9.0","40.0","902.0","1.14","0.0","0.0","2.07","1.14","2.35","11.18","2.35","0.0","0.0","0.0","20.4","290.17","145.08","290.17","269.77","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","902.0","1.14","0.0","0.0","1.86","1.14","2.12","0.0","0.0","0.0","0.0","2.12","20.4","290.17","145.08","288.05","269.77","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","902.0","1.15","0.0","0.0","1.69","1.15","1.94","0.0","0.0","0.0","0.0","4.06","20.4","290.17","145.08","286.11","269.77","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","902.0","1.01","0.0","0.0","2.01","1.01","2.02","0.0","0.0","0.0","0.0","6.08","20.4","290.17","145.08","284.09","269.77","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","902.0","0.89","0.0","0.0","2.06","0.89","1.84","0.0","0.0","0.0","0.0","7.92","20.4","290.17","145.08","282.25","269.77","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","902.0","0.81","0.0","0.0","2.19","0.81","1.76","0.0","0.0","0.0","0.0","9.69","20.4","290.17","145.08","280.48","269.77","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","902.0","0.74","0.0","0.0","2.1","0.74","1.56","0.0","0.0","0.0","0.0","11.24","20.4","290.17","145.08","278.93","269.77","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","902.0","0.69","0.0","0.0","2.08","0.69","1.44","0.0","0.0","0.0","0.0","12.68","20.4","290.17","145.08","277.48","269.77","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","902.0","0.66","0.0","0.0","1.79","0.66","1.18","0.0","0.0","0.0","0.0","13.86","20.4","290.17","145.08","276.31","269.77","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","902.0","0.63","0.0","0.0","1.77","0.63","1.11","0.0","0.0","0.0","0.0","14.97","20.4","290.17","145.08","275.2","269.77","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","902.0","0.61","0.0","0.0","1.04","0.61","0.64","0.0","0.0","0.0","0.0","15.61","20.4","290.17","145.08","274.56","269.77","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","902.0","0.59","0.0","0.0","1.91","0.59","1.12","0.0","0.0","0.0","0.0","16.73","20.4","290.17","145.08","273.44","269.77","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","902.0","0.56","0.0","0.0","1.73","0.56","0.98","0.0","0.0","0.0","0.0","17.7","20.4","290.17","145.08","272.47","269.77","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","902.0","0.53","0.0","0.0","3.17","0.53","1.68","0.0","0.0","0.0","0.0","19.38","20.4","290.17","145.08","270.79","269.77","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","902.0","0.5","0.0","0.0","3.74","0.5","1.86","0.0","0.0","0.0","0.0","21.24","20.4","290.17","145.08","268.93","269.77","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","902.0","0.48","0.0","0.0","2.72","0.48","1.29","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","902.0","0.46","0.0","0.0","2.16","0.46","1.0","0.0","0.0","0.0","0.0","21.4","20.4","290.17","145.08","268.77","269.77","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","902.0","0.44","0.0","0.0","2.91","0.44","1.29","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","902.0","0.43","0.0","0.0","2.89","0.43","1.24","0.0","0.0","0.0","0.0","21.64","20.4","290.17","145.08","268.53","269.77","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","902.0","0.42","0.0","0.0","2.1","0.42","0.88","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","902.0","0.41","0.0","0.0","2.54","0.41","1.03","0.0","0.0","0.0","0.0","21.43","20.4","290.17","145.08","268.74","269.77","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","902.0","0.4","0.0","0.0","2.2","0.4","0.87","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","902.0","0.39","0.0","0.0","2.5","0.39","0.97","0.31","0.31","0.0","0.0","21.06","20.4","290.17","145.08","269.11","269.77","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","902.0","0.38","0.0","0.0","2.61","0.38","0.98","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","902.0","0.37","0.0","0.0","2.81","0.37","1.03","0.0","0.0","0.0","0.0","21.43","20.4","290.17","145.08","268.74","269.77","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","902.0","0.36","0.0","0.0","2.99","0.36","1.07","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","902.0","0.35","0.0","0.0","2.86","0.35","1.0","0.0","0.0","0.0","0.0","21.4","20.4","290.17","145.08","268.77","269.77","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","902.0","0.34","0.0","0.0","2.91","0.34","0.99","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","902.0","0.33","0.0","0.0","2.86","0.33","0.95","0.0","0.0","0.0","0.0","21.35","20.4","290.17","145.08","268.81","269.77","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","902.0","0.33","0.0","0.0","2.39","0.33","0.78","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","902.0","1.13","0.0","0.0","2.24","1.13","2.53","2.67","2.67","0.0","0.0","20.26","20.4","290.17","145.08","269.91","269.77","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","902.0","1.11","0.0","0.0","3.32","1.11","3.68","2.08","2.08","0.0","0.0","21.86","20.4","290.17","145.08","268.31","269.77","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","902.0","0.93","0.0","0.0","3.03","0.93","2.83","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","902.0","0.79","0.0","0.0","3.33","0.79","2.63","0.0","0.0","0.0","0.0","23.03","20.4","290.17","145.08","267.14","269.77","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","902.0","0.69","0.0","0.0","3.77","0.69","2.59","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","902.0","0.64","0.0","0.0","2.61","0.64","1.66","0.0","0.0","0.0","0.0","22.06","20.4","290.17","145.08","268.11","269.77","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","902.0","0.58","0.0","0.0","3.59","0.58","2.09","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","902.0","0.54","0.0","0.0","3.75","0.54","2.01","1.28","1.28","0.0","0.0","21.13","20.4","290.17","145.08","269.04","269.77","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","902.0","0.5","0.0","0.0","3.78","0.5","1.89","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","902.0","0.48","0.0","0.0","3.08","0.48","1.47","0.0","0.0","0.0","0.0","21.87","20.4","290.17","145.08","268.3","269.77","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","902.0","0.45","0.0","0.0","3.5","0.45","1.58","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","902.0","0.43","0.0","0.0","3.12","0.43","1.35","0.0","0.0","0.0","0.0","21.75","20.4","290.17","145.08","268.42","269.77","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","902.0","0.42","0.0","0.0","3.08","0.42","1.29","0.53","0.53","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","902.0","0.4","0.0","0.0","3.33","0.4","1.34","0.0","0.0","0.0","0.0","21.74","20.4","290.17","145.08","268.43","269.77","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","902.0","0.39","0.0","0.0","4.06","0.39","1.56","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","902.0","0.37","0.0","0.0","3.9","0.37","1.45","0.0","0.0","0.0","0.0","21.85","20.4","290.17","145.08","268.32","269.77","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","902.0","0.36","0.0","0.0","4.27","0.36","1.52","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","902.0","0.34","0.0","0.0","4.84","0.34","1.65","0.0","0.0","0.0","0.0","22.05","20.4","290.17","145.08","268.12","269.77","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","902.0","0.33","0.0","0.0","4.63","0.33","1.52","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","902.0","0.32","0.0","0.0","4.42","0.32","1.41","0.0","0.0","0.0","0.0","21.81","20.4","290.17","145.08","268.36","269.77","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","902.0","0.31","0.0","0.0","4.62","0.31","1.43","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","902.0","0.3","0.0","0.0","4.12","0.3","1.24","0.0","0.0","0.0","0.0","21.64","20.4","290.17","145.08","268.53","269.77","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","902.0","0.29","0.0","0.0","5.35","0.29","1.55","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","902.0","0.28","0.0","0.0","4.55","0.28","1.29","0.0","0.0","0.0","0.0","21.69","20.4","290.17","145.08","268.48","269.77","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","902.0","0.28","0.0","0.0","4.42","0.28","1.22","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","902.0","0.27","0.0","0.0","2.61","0.27","0.71","0.65","0.65","0.0","0.0","20.46","20.4","290.17","145.08","269.71","269.77","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","902.0","1.1","0.0","0.0","2.92","1.1","3.22","4.82","4.82","0.0","0.0","15.64","20.4","290.17","145.08","274.53","269.77","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","902.0","1.11","0.0","0.0","2.82","1.11","3.12","3.41","3.41","0.0","0.0","15.35","20.4","290.17","145.08","274.82","269.77","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","902.0","1.1","0.0","0.0","3.06","1.1","3.36","6.61","6.61","0.0","0.0","12.1","20.4","290.17","145.08","278.07","269.77","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","902.0","1.06","0.0","0.0","3.49","1.06","3.7","0.0","0.0","0.0","0.0","15.8","20.4","290.17","145.08","274.37","269.77","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","902.0","0.83","0.0","0.0","4.07","0.83","3.37","0.0","0.0","0.0","0.0","19.17","20.4","290.17","145.08","271.0","269.77","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","902.0","0.7","0.0","0.0","4.2","0.7","2.94","0.0","0.0","0.0","0.0","22.11","20.4","290.17","145.08","268.06","269.77","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","902.0","0.61","0.0","0.0","4.8","0.61","2.9","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","902.0","0.54","0.0","0.0","4.68","0.54","2.54","0.0","0.0","0.0","0.0","22.94","20.4","290.17","145.08","267.23","269.77","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","902.0","0.49","0.0","0.0","4.89","0.49","2.42","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","902.0","0.45","0.0","0.0","6.17","0.45","2.76","0.0","0.0","0.0","0.0","23.16","20.4","290.17","145.08","267.01","269.77","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","902.0","0.41","0.0","0.0","5.75","0.41","2.37","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","902.0","0.39","0.0","0.0","5.26","0.39","2.04","0.0","0.0","0.0","0.0","22.44","20.4","290.17","145.08","267.73","269.77","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","902.0","0.37","0.0","0.0","4.83","0.37","1.78","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","902.0","0.35","0.0","0.0","4.94","0.35","1.74","0.0","0.0","0.0","0.0","22.14","20.4","290.17","145.08","268.03","269.77","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","902.0","0.34","0.0","0.0","4.55","0.34","1.54","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","902.0","0.33","0.0","0.0","3.69","0.33","1.22","0.0","0.0","0.0","0.0","21.62","20.4","290.17","145.08","268.55","269.77","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","902.0","0.32","0.0","0.0","4.06","0.32","1.3","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","902.0","0.31","0.0","0.0","4.61","0.31","1.43","0.0","0.0","0.0","0.0","21.83","20.4","290.17","145.08","268.34","269.77","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","902.0","0.3","0.0","0.0","4.98","0.3","1.49","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","902.0","1.06","0.0","0.0","3.96","1.06","4.2","7.89","7.89","0.0","0.0","16.71","20.4","290.17","145.08","273.46","269.77","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","902.0","0.88","0.0","0.0","5.06","0.88","4.47","0.0","0.0","0.0","0.0","21.18","20.4","290.17","145.08","268.99","269.77","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","902.0","0.68","0.0","0.0","5.85","0.68","3.99","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","902.0","0.58","0.0","0.0","5.37","0.58","3.13","0.0","0.0","0.0","0.0","23.53","20.4","290.17","145.08","266.64","269.77","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","902.0","0.52","0.0","0.0","5.19","0.52","2.7","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","902.0","0.46","0.0","0.0","6.36","0.46","2.94","0.0","0.0","0.0","0.0","23.34","20.4","290.17","145.08","266.82","269.77","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","902.0","0.42","0.0","0.0","6.3","0.42","2.66","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","902.0","0.39","0.0","0.0","5.65","0.39","2.22","0.0","0.0","0.0","0.0","22.62","20.4","290.17","145.08","267.55","269.77","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","902.0","0.37","0.0","0.0","4.95","0.37","1.85","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","902.0","0.36","0.0","0.0","4.62","0.36","1.65","0.0","0.0","0.0","0.0","22.05","20.4","290.17","145.08","268.12","269.77","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","902.0","0.34","0.0","0.0","4.71","0.34","1.61","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","902.0","0.33","0.0","0.0","4.99","0.33","1.64","0.0","0.0","0.0","0.0","22.04","20.4","290.17","145.08","268.13","269.77","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","902.0","0.32","0.0","0.0","3.32","0.32","1.07","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","902.0","0.31","0.0","0.0","4.33","0.31","1.35","0.3","0.3","0.0","0.0","21.45","20.4","290.17","145.08","268.72","269.77","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","902.0","0.3","0.0","0.0","4.75","0.3","1.44","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","902.0","0.29","0.0","0.0","4.97","0.29","1.45","0.0","0.0","0.0","0.0","21.85","20.4","290.17","145.08","268.31","269.77","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","902.0","0.28","0.0","0.0","4.98","0.28","1.41","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","902.0","0.28","0.0","0.0","4.94","0.28","1.36","0.0","0.0","0.0","0.0","21.76","20.4","290.17","145.08","268.4","269.77","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","902.0","0.27","0.0","0.0","4.64","0.27","1.25","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","902.0","0.27","0.0","0.0","3.04","0.27","0.81","0.0","0.0","0.0","0.0","21.21","20.4","290.17","145.08","268.96","269.77","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","902.0","0.26","0.51","0.0","4.56","0.51","2.33","3.66","3.66","0.0","0.0","19.87","62.05","290.17","145.08","270.3","228.12","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","902.0","0.25","0.51","0.0","4.67","0.51","2.38","0.0","0.0","0.0","0.0","22.26","62.05","290.17","145.08","267.91","228.12","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","902.0","0.25","0.51","0.0","3.98","0.51","2.03","0.0","0.0","0.0","0.0","24.29","62.05","290.17","145.08","265.88","228.12","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","902.0","0.24","0.51","0.0","4.71","0.51","2.4","0.0","0.0","0.0","0.0","26.69","62.05","290.17","145.08","263.48","228.12","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","902.0","0.24","0.51","0.0","4.89","0.51","2.49","0.0","0.0","0.0","0.0","29.18","62.05","290.17","145.08","260.99","228.12","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","902.0","0.24","0.51","0.0","4.74","0.51","2.42","0.0","0.0","0.0","0.0","31.6","62.05","290.17","145.08","258.57","228.12","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","902.0","0.23","0.51","0.0","4.02","0.51","2.05","0.0","0.0","0.0","0.0","33.65","62.05","290.17","145.08","256.52","228.12","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","902.0","0.23","0.51","0.0","4.76","0.51","2.43","0.0","0.0","0.0","0.0","36.08","62.05","290.17","145.08","254.09","228.12","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","902.0","0.22","0.51","0.0","4.73","0.51","2.41","0.0","0.0","0.0","0.0","38.49","62.05","290.17","145.08","251.68","228.12","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","902.0","0.22","0.51","0.0","5.3","0.51","2.7","0.0","0.0","0.0","0.0","41.19","62.05","290.17","145.08","248.98","228.12","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","902.0","0.22","0.51","0.0","5.22","0.51","2.66","0.0","0.0","0.0","0.0","43.85","62.05","290.17","145.08","246.32","228.12","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","902.0","0.21","0.51","0.0","5.23","0.51","2.67","0.0","0.0","0.0","0.0","46.52","62.05","290.17","145.08","243.65","228.12","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","902.0","0.21","0.51","0.0","5.27","0.51","2.69","0.0","0.0","0.0","0.0","49.21","62.05","290.17","145.08","240.96","228.12","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","902.0","0.2","0.51","0.0","5.16","0.51","2.63","0.0","0.0","0.0","0.0","51.84","62.05","290.17","145.08","238.33","228.12","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","902.0","0.2","0.51","0.0","5.83","0.51","2.97","0.0","0.0","0.0","0.0","54.81","62.05","290.17","145.08","235.36","228.12","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","902.0","0.2","0.51","0.0","6.13","0.51","3.13","0.0","0.0","0.0","0.0","57.94","62.05","290.17","145.08","232.23","228.12","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","902.0","0.19","0.51","0.0","5.1","0.51","2.6","0.0","0.0","0.0","0.0","60.54","62.05","290.17","145.08","229.63","228.12","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","902.0","0.19","0.51","0.0","5.33","0.51","2.72","0.0","0.0","0.0","0.0","0.0","62.05","290.17","145.08","290.17","228.12","63.26","","","","","","","","",""
"2015.0","6.0","2.0","153.0","902.0","0.19","0.51","0.0","5.55","0.51","2.83","0.0","0.0","0.0","0.0","2.83","62.05","290.17","145.08","287.34","228.12","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","902.0","0.19","0.51","0.0","5.22","0.51","2.66","0.0","0.0","0.0","0.0","5.49","62.05","290.17","145.08","284.68","228.12","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","902.0","0.18","0.51","0.0","5.69","0.51","2.9","0.0","0.0","0.0","0.0","8.39","62.05","290.17","145.08","281.78","228.12","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","902.0","0.18","0.51","0.0","6.41","0.51","3.27","0.0","0.0","0.0","0.0","11.66","62.05","290.17","145.08","278.51","228.12","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","902.0","0.18","0.51","0.0","6.08","0.51","3.1","0.0","0.0","0.0","0.0","14.76","62.05","290.17","145.08","275.41","228.12","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","902.0","0.18","0.51","0.0","6.53","0.51","3.33","0.0","0.0","0.0","0.0","18.09","62.05","290.17","145.08","272.07","228.12","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","902.0","0.17","0.51","0.0","7.19","0.51","3.67","0.0","0.0","0.0","0.0","21.76","62.05","290.17","145.08","268.41","228.12","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","902.0","0.17","0.51","0.0","6.4","0.51","3.26","0.0","0.0","0.0","0.0","25.03","62.05","290.17","145.08","265.14","228.12","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","902.0","0.17","0.51","0.0","2.74","0.51","1.4","0.19","0.19","0.0","0.0","26.23","62.05","290.17","145.08","263.94","228.12","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","902.0","0.17","0.51","0.0","6.69","0.51","3.41","3.14","3.14","0.0","0.0","26.51","62.05","290.17","145.08","263.66","228.12","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","902.0","0.16","0.51","0.0","7.43","0.51","3.79","0.0","0.0","0.0","0.0","30.29","62.05","290.17","145.08","259.88","228.12","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","902.0","0.16","0.52","0.0","7.13","0.52","3.71","0.0","0.0","0.0","0.0","34.01","62.05","290.17","145.08","256.16","228.12","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","902.0","0.16","0.53","0.0","6.37","0.53","3.38","0.0","0.0","0.0","0.0","37.39","62.05","290.17","145.08","252.78","228.12","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","902.0","0.16","0.54","0.0","6.19","0.54","3.35","0.0","0.0","0.0","0.0","40.74","62.05","290.17","145.08","249.43","228.12","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","902.0","0.16","0.55","0.0","6.63","0.55","3.66","3.09","3.09","0.0","0.0","41.31","62.05","290.17","145.08","248.86","228.12","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","902.0","0.15","0.56","0.0","6.67","0.56","3.75","0.0","0.0","0.0","0.0","45.06","62.05","290.17","145.08","245.11","228.12","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","902.0","0.15","0.57","0.0","7.15","0.57","4.1","0.0","0.0","0.0","0.0","49.16","62.05","290.17","145.08","241.01","228.12","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","902.0","0.15","0.58","0.0","7.13","0.58","4.16","0.0","0.0","0.0","0.0","53.32","62.05","290.17","145.08","236.85","228.12","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","902.0","0.15","0.59","0.0","6.67","0.59","3.96","0.0","0.0","0.0","0.0","57.28","62.05","290.17","145.08","232.89","228.12","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","902.0","0.15","0.6","0.0","7.12","0.6","4.3","0.0","0.0","0.0","0.0","61.58","62.05","290.17","145.08","228.58","228.12","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","902.0","0.15","0.62","0.0","6.69","0.62","4.11","0.0","0.0","0.0","0.0","0.0","62.05","290.17","145.08","290.17","228.12","65.7","","","","","","","","",""
"2015.0","6.0","23.0","174.0","902.0","0.14","0.63","0.0","7.08","0.63","4.43","0.0","0.0","0.0","0.0","4.43","62.05","290.17","145.08","285.74","228.12","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","902.0","0.14","0.64","0.0","7.0","0.64","4.45","0.0","0.0","0.0","0.0","8.88","62.05","290.17","145.08","281.29","228.12","0.0","","","","","","","","",""
"2015.0","6.0","25.0","176.0","902.0","0.14","0.65","0.0","7.72","0.65","4.99","0.0","0.0","0.0","0.0","13.87","62.05","290.17","145.08","276.3","228.12","0.0","","","","","","","","",""
"2015.0","6.0","26.0","177.0","902.0","0.14","0.66","0.0","7.92","0.66","5.2","0.0","0.0","0.0","0.0","19.07","62.05","290.17","145.08","271.09","228.12","0.0","","","","","","","","",""
