" Daily soil water balance output for Pasture in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Pasture in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"2015.0","2.0","11.0","42.0","9321.0","1.15","0.95","0.0","1.69","1.15","1.94","0.0","0.0","0.0","0.0","19.7","55.05","227.99","114.0","208.29","172.94","0.0","","","","","","",""
"2015.0","2.0","12.0","43.0","9321.0","1.01","0.95","0.0","2.01","1.01","2.02","0.0","0.0","0.0","0.0","21.72","55.05","227.99","114.0","206.27","172.94","0.0","","","","","","",""
"2015.0","2.0","13.0","44.0","9321.0","0.89","0.95","0.0","2.06","0.95","1.96","0.0","0.0","0.0","0.0","23.68","55.05","227.99","114.0","204.31","172.94","0.0","","","","","","",""
"2015.0","2.0","14.0","45.0","9321.0","0.81","0.95","0.0","2.19","0.95","2.08","0.0","0.0","0.0","0.0","25.76","55.05","227.99","114.0","202.23","172.94","0.0","","","","","","",""
"2015.0","2.0","15.0","46.0","9321.0","0.74","0.95","0.0","2.1","0.95","2.0","0.0","0.0","0.0","0.0","27.76","55.05","227.99","114.0","200.24","172.94","0.0","","","","","","",""
"2015.0","2.0","16.0","47.0","9321.0","0.69","0.95","0.0","2.08","0.95","1.98","0.0","0.0","0.0","0.0","29.73","55.05","227.99","114.0","198.26","172.94","0.0","","","","","","",""
"2015.0","2.0","17.0","48.0","9321.0","0.66","0.95","0.0","1.79","0.95","1.7","0.0","0.0","0.0","0.0","31.43","55.05","227.99","114.0","196.56","172.94","0.0","","","","","","",""
"2015.0","2.0","18.0","49.0","9321.0","0.63","0.95","0.0","1.77","0.95","1.68","0.0","0.0","0.0","0.0","33.11","55.05","227.99","114.0","194.88","172.94","0.0","","","","","","",""
"2015.0","2.0","19.0","50.0","9321.0","0.61","0.95","0.0","1.04","0.95","0.99","0.0","0.0","0.0","0.0","34.1","55.05","227.99","114.0","193.89","172.94","0.0","","","","","","",""
"2015.0","2.0","20.0","51.0","9321.0","0.59","0.95","0.0","1.91","0.95","1.81","0.0","0.0","0.0","0.0","35.92","55.05","227.99","114.0","192.07","172.94","0.0","","","","","","",""
"2015.0","2.0","21.0","52.0","9321.0","0.56","0.95","0.0","1.73","0.95","1.64","0.0","0.0","0.0","0.0","37.56","55.05","227.99","114.0","190.43","172.94","0.0","","","","","","",""
"2015.0","2.0","22.0","53.0","9321.0","0.53","0.95","0.0","3.17","0.95","3.01","0.0","0.0","0.0","0.0","40.57","55.05","227.99","114.0","187.42","172.94","0.0","","","","","","",""
"2015.0","2.0","23.0","54.0","9321.0","0.5","0.95","0.0","3.74","0.95","3.55","0.0","0.0","0.0","0.0","44.12","55.05","227.99","114.0","183.87","172.94","0.0","","","","","","",""
"2015.0","2.0","24.0","55.0","9321.0","0.48","0.95","0.0","2.72","0.95","2.58","0.0","0.0","0.0","0.0","46.71","55.05","227.99","114.0","181.28","172.94","0.0","","","","","","",""
"2015.0","2.0","25.0","56.0","9321.0","0.46","0.95","0.0","2.16","0.95","2.05","0.0","0.0","0.0","0.0","48.76","55.05","227.99","114.0","179.23","172.94","0.0","","","","","","",""
"2015.0","2.0","26.0","57.0","9321.0","0.44","0.95","0.0","2.91","0.95","2.76","0.0","0.0","0.0","0.0","51.52","55.05","227.99","114.0","176.47","172.94","0.0","","","","","","",""
"2015.0","2.0","27.0","58.0","9321.0","0.43","0.95","0.0","2.89","0.95","2.75","0.0","0.0","0.0","0.0","54.27","55.05","227.99","114.0","173.72","172.94","0.0","","","","","","",""
"2015.0","2.0","28.0","59.0","9321.0","0.42","0.95","0.0","2.1","0.95","2.0","0.0","0.0","0.0","0.0","0.0","55.05","227.99","114.0","227.99","172.94","56.26","","","","","","",""
"2015.0","3.0","1.0","60.0","9321.0","0.41","0.95","0.0","2.54","0.95","2.41","0.0","0.0","0.0","0.0","2.41","55.05","227.99","114.0","225.58","172.94","0.0","","","","","","",""
"2015.0","3.0","2.0","61.0","9321.0","0.4","0.95","0.0","2.2","0.95","2.09","0.0","0.0","0.0","0.0","4.5","55.05","227.99","114.0","223.49","172.94","0.0","","","","","","",""
"2015.0","3.0","3.0","62.0","9321.0","0.39","0.95","0.0","2.5","0.95","2.38","0.31","0.31","0.0","0.0","6.57","55.05","227.99","114.0","221.42","172.94","0.0","","","","","","",""
"2015.0","3.0","4.0","63.0","9321.0","0.38","0.95","0.0","2.61","0.95","2.48","0.0","0.0","0.0","0.0","9.05","55.05","227.99","114.0","218.94","172.94","0.0","","","","","","",""
"2015.0","3.0","5.0","64.0","9321.0","0.37","0.95","0.0","2.81","0.95","2.67","0.0","0.0","0.0","0.0","11.72","55.05","227.99","114.0","216.27","172.94","0.0","","","","","","",""
"2015.0","3.0","6.0","65.0","9321.0","0.36","0.95","0.0","2.99","0.95","2.84","0.0","0.0","0.0","0.0","14.56","55.05","227.99","114.0","213.43","172.94","0.0","","","","","","",""
"2015.0","3.0","7.0","66.0","9321.0","0.35","0.95","0.0","2.86","0.95","2.72","0.0","0.0","0.0","0.0","17.27","55.05","227.99","114.0","210.72","172.94","0.0","","","","","","",""
"2015.0","3.0","8.0","67.0","9321.0","0.34","0.95","0.0","2.91","0.95","2.76","0.0","0.0","0.0","0.0","20.04","55.05","227.99","114.0","207.95","172.94","0.0","","","","","","",""
"2015.0","3.0","9.0","68.0","9321.0","0.33","0.95","0.0","2.86","0.95","2.72","0.0","0.0","0.0","0.0","22.76","55.05","227.99","114.0","205.23","172.94","0.0","","","","","","",""
"2015.0","3.0","10.0","69.0","9321.0","0.33","0.95","0.0","2.39","0.95","2.27","0.0","0.0","0.0","0.0","25.03","55.05","227.99","114.0","202.96","172.94","0.0","","","","","","",""
"2015.0","3.0","11.0","70.0","9321.0","1.13","0.95","0.0","2.24","1.13","2.53","2.67","2.67","0.0","0.0","24.89","55.05","227.99","114.0","203.1","172.94","0.0","","","","","","",""
"2015.0","3.0","12.0","71.0","9321.0","1.11","0.95","0.0","3.32","1.11","3.68","2.08","2.08","0.0","0.0","26.49","55.05","227.99","114.0","201.5","172.94","0.0","","","","","","",""
"2015.0","3.0","13.0","72.0","9321.0","0.93","0.95","0.0","3.03","0.95","2.88","0.0","0.0","0.0","0.0","29.37","55.05","227.99","114.0","198.62","172.94","0.0","","","","","","",""
"2015.0","3.0","14.0","73.0","9321.0","0.79","0.95","0.0","3.33","0.95","3.16","0.0","0.0","0.0","0.0","32.53","55.05","227.99","114.0","195.46","172.94","0.0","","","","","","",""
"2015.0","3.0","15.0","74.0","9321.0","0.69","0.95","0.0","3.77","0.95","3.58","0.0","0.0","0.0","0.0","36.11","55.05","227.99","114.0","191.88","172.94","0.0","","","","","","",""
"2015.0","3.0","16.0","75.0","9321.0","0.64","0.95","0.0","2.61","0.95","2.48","0.0","0.0","0.0","0.0","38.59","55.05","227.99","114.0","189.4","172.94","0.0","","","","","","",""
"2015.0","3.0","17.0","76.0","9321.0","0.58","0.95","0.0","3.59","0.95","3.41","0.0","0.0","0.0","0.0","42.0","55.05","227.99","114.0","185.99","172.94","0.0","","","","","","",""
"2015.0","3.0","18.0","77.0","9321.0","0.54","0.95","0.0","3.75","0.95","3.56","1.28","1.28","0.0","0.0","44.29","55.05","227.99","114.0","183.7","172.94","0.0","","","","","","",""
"2015.0","3.0","19.0","78.0","9321.0","0.5","0.95","0.0","3.78","0.95","3.59","0.0","0.0","0.0","0.0","47.88","55.05","227.99","114.0","180.11","172.94","0.0","","","","","","",""
"2015.0","3.0","20.0","79.0","9321.0","0.48","0.95","0.0","3.08","0.95","2.93","0.0","0.0","0.0","0.0","50.8","55.05","227.99","114.0","177.19","172.94","0.0","","","","","","",""
"2015.0","3.0","21.0","80.0","9321.0","0.45","0.95","0.0","3.5","0.95","3.33","0.0","0.0","0.0","0.0","54.13","55.05","227.99","114.0","173.86","172.94","0.0","","","","","","",""
"2015.0","3.0","22.0","81.0","9321.0","0.43","0.95","0.0","3.12","0.95","2.96","0.0","0.0","0.0","0.0","0.0","55.05","227.99","114.0","227.99","172.94","57.09","","","","","","",""
"2015.0","3.0","23.0","82.0","9321.0","0.42","0.95","0.0","3.08","0.95","2.93","0.53","0.53","0.0","0.0","2.4","55.05","227.99","114.0","225.59","172.94","0.0","","","","","","",""
"2015.0","3.0","24.0","83.0","9321.0","0.4","0.95","0.0","3.33","0.95","3.16","0.0","0.0","0.0","0.0","5.56","55.05","227.99","114.0","222.43","172.94","0.0","","","","","","",""
"2015.0","3.0","25.0","84.0","9321.0","0.39","0.95","0.0","4.06","0.95","3.86","0.0","0.0","0.0","0.0","9.42","55.05","227.99","114.0","218.57","172.94","0.0","","","","","","",""
"2015.0","3.0","26.0","85.0","9321.0","0.37","0.95","0.0","3.9","0.95","3.71","0.0","0.0","0.0","0.0","13.12","55.05","227.99","114.0","214.87","172.94","0.0","","","","","","",""
"2015.0","3.0","27.0","86.0","9321.0","0.36","0.95","0.0","4.27","0.95","4.06","0.0","0.0","0.0","0.0","17.18","55.05","227.99","114.0","210.81","172.94","0.0","","","","","","",""
"2015.0","3.0","28.0","87.0","9321.0","0.34","0.95","0.0","4.84","0.95","4.6","0.0","0.0","0.0","0.0","21.78","55.05","227.99","114.0","206.21","172.94","0.0","","","","","","",""
"2015.0","3.0","29.0","88.0","9321.0","0.33","0.95","0.0","4.63","0.95","4.4","0.0","0.0","0.0","0.0","26.17","55.05","227.99","114.0","201.82","172.94","0.0","","","","","","",""
"2015.0","3.0","30.0","89.0","9321.0","0.32","0.95","0.0","4.42","0.95","4.2","0.0","0.0","0.0","0.0","30.37","55.05","227.99","114.0","197.62","172.94","0.0","","","","","","",""
"2015.0","3.0","31.0","90.0","9321.0","0.31","0.95","0.0","4.62","0.95","4.39","0.0","0.0","0.0","0.0","34.76","55.05","227.99","114.0","193.23","172.94","0.0","","","","","","",""
"2015.0","4.0","1.0","91.0","9321.0","0.3","0.95","0.0","4.12","0.95","3.91","0.0","0.0","0.0","0.0","38.68","55.05","227.99","114.0","189.31","172.94","0.0","","","","","","",""
"2015.0","4.0","2.0","92.0","9321.0","0.29","0.95","0.0","5.35","0.95","5.08","0.0","0.0","0.0","0.0","43.76","55.05","227.99","114.0","184.23","172.94","0.0","","","","","","",""
"2015.0","4.0","3.0","93.0","9321.0","0.28","0.95","0.0","4.55","0.95","4.32","0.0","0.0","0.0","0.0","48.08","55.05","227.99","114.0","179.91","172.94","0.0","","","","","","",""
"2015.0","4.0","4.0","94.0","9321.0","0.28","0.95","0.0","4.42","0.95","4.2","0.0","0.0","0.0","0.0","52.28","55.05","227.99","114.0","175.71","172.94","0.0","","","","","","",""
"2015.0","4.0","5.0","95.0","9321.0","0.27","0.95","0.0","2.61","0.95","2.48","0.65","0.65","0.0","0.0","54.11","55.05","227.99","114.0","173.88","172.94","0.0","","","","","","",""
"2015.0","4.0","6.0","96.0","9321.0","1.1","0.95","0.0","2.92","1.1","3.22","4.82","4.82","0.0","0.0","52.51","55.05","227.99","114.0","175.48","172.94","0.0","","","","","","",""
"2015.0","4.0","7.0","97.0","9321.0","1.11","0.95","0.0","2.82","1.11","3.12","3.41","3.41","0.0","0.0","52.22","55.05","227.99","114.0","175.77","172.94","0.0","","","","","","",""
"2015.0","4.0","8.0","98.0","9321.0","1.1","0.95","0.0","3.06","1.1","3.36","6.61","6.61","0.0","0.0","48.97","55.05","227.99","114.0","179.02","172.94","0.0","","","","","","",""
"2015.0","4.0","9.0","99.0","9321.0","1.06","0.95","0.0","3.49","1.06","3.7","0.0","0.0","0.0","0.0","52.67","55.05","227.99","114.0","175.32","172.94","0.0","","","","","","",""
"2015.0","4.0","10.0","100.0","9321.0","0.83","0.95","0.0","4.07","0.95","3.87","0.0","0.0","0.0","0.0","0.0","55.05","227.99","114.0","227.99","172.94","56.54","","","","","","",""
"2015.0","4.0","11.0","101.0","9321.0","0.7","0.95","0.0","4.2","0.95","3.99","0.0","0.0","0.0","0.0","3.99","55.05","227.99","114.0","224.0","172.94","0.0","","","","","","",""
"2015.0","4.0","12.0","102.0","9321.0","0.61","0.95","0.0","4.8","0.95","4.56","0.0","0.0","0.0","0.0","8.55","55.05","227.99","114.0","219.44","172.94","0.0","","","","","","",""
"2015.0","4.0","13.0","103.0","9321.0","0.54","0.95","0.0","4.68","0.95","4.45","0.0","0.0","0.0","0.0","13.0","55.05","227.99","114.0","214.99","172.94","0.0","","","","","","",""
"2015.0","4.0","14.0","104.0","9321.0","0.49","0.95","0.0","4.89","0.95","4.65","0.0","0.0","0.0","0.0","17.64","55.05","227.99","114.0","210.35","172.94","0.0","","","","","","",""
"2015.0","4.0","15.0","105.0","9321.0","0.45","0.95","0.0","6.17","0.95","5.86","0.0","0.0","0.0","0.0","23.5","55.05","227.99","114.0","204.49","172.94","0.0","","","","","","",""
"2015.0","4.0","16.0","106.0","9321.0","0.41","0.95","0.0","5.75","0.95","5.46","0.0","0.0","0.0","0.0","28.97","55.05","227.99","114.0","199.02","172.94","0.0","","","","","","",""
"2015.0","4.0","17.0","107.0","9321.0","0.39","0.95","0.0","5.26","0.95","5.0","0.0","0.0","0.0","0.0","33.96","55.05","227.99","114.0","194.03","172.94","0.0","","","","","","",""
"2015.0","4.0","18.0","108.0","9321.0","0.37","0.95","0.0","4.83","0.95","4.59","0.0","0.0","0.0","0.0","38.55","55.05","227.99","114.0","189.44","172.94","0.0","","","","","","",""
"2015.0","4.0","19.0","109.0","9321.0","0.35","0.95","0.0","4.94","0.95","4.69","0.0","0.0","0.0","0.0","43.24","55.05","227.99","114.0","184.75","172.94","0.0","","","","","","",""
"2015.0","4.0","20.0","110.0","9321.0","0.34","0.95","0.0","4.55","0.95","4.32","0.0","0.0","0.0","0.0","47.57","55.05","227.99","114.0","180.42","172.94","0.0","","","","","","",""
"2015.0","4.0","21.0","111.0","9321.0","0.33","0.95","0.0","3.69","0.95","3.51","0.0","0.0","0.0","0.0","51.07","55.05","227.99","114.0","176.92","172.94","0.0","","","","","","",""
"2015.0","4.0","22.0","112.0","9321.0","0.32","0.95","0.0","4.06","0.95","3.86","0.0","0.0","0.0","0.0","54.93","55.05","227.99","114.0","173.06","172.94","0.0","","","","","","",""
"2015.0","4.0","23.0","113.0","9321.0","0.31","0.95","0.0","4.61","0.95","4.38","0.0","0.0","0.0","0.0","0.0","55.05","227.99","114.0","227.99","172.94","59.31","","","","","","",""
"2015.0","4.0","24.0","114.0","9321.0","0.3","0.95","0.0","4.98","0.95","4.73","0.0","0.0","0.0","0.0","4.73","55.05","227.99","114.0","223.26","172.94","0.0","","","","","","",""
"2015.0","4.0","25.0","115.0","9321.0","1.06","0.95","0.0","3.96","1.06","4.2","7.89","7.89","0.0","0.0","1.04","55.05","227.99","114.0","226.95","172.94","0.0","","","","","","",""
"2015.0","4.0","26.0","116.0","9321.0","0.88","0.95","0.0","5.06","0.95","4.81","0.0","0.0","0.0","0.0","5.85","55.05","227.99","114.0","222.14","172.94","0.0","","","","","","",""
"2015.0","4.0","27.0","117.0","9321.0","0.68","0.95","0.0","5.85","0.95","5.56","0.0","0.0","0.0","0.0","11.41","55.05","227.99","114.0","216.58","172.94","0.0","","","","","","",""
"2015.0","4.0","28.0","118.0","9321.0","0.58","0.95","0.0","5.37","0.95","5.1","0.0","0.0","0.0","0.0","16.51","55.05","227.99","114.0","211.48","172.94","0.0","","","","","","",""
"2015.0","4.0","29.0","119.0","9321.0","0.52","0.95","0.0","5.19","0.95","4.93","0.0","0.0","0.0","0.0","21.44","55.05","227.99","114.0","206.55","172.94","0.0","","","","","","",""
"2015.0","4.0","30.0","120.0","9321.0","0.46","0.95","0.0","6.36","0.95","6.04","0.0","0.0","0.0","0.0","27.48","55.05","227.99","114.0","200.51","172.94","0.0","","","","","","",""
"2015.0","5.0","1.0","121.0","9321.0","0.42","0.95","0.0","6.3","0.95","5.99","0.0","0.0","0.0","0.0","33.47","55.05","227.99","114.0","194.52","172.94","0.0","","","","","","",""
"2015.0","5.0","2.0","122.0","9321.0","0.39","0.95","0.0","5.65","0.95","5.37","0.0","0.0","0.0","0.0","38.84","55.05","227.99","114.0","189.15","172.94","0.0","","","","","","",""
"2015.0","5.0","3.0","123.0","9321.0","0.37","0.95","0.0","4.95","0.95","4.7","0.0","0.0","0.0","0.0","43.54","55.05","227.99","114.0","184.45","172.94","0.0","","","","","","",""
"2015.0","5.0","4.0","124.0","9321.0","0.36","0.95","0.0","4.62","0.95","4.39","0.0","0.0","0.0","0.0","47.93","55.05","227.99","114.0","180.06","172.94","0.0","","","","","","",""
"2015.0","5.0","5.0","125.0","9321.0","0.34","0.95","0.0","4.71","0.95","4.47","0.0","0.0","0.0","0.0","52.4","55.05","227.99","114.0","175.59","172.94","0.0","","","","","","",""
"2015.0","5.0","6.0","126.0","9321.0","0.33","0.95","0.0","4.99","0.95","4.74","0.0","0.0","0.0","0.0","0.0","55.05","227.99","114.0","227.99","172.94","57.14","","","","","","",""
"2015.0","5.0","7.0","127.0","9321.0","0.32","0.95","0.0","3.32","0.95","3.15","0.0","0.0","0.0","0.0","3.15","55.05","227.99","114.0","224.84","172.94","0.0","","","","","","",""
"2015.0","5.0","8.0","128.0","9321.0","0.31","0.95","0.0","4.33","0.95","4.11","0.3","0.3","0.0","0.0","6.97","55.05","227.99","114.0","221.02","172.94","0.0","","","","","","",""
"2015.0","5.0","9.0","129.0","9321.0","0.3","0.95","0.0","4.75","0.95","4.51","0.0","0.0","0.0","0.0","11.48","55.05","227.99","114.0","216.51","172.94","0.0","","","","","","",""
"2015.0","5.0","10.0","130.0","9321.0","0.29","0.95","0.0","4.97","0.95","4.72","0.0","0.0","0.0","0.0","16.2","55.05","227.99","114.0","211.79","172.94","0.0","","","","","","",""
"2015.0","5.0","11.0","131.0","9321.0","0.28","0.95","0.0","4.98","0.95","4.73","0.0","0.0","0.0","0.0","20.93","55.05","227.99","114.0","207.06","172.94","0.0","","","","","","",""
"2015.0","5.0","12.0","132.0","9321.0","0.28","0.95","0.0","4.94","0.95","4.69","0.0","0.0","0.0","0.0","25.63","55.05","227.99","114.0","202.36","172.94","0.0","","","","","","",""
"2015.0","5.0","13.0","133.0","9321.0","0.27","0.95","0.0","4.64","0.95","4.41","0.0","0.0","0.0","0.0","30.03","55.05","227.99","114.0","197.96","172.94","0.0","","","","","","",""
"2015.0","5.0","14.0","134.0","9321.0","0.27","0.95","0.0","3.04","0.95","2.89","0.0","0.0","0.0","0.0","32.92","55.05","227.99","114.0","195.07","172.94","0.0","","","","","","",""
"2015.0","5.0","15.0","135.0","9321.0","0.26","0.95","0.0","4.56","0.95","4.33","3.66","3.66","0.0","0.0","33.59","55.05","227.99","114.0","194.4","172.94","0.0","","","","","","",""
"2015.0","5.0","16.0","136.0","9321.0","0.25","0.95","0.0","4.67","0.95","4.44","0.0","0.0","0.0","0.0","38.03","55.05","227.99","114.0","189.96","172.94","0.0","","","","","","",""
"2015.0","5.0","17.0","137.0","9321.0","0.25","0.95","0.0","3.98","0.95","3.78","0.0","0.0","0.0","0.0","41.81","55.05","227.99","114.0","186.18","172.94","0.0","","","","","","",""
"2015.0","5.0","18.0","138.0","9321.0","0.24","0.95","0.0","4.71","0.95","4.47","0.0","0.0","0.0","0.0","46.29","55.05","227.99","114.0","181.7","172.94","0.0","","","","","","",""
"2015.0","5.0","19.0","139.0","9321.0","0.24","0.95","0.0","4.89","0.95","4.65","0.0","0.0","0.0","0.0","50.93","55.05","227.99","114.0","177.06","172.94","0.0","","","","","","",""
"2015.0","5.0","20.0","140.0","9321.0","0.24","0.95","0.0","4.74","0.95","4.5","0.0","0.0","0.0","0.0","0.0","55.05","227.99","114.0","227.99","172.94","55.43","","","","","","",""
"2015.0","5.0","21.0","141.0","9321.0","0.23","0.95","0.0","4.02","0.95","3.82","0.0","0.0","0.0","0.0","3.82","55.05","227.99","114.0","224.17","172.94","0.0","","","","","","",""
"2015.0","5.0","22.0","142.0","9321.0","0.23","0.95","0.0","4.76","0.95","4.52","0.0","0.0","0.0","0.0","8.34","55.05","227.99","114.0","219.65","172.94","0.0","","","","","","",""
"2015.0","5.0","23.0","143.0","9321.0","0.22","0.95","0.0","4.73","0.95","4.49","0.0","0.0","0.0","0.0","12.83","55.05","227.99","114.0","215.16","172.94","0.0","","","","","","",""
"2015.0","5.0","24.0","144.0","9321.0","0.22","0.95","0.0","5.3","0.95","5.04","0.0","0.0","0.0","0.0","17.87","55.05","227.99","114.0","210.12","172.94","0.0","","","","","","",""
"2015.0","5.0","25.0","145.0","9321.0","0.22","0.95","0.0","5.22","0.95","4.96","0.0","0.0","0.0","0.0","22.83","55.05","227.99","114.0","205.16","172.94","0.0","","","","","","",""
"2015.0","5.0","26.0","146.0","9321.0","0.21","0.95","0.0","5.23","0.95","4.97","0.0","0.0","0.0","0.0","27.8","55.05","227.99","114.0","200.19","172.94","0.0","","","","","","",""
"2015.0","5.0","27.0","147.0","9321.0","0.21","0.95","0.0","5.27","0.95","5.01","0.0","0.0","0.0","0.0","32.8","55.05","227.99","114.0","195.19","172.94","0.0","","","","","","",""
"2015.0","5.0","28.0","148.0","9321.0","0.2","0.95","0.0","5.16","0.95","4.9","0.0","0.0","0.0","0.0","37.71","55.05","227.99","114.0","190.28","172.94","0.0","","","","","","",""
"2015.0","5.0","29.0","149.0","9321.0","0.2","0.95","0.0","5.83","0.95","5.54","0.0","0.0","0.0","0.0","43.24","55.05","227.99","114.0","184.75","172.94","0.0","","","","","","",""
"2015.0","5.0","30.0","150.0","9321.0","0.2","0.95","0.0","6.13","0.95","5.82","0.0","0.0","0.0","0.0","49.07","55.05","227.99","114.0","178.92","172.94","0.0","","","","","","",""
"2015.0","5.0","31.0","151.0","9321.0","0.19","0.95","0.0","5.1","0.95","4.85","0.0","0.0","0.0","0.0","53.91","55.05","227.99","114.0","174.08","172.94","0.0","","","","","","",""
"2015.0","6.0","1.0","152.0","9321.0","0.19","0.95","0.0","5.33","0.95","5.06","0.0","0.0","0.0","0.0","0.0","55.05","227.99","114.0","227.99","172.94","58.98","","","","","","",""
"2015.0","6.0","2.0","153.0","9321.0","0.19","0.95","0.0","5.55","0.95","5.27","0.0","0.0","0.0","0.0","5.27","55.05","227.99","114.0","222.72","172.94","0.0","","","","","","",""
"2015.0","6.0","3.0","154.0","9321.0","0.19","0.95","0.0","5.22","0.95","4.96","0.0","0.0","0.0","0.0","10.23","55.05","227.99","114.0","217.76","172.94","0.0","","","","","","",""
"2015.0","6.0","4.0","155.0","9321.0","0.18","0.95","0.0","5.69","0.95","5.41","0.0","0.0","0.0","0.0","15.64","55.05","227.99","114.0","212.35","172.94","0.0","","","","","","",""
"2015.0","6.0","5.0","156.0","9321.0","0.18","0.95","0.0","6.41","0.95","6.09","0.0","0.0","0.0","0.0","21.73","55.05","227.99","114.0","206.26","172.94","0.0","","","","","","",""
"2015.0","6.0","6.0","157.0","9321.0","0.18","0.95","0.0","6.08","0.95","5.78","0.0","0.0","0.0","0.0","27.5","55.05","227.99","114.0","200.49","172.94","0.0","","","","","","",""
"2015.0","6.0","7.0","158.0","9321.0","0.18","0.95","0.0","6.53","0.95","6.2","0.0","0.0","0.0","0.0","33.71","55.05","227.99","114.0","194.28","172.94","0.0","","","","","","",""
"2015.0","6.0","8.0","159.0","9321.0","0.17","0.95","0.0","7.19","0.95","6.83","0.0","0.0","0.0","0.0","40.54","55.05","227.99","114.0","187.45","172.94","0.0","","","","","","",""
"2015.0","6.0","9.0","160.0","9321.0","0.17","0.95","0.0","6.4","0.95","6.08","0.0","0.0","0.0","0.0","46.62","55.05","227.99","114.0","181.37","172.94","0.0","","","","","","",""
"2015.0","6.0","10.0","161.0","9321.0","0.17","0.95","0.0","2.74","0.95","2.6","0.19","0.19","0.0","0.0","49.03","55.05","227.99","114.0","178.96","172.94","0.0","","","","","","",""
"2015.0","6.0","11.0","162.0","9321.0","0.17","0.95","0.0","6.69","0.95","6.36","3.14","3.14","0.0","0.0","52.25","55.05","227.99","114.0","175.75","172.94","0.0","","","","","","",""
"2015.0","6.0","12.0","163.0","9321.0","0.16","0.95","0.0","7.43","0.95","7.06","0.0","0.0","0.0","0.0","0.0","55.05","227.99","114.0","227.99","172.94","59.3","","","","","","",""
"2015.0","6.0","13.0","164.0","9321.0","0.16","0.95","0.0","7.13","0.95","6.77","0.0","0.0","0.0","0.0","6.77","55.05","227.99","114.0","221.22","172.94","0.0","","","","","","",""
"2015.0","6.0","14.0","165.0","9321.0","0.16","0.95","0.0","6.37","0.95","6.05","0.0","0.0","0.0","0.0","12.83","55.05","227.99","114.0","215.17","172.94","0.0","","","","","","",""
"2015.0","6.0","15.0","166.0","9321.0","0.16","0.95","0.0","6.19","0.95","5.88","0.0","0.0","0.0","0.0","18.71","55.05","227.99","114.0","209.28","172.94","0.0","","","","","","",""
"2015.0","6.0","16.0","167.0","9321.0","0.16","0.95","0.0","6.63","0.95","6.3","3.09","3.09","0.0","0.0","21.91","55.05","227.99","114.0","206.08","172.94","0.0","","","","","","",""
"2015.0","6.0","17.0","168.0","9321.0","0.15","0.95","0.0","6.67","0.95","6.34","0.0","0.0","0.0","0.0","28.25","55.05","227.99","114.0","199.74","172.94","0.0","","","","","","",""
"2015.0","6.0","18.0","169.0","9321.0","0.15","0.95","0.0","7.15","0.95","6.79","0.0","0.0","0.0","0.0","35.04","55.05","227.99","114.0","192.95","172.94","0.0","","","","","","",""
"2015.0","6.0","19.0","170.0","9321.0","0.15","0.95","0.0","7.13","0.95","6.77","0.0","0.0","0.0","0.0","41.82","55.05","227.99","114.0","186.17","172.94","0.0","","","","","","",""
"2015.0","6.0","20.0","171.0","9321.0","0.15","0.95","0.0","6.67","0.95","6.34","0.0","0.0","0.0","0.0","48.15","55.05","227.99","114.0","179.84","172.94","0.0","","","","","","",""
"2015.0","6.0","21.0","172.0","9321.0","0.15","0.95","0.0","7.12","0.95","6.76","0.0","0.0","0.0","0.0","54.92","55.05","227.99","114.0","173.07","172.94","0.0","","","","","","",""
"2015.0","6.0","22.0","173.0","9321.0","0.15","0.95","0.0","6.69","0.95","6.36","0.0","0.0","0.0","0.0","0.0","55.05","227.99","114.0","227.99","172.94","61.27","","","","","","",""
"2015.0","6.0","23.0","174.0","9321.0","0.14","0.95","0.0","7.08","0.95","6.73","0.0","0.0","0.0","0.0","6.73","55.05","227.99","114.0","221.26","172.94","0.0","","","","","","",""
"2015.0","6.0","24.0","175.0","9321.0","0.14","0.95","0.0","7.0","0.95","6.65","0.0","0.0","0.0","0.0","13.38","55.05","227.99","114.0","214.61","172.94","0.0","","","","","","",""
"2015.0","6.0","25.0","176.0","9321.0","0.14","0.95","0.0","7.72","0.95","7.33","0.0","0.0","0.0","0.0","20.71","55.05","227.99","114.0","207.28","172.94","0.0","","","","","","",""
"2015.0","6.0","26.0","177.0","9321.0","0.14","0.95","0.0","7.92","0.95","7.52","0.0","0.0","0.0","0.0","28.23","55.05","227.99","114.0","199.76","172.94","0.0","","","","","","",""
"2015.0","6.0","27.0","178.0","9321.0","0.14","0.95","0.0","6.22","0.95","5.91","0.0","0.0","0.0","0.0","34.14","55.05","227.99","114.0","193.85","172.94","0.0","","","","","","",""
"2015.0","6.0","28.0","179.0","9321.0","0.14","0.95","0.0","6.84","0.95","6.5","0.0","0.0","0.0","0.0","40.64","55.05","227.99","114.0","187.35","172.94","0.0","","","","","","",""
"2015.0","6.0","29.0","180.0","9321.0","0.13","0.95","0.0","7.27","0.95","6.91","0.0","0.0","0.0","0.0","47.55","55.05","227.99","114.0","180.44","172.94","0.0","","","","","","",""
"2015.0","6.0","30.0","181.0","9321.0","0.13","0.95","0.0","7.45","0.95","7.08","0.0","0.0","0.0","0.0","54.63","55.05","227.99","114.0","173.37","172.94","0.0","","","","","","",""
