" Daily soil water balance output for Bush_berries in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Bush_berries in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","2.0","9.0","40.0","22.0","1.14","0.0","0.0","2.02","1.14","2.3","18.45","2.3","0.0","0.0","0.0","22.8","185.32","92.66","185.32","162.52","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","22.0","1.14","0.0","0.0","1.84","1.14","2.1","0.02","0.02","0.0","0.0","2.08","22.8","185.32","92.66","183.24","162.52","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","22.0","1.15","0.0","0.0","1.63","1.15","1.87","0.0","0.0","0.0","0.0","3.95","22.8","185.32","92.66","181.37","162.52","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","22.0","1.02","0.0","0.0","1.98","1.02","2.02","0.0","0.0","0.0","0.0","5.97","22.8","185.32","92.66","179.35","162.52","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","22.0","0.9","0.0","0.0","2.03","0.9","1.83","0.0","0.0","0.0","0.0","7.8","22.8","185.32","92.66","177.52","162.52","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","22.0","0.81","0.0","0.0","2.18","0.81","1.77","0.0","0.0","0.0","0.0","9.57","22.8","185.32","92.66","175.75","162.52","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","22.0","0.75","0.0","0.0","2.08","0.75","1.56","0.0","0.0","0.0","0.0","11.13","22.8","185.32","92.66","174.19","162.52","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","22.0","0.7","0.0","0.0","2.18","0.7","1.52","0.0","0.0","0.0","0.0","12.65","22.8","185.32","92.66","172.67","162.52","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","22.0","0.66","0.0","0.0","1.84","0.66","1.21","0.0","0.0","0.0","0.0","13.86","22.8","185.32","92.66","171.46","162.52","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","22.0","0.63","0.0","0.0","1.59","0.63","1.0","0.0","0.0","0.0","0.0","14.86","22.8","185.32","92.66","170.46","162.52","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","22.0","0.62","0.0","0.0","1.06","0.62","0.65","0.0","0.0","0.0","0.0","15.51","22.8","185.32","92.66","169.8","162.52","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","22.0","0.59","0.0","0.0","1.88","0.59","1.11","0.0","0.0","0.0","0.0","16.62","22.8","185.32","92.66","168.7","162.52","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","22.0","0.57","0.0","0.0","1.63","0.57","0.93","0.0","0.0","0.0","0.0","17.55","22.8","185.32","92.66","167.77","162.52","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","22.0","0.53","0.0","0.0","3.48","0.53","1.85","0.0","0.0","0.0","0.0","19.4","22.8","185.32","92.66","165.92","162.52","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","22.0","0.49","0.0","0.0","4.09","0.49","2.02","0.0","0.0","0.0","0.0","21.41","22.8","185.32","92.66","163.9","162.52","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","22.0","0.47","0.0","0.0","2.78","0.47","1.31","0.0","0.0","0.0","0.0","22.73","22.8","185.32","92.66","162.59","162.52","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","22.0","0.46","0.0","0.0","2.16","0.46","0.99","0.0","0.0","0.0","0.0","23.72","22.8","185.32","92.66","161.6","162.52","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","22.0","0.44","0.0","0.0","3.01","0.44","1.33","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","22.0","0.43","0.0","0.0","2.86","0.43","1.22","0.0","0.0","0.0","0.0","24.02","22.8","185.32","92.66","161.3","162.52","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","22.0","0.42","0.0","0.0","2.01","0.42","0.83","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","22.0","0.4","0.0","0.0","2.6","0.4","1.05","0.0","0.0","0.0","0.0","23.85","22.8","185.32","92.66","161.47","162.52","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","22.0","0.39","0.0","0.0","2.27","0.39","0.89","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","22.0","0.38","0.0","0.0","2.57","0.38","0.99","0.86","0.86","0.0","0.0","22.93","22.8","185.32","92.66","162.39","162.52","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","22.0","0.37","0.0","0.0","2.6","0.37","0.97","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","22.0","0.37","0.0","0.0","2.79","0.37","1.02","0.0","0.0","0.0","0.0","23.82","22.8","185.32","92.66","161.5","162.52","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","22.0","0.36","0.0","0.0","2.99","0.36","1.06","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","22.0","0.35","0.0","0.0","2.82","0.35","0.98","0.0","0.0","0.0","0.0","23.78","22.8","185.32","92.66","161.54","162.52","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","22.0","0.34","0.0","0.0","2.96","0.34","1.01","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","22.0","0.33","0.0","0.0","2.98","0.33","0.99","0.0","0.0","0.0","0.0","23.79","22.8","185.32","92.66","161.53","162.52","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","22.0","0.33","0.0","0.0","2.43","0.33","0.79","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","22.0","0.32","0.0","0.0","2.13","0.32","0.69","0.72","0.72","0.0","0.0","22.77","22.8","185.32","92.66","162.55","162.52","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","22.0","1.08","0.0","0.0","3.4","1.08","3.69","3.96","3.96","0.0","0.0","22.49","22.8","185.32","92.66","162.83","162.52","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","22.0","1.07","0.0","0.0","3.07","1.07","3.28","0.0","0.0","0.0","0.0","25.77","22.8","185.32","92.66","159.55","162.52","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","22.0","0.87","0.0","0.0","3.32","0.87","2.88","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","22.0","0.73","0.0","0.0","3.87","0.73","2.83","0.0","0.0","0.0","0.0","25.63","22.8","185.32","92.66","159.68","162.52","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","22.0","0.67","0.0","0.0","2.59","0.67","1.74","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","22.0","0.61","0.0","0.0","3.57","0.61","2.17","0.0","0.0","0.0","0.0","24.97","22.8","185.32","92.66","160.34","162.52","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","22.0","0.56","0.0","0.0","3.85","0.56","2.14","0.21","0.21","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","22.0","0.52","0.0","0.0","3.88","0.52","2.0","0.0","0.0","0.0","0.0","24.8","22.8","185.32","92.66","160.52","162.52","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","22.0","0.49","0.0","0.0","3.12","0.49","1.52","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","22.0","0.46","0.0","0.0","3.61","0.46","1.67","0.0","0.0","0.0","0.0","24.47","22.8","185.32","92.66","160.85","162.52","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","22.0","0.44","0.0","0.0","3.15","0.44","1.39","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","22.0","0.42","0.0","0.0","3.24","0.42","1.38","0.46","0.46","0.0","0.0","23.72","22.8","185.32","92.66","161.6","162.52","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","22.0","0.41","0.0","0.0","3.22","0.41","1.32","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","22.0","0.39","0.0","0.0","4.16","0.39","1.62","0.0","0.0","0.0","0.0","24.42","22.8","185.32","92.66","160.89","162.52","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","22.0","0.38","0.0","0.0","3.91","0.38","1.47","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","22.0","0.36","0.0","0.0","4.48","0.36","1.61","0.0","0.0","0.0","0.0","24.41","22.8","185.32","92.66","160.91","162.52","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","22.0","0.34","0.0","0.0","4.95","0.34","1.7","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","22.0","0.33","0.0","0.0","4.75","0.33","1.57","0.0","0.0","0.0","0.0","24.37","22.8","185.32","92.66","160.95","162.52","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","22.0","0.32","0.0","0.0","4.54","0.32","1.45","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","22.0","0.31","0.0","0.0","4.67","0.31","1.45","0.0","0.0","0.0","0.0","24.25","22.8","185.32","92.66","161.07","162.52","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","22.0","0.3","0.0","0.0","4.21","0.3","1.27","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","22.0","0.29","0.0","0.0","5.53","0.29","1.61","0.0","0.0","0.0","0.0","24.41","22.8","185.32","92.66","160.91","162.52","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","22.0","0.28","0.0","0.0","4.65","0.28","1.32","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","22.0","0.28","0.0","0.0","4.54","0.28","1.25","0.0","0.0","0.0","0.0","24.05","22.8","185.32","92.66","161.27","162.52","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","22.0","0.27","0.0","0.0","2.51","0.27","0.68","0.08","0.08","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","22.0","0.27","0.0","0.0","2.97","0.27","0.8","2.53","2.53","0.0","0.0","21.07","22.8","185.32","92.66","164.25","162.52","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","22.0","0.27","0.0","0.0","2.49","0.27","0.66","3.03","3.03","0.0","0.0","18.7","22.8","185.32","92.66","166.62","162.52","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","22.0","1.1","0.0","0.0","2.99","1.1","3.29","14.46","14.46","0.0","0.0","7.53","22.8","185.32","92.66","177.79","162.52","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","22.0","1.07","0.0","0.0","3.5","1.07","3.73","0.0","0.0","0.0","0.0","11.26","22.8","185.32","92.66","174.06","162.52","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","22.0","0.83","0.0","0.0","4.14","0.83","3.43","0.0","0.0","0.0","0.0","14.69","22.8","185.32","92.66","170.63","162.52","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","22.0","0.7","0.0","0.0","4.3","0.7","2.99","0.0","0.0","0.0","0.0","17.68","22.8","185.32","92.66","167.64","162.52","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","22.0","0.6","0.0","0.0","4.93","0.6","2.96","0.0","0.0","0.0","0.0","20.65","22.8","185.32","92.66","164.67","162.52","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","22.0","0.54","0.0","0.0","5.02","0.54","2.69","0.0","0.0","0.0","0.0","23.33","22.8","185.32","92.66","161.99","162.52","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","22.0","0.49","0.0","0.0","4.9","0.49","2.39","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","22.0","0.44","0.0","0.0","6.53","0.44","2.87","0.0","0.0","0.0","0.0","25.67","22.8","185.32","92.66","159.65","162.52","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","22.0","0.41","0.0","0.0","5.97","0.41","2.43","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","22.0","0.38","0.0","0.0","5.35","0.38","2.05","0.0","0.0","0.0","0.0","24.85","22.8","185.32","92.66","160.47","162.52","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","22.0","0.36","0.0","0.0","4.99","0.36","1.81","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","22.0","0.35","0.0","0.0","5.25","0.35","1.82","0.0","0.0","0.0","0.0","24.62","22.8","185.32","92.66","160.7","162.52","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","22.0","0.33","0.0","0.0","4.8","0.33","1.6","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","22.0","0.32","0.0","0.0","3.83","0.32","1.24","0.0","0.0","0.0","0.0","24.04","22.8","185.32","92.66","161.28","162.52","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","22.0","0.31","0.0","0.0","4.16","0.31","1.31","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","22.0","0.3","0.0","0.0","4.79","0.3","1.46","0.0","0.0","0.0","0.0","24.26","22.8","185.32","92.66","161.06","162.52","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","22.0","0.29","0.0","0.0","5.05","0.29","1.49","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","22.0","1.06","0.0","0.0","4.07","1.06","4.3","12.34","12.34","0.0","0.0","14.76","22.8","185.32","92.66","170.56","162.52","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","22.0","0.87","0.0","0.0","5.14","0.87","4.48","0.0","0.0","0.0","0.0","19.24","22.8","185.32","92.66","166.07","162.52","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","22.0","0.67","0.0","0.0","6.01","0.67","4.04","0.0","0.0","0.0","0.0","23.28","22.8","185.32","92.66","162.03","162.52","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","22.0","0.57","0.0","0.0","5.62","0.57","3.22","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","22.0","0.51","0.0","0.0","5.35","0.51","2.73","0.0","0.0","0.0","0.0","25.53","22.8","185.32","92.66","159.79","162.52","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","22.0","0.46","0.0","0.0","6.46","0.46","2.94","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","22.0","0.41","0.0","0.0","6.52","0.41","2.7","0.0","0.0","0.0","0.0","25.5","22.8","185.32","92.66","159.81","162.52","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","22.0","0.39","0.0","0.0","6.03","0.39","2.32","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","22.0","0.37","0.0","0.0","5.29","0.37","1.93","0.0","0.0","0.0","0.0","24.73","22.8","185.32","92.66","160.59","162.52","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","22.0","0.35","0.0","0.0","4.85","0.35","1.69","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","22.0","0.34","0.0","0.0","4.86","0.34","1.63","0.0","0.0","0.0","0.0","24.43","22.8","185.32","92.66","160.89","162.52","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","22.0","0.32","0.0","0.0","5.17","0.32","1.66","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","22.0","0.31","0.0","0.0","3.74","0.31","1.17","0.12","0.12","0.0","0.0","23.85","22.8","185.32","92.66","161.46","162.52","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","22.0","0.3","0.0","0.0","4.45","0.3","1.36","0.04","0.04","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","22.0","0.29","0.0","0.0","5.02","0.29","1.48","0.0","0.0","0.0","0.0","24.28","22.8","185.32","92.66","161.04","162.52","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","22.0","0.29","0.0","0.0","5.24","0.29","1.5","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","22.0","0.28","0.0","0.0","5.2","0.28","1.44","0.0","0.0","0.0","0.0","24.24","22.8","185.32","92.66","161.08","162.52","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","22.0","0.27","0.0","0.0","5.04","0.27","1.36","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","22.0","0.26","0.0","0.0","4.75","0.26","1.25","0.0","0.0","0.0","0.0","24.05","22.8","185.32","92.66","161.27","162.52","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","22.0","0.26","0.0","0.0","3.53","0.26","0.91","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","22.0","0.25","0.3","0.0","4.69","0.3","1.41","0.41","0.41","0.0","0.0","23.8","44.12","185.32","92.66","161.52","141.2","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","22.0","0.25","0.3","0.0","4.83","0.3","1.45","0.0","0.0","0.0","0.0","25.25","44.12","185.32","92.66","160.07","141.2","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","22.0","0.24","0.3","0.0","4.03","0.3","1.21","0.0","0.0","0.0","0.0","26.46","44.12","185.32","92.66","158.86","141.2","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","22.0","0.24","0.3","0.0","4.74","0.3","1.42","0.0","0.0","0.0","0.0","27.88","44.12","185.32","92.66","157.44","141.2","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","22.0","0.23","0.3","0.0","5.03","0.3","1.51","0.0","0.0","0.0","0.0","29.39","44.12","185.32","92.66","155.93","141.2","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","22.0","0.23","0.3","0.0","4.98","0.3","1.49","0.0","0.0","0.0","0.0","30.88","44.12","185.32","92.66","154.44","141.2","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","22.0","0.23","0.3","0.0","4.26","0.3","1.28","0.0","0.0","0.0","0.0","32.16","44.12","185.32","92.66","153.16","141.2","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","22.0","0.22","0.3","0.0","4.91","0.3","1.47","0.0","0.0","0.0","0.0","33.63","44.12","185.32","92.66","151.69","141.2","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","22.0","0.22","0.3","0.0","4.7","0.3","1.41","0.0","0.0","0.0","0.0","35.04","44.12","185.32","92.66","150.28","141.2","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","22.0","0.21","0.3","0.0","5.63","0.3","1.69","0.0","0.0","0.0","0.0","36.73","44.12","185.32","92.66","148.59","141.2","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","22.0","0.21","0.3","0.0","5.5","0.3","1.65","0.0","0.0","0.0","0.0","38.38","44.12","185.32","92.66","146.94","141.2","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","22.0","0.21","0.3","0.0","5.52","0.3","1.66","0.0","0.0","0.0","0.0","40.04","44.12","185.32","92.66","145.28","141.2","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","22.0","0.2","0.3","0.0","5.56","0.3","1.67","0.0","0.0","0.0","0.0","41.7","44.12","185.32","92.66","143.61","141.2","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","22.0","0.2","0.3","0.0","5.44","0.3","1.63","0.0","0.0","0.0","0.0","43.34","44.12","185.32","92.66","141.98","141.2","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","22.0","0.2","0.3","0.0","6.1","0.3","1.83","0.0","0.0","0.0","0.0","0.0","44.12","185.32","92.66","185.32","141.2","45.17","","","","","","","","",""
"2015.0","5.0","30.0","150.0","22.0","0.19","0.32","0.0","6.43","0.32","2.08","0.0","0.0","0.0","0.0","2.08","44.12","185.32","92.66","183.24","141.2","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","22.0","0.19","0.35","0.0","5.4","0.35","1.87","0.0","0.0","0.0","0.0","3.95","44.12","185.32","92.66","181.37","141.2","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","22.0","0.19","0.37","0.0","5.46","0.37","2.02","0.0","0.0","0.0","0.0","5.97","44.12","185.32","92.66","179.34","141.2","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","22.0","0.18","0.39","0.0","5.75","0.39","2.26","0.0","0.0","0.0","0.0","8.24","44.12","185.32","92.66","177.08","141.2","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","22.0","0.18","0.42","0.0","5.49","0.42","2.29","0.0","0.0","0.0","0.0","10.53","44.12","185.32","92.66","174.79","141.2","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","22.0","0.18","0.44","0.0","5.89","0.44","2.6","0.0","0.0","0.0","0.0","13.12","44.12","185.32","92.66","172.19","141.2","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","22.0","0.18","0.46","0.0","6.77","0.46","3.14","0.0","0.0","0.0","0.0","16.27","44.12","185.32","92.66","169.05","141.2","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","22.0","0.17","0.49","0.0","6.34","0.49","3.09","0.0","0.0","0.0","0.0","19.36","44.12","185.32","92.66","165.96","141.2","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","22.0","0.17","0.51","0.0","6.9","0.51","3.53","0.0","0.0","0.0","0.0","22.88","44.12","185.32","92.66","162.44","141.2","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","22.0","0.17","0.53","0.0","7.39","0.53","3.95","0.0","0.0","0.0","0.0","26.83","44.12","185.32","92.66","158.49","141.2","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","22.0","0.17","0.56","0.0","7.03","0.56","3.92","0.0","0.0","0.0","0.0","30.75","44.12","185.32","92.66","154.57","141.2","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","22.0","0.17","0.58","0.0","2.7","0.58","1.57","0.02","0.02","0.0","0.0","32.3","44.12","185.32","92.66","153.02","141.2","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","22.0","0.16","0.6","0.0","7.01","0.6","4.24","2.18","2.18","0.0","0.0","34.36","44.12","185.32","92.66","150.96","141.2","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","22.0","0.16","0.63","0.0","7.89","0.63","4.96","0.0","0.0","0.0","0.0","39.32","44.12","185.32","92.66","146.0","141.2","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","22.0","0.16","0.65","0.0","7.55","0.65","4.92","0.0","0.0","0.0","0.0","0.0","44.12","185.32","92.66","185.32","141.2","44.24","","","","","","","","",""
"2015.0","6.0","14.0","165.0","22.0","0.16","0.68","0.0","6.8","0.68","4.59","0.0","0.0","0.0","0.0","4.59","44.12","185.32","92.66","180.73","141.2","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","22.0","0.15","0.7","0.0","6.62","0.7","4.62","0.0","0.0","0.0","0.0","9.21","44.12","185.32","92.66","176.1","141.2","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","22.0","0.15","0.72","0.0","6.96","0.72","5.02","0.51","0.51","0.0","0.0","13.73","44.12","185.32","92.66","171.59","141.2","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","22.0","0.15","0.75","0.0","6.97","0.75","5.19","0.0","0.0","0.0","0.0","18.92","44.12","185.32","92.66","166.4","141.2","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","22.0","0.15","0.77","0.0","7.62","0.77","5.86","0.0","0.0","0.0","0.0","24.78","44.12","185.32","92.66","160.54","141.2","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","22.0","0.15","0.79","0.0","7.42","0.79","5.88","0.0","0.0","0.0","0.0","30.66","44.12","185.32","92.66","154.66","141.2","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","22.0","0.14","0.82","0.0","7.06","0.82","5.76","0.0","0.0","0.0","0.0","36.42","44.12","185.32","92.66","148.9","141.2","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","22.0","0.14","0.84","0.0","7.62","0.84","6.39","0.0","0.0","0.0","0.0","42.81","44.12","185.32","92.66","142.51","141.2","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","22.0","0.14","0.86","0.0","6.99","0.86","6.03","0.0","0.0","0.0","0.0","0.0","44.12","185.32","92.66","185.32","141.2","48.84","","","","","","","","",""
"2015.0","6.0","23.0","174.0","22.0","0.14","0.89","0.0","7.4","0.89","6.56","0.0","0.0","0.0","0.0","6.56","44.12","185.32","92.66","178.76","141.2","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","22.0","0.14","0.91","0.0","7.41","0.91","6.74","0.0","0.0","0.0","0.0","13.29","44.12","185.32","92.66","172.02","141.2","0.0","","","","","","","","",""
"2015.0","6.0","25.0","176.0","22.0","0.14","0.93","0.0","8.0","0.93","7.46","0.0","0.0","0.0","0.0","20.76","44.12","185.32","92.66","164.56","141.2","0.0","","","","","","","","",""
"2015.0","6.0","26.0","177.0","22.0","0.13","0.96","0.0","8.37","0.96","8.0","0.0","0.0","0.0","0.0","28.76","44.12","185.32","92.66","156.56","141.2","0.0","","","","","","","","",""
