" Daily soil water balance output for Pasture in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Pasture in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"2015.0","2.0","11.0","42.0","9222.0","1.15","0.95","0.0","1.59","1.15","1.83","0.0","0.0","0.0","0.0","3.74","49.14","201.17","100.58","197.43","152.03","0.0","","","","","","",""
"2015.0","2.0","12.0","43.0","9222.0","1.03","0.95","0.0","1.98","1.03","2.03","0.0","0.0","0.0","0.0","5.77","49.14","201.17","100.58","195.4","152.03","0.0","","","","","","",""
"2015.0","2.0","13.0","44.0","9222.0","0.91","0.95","0.0","2.03","0.95","1.93","0.0","0.0","0.0","0.0","7.7","49.14","201.17","100.58","193.47","152.03","0.0","","","","","","",""
"2015.0","2.0","14.0","45.0","9222.0","0.82","0.95","0.0","2.18","0.95","2.07","0.0","0.0","0.0","0.0","9.77","49.14","201.17","100.58","191.4","152.03","0.0","","","","","","",""
"2015.0","2.0","15.0","46.0","9222.0","0.75","0.95","0.0","2.09","0.95","1.99","0.0","0.0","0.0","0.0","11.75","49.14","201.17","100.58","189.41","152.03","0.0","","","","","","",""
"2015.0","2.0","16.0","47.0","9222.0","0.7","0.95","0.0","2.24","0.95","2.13","0.0","0.0","0.0","0.0","13.88","49.14","201.17","100.58","187.29","152.03","0.0","","","","","","",""
"2015.0","2.0","17.0","48.0","9222.0","0.66","0.95","0.0","1.94","0.95","1.84","0.0","0.0","0.0","0.0","15.73","49.14","201.17","100.58","185.44","152.03","0.0","","","","","","",""
"2015.0","2.0","18.0","49.0","9222.0","0.63","0.95","0.0","1.5","0.95","1.43","0.0","0.0","0.0","0.0","17.15","49.14","201.17","100.58","184.02","152.03","0.0","","","","","","",""
"2015.0","2.0","19.0","50.0","9222.0","0.62","0.95","0.0","1.08","0.95","1.03","0.0","0.0","0.0","0.0","18.18","49.14","201.17","100.58","182.99","152.03","0.0","","","","","","",""
"2015.0","2.0","20.0","51.0","9222.0","0.59","0.95","0.0","1.97","0.95","1.87","0.0","0.0","0.0","0.0","20.05","49.14","201.17","100.58","181.12","152.03","0.0","","","","","","",""
"2015.0","2.0","21.0","52.0","9222.0","0.57","0.95","0.0","1.62","0.95","1.54","0.0","0.0","0.0","0.0","21.59","49.14","201.17","100.58","179.58","152.03","0.0","","","","","","",""
"2015.0","2.0","22.0","53.0","9222.0","0.53","0.95","0.0","3.74","0.95","3.55","0.0","0.0","0.0","0.0","25.14","49.14","201.17","100.58","176.03","152.03","0.0","","","","","","",""
"2015.0","2.0","23.0","54.0","9222.0","0.49","0.95","0.0","4.35","0.95","4.13","0.0","0.0","0.0","0.0","29.27","49.14","201.17","100.58","171.9","152.03","0.0","","","","","","",""
"2015.0","2.0","24.0","55.0","9222.0","0.47","0.95","0.0","2.85","0.95","2.71","0.0","0.0","0.0","0.0","31.98","49.14","201.17","100.58","169.19","152.03","0.0","","","","","","",""
"2015.0","2.0","25.0","56.0","9222.0","0.45","0.95","0.0","2.19","0.95","2.08","0.0","0.0","0.0","0.0","34.06","49.14","201.17","100.58","167.11","152.03","0.0","","","","","","",""
"2015.0","2.0","26.0","57.0","9222.0","0.44","0.95","0.0","3.07","0.95","2.92","0.0","0.0","0.0","0.0","36.98","49.14","201.17","100.58","164.19","152.03","0.0","","","","","","",""
"2015.0","2.0","27.0","58.0","9222.0","0.42","0.95","0.0","2.77","0.95","2.63","0.0","0.0","0.0","0.0","39.61","49.14","201.17","100.58","161.56","152.03","0.0","","","","","","",""
"2015.0","2.0","28.0","59.0","9222.0","0.41","0.95","0.0","1.93","0.95","1.83","0.0","0.0","0.0","0.0","41.44","49.14","201.17","100.58","159.73","152.03","0.0","","","","","","",""
"2015.0","3.0","1.0","60.0","9222.0","0.4","0.95","0.0","2.68","0.95","2.55","0.0","0.0","0.0","0.0","43.99","49.14","201.17","100.58","157.18","152.03","0.0","","","","","","",""
"2015.0","3.0","2.0","61.0","9222.0","0.39","0.95","0.0","2.33","0.95","2.21","0.0","0.0","0.0","0.0","46.2","49.14","201.17","100.58","154.97","152.03","0.0","","","","","","",""
"2015.0","3.0","3.0","62.0","9222.0","0.38","0.95","0.0","2.59","0.95","2.46","1.02","1.02","0.0","0.0","47.64","49.14","201.17","100.58","153.53","152.03","0.0","","","","","","",""
"2015.0","3.0","4.0","63.0","9222.0","0.37","0.95","0.0","2.6","0.95","2.47","0.0","0.0","0.0","0.0","0.0","49.14","201.17","100.58","201.17","152.03","50.11","","","","","","",""
"2015.0","3.0","5.0","64.0","9222.0","0.36","0.95","0.0","2.79","0.95","2.65","0.0","0.0","0.0","0.0","2.65","49.14","201.17","100.58","198.52","152.03","0.0","","","","","","",""
"2015.0","3.0","6.0","65.0","9222.0","0.35","0.95","0.0","3.0","0.95","2.85","0.0","0.0","0.0","0.0","5.5","49.14","201.17","100.58","195.67","152.03","0.0","","","","","","",""
"2015.0","3.0","7.0","66.0","9222.0","0.35","0.95","0.0","2.8","0.95","2.66","0.0","0.0","0.0","0.0","8.16","49.14","201.17","100.58","193.01","152.03","0.0","","","","","","",""
"2015.0","3.0","8.0","67.0","9222.0","0.34","0.95","0.0","2.98","0.95","2.83","0.0","0.0","0.0","0.0","10.99","49.14","201.17","100.58","190.18","152.03","0.0","","","","","","",""
"2015.0","3.0","9.0","68.0","9222.0","0.33","0.95","0.0","3.06","0.95","2.91","0.0","0.0","0.0","0.0","13.9","49.14","201.17","100.58","187.27","152.03","0.0","","","","","","",""
"2015.0","3.0","10.0","69.0","9222.0","0.32","0.95","0.0","2.4","0.95","2.28","0.0","0.0","0.0","0.0","16.18","49.14","201.17","100.58","184.99","152.03","0.0","","","","","","",""
"2015.0","3.0","11.0","70.0","9222.0","0.32","0.95","0.0","2.11","0.95","2.0","1.32","1.32","0.0","0.0","16.86","49.14","201.17","100.58","184.31","152.03","0.0","","","","","","",""
"2015.0","3.0","12.0","71.0","9222.0","1.08","0.95","0.0","3.47","1.08","3.75","3.55","3.55","0.0","0.0","17.06","49.14","201.17","100.58","184.1","152.03","0.0","","","","","","",""
"2015.0","3.0","13.0","72.0","9222.0","1.06","0.95","0.0","3.11","1.06","3.29","0.0","0.0","0.0","0.0","20.35","49.14","201.17","100.58","180.81","152.03","0.0","","","","","","",""
"2015.0","3.0","14.0","73.0","9222.0","0.86","0.95","0.0","3.29","0.95","3.13","0.0","0.0","0.0","0.0","23.48","49.14","201.17","100.58","177.69","152.03","0.0","","","","","","",""
"2015.0","3.0","15.0","74.0","9222.0","0.73","0.95","0.0","3.85","0.95","3.66","0.0","0.0","0.0","0.0","27.14","49.14","201.17","100.58","174.03","152.03","0.0","","","","","","",""
"2015.0","3.0","16.0","75.0","9222.0","0.68","0.95","0.0","2.46","0.95","2.34","0.0","0.0","0.0","0.0","29.47","49.14","201.17","100.58","171.69","152.03","0.0","","","","","","",""
"2015.0","3.0","17.0","76.0","9222.0","0.61","0.95","0.0","3.49","0.95","3.32","0.0","0.0","0.0","0.0","32.79","49.14","201.17","100.58","168.38","152.03","0.0","","","","","","",""
"2015.0","3.0","18.0","77.0","9222.0","0.56","0.95","0.0","3.89","0.95","3.7","0.0","0.0","0.0","0.0","36.48","49.14","201.17","100.58","164.68","152.03","0.0","","","","","","",""
"2015.0","3.0","19.0","78.0","9222.0","0.52","0.95","0.0","3.94","0.95","3.74","0.0","0.0","0.0","0.0","40.23","49.14","201.17","100.58","160.94","152.03","0.0","","","","","","",""
"2015.0","3.0","20.0","79.0","9222.0","0.49","0.95","0.0","3.11","0.95","2.95","0.0","0.0","0.0","0.0","43.18","49.14","201.17","100.58","157.99","152.03","0.0","","","","","","",""
"2015.0","3.0","21.0","80.0","9222.0","0.46","0.95","0.0","3.63","0.95","3.45","0.0","0.0","0.0","0.0","46.63","49.14","201.17","100.58","154.54","152.03","0.0","","","","","","",""
"2015.0","3.0","22.0","81.0","9222.0","0.44","0.95","0.0","3.27","0.95","3.11","0.0","0.0","0.0","0.0","0.0","49.14","201.17","100.58","201.17","152.03","49.74","","","","","","",""
"2015.0","3.0","23.0","82.0","9222.0","0.42","0.95","0.0","3.28","0.95","3.12","0.25","0.25","0.0","0.0","2.87","49.14","201.17","100.58","198.3","152.03","0.0","","","","","","",""
"2015.0","3.0","24.0","83.0","9222.0","0.41","0.95","0.0","3.19","0.95","3.03","0.0","0.0","0.0","0.0","5.9","49.14","201.17","100.58","195.27","152.03","0.0","","","","","","",""
"2015.0","3.0","25.0","84.0","9222.0","0.39","0.95","0.0","4.23","0.95","4.02","0.0","0.0","0.0","0.0","9.92","49.14","201.17","100.58","191.25","152.03","0.0","","","","","","",""
"2015.0","3.0","26.0","85.0","9222.0","0.37","0.95","0.0","3.92","0.95","3.72","0.0","0.0","0.0","0.0","13.64","49.14","201.17","100.58","187.53","152.03","0.0","","","","","","",""
"2015.0","3.0","27.0","86.0","9222.0","0.36","0.95","0.0","4.55","0.95","4.32","0.0","0.0","0.0","0.0","17.96","49.14","201.17","100.58","183.21","152.03","0.0","","","","","","",""
"2015.0","3.0","28.0","87.0","9222.0","0.34","0.95","0.0","4.99","0.95","4.74","0.0","0.0","0.0","0.0","22.7","49.14","201.17","100.58","178.47","152.03","0.0","","","","","","",""
"2015.0","3.0","29.0","88.0","9222.0","0.33","0.95","0.0","4.76","0.95","4.52","0.0","0.0","0.0","0.0","27.22","49.14","201.17","100.58","173.94","152.03","0.0","","","","","","",""
"2015.0","3.0","30.0","89.0","9222.0","0.32","0.95","0.0","4.57","0.95","4.34","0.0","0.0","0.0","0.0","31.57","49.14","201.17","100.58","169.6","152.03","0.0","","","","","","",""
"2015.0","3.0","31.0","90.0","9222.0","0.31","0.95","0.0","4.61","0.95","4.38","0.0","0.0","0.0","0.0","35.95","49.14","201.17","100.58","165.22","152.03","0.0","","","","","","",""
"2015.0","4.0","1.0","91.0","9222.0","0.3","0.95","0.0","4.22","0.95","4.01","0.0","0.0","0.0","0.0","39.95","49.14","201.17","100.58","161.21","152.03","0.0","","","","","","",""
"2015.0","4.0","2.0","92.0","9222.0","0.29","0.95","0.0","5.59","0.95","5.31","0.0","0.0","0.0","0.0","45.26","49.14","201.17","100.58","155.9","152.03","0.0","","","","","","",""
"2015.0","4.0","3.0","93.0","9222.0","0.28","0.95","0.0","4.63","0.95","4.4","0.0","0.0","0.0","0.0","0.0","49.14","201.17","100.58","201.17","152.03","49.66","","","","","","",""
"2015.0","4.0","4.0","94.0","9222.0","0.28","0.95","0.0","4.53","0.95","4.3","0.0","0.0","0.0","0.0","4.3","49.14","201.17","100.58","196.86","152.03","0.0","","","","","","",""
"2015.0","4.0","5.0","95.0","9222.0","0.27","0.95","0.0","2.58","0.95","2.45","0.0","0.0","0.0","0.0","6.75","49.14","201.17","100.58","194.41","152.03","0.0","","","","","","",""
"2015.0","4.0","6.0","96.0","9222.0","0.27","0.95","0.0","2.98","0.95","2.83","1.42","1.42","0.0","0.0","8.17","49.14","201.17","100.58","193.0","152.03","0.0","","","","","","",""
"2015.0","4.0","7.0","97.0","9222.0","1.12","0.95","0.0","2.41","1.12","2.71","6.49","6.49","0.0","0.0","4.38","49.14","201.17","100.58","196.78","152.03","0.0","","","","","","",""
"2015.0","4.0","8.0","98.0","9222.0","1.1","0.95","0.0","2.91","1.1","3.21","13.25","7.59","0.0","0.0","0.0","49.14","201.17","100.58","201.17","152.03","0.0","","","","","","",""
"2015.0","4.0","9.0","99.0","9222.0","1.07","0.95","0.0","3.48","1.07","3.74","0.0","0.0","0.0","0.0","3.74","49.14","201.17","100.58","197.43","152.03","0.0","","","","","","",""
"2015.0","4.0","10.0","100.0","9222.0","0.83","0.95","0.0","4.13","0.95","3.92","0.0","0.0","0.0","0.0","7.66","49.14","201.17","100.58","193.5","152.03","0.0","","","","","","",""
"2015.0","4.0","11.0","101.0","9222.0","0.7","0.95","0.0","4.29","0.95","4.08","0.0","0.0","0.0","0.0","11.74","49.14","201.17","100.58","189.43","152.03","0.0","","","","","","",""
"2015.0","4.0","12.0","102.0","9222.0","0.6","0.95","0.0","4.97","0.95","4.72","0.0","0.0","0.0","0.0","16.46","49.14","201.17","100.58","184.71","152.03","0.0","","","","","","",""
"2015.0","4.0","13.0","103.0","9222.0","0.53","0.95","0.0","5.12","0.95","4.86","0.0","0.0","0.0","0.0","21.33","49.14","201.17","100.58","179.84","152.03","0.0","","","","","","",""
"2015.0","4.0","14.0","104.0","9222.0","0.49","0.95","0.0","4.85","0.95","4.61","0.0","0.0","0.0","0.0","25.93","49.14","201.17","100.58","175.24","152.03","0.0","","","","","","",""
"2015.0","4.0","15.0","105.0","9222.0","0.44","0.95","0.0","6.7","0.95","6.37","0.0","0.0","0.0","0.0","32.3","49.14","201.17","100.58","168.87","152.03","0.0","","","","","","",""
"2015.0","4.0","16.0","106.0","9222.0","0.4","0.95","0.0","6.12","0.95","5.81","0.0","0.0","0.0","0.0","38.11","49.14","201.17","100.58","163.06","152.03","0.0","","","","","","",""
"2015.0","4.0","17.0","107.0","9222.0","0.38","0.95","0.0","5.33","0.95","5.06","0.0","0.0","0.0","0.0","43.18","49.14","201.17","100.58","157.99","152.03","0.0","","","","","","",""
"2015.0","4.0","18.0","108.0","9222.0","0.36","0.95","0.0","5.03","0.95","4.78","0.0","0.0","0.0","0.0","47.95","49.14","201.17","100.58","153.21","152.03","0.0","","","","","","",""
"2015.0","4.0","19.0","109.0","9222.0","0.34","0.95","0.0","5.36","0.95","5.09","0.0","0.0","0.0","0.0","0.0","49.14","201.17","100.58","201.17","152.03","53.05","","","","","","",""
"2015.0","4.0","20.0","110.0","9222.0","0.33","0.95","0.0","4.9","0.95","4.66","0.0","0.0","0.0","0.0","4.66","49.14","201.17","100.58","196.51","152.03","0.0","","","","","","",""
"2015.0","4.0","21.0","111.0","9222.0","0.32","0.95","0.0","3.95","0.95","3.75","0.0","0.0","0.0","0.0","8.41","49.14","201.17","100.58","192.76","152.03","0.0","","","","","","",""
"2015.0","4.0","22.0","112.0","9222.0","0.31","0.95","0.0","4.22","0.95","4.01","0.0","0.0","0.0","0.0","12.42","49.14","201.17","100.58","188.75","152.03","0.0","","","","","","",""
"2015.0","4.0","23.0","113.0","9222.0","0.3","0.95","0.0","4.83","0.95","4.59","0.0","0.0","0.0","0.0","17.01","49.14","201.17","100.58","184.16","152.03","0.0","","","","","","",""
"2015.0","4.0","24.0","114.0","9222.0","0.29","0.95","0.0","4.92","0.95","4.67","0.0","0.0","0.0","0.0","21.68","49.14","201.17","100.58","179.49","152.03","0.0","","","","","","",""
"2015.0","4.0","25.0","115.0","9222.0","1.06","0.95","0.0","4.12","1.06","4.35","14.13","14.13","0.0","0.0","11.9","49.14","201.17","100.58","189.27","152.03","0.0","","","","","","",""
"2015.0","4.0","26.0","116.0","9222.0","0.87","0.95","0.0","5.12","0.95","4.86","0.0","0.0","0.0","0.0","16.76","49.14","201.17","100.58","184.41","152.03","0.0","","","","","","",""
"2015.0","4.0","27.0","117.0","9222.0","0.67","0.95","0.0","6.14","0.95","5.83","0.0","0.0","0.0","0.0","22.59","49.14","201.17","100.58","178.57","152.03","0.0","","","","","","",""
"2015.0","4.0","28.0","118.0","9222.0","0.57","0.95","0.0","5.67","0.95","5.39","0.0","0.0","0.0","0.0","27.98","49.14","201.17","100.58","173.19","152.03","0.0","","","","","","",""
"2015.0","4.0","29.0","119.0","9222.0","0.51","0.95","0.0","5.35","0.95","5.08","0.0","0.0","0.0","0.0","33.06","49.14","201.17","100.58","168.11","152.03","0.0","","","","","","",""
"2015.0","4.0","30.0","120.0","9222.0","0.45","0.95","0.0","6.54","0.95","6.21","0.0","0.0","0.0","0.0","39.28","49.14","201.17","100.58","161.89","152.03","0.0","","","","","","",""
"2015.0","5.0","1.0","121.0","9222.0","0.41","0.95","0.0","6.55","0.95","6.22","0.0","0.0","0.0","0.0","45.5","49.14","201.17","100.58","155.67","152.03","0.0","","","","","","",""
"2015.0","5.0","2.0","122.0","9222.0","0.38","0.95","0.0","6.19","0.95","5.88","0.0","0.0","0.0","0.0","0.0","49.14","201.17","100.58","201.17","152.03","51.38","","","","","","",""
"2015.0","5.0","3.0","123.0","9222.0","0.36","0.95","0.0","5.44","0.95","5.17","0.0","0.0","0.0","0.0","5.17","49.14","201.17","100.58","196.0","152.03","0.0","","","","","","",""
"2015.0","5.0","4.0","124.0","9222.0","0.35","0.95","0.0","4.95","0.95","4.7","0.0","0.0","0.0","0.0","9.87","49.14","201.17","100.58","191.3","152.03","0.0","","","","","","",""
"2015.0","5.0","5.0","125.0","9222.0","0.33","0.95","0.0","4.89","0.95","4.65","0.0","0.0","0.0","0.0","14.52","49.14","201.17","100.58","186.65","152.03","0.0","","","","","","",""
"2015.0","5.0","6.0","126.0","9222.0","0.32","0.95","0.0","5.24","0.95","4.98","0.0","0.0","0.0","0.0","19.49","49.14","201.17","100.58","181.67","152.03","0.0","","","","","","",""
"2015.0","5.0","7.0","127.0","9222.0","0.31","0.95","0.0","4.2","0.95","3.99","0.45","0.45","0.0","0.0","23.03","49.14","201.17","100.58","178.13","152.03","0.0","","","","","","",""
"2015.0","5.0","8.0","128.0","9222.0","0.3","0.95","0.0","4.53","0.95","4.3","0.55","0.55","0.0","0.0","26.79","49.14","201.17","100.58","174.38","152.03","0.0","","","","","","",""
"2015.0","5.0","9.0","129.0","9222.0","0.29","0.95","0.0","5.14","0.95","4.88","0.0","0.0","0.0","0.0","31.67","49.14","201.17","100.58","169.5","152.03","0.0","","","","","","",""
"2015.0","5.0","10.0","130.0","9222.0","0.28","0.95","0.0","5.31","0.95","5.04","0.0","0.0","0.0","0.0","36.72","49.14","201.17","100.58","164.45","152.03","0.0","","","","","","",""
"2015.0","5.0","11.0","131.0","9222.0","0.27","0.95","0.0","5.28","0.95","5.02","0.0","0.0","0.0","0.0","41.73","49.14","201.17","100.58","159.44","152.03","0.0","","","","","","",""
"2015.0","5.0","12.0","132.0","9222.0","0.27","0.95","0.0","5.03","0.95","4.78","0.0","0.0","0.0","0.0","46.51","49.14","201.17","100.58","154.66","152.03","0.0","","","","","","",""
"2015.0","5.0","13.0","133.0","9222.0","0.26","0.95","0.0","4.79","0.95","4.55","0.0","0.0","0.0","0.0","0.0","49.14","201.17","100.58","201.17","152.03","51.06","","","","","","",""
"2015.0","5.0","14.0","134.0","9222.0","0.26","0.95","0.0","3.95","0.95","3.75","0.0","0.0","0.0","0.0","3.75","49.14","201.17","100.58","197.42","152.03","0.0","","","","","","",""
"2015.0","5.0","15.0","135.0","9222.0","0.25","0.95","0.0","4.75","0.95","4.51","0.02","0.02","0.0","0.0","8.25","49.14","201.17","100.58","192.92","152.03","0.0","","","","","","",""
"2015.0","5.0","16.0","136.0","9222.0","0.24","0.95","0.0","4.87","0.95","4.63","0.0","0.0","0.0","0.0","12.87","49.14","201.17","100.58","188.3","152.03","0.0","","","","","","",""
"2015.0","5.0","17.0","137.0","9222.0","0.24","0.95","0.0","4.0","0.95","3.8","0.0","0.0","0.0","0.0","16.67","49.14","201.17","100.58","184.5","152.03","0.0","","","","","","",""
"2015.0","5.0","18.0","138.0","9222.0","0.24","0.95","0.0","4.7","0.95","4.47","0.0","0.0","0.0","0.0","21.14","49.14","201.17","100.58","180.03","152.03","0.0","","","","","","",""
"2015.0","5.0","19.0","139.0","9222.0","0.23","0.95","0.0","5.07","0.95","4.82","0.0","0.0","0.0","0.0","25.95","49.14","201.17","100.58","175.22","152.03","0.0","","","","","","",""
"2015.0","5.0","20.0","140.0","9222.0","0.23","0.95","0.0","5.05","0.95","4.8","0.0","0.0","0.0","0.0","30.75","49.14","201.17","100.58","170.42","152.03","0.0","","","","","","",""
"2015.0","5.0","21.0","141.0","9222.0","0.22","0.95","0.0","4.58","0.95","4.35","0.0","0.0","0.0","0.0","35.1","49.14","201.17","100.58","166.07","152.03","0.0","","","","","","",""
"2015.0","5.0","22.0","142.0","9222.0","0.22","0.95","0.0","4.94","0.95","4.69","0.0","0.0","0.0","0.0","39.79","49.14","201.17","100.58","161.37","152.03","0.0","","","","","","",""
"2015.0","5.0","23.0","143.0","9222.0","0.22","0.95","0.0","4.77","0.95","4.53","0.0","0.0","0.0","0.0","44.33","49.14","201.17","100.58","156.84","152.03","0.0","","","","","","",""
"2015.0","5.0","24.0","144.0","9222.0","0.21","0.95","0.0","5.77","0.95","5.48","0.0","0.0","0.0","0.0","0.0","49.14","201.17","100.58","201.17","152.03","49.81","","","","","","",""
"2015.0","5.0","25.0","145.0","9222.0","0.21","0.95","0.0","5.58","0.95","5.3","0.0","0.0","0.0","0.0","5.3","49.14","201.17","100.58","195.87","152.03","0.0","","","","","","",""
"2015.0","5.0","26.0","146.0","9222.0","0.2","0.95","0.0","5.63","0.95","5.35","0.0","0.0","0.0","0.0","10.65","49.14","201.17","100.58","190.52","152.03","0.0","","","","","","",""
"2015.0","5.0","27.0","147.0","9222.0","0.2","0.95","0.0","5.67","0.95","5.39","0.0","0.0","0.0","0.0","16.04","49.14","201.17","100.58","185.13","152.03","0.0","","","","","","",""
"2015.0","5.0","28.0","148.0","9222.0","0.2","0.95","0.0","5.48","0.95","5.21","0.0","0.0","0.0","0.0","21.24","49.14","201.17","100.58","179.93","152.03","0.0","","","","","","",""
"2015.0","5.0","29.0","149.0","9222.0","0.19","0.95","0.0","6.16","0.95","5.85","0.0","0.0","0.0","0.0","27.09","49.14","201.17","100.58","174.07","152.03","0.0","","","","","","",""
"2015.0","5.0","30.0","150.0","9222.0","0.19","0.95","0.0","6.49","0.95","6.17","0.0","0.0","0.0","0.0","33.26","49.14","201.17","100.58","167.91","152.03","0.0","","","","","","",""
"2015.0","5.0","31.0","151.0","9222.0","0.19","0.95","0.0","5.57","0.95","5.29","0.0","0.0","0.0","0.0","38.55","49.14","201.17","100.58","162.62","152.03","0.0","","","","","","",""
"2015.0","6.0","1.0","152.0","9222.0","0.19","0.95","0.0","5.56","0.95","5.28","0.0","0.0","0.0","0.0","43.83","49.14","201.17","100.58","157.34","152.03","0.0","","","","","","",""
"2015.0","6.0","2.0","153.0","9222.0","0.18","0.95","0.0","5.75","0.95","5.46","0.0","0.0","0.0","0.0","0.0","49.14","201.17","100.58","201.17","152.03","49.3","","","","","","",""
"2015.0","6.0","3.0","154.0","9222.0","0.18","0.95","0.0","5.65","0.95","5.37","0.0","0.0","0.0","0.0","5.37","49.14","201.17","100.58","195.8","152.03","0.0","","","","","","",""
"2015.0","6.0","4.0","155.0","9222.0","0.18","0.95","0.0","5.94","0.95","5.64","0.0","0.0","0.0","0.0","11.01","49.14","201.17","100.58","190.16","152.03","0.0","","","","","","",""
"2015.0","6.0","5.0","156.0","9222.0","0.17","0.95","0.0","6.93","0.95","6.58","0.0","0.0","0.0","0.0","17.59","49.14","201.17","100.58","183.57","152.03","0.0","","","","","","",""
"2015.0","6.0","6.0","157.0","9222.0","0.17","0.95","0.0","6.53","0.95","6.2","0.01","0.01","0.0","0.0","23.79","49.14","201.17","100.58","177.38","152.03","0.0","","","","","","",""
"2015.0","6.0","7.0","158.0","9222.0","0.17","0.95","0.0","7.06","0.95","6.71","0.0","0.0","0.0","0.0","30.49","49.14","201.17","100.58","170.67","152.03","0.0","","","","","","",""
"2015.0","6.0","8.0","159.0","9222.0","0.17","0.95","0.0","7.42","0.95","7.05","0.0","0.0","0.0","0.0","37.54","49.14","201.17","100.58","163.62","152.03","0.0","","","","","","",""
"2015.0","6.0","9.0","160.0","9222.0","0.16","0.95","0.0","7.22","0.95","6.86","0.0","0.0","0.0","0.0","44.4","49.14","201.17","100.58","156.77","152.03","0.0","","","","","","",""
"2015.0","6.0","10.0","161.0","9222.0","0.16","0.95","0.0","2.57","0.95","2.44","0.07","0.07","0.0","0.0","46.77","49.14","201.17","100.58","154.39","152.03","0.0","","","","","","",""
"2015.0","6.0","11.0","162.0","9222.0","0.16","0.95","0.0","7.16","0.95","6.8","1.22","1.22","0.0","0.0","0.0","49.14","201.17","100.58","201.17","152.03","52.36","","","","","","",""
"2015.0","6.0","12.0","163.0","9222.0","0.16","0.95","0.0","8.08","0.95","7.68","0.0","0.0","0.0","0.0","7.68","49.14","201.17","100.58","193.49","152.03","0.0","","","","","","",""
"2015.0","6.0","13.0","164.0","9222.0","0.16","0.95","0.0","7.66","0.95","7.28","0.0","0.0","0.0","0.0","14.95","49.14","201.17","100.58","186.22","152.03","0.0","","","","","","",""
"2015.0","6.0","14.0","165.0","9222.0","0.15","0.95","0.0","6.92","0.95","6.57","0.0","0.0","0.0","0.0","21.53","49.14","201.17","100.58","179.64","152.03","0.0","","","","","","",""
"2015.0","6.0","15.0","166.0","9222.0","0.15","0.95","0.0","6.72","0.95","6.38","0.0","0.0","0.0","0.0","27.91","49.14","201.17","100.58","173.26","152.03","0.0","","","","","","",""
"2015.0","6.0","16.0","167.0","9222.0","0.15","0.95","0.0","7.03","0.95","6.68","0.0","0.0","0.0","0.0","34.59","49.14","201.17","100.58","166.58","152.03","0.0","","","","","","",""
"2015.0","6.0","17.0","168.0","9222.0","0.15","0.95","0.0","6.97","0.95","6.62","0.0","0.0","0.0","0.0","41.21","49.14","201.17","100.58","159.96","152.03","0.0","","","","","","",""
"2015.0","6.0","18.0","169.0","9222.0","0.15","0.95","0.0","7.75","0.95","7.36","0.0","0.0","0.0","0.0","48.57","49.14","201.17","100.58","152.59","152.03","0.0","","","","","","",""
"2015.0","6.0","19.0","170.0","9222.0","0.14","0.95","0.0","7.43","0.95","7.06","0.0","0.0","0.0","0.0","0.0","49.14","201.17","100.58","201.17","152.03","55.63","","","","","","",""
"2015.0","6.0","20.0","171.0","9222.0","0.14","0.95","0.0","7.17","0.95","6.81","0.0","0.0","0.0","0.0","6.81","49.14","201.17","100.58","194.36","152.03","0.0","","","","","","",""
"2015.0","6.0","21.0","172.0","9222.0","0.14","0.95","0.0","7.78","0.95","7.39","0.0","0.0","0.0","0.0","14.2","49.14","201.17","100.58","186.97","152.03","0.0","","","","","","",""
"2015.0","6.0","22.0","173.0","9222.0","0.14","0.95","0.0","6.99","0.95","6.64","0.0","0.0","0.0","0.0","20.84","49.14","201.17","100.58","180.33","152.03","0.0","","","","","","",""
"2015.0","6.0","23.0","174.0","9222.0","0.14","0.95","0.0","7.45","0.95","7.08","0.0","0.0","0.0","0.0","27.92","49.14","201.17","100.58","173.25","152.03","0.0","","","","","","",""
"2015.0","6.0","24.0","175.0","9222.0","0.14","0.95","0.0","7.51","0.95","7.13","0.0","0.0","0.0","0.0","35.06","49.14","201.17","100.58","166.11","152.03","0.0","","","","","","",""
"2015.0","6.0","25.0","176.0","9222.0","0.14","0.95","0.0","7.98","0.95","7.58","0.0","0.0","0.0","0.0","42.64","49.14","201.17","100.58","158.53","152.03","0.0","","","","","","",""
"2015.0","6.0","26.0","177.0","9222.0","0.13","0.95","0.0","8.46","0.95","8.04","0.0","0.0","0.0","0.0","0.0","49.14","201.17","100.58","201.17","152.03","50.67","","","","","","",""
"2015.0","6.0","27.0","178.0","9222.0","0.13","0.95","0.0","7.16","0.95","6.8","0.0","0.0","0.0","0.0","6.8","49.14","201.17","100.58","194.37","152.03","0.0","","","","","","",""
"2015.0","6.0","28.0","179.0","9222.0","0.13","0.95","0.0","7.43","0.95","7.06","0.0","0.0","0.0","0.0","13.86","49.14","201.17","100.58","187.31","152.03","0.0","","","","","","",""
"2015.0","6.0","29.0","180.0","9222.0","0.13","0.95","0.0","7.6","0.95","7.22","0.0","0.0","0.0","0.0","21.08","49.14","201.17","100.58","180.09","152.03","0.0","","","","","","",""
"2015.0","6.0","30.0","181.0","9222.0","0.13","0.95","0.0","7.68","0.95","7.3","0.0","0.0","0.0","0.0","28.38","49.14","201.17","100.58","172.79","152.03","0.0","","","","","","",""
