" Daily soil water balance output for Cherries in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Cherries in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"2015.0","2.0","9.0","40.0","247.0","1.14","0.0","0.0","2.12","1.14","2.41","13.42","4.84","0.0","0.0","0.0","24.3","491.66","245.83","491.66","467.36","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","247.0","1.14","0.0","0.0","1.87","1.14","2.13","0.0","0.0","0.0","0.0","2.13","24.3","491.66","245.83","489.53","467.36","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","247.0","1.14","0.0","0.0","1.71","1.14","1.96","0.0","0.0","0.0","0.0","4.09","24.3","491.66","245.83","487.57","467.36","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","247.0","1.0","0.0","0.0","2.0","1.0","2.0","0.0","0.0","0.0","0.0","6.09","24.3","491.66","245.83","485.57","467.36","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","247.0","0.89","0.0","0.0","2.09","0.89","1.86","0.0","0.0","0.0","0.0","7.95","24.3","491.66","245.83","483.71","467.36","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","247.0","0.8","0.0","0.0","2.2","0.8","1.76","0.0","0.0","0.0","0.0","9.71","24.3","491.66","245.83","481.95","467.36","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","247.0","0.74","0.0","0.0","2.08","0.74","1.54","0.0","0.0","0.0","0.0","11.25","24.3","491.66","245.83","480.41","467.36","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","247.0","0.69","0.0","0.0","2.09","0.69","1.44","0.0","0.0","0.0","0.0","12.69","24.3","491.66","245.83","478.97","467.36","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","247.0","0.65","0.0","0.0","1.81","0.65","1.19","0.0","0.0","0.0","0.0","13.88","24.3","491.66","245.83","477.78","467.36","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","247.0","0.63","0.0","0.0","1.72","0.63","1.08","0.0","0.0","0.0","0.0","14.96","24.3","491.66","245.83","476.71","467.36","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","247.0","0.61","0.0","0.0","1.04","0.61","0.64","0.0","0.0","0.0","0.0","15.59","24.3","491.66","245.83","476.07","467.36","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","247.0","0.59","0.0","0.0","1.75","0.59","1.03","0.0","0.0","0.0","0.0","16.62","24.3","491.66","245.83","475.04","467.36","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","247.0","0.57","0.0","0.0","1.58","0.57","0.9","0.0","0.0","0.0","0.0","17.51","24.3","491.66","245.83","474.15","467.36","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","247.0","0.53","0.0","0.0","2.95","0.53","1.58","0.0","0.0","0.0","0.0","19.09","24.3","491.66","245.83","472.57","467.36","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","247.0","0.5","0.0","0.0","3.55","0.5","1.78","0.0","0.0","0.0","0.0","20.87","24.3","491.66","245.83","470.79","467.36","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","247.0","0.48","0.0","0.0","2.71","0.48","1.3","0.0","0.0","0.0","0.0","22.18","24.3","491.66","245.83","469.48","467.36","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","247.0","0.47","0.0","0.0","2.2","0.47","1.02","0.0","0.0","0.0","0.0","23.2","24.3","491.66","245.83","468.46","467.36","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","247.0","0.45","0.0","0.0","2.91","0.45","1.3","0.0","0.0","0.0","0.0","24.5","24.3","491.66","245.83","467.16","467.36","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","247.0","0.43","0.0","0.0","2.86","0.43","1.23","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","247.0","0.42","0.0","0.0","2.01","0.42","0.85","0.0","0.0","0.0","0.0","25.15","24.3","491.66","245.83","466.51","467.36","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","247.0","0.41","0.0","0.0","2.51","0.41","1.03","0.25","0.25","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","247.0","0.4","0.0","0.0","2.21","0.4","0.88","0.0","0.0","0.0","0.0","25.18","24.3","491.66","245.83","466.48","467.36","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","247.0","0.39","0.0","0.0","2.53","0.39","0.98","1.19","1.19","0.0","0.0","23.99","24.3","491.66","245.83","467.67","467.36","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","247.0","0.38","0.0","0.0","2.61","0.38","0.99","0.0","0.0","0.0","0.0","24.98","24.3","491.66","245.83","466.68","467.36","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","247.0","0.37","0.0","0.0","2.81","0.37","1.04","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","247.0","0.36","0.0","0.0","2.99","0.36","1.08","0.0","0.0","0.0","0.0","25.38","24.3","491.66","245.83","466.28","467.36","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","247.0","0.35","0.0","0.0","2.88","0.35","1.01","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","247.0","0.34","0.0","0.0","2.97","0.34","1.02","0.0","0.0","0.0","0.0","25.32","24.3","491.66","245.83","466.34","467.36","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","247.0","0.34","0.0","0.0","2.92","0.34","0.98","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","247.0","0.33","0.0","0.0","2.53","0.33","0.83","0.0","0.0","0.0","0.0","25.13","24.3","491.66","245.83","466.53","467.36","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","247.0","0.32","0.0","0.0","2.06","0.32","0.67","1.21","1.21","0.0","0.0","23.92","24.3","491.66","245.83","467.74","467.36","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","247.0","1.09","0.0","0.0","3.36","1.09","3.65","3.33","3.33","0.0","0.0","24.24","24.3","491.66","245.83","467.42","467.36","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","247.0","1.07","0.0","0.0","3.07","1.07","3.29","0.0","0.0","0.0","0.0","27.53","24.3","491.66","245.83","464.13","467.36","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","247.0","0.86","0.0","0.0","3.44","0.86","2.97","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","247.0","0.73","0.0","0.0","3.99","0.73","2.9","0.0","0.0","0.0","0.0","27.2","24.3","491.66","245.83","464.46","467.36","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","247.0","0.66","0.0","0.0","2.83","0.66","1.88","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","247.0","0.6","0.0","0.0","3.65","0.6","2.19","0.0","0.0","0.0","0.0","26.49","24.3","491.66","245.83","465.17","467.36","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","247.0","0.55","0.0","0.0","3.82","0.55","2.1","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","247.0","0.51","0.0","0.0","3.83","0.51","1.96","0.0","0.0","0.0","0.0","26.26","24.3","491.66","245.83","465.4","467.36","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","247.0","0.48","0.0","0.0","3.23","0.48","1.56","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","247.0","0.46","0.0","0.0","3.56","0.46","1.63","0.0","0.0","0.0","0.0","25.93","24.3","491.66","245.83","465.73","467.36","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","247.0","0.44","0.0","0.0","3.17","0.44","1.39","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","247.0","0.42","0.0","0.0","3.21","0.42","1.35","0.72","0.72","0.0","0.0","24.93","24.3","491.66","245.83","466.73","467.36","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","247.0","0.41","0.0","0.0","3.34","0.41","1.35","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","247.0","0.39","0.0","0.0","4.1","0.39","1.59","0.0","0.0","0.0","0.0","25.89","24.3","491.66","245.83","465.77","467.36","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","247.0","0.37","0.0","0.0","3.96","0.37","1.48","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","247.0","0.36","0.0","0.0","4.5","0.36","1.61","0.0","0.0","0.0","0.0","25.91","24.3","491.66","245.83","465.75","467.36","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","247.0","0.34","0.0","0.0","4.95","0.34","1.69","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","247.0","0.33","0.0","0.0","4.75","0.33","1.56","0.0","0.0","0.0","0.0","25.86","24.3","491.66","245.83","465.8","467.36","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","247.0","0.32","0.0","0.0","4.57","0.32","1.46","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","247.0","0.31","0.0","0.0","4.69","0.31","1.45","0.0","0.0","0.0","0.0","25.75","24.3","491.66","245.83","465.91","467.36","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","247.0","0.3","0.0","0.0","4.21","0.3","1.26","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","247.0","0.29","0.0","0.0","5.44","0.29","1.58","0.0","0.0","0.0","0.0","25.88","24.3","491.66","245.83","465.78","467.36","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","247.0","0.28","0.0","0.0","4.68","0.28","1.32","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","247.0","0.28","0.0","0.0","4.56","0.28","1.25","0.0","0.0","0.0","0.0","25.55","24.3","491.66","245.83","466.11","467.36","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","247.0","0.27","0.0","0.0","2.58","0.27","0.7","0.04","0.04","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","247.0","0.27","0.0","0.0","3.08","0.27","0.82","2.02","2.02","0.0","0.0","23.1","24.3","491.66","245.83","468.56","467.36","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","247.0","1.11","0.0","0.0","2.76","1.11","3.06","4.27","4.27","0.0","0.0","21.9","24.3","491.66","245.83","469.76","467.36","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","247.0","1.1","0.0","0.0","3.05","1.1","3.35","11.21","11.21","0.0","0.0","14.04","24.3","491.66","245.83","477.62","467.36","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","247.0","1.06","0.0","0.0","3.51","1.06","3.72","0.0","0.0","0.0","0.0","17.75","24.3","491.66","245.83","473.91","467.36","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","247.0","0.82","0.0","0.0","4.17","0.82","3.43","0.0","0.0","0.0","0.0","21.19","24.3","491.66","245.83","470.47","467.36","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","247.0","0.69","0.0","0.0","4.35","0.69","3.01","0.0","0.0","0.0","0.0","24.2","24.3","491.66","245.83","467.46","467.36","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","247.0","0.6","0.0","0.0","4.89","0.6","2.93","0.0","0.0","0.0","0.0","27.13","24.3","491.66","245.83","464.53","467.36","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","247.0","0.53","0.0","0.0","5.01","0.53","2.68","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","247.0","0.49","0.0","0.0","4.99","0.49","2.43","0.0","0.0","0.0","0.0","26.73","24.3","491.66","245.83","464.93","467.36","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","247.0","0.44","0.55","0.0","6.25","0.55","3.44","0.0","0.0","0.0","0.0","30.16","110.33","491.66","245.83","461.5","381.33","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","247.0","0.41","0.56","0.0","5.67","0.56","3.17","0.0","0.0","0.0","0.0","33.33","110.33","491.66","245.83","458.33","381.33","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","247.0","0.38","0.57","0.0","5.38","0.57","3.05","0.0","0.0","0.0","0.0","36.38","110.33","491.66","245.83","455.28","381.33","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","247.0","0.37","0.58","0.0","4.98","0.58","2.87","0.0","0.0","0.0","0.0","39.25","110.33","491.66","245.83","452.41","381.33","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","247.0","0.35","0.58","0.0","5.17","0.58","3.02","0.0","0.0","0.0","0.0","42.27","110.33","491.66","245.83","449.39","381.33","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","247.0","0.33","0.59","0.0","4.8","0.59","2.85","0.0","0.0","0.0","0.0","45.12","110.33","491.66","245.83","446.54","381.33","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","247.0","0.32","0.6","0.0","3.84","0.6","2.31","0.0","0.0","0.0","0.0","47.43","110.33","491.66","245.83","444.23","381.33","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","247.0","0.32","0.61","0.0","4.05","0.61","2.47","0.0","0.0","0.0","0.0","49.9","110.33","491.66","245.83","441.76","381.33","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","247.0","0.31","0.62","0.0","4.79","0.62","2.96","0.0","0.0","0.0","0.0","52.87","110.33","491.66","245.83","438.79","381.33","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","247.0","0.3","0.63","0.0","5.07","0.63","3.18","0.0","0.0","0.0","0.0","56.05","110.33","491.66","245.83","435.61","381.33","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","247.0","1.06","0.64","0.0","4.03","1.06","4.27","10.88","10.88","0.0","0.0","49.44","110.33","491.66","245.83","442.22","381.33","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","247.0","0.87","0.64","0.0","5.17","0.87","4.51","0.0","0.0","0.0","0.0","53.95","110.33","491.66","245.83","437.71","381.33","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","247.0","0.68","0.65","0.0","5.81","0.68","3.94","0.0","0.0","0.0","0.0","57.88","110.33","491.66","245.83","433.78","381.33","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","247.0","0.58","0.66","0.0","5.63","0.66","3.73","0.0","0.0","0.0","0.0","61.61","110.33","491.66","245.83","430.05","381.33","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","247.0","0.51","0.67","0.0","5.42","0.67","3.64","0.0","0.0","0.0","0.0","65.25","110.33","491.66","245.83","426.41","381.33","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","247.0","0.46","0.68","0.0","6.46","0.68","4.39","0.0","0.0","0.0","0.0","69.64","110.33","491.66","245.83","422.02","381.33","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","247.0","0.42","0.69","0.0","6.5","0.69","4.47","0.0","0.0","0.0","0.0","74.11","110.33","491.66","245.83","417.55","381.33","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","247.0","0.39","0.7","0.0","5.93","0.7","4.13","0.0","0.0","0.0","0.0","78.24","110.33","491.66","245.83","413.42","381.33","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","247.0","0.37","0.71","0.0","5.27","0.71","3.72","0.0","0.0","0.0","0.0","81.95","110.33","491.66","245.83","409.71","381.33","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","247.0","0.35","0.71","0.0","4.89","0.71","3.49","0.0","0.0","0.0","0.0","85.44","110.33","491.66","245.83","406.22","381.33","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","247.0","0.34","0.72","0.0","4.9","0.72","3.54","0.0","0.0","0.0","0.0","88.98","110.33","491.66","245.83","402.68","381.33","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","247.0","0.32","0.73","0.0","5.04","0.73","3.68","0.0","0.0","0.0","0.0","92.67","110.33","491.66","245.83","398.99","381.33","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","247.0","0.32","0.74","0.0","3.23","0.74","2.39","0.0","0.0","0.0","0.0","95.06","110.33","491.66","245.83","396.6","381.33","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","247.0","0.31","0.75","0.0","4.37","0.75","3.27","1.13","1.13","0.0","0.0","97.2","110.33","491.66","245.83","394.46","381.33","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","247.0","0.3","0.76","0.0","4.89","0.76","3.7","0.0","0.0","0.0","0.0","100.9","110.33","491.66","245.83","390.76","381.33","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","247.0","0.29","0.77","0.0","5.25","0.77","4.02","0.0","0.0","0.0","0.0","104.92","110.33","491.66","245.83","386.74","381.33","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","247.0","0.28","0.77","0.0","5.24","0.77","4.06","0.0","0.0","0.0","0.0","108.97","110.33","491.66","245.83","382.69","381.33","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","247.0","0.27","0.78","0.0","5.05","0.78","3.95","0.0","0.0","0.0","0.0","0.0","110.33","491.66","245.83","491.66","381.33","112.93","","","","","","","","",""
"2015.0","5.0","13.0","133.0","247.0","0.26","0.79","0.0","4.75","0.79","3.76","0.0","0.0","0.0","0.0","3.76","110.33","491.66","245.83","487.9","381.33","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","247.0","0.26","0.8","0.0","3.29","0.8","2.63","0.0","0.0","0.0","0.0","6.39","110.33","491.66","245.83","485.27","381.33","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","247.0","0.26","0.81","0.0","4.65","0.81","3.76","1.77","1.77","0.0","0.0","8.38","110.33","491.66","245.83","483.28","381.33","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","247.0","0.25","0.82","0.0","4.81","0.82","3.93","0.0","0.0","0.0","0.0","12.31","110.33","491.66","245.83","479.35","381.33","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","247.0","0.25","0.83","0.0","3.92","0.83","3.24","0.0","0.0","0.0","0.0","15.55","110.33","491.66","245.83","476.11","381.33","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","247.0","0.24","0.83","0.0","4.84","0.83","4.04","0.0","0.0","0.0","0.0","19.59","110.33","491.66","245.83","472.07","381.33","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","247.0","0.24","0.84","0.0","5.04","0.84","4.25","0.0","0.0","0.0","0.0","23.84","110.33","491.66","245.83","467.82","381.33","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","247.0","0.23","0.85","0.0","4.95","0.85","4.22","0.0","0.0","0.0","0.0","28.05","110.33","491.66","245.83","463.61","381.33","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","247.0","0.23","0.86","0.0","4.01","0.86","3.45","0.0","0.0","0.0","0.0","31.5","110.33","491.66","245.83","460.16","381.33","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","247.0","0.22","0.87","0.0","4.85","0.87","4.21","0.0","0.0","0.0","0.0","35.72","110.33","491.66","245.83","455.94","381.33","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","247.0","0.22","0.88","0.0","4.86","0.88","4.27","0.0","0.0","0.0","0.0","39.98","110.33","491.66","245.83","451.68","381.33","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","247.0","0.22","0.89","0.0","5.54","0.89","4.91","0.0","0.0","0.0","0.0","44.89","110.33","491.66","245.83","446.77","381.33","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","247.0","0.21","0.89","0.0","5.5","0.89","4.92","0.0","0.0","0.0","0.0","49.81","110.33","491.66","245.83","441.85","381.33","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","247.0","0.21","0.9","0.0","5.52","0.9","4.99","0.0","0.0","0.0","0.0","54.8","110.33","491.66","245.83","436.86","381.33","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","247.0","0.2","0.91","0.0","5.56","0.91","5.07","0.0","0.0","0.0","0.0","59.87","110.33","491.66","245.83","431.79","381.33","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","247.0","0.2","0.92","0.0","5.42","0.92","4.99","0.0","0.0","0.0","0.0","64.86","110.33","491.66","245.83","426.8","381.33","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","247.0","0.2","0.93","0.0","6.13","0.93","5.7","0.0","0.0","0.0","0.0","70.56","110.33","491.66","245.83","421.1","381.33","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","247.0","0.19","0.94","0.0","6.48","0.94","6.08","0.0","0.0","0.0","0.0","76.64","110.33","491.66","245.83","415.02","381.33","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","247.0","0.19","0.95","0.0","5.44","0.95","5.15","0.0","0.0","0.0","0.0","81.79","110.33","491.66","245.83","409.87","381.33","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","247.0","0.19","0.96","0.0","5.54","0.96","5.29","0.0","0.0","0.0","0.0","87.08","110.33","491.66","245.83","404.58","381.33","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","247.0","0.19","0.96","0.0","5.77","0.96","5.56","0.0","0.0","0.0","0.0","92.64","110.33","491.66","245.83","399.02","381.33","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","247.0","0.18","0.97","0.0","5.57","0.97","5.42","0.0","0.0","0.0","0.0","98.06","110.33","491.66","245.83","393.6","381.33","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","247.0","0.18","0.98","0.0","5.83","0.98","5.72","0.0","0.0","0.0","0.0","103.77","110.33","491.66","245.83","387.89","381.33","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","247.0","0.18","0.99","0.0","6.52","0.99","6.45","0.0","0.0","0.0","0.0","110.23","110.33","491.66","245.83","381.43","381.33","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","247.0","0.17","1.0","0.0","6.39","1.0","6.38","0.0","0.0","0.0","0.0","0.0","110.33","491.66","245.83","491.66","381.33","116.61","","","","","","","","",""
"2015.0","6.0","7.0","158.0","247.0","0.17","1.01","0.0","6.75","1.01","6.8","0.0","0.0","0.0","0.0","6.8","110.33","491.66","245.83","484.86","381.33","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","247.0","0.17","1.02","0.0","7.39","1.02","7.5","0.0","0.0","0.0","0.0","14.3","110.33","491.66","245.83","477.36","381.33","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","247.0","0.17","1.02","0.0","6.66","1.02","6.82","0.0","0.0","0.0","0.0","21.12","110.33","491.66","245.83","470.54","381.33","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","247.0","0.17","1.03","0.0","3.04","1.03","3.14","0.1","0.1","0.0","0.0","24.16","110.33","491.66","245.83","467.5","381.33","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","247.0","0.16","1.04","0.0","6.89","1.04","7.18","3.61","3.61","0.0","0.0","27.73","110.33","491.66","245.83","463.93","381.33","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","247.0","0.16","1.05","0.0","7.67","1.05","8.05","0.0","0.0","0.0","0.0","35.78","110.33","491.66","245.83","455.88","381.33","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","247.0","0.16","1.05","0.0","7.55","1.05","7.93","0.0","0.0","0.0","0.0","43.71","110.33","491.66","245.83","447.95","381.33","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","247.0","0.16","1.05","0.0","6.8","1.05","7.14","0.0","0.0","0.0","0.0","50.85","110.33","491.66","245.83","440.81","381.33","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","247.0","0.15","1.05","0.0","6.63","1.05","6.96","0.0","0.0","0.0","0.0","57.81","110.33","491.66","245.83","433.85","381.33","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","247.0","0.15","1.05","0.0","6.95","1.05","7.3","0.0","0.0","0.0","0.0","65.11","110.33","491.66","245.83","426.55","381.33","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","247.0","0.15","1.05","0.0","6.98","1.05","7.33","0.0","0.0","0.0","0.0","72.44","110.33","491.66","245.83","419.22","381.33","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","247.0","0.15","1.05","0.0","7.54","1.05","7.92","0.0","0.0","0.0","0.0","80.35","110.33","491.66","245.83","411.31","381.33","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","247.0","0.15","1.05","0.0","7.41","1.05","7.78","0.0","0.0","0.0","0.0","88.13","110.33","491.66","245.83","403.53","381.33","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","247.0","0.15","1.05","0.0","6.95","1.05","7.3","0.0","0.0","0.0","0.0","95.43","110.33","491.66","245.83","396.23","381.33","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","247.0","0.14","1.05","0.0","7.57","1.05","7.95","0.0","0.0","0.0","0.0","103.38","110.33","491.66","245.83","388.28","381.33","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","247.0","0.14","1.05","0.0","7.07","1.05","7.42","0.0","0.0","0.0","0.0","0.0","110.33","491.66","245.83","491.66","381.33","110.8","","","","","","","","",""
"2015.0","6.0","23.0","174.0","247.0","0.14","1.05","0.0","7.35","1.05","7.72","0.0","0.0","0.0","0.0","7.72","110.33","491.66","245.83","483.94","381.33","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","247.0","0.14","1.05","0.0","7.29","1.05","7.65","0.0","0.0","0.0","0.0","15.37","110.33","491.66","245.83","476.29","381.33","0.0","","","","","","","","",""
"2015.0","6.0","25.0","176.0","247.0","0.14","1.05","0.0","7.98","1.05","8.38","0.0","0.0","0.0","0.0","23.75","110.33","491.66","245.83","467.91","381.33","0.0","","","","","","","","",""
"2015.0","6.0","26.0","177.0","247.0","0.14","1.05","0.0","8.25","1.05","8.66","0.0","0.0","0.0","0.0","32.41","110.33","491.66","245.83","459.25","381.33","0.0","","","","","","","","",""
