" Daily soil water balance output for Vineyard in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Vineyard in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","2.0","8.0","39.0","11322.0","1.17","0.0","0.0","1.29","1.17","1.51","4.7","1.51","0.0","0.0","0.0","24.75","502.92","251.46","502.92","478.17","0.0","","","","","","","","",""
"2015.0","2.0","9.0","40.0","11322.0","1.14","0.0","0.0","1.97","1.14","2.25","23.02","2.25","0.0","0.0","0.0","24.75","502.92","251.46","502.92","478.17","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","11322.0","1.14","0.0","0.0","1.83","1.14","2.09","0.18","0.18","0.0","0.0","1.91","24.75","502.92","251.46","501.01","478.17","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","11322.0","1.15","0.0","0.0","1.59","1.15","1.83","0.0","0.0","0.0","0.0","3.74","24.75","502.92","251.46","499.18","478.17","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","11322.0","1.03","0.0","0.0","1.98","1.03","2.03","0.0","0.0","0.0","0.0","5.77","24.75","502.92","251.46","497.15","478.17","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","11322.0","0.91","0.0","0.0","2.03","0.91","1.84","0.0","0.0","0.0","0.0","7.61","24.75","502.92","251.46","495.31","478.17","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","11322.0","0.82","0.0","0.0","2.18","0.82","1.78","0.0","0.0","0.0","0.0","9.39","24.75","502.92","251.46","493.53","478.17","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","11322.0","0.75","0.0","0.0","2.09","0.75","1.57","0.0","0.0","0.0","0.0","10.96","24.75","502.92","251.46","491.96","478.17","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","11322.0","0.7","0.0","0.0","2.24","0.7","1.56","0.0","0.0","0.0","0.0","12.52","24.75","502.92","251.46","490.4","478.17","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","11322.0","0.66","0.0","0.0","1.94","0.66","1.28","0.0","0.0","0.0","0.0","13.8","24.75","502.92","251.46","489.12","478.17","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","11322.0","0.63","0.0","0.0","1.5","0.63","0.95","0.0","0.0","0.0","0.0","14.74","24.75","502.92","251.46","488.18","478.17","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","11322.0","0.62","0.0","0.0","1.08","0.62","0.66","0.0","0.0","0.0","0.0","15.41","24.75","502.92","251.46","487.51","478.17","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","11322.0","0.59","0.0","0.0","1.97","0.59","1.16","0.0","0.0","0.0","0.0","16.57","24.75","502.92","251.46","486.35","478.17","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","11322.0","0.57","0.0","0.0","1.62","0.57","0.92","0.0","0.0","0.0","0.0","17.49","24.75","502.92","251.46","485.43","478.17","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","11322.0","0.53","0.0","0.0","3.74","0.53","1.97","0.0","0.0","0.0","0.0","19.46","24.75","502.92","251.46","483.46","478.17","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","11322.0","0.49","0.0","0.0","4.35","0.49","2.13","0.0","0.0","0.0","0.0","21.58","24.75","502.92","251.46","481.34","478.17","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","11322.0","0.47","0.0","0.0","2.85","0.47","1.33","0.0","0.0","0.0","0.0","22.92","24.75","502.92","251.46","480.0","478.17","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","11322.0","0.45","0.0","0.0","2.19","0.45","0.99","0.0","0.0","0.0","0.0","23.91","24.75","502.92","251.46","479.01","478.17","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","11322.0","0.44","0.0","0.0","3.07","0.44","1.34","0.0","0.0","0.0","0.0","25.25","24.75","502.92","251.46","477.67","478.17","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","11322.0","0.42","0.0","0.0","2.77","0.42","1.17","0.0","0.0","0.0","0.0","24.75","24.75","502.92","251.46","478.17","478.17","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","11322.0","0.41","0.0","0.0","1.93","0.41","0.8","0.0","0.0","0.0","0.0","25.55","24.75","502.92","251.46","477.37","478.17","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","11322.0","0.4","0.0","0.0","2.68","0.4","1.07","0.0","0.0","0.0","0.0","24.75","24.75","502.92","251.46","478.17","478.17","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","11322.0","0.39","0.0","0.0","2.33","0.39","0.91","0.0","0.0","0.0","0.0","25.66","24.75","502.92","251.46","477.26","478.17","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","11322.0","0.38","0.0","0.0","2.59","0.38","0.99","1.02","1.02","0.0","0.0","24.64","24.75","502.92","251.46","478.28","478.17","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","11322.0","0.37","0.0","0.0","2.6","0.37","0.97","0.0","0.0","0.0","0.0","25.61","24.75","502.92","251.46","477.31","478.17","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","11322.0","0.36","0.0","0.0","2.79","0.36","1.01","0.0","0.0","0.0","0.0","24.75","24.75","502.92","251.46","478.17","478.17","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","11322.0","0.35","0.0","0.0","3.0","0.35","1.06","0.0","0.0","0.0","0.0","25.81","24.75","502.92","251.46","477.11","478.17","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","11322.0","0.35","0.0","0.0","2.8","0.35","0.97","0.0","0.0","0.0","0.0","24.75","24.75","502.92","251.46","478.17","478.17","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","11322.0","0.34","0.0","0.0","2.98","0.34","1.01","0.0","0.0","0.0","0.0","25.76","24.75","502.92","251.46","477.16","478.17","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","11322.0","0.33","0.0","0.0","3.06","0.33","1.01","0.0","0.0","0.0","0.0","24.75","24.75","502.92","251.46","478.17","478.17","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","11322.0","0.32","0.0","0.0","2.4","0.32","0.78","0.0","0.0","0.0","0.0","25.53","24.75","502.92","251.46","477.39","478.17","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","11322.0","0.32","0.0","0.0","2.11","0.32","0.67","1.32","1.32","0.0","0.0","24.21","24.75","502.92","251.46","478.71","478.17","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","11322.0","1.08","0.0","0.0","3.47","1.08","3.75","3.55","3.55","0.0","0.0","24.41","24.75","502.92","251.46","478.51","478.17","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","11322.0","1.06","0.0","0.0","3.11","1.06","3.29","0.0","0.0","0.0","0.0","27.7","24.75","502.92","251.46","475.22","478.17","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","11322.0","0.86","0.0","0.0","3.29","0.86","2.84","0.0","0.0","0.0","0.0","24.75","24.75","502.92","251.46","478.17","478.17","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","11322.0","0.73","0.0","0.0","3.85","0.73","2.81","0.0","0.0","0.0","0.0","27.56","24.75","502.92","251.46","475.36","478.17","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","11322.0","0.68","0.0","0.0","2.46","0.68","1.66","0.0","0.0","0.0","0.0","24.75","24.75","502.92","251.46","478.17","478.17","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","11322.0","0.61","0.0","0.0","3.49","0.61","2.13","0.0","0.0","0.0","0.0","26.88","24.75","502.92","251.46","476.04","478.17","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","11322.0","0.56","0.0","0.0","3.89","0.56","2.17","0.0","0.0","0.0","0.0","24.75","24.75","502.92","251.46","478.17","478.17","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","11322.0","0.52","0.0","0.0","3.94","0.52","2.03","0.0","0.0","0.0","0.0","26.78","24.75","502.92","251.46","476.14","478.17","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","11322.0","0.49","0.0","0.0","3.11","0.49","1.52","0.0","0.0","0.0","0.0","24.75","24.75","502.92","251.46","478.17","478.17","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","11322.0","0.46","0.0","0.0","3.63","0.46","1.68","0.0","0.0","0.0","0.0","26.43","24.75","502.92","251.46","476.49","478.17","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","11322.0","0.44","0.0","0.0","3.27","0.44","1.45","0.0","0.0","0.0","0.0","24.75","24.75","502.92","251.46","478.17","478.17","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","11322.0","0.42","0.0","0.0","3.28","0.42","1.39","0.25","0.25","0.0","0.0","25.89","24.75","502.92","251.46","477.03","478.17","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","11322.0","0.41","0.0","0.0","3.19","0.41","1.3","0.0","0.0","0.0","0.0","24.75","24.75","502.92","251.46","478.17","478.17","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","11322.0","0.39","0.0","0.0","4.23","0.39","1.65","0.0","0.0","0.0","0.0","26.4","24.75","502.92","251.46","476.52","478.17","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","11322.0","0.37","0.0","0.0","3.92","0.37","1.47","0.0","0.0","0.0","0.0","24.75","24.75","502.92","251.46","478.17","478.17","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","11322.0","0.36","0.0","0.0","4.55","0.36","1.63","0.0","0.0","0.0","0.0","26.38","24.75","502.92","251.46","476.54","478.17","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","11322.0","0.34","0.0","0.0","4.99","0.34","1.71","0.0","0.0","0.0","0.0","24.75","24.75","502.92","251.46","478.17","478.17","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","11322.0","0.33","0.0","0.0","4.76","0.33","1.57","0.0","0.0","0.0","0.0","26.32","24.75","502.92","251.46","476.6","478.17","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","11322.0","0.32","0.0","0.0","4.57","0.32","1.46","0.0","0.0","0.0","0.0","24.75","24.75","502.92","251.46","478.17","478.17","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","11322.0","0.31","0.0","0.0","4.61","0.31","1.43","0.0","0.0","0.0","0.0","26.18","24.75","502.92","251.46","476.74","478.17","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","11322.0","0.3","0.45","0.0","4.22","0.45","1.9","0.0","0.0","0.0","0.0","28.07","112.06","502.92","251.46","474.85","390.86","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","11322.0","0.29","0.46","0.0","5.59","0.46","2.55","0.0","0.0","0.0","0.0","30.62","112.06","502.92","251.46","472.3","390.86","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","11322.0","0.28","0.46","0.0","4.63","0.46","2.14","0.0","0.0","0.0","0.0","32.76","112.06","502.92","251.46","470.16","390.86","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","11322.0","0.28","0.47","0.0","4.53","0.47","2.12","0.0","0.0","0.0","0.0","34.89","112.06","502.92","251.46","468.03","390.86","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","11322.0","0.27","0.47","0.0","2.58","0.47","1.22","0.0","0.0","0.0","0.0","36.11","112.06","502.92","251.46","466.81","390.86","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","11322.0","0.27","0.48","0.0","2.98","0.48","1.43","1.42","1.42","0.0","0.0","36.12","112.06","502.92","251.46","466.8","390.86","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","11322.0","1.12","0.49","0.0","2.41","1.12","2.71","6.49","6.49","0.0","0.0","32.34","112.06","502.92","251.46","470.58","390.86","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","11322.0","1.1","0.49","0.0","2.91","1.1","3.21","13.25","13.25","0.0","0.0","22.3","112.06","502.92","251.46","480.62","390.86","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","11322.0","1.07","0.5","0.0","3.48","1.07","3.74","0.0","0.0","0.0","0.0","26.04","112.06","502.92","251.46","476.88","390.86","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","11322.0","0.83","0.51","0.0","4.13","0.83","3.44","0.0","0.0","0.0","0.0","29.48","112.06","502.92","251.46","473.44","390.86","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","11322.0","0.7","0.51","0.0","4.29","0.7","3.0","0.0","0.0","0.0","0.0","32.48","112.06","502.92","251.46","470.44","390.86","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","11322.0","0.6","0.52","0.0","4.97","0.6","2.99","0.0","0.0","0.0","0.0","35.48","112.06","502.92","251.46","467.44","390.86","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","11322.0","0.53","0.52","0.0","5.12","0.53","2.74","0.0","0.0","0.0","0.0","38.22","112.06","502.92","251.46","464.7","390.86","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","11322.0","0.49","0.53","0.0","4.85","0.53","2.57","0.0","0.0","0.0","0.0","40.79","112.06","502.92","251.46","462.13","390.86","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","11322.0","0.44","0.54","0.0","6.7","0.54","3.59","0.0","0.0","0.0","0.0","44.38","112.06","502.92","251.46","458.54","390.86","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","11322.0","0.4","0.54","0.0","6.12","0.54","3.32","0.0","0.0","0.0","0.0","47.69","112.06","502.92","251.46","455.23","390.86","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","11322.0","0.38","0.55","0.0","5.33","0.55","2.92","0.0","0.0","0.0","0.0","50.62","112.06","502.92","251.46","452.3","390.86","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","11322.0","0.36","0.55","0.0","5.03","0.55","2.79","0.0","0.0","0.0","0.0","53.41","112.06","502.92","251.46","449.51","390.86","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","11322.0","0.34","0.56","0.0","5.36","0.56","3.0","0.0","0.0","0.0","0.0","56.41","112.06","502.92","251.46","446.51","390.86","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","11322.0","0.33","0.57","0.0","4.9","0.57","2.78","0.0","0.0","0.0","0.0","59.19","112.06","502.92","251.46","443.73","390.86","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","11322.0","0.32","0.57","0.0","3.95","0.57","2.26","0.0","0.0","0.0","0.0","61.45","112.06","502.92","251.46","441.47","390.86","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","11322.0","0.31","0.58","0.0","4.22","0.58","2.44","0.0","0.0","0.0","0.0","63.89","112.06","502.92","251.46","439.03","390.86","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","11322.0","0.3","0.59","0.0","4.83","0.59","2.83","0.0","0.0","0.0","0.0","66.72","112.06","502.92","251.46","436.2","390.86","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","11322.0","0.29","0.59","0.0","4.92","0.59","2.91","0.0","0.0","0.0","0.0","69.63","112.06","502.92","251.46","433.29","390.86","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","11322.0","1.06","0.6","0.0","4.12","1.06","4.35","14.13","14.13","0.0","0.0","59.84","112.06","502.92","251.46","443.08","390.86","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","11322.0","0.87","0.6","0.0","5.12","0.87","4.46","0.0","0.0","0.0","0.0","64.3","112.06","502.92","251.46","438.62","390.86","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","11322.0","0.67","0.61","0.0","6.14","0.67","4.1","0.0","0.0","0.0","0.0","68.4","112.06","502.92","251.46","434.52","390.86","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","11322.0","0.57","0.62","0.0","5.67","0.62","3.49","0.0","0.0","0.0","0.0","71.89","112.06","502.92","251.46","431.03","390.86","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","11322.0","0.51","0.62","0.0","5.35","0.62","3.33","0.0","0.0","0.0","0.0","75.22","112.06","502.92","251.46","427.7","390.86","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","11322.0","0.45","0.63","0.0","6.54","0.63","4.11","0.0","0.0","0.0","0.0","79.33","112.06","502.92","251.46","423.59","390.86","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","11322.0","0.41","0.63","0.0","6.55","0.63","4.15","0.0","0.0","0.0","0.0","83.48","112.06","502.92","251.46","419.44","390.86","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","11322.0","0.38","0.64","0.0","6.19","0.64","3.96","0.0","0.0","0.0","0.0","87.45","112.06","502.92","251.46","415.47","390.86","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","11322.0","0.36","0.65","0.0","5.44","0.65","3.52","0.0","0.0","0.0","0.0","90.96","112.06","502.92","251.46","411.96","390.86","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","11322.0","0.35","0.65","0.0","4.95","0.65","3.23","0.0","0.0","0.0","0.0","94.19","112.06","502.92","251.46","408.73","390.86","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","11322.0","0.33","0.66","0.0","4.89","0.66","3.22","0.0","0.0","0.0","0.0","97.41","112.06","502.92","251.46","405.51","390.86","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","11322.0","0.32","0.66","0.0","5.24","0.66","3.48","0.0","0.0","0.0","0.0","100.9","112.06","502.92","251.46","402.02","390.86","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","11322.0","0.31","0.67","0.0","4.2","0.67","2.82","0.45","0.45","0.0","0.0","103.27","112.06","502.92","251.46","399.65","390.86","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","11322.0","0.3","0.68","0.0","4.53","0.68","3.07","0.55","0.55","0.0","0.0","105.78","112.06","502.92","251.46","397.14","390.86","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","11322.0","0.29","0.68","0.0","5.14","0.68","3.51","0.0","0.0","0.0","0.0","109.3","112.06","502.92","251.46","393.62","390.86","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","11322.0","0.28","0.69","0.0","5.31","0.69","3.66","0.0","0.0","0.0","0.0","0.0","112.06","502.92","251.46","502.92","390.86","112.96","","","","","","","","",""
"2015.0","5.0","11.0","131.0","11322.0","0.27","0.7","0.0","5.28","0.7","3.67","0.0","0.0","0.0","0.0","3.67","112.06","502.92","251.46","499.25","390.86","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","11322.0","0.27","0.7","0.0","5.03","0.7","3.53","0.0","0.0","0.0","0.0","7.2","112.06","502.92","251.46","495.72","390.86","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","11322.0","0.26","0.71","0.0","4.79","0.71","3.39","0.0","0.0","0.0","0.0","10.59","112.06","502.92","251.46","492.33","390.86","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","11322.0","0.26","0.71","0.0","3.95","0.71","2.82","0.0","0.0","0.0","0.0","13.41","112.06","502.92","251.46","489.51","390.86","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","11322.0","0.25","0.72","0.0","4.75","0.72","3.42","0.02","0.02","0.0","0.0","16.81","112.06","502.92","251.46","486.11","390.86","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","11322.0","0.24","0.73","0.0","4.87","0.73","3.54","0.0","0.0","0.0","0.0","20.35","112.06","502.92","251.46","482.57","390.86","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","11322.0","0.24","0.73","0.0","4.0","0.73","2.93","0.0","0.0","0.0","0.0","23.28","112.06","502.92","251.46","479.64","390.86","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","11322.0","0.24","0.74","0.0","4.7","0.74","3.47","0.0","0.0","0.0","0.0","26.75","112.06","502.92","251.46","476.17","390.86","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","11322.0","0.23","0.74","0.0","5.07","0.74","3.78","0.0","0.0","0.0","0.0","30.53","112.06","502.92","251.46","472.39","390.86","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","11322.0","0.23","0.75","0.0","5.05","0.75","3.79","0.0","0.0","0.0","0.0","34.32","112.06","502.92","251.46","468.6","390.86","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","11322.0","0.22","0.76","0.0","4.58","0.76","3.47","0.0","0.0","0.0","0.0","37.79","112.06","502.92","251.46","465.13","390.86","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","11322.0","0.22","0.76","0.0","4.94","0.76","3.77","0.0","0.0","0.0","0.0","41.56","112.06","502.92","251.46","461.36","390.86","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","11322.0","0.22","0.77","0.0","4.77","0.77","3.67","0.0","0.0","0.0","0.0","45.23","112.06","502.92","251.46","457.69","390.86","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","11322.0","0.21","0.78","0.0","5.77","0.78","4.47","0.0","0.0","0.0","0.0","49.7","112.06","502.92","251.46","453.22","390.86","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","11322.0","0.21","0.78","0.0","5.58","0.78","4.36","0.0","0.0","0.0","0.0","54.06","112.06","502.92","251.46","448.86","390.86","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","11322.0","0.2","0.79","0.0","5.63","0.79","4.43","0.0","0.0","0.0","0.0","58.5","112.06","502.92","251.46","444.42","390.86","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","11322.0","0.2","0.79","0.0","5.67","0.79","4.5","0.0","0.0","0.0","0.0","63.0","112.06","502.92","251.46","439.92","390.86","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","11322.0","0.2","0.8","0.0","5.48","0.8","4.38","0.0","0.0","0.0","0.0","67.38","112.06","502.92","251.46","435.54","390.86","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","11322.0","0.19","0.8","0.0","6.16","0.8","4.93","0.0","0.0","0.0","0.0","72.31","112.06","502.92","251.46","430.61","390.86","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","11322.0","0.19","0.8","0.0","6.49","0.8","5.19","0.0","0.0","0.0","0.0","77.5","112.06","502.92","251.46","425.42","390.86","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","11322.0","0.19","0.8","0.0","5.57","0.8","4.46","0.0","0.0","0.0","0.0","81.96","112.06","502.92","251.46","420.96","390.86","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","11322.0","0.19","0.8","0.0","5.56","0.8","4.45","0.0","0.0","0.0","0.0","86.41","112.06","502.92","251.46","416.51","390.86","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","11322.0","0.18","0.8","0.0","5.75","0.8","4.6","0.0","0.0","0.0","0.0","91.01","112.06","502.92","251.46","411.91","390.86","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","11322.0","0.18","0.8","0.0","5.65","0.8","4.52","0.0","0.0","0.0","0.0","95.53","112.06","502.92","251.46","407.39","390.86","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","11322.0","0.18","0.8","0.0","5.94","0.8","4.75","0.0","0.0","0.0","0.0","100.28","112.06","502.92","251.46","402.64","390.86","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","11322.0","0.17","0.8","0.0","6.93","0.8","5.54","0.0","0.0","0.0","0.0","105.82","112.06","502.92","251.46","397.1","390.86","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","11322.0","0.17","0.8","0.0","6.53","0.8","5.22","0.01","0.01","0.0","0.0","111.04","112.06","502.92","251.46","391.88","390.86","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","11322.0","0.17","0.8","0.0","7.06","0.8","5.65","0.0","0.0","0.0","0.0","0.0","112.06","502.92","251.46","502.92","390.86","116.69","","","","","","","","",""
"2015.0","6.0","8.0","159.0","11322.0","0.17","0.8","0.0","7.42","0.8","5.94","0.0","0.0","0.0","0.0","5.94","112.06","502.92","251.46","496.98","390.86","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","11322.0","0.16","0.8","0.0","7.22","0.8","5.78","0.0","0.0","0.0","0.0","11.71","112.06","502.92","251.46","491.21","390.86","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","11322.0","0.16","0.8","0.0","2.57","0.8","2.06","0.07","0.07","0.0","0.0","13.7","112.06","502.92","251.46","489.22","390.86","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","11322.0","0.16","0.8","0.0","7.16","0.8","5.73","1.22","1.22","0.0","0.0","18.21","112.06","502.92","251.46","484.71","390.86","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","11322.0","0.16","0.8","0.0","8.08","0.8","6.46","0.0","0.0","0.0","0.0","24.67","112.06","502.92","251.46","478.25","390.86","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","11322.0","0.16","0.8","0.0","7.66","0.8","6.13","0.0","0.0","0.0","0.0","30.8","112.06","502.92","251.46","472.12","390.86","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","11322.0","0.15","0.8","0.0","6.92","0.8","5.54","0.0","0.0","0.0","0.0","36.33","112.06","502.92","251.46","466.59","390.86","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","11322.0","0.15","0.8","0.0","6.72","0.8","5.38","0.0","0.0","0.0","0.0","41.71","112.06","502.92","251.46","461.21","390.86","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","11322.0","0.15","0.8","0.0","7.03","0.8","5.62","0.0","0.0","0.0","0.0","47.33","112.06","502.92","251.46","455.59","390.86","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","11322.0","0.15","0.8","0.0","6.97","0.8","5.58","0.0","0.0","0.0","0.0","52.91","112.06","502.92","251.46","450.01","390.86","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","11322.0","0.15","0.8","0.0","7.75","0.8","6.2","0.0","0.0","0.0","0.0","59.11","112.06","502.92","251.46","443.81","390.86","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","11322.0","0.14","0.8","0.0","7.43","0.8","5.94","0.0","0.0","0.0","0.0","65.05","112.06","502.92","251.46","437.87","390.86","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","11322.0","0.14","0.8","0.0","7.17","0.8","5.74","0.0","0.0","0.0","0.0","70.79","112.06","502.92","251.46","432.13","390.86","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","11322.0","0.14","0.8","0.0","7.78","0.8","6.22","0.0","0.0","0.0","0.0","77.01","112.06","502.92","251.46","425.91","390.86","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","11322.0","0.14","0.8","0.0","6.99","0.8","5.59","0.0","0.0","0.0","0.0","82.61","112.06","502.92","251.46","420.31","390.86","0.0","","","","","","","","",""
"2015.0","6.0","23.0","174.0","11322.0","0.14","0.8","0.0","7.45","0.8","5.96","0.0","0.0","0.0","0.0","88.57","112.06","502.92","251.46","414.35","390.86","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","11322.0","0.14","0.8","0.0","7.51","0.8","6.01","0.0","0.0","0.0","0.0","94.57","112.06","502.92","251.46","408.35","390.86","0.0","","","","","","","","",""
