" Daily soil water balance output for Vineyard in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Vineyard in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","2.0","8.0","39.0","1678.0","1.17","0.0","0.0","1.3","1.17","1.52","4.76","1.52","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","","","",""
"2015.0","2.0","9.0","40.0","1678.0","1.14","0.0","0.0","2.0","1.14","2.28","20.3","2.28","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","1678.0","1.14","0.0","0.0","1.82","1.14","2.08","0.0","0.0","0.0","0.0","2.08","26.4","536.45","268.22","534.37","510.05","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","1678.0","1.15","0.0","0.0","1.61","1.15","1.85","0.0","0.0","0.0","0.0","3.93","26.4","536.45","268.22","532.52","510.05","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","1678.0","1.02","0.0","0.0","1.97","1.02","2.02","0.0","0.0","0.0","0.0","5.94","26.4","536.45","268.22","530.5","510.05","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","1678.0","0.91","0.0","0.0","2.0","0.91","1.81","0.0","0.0","0.0","0.0","7.76","26.4","536.45","268.22","528.69","510.05","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","1678.0","0.82","0.0","0.0","2.16","0.82","1.77","0.0","0.0","0.0","0.0","9.53","26.4","536.45","268.22","526.92","510.05","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","1678.0","0.75","0.0","0.0","2.09","0.75","1.57","0.0","0.0","0.0","0.0","11.1","26.4","536.45","268.22","525.35","510.05","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","1678.0","0.7","0.0","0.0","2.19","0.7","1.53","0.0","0.0","0.0","0.0","12.63","26.4","536.45","268.22","523.82","510.05","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","1678.0","0.66","0.0","0.0","1.85","0.66","1.22","0.0","0.0","0.0","0.0","13.85","26.4","536.45","268.22","522.6","510.05","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","1678.0","0.63","0.0","0.0","1.58","0.63","1.0","0.0","0.0","0.0","0.0","14.85","26.4","536.45","268.22","521.6","510.05","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","1678.0","0.62","0.0","0.0","1.04","0.62","0.64","0.0","0.0","0.0","0.0","15.49","26.4","536.45","268.22","520.96","510.05","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","1678.0","0.59","0.0","0.0","2.0","0.59","1.18","0.0","0.0","0.0","0.0","16.67","26.4","536.45","268.22","519.78","510.05","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","1678.0","0.57","0.0","0.0","1.73","0.57","0.98","0.0","0.0","0.0","0.0","17.65","26.4","536.45","268.22","518.8","510.05","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","1678.0","0.53","0.0","0.0","3.63","0.53","1.92","0.0","0.0","0.0","0.0","19.57","26.4","536.45","268.22","516.88","510.05","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","1678.0","0.49","0.0","0.0","4.25","0.49","2.08","0.0","0.0","0.0","0.0","21.65","26.4","536.45","268.22","514.8","510.05","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","1678.0","0.47","0.0","0.0","2.81","0.47","1.32","0.0","0.0","0.0","0.0","22.97","26.4","536.45","268.22","513.48","510.05","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","1678.0","0.46","0.0","0.0","2.18","0.46","0.99","0.0","0.0","0.0","0.0","23.96","26.4","536.45","268.22","512.49","510.05","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","1678.0","0.44","0.0","0.0","3.03","0.44","1.33","0.0","0.0","0.0","0.0","25.29","26.4","536.45","268.22","511.16","510.05","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","1678.0","0.42","0.0","0.0","2.87","0.42","1.21","0.0","0.0","0.0","0.0","26.5","26.4","536.45","268.22","509.95","510.05","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","1678.0","0.41","0.0","0.0","2.01","0.41","0.83","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","1678.0","0.4","0.0","0.0","2.65","0.4","1.06","0.0","0.0","0.0","0.0","27.46","26.4","536.45","268.22","508.99","510.05","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","1678.0","0.39","0.0","0.0","2.24","0.39","0.88","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","1678.0","1.12","0.0","0.0","2.55","1.12","2.85","3.36","3.36","0.0","0.0","25.89","26.4","536.45","268.22","510.56","510.05","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","1678.0","1.12","0.0","0.0","2.6","1.12","2.9","0.0","0.0","0.0","0.0","28.8","26.4","536.45","268.22","507.65","510.05","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","1678.0","0.97","0.0","0.0","2.79","0.97","2.72","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","1678.0","0.83","0.0","0.0","2.99","0.83","2.48","0.0","0.0","0.0","0.0","28.88","26.4","536.45","268.22","507.57","510.05","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","1678.0","0.74","0.0","0.0","2.81","0.74","2.08","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","1678.0","0.67","0.0","0.0","2.94","0.67","1.97","0.0","0.0","0.0","0.0","28.37","26.4","536.45","268.22","508.08","510.05","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","1678.0","0.62","0.0","0.0","2.98","0.62","1.84","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","1678.0","0.58","0.0","0.0","2.3","0.58","1.34","0.0","0.0","0.0","0.0","27.74","26.4","536.45","268.22","508.7","510.05","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","1678.0","0.56","0.0","0.0","2.11","0.56","1.18","0.83","0.83","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","1678.0","1.08","0.0","0.0","3.41","1.08","3.7","4.58","4.58","0.0","0.0","25.52","26.4","536.45","268.22","510.93","510.05","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","1678.0","1.07","0.0","0.0","3.03","1.07","3.24","0.0","0.0","0.0","0.0","28.76","26.4","536.45","268.22","507.69","510.05","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","1678.0","0.87","0.0","0.0","3.23","0.87","2.82","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","1678.0","0.74","0.0","0.0","3.74","0.74","2.77","0.0","0.0","0.0","0.0","29.17","26.4","536.45","268.22","507.28","510.05","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","1678.0","0.68","0.0","0.0","2.43","0.68","1.66","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","1678.0","0.62","0.0","0.0","3.53","0.62","2.18","0.0","0.0","0.0","0.0","28.58","26.4","536.45","268.22","507.87","510.05","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","1678.0","0.56","0.0","0.0","3.85","0.56","2.17","0.01","0.01","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","1678.0","0.52","0.0","0.0","3.88","0.52","2.02","0.0","0.0","0.0","0.0","28.42","26.4","536.45","268.22","508.03","510.05","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","1678.0","0.49","0.0","0.0","3.07","0.49","1.51","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","1678.0","0.47","0.0","0.0","3.6","0.47","1.68","0.0","0.0","0.0","0.0","28.08","26.4","536.45","268.22","508.37","510.05","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","1678.0","0.44","0.0","0.0","3.31","0.44","1.47","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","1678.0","0.43","0.0","0.0","3.28","0.43","1.4","0.11","0.11","0.0","0.0","27.69","26.4","536.45","268.22","508.76","510.05","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","1678.0","0.41","0.0","0.0","3.19","0.41","1.31","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","1678.0","0.39","0.0","0.0","4.18","0.39","1.64","0.0","0.0","0.0","0.0","28.04","26.4","536.45","268.22","508.41","510.05","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","1678.0","0.38","0.0","0.0","3.88","0.38","1.46","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","1678.0","0.36","0.0","0.0","4.4","0.36","1.59","0.0","0.0","0.0","0.0","27.99","26.4","536.45","268.22","508.46","510.05","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","1678.0","0.35","0.0","0.0","4.93","0.35","1.7","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","1678.0","0.33","0.0","0.0","4.71","0.33","1.57","0.0","0.0","0.0","0.0","27.97","26.4","536.45","268.22","508.48","510.05","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","1678.0","0.32","0.0","0.0","4.49","0.32","1.44","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","1678.0","0.31","0.0","0.0","4.65","0.31","1.45","0.0","0.0","0.0","0.0","27.85","26.4","536.45","268.22","508.6","510.05","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","1678.0","0.3","0.45","0.0","4.22","0.45","1.9","0.0","0.0","0.0","0.0","29.75","107.74","536.45","268.22","506.7","428.7","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","1678.0","0.29","0.46","0.0","5.54","0.46","2.53","0.0","0.0","0.0","0.0","32.27","107.74","536.45","268.22","504.18","428.7","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","1678.0","0.28","0.46","0.0","4.6","0.46","2.13","0.0","0.0","0.0","0.0","34.4","107.74","536.45","268.22","502.05","428.7","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","1678.0","0.28","0.47","0.0","4.48","0.47","2.1","0.0","0.0","0.0","0.0","36.5","107.74","536.45","268.22","499.95","428.7","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","1678.0","0.27","0.47","0.0","2.56","0.47","1.21","0.0","0.0","0.0","0.0","37.71","107.74","536.45","268.22","498.74","428.7","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","1678.0","0.27","0.48","0.0","2.92","0.48","1.4","0.96","0.96","0.0","0.0","38.16","107.74","536.45","268.22","498.29","428.7","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","1678.0","1.12","0.49","0.0","2.53","1.12","2.83","4.05","4.05","0.0","0.0","36.94","107.74","536.45","268.22","499.51","428.7","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","1678.0","1.1","0.49","0.0","2.94","1.1","3.24","14.39","14.39","0.0","0.0","25.79","107.74","536.45","268.22","510.66","428.7","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","1678.0","1.07","0.5","0.0","3.48","1.07","3.73","0.0","0.0","0.0","0.0","29.52","107.74","536.45","268.22","506.93","428.7","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","1678.0","0.83","0.51","0.0","4.1","0.83","3.42","0.0","0.0","0.0","0.0","32.93","107.74","536.45","268.22","503.51","428.7","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","1678.0","0.7","0.51","0.0","4.26","0.7","2.98","0.0","0.0","0.0","0.0","35.92","107.74","536.45","268.22","500.53","428.7","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","1678.0","0.6","0.52","0.0","4.91","0.6","2.97","0.0","0.0","0.0","0.0","38.88","107.74","536.45","268.22","497.57","428.7","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","1678.0","0.54","0.52","0.0","4.91","0.54","2.64","0.0","0.0","0.0","0.0","41.53","107.74","536.45","268.22","494.92","428.7","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","1678.0","0.49","0.53","0.0","4.87","0.53","2.58","0.0","0.0","0.0","0.0","44.11","107.74","536.45","268.22","492.34","428.7","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","1678.0","0.44","0.54","0.0","6.58","0.54","3.53","0.0","0.0","0.0","0.0","47.63","107.74","536.45","268.22","488.81","428.7","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","1678.0","0.41","0.54","0.0","6.06","0.54","3.29","0.0","0.0","0.0","0.0","50.92","107.74","536.45","268.22","485.53","428.7","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","1678.0","0.38","0.55","0.0","5.29","0.55","2.9","0.0","0.0","0.0","0.0","53.82","107.74","536.45","268.22","482.63","428.7","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","1678.0","0.36","0.55","0.0","4.95","0.55","2.74","0.0","0.0","0.0","0.0","56.56","107.74","536.45","268.22","479.88","428.7","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","1678.0","0.35","0.56","0.0","5.18","0.56","2.9","0.0","0.0","0.0","0.0","59.47","107.74","536.45","268.22","476.98","428.7","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","1678.0","0.33","0.57","0.0","4.74","0.57","2.69","0.0","0.0","0.0","0.0","62.15","107.74","536.45","268.22","474.29","428.7","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","1678.0","0.32","0.57","0.0","3.79","0.57","2.17","0.0","0.0","0.0","0.0","64.32","107.74","536.45","268.22","472.12","428.7","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","1678.0","0.32","0.58","0.0","4.2","0.58","2.43","0.0","0.0","0.0","0.0","66.76","107.74","536.45","268.22","469.69","428.7","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","1678.0","0.31","0.59","0.0","4.75","0.59","2.78","0.0","0.0","0.0","0.0","69.53","107.74","536.45","268.22","466.91","428.7","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","1678.0","0.3","0.59","0.0","4.96","0.59","2.93","0.0","0.0","0.0","0.0","72.47","107.74","536.45","268.22","463.98","428.7","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","1678.0","1.06","0.6","0.0","3.96","1.06","4.2","11.93","11.93","0.0","0.0","64.74","107.74","536.45","268.22","471.71","428.7","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","1678.0","0.88","0.6","0.0","5.11","0.88","4.5","0.0","0.0","0.0","0.0","69.24","107.74","536.45","268.22","467.21","428.7","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","1678.0","0.67","0.61","0.0","6.12","0.67","4.12","0.0","0.0","0.0","0.0","73.36","107.74","536.45","268.22","463.09","428.7","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","1678.0","0.58","0.62","0.0","5.51","0.62","3.39","0.0","0.0","0.0","0.0","76.75","107.74","536.45","268.22","459.7","428.7","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","1678.0","0.51","0.62","0.0","5.26","0.62","3.27","0.0","0.0","0.0","0.0","80.02","107.74","536.45","268.22","456.43","428.7","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","1678.0","0.46","0.63","0.0","6.47","0.63","4.06","0.0","0.0","0.0","0.0","84.08","107.74","536.45","268.22","452.36","428.7","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","1678.0","0.42","0.63","0.0","6.45","0.63","4.09","0.0","0.0","0.0","0.0","88.17","107.74","536.45","268.22","448.27","428.7","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","1678.0","0.39","0.64","0.0","5.94","0.64","3.8","0.0","0.0","0.0","0.0","91.98","107.74","536.45","268.22","444.47","428.7","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","1678.0","0.37","0.65","0.0","5.17","0.65","3.34","0.0","0.0","0.0","0.0","95.32","107.74","536.45","268.22","441.13","428.7","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","1678.0","0.35","0.65","0.0","4.74","0.65","3.09","0.0","0.0","0.0","0.0","98.41","107.74","536.45","268.22","438.03","428.7","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","1678.0","0.34","0.66","0.0","4.79","0.66","3.16","0.0","0.0","0.0","0.0","101.57","107.74","536.45","268.22","434.88","428.7","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","1678.0","0.32","0.66","0.0","5.2","0.66","3.46","0.0","0.0","0.0","0.0","105.03","107.74","536.45","268.22","431.42","428.7","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","1678.0","0.32","0.67","0.0","3.82","0.67","2.56","0.5","0.5","0.0","0.0","107.09","107.74","536.45","268.22","429.36","428.7","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","1678.0","0.31","0.68","0.0","4.45","0.68","3.01","0.01","0.01","0.0","0.0","0.0","107.74","536.45","268.22","536.45","428.7","110.09","","","","","","","","",""
"2015.0","5.0","9.0","129.0","1678.0","0.3","0.68","0.0","4.99","0.68","3.41","0.0","0.0","0.0","0.0","3.41","107.74","536.45","268.22","533.04","428.7","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","1678.0","0.29","0.69","0.0","5.12","0.69","3.53","0.0","0.0","0.0","0.0","6.94","107.74","536.45","268.22","529.51","428.7","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","1678.0","0.28","0.7","0.0","5.11","0.7","3.55","0.0","0.0","0.0","0.0","10.49","107.74","536.45","268.22","525.95","428.7","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","1678.0","0.27","0.7","0.0","5.01","0.7","3.52","0.0","0.0","0.0","0.0","14.01","107.74","536.45","268.22","522.44","428.7","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","1678.0","0.26","0.71","0.0","4.72","0.71","3.34","0.0","0.0","0.0","0.0","17.35","107.74","536.45","268.22","519.1","428.7","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","1678.0","0.26","0.71","0.0","3.63","0.71","2.59","0.0","0.0","0.0","0.0","19.94","107.74","536.45","268.22","516.5","428.7","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","1678.0","0.25","0.72","0.0","4.7","0.72","3.38","0.06","0.06","0.0","0.0","23.27","107.74","536.45","268.22","513.18","428.7","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","1678.0","0.25","0.73","0.0","4.79","0.73","3.48","0.0","0.0","0.0","0.0","26.75","107.74","536.45","268.22","509.7","428.7","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","1678.0","0.24","0.73","0.0","3.87","0.73","2.83","0.0","0.0","0.0","0.0","29.58","107.74","536.45","268.22","506.87","428.7","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","1678.0","0.24","0.74","0.0","4.77","0.74","3.52","0.0","0.0","0.0","0.0","33.11","107.74","536.45","268.22","503.34","428.7","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","1678.0","0.24","0.74","0.0","4.98","0.74","3.71","0.0","0.0","0.0","0.0","36.81","107.74","536.45","268.22","499.63","428.7","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","1678.0","0.23","0.75","0.0","4.89","0.75","3.67","0.0","0.0","0.0","0.0","40.49","107.74","536.45","268.22","495.96","428.7","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","1678.0","0.23","0.76","0.0","4.59","0.76","3.47","0.0","0.0","0.0","0.0","43.96","107.74","536.45","268.22","492.49","428.7","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","1678.0","0.22","0.76","0.0","4.9","0.76","3.74","0.0","0.0","0.0","0.0","47.7","107.74","536.45","268.22","488.75","428.7","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","1678.0","0.22","0.77","0.0","4.73","0.77","3.64","0.0","0.0","0.0","0.0","51.34","107.74","536.45","268.22","485.11","428.7","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","1678.0","0.21","0.78","0.0","5.57","0.78","4.32","0.0","0.0","0.0","0.0","55.66","107.74","536.45","268.22","480.79","428.7","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","1678.0","0.21","0.78","0.0","5.38","0.78","4.2","0.0","0.0","0.0","0.0","59.86","107.74","536.45","268.22","476.59","428.7","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","1678.0","0.21","0.79","0.0","5.42","0.79","4.27","0.0","0.0","0.0","0.0","64.13","107.74","536.45","268.22","472.32","428.7","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","1678.0","0.2","0.79","0.0","5.47","0.79","4.34","0.0","0.0","0.0","0.0","68.47","107.74","536.45","268.22","467.97","428.7","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","1678.0","0.2","0.8","0.0","5.36","0.8","4.29","0.0","0.0","0.0","0.0","72.76","107.74","536.45","268.22","463.69","428.7","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","1678.0","0.2","0.8","0.0","5.96","0.8","4.77","0.0","0.0","0.0","0.0","77.53","107.74","536.45","268.22","458.92","428.7","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","1678.0","0.19","0.8","0.0","6.29","0.8","5.03","0.0","0.0","0.0","0.0","82.56","107.74","536.45","268.22","453.89","428.7","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","1678.0","0.19","0.8","0.0","5.29","0.8","4.23","0.0","0.0","0.0","0.0","86.79","107.74","536.45","268.22","449.65","428.7","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","1678.0","0.19","0.8","0.0","5.34","0.8","4.27","0.0","0.0","0.0","0.0","91.07","107.74","536.45","268.22","445.38","428.7","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","1678.0","0.19","0.8","0.0","5.63","0.8","4.5","0.0","0.0","0.0","0.0","95.57","107.74","536.45","268.22","440.88","428.7","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","1678.0","0.18","0.8","0.0","5.42","0.8","4.34","0.0","0.0","0.0","0.0","99.91","107.74","536.45","268.22","436.54","428.7","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","1678.0","0.18","0.8","0.0","5.87","0.8","4.7","0.0","0.0","0.0","0.0","104.6","107.74","536.45","268.22","431.85","428.7","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","1678.0","0.18","0.8","0.0","6.78","0.8","5.42","0.0","0.0","0.0","0.0","0.0","107.74","536.45","268.22","536.45","428.7","110.03","","","","","","","","",""
"2015.0","6.0","6.0","157.0","1678.0","0.17","0.8","0.0","6.33","0.8","5.06","0.0","0.0","0.0","0.0","5.06","107.74","536.45","268.22","531.38","428.7","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","1678.0","0.17","0.8","0.0","6.88","0.8","5.5","0.0","0.0","0.0","0.0","10.57","107.74","536.45","268.22","525.88","428.7","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","1678.0","0.17","0.8","0.0","7.31","0.8","5.85","0.0","0.0","0.0","0.0","16.42","107.74","536.45","268.22","520.03","428.7","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","1678.0","0.17","0.8","0.0","6.91","0.8","5.53","0.0","0.0","0.0","0.0","21.94","107.74","536.45","268.22","514.5","428.7","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","1678.0","0.17","0.8","0.0","2.53","0.8","2.02","0.32","0.32","0.0","0.0","23.65","107.74","536.45","268.22","512.8","428.7","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","1678.0","0.16","0.8","0.0","7.0","0.8","5.6","1.59","1.59","0.0","0.0","27.66","107.74","536.45","268.22","508.79","428.7","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","1678.0","0.16","0.8","0.0","7.84","0.8","6.27","0.0","0.0","0.0","0.0","33.93","107.74","536.45","268.22","502.52","428.7","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","1678.0","0.16","0.8","0.0","7.39","0.8","5.91","0.0","0.0","0.0","0.0","39.84","107.74","536.45","268.22","496.61","428.7","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","1678.0","0.16","0.8","0.0","6.62","0.8","5.3","0.0","0.0","0.0","0.0","45.14","107.74","536.45","268.22","491.31","428.7","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","1678.0","0.15","0.8","0.0","6.43","0.8","5.14","0.0","0.0","0.0","0.0","50.28","107.74","536.45","268.22","486.17","428.7","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","1678.0","0.15","0.8","0.0","6.82","0.8","5.46","0.02","0.02","0.0","0.0","55.72","107.74","536.45","268.22","480.73","428.7","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","1678.0","0.15","0.8","0.0","6.84","0.8","5.47","0.0","0.0","0.0","0.0","61.19","107.74","536.45","268.22","475.26","428.7","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","1678.0","0.15","0.8","0.0","7.46","0.8","5.97","0.0","0.0","0.0","0.0","67.16","107.74","536.45","268.22","469.29","428.7","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","1678.0","0.15","0.8","0.0","7.3","0.8","5.84","0.0","0.0","0.0","0.0","73.0","107.74","536.45","268.22","463.45","428.7","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","1678.0","0.15","0.8","0.0","6.95","0.8","5.56","0.0","0.0","0.0","0.0","78.56","107.74","536.45","268.22","457.89","428.7","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","1678.0","0.14","0.8","0.0","7.44","0.8","5.95","0.0","0.0","0.0","0.0","84.51","107.74","536.45","268.22","451.94","428.7","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","1678.0","0.14","0.8","0.0","6.8","0.8","5.44","0.0","0.0","0.0","0.0","89.95","107.74","536.45","268.22","446.5","428.7","0.0","","","","","","","","",""
"2015.0","6.0","23.0","174.0","1678.0","0.14","0.8","0.0","7.3","0.8","5.84","0.0","0.0","0.0","0.0","95.79","107.74","536.45","268.22","440.66","428.7","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","1678.0","0.14","0.8","0.0","7.32","0.8","5.86","0.0","0.0","0.0","0.0","101.65","107.74","536.45","268.22","434.8","428.7","0.0","","","","","","","","",""
