" Daily soil water balance output for Safflower in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Safflower at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"2015.0","2.0","9.0","40.0","167.0","1.14","0.0","0.0","2.11","1.14","2.4","13.89","7.69","0.0","0.0","0.0","26.4","375.51","187.76","375.51","349.11","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","167.0","1.14","0.0","0.0","1.9","1.14","2.17","0.0","0.0","0.0","0.0","2.17","26.4","375.51","187.76","373.35","349.11","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","167.0","1.14","0.0","0.0","1.76","1.14","2.01","0.0","0.0","0.0","0.0","4.18","26.4","375.51","187.76","371.34","349.11","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","167.0","0.99","0.0","0.0","2.06","0.99","2.05","0.0","0.0","0.0","0.0","6.22","26.4","375.51","187.76","369.29","349.11","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","167.0","0.88","0.0","0.0","2.11","0.88","1.86","0.0","0.0","0.0","0.0","8.08","26.4","375.51","187.76","367.43","349.11","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","167.0","0.8","0.0","0.0","2.23","0.8","1.77","0.0","0.0","0.0","0.0","9.85","26.4","375.51","187.76","365.66","349.11","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","167.0","0.73","0.0","0.0","2.13","0.73","1.56","0.0","0.0","0.0","0.0","11.42","26.4","375.51","187.76","364.1","349.11","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","167.0","0.69","0.0","0.0","2.07","0.69","1.42","0.0","0.0","0.0","0.0","12.84","26.4","375.51","187.76","362.68","349.11","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","167.0","0.65","0.0","0.0","1.78","0.65","1.16","0.0","0.0","0.0","0.0","14.0","26.4","375.51","187.76","361.52","349.11","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","167.0","0.62","0.0","0.0","1.83","0.62","1.14","0.0","0.0","0.0","0.0","15.13","26.4","375.51","187.76","360.38","349.11","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","167.0","0.6","0.0","0.0","1.16","0.6","0.7","0.0","0.0","0.0","0.0","15.83","26.4","375.51","187.76","359.68","349.11","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","167.0","0.58","0.0","0.0","1.9","0.58","1.1","0.0","0.0","0.0","0.0","16.93","26.4","375.51","187.76","358.58","349.11","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","167.0","0.56","0.0","0.0","1.8","0.56","1.0","0.0","0.0","0.0","0.0","17.94","26.4","375.51","187.76","357.58","349.11","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","167.0","0.53","0.0","0.0","2.86","0.53","1.51","0.0","0.0","0.0","0.0","19.45","26.4","375.51","187.76","356.07","349.11","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","167.0","0.5","0.0","0.0","3.4","0.5","1.69","0.0","0.0","0.0","0.0","21.14","26.4","375.51","187.76","354.38","349.11","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","167.0","0.48","0.0","0.0","2.7","0.48","1.29","0.0","0.0","0.0","0.0","22.42","26.4","375.51","187.76","353.09","349.11","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","167.0","0.46","0.0","0.0","2.19","0.46","1.01","0.0","0.0","0.0","0.0","23.44","26.4","375.51","187.76","352.08","349.11","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","167.0","0.44","0.0","0.0","2.85","0.44","1.27","0.0","0.0","0.0","0.0","24.7","26.4","375.51","187.76","350.81","349.11","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","167.0","0.43","0.0","0.0","2.91","0.43","1.25","0.0","0.0","0.0","0.0","25.95","26.4","375.51","187.76","349.57","349.11","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","167.0","0.42","0.0","0.0","2.05","0.42","0.86","0.0","0.0","0.0","0.0","26.8","26.4","375.51","187.76","348.71","349.11","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","167.0","0.41","0.0","0.0","2.5","0.41","1.02","0.02","0.02","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","167.0","0.4","0.0","0.0","2.14","0.4","0.85","0.0","0.0","0.0","0.0","27.25","26.4","375.51","187.76","348.26","349.11","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","167.0","0.39","0.0","0.0","2.47","0.39","0.96","0.02","0.02","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","167.0","0.38","0.0","0.0","2.62","0.38","0.99","0.0","0.0","0.0","0.0","27.39","26.4","375.51","187.76","348.12","349.11","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","167.0","0.37","0.0","0.0","2.83","0.37","1.04","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","167.0","0.36","0.0","0.0","3.01","0.36","1.08","0.0","0.0","0.0","0.0","27.48","26.4","375.51","187.76","348.03","349.11","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","167.0","0.35","0.0","0.0","2.91","0.35","1.02","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","167.0","0.34","0.0","0.0","2.92","0.34","1.0","0.0","0.0","0.0","0.0","27.4","26.4","375.51","187.76","348.12","349.11","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","167.0","0.33","0.0","0.0","2.84","0.33","0.95","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","167.0","0.33","0.0","0.0","2.41","0.33","0.79","0.0","0.0","0.0","0.0","27.19","26.4","375.51","187.76","348.32","349.11","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","167.0","1.14","0.0","0.0","2.12","1.14","2.41","2.84","2.84","0.0","0.0","24.35","26.4","375.51","187.76","351.16","349.11","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","167.0","1.09","0.0","0.0","3.28","1.09","3.57","3.22","3.22","0.0","0.0","24.7","26.4","375.51","187.76","350.81","349.11","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","167.0","1.08","0.0","0.0","3.05","1.08","3.3","0.0","0.0","0.0","0.0","28.0","26.4","375.51","187.76","347.51","349.11","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","167.0","0.86","0.0","0.0","3.51","0.86","3.04","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","167.0","0.73","0.0","0.0","3.83","0.73","2.8","0.0","0.0","0.0","0.0","29.2","26.4","375.51","187.76","346.31","349.11","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","167.0","0.67","0.0","0.0","2.77","0.67","1.85","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","167.0","0.61","0.0","0.0","3.6","0.61","2.18","0.0","0.0","0.0","0.0","28.58","26.4","375.51","187.76","346.93","349.11","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","167.0","0.56","0.0","0.0","3.7","0.56","2.06","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","167.0","0.52","0.0","0.0","3.73","0.52","1.93","0.0","0.0","0.0","0.0","28.33","26.4","375.51","187.76","347.19","349.11","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","167.0","0.49","0.0","0.0","3.13","0.49","1.53","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","167.0","0.46","0.0","0.0","3.46","0.46","1.6","0.0","0.0","0.0","0.0","28.0","26.4","375.51","187.76","347.51","349.11","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","167.0","0.45","0.0","0.0","2.95","0.45","1.31","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","167.0","0.43","0.0","0.0","3.01","0.43","1.29","0.09","0.09","0.0","0.0","27.6","26.4","375.51","187.76","347.91","349.11","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","167.0","0.41","0.0","0.0","3.29","0.41","1.35","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","167.0","0.39","0.0","0.0","3.98","0.39","1.57","0.0","0.0","0.0","0.0","27.97","26.4","375.51","187.76","347.55","349.11","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","167.0","0.38","0.0","0.0","3.89","0.38","1.47","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","167.0","0.36","0.0","0.0","4.2","0.36","1.53","0.0","0.0","0.0","0.0","27.93","26.4","375.51","187.76","347.59","349.11","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","167.0","0.35","0.0","0.0","4.77","0.35","1.66","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","167.0","0.34","0.0","0.0","4.58","0.34","1.54","0.0","0.0","0.0","0.0","27.94","26.4","375.51","187.76","347.58","349.11","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","167.0","0.32","0.0","0.0","4.37","0.32","1.42","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","167.0","0.31","0.0","0.0","4.56","0.31","1.43","0.0","0.0","0.0","0.0","27.83","26.4","375.51","187.76","347.68","349.11","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","167.0","0.31","0.0","0.0","4.09","0.31","1.25","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","167.0","0.3","0.0","0.0","5.22","0.3","1.54","0.0","0.0","0.0","0.0","27.94","26.4","375.51","187.76","347.57","349.11","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","167.0","0.29","0.0","0.0","4.53","0.29","1.3","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","167.0","0.28","0.0","0.0","4.37","0.28","1.22","0.0","0.0","0.0","0.0","27.62","26.4","375.51","187.76","347.89","349.11","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","167.0","0.28","0.0","0.0","2.64","0.28","0.73","0.82","0.82","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","167.0","0.27","0.0","0.0","2.87","0.27","0.78","1.69","1.69","0.0","0.0","25.49","26.4","375.51","187.76","350.02","349.11","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","167.0","1.11","0.0","0.0","2.84","1.11","3.14","3.8","3.8","0.0","0.0","24.83","26.4","375.51","187.76","350.68","349.11","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","167.0","1.09","0.0","0.0","3.15","1.09","3.45","4.57","4.57","0.0","0.0","23.71","26.4","375.51","187.76","351.8","349.11","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","167.0","1.05","0.0","0.0","3.48","1.05","3.66","0.0","0.0","0.0","0.0","27.37","26.4","375.51","187.76","348.14","349.11","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","167.0","0.83","0.0","0.0","4.04","0.83","3.34","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","167.0","0.7","0.0","0.0","4.18","0.7","2.92","0.0","0.0","0.0","0.0","29.32","26.4","375.51","187.76","346.19","349.11","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","167.0","0.61","0.0","0.0","4.74","0.61","2.87","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","167.0","0.54","0.0","0.0","4.61","0.54","2.51","0.0","0.0","0.0","0.0","28.91","26.4","375.51","187.76","346.61","349.11","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","167.0","0.49","0.0","0.0","4.9","0.49","2.42","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","167.0","0.45","0.0","0.0","5.96","0.45","2.67","0.0","0.0","0.0","0.0","29.07","26.4","375.51","187.76","346.44","349.11","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","167.0","0.42","0.0","0.0","5.56","0.42","2.31","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","167.0","0.39","0.0","0.0","5.25","0.39","2.05","0.0","0.0","0.0","0.0","28.45","26.4","375.51","187.76","347.06","349.11","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","167.0","0.37","0.0","0.0","4.79","0.37","1.78","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","167.0","0.36","0.0","0.0","4.84","0.36","1.72","0.0","0.0","0.0","0.0","28.12","26.4","375.51","187.76","347.4","349.11","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","167.0","0.34","0.0","0.0","4.45","0.34","1.52","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","167.0","0.33","0.0","0.0","3.69","0.33","1.23","0.0","0.0","0.0","0.0","27.63","26.4","375.51","187.76","347.89","349.11","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","167.0","0.32","0.0","0.0","4.06","0.32","1.31","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","167.0","0.31","0.0","0.0","4.55","0.31","1.42","0.0","0.0","0.0","0.0","27.82","26.4","375.51","187.76","347.69","349.11","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","167.0","0.3","0.0","0.0","4.92","0.3","1.48","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","167.0","0.29","0.0","0.0","4.04","0.29","1.19","4.04","4.04","0.0","0.0","23.55","26.4","375.51","187.76","351.97","349.11","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","167.0","0.29","0.0","0.0","5.0","0.29","1.43","0.0","0.0","0.0","0.0","24.98","26.4","375.51","187.76","350.54","349.11","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","167.0","0.28","0.0","0.0","5.7","0.28","1.57","0.0","0.0","0.0","0.0","26.55","26.4","375.51","187.76","348.96","349.11","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","167.0","0.27","0.0","0.0","5.31","0.27","1.42","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","167.0","0.26","0.0","0.0","5.12","0.26","1.34","0.0","0.0","0.0","0.0","27.74","26.4","375.51","187.76","347.78","349.11","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","167.0","0.25","0.0","0.0","6.3","0.25","1.6","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","167.0","0.25","0.0","0.0","6.17","0.25","1.52","0.0","0.0","0.0","0.0","27.92","26.4","375.51","187.76","347.6","349.11","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","167.0","0.24","0.0","0.0","5.52","0.24","1.33","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","167.0","0.24","0.0","0.0","4.85","0.24","1.14","0.0","0.0","0.0","0.0","27.54","26.4","375.51","187.76","347.97","349.11","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","167.0","0.23","0.0","0.0","4.57","0.23","1.06","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","167.0","0.23","0.0","0.0","4.68","0.23","1.06","0.0","0.0","0.0","0.0","27.46","26.4","375.51","187.76","348.05","349.11","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","167.0","0.22","0.0","0.0","4.88","0.22","1.09","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","167.0","0.22","0.0","0.0","3.03","0.22","0.67","0.0","0.0","0.0","0.0","27.07","26.4","375.51","187.76","348.44","349.11","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","167.0","0.22","0.0","0.0","4.27","0.22","0.93","1.21","1.21","0.0","0.0","25.86","26.4","375.51","187.76","349.65","349.11","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","167.0","0.21","0.0","0.0","4.65","0.21","1.0","0.0","0.0","0.0","0.0","26.86","26.4","375.51","187.76","348.66","349.11","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","167.0","0.21","0.0","0.0","4.94","0.21","1.04","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","167.0","0.21","0.0","0.0","4.97","0.21","1.03","0.0","0.0","0.0","0.0","27.43","26.4","375.51","187.76","348.08","349.11","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","167.0","0.2","0.0","0.0","4.93","0.2","1.01","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","167.0","0.2","0.0","0.0","4.61","0.2","0.93","0.0","0.0","0.0","0.0","27.33","26.4","375.51","187.76","348.18","349.11","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","167.0","0.2","0.0","0.0","3.0","0.2","0.6","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","167.0","1.04","0.0","0.0","4.53","1.04","4.71","11.7","11.7","0.0","0.0","19.41","26.4","375.51","187.76","356.11","349.11","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","167.0","0.88","0.0","0.0","4.61","0.88","4.04","0.0","0.0","0.0","0.0","23.44","26.4","375.51","187.76","352.07","349.11","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","167.0","0.74","0.2","0.0","3.94","0.74","2.9","0.0","0.0","0.0","0.0","26.34","78.74","375.51","187.76","349.17","296.77","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","167.0","0.63","0.2","0.0","4.69","0.63","2.95","0.0","0.0","0.0","0.0","29.29","78.74","375.51","187.76","346.22","296.77","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","167.0","0.56","0.2","0.0","4.84","0.56","2.7","0.0","0.0","0.0","0.0","31.99","78.74","375.51","187.76","343.52","296.77","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","167.0","0.51","0.2","0.0","4.67","0.51","2.37","0.0","0.0","0.0","0.0","34.36","78.74","375.51","187.76","341.15","296.77","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","167.0","0.47","0.2","0.0","4.2","0.47","1.98","0.0","0.0","0.0","0.0","36.34","78.74","375.51","187.76","339.17","296.77","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","167.0","0.44","0.2","0.0","4.77","0.44","2.1","0.0","0.0","0.0","0.0","38.44","78.74","375.51","187.76","337.07","296.77","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","167.0","0.41","0.2","0.0","4.69","0.41","1.94","0.0","0.0","0.0","0.0","40.39","78.74","375.51","187.76","335.13","296.77","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","167.0","0.39","0.2","0.0","5.17","0.39","2.01","0.0","0.0","0.0","0.0","42.4","78.74","375.51","187.76","333.11","296.77","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","167.0","0.37","0.2","0.0","5.17","0.37","1.91","0.0","0.0","0.0","0.0","44.31","78.74","375.51","187.76","331.21","296.77","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","167.0","0.35","0.2","0.0","5.18","0.35","1.82","0.0","0.0","0.0","0.0","46.13","78.74","375.51","187.76","329.38","296.77","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","167.0","0.34","0.2","0.0","5.24","0.34","1.76","0.0","0.0","0.0","0.0","47.89","78.74","375.51","187.76","327.62","296.77","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","167.0","0.32","0.2","0.0","5.12","0.32","1.65","0.0","0.0","0.0","0.0","49.54","78.74","375.51","187.76","325.97","296.77","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","167.0","0.31","0.2","0.0","5.74","0.31","1.78","0.0","0.0","0.0","0.0","51.32","78.74","375.51","187.76","324.2","296.77","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","167.0","0.3","0.2","0.0","6.09","0.3","1.81","0.0","0.0","0.0","0.0","53.12","78.74","375.51","187.76","322.39","296.77","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","167.0","0.29","0.2","0.0","5.25","0.29","1.51","0.0","0.0","0.0","0.0","54.63","78.74","375.51","187.76","320.88","296.77","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","167.0","0.28","0.2","0.0","5.51","0.28","1.53","0.0","0.0","0.0","0.0","56.16","78.74","375.51","187.76","319.35","296.77","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","167.0","0.27","0.2","0.0","5.52","0.27","1.49","0.0","0.0","0.0","0.0","57.65","78.74","375.51","187.76","317.87","296.77","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","167.0","0.26","0.2","0.0","5.25","0.26","1.38","0.0","0.0","0.0","0.0","59.03","78.74","375.51","187.76","316.49","296.77","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","167.0","0.26","0.2","0.0","5.59","0.26","1.43","0.0","0.0","0.0","0.0","60.45","78.74","375.51","187.76","315.06","296.77","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","167.0","0.25","0.23","0.0","6.19","0.25","1.53","0.0","0.0","0.0","0.0","61.99","78.74","375.51","187.76","313.53","296.77","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","167.0","0.24","0.26","0.0","6.0","0.26","1.54","0.0","0.0","0.0","0.0","63.53","78.74","375.51","187.76","311.99","296.77","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","167.0","0.23","0.29","0.0","6.42","0.29","1.83","0.0","0.0","0.0","0.0","65.35","78.74","375.51","187.76","310.16","296.77","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","167.0","0.23","0.31","0.0","7.13","0.31","2.23","0.0","0.0","0.0","0.0","67.59","78.74","375.51","187.76","307.92","296.77","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","167.0","0.22","0.34","0.0","6.15","0.34","2.1","0.0","0.0","0.0","0.0","69.69","78.74","375.51","187.76","305.82","296.77","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","167.0","0.22","0.37","0.0","2.9","0.37","1.07","0.76","0.76","0.0","0.0","70.0","78.74","375.51","187.76","305.51","296.77","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","167.0","0.22","0.4","0.0","6.56","0.4","2.61","3.16","3.16","0.0","0.0","69.46","78.74","375.51","187.76","306.06","296.77","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","167.0","0.21","0.43","0.0","7.25","0.43","3.09","0.0","0.0","0.0","0.0","72.55","78.74","375.51","187.76","302.96","296.77","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","167.0","0.21","0.46","0.0","7.01","0.46","3.19","0.0","0.0","0.0","0.0","75.74","78.74","375.51","187.76","299.77","296.77","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","167.0","0.2","0.48","0.0","6.27","0.48","3.03","0.0","0.0","0.0","0.0","0.0","78.74","375.51","187.76","375.51","296.77","78.77","","","","","","","","",""
"2015.0","6.0","15.0","166.0","167.0","0.2","0.51","0.0","6.1","0.51","3.12","0.0","0.0","0.0","0.0","3.12","78.74","375.51","187.76","372.39","296.77","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","167.0","0.19","0.54","0.0","6.47","0.54","3.49","0.0","0.0","0.0","0.0","6.61","78.74","375.51","187.76","368.9","296.77","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","167.0","0.19","0.57","0.0","6.61","0.57","3.76","0.0","0.0","0.0","0.0","10.37","78.74","375.51","187.76","365.14","296.77","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","167.0","0.19","0.6","0.0","6.97","0.6","4.16","0.0","0.0","0.0","0.0","14.53","78.74","375.51","187.76","360.98","296.77","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","167.0","0.18","0.63","0.0","6.99","0.63","4.37","0.0","0.0","0.0","0.0","18.9","78.74","375.51","187.76","356.61","296.77","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","167.0","0.18","0.65","0.0","6.55","0.65","4.28","0.0","0.0","0.0","0.0","23.18","78.74","375.51","187.76","352.34","296.77","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","167.0","0.18","0.68","0.0","7.0","0.68","4.77","0.0","0.0","0.0","0.0","27.95","78.74","375.51","187.76","347.56","296.77","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","167.0","0.17","0.71","0.0","6.6","0.71","4.69","0.0","0.0","0.0","0.0","32.64","78.74","375.51","187.76","342.88","296.77","0.0","","","","","","","","",""
"2015.0","6.0","23.0","174.0","167.0","0.17","0.74","0.0","6.94","0.74","5.12","0.0","0.0","0.0","0.0","37.76","78.74","375.51","187.76","337.75","296.77","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","167.0","0.17","0.77","0.0","6.83","0.77","5.24","0.0","0.0","0.0","0.0","43.0","78.74","375.51","187.76","332.52","296.77","0.0","","","","","","","","",""
"2015.0","6.0","25.0","176.0","167.0","0.17","0.8","0.0","7.59","0.8","6.03","0.0","0.0","0.0","0.0","49.03","78.74","375.51","187.76","326.48","296.77","0.0","","","","","","","","",""
"2015.0","6.0","26.0","177.0","167.0","0.16","0.82","0.0","7.7","0.82","6.34","0.0","0.0","0.0","0.0","55.37","78.74","375.51","187.76","320.14","296.77","0.0","","","","","","","","",""
