" Daily soil water balance output for Bush_berries in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Bush_berries in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"2015.0","2.0","7.0","38.0","1176.0","1.16","0.0","0.0","1.48","1.16","1.72","13.13","13.13","0.0","0.0","9.14","21.6","175.56","87.78","166.42","153.96","0.0","","","","","","","","",""
"2015.0","2.0","8.0","39.0","1176.0","1.16","0.0","0.0","1.56","1.16","1.81","12.26","10.95","0.0","0.0","0.0","21.6","175.56","87.78","175.56","153.96","0.0","","","","","","","","",""
"2015.0","2.0","9.0","40.0","1176.0","1.14","0.0","0.0","2.12","1.14","2.41","13.42","2.41","0.0","0.0","0.0","21.6","175.56","87.78","175.56","153.96","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","1176.0","1.14","0.0","0.0","1.87","1.14","2.13","0.0","0.0","0.0","0.0","2.13","21.6","175.56","87.78","173.43","153.96","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","1176.0","1.14","0.0","0.0","1.71","1.14","1.96","0.0","0.0","0.0","0.0","4.09","21.6","175.56","87.78","171.48","153.96","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","1176.0","1.0","0.0","0.0","2.0","1.0","2.0","0.0","0.0","0.0","0.0","6.09","21.6","175.56","87.78","169.47","153.96","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","1176.0","0.89","0.0","0.0","2.09","0.89","1.86","0.0","0.0","0.0","0.0","7.95","21.6","175.56","87.78","167.62","153.96","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","1176.0","0.8","0.0","0.0","2.2","0.8","1.76","0.0","0.0","0.0","0.0","9.71","21.6","175.56","87.78","165.85","153.96","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","1176.0","0.74","0.0","0.0","2.08","0.74","1.54","0.0","0.0","0.0","0.0","11.25","21.6","175.56","87.78","164.31","153.96","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","1176.0","0.69","0.0","0.0","2.09","0.69","1.44","0.0","0.0","0.0","0.0","12.69","21.6","175.56","87.78","162.87","153.96","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","1176.0","0.65","0.0","0.0","1.81","0.65","1.19","0.0","0.0","0.0","0.0","13.88","21.6","175.56","87.78","161.69","153.96","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","1176.0","0.63","0.0","0.0","1.72","0.63","1.08","0.0","0.0","0.0","0.0","14.96","21.6","175.56","87.78","160.61","153.96","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","1176.0","0.61","0.0","0.0","1.04","0.61","0.64","0.0","0.0","0.0","0.0","15.59","21.6","175.56","87.78","159.97","153.96","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","1176.0","0.59","0.0","0.0","1.75","0.59","1.03","0.0","0.0","0.0","0.0","16.62","21.6","175.56","87.78","158.95","153.96","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","1176.0","0.57","0.0","0.0","1.58","0.57","0.9","0.0","0.0","0.0","0.0","17.51","21.6","175.56","87.78","158.05","153.96","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","1176.0","0.53","0.0","0.0","2.95","0.53","1.58","0.0","0.0","0.0","0.0","19.09","21.6","175.56","87.78","156.47","153.96","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","1176.0","0.5","0.0","0.0","3.55","0.5","1.78","0.0","0.0","0.0","0.0","20.87","21.6","175.56","87.78","154.69","153.96","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","1176.0","0.48","0.0","0.0","2.71","0.48","1.3","0.0","0.0","0.0","0.0","22.18","21.6","175.56","87.78","153.39","153.96","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","1176.0","0.47","0.0","0.0","2.2","0.47","1.02","0.0","0.0","0.0","0.0","21.6","21.6","175.56","87.78","153.96","153.96","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","1176.0","0.45","0.0","0.0","2.91","0.45","1.3","0.0","0.0","0.0","0.0","22.9","21.6","175.56","87.78","152.66","153.96","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","1176.0","0.43","0.0","0.0","2.86","0.43","1.23","0.0","0.0","0.0","0.0","21.6","21.6","175.56","87.78","153.96","153.96","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","1176.0","0.42","0.0","0.0","2.01","0.42","0.85","0.0","0.0","0.0","0.0","22.45","21.6","175.56","87.78","153.12","153.96","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","1176.0","0.41","0.0","0.0","2.51","0.41","1.03","0.25","0.25","0.0","0.0","21.6","21.6","175.56","87.78","153.96","153.96","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","1176.0","0.4","0.0","0.0","2.21","0.4","0.88","0.0","0.0","0.0","0.0","22.48","21.6","175.56","87.78","153.08","153.96","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","1176.0","0.39","0.0","0.0","2.53","0.39","0.98","1.19","1.19","0.0","0.0","21.29","21.6","175.56","87.78","154.27","153.96","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","1176.0","0.38","0.0","0.0","2.61","0.38","0.99","0.0","0.0","0.0","0.0","22.28","21.6","175.56","87.78","153.28","153.96","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","1176.0","0.37","0.0","0.0","2.81","0.37","1.04","0.0","0.0","0.0","0.0","21.6","21.6","175.56","87.78","153.96","153.96","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","1176.0","0.36","0.0","0.0","2.99","0.36","1.08","0.0","0.0","0.0","0.0","22.68","21.6","175.56","87.78","152.89","153.96","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","1176.0","0.35","0.0","0.0","2.88","0.35","1.01","0.0","0.0","0.0","0.0","21.6","21.6","175.56","87.78","153.96","153.96","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","1176.0","0.34","0.0","0.0","2.97","0.34","1.02","0.0","0.0","0.0","0.0","22.62","21.6","175.56","87.78","152.95","153.96","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","1176.0","0.34","0.0","0.0","2.92","0.34","0.98","0.0","0.0","0.0","0.0","21.6","21.6","175.56","87.78","153.96","153.96","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","1176.0","0.33","0.0","0.0","2.53","0.33","0.83","0.0","0.0","0.0","0.0","22.43","21.6","175.56","87.78","153.13","153.96","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","1176.0","0.32","0.0","0.0","2.06","0.32","0.67","1.21","1.21","0.0","0.0","21.22","21.6","175.56","87.78","154.34","153.96","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","1176.0","1.09","0.0","0.0","3.36","1.09","3.65","3.33","3.33","0.0","0.0","21.54","21.6","175.56","87.78","154.02","153.96","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","1176.0","1.07","0.0","0.0","3.07","1.07","3.29","0.0","0.0","0.0","0.0","24.83","21.6","175.56","87.78","150.74","153.96","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","1176.0","0.86","0.0","0.0","3.44","0.86","2.97","0.0","0.0","0.0","0.0","21.6","21.6","175.56","87.78","153.96","153.96","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","1176.0","0.73","0.0","0.0","3.99","0.73","2.9","0.0","0.0","0.0","0.0","24.5","21.6","175.56","87.78","151.07","153.96","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","1176.0","0.66","0.0","0.0","2.83","0.66","1.88","0.0","0.0","0.0","0.0","21.6","21.6","175.56","87.78","153.96","153.96","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","1176.0","0.6","0.0","0.0","3.65","0.6","2.19","0.0","0.0","0.0","0.0","23.79","21.6","175.56","87.78","151.77","153.96","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","1176.0","0.55","0.0","0.0","3.82","0.55","2.1","0.0","0.0","0.0","0.0","21.6","21.6","175.56","87.78","153.96","153.96","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","1176.0","0.51","0.0","0.0","3.83","0.51","1.96","0.0","0.0","0.0","0.0","23.56","21.6","175.56","87.78","152.01","153.96","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","1176.0","0.48","0.0","0.0","3.23","0.48","1.56","0.0","0.0","0.0","0.0","21.6","21.6","175.56","87.78","153.96","153.96","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","1176.0","0.46","0.0","0.0","3.56","0.46","1.63","0.0","0.0","0.0","0.0","23.23","21.6","175.56","87.78","152.33","153.96","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","1176.0","0.44","0.0","0.0","3.17","0.44","1.39","0.0","0.0","0.0","0.0","21.6","21.6","175.56","87.78","153.96","153.96","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","1176.0","0.42","0.0","0.0","3.21","0.42","1.35","0.72","0.72","0.0","0.0","22.23","21.6","175.56","87.78","153.33","153.96","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","1176.0","0.41","0.0","0.0","3.34","0.41","1.35","0.0","0.0","0.0","0.0","21.6","21.6","175.56","87.78","153.96","153.96","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","1176.0","0.39","0.0","0.0","4.1","0.39","1.59","0.0","0.0","0.0","0.0","23.19","21.6","175.56","87.78","152.37","153.96","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","1176.0","0.37","0.0","0.0","3.96","0.37","1.48","0.0","0.0","0.0","0.0","21.6","21.6","175.56","87.78","153.96","153.96","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","1176.0","0.36","0.0","0.0","4.5","0.36","1.61","0.0","0.0","0.0","0.0","23.21","21.6","175.56","87.78","152.36","153.96","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","1176.0","0.34","0.0","0.0","4.95","0.34","1.69","0.0","0.0","0.0","0.0","21.6","21.6","175.56","87.78","153.96","153.96","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","1176.0","0.33","0.0","0.0","4.75","0.33","1.56","0.0","0.0","0.0","0.0","23.16","21.6","175.56","87.78","152.4","153.96","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","1176.0","0.32","0.0","0.0","4.57","0.32","1.46","0.0","0.0","0.0","0.0","21.6","21.6","175.56","87.78","153.96","153.96","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","1176.0","0.31","0.0","0.0","4.69","0.31","1.45","0.0","0.0","0.0","0.0","23.05","21.6","175.56","87.78","152.52","153.96","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","1176.0","0.3","0.3","0.0","4.21","0.3","1.26","0.0","0.0","0.0","0.0","24.31","40.86","175.56","87.78","151.26","134.7","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","1176.0","0.29","0.3","0.0","5.44","0.3","1.63","0.0","0.0","0.0","0.0","25.94","40.86","175.56","87.78","149.62","134.7","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","1176.0","0.28","0.3","0.0","4.68","0.3","1.4","0.0","0.0","0.0","0.0","27.34","40.86","175.56","87.78","148.22","134.7","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","1176.0","0.28","0.3","0.0","4.56","0.3","1.37","0.0","0.0","0.0","0.0","28.71","40.86","175.56","87.78","146.85","134.7","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","1176.0","0.27","0.3","0.0","2.58","0.3","0.77","0.04","0.04","0.0","0.0","29.45","40.86","175.56","87.78","146.12","134.7","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","1176.0","0.27","0.3","0.0","3.08","0.3","0.92","2.02","2.02","0.0","0.0","28.35","40.86","175.56","87.78","147.21","134.7","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","1176.0","1.11","0.3","0.0","2.76","1.11","3.06","4.27","4.27","0.0","0.0","27.14","40.86","175.56","87.78","148.42","134.7","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","1176.0","1.1","0.3","0.0","3.05","1.1","3.35","11.21","11.21","0.0","0.0","19.28","40.86","175.56","87.78","156.28","134.7","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","1176.0","1.06","0.3","0.0","3.51","1.06","3.72","0.0","0.0","0.0","0.0","23.0","40.86","175.56","87.78","152.57","134.7","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","1176.0","0.82","0.3","0.0","4.17","0.82","3.43","0.0","0.0","0.0","0.0","26.43","40.86","175.56","87.78","149.13","134.7","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","1176.0","0.69","0.3","0.0","4.35","0.69","3.01","0.0","0.0","0.0","0.0","29.45","40.86","175.56","87.78","146.12","134.7","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","1176.0","0.6","0.3","0.0","4.89","0.6","2.93","0.0","0.0","0.0","0.0","32.38","40.86","175.56","87.78","143.19","134.7","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","1176.0","0.53","0.3","0.0","5.01","0.53","2.68","0.0","0.0","0.0","0.0","35.05","40.86","175.56","87.78","140.51","134.7","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","1176.0","0.49","0.3","0.0","4.99","0.49","2.43","0.0","0.0","0.0","0.0","37.48","40.86","175.56","87.78","138.09","134.7","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","1176.0","0.44","0.3","0.0","6.25","0.44","2.75","0.0","0.0","0.0","0.0","40.23","40.86","175.56","87.78","135.34","134.7","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","1176.0","0.41","0.3","0.0","5.67","0.41","2.32","0.0","0.0","0.0","0.0","0.0","40.86","175.56","87.78","175.56","134.7","42.55","","","","","","","","",""
"2015.0","4.0","17.0","107.0","1176.0","0.38","0.32","0.0","5.38","0.38","2.07","0.0","0.0","0.0","0.0","2.07","40.86","175.56","87.78","173.5","134.7","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","1176.0","0.37","0.34","0.0","4.98","0.37","1.82","0.0","0.0","0.0","0.0","3.88","40.86","175.56","87.78","171.68","134.7","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","1176.0","0.35","0.36","0.0","5.17","0.36","1.88","0.0","0.0","0.0","0.0","5.77","40.86","175.56","87.78","169.8","134.7","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","1176.0","0.33","0.39","0.0","4.8","0.39","1.85","0.0","0.0","0.0","0.0","7.62","40.86","175.56","87.78","167.95","134.7","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","1176.0","0.32","0.41","0.0","3.84","0.41","1.56","0.0","0.0","0.0","0.0","9.18","40.86","175.56","87.78","166.38","134.7","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","1176.0","0.32","0.43","0.0","4.05","0.43","1.74","0.0","0.0","0.0","0.0","10.92","40.86","175.56","87.78","164.65","134.7","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","1176.0","0.31","0.45","0.0","4.79","0.45","2.16","0.0","0.0","0.0","0.0","13.07","40.86","175.56","87.78","162.49","134.7","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","1176.0","0.3","0.47","0.0","5.07","0.47","2.39","0.0","0.0","0.0","0.0","15.46","40.86","175.56","87.78","160.1","134.7","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","1176.0","1.06","0.49","0.0","4.03","1.06","4.27","10.88","10.88","0.0","0.0","8.85","40.86","175.56","87.78","166.71","134.7","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","1176.0","0.87","0.51","0.0","5.17","0.87","4.51","0.0","0.0","0.0","0.0","13.36","40.86","175.56","87.78","162.2","134.7","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","1176.0","0.68","0.54","0.0","5.81","0.68","3.94","0.0","0.0","0.0","0.0","17.3","40.86","175.56","87.78","158.27","134.7","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","1176.0","0.58","0.56","0.0","5.63","0.58","3.24","0.0","0.0","0.0","0.0","20.54","40.86","175.56","87.78","155.02","134.7","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","1176.0","0.51","0.58","0.0","5.42","0.58","3.14","0.0","0.0","0.0","0.0","23.68","40.86","175.56","87.78","151.89","134.7","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","1176.0","0.46","0.6","0.0","6.46","0.6","3.88","0.0","0.0","0.0","0.0","27.55","40.86","175.56","87.78","148.01","134.7","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","1176.0","0.42","0.62","0.0","6.5","0.62","4.04","0.0","0.0","0.0","0.0","31.59","40.86","175.56","87.78","143.97","134.7","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","1176.0","0.39","0.64","0.0","5.93","0.64","3.81","0.0","0.0","0.0","0.0","35.41","40.86","175.56","87.78","140.16","134.7","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","1176.0","0.37","0.66","0.0","5.27","0.66","3.5","0.0","0.0","0.0","0.0","38.91","40.86","175.56","87.78","136.66","134.7","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","1176.0","0.35","0.69","0.0","4.89","0.69","3.35","0.0","0.0","0.0","0.0","0.0","40.86","175.56","87.78","175.56","134.7","42.26","","","","","","","","",""
"2015.0","5.0","5.0","125.0","1176.0","0.34","0.71","0.0","4.9","0.71","3.47","0.0","0.0","0.0","0.0","3.47","40.86","175.56","87.78","172.1","134.7","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","1176.0","0.32","0.73","0.0","5.04","0.73","3.67","0.0","0.0","0.0","0.0","7.14","40.86","175.56","87.78","168.43","134.7","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","1176.0","0.32","0.75","0.0","3.23","0.75","2.42","0.0","0.0","0.0","0.0","9.56","40.86","175.56","87.78","166.01","134.7","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","1176.0","0.31","0.77","0.0","4.37","0.77","3.37","1.13","1.13","0.0","0.0","11.8","40.86","175.56","87.78","163.76","134.7","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","1176.0","0.3","0.79","0.0","4.89","0.79","3.88","0.0","0.0","0.0","0.0","15.68","40.86","175.56","87.78","159.89","134.7","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","1176.0","0.29","0.81","0.0","5.25","0.81","4.28","0.0","0.0","0.0","0.0","19.95","40.86","175.56","87.78","155.61","134.7","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","1176.0","0.28","0.84","0.0","5.24","0.84","4.38","0.0","0.0","0.0","0.0","24.33","40.86","175.56","87.78","151.23","134.7","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","1176.0","0.27","0.86","0.0","5.05","0.86","4.33","0.0","0.0","0.0","0.0","28.66","40.86","175.56","87.78","146.9","134.7","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","1176.0","0.26","0.88","0.0","4.75","0.88","4.17","0.0","0.0","0.0","0.0","32.83","40.86","175.56","87.78","142.73","134.7","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","1176.0","0.26","0.9","0.0","3.29","0.9","2.96","0.0","0.0","0.0","0.0","35.79","40.86","175.56","87.78","139.77","134.7","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","1176.0","0.26","0.92","0.0","4.65","0.92","4.28","1.77","1.77","0.0","0.0","38.31","40.86","175.56","87.78","137.26","134.7","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","1176.0","0.25","0.94","0.0","4.81","0.94","4.54","0.0","0.0","0.0","0.0","0.0","40.86","175.56","87.78","175.56","134.7","42.84","","","","","","","","",""
"2015.0","5.0","17.0","137.0","1176.0","0.25","0.96","0.0","3.92","0.96","3.78","0.0","0.0","0.0","0.0","3.78","40.86","175.56","87.78","171.78","134.7","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","1176.0","0.24","0.99","0.0","4.84","0.99","4.77","0.0","0.0","0.0","0.0","8.55","40.86","175.56","87.78","167.01","134.7","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","1176.0","0.24","1.01","0.0","5.04","1.01","5.08","0.0","0.0","0.0","0.0","13.63","40.86","175.56","87.78","161.94","134.7","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","1176.0","0.23","1.03","0.0","4.95","1.03","5.09","0.0","0.0","0.0","0.0","18.72","40.86","175.56","87.78","156.85","134.7","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","1176.0","0.23","1.05","0.0","4.01","1.05","4.21","0.0","0.0","0.0","0.0","22.93","40.86","175.56","87.78","152.64","134.7","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","1176.0","0.22","1.05","0.0","4.85","1.05","5.09","0.0","0.0","0.0","0.0","28.02","40.86","175.56","87.78","147.54","134.7","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","1176.0","0.22","1.05","0.0","4.86","1.05","5.1","0.0","0.0","0.0","0.0","33.12","40.86","175.56","87.78","142.44","134.7","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","1176.0","0.22","1.05","0.0","5.54","1.05","5.82","0.0","0.0","0.0","0.0","38.94","40.86","175.56","87.78","136.62","134.7","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","1176.0","0.21","1.05","0.0","5.5","1.05","5.78","0.0","0.0","0.0","0.0","0.0","40.86","175.56","87.78","175.56","134.7","44.72","","","","","","","","",""
"2015.0","5.0","26.0","146.0","1176.0","0.21","1.05","0.0","5.52","1.05","5.8","0.0","0.0","0.0","0.0","5.8","40.86","175.56","87.78","169.77","134.7","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","1176.0","0.2","1.05","0.0","5.56","1.05","5.84","0.0","0.0","0.0","0.0","11.63","40.86","175.56","87.78","163.93","134.7","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","1176.0","0.2","1.05","0.0","5.42","1.05","5.69","0.0","0.0","0.0","0.0","17.33","40.86","175.56","87.78","158.24","134.7","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","1176.0","0.2","1.05","0.0","6.13","1.05","6.44","0.0","0.0","0.0","0.0","23.76","40.86","175.56","87.78","151.8","134.7","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","1176.0","0.19","1.05","0.0","6.48","1.05","6.8","0.0","0.0","0.0","0.0","30.57","40.86","175.56","87.78","145.0","134.7","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","1176.0","0.19","1.05","0.0","5.44","1.05","5.71","0.0","0.0","0.0","0.0","36.28","40.86","175.56","87.78","139.29","134.7","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","1176.0","0.19","1.05","0.0","5.54","1.05","5.82","0.0","0.0","0.0","0.0","0.0","40.86","175.56","87.78","175.56","134.7","42.09","","","","","","","","",""
"2015.0","6.0","2.0","153.0","1176.0","0.19","1.05","0.0","5.77","1.05","6.06","0.0","0.0","0.0","0.0","6.06","40.86","175.56","87.78","169.51","134.7","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","1176.0","0.18","1.05","0.0","5.57","1.05","5.85","0.0","0.0","0.0","0.0","11.91","40.86","175.56","87.78","163.66","134.7","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","1176.0","0.18","1.05","0.0","5.83","1.05","6.12","0.0","0.0","0.0","0.0","18.03","40.86","175.56","87.78","157.54","134.7","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","1176.0","0.18","1.05","0.0","6.52","1.05","6.85","0.0","0.0","0.0","0.0","24.87","40.86","175.56","87.78","150.69","134.7","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","1176.0","0.17","1.05","0.0","6.39","1.05","6.71","0.0","0.0","0.0","0.0","31.58","40.86","175.56","87.78","143.98","134.7","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","1176.0","0.17","1.05","0.0","6.75","1.05","7.09","0.0","0.0","0.0","0.0","38.67","40.86","175.56","87.78","136.89","134.7","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","1176.0","0.17","1.05","0.0","7.39","1.05","7.76","0.0","0.0","0.0","0.0","0.0","40.86","175.56","87.78","175.56","134.7","46.43","","","","","","","","",""
"2015.0","6.0","9.0","160.0","1176.0","0.17","1.05","0.0","6.66","1.05","6.99","0.0","0.0","0.0","0.0","6.99","40.86","175.56","87.78","168.57","134.7","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","1176.0","0.17","1.05","0.0","3.04","1.05","3.19","0.1","0.1","0.0","0.0","10.09","40.86","175.56","87.78","165.48","134.7","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","1176.0","0.16","1.05","0.0","6.89","1.05","7.23","3.61","3.61","0.0","0.0","13.71","40.86","175.56","87.78","161.86","134.7","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","1176.0","0.16","1.05","0.0","7.67","1.05","8.05","0.0","0.0","0.0","0.0","21.76","40.86","175.56","87.78","153.8","134.7","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","1176.0","0.16","1.05","0.0","7.55","1.05","7.93","0.0","0.0","0.0","0.0","29.69","40.86","175.56","87.78","145.87","134.7","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","1176.0","0.16","1.05","0.0","6.8","1.05","7.14","0.0","0.0","0.0","0.0","36.83","40.86","175.56","87.78","138.73","134.7","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","1176.0","0.15","1.05","0.0","6.63","1.05","6.96","0.0","0.0","0.0","0.0","0.0","40.86","175.56","87.78","175.56","134.7","43.79","","","","","","","","",""
"2015.0","6.0","16.0","167.0","1176.0","0.15","1.05","0.0","6.95","1.05","7.3","0.0","0.0","0.0","0.0","7.3","40.86","175.56","87.78","168.27","134.7","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","1176.0","0.15","1.05","0.0","6.98","1.05","7.33","0.0","0.0","0.0","0.0","14.63","40.86","175.56","87.78","160.94","134.7","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","1176.0","0.15","1.05","0.0","7.54","1.05","7.92","0.0","0.0","0.0","0.0","22.54","40.86","175.56","87.78","153.02","134.7","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","1176.0","0.15","1.05","0.0","7.41","1.05","7.78","0.0","0.0","0.0","0.0","30.32","40.86","175.56","87.78","145.24","134.7","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","1176.0","0.15","1.05","0.0","6.95","1.05","7.3","0.0","0.0","0.0","0.0","37.62","40.86","175.56","87.78","137.94","134.7","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","1176.0","0.14","1.05","0.0","7.57","1.05","7.95","0.0","0.0","0.0","0.0","0.0","40.86","175.56","87.78","175.56","134.7","45.57","","","","","","","","",""
"2015.0","6.0","22.0","173.0","1176.0","0.14","1.05","0.0","7.07","1.05","7.42","0.0","0.0","0.0","0.0","7.42","40.86","175.56","87.78","168.14","134.7","0.0","","","","","","","","",""
"2015.0","6.0","23.0","174.0","1176.0","0.14","1.05","0.0","7.35","1.05","7.72","0.0","0.0","0.0","0.0","15.14","40.86","175.56","87.78","160.42","134.7","0.0","","","","","","","","",""
