" Daily soil water balance output for Urban Landscape in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Urban Landscape in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"2015.0","2.0","13.0","44.0","225.0","0.91","0.8","0.0","2.0","0.91","1.81","0.0","0.0","0.0","0.0","7.76","31.47","128.0","64.0","120.24","96.53","0.0","","","","","","",""
"2015.0","2.0","14.0","45.0","225.0","0.82","0.8","0.0","2.16","0.82","1.77","0.0","0.0","0.0","0.0","9.53","31.47","128.0","64.0","118.47","96.53","0.0","","","","","","",""
"2015.0","2.0","15.0","46.0","225.0","0.75","0.8","0.0","2.09","0.8","1.67","0.0","0.0","0.0","0.0","11.2","31.47","128.0","64.0","116.8","96.53","0.0","","","","","","",""
"2015.0","2.0","16.0","47.0","225.0","0.7","0.8","0.0","2.19","0.8","1.75","0.0","0.0","0.0","0.0","12.95","31.47","128.0","64.0","115.05","96.53","0.0","","","","","","",""
"2015.0","2.0","17.0","48.0","225.0","0.66","0.8","0.0","1.85","0.8","1.48","0.0","0.0","0.0","0.0","14.43","31.47","128.0","64.0","113.57","96.53","0.0","","","","","","",""
"2015.0","2.0","18.0","49.0","225.0","0.63","0.8","0.0","1.58","0.8","1.26","0.0","0.0","0.0","0.0","15.69","31.47","128.0","64.0","112.31","96.53","0.0","","","","","","",""
"2015.0","2.0","19.0","50.0","225.0","0.62","0.8","0.0","1.04","0.8","0.83","0.0","0.0","0.0","0.0","16.53","31.47","128.0","64.0","111.47","96.53","0.0","","","","","","",""
"2015.0","2.0","20.0","51.0","225.0","0.59","0.8","0.0","2.0","0.8","1.6","0.0","0.0","0.0","0.0","18.13","31.47","128.0","64.0","109.87","96.53","0.0","","","","","","",""
"2015.0","2.0","21.0","52.0","225.0","0.57","0.8","0.0","1.73","0.8","1.38","0.0","0.0","0.0","0.0","19.51","31.47","128.0","64.0","108.49","96.53","0.0","","","","","","",""
"2015.0","2.0","22.0","53.0","225.0","0.53","0.8","0.0","3.63","0.8","2.9","0.0","0.0","0.0","0.0","22.41","31.47","128.0","64.0","105.59","96.53","0.0","","","","","","",""
"2015.0","2.0","23.0","54.0","225.0","0.49","0.8","0.0","4.25","0.8","3.4","0.0","0.0","0.0","0.0","25.81","31.47","128.0","64.0","102.19","96.53","0.0","","","","","","",""
"2015.0","2.0","24.0","55.0","225.0","0.47","0.8","0.0","2.81","0.8","2.25","0.0","0.0","0.0","0.0","28.06","31.47","128.0","64.0","99.94","96.53","0.0","","","","","","",""
"2015.0","2.0","25.0","56.0","225.0","0.46","0.8","0.0","2.18","0.8","1.74","0.0","0.0","0.0","0.0","29.81","31.47","128.0","64.0","98.19","96.53","0.0","","","","","","",""
"2015.0","2.0","26.0","57.0","225.0","0.44","0.8","0.0","3.03","0.8","2.42","0.0","0.0","0.0","0.0","0.0","31.47","128.0","64.0","128.0","96.53","32.23","","","","","","",""
"2015.0","2.0","27.0","58.0","225.0","0.42","0.8","0.0","2.87","0.8","2.3","0.0","0.0","0.0","0.0","2.3","31.47","128.0","64.0","125.7","96.53","0.0","","","","","","",""
"2015.0","2.0","28.0","59.0","225.0","0.41","0.8","0.0","2.01","0.8","1.61","0.0","0.0","0.0","0.0","3.9","31.47","128.0","64.0","124.1","96.53","0.0","","","","","","",""
"2015.0","3.0","1.0","60.0","225.0","0.4","0.8","0.0","2.65","0.8","2.12","0.0","0.0","0.0","0.0","6.02","31.47","128.0","64.0","121.98","96.53","0.0","","","","","","",""
"2015.0","3.0","2.0","61.0","225.0","0.39","0.8","0.0","2.24","0.8","1.79","0.0","0.0","0.0","0.0","7.82","31.47","128.0","64.0","120.18","96.53","0.0","","","","","","",""
"2015.0","3.0","3.0","62.0","225.0","1.12","0.8","0.0","2.55","1.12","2.85","3.36","3.36","0.0","0.0","7.31","31.47","128.0","64.0","120.69","96.53","0.0","","","","","","",""
"2015.0","3.0","4.0","63.0","225.0","1.12","0.8","0.0","2.6","1.12","2.9","0.0","0.0","0.0","0.0","10.21","31.47","128.0","64.0","117.79","96.53","0.0","","","","","","",""
"2015.0","3.0","5.0","64.0","225.0","0.97","0.8","0.0","2.79","0.97","2.72","0.0","0.0","0.0","0.0","12.93","31.47","128.0","64.0","115.07","96.53","0.0","","","","","","",""
"2015.0","3.0","6.0","65.0","225.0","0.83","0.8","0.0","2.99","0.83","2.48","0.0","0.0","0.0","0.0","15.41","31.47","128.0","64.0","112.59","96.53","0.0","","","","","","",""
"2015.0","3.0","7.0","66.0","225.0","0.74","0.8","0.0","2.81","0.8","2.25","0.0","0.0","0.0","0.0","17.65","31.47","128.0","64.0","110.35","96.53","0.0","","","","","","",""
"2015.0","3.0","8.0","67.0","225.0","0.67","0.8","0.0","2.94","0.8","2.35","0.0","0.0","0.0","0.0","20.01","31.47","128.0","64.0","107.99","96.53","0.0","","","","","","",""
"2015.0","3.0","9.0","68.0","225.0","0.62","0.8","0.0","2.98","0.8","2.38","0.0","0.0","0.0","0.0","22.39","31.47","128.0","64.0","105.61","96.53","0.0","","","","","","",""
"2015.0","3.0","10.0","69.0","225.0","0.58","0.8","0.0","2.3","0.8","1.84","0.0","0.0","0.0","0.0","24.23","31.47","128.0","64.0","103.77","96.53","0.0","","","","","","",""
"2015.0","3.0","11.0","70.0","225.0","0.56","0.8","0.0","2.11","0.8","1.69","0.83","0.83","0.0","0.0","25.09","31.47","128.0","64.0","102.91","96.53","0.0","","","","","","",""
"2015.0","3.0","12.0","71.0","225.0","1.08","0.8","0.0","3.41","1.08","3.7","4.58","4.58","0.0","0.0","24.2","31.47","128.0","64.0","103.8","96.53","0.0","","","","","","",""
"2015.0","3.0","13.0","72.0","225.0","1.07","0.8","0.0","3.03","1.07","3.24","0.0","0.0","0.0","0.0","27.45","31.47","128.0","64.0","100.55","96.53","0.0","","","","","","",""
"2015.0","3.0","14.0","73.0","225.0","0.87","0.8","0.0","3.23","0.87","2.82","0.0","0.0","0.0","0.0","30.27","31.47","128.0","64.0","97.73","96.53","0.0","","","","","","",""
"2015.0","3.0","15.0","74.0","225.0","0.74","0.8","0.0","3.74","0.8","2.99","0.0","0.0","0.0","0.0","0.0","31.47","128.0","64.0","128.0","96.53","33.26","","","","","","",""
"2015.0","3.0","16.0","75.0","225.0","0.68","0.8","0.0","2.43","0.8","1.94","0.0","0.0","0.0","0.0","1.94","31.47","128.0","64.0","126.06","96.53","0.0","","","","","","",""
"2015.0","3.0","17.0","76.0","225.0","0.62","0.8","0.0","3.53","0.8","2.82","0.0","0.0","0.0","0.0","4.77","31.47","128.0","64.0","123.23","96.53","0.0","","","","","","",""
"2015.0","3.0","18.0","77.0","225.0","0.56","0.8","0.0","3.85","0.8","3.08","0.01","0.01","0.0","0.0","7.84","31.47","128.0","64.0","120.16","96.53","0.0","","","","","","",""
"2015.0","3.0","19.0","78.0","225.0","0.52","0.8","0.0","3.88","0.8","3.1","0.0","0.0","0.0","0.0","10.94","31.47","128.0","64.0","117.06","96.53","0.0","","","","","","",""
"2015.0","3.0","20.0","79.0","225.0","0.49","0.8","0.0","3.07","0.8","2.46","0.0","0.0","0.0","0.0","13.4","31.47","128.0","64.0","114.6","96.53","0.0","","","","","","",""
"2015.0","3.0","21.0","80.0","225.0","0.47","0.8","0.0","3.6","0.8","2.88","0.0","0.0","0.0","0.0","16.28","31.47","128.0","64.0","111.72","96.53","0.0","","","","","","",""
"2015.0","3.0","22.0","81.0","225.0","0.44","0.8","0.0","3.31","0.8","2.65","0.0","0.0","0.0","0.0","18.93","31.47","128.0","64.0","109.07","96.53","0.0","","","","","","",""
"2015.0","3.0","23.0","82.0","225.0","0.43","0.8","0.0","3.28","0.8","2.62","0.11","0.11","0.0","0.0","21.44","31.47","128.0","64.0","106.56","96.53","0.0","","","","","","",""
"2015.0","3.0","24.0","83.0","225.0","0.41","0.8","0.0","3.19","0.8","2.55","0.0","0.0","0.0","0.0","23.99","31.47","128.0","64.0","104.01","96.53","0.0","","","","","","",""
"2015.0","3.0","25.0","84.0","225.0","0.39","0.8","0.0","4.18","0.8","3.34","0.0","0.0","0.0","0.0","27.34","31.47","128.0","64.0","100.66","96.53","0.0","","","","","","",""
"2015.0","3.0","26.0","85.0","225.0","0.38","0.8","0.0","3.88","0.8","3.1","0.0","0.0","0.0","0.0","30.44","31.47","128.0","64.0","97.56","96.53","0.0","","","","","","",""
"2015.0","3.0","27.0","86.0","225.0","0.36","0.8","0.0","4.4","0.8","3.52","0.0","0.0","0.0","0.0","0.0","31.47","128.0","64.0","128.0","96.53","33.96","","","","","","",""
"2015.0","3.0","28.0","87.0","225.0","0.35","0.8","0.0","4.93","0.8","3.94","0.0","0.0","0.0","0.0","3.94","31.47","128.0","64.0","124.06","96.53","0.0","","","","","","",""
"2015.0","3.0","29.0","88.0","225.0","0.33","0.8","0.0","4.71","0.8","3.77","0.0","0.0","0.0","0.0","7.71","31.47","128.0","64.0","120.29","96.53","0.0","","","","","","",""
"2015.0","3.0","30.0","89.0","225.0","0.32","0.8","0.0","4.49","0.8","3.59","0.0","0.0","0.0","0.0","11.3","31.47","128.0","64.0","116.7","96.53","0.0","","","","","","",""
"2015.0","3.0","31.0","90.0","225.0","0.31","0.8","0.0","4.65","0.8","3.72","0.0","0.0","0.0","0.0","15.02","31.47","128.0","64.0","112.98","96.53","0.0","","","","","","",""
"2015.0","4.0","1.0","91.0","225.0","0.3","0.8","0.0","4.22","0.8","3.38","0.0","0.0","0.0","0.0","18.4","31.47","128.0","64.0","109.6","96.53","0.0","","","","","","",""
"2015.0","4.0","2.0","92.0","225.0","0.29","0.8","0.0","5.54","0.8","4.43","0.0","0.0","0.0","0.0","22.83","31.47","128.0","64.0","105.17","96.53","0.0","","","","","","",""
"2015.0","4.0","3.0","93.0","225.0","0.28","0.8","0.0","4.6","0.8","3.68","0.0","0.0","0.0","0.0","26.51","31.47","128.0","64.0","101.49","96.53","0.0","","","","","","",""
"2015.0","4.0","4.0","94.0","225.0","0.28","0.8","0.0","4.48","0.8","3.58","0.0","0.0","0.0","0.0","30.1","31.47","128.0","64.0","97.9","96.53","0.0","","","","","","",""
"2015.0","4.0","5.0","95.0","225.0","0.27","0.8","0.0","2.56","0.8","2.05","0.0","0.0","0.0","0.0","0.0","31.47","128.0","64.0","128.0","96.53","32.14","","","","","","",""
"2015.0","4.0","6.0","96.0","225.0","0.27","0.8","0.0","2.92","0.8","2.34","0.96","0.96","0.0","0.0","1.38","31.47","128.0","64.0","126.62","96.53","0.0","","","","","","",""
"2015.0","4.0","7.0","97.0","225.0","1.12","0.8","0.0","2.53","1.12","2.83","4.05","4.05","0.0","0.0","0.16","31.47","128.0","64.0","127.84","96.53","0.0","","","","","","",""
"2015.0","4.0","8.0","98.0","225.0","1.1","0.8","0.0","2.94","1.1","3.24","14.39","3.4","0.0","0.0","0.0","31.47","128.0","64.0","128.0","96.53","0.0","","","","","","",""
"2015.0","4.0","9.0","99.0","225.0","1.07","0.8","0.0","3.48","1.07","3.73","0.0","0.0","0.0","0.0","3.73","31.47","128.0","64.0","124.27","96.53","0.0","","","","","","",""
"2015.0","4.0","10.0","100.0","225.0","0.83","0.8","0.0","4.1","0.83","3.42","0.0","0.0","0.0","0.0","7.15","31.47","128.0","64.0","120.85","96.53","0.0","","","","","","",""
"2015.0","4.0","11.0","101.0","225.0","0.7","0.8","0.0","4.26","0.8","3.41","0.0","0.0","0.0","0.0","10.55","31.47","128.0","64.0","117.45","96.53","0.0","","","","","","",""
"2015.0","4.0","12.0","102.0","225.0","0.6","0.8","0.0","4.91","0.8","3.93","0.0","0.0","0.0","0.0","14.48","31.47","128.0","64.0","113.52","96.53","0.0","","","","","","",""
"2015.0","4.0","13.0","103.0","225.0","0.54","0.8","0.0","4.91","0.8","3.93","0.0","0.0","0.0","0.0","18.41","31.47","128.0","64.0","109.59","96.53","0.0","","","","","","",""
"2015.0","4.0","14.0","104.0","225.0","0.49","0.8","0.0","4.87","0.8","3.9","0.0","0.0","0.0","0.0","22.31","31.47","128.0","64.0","105.69","96.53","0.0","","","","","","",""
"2015.0","4.0","15.0","105.0","225.0","0.44","0.8","0.0","6.58","0.8","5.26","0.0","0.0","0.0","0.0","27.57","31.47","128.0","64.0","100.43","96.53","0.0","","","","","","",""
"2015.0","4.0","16.0","106.0","225.0","0.41","0.8","0.0","6.06","0.8","4.85","0.0","0.0","0.0","0.0","0.0","31.47","128.0","64.0","128.0","96.53","32.42","","","","","","",""
"2015.0","4.0","17.0","107.0","225.0","0.38","0.8","0.0","5.29","0.8","4.23","0.0","0.0","0.0","0.0","4.23","31.47","128.0","64.0","123.77","96.53","0.0","","","","","","",""
"2015.0","4.0","18.0","108.0","225.0","0.36","0.8","0.0","4.95","0.8","3.96","0.0","0.0","0.0","0.0","8.19","31.47","128.0","64.0","119.81","96.53","0.0","","","","","","",""
"2015.0","4.0","19.0","109.0","225.0","0.35","0.8","0.0","5.18","0.8","4.14","0.0","0.0","0.0","0.0","12.34","31.47","128.0","64.0","115.66","96.53","0.0","","","","","","",""
"2015.0","4.0","20.0","110.0","225.0","0.33","0.8","0.0","4.74","0.8","3.79","0.0","0.0","0.0","0.0","16.13","31.47","128.0","64.0","111.87","96.53","0.0","","","","","","",""
"2015.0","4.0","21.0","111.0","225.0","0.32","0.8","0.0","3.79","0.8","3.03","0.0","0.0","0.0","0.0","19.16","31.47","128.0","64.0","108.84","96.53","0.0","","","","","","",""
"2015.0","4.0","22.0","112.0","225.0","0.32","0.8","0.0","4.2","0.8","3.36","0.0","0.0","0.0","0.0","22.52","31.47","128.0","64.0","105.48","96.53","0.0","","","","","","",""
"2015.0","4.0","23.0","113.0","225.0","0.31","0.8","0.0","4.75","0.8","3.8","0.0","0.0","0.0","0.0","26.32","31.47","128.0","64.0","101.68","96.53","0.0","","","","","","",""
"2015.0","4.0","24.0","114.0","225.0","0.3","0.8","0.0","4.96","0.8","3.97","0.0","0.0","0.0","0.0","30.29","31.47","128.0","64.0","97.71","96.53","0.0","","","","","","",""
"2015.0","4.0","25.0","115.0","225.0","1.06","0.8","0.0","3.96","1.06","4.2","11.93","11.93","0.0","0.0","22.56","31.47","128.0","64.0","105.44","96.53","0.0","","","","","","",""
"2015.0","4.0","26.0","116.0","225.0","0.88","0.8","0.0","5.11","0.88","4.5","0.0","0.0","0.0","0.0","27.06","31.47","128.0","64.0","100.94","96.53","0.0","","","","","","",""
"2015.0","4.0","27.0","117.0","225.0","0.67","0.8","0.0","6.12","0.8","4.9","0.0","0.0","0.0","0.0","0.0","31.47","128.0","64.0","128.0","96.53","31.95","","","","","","",""
"2015.0","4.0","28.0","118.0","225.0","0.58","0.8","0.0","5.51","0.8","4.41","0.0","0.0","0.0","0.0","4.41","31.47","128.0","64.0","123.59","96.53","0.0","","","","","","",""
"2015.0","4.0","29.0","119.0","225.0","0.51","0.8","0.0","5.26","0.8","4.21","0.0","0.0","0.0","0.0","8.62","31.47","128.0","64.0","119.38","96.53","0.0","","","","","","",""
"2015.0","4.0","30.0","120.0","225.0","0.46","0.8","0.0","6.47","0.8","5.18","0.0","0.0","0.0","0.0","13.79","31.47","128.0","64.0","114.21","96.53","0.0","","","","","","",""
"2015.0","5.0","1.0","121.0","225.0","0.42","0.8","0.0","6.45","0.8","5.16","0.0","0.0","0.0","0.0","18.95","31.47","128.0","64.0","109.05","96.53","0.0","","","","","","",""
"2015.0","5.0","2.0","122.0","225.0","0.39","0.8","0.0","5.94","0.8","4.75","0.0","0.0","0.0","0.0","23.7","31.47","128.0","64.0","104.3","96.53","0.0","","","","","","",""
"2015.0","5.0","3.0","123.0","225.0","0.37","0.8","0.0","5.17","0.8","4.14","0.0","0.0","0.0","0.0","27.84","31.47","128.0","64.0","100.16","96.53","0.0","","","","","","",""
"2015.0","5.0","4.0","124.0","225.0","0.35","0.8","0.0","4.74","0.8","3.79","0.0","0.0","0.0","0.0","0.0","31.47","128.0","64.0","128.0","96.53","31.63","","","","","","",""
"2015.0","5.0","5.0","125.0","225.0","0.34","0.8","0.0","4.79","0.8","3.83","0.0","0.0","0.0","0.0","3.83","31.47","128.0","64.0","124.17","96.53","0.0","","","","","","",""
"2015.0","5.0","6.0","126.0","225.0","0.32","0.8","0.0","5.2","0.8","4.16","0.0","0.0","0.0","0.0","7.99","31.47","128.0","64.0","120.01","96.53","0.0","","","","","","",""
"2015.0","5.0","7.0","127.0","225.0","0.32","0.8","0.0","3.82","0.8","3.06","0.5","0.5","0.0","0.0","10.55","31.47","128.0","64.0","117.45","96.53","0.0","","","","","","",""
"2015.0","5.0","8.0","128.0","225.0","0.31","0.8","0.0","4.45","0.8","3.56","0.01","0.01","0.0","0.0","14.1","31.47","128.0","64.0","113.9","96.53","0.0","","","","","","",""
"2015.0","5.0","9.0","129.0","225.0","0.3","0.8","0.0","4.99","0.8","3.99","0.0","0.0","0.0","0.0","18.09","31.47","128.0","64.0","109.91","96.53","0.0","","","","","","",""
"2015.0","5.0","10.0","130.0","225.0","0.29","0.8","0.0","5.12","0.8","4.1","0.0","0.0","0.0","0.0","22.19","31.47","128.0","64.0","105.81","96.53","0.0","","","","","","",""
"2015.0","5.0","11.0","131.0","225.0","0.28","0.8","0.0","5.11","0.8","4.09","0.0","0.0","0.0","0.0","26.27","31.47","128.0","64.0","101.73","96.53","0.0","","","","","","",""
"2015.0","5.0","12.0","132.0","225.0","0.27","0.8","0.0","5.01","0.8","4.01","0.0","0.0","0.0","0.0","30.28","31.47","128.0","64.0","97.72","96.53","0.0","","","","","","",""
"2015.0","5.0","13.0","133.0","225.0","0.26","0.8","0.0","4.72","0.8","3.78","0.0","0.0","0.0","0.0","0.0","31.47","128.0","64.0","128.0","96.53","34.06","","","","","","",""
"2015.0","5.0","14.0","134.0","225.0","0.26","0.8","0.0","3.63","0.8","2.9","0.0","0.0","0.0","0.0","2.9","31.47","128.0","64.0","125.1","96.53","0.0","","","","","","",""
"2015.0","5.0","15.0","135.0","225.0","0.25","0.8","0.0","4.7","0.8","3.76","0.06","0.06","0.0","0.0","6.6","31.47","128.0","64.0","121.4","96.53","0.0","","","","","","",""
"2015.0","5.0","16.0","136.0","225.0","0.25","0.8","0.0","4.79","0.8","3.83","0.0","0.0","0.0","0.0","10.44","31.47","128.0","64.0","117.56","96.53","0.0","","","","","","",""
"2015.0","5.0","17.0","137.0","225.0","0.24","0.8","0.0","3.87","0.8","3.1","0.0","0.0","0.0","0.0","13.53","31.47","128.0","64.0","114.47","96.53","0.0","","","","","","",""
"2015.0","5.0","18.0","138.0","225.0","0.24","0.8","0.0","4.77","0.8","3.82","0.0","0.0","0.0","0.0","17.35","31.47","128.0","64.0","110.65","96.53","0.0","","","","","","",""
"2015.0","5.0","19.0","139.0","225.0","0.24","0.8","0.0","4.98","0.8","3.98","0.0","0.0","0.0","0.0","21.33","31.47","128.0","64.0","106.67","96.53","0.0","","","","","","",""
"2015.0","5.0","20.0","140.0","225.0","0.23","0.8","0.0","4.89","0.8","3.91","0.0","0.0","0.0","0.0","25.24","31.47","128.0","64.0","102.76","96.53","0.0","","","","","","",""
"2015.0","5.0","21.0","141.0","225.0","0.23","0.8","0.0","4.59","0.8","3.67","0.0","0.0","0.0","0.0","28.92","31.47","128.0","64.0","99.08","96.53","0.0","","","","","","",""
"2015.0","5.0","22.0","142.0","225.0","0.22","0.8","0.0","4.9","0.8","3.92","0.0","0.0","0.0","0.0","0.0","31.47","128.0","64.0","128.0","96.53","32.84","","","","","","",""
"2015.0","5.0","23.0","143.0","225.0","0.22","0.8","0.0","4.73","0.8","3.78","0.0","0.0","0.0","0.0","3.78","31.47","128.0","64.0","124.22","96.53","0.0","","","","","","",""
"2015.0","5.0","24.0","144.0","225.0","0.21","0.8","0.0","5.57","0.8","4.46","0.0","0.0","0.0","0.0","8.24","31.47","128.0","64.0","119.76","96.53","0.0","","","","","","",""
"2015.0","5.0","25.0","145.0","225.0","0.21","0.8","0.0","5.38","0.8","4.3","0.0","0.0","0.0","0.0","12.54","31.47","128.0","64.0","115.46","96.53","0.0","","","","","","",""
"2015.0","5.0","26.0","146.0","225.0","0.21","0.8","0.0","5.42","0.8","4.34","0.0","0.0","0.0","0.0","16.88","31.47","128.0","64.0","111.12","96.53","0.0","","","","","","",""
"2015.0","5.0","27.0","147.0","225.0","0.2","0.8","0.0","5.47","0.8","4.38","0.0","0.0","0.0","0.0","21.26","31.47","128.0","64.0","106.74","96.53","0.0","","","","","","",""
"2015.0","5.0","28.0","148.0","225.0","0.2","0.8","0.0","5.36","0.8","4.29","0.0","0.0","0.0","0.0","25.54","31.47","128.0","64.0","102.46","96.53","0.0","","","","","","",""
"2015.0","5.0","29.0","149.0","225.0","0.2","0.8","0.0","5.96","0.8","4.77","0.0","0.0","0.0","0.0","30.31","31.47","128.0","64.0","97.69","96.53","0.0","","","","","","",""
"2015.0","5.0","30.0","150.0","225.0","0.19","0.8","0.0","6.29","0.8","5.03","0.0","0.0","0.0","0.0","0.0","31.47","128.0","64.0","128.0","96.53","35.34","","","","","","",""
"2015.0","5.0","31.0","151.0","225.0","0.19","0.8","0.0","5.29","0.8","4.23","0.0","0.0","0.0","0.0","4.23","31.47","128.0","64.0","123.77","96.53","0.0","","","","","","",""
"2015.0","6.0","1.0","152.0","225.0","0.19","0.8","0.0","5.34","0.8","4.27","0.0","0.0","0.0","0.0","8.5","31.47","128.0","64.0","119.5","96.53","0.0","","","","","","",""
"2015.0","6.0","2.0","153.0","225.0","0.19","0.8","0.0","5.63","0.8","4.5","0.0","0.0","0.0","0.0","13.01","31.47","128.0","64.0","114.99","96.53","0.0","","","","","","",""
"2015.0","6.0","3.0","154.0","225.0","0.18","0.8","0.0","5.42","0.8","4.34","0.0","0.0","0.0","0.0","17.34","31.47","128.0","64.0","110.66","96.53","0.0","","","","","","",""
"2015.0","6.0","4.0","155.0","225.0","0.18","0.8","0.0","5.87","0.8","4.7","0.0","0.0","0.0","0.0","22.04","31.47","128.0","64.0","105.96","96.53","0.0","","","","","","",""
"2015.0","6.0","5.0","156.0","225.0","0.18","0.8","0.0","6.78","0.8","5.42","0.0","0.0","0.0","0.0","27.46","31.47","128.0","64.0","100.54","96.53","0.0","","","","","","",""
"2015.0","6.0","6.0","157.0","225.0","0.17","0.8","0.0","6.33","0.8","5.06","0.0","0.0","0.0","0.0","0.0","31.47","128.0","64.0","128.0","96.53","32.53","","","","","","",""
"2015.0","6.0","7.0","158.0","225.0","0.17","0.8","0.0","6.88","0.8","5.5","0.0","0.0","0.0","0.0","5.5","31.47","128.0","64.0","122.5","96.53","0.0","","","","","","",""
"2015.0","6.0","8.0","159.0","225.0","0.17","0.8","0.0","7.31","0.8","5.85","0.0","0.0","0.0","0.0","11.35","31.47","128.0","64.0","116.65","96.53","0.0","","","","","","",""
"2015.0","6.0","9.0","160.0","225.0","0.17","0.8","0.0","6.91","0.8","5.53","0.0","0.0","0.0","0.0","16.88","31.47","128.0","64.0","111.12","96.53","0.0","","","","","","",""
"2015.0","6.0","10.0","161.0","225.0","0.17","0.8","0.0","2.53","0.8","2.02","0.32","0.32","0.0","0.0","18.58","31.47","128.0","64.0","109.42","96.53","0.0","","","","","","",""
"2015.0","6.0","11.0","162.0","225.0","0.16","0.8","0.0","7.0","0.8","5.6","1.59","1.59","0.0","0.0","22.59","31.47","128.0","64.0","105.41","96.53","0.0","","","","","","",""
"2015.0","6.0","12.0","163.0","225.0","0.16","0.8","0.0","7.84","0.8","6.27","0.0","0.0","0.0","0.0","28.87","31.47","128.0","64.0","99.13","96.53","0.0","","","","","","",""
"2015.0","6.0","13.0","164.0","225.0","0.16","0.8","0.0","7.39","0.8","5.91","0.0","0.0","0.0","0.0","0.0","31.47","128.0","64.0","128.0","96.53","34.78","","","","","","",""
"2015.0","6.0","14.0","165.0","225.0","0.16","0.8","0.0","6.62","0.8","5.3","0.0","0.0","0.0","0.0","5.3","31.47","128.0","64.0","122.7","96.53","0.0","","","","","","",""
"2015.0","6.0","15.0","166.0","225.0","0.15","0.8","0.0","6.43","0.8","5.14","0.0","0.0","0.0","0.0","10.44","31.47","128.0","64.0","117.56","96.53","0.0","","","","","","",""
"2015.0","6.0","16.0","167.0","225.0","0.15","0.8","0.0","6.82","0.8","5.46","0.02","0.02","0.0","0.0","15.88","31.47","128.0","64.0","112.12","96.53","0.0","","","","","","",""
"2015.0","6.0","17.0","168.0","225.0","0.15","0.8","0.0","6.84","0.8","5.47","0.0","0.0","0.0","0.0","21.35","31.47","128.0","64.0","106.65","96.53","0.0","","","","","","",""
"2015.0","6.0","18.0","169.0","225.0","0.15","0.8","0.0","7.46","0.8","5.97","0.0","0.0","0.0","0.0","27.32","31.47","128.0","64.0","100.68","96.53","0.0","","","","","","",""
"2015.0","6.0","19.0","170.0","225.0","0.15","0.8","0.0","7.3","0.8","5.84","0.0","0.0","0.0","0.0","0.0","31.47","128.0","64.0","128.0","96.53","33.16","","","","","","",""
"2015.0","6.0","20.0","171.0","225.0","0.15","0.8","0.0","6.95","0.8","5.56","0.0","0.0","0.0","0.0","5.56","31.47","128.0","64.0","122.44","96.53","0.0","","","","","","",""
"2015.0","6.0","21.0","172.0","225.0","0.14","0.8","0.0","7.44","0.8","5.95","0.0","0.0","0.0","0.0","11.51","31.47","128.0","64.0","116.49","96.53","0.0","","","","","","",""
"2015.0","6.0","22.0","173.0","225.0","0.14","0.8","0.0","6.8","0.8","5.44","0.0","0.0","0.0","0.0","16.95","31.47","128.0","64.0","111.05","96.53","0.0","","","","","","",""
"2015.0","6.0","23.0","174.0","225.0","0.14","0.8","0.0","7.3","0.8","5.84","0.0","0.0","0.0","0.0","22.79","31.47","128.0","64.0","105.21","96.53","0.0","","","","","","",""
"2015.0","6.0","24.0","175.0","225.0","0.14","0.8","0.0","7.32","0.8","5.86","0.0","0.0","0.0","0.0","28.65","31.47","128.0","64.0","99.35","96.53","0.0","","","","","","",""
"2015.0","6.0","25.0","176.0","225.0","0.14","0.8","0.0","7.89","0.8","6.31","0.0","0.0","0.0","0.0","0.0","31.47","128.0","64.0","128.0","96.53","34.96","","","","","","",""
"2015.0","6.0","26.0","177.0","225.0","0.14","0.8","0.0","8.25","0.8","6.6","0.0","0.0","0.0","0.0","6.6","31.47","128.0","64.0","121.4","96.53","0.0","","","","","","",""
"2015.0","6.0","27.0","178.0","225.0","0.13","0.8","0.0","6.73","0.8","5.38","0.0","0.0","0.0","0.0","11.98","31.47","128.0","64.0","116.02","96.53","0.0","","","","","","",""
"2015.0","6.0","28.0","179.0","225.0","0.13","0.8","0.0","7.15","0.8","5.72","0.0","0.0","0.0","0.0","17.7","31.47","128.0","64.0","110.3","96.53","0.0","","","","","","",""
"2015.0","6.0","29.0","180.0","225.0","0.13","0.8","0.0","7.45","0.8","5.96","0.0","0.0","0.0","0.0","23.66","31.47","128.0","64.0","104.34","96.53","0.0","","","","","","",""
"2015.0","6.0","30.0","181.0","225.0","0.13","0.8","0.0","7.57","0.8","6.06","0.0","0.0","0.0","0.0","29.72","31.47","128.0","64.0","98.28","96.53","0.0","","","","","","",""
"2015.0","7.0","1.0","182.0","225.0","0.13","0.8","0.0","7.43","0.8","5.94","0.0","0.0","0.0","0.0","0.0","31.47","128.0","64.0","128.0","96.53","35.66","","","","","","",""
"2015.0","7.0","2.0","183.0","225.0","0.13","0.8","0.0","6.96","0.8","5.57","0.0","0.0","0.0","0.0","5.57","31.47","128.0","64.0","122.43","96.53","0.0","","","","","","",""
"2015.0","7.0","3.0","184.0","225.0","0.13","0.8","0.0","7.37","0.8","5.9","0.0","0.0","0.0","0.0","11.46","31.47","128.0","64.0","116.54","96.53","0.0","","","","","","",""
