" Daily soil water balance output for Cucurbits in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Cucurbits in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"2015.0","2.0","9.0","40.0","172.0","1.14","0.0","0.0","2.07","1.14","2.35","11.18","2.35","0.0","0.0","0.0","25.5","336.8","168.4","336.8","311.3","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","172.0","1.14","0.0","0.0","1.86","1.14","2.12","0.0","0.0","0.0","0.0","2.12","25.5","336.8","168.4","334.68","311.3","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","172.0","1.15","0.0","0.0","1.69","1.15","1.94","0.0","0.0","0.0","0.0","4.06","25.5","336.8","168.4","332.75","311.3","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","172.0","1.01","0.0","0.0","2.01","1.01","2.02","0.0","0.0","0.0","0.0","6.08","25.5","336.8","168.4","330.72","311.3","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","172.0","0.89","0.0","0.0","2.06","0.89","1.84","0.0","0.0","0.0","0.0","7.92","25.5","336.8","168.4","328.88","311.3","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","172.0","0.81","0.0","0.0","2.19","0.81","1.76","0.0","0.0","0.0","0.0","9.69","25.5","336.8","168.4","327.12","311.3","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","172.0","0.74","0.0","0.0","2.1","0.74","1.56","0.0","0.0","0.0","0.0","11.24","25.5","336.8","168.4","325.56","311.3","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","172.0","0.69","0.0","0.0","2.08","0.69","1.44","0.0","0.0","0.0","0.0","12.68","25.5","336.8","168.4","324.12","311.3","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","172.0","0.66","0.0","0.0","1.79","0.66","1.18","0.0","0.0","0.0","0.0","13.86","25.5","336.8","168.4","322.94","311.3","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","172.0","0.63","0.0","0.0","1.77","0.63","1.11","0.0","0.0","0.0","0.0","14.97","25.5","336.8","168.4","321.83","311.3","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","172.0","0.61","0.0","0.0","1.04","0.61","0.64","0.0","0.0","0.0","0.0","15.61","25.5","336.8","168.4","321.2","311.3","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","172.0","0.59","0.0","0.0","1.91","0.59","1.12","0.0","0.0","0.0","0.0","16.73","25.5","336.8","168.4","320.08","311.3","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","172.0","0.56","0.0","0.0","1.73","0.56","0.98","0.0","0.0","0.0","0.0","17.7","25.5","336.8","168.4","319.1","311.3","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","172.0","0.53","0.0","0.0","3.17","0.53","1.68","0.0","0.0","0.0","0.0","19.38","25.5","336.8","168.4","317.42","311.3","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","172.0","0.5","0.0","0.0","3.74","0.5","1.86","0.0","0.0","0.0","0.0","21.24","25.5","336.8","168.4","315.57","311.3","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","172.0","0.48","0.0","0.0","2.72","0.48","1.29","0.0","0.0","0.0","0.0","22.53","25.5","336.8","168.4","314.27","311.3","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","172.0","0.46","0.0","0.0","2.16","0.46","1.0","0.0","0.0","0.0","0.0","23.53","25.5","336.8","168.4","313.28","311.3","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","172.0","0.44","0.0","0.0","2.91","0.44","1.29","0.0","0.0","0.0","0.0","24.82","25.5","336.8","168.4","311.99","311.3","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","172.0","0.43","0.0","0.0","2.89","0.43","1.24","0.0","0.0","0.0","0.0","26.05","25.5","336.8","168.4","310.75","311.3","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","172.0","0.42","0.0","0.0","2.1","0.42","0.88","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","172.0","0.41","0.0","0.0","2.54","0.41","1.03","0.0","0.0","0.0","0.0","26.53","25.5","336.8","168.4","310.27","311.3","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","172.0","0.4","0.0","0.0","2.2","0.4","0.87","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","172.0","0.39","0.0","0.0","2.5","0.39","0.97","0.31","0.31","0.0","0.0","26.16","25.5","336.8","168.4","310.65","311.3","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","172.0","0.38","0.0","0.0","2.61","0.38","0.98","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","172.0","0.37","0.0","0.0","2.81","0.37","1.03","0.0","0.0","0.0","0.0","26.53","25.5","336.8","168.4","310.27","311.3","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","172.0","0.36","0.0","0.0","2.99","0.36","1.07","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","172.0","0.35","0.0","0.0","2.86","0.35","1.0","0.0","0.0","0.0","0.0","26.5","25.5","336.8","168.4","310.31","311.3","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","172.0","0.34","0.0","0.0","2.91","0.34","0.99","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","172.0","0.33","0.0","0.0","2.86","0.33","0.95","0.0","0.0","0.0","0.0","26.45","25.5","336.8","168.4","310.35","311.3","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","172.0","0.33","0.0","0.0","2.39","0.33","0.78","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","172.0","1.13","0.0","0.0","2.24","1.13","2.53","2.67","2.67","0.0","0.0","25.36","25.5","336.8","168.4","311.44","311.3","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","172.0","1.11","0.0","0.0","3.32","1.11","3.68","2.08","2.08","0.0","0.0","26.96","25.5","336.8","168.4","309.84","311.3","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","172.0","0.93","0.0","0.0","3.03","0.93","2.83","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","172.0","0.79","0.0","0.0","3.33","0.79","2.63","0.0","0.0","0.0","0.0","28.13","25.5","336.8","168.4","308.67","311.3","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","172.0","0.69","0.0","0.0","3.77","0.69","2.59","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","172.0","0.64","0.0","0.0","2.61","0.64","1.66","0.0","0.0","0.0","0.0","27.16","25.5","336.8","168.4","309.64","311.3","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","172.0","0.58","0.0","0.0","3.59","0.58","2.09","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","172.0","0.54","0.0","0.0","3.75","0.54","2.01","1.28","1.28","0.0","0.0","26.23","25.5","336.8","168.4","310.57","311.3","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","172.0","0.5","0.0","0.0","3.78","0.5","1.89","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","172.0","0.48","0.0","0.0","3.08","0.48","1.47","0.0","0.0","0.0","0.0","26.97","25.5","336.8","168.4","309.84","311.3","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","172.0","0.45","0.0","0.0","3.5","0.45","1.58","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","172.0","0.43","0.0","0.0","3.12","0.43","1.35","0.0","0.0","0.0","0.0","26.85","25.5","336.8","168.4","309.95","311.3","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","172.0","0.42","0.0","0.0","3.08","0.42","1.29","0.53","0.53","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","172.0","0.4","0.0","0.0","3.33","0.4","1.34","0.0","0.0","0.0","0.0","26.84","25.5","336.8","168.4","309.96","311.3","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","172.0","0.39","0.0","0.0","4.06","0.39","1.56","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","172.0","0.37","0.0","0.0","3.9","0.37","1.45","0.0","0.0","0.0","0.0","26.95","25.5","336.8","168.4","309.86","311.3","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","172.0","0.36","0.0","0.0","4.27","0.36","1.52","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","172.0","0.34","0.0","0.0","4.84","0.34","1.65","0.0","0.0","0.0","0.0","27.15","25.5","336.8","168.4","309.65","311.3","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","172.0","0.33","0.0","0.0","4.63","0.33","1.52","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","172.0","0.32","0.0","0.0","4.42","0.32","1.41","0.0","0.0","0.0","0.0","26.91","25.5","336.8","168.4","309.9","311.3","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","172.0","0.31","0.0","0.0","4.62","0.31","1.43","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","172.0","0.3","0.0","0.0","4.12","0.3","1.24","0.0","0.0","0.0","0.0","26.74","25.5","336.8","168.4","310.07","311.3","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","172.0","0.29","0.0","0.0","5.35","0.29","1.55","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","172.0","0.28","0.0","0.0","4.55","0.28","1.29","0.0","0.0","0.0","0.0","26.79","25.5","336.8","168.4","310.02","311.3","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","172.0","0.28","0.0","0.0","4.42","0.28","1.22","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","172.0","0.27","0.0","0.0","2.61","0.27","0.71","0.65","0.65","0.0","0.0","25.56","25.5","336.8","168.4","311.24","311.3","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","172.0","1.1","0.0","0.0","2.92","1.1","3.22","4.82","4.82","0.0","0.0","20.74","25.5","336.8","168.4","316.06","311.3","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","172.0","1.11","0.0","0.0","2.82","1.11","3.12","3.41","3.41","0.0","0.0","20.45","25.5","336.8","168.4","316.35","311.3","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","172.0","1.1","0.0","0.0","3.06","1.1","3.36","6.61","6.61","0.0","0.0","17.2","25.5","336.8","168.4","319.6","311.3","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","172.0","1.06","0.0","0.0","3.49","1.06","3.7","0.0","0.0","0.0","0.0","20.9","25.5","336.8","168.4","315.9","311.3","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","172.0","0.83","0.0","0.0","4.07","0.83","3.37","0.0","0.0","0.0","0.0","24.27","25.5","336.8","168.4","312.53","311.3","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","172.0","0.7","0.0","0.0","4.2","0.7","2.94","0.0","0.0","0.0","0.0","27.21","25.5","336.8","168.4","309.59","311.3","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","172.0","0.61","0.0","0.0","4.8","0.61","2.9","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","172.0","0.54","0.0","0.0","4.68","0.54","2.54","0.0","0.0","0.0","0.0","28.04","25.5","336.8","168.4","308.77","311.3","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","172.0","0.49","0.0","0.0","4.89","0.49","2.42","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","172.0","0.45","0.0","0.0","6.17","0.45","2.76","0.0","0.0","0.0","0.0","28.26","25.5","336.8","168.4","308.55","311.3","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","172.0","0.41","0.0","0.0","5.75","0.41","2.37","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","172.0","0.39","0.0","0.0","5.26","0.39","2.04","0.0","0.0","0.0","0.0","27.54","25.5","336.8","168.4","309.26","311.3","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","172.0","0.37","0.0","0.0","4.83","0.37","1.78","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","172.0","0.35","0.0","0.0","4.94","0.35","1.74","0.0","0.0","0.0","0.0","27.24","25.5","336.8","168.4","309.56","311.3","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","172.0","0.34","0.0","0.0","4.55","0.34","1.54","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","172.0","0.33","0.0","0.0","3.69","0.33","1.22","0.0","0.0","0.0","0.0","26.72","25.5","336.8","168.4","310.09","311.3","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","172.0","0.32","0.0","0.0","4.06","0.32","1.3","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","172.0","0.31","0.0","0.0","4.61","0.31","1.43","0.0","0.0","0.0","0.0","26.93","25.5","336.8","168.4","309.88","311.3","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","172.0","0.3","0.0","0.0","4.98","0.3","1.49","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","172.0","1.06","0.0","0.0","3.96","1.06","4.2","7.89","7.89","0.0","0.0","21.81","25.5","336.8","168.4","314.99","311.3","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","172.0","0.88","0.0","0.0","5.06","0.88","4.47","0.0","0.0","0.0","0.0","26.28","25.5","336.8","168.4","310.52","311.3","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","172.0","0.68","0.0","0.0","5.85","0.68","3.99","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","172.0","0.58","0.0","0.0","5.37","0.58","3.13","0.0","0.0","0.0","0.0","28.63","25.5","336.8","168.4","308.17","311.3","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","172.0","0.52","0.0","0.0","5.19","0.52","2.7","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","172.0","0.46","0.0","0.0","6.36","0.46","2.94","0.0","0.0","0.0","0.0","28.44","25.5","336.8","168.4","308.36","311.3","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","172.0","0.42","0.0","0.0","6.3","0.42","2.66","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","172.0","0.39","0.0","0.0","5.65","0.39","2.22","0.0","0.0","0.0","0.0","27.72","25.5","336.8","168.4","309.08","311.3","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","172.0","0.37","0.0","0.0","4.95","0.37","1.85","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","172.0","0.36","0.0","0.0","4.62","0.36","1.65","0.0","0.0","0.0","0.0","27.15","25.5","336.8","168.4","309.65","311.3","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","172.0","0.34","0.0","0.0","4.71","0.34","1.61","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","172.0","0.33","0.0","0.0","4.99","0.33","1.64","0.0","0.0","0.0","0.0","27.14","25.5","336.8","168.4","309.66","311.3","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","172.0","0.32","0.0","0.0","3.32","0.32","1.07","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","172.0","0.31","0.0","0.0","4.33","0.31","1.35","0.3","0.3","0.0","0.0","26.55","25.5","336.8","168.4","310.25","311.3","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","172.0","0.3","0.0","0.0","4.75","0.3","1.44","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","172.0","0.29","0.0","0.0","4.97","0.29","1.45","0.0","0.0","0.0","0.0","26.95","25.5","336.8","168.4","309.85","311.3","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","172.0","0.28","0.0","0.0","4.98","0.28","1.41","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","172.0","0.28","0.0","0.0","4.94","0.28","1.36","0.0","0.0","0.0","0.0","26.86","25.5","336.8","168.4","309.94","311.3","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","172.0","0.27","0.0","0.0","4.64","0.27","1.25","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","172.0","0.27","0.0","0.0","3.04","0.27","0.81","0.0","0.0","0.0","0.0","26.31","25.5","336.8","168.4","310.5","311.3","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","172.0","0.26","0.0","0.0","4.56","0.26","1.19","3.66","3.66","0.0","0.0","22.65","25.5","336.8","168.4","314.16","311.3","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","172.0","0.25","0.0","0.0","4.67","0.25","1.19","0.0","0.0","0.0","0.0","23.84","25.5","336.8","168.4","312.97","311.3","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","172.0","0.25","0.0","0.0","3.98","0.25","0.99","0.0","0.0","0.0","0.0","24.83","25.5","336.8","168.4","311.97","311.3","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","172.0","0.24","0.0","0.0","4.71","0.24","1.15","0.0","0.0","0.0","0.0","25.98","25.5","336.8","168.4","310.82","311.3","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","172.0","0.24","0.0","0.0","4.89","0.24","1.17","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","172.0","0.24","0.0","0.0","4.74","0.24","1.11","0.0","0.0","0.0","0.0","26.61","25.5","336.8","168.4","310.19","311.3","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","172.0","0.23","0.0","0.0","4.02","0.23","0.93","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","172.0","0.23","0.0","0.0","4.76","0.23","1.08","0.0","0.0","0.0","0.0","26.58","25.5","336.8","168.4","310.22","311.3","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","172.0","0.22","0.0","0.0","4.73","0.22","1.06","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","172.0","0.22","0.0","0.0","5.3","0.22","1.16","0.0","0.0","0.0","0.0","26.66","25.5","336.8","168.4","310.14","311.3","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","172.0","0.22","0.0","0.0","5.22","0.22","1.12","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","172.0","0.21","0.0","0.0","5.23","0.21","1.11","0.0","0.0","0.0","0.0","26.61","25.5","336.8","168.4","310.2","311.3","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","172.0","0.21","0.0","0.0","5.27","0.21","1.1","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","172.0","0.2","0.0","0.0","5.16","0.2","1.06","0.0","0.0","0.0","0.0","26.56","25.5","336.8","168.4","310.25","311.3","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","172.0","0.2","0.0","0.0","5.83","0.2","1.17","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","172.0","0.2","0.0","0.0","6.13","0.2","1.21","0.0","0.0","0.0","0.0","26.71","25.5","336.8","168.4","310.09","311.3","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","172.0","0.19","0.0","0.0","5.1","0.19","0.99","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","172.0","0.19","0.52","0.0","5.33","0.52","2.77","0.0","0.0","0.0","0.0","28.27","69.74","336.8","168.4","308.53","267.07","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","172.0","0.19","0.52","0.0","5.55","0.52","2.89","0.0","0.0","0.0","0.0","31.16","69.74","336.8","168.4","305.65","267.07","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","172.0","0.19","0.52","0.0","5.22","0.52","2.71","0.0","0.0","0.0","0.0","33.87","69.74","336.8","168.4","302.93","267.07","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","172.0","0.18","0.52","0.0","5.69","0.52","2.96","0.0","0.0","0.0","0.0","36.83","69.74","336.8","168.4","299.97","267.07","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","172.0","0.18","0.52","0.0","6.41","0.52","3.33","0.0","0.0","0.0","0.0","40.16","69.74","336.8","168.4","296.64","267.07","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","172.0","0.18","0.52","0.0","6.08","0.52","3.16","0.0","0.0","0.0","0.0","43.33","69.74","336.8","168.4","293.48","267.07","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","172.0","0.18","0.52","0.0","6.53","0.52","3.4","0.0","0.0","0.0","0.0","46.72","69.74","336.8","168.4","290.08","267.07","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","172.0","0.17","0.52","0.0","7.19","0.52","3.74","0.0","0.0","0.0","0.0","50.46","69.74","336.8","168.4","286.34","267.07","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","172.0","0.17","0.52","0.0","6.4","0.52","3.33","0.0","0.0","0.0","0.0","53.79","69.74","336.8","168.4","283.02","267.07","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","172.0","0.17","0.52","0.0","2.74","0.52","1.42","0.19","0.19","0.0","0.0","55.02","69.74","336.8","168.4","281.78","267.07","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","172.0","0.17","0.52","0.0","6.69","0.52","3.48","3.14","3.14","0.0","0.0","55.36","69.74","336.8","168.4","281.44","267.07","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","172.0","0.16","0.52","0.0","7.43","0.52","3.86","0.0","0.0","0.0","0.0","59.23","69.74","336.8","168.4","277.58","267.07","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","172.0","0.16","0.52","0.0","7.13","0.52","3.71","0.0","0.0","0.0","0.0","62.93","69.74","336.8","168.4","273.87","267.07","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","172.0","0.16","0.52","0.0","6.37","0.52","3.31","0.0","0.0","0.0","0.0","66.25","69.74","336.8","168.4","270.56","267.07","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","172.0","0.16","0.52","0.0","6.19","0.52","3.22","0.0","0.0","0.0","0.0","69.46","69.74","336.8","168.4","267.34","267.07","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","172.0","0.16","0.52","0.0","6.63","0.52","3.45","3.09","3.09","0.0","0.0","0.0","69.74","336.8","168.4","336.8","267.07","69.82","","","","","","","","",""
"2015.0","6.0","17.0","168.0","172.0","0.15","0.52","0.0","6.67","0.52","3.47","0.0","0.0","0.0","0.0","3.47","69.74","336.8","168.4","333.34","267.07","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","172.0","0.15","0.52","0.0","7.15","0.52","3.72","0.0","0.0","0.0","0.0","7.19","69.74","336.8","168.4","329.62","267.07","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","172.0","0.15","0.52","0.0","7.13","0.52","3.71","0.0","0.0","0.0","0.0","10.89","69.74","336.8","168.4","325.91","267.07","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","172.0","0.15","0.53","0.0","6.67","0.53","3.56","0.0","0.0","0.0","0.0","14.46","69.74","336.8","168.4","322.35","267.07","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","172.0","0.15","0.55","0.0","7.12","0.55","3.9","0.0","0.0","0.0","0.0","18.36","69.74","336.8","168.4","318.44","267.07","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","172.0","0.15","0.56","0.0","6.69","0.56","3.76","0.0","0.0","0.0","0.0","22.12","69.74","336.8","168.4","314.68","267.07","0.0","","","","","","","","",""
"2015.0","6.0","23.0","174.0","172.0","0.14","0.58","0.0","7.08","0.58","4.08","0.0","0.0","0.0","0.0","26.2","69.74","336.8","168.4","310.6","267.07","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","172.0","0.14","0.59","0.0","7.0","0.59","4.13","0.0","0.0","0.0","0.0","30.33","69.74","336.8","168.4","306.47","267.07","0.0","","","","","","","","",""
"2015.0","6.0","25.0","176.0","172.0","0.14","0.6","0.0","7.72","0.6","4.67","0.0","0.0","0.0","0.0","35.0","69.74","336.8","168.4","301.8","267.07","0.0","","","","","","","","",""
"2015.0","6.0","26.0","177.0","172.0","0.14","0.62","0.0","7.92","0.62","4.9","0.0","0.0","0.0","0.0","39.9","69.74","336.8","168.4","296.91","267.07","0.0","","","","","","","","",""
