" Daily soil water balance output for Walnuts in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Walnuts in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","2.0","9.0","40.0","227.0","1.14","0.0","0.0","1.97","1.14","2.25","23.02","2.25","0.0","0.0","0.0","20.25","411.48","205.74","411.48","391.23","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","227.0","1.14","0.0","0.0","1.83","1.14","2.09","0.18","0.18","0.0","0.0","1.91","20.25","411.48","205.74","409.57","391.23","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","227.0","1.15","0.0","0.0","1.59","1.15","1.83","0.0","0.0","0.0","0.0","3.74","20.25","411.48","205.74","407.74","391.23","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","227.0","1.03","0.0","0.0","1.98","1.03","2.03","0.0","0.0","0.0","0.0","5.77","20.25","411.48","205.74","405.71","391.23","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","227.0","0.91","0.0","0.0","2.03","0.91","1.84","0.0","0.0","0.0","0.0","7.61","20.25","411.48","205.74","403.87","391.23","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","227.0","0.82","0.0","0.0","2.18","0.82","1.78","0.0","0.0","0.0","0.0","9.39","20.25","411.48","205.74","402.09","391.23","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","227.0","0.75","0.0","0.0","2.09","0.75","1.57","0.0","0.0","0.0","0.0","10.96","20.25","411.48","205.74","400.52","391.23","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","227.0","0.7","0.0","0.0","2.24","0.7","1.56","0.0","0.0","0.0","0.0","12.52","20.25","411.48","205.74","398.96","391.23","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","227.0","0.66","0.0","0.0","1.94","0.66","1.28","0.0","0.0","0.0","0.0","13.8","20.25","411.48","205.74","397.68","391.23","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","227.0","0.63","0.0","0.0","1.5","0.63","0.95","0.0","0.0","0.0","0.0","14.74","20.25","411.48","205.74","396.74","391.23","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","227.0","0.62","0.0","0.0","1.08","0.62","0.66","0.0","0.0","0.0","0.0","15.41","20.25","411.48","205.74","396.07","391.23","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","227.0","0.59","0.0","0.0","1.97","0.59","1.16","0.0","0.0","0.0","0.0","16.57","20.25","411.48","205.74","394.91","391.23","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","227.0","0.57","0.0","0.0","1.62","0.57","0.92","0.0","0.0","0.0","0.0","17.49","20.25","411.48","205.74","393.99","391.23","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","227.0","0.53","0.0","0.0","3.74","0.53","1.97","0.0","0.0","0.0","0.0","19.46","20.25","411.48","205.74","392.02","391.23","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","227.0","0.49","0.0","0.0","4.35","0.49","2.13","0.0","0.0","0.0","0.0","21.58","20.25","411.48","205.74","389.9","391.23","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","227.0","0.47","0.0","0.0","2.85","0.47","1.33","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","227.0","0.45","0.0","0.0","2.19","0.45","0.99","0.0","0.0","0.0","0.0","21.24","20.25","411.48","205.74","390.24","391.23","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","227.0","0.44","0.0","0.0","3.07","0.44","1.34","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","227.0","0.42","0.0","0.0","2.77","0.42","1.17","0.0","0.0","0.0","0.0","21.42","20.25","411.48","205.74","390.06","391.23","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","227.0","0.41","0.0","0.0","1.93","0.41","0.8","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","227.0","0.4","0.0","0.0","2.68","0.4","1.07","0.0","0.0","0.0","0.0","21.32","20.25","411.48","205.74","390.16","391.23","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","227.0","0.39","0.0","0.0","2.33","0.39","0.91","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","227.0","0.38","0.0","0.0","2.59","0.38","0.99","1.02","1.02","0.0","0.0","20.22","20.25","411.48","205.74","391.26","391.23","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","227.0","0.37","0.0","0.0","2.6","0.37","0.97","0.0","0.0","0.0","0.0","21.18","20.25","411.48","205.74","390.3","391.23","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","227.0","0.36","0.0","0.0","2.79","0.36","1.01","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","227.0","0.35","0.0","0.0","3.0","0.35","1.06","0.0","0.0","0.0","0.0","21.31","20.25","411.48","205.74","390.17","391.23","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","227.0","0.35","0.0","0.0","2.8","0.35","0.97","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","227.0","0.34","0.0","0.0","2.98","0.34","1.01","0.0","0.0","0.0","0.0","21.26","20.25","411.48","205.74","390.22","391.23","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","227.0","0.33","0.0","0.0","3.06","0.33","1.01","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","227.0","0.32","0.0","0.0","2.4","0.32","0.78","0.0","0.0","0.0","0.0","21.03","20.25","411.48","205.74","390.45","391.23","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","227.0","0.32","0.0","0.0","2.11","0.32","0.67","1.32","1.32","0.0","0.0","19.71","20.25","411.48","205.74","391.77","391.23","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","227.0","1.08","0.0","0.0","3.47","1.08","3.75","3.55","3.55","0.0","0.0","19.91","20.25","411.48","205.74","391.57","391.23","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","227.0","1.06","0.0","0.0","3.11","1.06","3.29","0.0","0.0","0.0","0.0","23.2","20.25","411.48","205.74","388.28","391.23","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","227.0","0.86","0.0","0.0","3.29","0.86","2.84","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","227.0","0.73","0.0","0.0","3.85","0.73","2.81","0.0","0.0","0.0","0.0","23.06","20.25","411.48","205.74","388.42","391.23","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","227.0","0.68","0.0","0.0","2.46","0.68","1.66","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","227.0","0.61","0.0","0.0","3.49","0.61","2.13","0.0","0.0","0.0","0.0","22.38","20.25","411.48","205.74","389.1","391.23","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","227.0","0.56","0.0","0.0","3.89","0.56","2.17","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","227.0","0.52","0.0","0.0","3.94","0.52","2.03","0.0","0.0","0.0","0.0","22.28","20.25","411.48","205.74","389.2","391.23","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","227.0","0.49","0.0","0.0","3.11","0.49","1.52","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","227.0","0.46","0.0","0.0","3.63","0.46","1.68","0.0","0.0","0.0","0.0","21.93","20.25","411.48","205.74","389.55","391.23","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","227.0","0.44","0.0","0.0","3.27","0.44","1.45","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","227.0","0.42","0.0","0.0","3.28","0.42","1.39","0.25","0.25","0.0","0.0","21.39","20.25","411.48","205.74","390.09","391.23","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","227.0","0.41","0.0","0.0","3.19","0.41","1.3","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","227.0","0.39","0.0","0.0","4.23","0.39","1.65","0.0","0.0","0.0","0.0","21.9","20.25","411.48","205.74","389.58","391.23","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","227.0","0.37","0.0","0.0","3.92","0.37","1.47","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","227.0","0.36","0.0","0.0","4.55","0.36","1.63","0.0","0.0","0.0","0.0","21.88","20.25","411.48","205.74","389.6","391.23","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","227.0","0.34","0.0","0.0","4.99","0.34","1.71","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","227.0","0.33","0.0","0.0","4.76","0.33","1.57","0.0","0.0","0.0","0.0","21.82","20.25","411.48","205.74","389.66","391.23","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","227.0","0.32","0.0","0.0","4.57","0.32","1.46","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","227.0","0.31","0.0","0.0","4.61","0.31","1.43","0.0","0.0","0.0","0.0","21.68","20.25","411.48","205.74","389.8","391.23","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","227.0","0.3","0.0","0.0","4.22","0.3","1.27","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","227.0","0.29","0.0","0.0","5.59","0.29","1.62","0.0","0.0","0.0","0.0","21.87","20.25","411.48","205.74","389.61","391.23","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","227.0","0.28","0.0","0.0","4.63","0.28","1.31","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","227.0","0.28","0.0","0.0","4.53","0.28","1.25","0.0","0.0","0.0","0.0","21.5","20.25","411.48","205.74","389.98","391.23","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","227.0","0.27","0.0","0.0","2.58","0.27","0.7","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","227.0","0.27","0.0","0.0","2.98","0.27","0.8","1.42","1.42","0.0","0.0","19.63","20.25","411.48","205.74","391.85","391.23","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","227.0","1.12","0.0","0.0","2.41","1.12","2.71","6.49","6.49","0.0","0.0","15.85","20.25","411.48","205.74","395.63","391.23","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","227.0","1.1","0.0","0.0","2.91","1.1","3.21","13.25","13.25","0.0","0.0","5.81","20.25","411.48","205.74","405.67","391.23","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","227.0","1.07","0.0","0.0","3.48","1.07","3.74","0.0","0.0","0.0","0.0","9.55","20.25","411.48","205.74","401.93","391.23","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","227.0","0.83","0.0","0.0","4.13","0.83","3.44","0.0","0.0","0.0","0.0","12.99","20.25","411.48","205.74","398.49","391.23","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","227.0","0.7","0.0","0.0","4.29","0.7","3.0","0.0","0.0","0.0","0.0","15.99","20.25","411.48","205.74","395.49","391.23","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","227.0","0.6","0.0","0.0","4.97","0.6","2.99","0.0","0.0","0.0","0.0","18.98","20.25","411.48","205.74","392.5","391.23","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","227.0","0.53","0.0","0.0","5.12","0.53","2.74","0.0","0.0","0.0","0.0","21.72","20.25","411.48","205.74","389.76","391.23","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","227.0","0.49","0.0","0.0","4.85","0.49","2.37","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","227.0","0.44","0.55","0.0","6.7","0.55","3.69","0.0","0.0","0.0","0.0","23.94","90.06","411.48","205.74","387.55","321.42","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","227.0","0.4","0.56","0.0","6.12","0.56","3.4","0.0","0.0","0.0","0.0","27.34","90.06","411.48","205.74","384.14","321.42","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","227.0","0.38","0.56","0.0","5.33","0.56","3.0","0.0","0.0","0.0","0.0","30.33","90.06","411.48","205.74","381.15","321.42","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","227.0","0.36","0.57","0.0","5.03","0.57","2.86","0.0","0.0","0.0","0.0","33.19","90.06","411.48","205.74","378.29","321.42","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","227.0","0.34","0.57","0.0","5.36","0.57","3.08","0.0","0.0","0.0","0.0","36.27","90.06","411.48","205.74","375.21","321.42","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","227.0","0.33","0.58","0.0","4.9","0.58","2.84","0.0","0.0","0.0","0.0","39.11","90.06","411.48","205.74","372.37","321.42","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","227.0","0.32","0.59","0.0","3.95","0.59","2.31","0.0","0.0","0.0","0.0","41.42","90.06","411.48","205.74","370.06","321.42","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","227.0","0.31","0.59","0.0","4.22","0.59","2.5","0.0","0.0","0.0","0.0","43.92","90.06","411.48","205.74","367.56","321.42","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","227.0","0.3","0.6","0.0","4.83","0.6","2.89","0.0","0.0","0.0","0.0","46.81","90.06","411.48","205.74","364.67","321.42","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","227.0","0.29","0.6","0.0","4.92","0.6","2.97","0.0","0.0","0.0","0.0","49.78","90.06","411.48","205.74","361.7","321.42","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","227.0","1.06","0.61","0.0","4.12","1.06","4.35","14.13","14.13","0.0","0.0","40.0","90.06","411.48","205.74","371.48","321.42","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","227.0","0.87","0.62","0.0","5.12","0.87","4.46","0.0","0.0","0.0","0.0","44.45","90.06","411.48","205.74","367.03","321.42","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","227.0","0.67","0.62","0.0","6.14","0.67","4.1","0.0","0.0","0.0","0.0","48.56","90.06","411.48","205.74","362.92","321.42","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","227.0","0.57","0.63","0.0","5.67","0.63","3.56","0.0","0.0","0.0","0.0","52.12","90.06","411.48","205.74","359.36","321.42","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","227.0","0.51","0.63","0.0","5.35","0.63","3.39","0.0","0.0","0.0","0.0","55.51","90.06","411.48","205.74","355.97","321.42","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","227.0","0.45","0.64","0.0","6.54","0.64","4.19","0.0","0.0","0.0","0.0","59.69","90.06","411.48","205.74","351.79","321.42","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","227.0","0.41","0.65","0.0","6.55","0.65","4.23","0.0","0.0","0.0","0.0","63.93","90.06","411.48","205.74","347.55","321.42","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","227.0","0.38","0.65","0.0","6.19","0.65","4.04","0.0","0.0","0.0","0.0","67.96","90.06","411.48","205.74","343.52","321.42","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","227.0","0.36","0.66","0.0","5.44","0.66","3.58","0.0","0.0","0.0","0.0","71.54","90.06","411.48","205.74","339.94","321.42","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","227.0","0.35","0.66","0.0","4.95","0.66","3.29","0.0","0.0","0.0","0.0","74.83","90.06","411.48","205.74","336.65","321.42","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","227.0","0.33","0.67","0.0","4.89","0.67","3.28","0.0","0.0","0.0","0.0","78.1","90.06","411.48","205.74","333.38","321.42","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","227.0","0.32","0.68","0.0","5.24","0.68","3.54","0.0","0.0","0.0","0.0","81.65","90.06","411.48","205.74","329.83","321.42","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","227.0","0.31","0.68","0.0","4.2","0.68","2.86","0.45","0.45","0.0","0.0","84.06","90.06","411.48","205.74","327.42","321.42","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","227.0","0.3","0.69","0.0","4.53","0.69","3.12","0.55","0.55","0.0","0.0","86.63","90.06","411.48","205.74","324.85","321.42","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","227.0","0.29","0.69","0.0","5.14","0.69","3.57","0.0","0.0","0.0","0.0","0.0","90.06","411.48","205.74","411.48","321.42","90.19","","","","","","","","",""
"2015.0","5.0","10.0","130.0","227.0","0.28","0.7","0.0","5.31","0.7","3.72","0.0","0.0","0.0","0.0","3.72","90.06","411.48","205.74","407.76","321.42","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","227.0","0.27","0.71","0.0","5.28","0.71","3.73","0.0","0.0","0.0","0.0","7.44","90.06","411.48","205.74","404.04","321.42","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","227.0","0.27","0.71","0.0","5.03","0.71","3.58","0.0","0.0","0.0","0.0","11.03","90.06","411.48","205.74","400.45","321.42","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","227.0","0.26","0.72","0.0","4.79","0.72","3.44","0.0","0.0","0.0","0.0","14.47","90.06","411.48","205.74","397.01","321.42","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","227.0","0.26","0.72","0.0","3.95","0.72","2.86","0.0","0.0","0.0","0.0","17.33","90.06","411.48","205.74","394.15","321.42","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","227.0","0.25","0.73","0.0","4.75","0.73","3.47","0.02","0.02","0.0","0.0","20.77","90.06","411.48","205.74","390.71","321.42","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","227.0","0.24","0.74","0.0","4.87","0.74","3.58","0.0","0.0","0.0","0.0","24.36","90.06","411.48","205.74","387.12","321.42","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","227.0","0.24","0.74","0.0","4.0","0.74","2.97","0.0","0.0","0.0","0.0","27.32","90.06","411.48","205.74","384.16","321.42","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","227.0","0.24","0.75","0.0","4.7","0.75","3.52","0.0","0.0","0.0","0.0","30.84","90.06","411.48","205.74","380.64","321.42","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","227.0","0.23","0.75","0.0","5.07","0.75","3.82","0.0","0.0","0.0","0.0","34.66","90.06","411.48","205.74","376.82","321.42","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","227.0","0.23","0.76","0.0","5.05","0.76","3.84","0.0","0.0","0.0","0.0","38.5","90.06","411.48","205.74","372.98","321.42","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","227.0","0.22","0.77","0.0","4.58","0.77","3.51","0.0","0.0","0.0","0.0","42.01","90.06","411.48","205.74","369.47","321.42","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","227.0","0.22","0.77","0.0","4.94","0.77","3.81","0.0","0.0","0.0","0.0","45.82","90.06","411.48","205.74","365.66","321.42","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","227.0","0.22","0.78","0.0","4.77","0.78","3.71","0.0","0.0","0.0","0.0","49.53","90.06","411.48","205.74","361.95","321.42","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","227.0","0.21","0.78","0.0","5.77","0.78","4.52","0.0","0.0","0.0","0.0","54.06","90.06","411.48","205.74","357.42","321.42","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","227.0","0.21","0.79","0.0","5.58","0.79","4.41","0.0","0.0","0.0","0.0","58.47","90.06","411.48","205.74","353.01","321.42","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","227.0","0.2","0.8","0.0","5.63","0.8","4.48","0.0","0.0","0.0","0.0","62.95","90.06","411.48","205.74","348.53","321.42","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","227.0","0.2","0.8","0.0","5.67","0.8","4.55","0.0","0.0","0.0","0.0","67.49","90.06","411.48","205.74","343.99","321.42","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","227.0","0.2","0.81","0.0","5.48","0.81","4.43","0.0","0.0","0.0","0.0","71.92","90.06","411.48","205.74","339.56","321.42","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","227.0","0.19","0.81","0.0","6.16","0.81","5.01","0.0","0.0","0.0","0.0","76.94","90.06","411.48","205.74","334.54","321.42","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","227.0","0.19","0.82","0.0","6.49","0.82","5.32","0.0","0.0","0.0","0.0","82.26","90.06","411.48","205.74","329.22","321.42","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","227.0","0.19","0.83","0.0","5.57","0.83","4.6","0.0","0.0","0.0","0.0","86.86","90.06","411.48","205.74","324.62","321.42","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","227.0","0.19","0.83","0.0","5.56","0.83","4.63","0.0","0.0","0.0","0.0","0.0","90.06","411.48","205.74","411.48","321.42","91.49","","","","","","","","",""
"2015.0","6.0","2.0","153.0","227.0","0.18","0.84","0.0","5.75","0.84","4.82","0.0","0.0","0.0","0.0","4.82","90.06","411.48","205.74","406.66","321.42","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","227.0","0.18","0.84","0.0","5.65","0.84","4.77","0.0","0.0","0.0","0.0","9.59","90.06","411.48","205.74","401.89","321.42","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","227.0","0.18","0.85","0.0","5.94","0.85","5.05","0.0","0.0","0.0","0.0","14.64","90.06","411.48","205.74","396.84","321.42","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","227.0","0.17","0.86","0.0","6.93","0.86","5.93","0.0","0.0","0.0","0.0","20.57","90.06","411.48","205.74","390.91","321.42","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","227.0","0.17","0.86","0.0","6.53","0.86","5.63","0.01","0.01","0.0","0.0","26.19","90.06","411.48","205.74","385.29","321.42","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","227.0","0.17","0.87","0.0","7.06","0.87","6.13","0.0","0.0","0.0","0.0","32.32","90.06","411.48","205.74","379.16","321.42","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","227.0","0.17","0.87","0.0","7.42","0.87","6.49","0.0","0.0","0.0","0.0","38.8","90.06","411.48","205.74","372.68","321.42","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","227.0","0.16","0.88","0.0","7.22","0.88","6.35","0.0","0.0","0.0","0.0","45.15","90.06","411.48","205.74","366.33","321.42","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","227.0","0.16","0.89","0.0","2.57","0.89","2.28","0.07","0.07","0.0","0.0","47.36","90.06","411.48","205.74","364.12","321.42","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","227.0","0.16","0.89","0.0","7.16","0.89","6.39","1.22","1.22","0.0","0.0","52.53","90.06","411.48","205.74","358.95","321.42","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","227.0","0.16","0.9","0.0","8.08","0.9","7.26","0.0","0.0","0.0","0.0","59.78","90.06","411.48","205.74","351.7","321.42","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","227.0","0.16","0.9","0.0","7.66","0.9","6.92","0.0","0.0","0.0","0.0","66.71","90.06","411.48","205.74","344.77","321.42","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","227.0","0.15","0.91","0.0","6.92","0.91","6.3","0.0","0.0","0.0","0.0","73.01","90.06","411.48","205.74","338.47","321.42","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","227.0","0.15","0.92","0.0","6.72","0.92","6.16","0.0","0.0","0.0","0.0","79.16","90.06","411.48","205.74","332.32","321.42","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","227.0","0.15","0.92","0.0","7.03","0.92","6.48","0.0","0.0","0.0","0.0","85.64","90.06","411.48","205.74","325.84","321.42","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","227.0","0.15","0.93","0.0","6.97","0.93","6.47","0.0","0.0","0.0","0.0","0.0","90.06","411.48","205.74","411.48","321.42","92.11","","","","","","","","",""
"2015.0","6.0","18.0","169.0","227.0","0.15","0.93","0.0","7.75","0.93","7.24","0.0","0.0","0.0","0.0","7.24","90.06","411.48","205.74","404.24","321.42","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","227.0","0.14","0.94","0.0","7.43","0.94","6.98","0.0","0.0","0.0","0.0","14.22","90.06","411.48","205.74","397.26","321.42","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","227.0","0.14","0.95","0.0","7.17","0.95","6.78","0.0","0.0","0.0","0.0","21.01","90.06","411.48","205.74","390.47","321.42","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","227.0","0.14","0.95","0.0","7.78","0.95","7.41","0.0","0.0","0.0","0.0","28.41","90.06","411.48","205.74","383.07","321.42","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","227.0","0.14","0.96","0.0","6.99","0.96","6.7","0.0","0.0","0.0","0.0","35.11","90.06","411.48","205.74","376.37","321.42","0.0","","","","","","","","",""
"2015.0","6.0","23.0","174.0","227.0","0.14","0.96","0.0","7.45","0.96","7.18","0.0","0.0","0.0","0.0","42.29","90.06","411.48","205.74","369.19","321.42","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","227.0","0.14","0.97","0.0","7.51","0.97","7.28","0.0","0.0","0.0","0.0","49.58","90.06","411.48","205.74","361.91","321.42","0.0","","","","","","","","",""
"2015.0","6.0","25.0","176.0","227.0","0.14","0.98","0.0","7.98","0.98","7.79","0.0","0.0","0.0","0.0","57.36","90.06","411.48","205.74","354.12","321.42","0.0","","","","","","","","",""
"2015.0","6.0","26.0","177.0","227.0","0.13","0.98","0.0","8.46","0.98","8.31","0.0","0.0","0.0","0.0","65.67","90.06","411.48","205.74","345.81","321.42","0.0","","","","","","","","",""
