" Daily soil water balance output for Cherries in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Cherries in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","2.0","9.0","40.0","17.0","1.14","0.0","0.0","2.0","1.14","2.28","20.3","2.28","0.0","0.0","0.0","21.6","438.91","219.46","438.91","417.31","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","17.0","1.14","0.0","0.0","1.82","1.14","2.08","0.0","0.0","0.0","0.0","2.08","21.6","438.91","219.46","436.83","417.31","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","17.0","1.15","0.0","0.0","1.61","1.15","1.85","0.0","0.0","0.0","0.0","3.93","21.6","438.91","219.46","434.98","417.31","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","17.0","1.02","0.0","0.0","1.97","1.02","2.02","0.0","0.0","0.0","0.0","5.94","21.6","438.91","219.46","432.97","417.31","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","17.0","0.91","0.0","0.0","2.0","0.91","1.81","0.0","0.0","0.0","0.0","7.76","21.6","438.91","219.46","431.15","417.31","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","17.0","0.82","0.0","0.0","2.16","0.82","1.77","0.0","0.0","0.0","0.0","9.53","21.6","438.91","219.46","429.39","417.31","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","17.0","0.75","0.0","0.0","2.09","0.75","1.57","0.0","0.0","0.0","0.0","11.1","21.6","438.91","219.46","427.82","417.31","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","17.0","0.7","0.0","0.0","2.19","0.7","1.53","0.0","0.0","0.0","0.0","12.63","21.6","438.91","219.46","426.29","417.31","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","17.0","0.66","0.0","0.0","1.85","0.66","1.22","0.0","0.0","0.0","0.0","13.85","21.6","438.91","219.46","425.07","417.31","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","17.0","0.63","0.0","0.0","1.58","0.63","1.0","0.0","0.0","0.0","0.0","14.85","21.6","438.91","219.46","424.06","417.31","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","17.0","0.62","0.0","0.0","1.04","0.62","0.64","0.0","0.0","0.0","0.0","15.49","21.6","438.91","219.46","423.42","417.31","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","17.0","0.59","0.0","0.0","2.0","0.59","1.18","0.0","0.0","0.0","0.0","16.67","21.6","438.91","219.46","422.24","417.31","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","17.0","0.57","0.0","0.0","1.73","0.57","0.98","0.0","0.0","0.0","0.0","17.65","21.6","438.91","219.46","421.26","417.31","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","17.0","0.53","0.0","0.0","3.63","0.53","1.92","0.0","0.0","0.0","0.0","19.57","21.6","438.91","219.46","419.35","417.31","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","17.0","0.49","0.0","0.0","4.25","0.49","2.08","0.0","0.0","0.0","0.0","21.65","21.6","438.91","219.46","417.26","417.31","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","17.0","0.47","0.0","0.0","2.81","0.47","1.32","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","17.0","0.46","0.0","0.0","2.18","0.46","0.99","0.0","0.0","0.0","0.0","22.59","21.6","438.91","219.46","416.32","417.31","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","17.0","0.44","0.0","0.0","3.03","0.44","1.33","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","17.0","0.42","0.0","0.0","2.87","0.42","1.21","0.0","0.0","0.0","0.0","22.81","21.6","438.91","219.46","416.1","417.31","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","17.0","0.41","0.0","0.0","2.01","0.41","0.83","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","17.0","0.4","0.0","0.0","2.65","0.4","1.06","0.0","0.0","0.0","0.0","22.66","21.6","438.91","219.46","416.25","417.31","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","17.0","0.39","0.0","0.0","2.24","0.39","0.88","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","17.0","1.12","0.0","0.0","2.55","1.12","2.85","3.36","3.36","0.0","0.0","21.09","21.6","438.91","219.46","417.82","417.31","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","17.0","1.12","0.0","0.0","2.6","1.12","2.9","0.0","0.0","0.0","0.0","24.0","21.6","438.91","219.46","414.92","417.31","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","17.0","0.97","0.0","0.0","2.79","0.97","2.72","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","17.0","0.83","0.0","0.0","2.99","0.83","2.48","0.0","0.0","0.0","0.0","24.08","21.6","438.91","219.46","414.83","417.31","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","17.0","0.74","0.0","0.0","2.81","0.74","2.08","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","17.0","0.67","0.0","0.0","2.94","0.67","1.97","0.0","0.0","0.0","0.0","23.57","21.6","438.91","219.46","415.34","417.31","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","17.0","0.62","0.0","0.0","2.98","0.62","1.84","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","17.0","0.58","0.0","0.0","2.3","0.58","1.34","0.0","0.0","0.0","0.0","22.94","21.6","438.91","219.46","415.97","417.31","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","17.0","0.56","0.0","0.0","2.11","0.56","1.18","0.83","0.83","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","17.0","1.08","0.0","0.0","3.41","1.08","3.7","4.58","4.58","0.0","0.0","20.72","21.6","438.91","219.46","418.2","417.31","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","17.0","1.07","0.0","0.0","3.03","1.07","3.24","0.0","0.0","0.0","0.0","23.96","21.6","438.91","219.46","414.95","417.31","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","17.0","0.87","0.0","0.0","3.23","0.87","2.82","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","17.0","0.74","0.0","0.0","3.74","0.74","2.77","0.0","0.0","0.0","0.0","24.37","21.6","438.91","219.46","414.54","417.31","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","17.0","0.68","0.0","0.0","2.43","0.68","1.66","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","17.0","0.62","0.0","0.0","3.53","0.62","2.18","0.0","0.0","0.0","0.0","23.78","21.6","438.91","219.46","415.13","417.31","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","17.0","0.56","0.0","0.0","3.85","0.56","2.17","0.01","0.01","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","17.0","0.52","0.0","0.0","3.88","0.52","2.02","0.0","0.0","0.0","0.0","23.62","21.6","438.91","219.46","415.29","417.31","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","17.0","0.49","0.0","0.0","3.07","0.49","1.51","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","17.0","0.47","0.0","0.0","3.6","0.47","1.68","0.0","0.0","0.0","0.0","23.28","21.6","438.91","219.46","415.63","417.31","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","17.0","0.44","0.0","0.0","3.31","0.44","1.47","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","17.0","0.43","0.0","0.0","3.28","0.43","1.4","0.11","0.11","0.0","0.0","22.89","21.6","438.91","219.46","416.02","417.31","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","17.0","0.41","0.0","0.0","3.19","0.41","1.31","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","17.0","0.39","0.0","0.0","4.18","0.39","1.64","0.0","0.0","0.0","0.0","23.24","21.6","438.91","219.46","415.67","417.31","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","17.0","0.38","0.0","0.0","3.88","0.38","1.46","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","17.0","0.36","0.0","0.0","4.4","0.36","1.59","0.0","0.0","0.0","0.0","23.19","21.6","438.91","219.46","415.72","417.31","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","17.0","0.35","0.0","0.0","4.93","0.35","1.7","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","17.0","0.33","0.0","0.0","4.71","0.33","1.57","0.0","0.0","0.0","0.0","23.17","21.6","438.91","219.46","415.75","417.31","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","17.0","0.32","0.0","0.0","4.49","0.32","1.44","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","17.0","0.31","0.0","0.0","4.65","0.31","1.45","0.0","0.0","0.0","0.0","23.05","21.6","438.91","219.46","415.87","417.31","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","17.0","0.3","0.0","0.0","4.22","0.3","1.28","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","17.0","0.29","0.0","0.0","5.54","0.29","1.62","0.0","0.0","0.0","0.0","23.22","21.6","438.91","219.46","415.69","417.31","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","17.0","0.28","0.0","0.0","4.6","0.28","1.31","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","17.0","0.28","0.0","0.0","4.48","0.28","1.24","0.0","0.0","0.0","0.0","22.84","21.6","438.91","219.46","416.07","417.31","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","17.0","0.27","0.0","0.0","2.56","0.27","0.7","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","17.0","0.27","0.0","0.0","2.92","0.27","0.79","0.96","0.96","0.0","0.0","21.43","21.6","438.91","219.46","417.48","417.31","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","17.0","1.12","0.0","0.0","2.53","1.12","2.83","4.05","4.05","0.0","0.0","20.21","21.6","438.91","219.46","418.7","417.31","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","17.0","1.1","0.0","0.0","2.94","1.1","3.24","14.39","14.39","0.0","0.0","9.06","21.6","438.91","219.46","429.85","417.31","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","17.0","1.07","0.0","0.0","3.48","1.07","3.73","0.0","0.0","0.0","0.0","12.79","21.6","438.91","219.46","426.12","417.31","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","17.0","0.83","0.0","0.0","4.1","0.83","3.42","0.0","0.0","0.0","0.0","16.21","21.6","438.91","219.46","422.71","417.31","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","17.0","0.7","0.0","0.0","4.26","0.7","2.98","0.0","0.0","0.0","0.0","19.19","21.6","438.91","219.46","419.72","417.31","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","17.0","0.6","0.0","0.0","4.91","0.6","2.97","0.0","0.0","0.0","0.0","22.15","21.6","438.91","219.46","416.76","417.31","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","17.0","0.54","0.0","0.0","4.91","0.54","2.64","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","17.0","0.49","0.0","0.0","4.87","0.49","2.39","0.0","0.0","0.0","0.0","23.99","21.6","438.91","219.46","414.92","417.31","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","17.0","0.44","0.55","0.0","6.58","0.55","3.62","0.0","0.0","0.0","0.0","27.61","93.36","438.91","219.46","411.3","345.55","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","17.0","0.41","0.56","0.0","6.06","0.56","3.37","0.0","0.0","0.0","0.0","30.98","93.36","438.91","219.46","407.93","345.55","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","17.0","0.38","0.56","0.0","5.29","0.56","2.98","0.0","0.0","0.0","0.0","33.96","93.36","438.91","219.46","404.95","345.55","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","17.0","0.36","0.57","0.0","4.95","0.57","2.82","0.0","0.0","0.0","0.0","36.78","93.36","438.91","219.46","402.13","345.55","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","17.0","0.35","0.58","0.0","5.18","0.58","2.99","0.0","0.0","0.0","0.0","39.77","93.36","438.91","219.46","399.14","345.55","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","17.0","0.33","0.58","0.0","4.74","0.58","2.76","0.0","0.0","0.0","0.0","42.53","93.36","438.91","219.46","396.38","345.55","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","17.0","0.32","0.59","0.0","3.79","0.59","2.23","0.0","0.0","0.0","0.0","44.77","93.36","438.91","219.46","394.15","345.55","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","17.0","0.32","0.6","0.0","4.2","0.6","2.5","0.0","0.0","0.0","0.0","47.27","93.36","438.91","219.46","391.64","345.55","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","17.0","0.31","0.6","0.0","4.75","0.6","2.86","0.0","0.0","0.0","0.0","50.13","93.36","438.91","219.46","388.78","345.55","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","17.0","0.3","0.61","0.0","4.96","0.61","3.02","0.0","0.0","0.0","0.0","53.15","93.36","438.91","219.46","385.76","345.55","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","17.0","1.06","0.62","0.0","3.96","1.06","4.2","11.93","11.93","0.0","0.0","45.43","93.36","438.91","219.46","393.49","345.55","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","17.0","0.88","0.62","0.0","5.11","0.88","4.5","0.0","0.0","0.0","0.0","49.92","93.36","438.91","219.46","388.99","345.55","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","17.0","0.67","0.63","0.0","6.12","0.67","4.12","0.0","0.0","0.0","0.0","54.04","93.36","438.91","219.46","384.87","345.55","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","17.0","0.58","0.64","0.0","5.51","0.64","3.5","0.0","0.0","0.0","0.0","57.54","93.36","438.91","219.46","381.37","345.55","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","17.0","0.51","0.64","0.0","5.26","0.64","3.38","0.0","0.0","0.0","0.0","60.92","93.36","438.91","219.46","377.99","345.55","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","17.0","0.46","0.65","0.0","6.47","0.65","4.2","0.0","0.0","0.0","0.0","65.12","93.36","438.91","219.46","373.79","345.55","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","17.0","0.42","0.66","0.0","6.45","0.66","4.23","0.0","0.0","0.0","0.0","69.34","93.36","438.91","219.46","369.57","345.55","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","17.0","0.39","0.66","0.0","5.94","0.66","3.93","0.0","0.0","0.0","0.0","73.27","93.36","438.91","219.46","365.64","345.55","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","17.0","0.37","0.67","0.0","5.17","0.67","3.46","0.0","0.0","0.0","0.0","76.73","93.36","438.91","219.46","362.18","345.55","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","17.0","0.35","0.67","0.0","4.74","0.67","3.2","0.0","0.0","0.0","0.0","79.93","93.36","438.91","219.46","358.98","345.55","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","17.0","0.34","0.68","0.0","4.79","0.68","3.26","0.0","0.0","0.0","0.0","83.19","93.36","438.91","219.46","355.72","345.55","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","17.0","0.32","0.69","0.0","5.2","0.69","3.58","0.0","0.0","0.0","0.0","86.77","93.36","438.91","219.46","352.14","345.55","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","17.0","0.32","0.69","0.0","3.82","0.69","2.65","0.5","0.5","0.0","0.0","88.93","93.36","438.91","219.46","349.98","345.55","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","17.0","0.31","0.7","0.0","4.45","0.7","3.12","0.01","0.01","0.0","0.0","92.04","93.36","438.91","219.46","346.87","345.55","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","17.0","0.3","0.71","0.0","4.99","0.71","3.53","0.0","0.0","0.0","0.0","0.0","93.36","438.91","219.46","438.91","345.55","95.57","","","","","","","","",""
"2015.0","5.0","10.0","130.0","17.0","0.29","0.71","0.0","5.12","0.71","3.66","0.0","0.0","0.0","0.0","3.66","93.36","438.91","219.46","435.25","345.55","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","17.0","0.28","0.72","0.0","5.11","0.72","3.68","0.0","0.0","0.0","0.0","7.34","93.36","438.91","219.46","431.57","345.55","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","17.0","0.27","0.73","0.0","5.01","0.73","3.65","0.0","0.0","0.0","0.0","10.99","93.36","438.91","219.46","427.92","345.55","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","17.0","0.26","0.73","0.0","4.72","0.73","3.47","0.0","0.0","0.0","0.0","14.45","93.36","438.91","219.46","424.46","345.55","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","17.0","0.26","0.74","0.0","3.63","0.74","2.69","0.0","0.0","0.0","0.0","17.14","93.36","438.91","219.46","421.77","345.55","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","17.0","0.25","0.75","0.0","4.7","0.75","3.51","0.06","0.06","0.0","0.0","20.6","93.36","438.91","219.46","418.32","345.55","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","17.0","0.25","0.75","0.0","4.79","0.75","3.61","0.0","0.0","0.0","0.0","24.21","93.36","438.91","219.46","414.71","345.55","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","17.0","0.24","0.76","0.0","3.87","0.76","2.94","0.0","0.0","0.0","0.0","27.15","93.36","438.91","219.46","411.76","345.55","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","17.0","0.24","0.77","0.0","4.77","0.77","3.66","0.0","0.0","0.0","0.0","30.81","93.36","438.91","219.46","408.1","345.55","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","17.0","0.24","0.77","0.0","4.98","0.77","3.85","0.0","0.0","0.0","0.0","34.66","93.36","438.91","219.46","404.25","345.55","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","17.0","0.23","0.78","0.0","4.89","0.78","3.82","0.0","0.0","0.0","0.0","38.48","93.36","438.91","219.46","400.43","345.55","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","17.0","0.23","0.79","0.0","4.59","0.79","3.61","0.0","0.0","0.0","0.0","42.09","93.36","438.91","219.46","396.82","345.55","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","17.0","0.22","0.79","0.0","4.9","0.79","3.89","0.0","0.0","0.0","0.0","45.98","93.36","438.91","219.46","392.94","345.55","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","17.0","0.22","0.8","0.0","4.73","0.8","3.78","0.0","0.0","0.0","0.0","49.76","93.36","438.91","219.46","389.15","345.55","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","17.0","0.21","0.81","0.0","5.57","0.81","4.49","0.0","0.0","0.0","0.0","54.25","93.36","438.91","219.46","384.66","345.55","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","17.0","0.21","0.81","0.0","5.38","0.81","4.37","0.0","0.0","0.0","0.0","58.63","93.36","438.91","219.46","380.28","345.55","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","17.0","0.21","0.82","0.0","5.42","0.82","4.44","0.0","0.0","0.0","0.0","63.07","93.36","438.91","219.46","375.84","345.55","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","17.0","0.2","0.83","0.0","5.47","0.83","4.52","0.0","0.0","0.0","0.0","67.59","93.36","438.91","219.46","371.32","345.55","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","17.0","0.2","0.83","0.0","5.36","0.83","4.46","0.0","0.0","0.0","0.0","72.06","93.36","438.91","219.46","366.86","345.55","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","17.0","0.2","0.84","0.0","5.96","0.84","5.0","0.0","0.0","0.0","0.0","77.06","93.36","438.91","219.46","361.85","345.55","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","17.0","0.19","0.85","0.0","6.29","0.85","5.32","0.0","0.0","0.0","0.0","82.38","93.36","438.91","219.46","356.53","345.55","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","17.0","0.19","0.85","0.0","5.29","0.85","4.51","0.0","0.0","0.0","0.0","86.89","93.36","438.91","219.46","352.02","345.55","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","17.0","0.19","0.86","0.0","5.34","0.86","4.59","0.0","0.0","0.0","0.0","91.48","93.36","438.91","219.46","347.43","345.55","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","17.0","0.19","0.87","0.0","5.63","0.87","4.87","0.0","0.0","0.0","0.0","0.0","93.36","438.91","219.46","438.91","345.55","96.35","","","","","","","","",""
"2015.0","6.0","3.0","154.0","17.0","0.18","0.87","0.0","5.42","0.87","4.73","0.0","0.0","0.0","0.0","4.73","93.36","438.91","219.46","434.18","345.55","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","17.0","0.18","0.88","0.0","5.87","0.88","5.16","0.0","0.0","0.0","0.0","9.89","93.36","438.91","219.46","429.02","345.55","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","17.0","0.18","0.89","0.0","6.78","0.89","6.0","0.0","0.0","0.0","0.0","15.89","93.36","438.91","219.46","423.02","345.55","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","17.0","0.17","0.89","0.0","6.33","0.89","5.65","0.0","0.0","0.0","0.0","21.54","93.36","438.91","219.46","417.37","345.55","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","17.0","0.17","0.9","0.0","6.88","0.9","6.18","0.0","0.0","0.0","0.0","27.72","93.36","438.91","219.46","411.19","345.55","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","17.0","0.17","0.91","0.0","7.31","0.91","6.62","0.0","0.0","0.0","0.0","34.34","93.36","438.91","219.46","404.57","345.55","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","17.0","0.17","0.91","0.0","6.91","0.91","6.3","0.0","0.0","0.0","0.0","40.64","93.36","438.91","219.46","398.27","345.55","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","17.0","0.17","0.92","0.0","2.53","0.92","2.32","0.32","0.32","0.0","0.0","42.64","93.36","438.91","219.46","396.27","345.55","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","17.0","0.16","0.92","0.0","7.0","0.92","6.47","1.59","1.59","0.0","0.0","47.53","93.36","438.91","219.46","391.38","345.55","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","17.0","0.16","0.93","0.0","7.84","0.93","7.3","0.0","0.0","0.0","0.0","54.83","93.36","438.91","219.46","384.08","345.55","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","17.0","0.16","0.94","0.0","7.39","0.94","6.93","0.0","0.0","0.0","0.0","61.76","93.36","438.91","219.46","377.15","345.55","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","17.0","0.16","0.94","0.0","6.62","0.94","6.25","0.0","0.0","0.0","0.0","68.02","93.36","438.91","219.46","370.89","345.55","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","17.0","0.15","0.95","0.0","6.43","0.95","6.12","0.0","0.0","0.0","0.0","74.14","93.36","438.91","219.46","364.78","345.55","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","17.0","0.15","0.96","0.0","6.82","0.96","6.53","0.02","0.02","0.0","0.0","80.65","93.36","438.91","219.46","358.26","345.55","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","17.0","0.15","0.96","0.0","6.84","0.96","6.6","0.0","0.0","0.0","0.0","87.25","93.36","438.91","219.46","351.67","345.55","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","17.0","0.15","0.97","0.0","7.46","0.97","7.24","0.0","0.0","0.0","0.0","0.0","93.36","438.91","219.46","438.91","345.55","94.49","","","","","","","","",""
"2015.0","6.0","19.0","170.0","17.0","0.15","0.98","0.0","7.3","0.98","7.14","0.0","0.0","0.0","0.0","7.14","93.36","438.91","219.46","431.78","345.55","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","17.0","0.15","0.98","0.0","6.95","0.98","6.84","0.0","0.0","0.0","0.0","13.98","93.36","438.91","219.46","424.94","345.55","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","17.0","0.14","0.99","0.0","7.44","0.99","7.37","0.0","0.0","0.0","0.0","21.35","93.36","438.91","219.46","417.56","345.55","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","17.0","0.14","1.0","0.0","6.8","1.0","6.78","0.0","0.0","0.0","0.0","28.13","93.36","438.91","219.46","410.78","345.55","0.0","","","","","","","","",""
"2015.0","6.0","23.0","174.0","17.0","0.14","1.0","0.0","7.3","1.0","7.33","0.0","0.0","0.0","0.0","35.46","93.36","438.91","219.46","403.45","345.55","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","17.0","0.14","1.01","0.0","7.32","1.01","7.4","0.0","0.0","0.0","0.0","42.86","93.36","438.91","219.46","396.06","345.55","0.0","","","","","","","","",""
"2015.0","6.0","25.0","176.0","17.0","0.14","1.02","0.0","7.89","1.02","8.02","0.0","0.0","0.0","0.0","50.88","93.36","438.91","219.46","388.03","345.55","0.0","","","","","","","","",""
"2015.0","6.0","26.0","177.0","17.0","0.14","1.02","0.0","8.25","1.02","8.45","0.0","0.0","0.0","0.0","59.33","93.36","438.91","219.46","379.59","345.55","0.0","","","","","","","","",""
