" Daily soil water balance output for Pistachios in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Citrus & Subtropical in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"2015.0","2.0","9.0","40.0","111.0","1.14","0.0","0.0","2.12","1.14","2.41","13.42","10.24","0.0","0.0","0.0","29.7","600.92","300.46","600.92","571.22","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","111.0","1.14","0.0","0.0","1.87","1.14","2.13","0.0","0.0","0.0","0.0","2.13","29.7","600.92","300.46","598.79","571.22","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","111.0","1.14","0.0","0.0","1.71","1.14","1.96","0.0","0.0","0.0","0.0","4.09","29.7","600.92","300.46","596.83","571.22","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","111.0","1.0","0.0","0.0","2.0","1.0","2.0","0.0","0.0","0.0","0.0","6.09","29.7","600.92","300.46","594.83","571.22","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","111.0","0.89","0.0","0.0","2.09","0.89","1.86","0.0","0.0","0.0","0.0","7.95","29.7","600.92","300.46","592.97","571.22","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","111.0","0.8","0.0","0.0","2.2","0.8","1.76","0.0","0.0","0.0","0.0","9.71","29.7","600.92","300.46","591.21","571.22","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","111.0","0.74","0.0","0.0","2.08","0.74","1.54","0.0","0.0","0.0","0.0","11.25","29.7","600.92","300.46","589.67","571.22","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","111.0","0.69","0.0","0.0","2.09","0.69","1.44","0.0","0.0","0.0","0.0","12.69","29.7","600.92","300.46","588.22","571.22","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","111.0","0.65","0.0","0.0","1.81","0.65","1.19","0.0","0.0","0.0","0.0","13.88","29.7","600.92","300.46","587.04","571.22","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","111.0","0.63","0.0","0.0","1.72","0.63","1.08","0.0","0.0","0.0","0.0","14.96","29.7","600.92","300.46","585.96","571.22","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","111.0","0.61","0.0","0.0","1.04","0.61","0.64","0.0","0.0","0.0","0.0","15.59","29.7","600.92","300.46","585.33","571.22","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","111.0","0.59","0.0","0.0","1.75","0.59","1.03","0.0","0.0","0.0","0.0","16.62","29.7","600.92","300.46","584.3","571.22","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","111.0","0.57","0.0","0.0","1.58","0.57","0.9","0.0","0.0","0.0","0.0","17.51","29.7","600.92","300.46","583.4","571.22","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","111.0","0.53","0.0","0.0","2.95","0.53","1.58","0.0","0.0","0.0","0.0","19.09","29.7","600.92","300.46","581.83","571.22","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","111.0","0.5","0.0","0.0","3.55","0.5","1.78","0.0","0.0","0.0","0.0","20.87","29.7","600.92","300.46","580.04","571.22","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","111.0","0.48","0.0","0.0","2.71","0.48","1.3","0.0","0.0","0.0","0.0","22.18","29.7","600.92","300.46","578.74","571.22","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","111.0","0.47","0.0","0.0","2.2","0.47","1.02","0.0","0.0","0.0","0.0","23.2","29.7","600.92","300.46","577.72","571.22","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","111.0","0.45","0.0","0.0","2.91","0.45","1.3","0.0","0.0","0.0","0.0","24.5","29.7","600.92","300.46","576.42","571.22","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","111.0","0.43","0.0","0.0","2.86","0.43","1.23","0.0","0.0","0.0","0.0","25.73","29.7","600.92","300.46","575.18","571.22","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","111.0","0.42","0.0","0.0","2.01","0.42","0.85","0.0","0.0","0.0","0.0","26.58","29.7","600.92","300.46","574.34","571.22","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","111.0","0.41","0.0","0.0","2.51","0.41","1.03","0.25","0.25","0.0","0.0","27.36","29.7","600.92","300.46","573.56","571.22","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","111.0","0.4","0.0","0.0","2.21","0.4","0.88","0.0","0.0","0.0","0.0","28.24","29.7","600.92","300.46","572.68","571.22","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","111.0","0.39","0.0","0.0","2.53","0.39","0.98","1.19","1.19","0.0","0.0","28.03","29.7","600.92","300.46","572.88","571.22","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","111.0","0.38","0.0","0.0","2.61","0.38","0.99","0.0","0.0","0.0","0.0","29.02","29.7","600.92","300.46","571.89","571.22","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","111.0","0.37","0.0","0.0","2.81","0.37","1.04","0.0","0.0","0.0","0.0","30.06","29.7","600.92","300.46","570.85","571.22","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","111.0","0.36","0.0","0.0","2.99","0.36","1.08","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","111.0","0.35","0.0","0.0","2.88","0.35","1.01","0.0","0.0","0.0","0.0","30.71","29.7","600.92","300.46","570.21","571.22","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","111.0","0.34","0.0","0.0","2.97","0.34","1.02","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","111.0","0.34","0.0","0.0","2.92","0.34","0.98","0.0","0.0","0.0","0.0","30.68","29.7","600.92","300.46","570.24","571.22","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","111.0","0.33","0.0","0.0","2.53","0.33","0.83","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","111.0","0.32","0.0","0.0","2.06","0.32","0.67","1.21","1.21","0.0","0.0","29.16","29.7","600.92","300.46","571.76","571.22","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","111.0","1.09","0.0","0.0","3.36","1.09","3.65","3.33","3.33","0.0","0.0","29.48","29.7","600.92","300.46","571.44","571.22","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","111.0","1.07","0.0","0.0","3.07","1.07","3.29","0.0","0.0","0.0","0.0","32.76","29.7","600.92","300.46","568.15","571.22","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","111.0","0.86","0.0","0.0","3.44","0.86","2.97","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","111.0","0.73","0.8","0.0","3.99","0.8","3.19","0.0","0.0","0.0","0.0","32.89","123.91","600.92","300.46","568.03","477.01","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","111.0","0.66","0.8","0.0","2.83","0.8","2.27","0.0","0.0","0.0","0.0","35.16","123.91","600.92","300.46","565.76","477.01","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","111.0","0.6","0.8","0.0","3.65","0.8","2.93","0.0","0.0","0.0","0.0","38.09","123.91","600.92","300.46","562.83","477.01","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","111.0","0.55","0.8","0.0","3.82","0.8","3.07","0.0","0.0","0.0","0.0","41.16","123.91","600.92","300.46","559.76","477.01","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","111.0","0.51","0.81","0.0","3.83","0.81","3.09","0.0","0.0","0.0","0.0","44.25","123.91","600.92","300.46","556.67","477.01","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","111.0","0.48","0.81","0.0","3.23","0.81","2.61","0.0","0.0","0.0","0.0","46.85","123.91","600.92","300.46","554.06","477.01","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","111.0","0.46","0.81","0.0","3.56","0.81","2.88","0.0","0.0","0.0","0.0","49.73","123.91","600.92","300.46","551.19","477.01","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","111.0","0.44","0.81","0.0","3.17","0.81","2.57","0.0","0.0","0.0","0.0","52.3","123.91","600.92","300.46","548.62","477.01","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","111.0","0.42","0.81","0.0","3.21","0.81","2.6","0.72","0.72","0.0","0.0","54.18","123.91","600.92","300.46","546.73","477.01","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","111.0","0.41","0.81","0.0","3.34","0.81","2.71","0.0","0.0","0.0","0.0","56.9","123.91","600.92","300.46","544.02","477.01","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","111.0","0.39","0.81","0.0","4.1","0.81","3.34","0.0","0.0","0.0","0.0","60.24","123.91","600.92","300.46","540.68","477.01","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","111.0","0.37","0.82","0.0","3.96","0.82","3.23","0.0","0.0","0.0","0.0","63.47","123.91","600.92","300.46","537.45","477.01","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","111.0","0.36","0.82","0.0","4.5","0.82","3.68","0.0","0.0","0.0","0.0","67.14","123.91","600.92","300.46","533.78","477.01","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","111.0","0.34","0.82","0.0","4.95","0.82","4.05","0.0","0.0","0.0","0.0","71.19","123.91","600.92","300.46","529.73","477.01","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","111.0","0.33","0.82","0.0","4.75","0.82","3.89","0.0","0.0","0.0","0.0","75.09","123.91","600.92","300.46","525.83","477.01","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","111.0","0.32","0.82","0.0","4.57","0.82","3.75","0.0","0.0","0.0","0.0","78.84","123.91","600.92","300.46","522.08","477.01","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","111.0","0.31","0.82","0.0","4.69","0.82","3.86","0.0","0.0","0.0","0.0","82.7","123.91","600.92","300.46","518.22","477.01","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","111.0","0.3","0.82","0.0","4.21","0.82","3.47","0.0","0.0","0.0","0.0","86.17","123.91","600.92","300.46","514.75","477.01","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","111.0","0.29","0.83","0.0","5.44","0.83","4.49","0.0","0.0","0.0","0.0","90.65","123.91","600.92","300.46","510.26","477.01","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","111.0","0.28","0.83","0.0","4.68","0.83","3.87","0.0","0.0","0.0","0.0","94.52","123.91","600.92","300.46","506.39","477.01","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","111.0","0.28","0.83","0.0","4.56","0.83","3.78","0.0","0.0","0.0","0.0","98.3","123.91","600.92","300.46","502.62","477.01","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","111.0","0.27","0.83","0.0","2.58","0.83","2.14","0.04","0.04","0.0","0.0","100.4","123.91","600.92","300.46","500.52","477.01","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","111.0","0.27","0.83","0.0","3.08","0.83","2.56","2.02","2.02","0.0","0.0","100.94","123.91","600.92","300.46","499.98","477.01","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","111.0","1.11","0.83","0.0","2.76","1.11","3.06","4.27","4.27","0.0","0.0","99.73","123.91","600.92","300.46","501.19","477.01","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","111.0","1.1","0.83","0.0","3.05","1.1","3.35","11.21","11.21","0.0","0.0","91.87","123.91","600.92","300.46","509.05","477.01","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","111.0","1.06","0.84","0.0","3.51","1.06","3.72","0.0","0.0","0.0","0.0","95.59","123.91","600.92","300.46","505.33","477.01","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","111.0","0.82","0.84","0.0","4.17","0.84","3.49","0.0","0.0","0.0","0.0","99.08","123.91","600.92","300.46","501.84","477.01","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","111.0","0.69","0.84","0.0","4.35","0.84","3.65","0.0","0.0","0.0","0.0","102.72","123.91","600.92","300.46","498.19","477.01","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","111.0","0.6","0.84","0.0","4.89","0.84","4.1","0.0","0.0","0.0","0.0","106.83","123.91","600.92","300.46","494.09","477.01","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","111.0","0.53","0.84","0.0","5.01","0.84","4.21","0.0","0.0","0.0","0.0","111.04","123.91","600.92","300.46","489.88","477.01","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","111.0","0.49","0.84","0.0","4.99","0.84","4.2","0.0","0.0","0.0","0.0","115.24","123.91","600.92","300.46","485.67","477.01","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","111.0","0.44","0.84","0.0","6.25","0.84","5.27","0.0","0.0","0.0","0.0","120.52","123.91","600.92","300.46","480.4","477.01","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","111.0","0.41","0.85","0.0","5.67","0.85","4.79","0.0","0.0","0.0","0.0","0.0","123.91","600.92","300.46","600.92","477.01","125.31","","","","","","","","",""
"2015.0","4.0","17.0","107.0","111.0","0.38","0.85","0.0","5.38","0.85","4.55","0.0","0.0","0.0","0.0","4.55","123.91","600.92","300.46","596.36","477.01","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","111.0","0.37","0.85","0.0","4.98","0.85","4.22","0.0","0.0","0.0","0.0","8.78","123.91","600.92","300.46","592.14","477.01","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","111.0","0.35","0.85","0.0","5.17","0.85","4.39","0.0","0.0","0.0","0.0","13.17","123.91","600.92","300.46","587.75","477.01","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","111.0","0.33","0.85","0.0","4.8","0.85","4.08","0.0","0.0","0.0","0.0","17.25","123.91","600.92","300.46","583.67","477.01","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","111.0","0.32","0.85","0.0","3.84","0.85","3.27","0.0","0.0","0.0","0.0","20.52","123.91","600.92","300.46","580.4","477.01","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","111.0","0.32","0.85","0.0","4.05","0.85","3.46","0.0","0.0","0.0","0.0","23.98","123.91","600.92","300.46","576.94","477.01","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","111.0","0.31","0.85","0.0","4.79","0.85","4.1","0.0","0.0","0.0","0.0","28.07","123.91","600.92","300.46","572.84","477.01","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","111.0","0.3","0.86","0.0","5.07","0.86","4.34","0.0","0.0","0.0","0.0","32.42","123.91","600.92","300.46","568.5","477.01","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","111.0","1.06","0.86","0.0","4.03","1.06","4.27","10.88","10.88","0.0","0.0","25.8","123.91","600.92","300.46","575.11","477.01","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","111.0","0.87","0.86","0.0","5.17","0.87","4.51","0.0","0.0","0.0","0.0","30.31","123.91","600.92","300.46","570.6","477.01","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","111.0","0.68","0.86","0.0","5.81","0.86","5.0","0.0","0.0","0.0","0.0","35.31","123.91","600.92","300.46","565.6","477.01","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","111.0","0.58","0.86","0.0","5.63","0.86","4.85","0.0","0.0","0.0","0.0","40.17","123.91","600.92","300.46","560.75","477.01","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","111.0","0.51","0.86","0.0","5.42","0.86","4.68","0.0","0.0","0.0","0.0","44.85","123.91","600.92","300.46","556.07","477.01","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","111.0","0.46","0.86","0.0","6.46","0.86","5.59","0.0","0.0","0.0","0.0","50.43","123.91","600.92","300.46","550.49","477.01","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","111.0","0.42","0.87","0.0","6.5","0.87","5.63","0.0","0.0","0.0","0.0","56.06","123.91","600.92","300.46","544.85","477.01","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","111.0","0.39","0.87","0.0","5.93","0.87","5.14","0.0","0.0","0.0","0.0","61.21","123.91","600.92","300.46","539.71","477.01","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","111.0","0.37","0.87","0.0","5.27","0.87","4.58","0.0","0.0","0.0","0.0","65.79","123.91","600.92","300.46","535.13","477.01","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","111.0","0.35","0.87","0.0","4.89","0.87","4.26","0.0","0.0","0.0","0.0","70.04","123.91","600.92","300.46","530.87","477.01","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","111.0","0.34","0.87","0.0","4.9","0.87","4.27","0.0","0.0","0.0","0.0","74.32","123.91","600.92","300.46","526.6","477.01","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","111.0","0.32","0.87","0.0","5.04","0.87","4.4","0.0","0.0","0.0","0.0","78.72","123.91","600.92","300.46","522.2","477.01","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","111.0","0.32","0.87","0.0","3.23","0.87","2.83","0.0","0.0","0.0","0.0","81.54","123.91","600.92","300.46","519.38","477.01","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","111.0","0.31","0.88","0.0","4.37","0.88","3.83","1.13","1.13","0.0","0.0","84.24","123.91","600.92","300.46","516.68","477.01","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","111.0","0.3","0.88","0.0","4.89","0.88","4.29","0.0","0.0","0.0","0.0","88.53","123.91","600.92","300.46","512.39","477.01","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","111.0","0.29","0.88","0.0","5.25","0.88","4.61","0.0","0.0","0.0","0.0","93.15","123.91","600.92","300.46","507.77","477.01","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","111.0","0.28","0.88","0.0","5.24","0.88","4.61","0.0","0.0","0.0","0.0","97.76","123.91","600.92","300.46","503.16","477.01","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","111.0","0.27","0.88","0.0","5.05","0.88","4.45","0.0","0.0","0.0","0.0","102.21","123.91","600.92","300.46","498.71","477.01","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","111.0","0.26","0.88","0.0","4.75","0.88","4.19","0.0","0.0","0.0","0.0","106.41","123.91","600.92","300.46","494.51","477.01","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","111.0","0.26","0.88","0.0","3.29","0.88","2.91","0.0","0.0","0.0","0.0","109.32","123.91","600.92","300.46","491.6","477.01","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","111.0","0.26","0.89","0.0","4.65","0.89","4.12","1.77","1.77","0.0","0.0","111.67","123.91","600.92","300.46","489.25","477.01","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","111.0","0.25","0.89","0.0","4.81","0.89","4.27","0.0","0.0","0.0","0.0","115.93","123.91","600.92","300.46","484.98","477.01","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","111.0","0.25","0.89","0.0","3.92","0.89","3.48","0.0","0.0","0.0","0.0","119.42","123.91","600.92","300.46","481.5","477.01","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","111.0","0.24","0.89","0.0","4.84","0.89","4.31","0.0","0.0","0.0","0.0","123.73","123.91","600.92","300.46","477.19","477.01","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","111.0","0.24","0.89","0.0","5.04","0.89","4.49","0.0","0.0","0.0","0.0","0.0","123.91","600.92","300.46","600.92","477.01","128.22","","","","","","","","",""
"2015.0","5.0","20.0","140.0","111.0","0.23","0.89","0.0","4.95","0.89","4.42","0.0","0.0","0.0","0.0","4.42","123.91","600.92","300.46","596.5","477.01","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","111.0","0.23","0.89","0.0","4.01","0.89","3.59","0.0","0.0","0.0","0.0","8.01","123.91","600.92","300.46","592.91","477.01","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","111.0","0.22","0.9","0.0","4.85","0.9","4.34","0.0","0.0","0.0","0.0","12.35","123.91","600.92","300.46","588.57","477.01","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","111.0","0.22","0.9","0.0","4.86","0.9","4.36","0.0","0.0","0.0","0.0","16.71","123.91","600.92","300.46","584.21","477.01","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","111.0","0.22","0.9","0.0","5.54","0.9","4.98","0.0","0.0","0.0","0.0","21.69","123.91","600.92","300.46","579.23","477.01","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","111.0","0.21","0.9","0.0","5.5","0.9","4.95","0.0","0.0","0.0","0.0","26.64","123.91","600.92","300.46","574.28","477.01","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","111.0","0.21","0.9","0.0","5.52","0.9","4.97","0.0","0.0","0.0","0.0","31.61","123.91","600.92","300.46","569.31","477.01","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","111.0","0.2","0.9","0.0","5.56","0.9","5.0","0.0","0.0","0.0","0.0","36.61","123.91","600.92","300.46","564.31","477.01","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","111.0","0.2","0.9","0.0","5.42","0.9","4.88","0.0","0.0","0.0","0.0","41.49","123.91","600.92","300.46","559.43","477.01","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","111.0","0.2","0.9","0.0","6.13","0.9","5.52","0.0","0.0","0.0","0.0","47.01","123.91","600.92","300.46","553.91","477.01","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","111.0","0.19","0.9","0.0","6.48","0.9","5.83","0.0","0.0","0.0","0.0","52.84","123.91","600.92","300.46","548.08","477.01","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","111.0","0.19","0.9","0.0","5.44","0.9","4.9","0.0","0.0","0.0","0.0","57.73","123.91","600.92","300.46","543.18","477.01","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","111.0","0.19","0.9","0.0","5.54","0.9","4.99","0.0","0.0","0.0","0.0","62.72","123.91","600.92","300.46","538.2","477.01","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","111.0","0.19","0.9","0.0","5.77","0.9","5.19","0.0","0.0","0.0","0.0","67.91","123.91","600.92","300.46","533.0","477.01","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","111.0","0.18","0.9","0.0","5.57","0.9","5.01","0.0","0.0","0.0","0.0","72.93","123.91","600.92","300.46","527.99","477.01","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","111.0","0.18","0.9","0.0","5.83","0.9","5.25","0.0","0.0","0.0","0.0","78.17","123.91","600.92","300.46","522.74","477.01","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","111.0","0.18","0.9","0.0","6.52","0.9","5.87","0.0","0.0","0.0","0.0","84.04","123.91","600.92","300.46","516.88","477.01","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","111.0","0.17","0.9","0.0","6.39","0.9","5.75","0.0","0.0","0.0","0.0","89.79","123.91","600.92","300.46","511.13","477.01","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","111.0","0.17","0.9","0.0","6.75","0.9","6.08","0.0","0.0","0.0","0.0","95.87","123.91","600.92","300.46","505.05","477.01","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","111.0","0.17","0.9","0.0","7.39","0.9","6.65","0.0","0.0","0.0","0.0","102.52","123.91","600.92","300.46","498.4","477.01","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","111.0","0.17","0.9","0.0","6.66","0.9","5.99","0.0","0.0","0.0","0.0","108.51","123.91","600.92","300.46","492.41","477.01","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","111.0","0.17","0.9","0.0","3.04","0.9","2.74","0.1","0.1","0.0","0.0","111.15","123.91","600.92","300.46","489.77","477.01","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","111.0","0.16","0.9","0.0","6.89","0.9","6.2","3.61","3.61","0.0","0.0","113.74","123.91","600.92","300.46","487.18","477.01","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","111.0","0.16","0.9","0.0","7.67","0.9","6.9","0.0","0.0","0.0","0.0","120.64","123.91","600.92","300.46","480.28","477.01","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","111.0","0.16","0.9","0.0","7.55","0.9","6.8","0.0","0.0","0.0","0.0","0.0","123.91","600.92","300.46","600.92","477.01","127.44","","","","","","","","",""
"2015.0","6.0","14.0","165.0","111.0","0.16","0.9","0.0","6.8","0.9","6.12","0.0","0.0","0.0","0.0","6.12","123.91","600.92","300.46","594.8","477.01","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","111.0","0.15","0.9","0.0","6.63","0.9","5.97","0.0","0.0","0.0","0.0","12.09","123.91","600.92","300.46","588.83","477.01","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","111.0","0.15","0.9","0.0","6.95","0.9","6.26","0.0","0.0","0.0","0.0","18.34","123.91","600.92","300.46","582.58","477.01","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","111.0","0.15","0.9","0.0","6.98","0.9","6.28","0.0","0.0","0.0","0.0","24.62","123.91","600.92","300.46","576.29","477.01","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","111.0","0.15","0.9","0.0","7.54","0.9","6.79","0.0","0.0","0.0","0.0","31.41","123.91","600.92","300.46","569.51","477.01","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","111.0","0.15","0.9","0.0","7.41","0.9","6.67","0.0","0.0","0.0","0.0","38.08","123.91","600.92","300.46","562.84","477.01","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","111.0","0.15","0.9","0.0","6.95","0.9","6.26","0.0","0.0","0.0","0.0","44.33","123.91","600.92","300.46","556.58","477.01","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","111.0","0.14","0.9","0.0","7.57","0.9","6.81","0.0","0.0","0.0","0.0","51.15","123.91","600.92","300.46","549.77","477.01","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","111.0","0.14","0.9","0.0","7.07","0.9","6.36","0.0","0.0","0.0","0.0","57.51","123.91","600.92","300.46","543.41","477.01","0.0","","","","","","","","",""
"2015.0","6.0","23.0","174.0","111.0","0.14","0.9","0.0","7.35","0.9","6.62","0.0","0.0","0.0","0.0","64.13","123.91","600.92","300.46","536.79","477.01","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","111.0","0.14","0.9","0.0","7.29","0.9","6.56","0.0","0.0","0.0","0.0","70.69","123.91","600.92","300.46","530.23","477.01","0.0","","","","","","","","",""
"2015.0","6.0","25.0","176.0","111.0","0.14","0.9","0.0","7.98","0.9","7.18","0.0","0.0","0.0","0.0","77.87","123.91","600.92","300.46","523.05","477.01","0.0","","","","","","","","",""
"2015.0","6.0","26.0","177.0","111.0","0.14","0.9","0.0","8.25","0.9","7.43","0.0","0.0","0.0","0.0","85.29","123.91","600.92","300.46","515.63","477.01","0.0","","","","","","","","",""
