" Daily soil water balance output for Citrus & Subtropical in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Citrus & Subtropical in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"2015.0","2.0","13.0","44.0","2.0","0.91","0.7","0.0","2.03","0.91","1.84","0.0","0.0","0.0","0.0","7.61","70.21","310.9","155.45","303.28","240.69","0.0","","","","","","",""
"2015.0","2.0","14.0","45.0","2.0","0.82","0.7","0.0","2.18","0.82","1.78","0.0","0.0","0.0","0.0","9.39","70.21","310.9","155.45","301.5","240.69","0.0","","","","","","",""
"2015.0","2.0","15.0","46.0","2.0","0.75","0.7","0.0","2.09","0.75","1.57","0.0","0.0","0.0","0.0","10.96","70.21","310.9","155.45","299.93","240.69","0.0","","","","","","",""
"2015.0","2.0","16.0","47.0","2.0","0.7","0.7","0.0","2.24","0.7","1.57","0.0","0.0","0.0","0.0","12.53","70.21","310.9","155.45","298.37","240.69","0.0","","","","","","",""
"2015.0","2.0","17.0","48.0","2.0","0.66","0.7","0.0","1.94","0.7","1.36","0.0","0.0","0.0","0.0","13.89","70.21","310.9","155.45","297.01","240.69","0.0","","","","","","",""
"2015.0","2.0","18.0","49.0","2.0","0.63","0.7","0.0","1.5","0.7","1.05","0.0","0.0","0.0","0.0","14.94","70.21","310.9","155.45","295.96","240.69","0.0","","","","","","",""
"2015.0","2.0","19.0","50.0","2.0","0.62","0.7","0.0","1.08","0.7","0.76","0.0","0.0","0.0","0.0","15.69","70.21","310.9","155.45","295.2","240.69","0.0","","","","","","",""
"2015.0","2.0","20.0","51.0","2.0","0.59","0.7","0.0","1.97","0.7","1.38","0.0","0.0","0.0","0.0","17.07","70.21","310.9","155.45","293.82","240.69","0.0","","","","","","",""
"2015.0","2.0","21.0","52.0","2.0","0.57","0.7","0.0","1.62","0.7","1.13","0.0","0.0","0.0","0.0","18.21","70.21","310.9","155.45","292.69","240.69","0.0","","","","","","",""
"2015.0","2.0","22.0","53.0","2.0","0.53","0.7","0.0","3.74","0.7","2.62","0.0","0.0","0.0","0.0","20.83","70.21","310.9","155.45","290.07","240.69","0.0","","","","","","",""
"2015.0","2.0","23.0","54.0","2.0","0.49","0.7","0.0","4.35","0.7","3.05","0.0","0.0","0.0","0.0","23.87","70.21","310.9","155.45","287.03","240.69","0.0","","","","","","",""
"2015.0","2.0","24.0","55.0","2.0","0.47","0.7","0.0","2.85","0.7","2.0","0.0","0.0","0.0","0.0","25.87","70.21","310.9","155.45","285.03","240.69","0.0","","","","","","",""
"2015.0","2.0","25.0","56.0","2.0","0.45","0.7","0.0","2.19","0.7","1.53","0.0","0.0","0.0","0.0","27.4","70.21","310.9","155.45","283.5","240.69","0.0","","","","","","",""
"2015.0","2.0","26.0","57.0","2.0","0.44","0.7","0.0","3.07","0.7","2.15","0.0","0.0","0.0","0.0","29.55","70.21","310.9","155.45","281.35","240.69","0.0","","","","","","",""
"2015.0","2.0","27.0","58.0","2.0","0.42","0.7","0.0","2.77","0.7","1.94","0.0","0.0","0.0","0.0","31.49","70.21","310.9","155.45","279.41","240.69","0.0","","","","","","",""
"2015.0","2.0","28.0","59.0","2.0","0.41","0.7","0.0","1.93","0.7","1.35","0.0","0.0","0.0","0.0","32.84","70.21","310.9","155.45","278.06","240.69","0.0","","","","","","",""
"2015.0","3.0","1.0","60.0","2.0","0.4","0.7","0.0","2.68","0.7","1.88","0.0","0.0","0.0","0.0","34.71","70.21","310.9","155.45","276.18","240.69","0.0","","","","","","",""
"2015.0","3.0","2.0","61.0","2.0","0.39","0.7","0.0","2.33","0.7","1.63","0.0","0.0","0.0","0.0","36.34","70.21","310.9","155.45","274.55","240.69","0.0","","","","","","",""
"2015.0","3.0","3.0","62.0","2.0","0.38","0.7","0.0","2.59","0.7","1.81","1.02","1.02","0.0","0.0","37.14","70.21","310.9","155.45","273.76","240.69","0.0","","","","","","",""
"2015.0","3.0","4.0","63.0","2.0","0.37","0.7","0.0","2.6","0.7","1.82","0.0","0.0","0.0","0.0","38.96","70.21","310.9","155.45","271.94","240.69","0.0","","","","","","",""
"2015.0","3.0","5.0","64.0","2.0","0.36","0.7","0.0","2.79","0.7","1.95","0.0","0.0","0.0","0.0","40.91","70.21","310.9","155.45","269.99","240.69","0.0","","","","","","",""
"2015.0","3.0","6.0","65.0","2.0","0.35","0.7","0.0","3.0","0.7","2.1","0.0","0.0","0.0","0.0","43.01","70.21","310.9","155.45","267.89","240.69","0.0","","","","","","",""
"2015.0","3.0","7.0","66.0","2.0","0.35","0.7","0.0","2.8","0.7","1.96","0.0","0.0","0.0","0.0","44.97","70.21","310.9","155.45","265.93","240.69","0.0","","","","","","",""
"2015.0","3.0","8.0","67.0","2.0","0.34","0.7","0.0","2.98","0.7","2.09","0.0","0.0","0.0","0.0","47.06","70.21","310.9","155.45","263.84","240.69","0.0","","","","","","",""
"2015.0","3.0","9.0","68.0","2.0","0.33","0.7","0.0","3.06","0.7","2.14","0.0","0.0","0.0","0.0","49.2","70.21","310.9","155.45","261.7","240.69","0.0","","","","","","",""
"2015.0","3.0","10.0","69.0","2.0","0.32","0.7","0.0","2.4","0.7","1.68","0.0","0.0","0.0","0.0","50.88","70.21","310.9","155.45","260.02","240.69","0.0","","","","","","",""
"2015.0","3.0","11.0","70.0","2.0","0.32","0.7","0.0","2.11","0.7","1.48","1.32","1.32","0.0","0.0","51.04","70.21","310.9","155.45","259.86","240.69","0.0","","","","","","",""
"2015.0","3.0","12.0","71.0","2.0","1.08","0.7","0.0","3.47","1.08","3.75","3.55","3.55","0.0","0.0","51.24","70.21","310.9","155.45","259.66","240.69","0.0","","","","","","",""
"2015.0","3.0","13.0","72.0","2.0","1.06","0.7","0.0","3.11","1.06","3.29","0.0","0.0","0.0","0.0","54.53","70.21","310.9","155.45","256.37","240.69","0.0","","","","","","",""
"2015.0","3.0","14.0","73.0","2.0","0.86","0.7","0.0","3.29","0.86","2.84","0.0","0.0","0.0","0.0","57.37","70.21","310.9","155.45","253.53","240.69","0.0","","","","","","",""
"2015.0","3.0","15.0","74.0","2.0","0.73","0.7","0.0","3.85","0.73","2.81","0.0","0.0","0.0","0.0","60.18","70.21","310.9","155.45","250.72","240.69","0.0","","","","","","",""
"2015.0","3.0","16.0","75.0","2.0","0.68","0.7","0.0","2.46","0.7","1.72","0.0","0.0","0.0","0.0","61.9","70.21","310.9","155.45","249.0","240.69","0.0","","","","","","",""
"2015.0","3.0","17.0","76.0","2.0","0.61","0.7","0.0","3.49","0.7","2.44","0.0","0.0","0.0","0.0","64.34","70.21","310.9","155.45","246.55","240.69","0.0","","","","","","",""
"2015.0","3.0","18.0","77.0","2.0","0.56","0.7","0.0","3.89","0.7","2.72","0.0","0.0","0.0","0.0","67.07","70.21","310.9","155.45","243.83","240.69","0.0","","","","","","",""
"2015.0","3.0","19.0","78.0","2.0","0.52","0.7","0.0","3.94","0.7","2.76","0.0","0.0","0.0","0.0","69.82","70.21","310.9","155.45","241.07","240.69","0.0","","","","","","",""
"2015.0","3.0","20.0","79.0","2.0","0.49","0.7","0.0","3.11","0.7","2.18","0.0","0.0","0.0","0.0","0.0","70.21","310.9","155.45","310.9","240.69","72.0","","","","","","",""
"2015.0","3.0","21.0","80.0","2.0","0.46","0.7","0.0","3.63","0.7","2.54","0.0","0.0","0.0","0.0","2.54","70.21","310.9","155.45","308.36","240.69","0.0","","","","","","",""
"2015.0","3.0","22.0","81.0","2.0","0.44","0.7","0.0","3.27","0.7","2.29","0.0","0.0","0.0","0.0","4.83","70.21","310.9","155.45","306.07","240.69","0.0","","","","","","",""
"2015.0","3.0","23.0","82.0","2.0","0.42","0.7","0.0","3.28","0.7","2.3","0.25","0.25","0.0","0.0","6.88","70.21","310.9","155.45","304.02","240.69","0.0","","","","","","",""
"2015.0","3.0","24.0","83.0","2.0","0.41","0.7","0.0","3.19","0.7","2.23","0.0","0.0","0.0","0.0","9.11","70.21","310.9","155.45","301.79","240.69","0.0","","","","","","",""
"2015.0","3.0","25.0","84.0","2.0","0.39","0.7","0.0","4.23","0.7","2.96","0.0","0.0","0.0","0.0","12.07","70.21","310.9","155.45","298.83","240.69","0.0","","","","","","",""
"2015.0","3.0","26.0","85.0","2.0","0.37","0.7","0.0","3.92","0.7","2.74","0.0","0.0","0.0","0.0","14.81","70.21","310.9","155.45","296.08","240.69","0.0","","","","","","",""
"2015.0","3.0","27.0","86.0","2.0","0.36","0.7","0.0","4.55","0.7","3.19","0.0","0.0","0.0","0.0","18.0","70.21","310.9","155.45","292.9","240.69","0.0","","","","","","",""
"2015.0","3.0","28.0","87.0","2.0","0.34","0.7","0.0","4.99","0.7","3.49","0.0","0.0","0.0","0.0","21.49","70.21","310.9","155.45","289.4","240.69","0.0","","","","","","",""
"2015.0","3.0","29.0","88.0","2.0","0.33","0.7","0.0","4.76","0.7","3.33","0.0","0.0","0.0","0.0","24.82","70.21","310.9","155.45","286.07","240.69","0.0","","","","","","",""
"2015.0","3.0","30.0","89.0","2.0","0.32","0.7","0.0","4.57","0.7","3.2","0.0","0.0","0.0","0.0","28.02","70.21","310.9","155.45","282.87","240.69","0.0","","","","","","",""
"2015.0","3.0","31.0","90.0","2.0","0.31","0.7","0.0","4.61","0.7","3.23","0.0","0.0","0.0","0.0","31.25","70.21","310.9","155.45","279.65","240.69","0.0","","","","","","",""
"2015.0","4.0","1.0","91.0","2.0","0.3","0.7","0.0","4.22","0.7","2.95","0.0","0.0","0.0","0.0","34.2","70.21","310.9","155.45","276.69","240.69","0.0","","","","","","",""
"2015.0","4.0","2.0","92.0","2.0","0.29","0.7","0.0","5.59","0.7","3.91","0.0","0.0","0.0","0.0","38.12","70.21","310.9","155.45","272.78","240.69","0.0","","","","","","",""
"2015.0","4.0","3.0","93.0","2.0","0.28","0.7","0.0","4.63","0.7","3.24","0.0","0.0","0.0","0.0","41.36","70.21","310.9","155.45","269.54","240.69","0.0","","","","","","",""
"2015.0","4.0","4.0","94.0","2.0","0.28","0.7","0.0","4.53","0.7","3.17","0.0","0.0","0.0","0.0","44.53","70.21","310.9","155.45","266.37","240.69","0.0","","","","","","",""
"2015.0","4.0","5.0","95.0","2.0","0.27","0.7","0.0","2.58","0.7","1.81","0.0","0.0","0.0","0.0","46.34","70.21","310.9","155.45","264.56","240.69","0.0","","","","","","",""
"2015.0","4.0","6.0","96.0","2.0","0.27","0.7","0.0","2.98","0.7","2.09","1.42","1.42","0.0","0.0","47.0","70.21","310.9","155.45","263.9","240.69","0.0","","","","","","",""
"2015.0","4.0","7.0","97.0","2.0","1.12","0.7","0.0","2.41","1.12","2.71","6.49","6.49","0.0","0.0","43.22","70.21","310.9","155.45","267.68","240.69","0.0","","","","","","",""
"2015.0","4.0","8.0","98.0","2.0","1.1","0.7","0.0","2.91","1.1","3.21","13.25","13.25","0.0","0.0","33.18","70.21","310.9","155.45","277.72","240.69","0.0","","","","","","",""
"2015.0","4.0","9.0","99.0","2.0","1.07","0.7","0.0","3.48","1.07","3.74","0.0","0.0","0.0","0.0","36.92","70.21","310.9","155.45","273.97","240.69","0.0","","","","","","",""
"2015.0","4.0","10.0","100.0","2.0","0.83","0.7","0.0","4.13","0.83","3.44","0.0","0.0","0.0","0.0","40.36","70.21","310.9","155.45","270.53","240.69","0.0","","","","","","",""
"2015.0","4.0","11.0","101.0","2.0","0.7","0.7","0.0","4.29","0.7","3.0","0.0","0.0","0.0","0.0","43.36","70.21","310.9","155.45","267.53","240.69","0.0","","","","","","",""
"2015.0","4.0","12.0","102.0","2.0","0.6","0.7","0.0","4.97","0.7","3.48","0.0","0.0","0.0","0.0","46.84","70.21","310.9","155.45","264.05","240.69","0.0","","","","","","",""
"2015.0","4.0","13.0","103.0","2.0","0.53","0.7","0.0","5.12","0.7","3.58","0.0","0.0","0.0","0.0","50.43","70.21","310.9","155.45","260.47","240.69","0.0","","","","","","",""
"2015.0","4.0","14.0","104.0","2.0","0.49","0.7","0.0","4.85","0.7","3.4","0.0","0.0","0.0","0.0","53.82","70.21","310.9","155.45","257.07","240.69","0.0","","","","","","",""
"2015.0","4.0","15.0","105.0","2.0","0.44","0.7","0.0","6.7","0.7","4.69","0.0","0.0","0.0","0.0","58.51","70.21","310.9","155.45","252.38","240.69","0.0","","","","","","",""
"2015.0","4.0","16.0","106.0","2.0","0.4","0.7","0.0","6.12","0.7","4.28","0.0","0.0","0.0","0.0","62.8","70.21","310.9","155.45","248.1","240.69","0.0","","","","","","",""
"2015.0","4.0","17.0","107.0","2.0","0.38","0.7","0.0","5.33","0.7","3.73","0.0","0.0","0.0","0.0","66.53","70.21","310.9","155.45","244.37","240.69","0.0","","","","","","",""
"2015.0","4.0","18.0","108.0","2.0","0.36","0.7","0.0","5.03","0.7","3.52","0.0","0.0","0.0","0.0","70.05","70.21","310.9","155.45","240.85","240.69","0.0","","","","","","",""
"2015.0","4.0","19.0","109.0","2.0","0.34","0.7","0.0","5.36","0.7","3.75","0.0","0.0","0.0","0.0","0.0","70.21","310.9","155.45","310.9","240.69","73.8","","","","","","",""
"2015.0","4.0","20.0","110.0","2.0","0.33","0.7","0.0","4.9","0.7","3.43","0.0","0.0","0.0","0.0","3.43","70.21","310.9","155.45","307.47","240.69","0.0","","","","","","",""
"2015.0","4.0","21.0","111.0","2.0","0.32","0.7","0.0","3.95","0.7","2.77","0.0","0.0","0.0","0.0","6.2","70.21","310.9","155.45","304.7","240.69","0.0","","","","","","",""
"2015.0","4.0","22.0","112.0","2.0","0.31","0.7","0.0","4.22","0.7","2.95","0.0","0.0","0.0","0.0","9.15","70.21","310.9","155.45","301.75","240.69","0.0","","","","","","",""
"2015.0","4.0","23.0","113.0","2.0","0.3","0.7","0.0","4.83","0.7","3.38","0.0","0.0","0.0","0.0","12.53","70.21","310.9","155.45","298.37","240.69","0.0","","","","","","",""
"2015.0","4.0","24.0","114.0","2.0","0.29","0.7","0.0","4.92","0.7","3.44","0.0","0.0","0.0","0.0","15.97","70.21","310.9","155.45","294.92","240.69","0.0","","","","","","",""
"2015.0","4.0","25.0","115.0","2.0","1.06","0.7","0.0","4.12","1.06","4.35","14.13","14.13","0.0","0.0","6.19","70.21","310.9","155.45","304.7","240.69","0.0","","","","","","",""
"2015.0","4.0","26.0","116.0","2.0","0.87","0.7","0.0","5.12","0.87","4.46","0.0","0.0","0.0","0.0","10.65","70.21","310.9","155.45","300.25","240.69","0.0","","","","","","",""
"2015.0","4.0","27.0","117.0","2.0","0.67","0.7","0.0","6.14","0.7","4.3","0.0","0.0","0.0","0.0","14.95","70.21","310.9","155.45","295.95","240.69","0.0","","","","","","",""
"2015.0","4.0","28.0","118.0","2.0","0.57","0.7","0.0","5.67","0.7","3.97","0.0","0.0","0.0","0.0","18.91","70.21","310.9","155.45","291.98","240.69","0.0","","","","","","",""
"2015.0","4.0","29.0","119.0","2.0","0.51","0.7","0.0","5.35","0.7","3.75","0.0","0.0","0.0","0.0","22.66","70.21","310.9","155.45","288.24","240.69","0.0","","","","","","",""
"2015.0","4.0","30.0","120.0","2.0","0.45","0.7","0.0","6.54","0.7","4.58","0.0","0.0","0.0","0.0","27.24","70.21","310.9","155.45","283.66","240.69","0.0","","","","","","",""
"2015.0","5.0","1.0","121.0","2.0","0.41","0.7","0.0","6.55","0.7","4.59","0.0","0.0","0.0","0.0","31.82","70.21","310.9","155.45","279.07","240.69","0.0","","","","","","",""
"2015.0","5.0","2.0","122.0","2.0","0.38","0.7","0.0","6.19","0.7","4.33","0.0","0.0","0.0","0.0","36.16","70.21","310.9","155.45","274.74","240.69","0.0","","","","","","",""
"2015.0","5.0","3.0","123.0","2.0","0.36","0.7","0.0","5.44","0.7","3.81","0.0","0.0","0.0","0.0","39.96","70.21","310.9","155.45","270.93","240.69","0.0","","","","","","",""
"2015.0","5.0","4.0","124.0","2.0","0.35","0.7","0.0","4.95","0.7","3.47","0.0","0.0","0.0","0.0","43.43","70.21","310.9","155.45","267.47","240.69","0.0","","","","","","",""
"2015.0","5.0","5.0","125.0","2.0","0.33","0.7","0.0","4.89","0.7","3.42","0.0","0.0","0.0","0.0","46.85","70.21","310.9","155.45","264.04","240.69","0.0","","","","","","",""
"2015.0","5.0","6.0","126.0","2.0","0.32","0.7","0.0","5.24","0.7","3.67","0.0","0.0","0.0","0.0","50.52","70.21","310.9","155.45","260.38","240.69","0.0","","","","","","",""
"2015.0","5.0","7.0","127.0","2.0","0.31","0.7","0.0","4.2","0.7","2.94","0.45","0.45","0.0","0.0","53.01","70.21","310.9","155.45","257.89","240.69","0.0","","","","","","",""
"2015.0","5.0","8.0","128.0","2.0","0.3","0.7","0.0","4.53","0.7","3.17","0.55","0.55","0.0","0.0","55.63","70.21","310.9","155.45","255.27","240.69","0.0","","","","","","",""
"2015.0","5.0","9.0","129.0","2.0","0.29","0.7","0.0","5.14","0.7","3.6","0.0","0.0","0.0","0.0","59.23","70.21","310.9","155.45","251.67","240.69","0.0","","","","","","",""
"2015.0","5.0","10.0","130.0","2.0","0.28","0.7","0.0","5.31","0.7","3.72","0.0","0.0","0.0","0.0","62.95","70.21","310.9","155.45","247.95","240.69","0.0","","","","","","",""
"2015.0","5.0","11.0","131.0","2.0","0.27","0.7","0.0","5.28","0.7","3.7","0.0","0.0","0.0","0.0","66.64","70.21","310.9","155.45","244.25","240.69","0.0","","","","","","",""
"2015.0","5.0","12.0","132.0","2.0","0.27","0.7","0.0","5.03","0.7","3.52","0.0","0.0","0.0","0.0","70.16","70.21","310.9","155.45","240.73","240.69","0.0","","","","","","",""
"2015.0","5.0","13.0","133.0","2.0","0.26","0.7","0.0","4.79","0.7","3.35","0.0","0.0","0.0","0.0","0.0","70.21","310.9","155.45","310.9","240.69","73.52","","","","","","",""
"2015.0","5.0","14.0","134.0","2.0","0.26","0.7","0.0","3.95","0.7","2.77","0.0","0.0","0.0","0.0","2.77","70.21","310.9","155.45","308.13","240.69","0.0","","","","","","",""
"2015.0","5.0","15.0","135.0","2.0","0.25","0.7","0.0","4.75","0.7","3.33","0.02","0.02","0.0","0.0","6.07","70.21","310.9","155.45","304.83","240.69","0.0","","","","","","",""
"2015.0","5.0","16.0","136.0","2.0","0.24","0.7","0.0","4.87","0.7","3.41","0.0","0.0","0.0","0.0","9.48","70.21","310.9","155.45","301.42","240.69","0.0","","","","","","",""
"2015.0","5.0","17.0","137.0","2.0","0.24","0.7","0.0","4.0","0.7","2.8","0.0","0.0","0.0","0.0","12.28","70.21","310.9","155.45","298.62","240.69","0.0","","","","","","",""
"2015.0","5.0","18.0","138.0","2.0","0.24","0.7","0.0","4.7","0.7","3.29","0.0","0.0","0.0","0.0","15.57","70.21","310.9","155.45","295.33","240.69","0.0","","","","","","",""
"2015.0","5.0","19.0","139.0","2.0","0.23","0.7","0.0","5.07","0.7","3.55","0.0","0.0","0.0","0.0","19.12","70.21","310.9","155.45","291.78","240.69","0.0","","","","","","",""
"2015.0","5.0","20.0","140.0","2.0","0.23","0.7","0.0","5.05","0.7","3.54","0.0","0.0","0.0","0.0","22.65","70.21","310.9","155.45","288.24","240.69","0.0","","","","","","",""
"2015.0","5.0","21.0","141.0","2.0","0.22","0.7","0.0","4.58","0.7","3.21","0.0","0.0","0.0","0.0","25.86","70.21","310.9","155.45","285.04","240.69","0.0","","","","","","",""
"2015.0","5.0","22.0","142.0","2.0","0.22","0.7","0.0","4.94","0.7","3.46","0.0","0.0","0.0","0.0","29.32","70.21","310.9","155.45","281.58","240.69","0.0","","","","","","",""
"2015.0","5.0","23.0","143.0","2.0","0.22","0.7","0.0","4.77","0.7","3.34","0.0","0.0","0.0","0.0","32.66","70.21","310.9","155.45","278.24","240.69","0.0","","","","","","",""
"2015.0","5.0","24.0","144.0","2.0","0.21","0.7","0.0","5.77","0.7","4.04","0.0","0.0","0.0","0.0","36.7","70.21","310.9","155.45","274.2","240.69","0.0","","","","","","",""
"2015.0","5.0","25.0","145.0","2.0","0.21","0.7","0.0","5.58","0.7","3.91","0.0","0.0","0.0","0.0","40.6","70.21","310.9","155.45","270.3","240.69","0.0","","","","","","",""
"2015.0","5.0","26.0","146.0","2.0","0.2","0.7","0.0","5.63","0.7","3.94","0.0","0.0","0.0","0.0","44.54","70.21","310.9","155.45","266.35","240.69","0.0","","","","","","",""
"2015.0","5.0","27.0","147.0","2.0","0.2","0.7","0.0","5.67","0.7","3.97","0.0","0.0","0.0","0.0","48.51","70.21","310.9","155.45","262.39","240.69","0.0","","","","","","",""
"2015.0","5.0","28.0","148.0","2.0","0.2","0.7","0.0","5.48","0.7","3.84","0.0","0.0","0.0","0.0","52.35","70.21","310.9","155.45","258.55","240.69","0.0","","","","","","",""
"2015.0","5.0","29.0","149.0","2.0","0.19","0.7","0.0","6.16","0.7","4.31","0.0","0.0","0.0","0.0","56.66","70.21","310.9","155.45","254.24","240.69","0.0","","","","","","",""
"2015.0","5.0","30.0","150.0","2.0","0.19","0.7","0.0","6.49","0.7","4.54","0.0","0.0","0.0","0.0","61.2","70.21","310.9","155.45","249.69","240.69","0.0","","","","","","",""
"2015.0","5.0","31.0","151.0","2.0","0.19","0.7","0.0","5.57","0.7","3.9","0.0","0.0","0.0","0.0","65.1","70.21","310.9","155.45","245.8","240.69","0.0","","","","","","",""
"2015.0","6.0","1.0","152.0","2.0","0.19","0.7","0.0","5.56","0.7","3.89","0.0","0.0","0.0","0.0","68.99","70.21","310.9","155.45","241.9","240.69","0.0","","","","","","",""
"2015.0","6.0","2.0","153.0","2.0","0.18","0.7","0.0","5.75","0.7","4.03","0.0","0.0","0.0","0.0","0.0","70.21","310.9","155.45","310.9","240.69","73.02","","","","","","",""
"2015.0","6.0","3.0","154.0","2.0","0.18","0.7","0.0","5.65","0.7","3.96","0.0","0.0","0.0","0.0","3.96","70.21","310.9","155.45","306.94","240.69","0.0","","","","","","",""
"2015.0","6.0","4.0","155.0","2.0","0.18","0.7","0.0","5.94","0.7","4.16","0.0","0.0","0.0","0.0","8.11","70.21","310.9","155.45","302.78","240.69","0.0","","","","","","",""
"2015.0","6.0","5.0","156.0","2.0","0.17","0.7","0.0","6.93","0.7","4.85","0.0","0.0","0.0","0.0","12.96","70.21","310.9","155.45","297.93","240.69","0.0","","","","","","",""
"2015.0","6.0","6.0","157.0","2.0","0.17","0.7","0.0","6.53","0.7","4.57","0.01","0.01","0.0","0.0","17.53","70.21","310.9","155.45","293.37","240.69","0.0","","","","","","",""
"2015.0","6.0","7.0","158.0","2.0","0.17","0.7","0.0","7.06","0.7","4.94","0.0","0.0","0.0","0.0","22.47","70.21","310.9","155.45","288.43","240.69","0.0","","","","","","",""
"2015.0","6.0","8.0","159.0","2.0","0.17","0.7","0.0","7.42","0.7","5.19","0.0","0.0","0.0","0.0","27.66","70.21","310.9","155.45","283.24","240.69","0.0","","","","","","",""
"2015.0","6.0","9.0","160.0","2.0","0.16","0.7","0.0","7.22","0.7","5.05","0.0","0.0","0.0","0.0","32.72","70.21","310.9","155.45","278.18","240.69","0.0","","","","","","",""
"2015.0","6.0","10.0","161.0","2.0","0.16","0.7","0.0","2.57","0.7","1.8","0.07","0.07","0.0","0.0","34.44","70.21","310.9","155.45","276.45","240.69","0.0","","","","","","",""
"2015.0","6.0","11.0","162.0","2.0","0.16","0.7","0.0","7.16","0.7","5.01","1.22","1.22","0.0","0.0","38.24","70.21","310.9","155.45","272.66","240.69","0.0","","","","","","",""
"2015.0","6.0","12.0","163.0","2.0","0.16","0.7","0.0","8.08","0.7","5.66","0.0","0.0","0.0","0.0","43.89","70.21","310.9","155.45","267.0","240.69","0.0","","","","","","",""
"2015.0","6.0","13.0","164.0","2.0","0.16","0.7","0.0","7.66","0.7","5.36","0.0","0.0","0.0","0.0","49.25","70.21","310.9","155.45","261.64","240.69","0.0","","","","","","",""
"2015.0","6.0","14.0","165.0","2.0","0.15","0.7","0.0","6.92","0.7","4.84","0.0","0.0","0.0","0.0","54.1","70.21","310.9","155.45","256.8","240.69","0.0","","","","","","",""
"2015.0","6.0","15.0","166.0","2.0","0.15","0.7","0.0","6.72","0.7","4.7","0.0","0.0","0.0","0.0","58.8","70.21","310.9","155.45","252.09","240.69","0.0","","","","","","",""
"2015.0","6.0","16.0","167.0","2.0","0.15","0.7","0.0","7.03","0.7","4.92","0.0","0.0","0.0","0.0","63.72","70.21","310.9","155.45","247.17","240.69","0.0","","","","","","",""
"2015.0","6.0","17.0","168.0","2.0","0.15","0.7","0.0","6.97","0.7","4.88","0.0","0.0","0.0","0.0","68.6","70.21","310.9","155.45","242.29","240.69","0.0","","","","","","",""
"2015.0","6.0","18.0","169.0","2.0","0.15","0.7","0.0","7.75","0.7","5.43","0.0","0.0","0.0","0.0","0.0","70.21","310.9","155.45","310.9","240.69","74.03","","","","","","",""
"2015.0","6.0","19.0","170.0","2.0","0.14","0.7","0.0","7.43","0.7","5.2","0.0","0.0","0.0","0.0","5.2","70.21","310.9","155.45","305.7","240.69","0.0","","","","","","",""
"2015.0","6.0","20.0","171.0","2.0","0.14","0.7","0.0","7.17","0.7","5.02","0.0","0.0","0.0","0.0","10.22","70.21","310.9","155.45","300.68","240.69","0.0","","","","","","",""
"2015.0","6.0","21.0","172.0","2.0","0.14","0.7","0.0","7.78","0.7","5.45","0.0","0.0","0.0","0.0","15.67","70.21","310.9","155.45","295.23","240.69","0.0","","","","","","",""
"2015.0","6.0","22.0","173.0","2.0","0.14","0.7","0.0","6.99","0.7","4.89","0.0","0.0","0.0","0.0","20.56","70.21","310.9","155.45","290.34","240.69","0.0","","","","","","",""
"2015.0","6.0","23.0","174.0","2.0","0.14","0.7","0.0","7.45","0.7","5.22","0.0","0.0","0.0","0.0","25.77","70.21","310.9","155.45","285.12","240.69","0.0","","","","","","",""
"2015.0","6.0","24.0","175.0","2.0","0.14","0.7","0.0","7.51","0.7","5.26","0.0","0.0","0.0","0.0","31.03","70.21","310.9","155.45","279.87","240.69","0.0","","","","","","",""
"2015.0","6.0","25.0","176.0","2.0","0.14","0.7","0.0","7.98","0.7","5.59","0.0","0.0","0.0","0.0","36.62","70.21","310.9","155.45","274.28","240.69","0.0","","","","","","",""
"2015.0","6.0","26.0","177.0","2.0","0.13","0.7","0.0","8.46","0.7","5.92","0.0","0.0","0.0","0.0","42.54","70.21","310.9","155.45","268.36","240.69","0.0","","","","","","",""
"2015.0","6.0","27.0","178.0","2.0","0.13","0.7","0.0","7.16","0.7","5.01","0.0","0.0","0.0","0.0","47.55","70.21","310.9","155.45","263.35","240.69","0.0","","","","","","",""
"2015.0","6.0","28.0","179.0","2.0","0.13","0.7","0.0","7.43","0.7","5.2","0.0","0.0","0.0","0.0","52.75","70.21","310.9","155.45","258.14","240.69","0.0","","","","","","",""
"2015.0","6.0","29.0","180.0","2.0","0.13","0.7","0.0","7.6","0.7","5.32","0.0","0.0","0.0","0.0","58.07","70.21","310.9","155.45","252.82","240.69","0.0","","","","","","",""
"2015.0","6.0","30.0","181.0","2.0","0.13","0.7","0.0","7.68","0.7","5.38","0.0","0.0","0.0","0.0","63.45","70.21","310.9","155.45","247.45","240.69","0.0","","","","","","",""
"2015.0","7.0","1.0","182.0","2.0","0.13","0.7","0.0","7.42","0.7","5.19","0.0","0.0","0.0","0.0","68.64","70.21","310.9","155.45","242.25","240.69","0.0","","","","","","",""
"2015.0","7.0","2.0","183.0","2.0","0.13","0.7","0.0","7.56","0.7","5.29","0.0","0.0","0.0","0.0","0.0","70.21","310.9","155.45","310.9","240.69","73.93","","","","","","",""
"2015.0","7.0","3.0","184.0","2.0","0.12","0.7","0.0","7.43","0.7","5.2","0.0","0.0","0.0","0.0","5.2","70.21","310.9","155.45","305.7","240.69","0.0","","","","","","",""
