" Daily soil water balance output for Rice in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Rice in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","2.0","8.0","39.0","1249.0","1.16","0.0","0.0","1.39","1.16","1.62","12.03","10.81","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","0.0","","","","","","","","",""
"2015.0","2.0","9.0","40.0","1249.0","1.14","0.0","0.0","2.02","1.14","2.3","18.45","2.3","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","1249.0","1.14","0.0","0.0","1.84","1.14","2.1","0.02","0.02","0.0","0.0","2.08","28.5","231.65","115.82","229.57","203.15","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","1249.0","1.15","0.0","0.0","1.63","1.15","1.87","0.0","0.0","0.0","0.0","3.95","28.5","231.65","115.82","227.7","203.15","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","1249.0","1.02","0.0","0.0","1.98","1.02","2.02","0.0","0.0","0.0","0.0","5.97","28.5","231.65","115.82","225.68","203.15","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","1249.0","0.9","0.0","0.0","2.03","0.9","1.83","0.0","0.0","0.0","0.0","7.8","28.5","231.65","115.82","223.85","203.15","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","1249.0","0.81","0.0","0.0","2.18","0.81","1.77","0.0","0.0","0.0","0.0","9.57","28.5","231.65","115.82","222.08","203.15","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","1249.0","0.75","0.0","0.0","2.08","0.75","1.56","0.0","0.0","0.0","0.0","11.13","28.5","231.65","115.82","220.52","203.15","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","1249.0","0.7","0.0","0.0","2.18","0.7","1.52","0.0","0.0","0.0","0.0","12.65","28.5","231.65","115.82","219.0","203.15","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","1249.0","0.66","0.0","0.0","1.84","0.66","1.21","0.0","0.0","0.0","0.0","13.86","28.5","231.65","115.82","217.79","203.15","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","1249.0","0.63","0.0","0.0","1.59","0.63","1.0","0.0","0.0","0.0","0.0","14.86","28.5","231.65","115.82","216.79","203.15","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","1249.0","0.62","0.0","0.0","1.06","0.62","0.65","0.0","0.0","0.0","0.0","15.51","28.5","231.65","115.82","216.13","203.15","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","1249.0","0.59","0.0","0.0","1.88","0.59","1.11","0.0","0.0","0.0","0.0","16.62","28.5","231.65","115.82","215.03","203.15","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","1249.0","0.57","0.0","0.0","1.63","0.57","0.93","0.0","0.0","0.0","0.0","17.55","28.5","231.65","115.82","214.1","203.15","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","1249.0","0.53","0.0","0.0","3.48","0.53","1.85","0.0","0.0","0.0","0.0","19.4","28.5","231.65","115.82","212.25","203.15","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","1249.0","0.49","0.0","0.0","4.09","0.49","2.02","0.0","0.0","0.0","0.0","21.41","28.5","231.65","115.82","210.23","203.15","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","1249.0","0.47","0.0","0.0","2.78","0.47","1.31","0.0","0.0","0.0","0.0","22.73","28.5","231.65","115.82","208.92","203.15","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","1249.0","0.46","0.0","0.0","2.16","0.46","0.99","0.0","0.0","0.0","0.0","23.72","28.5","231.65","115.82","207.93","203.15","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","1249.0","0.44","0.0","0.0","3.01","0.44","1.33","0.0","0.0","0.0","0.0","25.05","28.5","231.65","115.82","206.6","203.15","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","1249.0","0.43","0.0","0.0","2.86","0.43","1.22","0.0","0.0","0.0","0.0","26.26","28.5","231.65","115.82","205.39","203.15","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","1249.0","0.42","0.0","0.0","2.01","0.42","0.83","0.0","0.0","0.0","0.0","27.1","28.5","231.65","115.82","204.55","203.15","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","1249.0","0.4","0.0","0.0","2.6","0.4","1.05","0.0","0.0","0.0","0.0","28.14","28.5","231.65","115.82","203.5","203.15","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","1249.0","0.39","0.0","0.0","2.27","0.39","0.89","0.0","0.0","0.0","0.0","29.04","28.5","231.65","115.82","202.61","203.15","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","1249.0","0.38","0.0","0.0","2.57","0.38","0.99","0.86","0.86","0.0","0.0","28.18","28.5","231.65","115.82","203.47","203.15","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","1249.0","0.37","0.0","0.0","2.6","0.37","0.97","0.0","0.0","0.0","0.0","29.15","28.5","231.65","115.82","202.49","203.15","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","1249.0","0.37","0.0","0.0","2.79","0.37","1.02","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","1249.0","0.36","0.0","0.0","2.99","0.36","1.06","0.0","0.0","0.0","0.0","29.56","28.5","231.65","115.82","202.08","203.15","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","1249.0","0.35","0.0","0.0","2.82","0.35","0.98","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","1249.0","0.34","0.0","0.0","2.96","0.34","1.01","0.0","0.0","0.0","0.0","29.51","28.5","231.65","115.82","202.14","203.15","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","1249.0","0.33","0.0","0.0","2.98","0.33","0.99","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","1249.0","0.33","0.0","0.0","2.43","0.33","0.79","0.0","0.0","0.0","0.0","29.29","28.5","231.65","115.82","202.35","203.15","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","1249.0","0.32","0.0","0.0","2.13","0.32","0.69","0.72","0.72","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","1249.0","1.08","0.0","0.0","3.4","1.08","3.69","3.96","3.96","0.0","0.0","28.23","28.5","231.65","115.82","203.42","203.15","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","1249.0","1.07","0.0","0.0","3.07","1.07","3.28","0.0","0.0","0.0","0.0","31.5","28.5","231.65","115.82","200.15","203.15","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","1249.0","0.87","0.0","0.0","3.32","0.87","2.88","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","1249.0","0.73","0.0","0.0","3.87","0.73","2.83","0.0","0.0","0.0","0.0","31.33","28.5","231.65","115.82","200.31","203.15","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","1249.0","0.67","0.0","0.0","2.59","0.67","1.74","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","1249.0","0.61","0.0","0.0","3.57","0.61","2.17","0.0","0.0","0.0","0.0","30.67","28.5","231.65","115.82","200.97","203.15","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","1249.0","0.56","0.0","0.0","3.85","0.56","2.14","0.21","0.21","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","1249.0","0.52","0.0","0.0","3.88","0.52","2.0","0.0","0.0","0.0","0.0","30.5","28.5","231.65","115.82","201.15","203.15","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","1249.0","0.49","0.0","0.0","3.12","0.49","1.52","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","1249.0","0.46","0.0","0.0","3.61","0.46","1.67","0.0","0.0","0.0","0.0","30.17","28.5","231.65","115.82","201.48","203.15","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","1249.0","0.44","0.0","0.0","3.15","0.44","1.39","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","1249.0","0.42","0.0","0.0","3.24","0.42","1.38","0.46","0.46","0.0","0.0","29.42","28.5","231.65","115.82","202.23","203.15","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","1249.0","0.41","0.0","0.0","3.22","0.41","1.32","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","1249.0","0.39","0.0","0.0","4.16","0.39","1.62","0.0","0.0","0.0","0.0","30.12","28.5","231.65","115.82","201.52","203.15","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","1249.0","0.38","0.0","0.0","3.91","0.38","1.47","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","1249.0","0.36","0.0","0.0","4.48","0.36","1.61","0.0","0.0","0.0","0.0","30.11","28.5","231.65","115.82","201.54","203.15","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","1249.0","0.34","0.0","0.0","4.95","0.34","1.7","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","1249.0","0.33","0.0","0.0","4.75","0.33","1.57","0.0","0.0","0.0","0.0","30.07","28.5","231.65","115.82","201.57","203.15","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","1249.0","0.32","0.0","0.0","4.54","0.32","1.45","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","1249.0","0.31","0.0","0.0","4.67","0.31","1.45","0.0","0.0","0.0","0.0","29.95","28.5","231.65","115.82","201.7","203.15","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","1249.0","0.3","0.0","0.0","4.21","0.3","1.27","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","1249.0","0.29","0.0","0.0","5.53","0.29","1.61","0.0","0.0","0.0","0.0","30.11","28.5","231.65","115.82","201.54","203.15","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","1249.0","0.28","0.0","0.0","4.65","0.28","1.32","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","1249.0","0.28","0.0","0.0","4.54","0.28","1.25","0.0","0.0","0.0","0.0","29.75","28.5","231.65","115.82","201.89","203.15","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","1249.0","0.27","0.0","0.0","2.51","0.27","0.68","0.08","0.08","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","1249.0","0.27","0.0","0.0","2.97","0.27","0.8","2.53","2.53","0.0","0.0","26.77","28.5","231.65","115.82","204.88","203.15","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","1249.0","0.27","0.0","0.0","2.49","0.27","0.66","3.03","3.03","0.0","0.0","24.4","28.5","231.65","115.82","207.25","203.15","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","1249.0","1.1","0.0","0.0","2.99","1.1","3.29","14.46","14.46","0.0","0.0","13.23","28.5","231.65","115.82","218.42","203.15","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","1249.0","1.07","0.0","0.0","3.5","1.07","3.73","0.0","0.0","0.0","0.0","16.96","28.5","231.65","115.82","214.69","203.15","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","1249.0","0.83","0.0","0.0","4.14","0.83","3.43","0.0","0.0","0.0","0.0","20.39","28.5","231.65","115.82","211.26","203.15","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","1249.0","0.7","0.0","0.0","4.3","0.7","2.99","0.0","0.0","0.0","0.0","23.38","28.5","231.65","115.82","208.27","203.15","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","1249.0","0.6","0.0","0.0","4.93","0.6","2.96","0.0","0.0","0.0","0.0","26.35","28.5","231.65","115.82","205.3","203.15","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","1249.0","0.54","0.0","0.0","5.02","0.54","2.69","0.0","0.0","0.0","0.0","29.03","28.5","231.65","115.82","202.62","203.15","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","1249.0","0.49","0.0","0.0","4.9","0.49","2.39","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","1249.0","0.44","0.0","0.0","6.53","0.44","2.87","0.0","0.0","0.0","0.0","31.37","28.5","231.65","115.82","200.28","203.15","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","1249.0","0.41","0.0","0.0","5.97","0.41","2.43","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","1249.0","0.38","0.0","0.0","5.35","0.38","2.05","0.0","0.0","0.0","0.0","30.55","28.5","231.65","115.82","201.1","203.15","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","1249.0","0.36","0.0","0.0","4.99","0.36","1.81","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","1249.0","0.35","0.0","0.0","5.25","0.35","1.82","0.0","0.0","0.0","0.0","30.32","28.5","231.65","115.82","201.33","203.15","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","1249.0","0.33","0.0","0.0","4.8","0.33","1.6","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","1249.0","0.32","0.0","0.0","3.83","0.32","1.24","0.0","0.0","0.0","0.0","29.74","28.5","231.65","115.82","201.91","203.15","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","1249.0","0.31","0.0","0.0","4.16","0.31","1.31","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","1249.0","0.3","0.0","0.0","4.79","0.3","1.46","0.0","0.0","0.0","0.0","29.96","28.5","231.65","115.82","201.69","203.15","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","1249.0","0.29","0.0","0.0","5.05","0.29","1.49","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","1249.0","1.06","0.0","0.0","4.07","1.06","4.3","12.34","12.34","0.0","0.0","20.46","28.5","231.65","115.82","211.19","203.15","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","1249.0","0.87","0.0","0.0","5.14","0.87","4.48","0.0","0.0","0.0","0.0","24.94","28.5","231.65","115.82","206.7","203.15","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","1249.0","0.67","0.0","0.0","6.01","0.67","4.04","0.0","0.0","0.0","0.0","28.98","28.5","231.65","115.82","202.66","203.15","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","1249.0","0.57","0.0","0.0","5.62","0.57","3.22","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","1249.0","0.51","0.0","0.0","5.35","0.51","2.73","0.0","0.0","0.0","0.0","31.23","28.5","231.65","115.82","200.42","203.15","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","1249.0","0.46","0.0","0.0","6.46","0.46","2.94","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","1249.0","0.41","1.1","0.0","6.52","1.1","7.17","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","35.67","","","","","","","","",""
"2015.0","5.0","2.0","122.0","1249.0","0.39","1.1","0.0","6.03","1.1","6.63","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.63","","","","","","","","",""
"2015.0","5.0","3.0","123.0","1249.0","0.37","1.1","0.0","5.29","1.1","5.82","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.82","","","","","","","","",""
"2015.0","5.0","4.0","124.0","1249.0","0.35","1.1","0.0","4.85","1.1","5.34","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.34","","","","","","","","",""
"2015.0","5.0","5.0","125.0","1249.0","0.34","1.1","0.0","4.86","1.1","5.35","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.35","","","","","","","","",""
"2015.0","5.0","6.0","126.0","1249.0","0.32","1.1","0.0","5.17","1.1","5.69","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.69","","","","","","","","",""
"2015.0","5.0","7.0","127.0","1249.0","0.31","1.1","0.0","3.74","1.1","4.11","0.12","0.12","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","3.99","","","","","","","","",""
"2015.0","5.0","8.0","128.0","1249.0","0.3","1.1","0.0","4.45","1.1","4.9","0.04","0.04","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","4.86","","","","","","","","",""
"2015.0","5.0","9.0","129.0","1249.0","0.29","1.1","0.0","5.02","1.1","5.52","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.52","","","","","","","","",""
"2015.0","5.0","10.0","130.0","1249.0","0.29","1.1","0.0","5.24","1.1","5.76","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.76","","","","","","","","",""
"2015.0","5.0","11.0","131.0","1249.0","0.28","1.1","0.0","5.2","1.1","5.72","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.72","","","","","","","","",""
"2015.0","5.0","12.0","132.0","1249.0","0.27","1.1","0.0","5.04","1.1","5.54","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.54","","","","","","","","",""
"2015.0","5.0","13.0","133.0","1249.0","0.26","1.1","0.0","4.75","1.1","5.23","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.23","","","","","","","","",""
"2015.0","5.0","14.0","134.0","1249.0","0.26","1.1","0.0","3.53","1.1","3.88","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","3.88","","","","","","","","",""
"2015.0","5.0","15.0","135.0","1249.0","0.25","1.1","0.0","4.69","1.1","5.16","0.41","0.41","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","4.75","","","","","","","","",""
"2015.0","5.0","16.0","136.0","1249.0","0.25","1.1","0.0","4.83","1.1","5.31","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.31","","","","","","","","",""
"2015.0","5.0","17.0","137.0","1249.0","0.24","1.1","0.0","4.03","1.1","4.43","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","4.43","","","","","","","","",""
"2015.0","5.0","18.0","138.0","1249.0","0.24","1.1","0.0","4.74","1.1","5.21","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.21","","","","","","","","",""
"2015.0","5.0","19.0","139.0","1249.0","0.23","1.1","0.0","5.03","1.1","5.53","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.53","","","","","","","","",""
"2015.0","5.0","20.0","140.0","1249.0","0.23","1.1","0.0","4.98","1.1","5.48","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.48","","","","","","","","",""
"2015.0","5.0","21.0","141.0","1249.0","0.23","1.1","0.0","4.26","1.1","4.69","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","4.69","","","","","","","","",""
"2015.0","5.0","22.0","142.0","1249.0","0.22","1.1","0.0","4.91","1.1","5.4","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.4","","","","","","","","",""
"2015.0","5.0","23.0","143.0","1249.0","0.22","1.1","0.0","4.7","1.1","5.17","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.17","","","","","","","","",""
"2015.0","5.0","24.0","144.0","1249.0","0.21","1.1","0.0","5.63","1.1","6.19","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.19","","","","","","","","",""
"2015.0","5.0","25.0","145.0","1249.0","0.21","1.1","0.0","5.5","1.1","6.05","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.05","","","","","","","","",""
"2015.0","5.0","26.0","146.0","1249.0","0.21","1.1","0.0","5.52","1.1","6.07","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.07","","","","","","","","",""
"2015.0","5.0","27.0","147.0","1249.0","0.2","1.1","0.0","5.56","1.1","6.12","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.12","","","","","","","","",""
"2015.0","5.0","28.0","148.0","1249.0","0.2","1.09","0.0","5.44","1.09","5.92","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.92","","","","","","","","",""
"2015.0","5.0","29.0","149.0","1249.0","0.2","1.08","0.0","6.1","1.08","6.57","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.57","","","","","","","","",""
"2015.0","5.0","30.0","150.0","1249.0","0.19","1.07","0.0","6.43","1.07","6.86","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.86","","","","","","","","",""
"2015.0","5.0","31.0","151.0","1249.0","0.19","1.06","0.0","5.4","1.06","5.7","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.7","","","","","","","","",""
"2015.0","6.0","1.0","152.0","1249.0","0.19","1.04","0.0","5.46","1.04","5.7","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.7","","","","","","","","",""
"2015.0","6.0","2.0","153.0","1249.0","0.18","1.03","0.0","5.75","1.03","5.94","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.94","","","","","","","","",""
"2015.0","6.0","3.0","154.0","1249.0","0.18","1.02","0.0","5.49","1.02","5.61","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.61","","","","","","","","",""
"2015.0","6.0","4.0","155.0","1249.0","0.18","1.01","0.0","5.89","1.01","5.96","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.96","","","","","","","","",""
"2015.0","6.0","5.0","156.0","1249.0","0.18","1.0","0.0","6.77","1.0","6.77","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.77","","","","","","","","",""
"2015.0","6.0","6.0","157.0","1249.0","0.17","1.0","0.0","6.34","1.0","6.34","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.34","","","","","","","","",""
"2015.0","6.0","7.0","158.0","1249.0","0.17","1.0","0.0","6.9","1.0","6.9","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.9","","","","","","","","",""
"2015.0","6.0","8.0","159.0","1249.0","0.17","1.0","0.0","7.39","1.0","7.39","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","7.39","","","","","","","","",""
"2015.0","6.0","9.0","160.0","1249.0","0.17","1.0","0.0","7.03","1.0","7.03","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","7.03","","","","","","","","",""
"2015.0","6.0","10.0","161.0","1249.0","0.17","1.0","0.0","2.7","1.0","2.7","0.02","0.02","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","2.68","","","","","","","","",""
"2015.0","6.0","11.0","162.0","1249.0","0.16","1.0","0.0","7.01","1.0","7.01","2.18","2.18","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","4.83","","","","","","","","",""
"2015.0","6.0","12.0","163.0","1249.0","0.16","1.0","0.0","7.89","1.0","7.89","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","7.89","","","","","","","","",""
"2015.0","6.0","13.0","164.0","1249.0","0.16","1.0","0.0","7.55","1.0","7.55","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","7.55","","","","","","","","",""
"2015.0","6.0","14.0","165.0","1249.0","0.16","1.0","0.0","6.8","1.0","6.8","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.8","","","","","","","","",""
"2015.0","6.0","15.0","166.0","1249.0","0.15","1.0","0.0","6.62","1.0","6.62","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.62","","","","","","","","",""
"2015.0","6.0","16.0","167.0","1249.0","0.15","1.0","0.0","6.96","1.0","6.96","0.51","0.51","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.45","","","","","","","","",""
"2015.0","6.0","17.0","168.0","1249.0","0.15","1.0","0.0","6.97","1.0","6.97","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.97","","","","","","","","",""
"2015.0","6.0","18.0","169.0","1249.0","0.15","1.0","0.0","7.62","1.0","7.62","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","7.62","","","","","","","","",""
"2015.0","6.0","19.0","170.0","1249.0","0.15","1.0","0.0","7.42","1.0","7.42","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","7.42","","","","","","","","",""
"2015.0","6.0","20.0","171.0","1249.0","0.14","1.0","0.0","7.06","1.0","7.06","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","7.06","","","","","","","","",""
"2015.0","6.0","21.0","172.0","1249.0","0.14","1.0","0.0","7.62","1.0","7.62","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","7.62","","","","","","","","",""
"2015.0","6.0","22.0","173.0","1249.0","0.14","1.0","0.0","6.99","1.0","6.99","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.99","","","","","","","","",""
"2015.0","6.0","23.0","174.0","1249.0","0.14","1.0","0.0","7.4","1.0","7.4","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","7.4","","","","","","","","",""
"2015.0","6.0","24.0","175.0","1249.0","0.14","1.0","0.0","7.41","1.0","7.41","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","7.41","","","","","","","","",""
