" Daily soil water balance output for Safflower in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Safflower in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"2015.0","2.0","8.0","39.0","1407.0","1.16","0.0","0.0","1.56","1.16","1.81","12.26","12.26","0.0","0.0","7.83","29.7","600.92","300.46","593.08","571.22","0.0","","","","","","","","",""
"2015.0","2.0","9.0","40.0","1407.0","1.14","0.0","0.0","2.12","1.14","2.41","13.42","10.24","0.0","0.0","0.0","29.7","600.92","300.46","600.92","571.22","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","1407.0","1.14","0.0","0.0","1.87","1.14","2.13","0.0","0.0","0.0","0.0","2.13","29.7","600.92","300.46","598.79","571.22","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","1407.0","1.14","0.0","0.0","1.71","1.14","1.96","0.0","0.0","0.0","0.0","4.09","29.7","600.92","300.46","596.83","571.22","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","1407.0","1.0","0.0","0.0","2.0","1.0","2.0","0.0","0.0","0.0","0.0","6.09","29.7","600.92","300.46","594.83","571.22","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","1407.0","0.89","0.0","0.0","2.09","0.89","1.86","0.0","0.0","0.0","0.0","7.95","29.7","600.92","300.46","592.97","571.22","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","1407.0","0.8","0.0","0.0","2.2","0.8","1.76","0.0","0.0","0.0","0.0","9.71","29.7","600.92","300.46","591.21","571.22","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","1407.0","0.74","0.0","0.0","2.08","0.74","1.54","0.0","0.0","0.0","0.0","11.25","29.7","600.92","300.46","589.67","571.22","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","1407.0","0.69","0.0","0.0","2.09","0.69","1.44","0.0","0.0","0.0","0.0","12.69","29.7","600.92","300.46","588.22","571.22","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","1407.0","0.65","0.0","0.0","1.81","0.65","1.19","0.0","0.0","0.0","0.0","13.88","29.7","600.92","300.46","587.04","571.22","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","1407.0","0.63","0.0","0.0","1.72","0.63","1.08","0.0","0.0","0.0","0.0","14.96","29.7","600.92","300.46","585.96","571.22","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","1407.0","0.61","0.0","0.0","1.04","0.61","0.64","0.0","0.0","0.0","0.0","15.59","29.7","600.92","300.46","585.33","571.22","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","1407.0","0.59","0.0","0.0","1.75","0.59","1.03","0.0","0.0","0.0","0.0","16.62","29.7","600.92","300.46","584.3","571.22","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","1407.0","0.57","0.0","0.0","1.58","0.57","0.9","0.0","0.0","0.0","0.0","17.51","29.7","600.92","300.46","583.4","571.22","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","1407.0","0.53","0.0","0.0","2.95","0.53","1.58","0.0","0.0","0.0","0.0","19.09","29.7","600.92","300.46","581.83","571.22","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","1407.0","0.5","0.0","0.0","3.55","0.5","1.78","0.0","0.0","0.0","0.0","20.87","29.7","600.92","300.46","580.04","571.22","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","1407.0","0.48","0.0","0.0","2.71","0.48","1.3","0.0","0.0","0.0","0.0","22.18","29.7","600.92","300.46","578.74","571.22","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","1407.0","0.47","0.0","0.0","2.2","0.47","1.02","0.0","0.0","0.0","0.0","23.2","29.7","600.92","300.46","577.72","571.22","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","1407.0","0.45","0.0","0.0","2.91","0.45","1.3","0.0","0.0","0.0","0.0","24.5","29.7","600.92","300.46","576.42","571.22","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","1407.0","0.43","0.0","0.0","2.86","0.43","1.23","0.0","0.0","0.0","0.0","25.73","29.7","600.92","300.46","575.18","571.22","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","1407.0","0.42","0.0","0.0","2.01","0.42","0.85","0.0","0.0","0.0","0.0","26.58","29.7","600.92","300.46","574.34","571.22","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","1407.0","0.41","0.0","0.0","2.51","0.41","1.03","0.25","0.25","0.0","0.0","27.36","29.7","600.92","300.46","573.56","571.22","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","1407.0","0.4","0.0","0.0","2.21","0.4","0.88","0.0","0.0","0.0","0.0","28.24","29.7","600.92","300.46","572.68","571.22","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","1407.0","0.39","0.0","0.0","2.53","0.39","0.98","1.19","1.19","0.0","0.0","28.03","29.7","600.92","300.46","572.88","571.22","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","1407.0","0.38","0.0","0.0","2.61","0.38","0.99","0.0","0.0","0.0","0.0","29.02","29.7","600.92","300.46","571.89","571.22","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","1407.0","0.37","0.0","0.0","2.81","0.37","1.04","0.0","0.0","0.0","0.0","30.06","29.7","600.92","300.46","570.85","571.22","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","1407.0","0.36","0.0","0.0","2.99","0.36","1.08","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","1407.0","0.35","0.0","0.0","2.88","0.35","1.01","0.0","0.0","0.0","0.0","30.71","29.7","600.92","300.46","570.21","571.22","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","1407.0","0.34","0.0","0.0","2.97","0.34","1.02","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","1407.0","0.34","0.0","0.0","2.92","0.34","0.98","0.0","0.0","0.0","0.0","30.68","29.7","600.92","300.46","570.24","571.22","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","1407.0","0.33","0.0","0.0","2.53","0.33","0.83","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","1407.0","0.32","0.0","0.0","2.06","0.32","0.67","1.21","1.21","0.0","0.0","29.16","29.7","600.92","300.46","571.76","571.22","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","1407.0","1.09","0.0","0.0","3.36","1.09","3.65","3.33","3.33","0.0","0.0","29.48","29.7","600.92","300.46","571.44","571.22","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","1407.0","1.07","0.0","0.0","3.07","1.07","3.29","0.0","0.0","0.0","0.0","32.76","29.7","600.92","300.46","568.15","571.22","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","1407.0","0.86","0.0","0.0","3.44","0.86","2.97","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","1407.0","0.73","0.0","0.0","3.99","0.73","2.9","0.0","0.0","0.0","0.0","32.6","29.7","600.92","300.46","568.32","571.22","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","1407.0","0.66","0.0","0.0","2.83","0.66","1.88","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","1407.0","0.6","0.0","0.0","3.65","0.6","2.19","0.0","0.0","0.0","0.0","31.89","29.7","600.92","300.46","569.03","571.22","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","1407.0","0.55","0.0","0.0","3.82","0.55","2.1","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","1407.0","0.51","0.0","0.0","3.83","0.51","1.96","0.0","0.0","0.0","0.0","31.66","29.7","600.92","300.46","569.26","571.22","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","1407.0","0.48","0.0","0.0","3.23","0.48","1.56","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","1407.0","0.46","0.0","0.0","3.56","0.46","1.63","0.0","0.0","0.0","0.0","31.33","29.7","600.92","300.46","569.59","571.22","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","1407.0","0.44","0.0","0.0","3.17","0.44","1.39","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","1407.0","0.42","0.0","0.0","3.21","0.42","1.35","0.72","0.72","0.0","0.0","30.33","29.7","600.92","300.46","570.58","571.22","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","1407.0","0.41","0.0","0.0","3.34","0.41","1.35","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","1407.0","0.39","0.0","0.0","4.1","0.39","1.59","0.0","0.0","0.0","0.0","31.29","29.7","600.92","300.46","569.63","571.22","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","1407.0","0.37","0.0","0.0","3.96","0.37","1.48","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","1407.0","0.36","0.0","0.0","4.5","0.36","1.61","0.0","0.0","0.0","0.0","31.31","29.7","600.92","300.46","569.61","571.22","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","1407.0","0.34","0.0","0.0","4.95","0.34","1.69","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","1407.0","0.33","0.0","0.0","4.75","0.33","1.56","0.0","0.0","0.0","0.0","31.26","29.7","600.92","300.46","569.65","571.22","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","1407.0","0.32","0.0","0.0","4.57","0.32","1.46","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","1407.0","0.31","0.0","0.0","4.69","0.31","1.45","0.0","0.0","0.0","0.0","31.15","29.7","600.92","300.46","569.77","571.22","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","1407.0","0.3","0.0","0.0","4.21","0.3","1.26","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","1407.0","0.29","0.0","0.0","5.44","0.29","1.58","0.0","0.0","0.0","0.0","31.28","29.7","600.92","300.46","569.64","571.22","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","1407.0","0.28","0.0","0.0","4.68","0.28","1.32","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","1407.0","0.28","0.0","0.0","4.56","0.28","1.25","0.0","0.0","0.0","0.0","30.95","29.7","600.92","300.46","569.96","571.22","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","1407.0","0.27","0.0","0.0","2.58","0.27","0.7","0.04","0.04","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","1407.0","0.27","0.0","0.0","3.08","0.27","0.82","2.02","2.02","0.0","0.0","28.5","29.7","600.92","300.46","572.41","571.22","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","1407.0","1.11","0.0","0.0","2.76","1.11","3.06","4.27","4.27","0.0","0.0","27.3","29.7","600.92","300.46","573.62","571.22","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","1407.0","1.1","0.0","0.0","3.05","1.1","3.35","11.21","11.21","0.0","0.0","19.44","29.7","600.92","300.46","581.48","571.22","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","1407.0","1.06","0.0","0.0","3.51","1.06","3.72","0.0","0.0","0.0","0.0","23.15","29.7","600.92","300.46","577.76","571.22","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","1407.0","0.82","0.0","0.0","4.17","0.82","3.43","0.0","0.0","0.0","0.0","26.59","29.7","600.92","300.46","574.33","571.22","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","1407.0","0.69","0.0","0.0","4.35","0.69","3.01","0.0","0.0","0.0","0.0","29.6","29.7","600.92","300.46","571.32","571.22","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","1407.0","0.6","0.0","0.0","4.89","0.6","2.93","0.0","0.0","0.0","0.0","32.53","29.7","600.92","300.46","568.39","571.22","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","1407.0","0.53","0.0","0.0","5.01","0.53","2.68","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","1407.0","0.49","0.0","0.0","4.99","0.49","2.43","0.0","0.0","0.0","0.0","32.13","29.7","600.92","300.46","568.79","571.22","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","1407.0","0.44","0.0","0.0","6.25","0.44","2.75","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","1407.0","0.41","0.0","0.0","5.67","0.41","2.32","0.0","0.0","0.0","0.0","32.02","29.7","600.92","300.46","568.9","571.22","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","1407.0","0.38","0.0","0.0","5.38","0.38","2.07","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","1407.0","0.37","0.0","0.0","4.98","0.37","1.82","0.0","0.0","0.0","0.0","31.52","29.7","600.92","300.46","569.4","571.22","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","1407.0","0.35","0.0","0.0","5.17","0.35","1.8","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","1407.0","0.33","0.0","0.0","4.8","0.33","1.6","0.0","0.0","0.0","0.0","31.3","29.7","600.92","300.46","569.61","571.22","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","1407.0","0.32","0.0","0.0","3.84","0.32","1.25","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","1407.0","0.32","0.0","0.0","4.05","0.32","1.28","0.0","0.0","0.0","0.0","30.98","29.7","600.92","300.46","569.94","571.22","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","1407.0","0.31","0.0","0.0","4.79","0.31","1.46","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","1407.0","0.3","0.0","0.0","5.07","0.3","1.5","0.0","0.0","0.0","0.0","31.2","29.7","600.92","300.46","569.72","571.22","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","1407.0","1.06","0.0","0.0","4.03","1.06","4.27","10.88","10.88","0.0","0.0","20.32","29.7","600.92","300.46","580.6","571.22","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","1407.0","0.87","0.0","0.0","5.17","0.87","4.51","0.0","0.0","0.0","0.0","24.83","29.7","600.92","300.46","576.09","571.22","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","1407.0","0.68","0.0","0.0","5.81","0.68","3.94","0.0","0.0","0.0","0.0","28.77","29.7","600.92","300.46","572.15","571.22","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","1407.0","0.58","0.0","0.0","5.63","0.58","3.24","0.0","0.0","0.0","0.0","32.01","29.7","600.92","300.46","568.91","571.22","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","1407.0","0.51","0.0","0.0","5.42","0.51","2.78","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","1407.0","0.46","0.0","0.0","6.46","0.46","2.95","0.0","0.0","0.0","0.0","32.65","29.7","600.92","300.46","568.27","571.22","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","1407.0","0.42","0.2","0.0","6.5","0.42","2.7","0.0","0.0","0.0","0.0","35.35","60.48","600.92","300.46","565.57","540.44","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","1407.0","0.39","0.2","0.0","5.93","0.39","2.29","0.0","0.0","0.0","0.0","37.65","60.48","600.92","300.46","563.27","540.44","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","1407.0","0.37","0.2","0.0","5.27","0.37","1.93","0.0","0.0","0.0","0.0","39.58","60.48","600.92","300.46","561.34","540.44","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","1407.0","0.35","0.2","0.0","4.89","0.35","1.71","0.0","0.0","0.0","0.0","41.29","60.48","600.92","300.46","559.63","540.44","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","1407.0","0.34","0.2","0.0","4.9","0.34","1.65","0.0","0.0","0.0","0.0","42.93","60.48","600.92","300.46","557.98","540.44","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","1407.0","0.32","0.2","0.0","5.04","0.32","1.63","0.0","0.0","0.0","0.0","44.56","60.48","600.92","300.46","556.36","540.44","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","1407.0","0.32","0.2","0.0","3.23","0.32","1.02","0.0","0.0","0.0","0.0","45.58","60.48","600.92","300.46","555.34","540.44","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","1407.0","0.31","0.2","0.0","4.37","0.31","1.34","1.13","1.13","0.0","0.0","45.79","60.48","600.92","300.46","555.12","540.44","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","1407.0","0.3","0.2","0.0","4.89","0.3","1.45","0.0","0.0","0.0","0.0","47.25","60.48","600.92","300.46","553.67","540.44","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","1407.0","0.29","0.2","0.0","5.25","0.29","1.51","0.0","0.0","0.0","0.0","48.76","60.48","600.92","300.46","552.16","540.44","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","1407.0","0.28","0.2","0.0","5.24","0.28","1.46","0.0","0.0","0.0","0.0","50.22","60.48","600.92","300.46","550.7","540.44","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","1407.0","0.27","0.25","0.0","5.05","0.27","1.37","0.0","0.0","0.0","0.0","51.59","60.48","600.92","300.46","549.33","540.44","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","1407.0","0.26","0.3","0.0","4.75","0.3","1.43","0.0","0.0","0.0","0.0","53.01","60.48","600.92","300.46","547.9","540.44","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","1407.0","0.26","0.35","0.0","3.29","0.35","1.15","0.0","0.0","0.0","0.0","54.17","60.48","600.92","300.46","546.75","540.44","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","1407.0","0.26","0.4","0.0","4.65","0.4","1.86","1.77","1.77","0.0","0.0","54.26","60.48","600.92","300.46","546.66","540.44","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","1407.0","0.25","0.45","0.0","4.81","0.45","2.16","0.0","0.0","0.0","0.0","56.42","60.48","600.92","300.46","544.5","540.44","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","1407.0","0.25","0.5","0.0","3.92","0.5","1.96","0.0","0.0","0.0","0.0","58.38","60.48","600.92","300.46","542.54","540.44","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","1407.0","0.24","0.55","0.0","4.84","0.55","2.66","0.0","0.0","0.0","0.0","0.0","60.48","600.92","300.46","600.92","540.44","61.04","","","","","","","","",""
"2015.0","5.0","19.0","139.0","1407.0","0.24","0.6","0.0","5.04","0.6","3.02","0.0","0.0","0.0","0.0","3.02","60.48","600.92","300.46","597.89","540.44","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","1407.0","0.23","0.65","0.0","4.95","0.65","3.22","0.0","0.0","0.0","0.0","6.24","60.48","600.92","300.46","594.68","540.44","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","1407.0","0.23","0.7","0.0","4.01","0.7","2.81","0.0","0.0","0.0","0.0","9.05","60.48","600.92","300.46","591.87","540.44","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","1407.0","0.22","0.75","0.0","4.85","0.75","3.64","0.0","0.0","0.0","0.0","12.69","60.48","600.92","300.46","588.23","540.44","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","1407.0","0.22","0.8","0.0","4.86","0.8","3.89","0.0","0.0","0.0","0.0","16.57","60.48","600.92","300.46","584.34","540.44","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","1407.0","0.22","0.85","0.0","5.54","0.85","4.71","0.0","0.0","0.0","0.0","21.28","60.48","600.92","300.46","579.64","540.44","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","1407.0","0.21","0.9","0.0","5.5","0.9","4.95","0.0","0.0","0.0","0.0","26.23","60.48","600.92","300.46","574.69","540.44","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","1407.0","0.21","0.95","0.0","5.52","0.95","5.24","0.0","0.0","0.0","0.0","31.48","60.48","600.92","300.46","569.44","540.44","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","1407.0","0.2","1.0","0.0","5.56","1.0","5.56","0.0","0.0","0.0","0.0","37.04","60.48","600.92","300.46","563.88","540.44","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","1407.0","0.2","1.05","0.0","5.42","1.05","5.69","0.0","0.0","0.0","0.0","42.73","60.48","600.92","300.46","558.19","540.44","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","1407.0","0.2","1.05","0.0","6.13","1.05","6.44","0.0","0.0","0.0","0.0","49.16","60.48","600.92","300.46","551.75","540.44","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","1407.0","0.19","1.05","0.0","6.48","1.05","6.8","0.0","0.0","0.0","0.0","55.97","60.48","600.92","300.46","544.95","540.44","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","1407.0","0.19","1.05","0.0","5.44","1.05","5.71","0.0","0.0","0.0","0.0","0.0","60.48","600.92","300.46","600.92","540.44","61.68","","","","","","","","",""
"2015.0","6.0","1.0","152.0","1407.0","0.19","1.05","0.0","5.54","1.05","5.82","0.0","0.0","0.0","0.0","5.82","60.48","600.92","300.46","595.1","540.44","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","1407.0","0.19","1.05","0.0","5.77","1.05","6.06","0.0","0.0","0.0","0.0","11.88","60.48","600.92","300.46","589.04","540.44","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","1407.0","0.18","1.05","0.0","5.57","1.05","5.85","0.0","0.0","0.0","0.0","17.72","60.48","600.92","300.46","583.19","540.44","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","1407.0","0.18","1.05","0.0","5.83","1.05","6.12","0.0","0.0","0.0","0.0","23.85","60.48","600.92","300.46","577.07","540.44","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","1407.0","0.18","1.05","0.0","6.52","1.05","6.85","0.0","0.0","0.0","0.0","30.69","60.48","600.92","300.46","570.23","540.44","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","1407.0","0.17","1.05","0.0","6.39","1.05","6.71","0.0","0.0","0.0","0.0","37.4","150.23","600.92","300.46","563.52","450.69","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","1407.0","0.17","1.05","0.0","6.75","1.05","7.09","0.0","0.0","0.0","0.0","44.49","150.23","600.92","300.46","556.43","450.69","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","1407.0","0.17","1.05","0.0","7.39","1.05","7.76","0.0","0.0","0.0","0.0","52.25","150.23","600.92","300.46","548.67","450.69","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","1407.0","0.17","1.05","0.0","6.66","1.05","6.99","0.0","0.0","0.0","0.0","59.24","150.23","600.92","300.46","541.68","450.69","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","1407.0","0.17","1.05","0.0","3.04","1.05","3.19","0.1","0.1","0.0","0.0","62.33","150.23","600.92","300.46","538.59","450.69","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","1407.0","0.16","1.05","0.0","6.89","1.05","7.23","3.61","3.61","0.0","0.0","65.96","150.23","600.92","300.46","534.96","450.69","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","1407.0","0.16","1.05","0.0","7.67","1.05","8.05","0.0","0.0","0.0","0.0","74.01","150.23","600.92","300.46","526.91","450.69","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","1407.0","0.16","1.05","0.0","7.55","1.05","7.93","0.0","0.0","0.0","0.0","81.94","150.23","600.92","300.46","518.98","450.69","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","1407.0","0.16","1.05","0.0","6.8","1.05","7.14","0.0","0.0","0.0","0.0","89.08","150.23","600.92","300.46","511.84","450.69","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","1407.0","0.15","1.05","0.0","6.63","1.05","6.96","0.0","0.0","0.0","0.0","96.04","150.23","600.92","300.46","504.88","450.69","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","1407.0","0.15","1.05","0.0","6.95","1.05","7.3","0.0","0.0","0.0","0.0","103.34","150.23","600.92","300.46","497.58","450.69","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","1407.0","0.15","1.05","0.0","6.98","1.05","7.33","0.0","0.0","0.0","0.0","110.67","150.23","600.92","300.46","490.25","450.69","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","1407.0","0.15","1.05","0.0","7.54","1.05","7.92","0.0","0.0","0.0","0.0","118.58","150.23","600.92","300.46","482.33","450.69","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","1407.0","0.15","0.98","0.0","7.41","0.98","7.29","0.0","0.0","0.0","0.0","125.87","150.23","600.92","300.46","475.05","450.69","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","1407.0","0.15","0.92","0.0","6.95","0.92","6.37","0.0","0.0","0.0","0.0","132.24","150.23","600.92","300.46","468.68","450.69","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","1407.0","0.14","0.85","0.0","7.57","0.85","6.43","0.0","0.0","0.0","0.0","138.68","150.23","600.92","300.46","462.24","450.69","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","1407.0","0.14","0.78","0.0","7.07","0.78","5.54","0.0","0.0","0.0","0.0","144.21","150.23","600.92","300.46","456.7","450.69","0.0","","","","","","","","",""
"2015.0","6.0","23.0","174.0","1407.0","0.14","0.72","0.0","7.35","0.72","5.27","0.0","0.0","0.0","0.0","149.48","150.23","600.92","300.46","451.44","450.69","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","1407.0","0.14","0.65","0.0","7.29","0.65","4.74","0.0","0.0","0.0","0.0","0.0","150.23","600.92","300.46","600.92","450.69","154.22","","","","","","","","",""
