" Daily soil water balance output for Turf_farm in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Turf_farm in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"2015.0","2.0","11.0","42.0","1583.0","1.14","0.85","0.0","1.71","1.14","1.96","0.0","0.0","0.0","0.0","19.21","56.48","241.4","120.7","222.19","184.93","0.0","","","","","","",""
"2015.0","2.0","12.0","43.0","1583.0","1.0","0.85","0.0","2.0","1.0","2.0","0.0","0.0","0.0","0.0","21.21","56.48","241.4","120.7","220.19","184.93","0.0","","","","","","",""
"2015.0","2.0","13.0","44.0","1583.0","0.89","0.85","0.0","2.09","0.89","1.86","0.0","0.0","0.0","0.0","23.07","56.48","241.4","120.7","218.33","184.93","0.0","","","","","","",""
"2015.0","2.0","14.0","45.0","1583.0","0.8","0.85","0.0","2.2","0.85","1.87","0.0","0.0","0.0","0.0","24.94","56.48","241.4","120.7","216.46","184.93","0.0","","","","","","",""
"2015.0","2.0","15.0","46.0","1583.0","0.74","0.85","0.0","2.08","0.85","1.77","0.0","0.0","0.0","0.0","26.71","56.48","241.4","120.7","214.69","184.93","0.0","","","","","","",""
"2015.0","2.0","16.0","47.0","1583.0","0.69","0.85","0.0","2.09","0.85","1.78","0.0","0.0","0.0","0.0","28.48","56.48","241.4","120.7","212.92","184.93","0.0","","","","","","",""
"2015.0","2.0","17.0","48.0","1583.0","0.65","0.85","0.0","1.81","0.85","1.54","0.0","0.0","0.0","0.0","30.02","56.48","241.4","120.7","211.38","184.93","0.0","","","","","","",""
"2015.0","2.0","18.0","49.0","1583.0","0.63","0.85","0.0","1.72","0.85","1.46","0.0","0.0","0.0","0.0","31.48","56.48","241.4","120.7","209.92","184.93","0.0","","","","","","",""
"2015.0","2.0","19.0","50.0","1583.0","0.61","0.85","0.0","1.04","0.85","0.88","0.0","0.0","0.0","0.0","32.37","56.48","241.4","120.7","209.03","184.93","0.0","","","","","","",""
"2015.0","2.0","20.0","51.0","1583.0","0.59","0.85","0.0","1.75","0.85","1.49","0.0","0.0","0.0","0.0","33.86","56.48","241.4","120.7","207.55","184.93","0.0","","","","","","",""
"2015.0","2.0","21.0","52.0","1583.0","0.57","0.85","0.0","1.58","0.85","1.34","0.0","0.0","0.0","0.0","35.2","56.48","241.4","120.7","206.2","184.93","0.0","","","","","","",""
"2015.0","2.0","22.0","53.0","1583.0","0.53","0.85","0.0","2.95","0.85","2.51","0.0","0.0","0.0","0.0","37.71","56.48","241.4","120.7","203.7","184.93","0.0","","","","","","",""
"2015.0","2.0","23.0","54.0","1583.0","0.5","0.85","0.0","3.55","0.85","3.02","0.0","0.0","0.0","0.0","40.72","56.48","241.4","120.7","200.68","184.93","0.0","","","","","","",""
"2015.0","2.0","24.0","55.0","1583.0","0.48","0.85","0.0","2.71","0.85","2.3","0.0","0.0","0.0","0.0","43.03","56.48","241.4","120.7","198.37","184.93","0.0","","","","","","",""
"2015.0","2.0","25.0","56.0","1583.0","0.47","0.85","0.0","2.2","0.85","1.87","0.0","0.0","0.0","0.0","44.9","56.48","241.4","120.7","196.5","184.93","0.0","","","","","","",""
"2015.0","2.0","26.0","57.0","1583.0","0.45","0.85","0.0","2.91","0.85","2.47","0.0","0.0","0.0","0.0","47.37","56.48","241.4","120.7","194.03","184.93","0.0","","","","","","",""
"2015.0","2.0","27.0","58.0","1583.0","0.43","0.85","0.0","2.86","0.85","2.43","0.0","0.0","0.0","0.0","49.8","56.48","241.4","120.7","191.6","184.93","0.0","","","","","","",""
"2015.0","2.0","28.0","59.0","1583.0","0.42","0.85","0.0","2.01","0.85","1.71","0.0","0.0","0.0","0.0","51.51","56.48","241.4","120.7","189.89","184.93","0.0","","","","","","",""
"2015.0","3.0","1.0","60.0","1583.0","0.41","0.85","0.0","2.51","0.85","2.13","0.25","0.25","0.0","0.0","53.39","56.48","241.4","120.7","188.01","184.93","0.0","","","","","","",""
"2015.0","3.0","2.0","61.0","1583.0","0.4","0.85","0.0","2.21","0.85","1.88","0.0","0.0","0.0","0.0","55.27","56.48","241.4","120.7","186.13","184.93","0.0","","","","","","",""
"2015.0","3.0","3.0","62.0","1583.0","0.39","0.85","0.0","2.53","0.85","2.15","1.19","1.19","0.0","0.0","56.23","56.48","241.4","120.7","185.17","184.93","0.0","","","","","","",""
"2015.0","3.0","4.0","63.0","1583.0","0.38","0.85","0.0","2.61","0.85","2.22","0.0","0.0","0.0","0.0","0.0","56.48","241.4","120.7","241.4","184.93","58.45","","","","","","",""
"2015.0","3.0","5.0","64.0","1583.0","0.37","0.85","0.0","2.81","0.85","2.39","0.0","0.0","0.0","0.0","2.39","56.48","241.4","120.7","239.01","184.93","0.0","","","","","","",""
"2015.0","3.0","6.0","65.0","1583.0","0.36","0.85","0.0","2.99","0.85","2.54","0.0","0.0","0.0","0.0","4.93","56.48","241.4","120.7","236.47","184.93","0.0","","","","","","",""
"2015.0","3.0","7.0","66.0","1583.0","0.35","0.85","0.0","2.88","0.85","2.45","0.0","0.0","0.0","0.0","7.38","56.48","241.4","120.7","234.02","184.93","0.0","","","","","","",""
"2015.0","3.0","8.0","67.0","1583.0","0.34","0.85","0.0","2.97","0.85","2.52","0.0","0.0","0.0","0.0","9.9","56.48","241.4","120.7","231.5","184.93","0.0","","","","","","",""
"2015.0","3.0","9.0","68.0","1583.0","0.34","0.85","0.0","2.92","0.85","2.48","0.0","0.0","0.0","0.0","12.38","56.48","241.4","120.7","229.02","184.93","0.0","","","","","","",""
"2015.0","3.0","10.0","69.0","1583.0","0.33","0.85","0.0","2.53","0.85","2.15","0.0","0.0","0.0","0.0","14.54","56.48","241.4","120.7","226.87","184.93","0.0","","","","","","",""
"2015.0","3.0","11.0","70.0","1583.0","0.32","0.85","0.0","2.06","0.85","1.75","1.21","1.21","0.0","0.0","15.08","56.48","241.4","120.7","226.33","184.93","0.0","","","","","","",""
"2015.0","3.0","12.0","71.0","1583.0","1.09","0.85","0.0","3.36","1.09","3.65","3.33","3.33","0.0","0.0","15.39","56.48","241.4","120.7","226.01","184.93","0.0","","","","","","",""
"2015.0","3.0","13.0","72.0","1583.0","1.07","0.85","0.0","3.07","1.07","3.29","0.0","0.0","0.0","0.0","18.68","56.48","241.4","120.7","222.72","184.93","0.0","","","","","","",""
"2015.0","3.0","14.0","73.0","1583.0","0.86","0.85","0.0","3.44","0.86","2.97","0.0","0.0","0.0","0.0","21.65","56.48","241.4","120.7","219.75","184.93","0.0","","","","","","",""
"2015.0","3.0","15.0","74.0","1583.0","0.73","0.85","0.0","3.99","0.85","3.39","0.0","0.0","0.0","0.0","25.04","56.48","241.4","120.7","216.36","184.93","0.0","","","","","","",""
"2015.0","3.0","16.0","75.0","1583.0","0.66","0.85","0.0","2.83","0.85","2.41","0.0","0.0","0.0","0.0","27.45","56.48","241.4","120.7","213.95","184.93","0.0","","","","","","",""
"2015.0","3.0","17.0","76.0","1583.0","0.6","0.85","0.0","3.65","0.85","3.1","0.0","0.0","0.0","0.0","30.55","56.48","241.4","120.7","210.85","184.93","0.0","","","","","","",""
"2015.0","3.0","18.0","77.0","1583.0","0.55","0.85","0.0","3.82","0.85","3.25","0.0","0.0","0.0","0.0","33.8","56.48","241.4","120.7","207.6","184.93","0.0","","","","","","",""
"2015.0","3.0","19.0","78.0","1583.0","0.51","0.85","0.0","3.83","0.85","3.26","0.0","0.0","0.0","0.0","37.05","56.48","241.4","120.7","204.35","184.93","0.0","","","","","","",""
"2015.0","3.0","20.0","79.0","1583.0","0.48","0.85","0.0","3.23","0.85","2.75","0.0","0.0","0.0","0.0","39.8","56.48","241.4","120.7","201.6","184.93","0.0","","","","","","",""
"2015.0","3.0","21.0","80.0","1583.0","0.46","0.85","0.0","3.56","0.85","3.03","0.0","0.0","0.0","0.0","42.83","56.48","241.4","120.7","198.58","184.93","0.0","","","","","","",""
"2015.0","3.0","22.0","81.0","1583.0","0.44","0.85","0.0","3.17","0.85","2.69","0.0","0.0","0.0","0.0","45.52","56.48","241.4","120.7","195.88","184.93","0.0","","","","","","",""
"2015.0","3.0","23.0","82.0","1583.0","0.42","0.85","0.0","3.21","0.85","2.73","0.72","0.72","0.0","0.0","47.53","56.48","241.4","120.7","193.87","184.93","0.0","","","","","","",""
"2015.0","3.0","24.0","83.0","1583.0","0.41","0.85","0.0","3.34","0.85","2.84","0.0","0.0","0.0","0.0","50.37","56.48","241.4","120.7","191.03","184.93","0.0","","","","","","",""
"2015.0","3.0","25.0","84.0","1583.0","0.39","0.85","0.0","4.1","0.85","3.49","0.0","0.0","0.0","0.0","53.85","56.48","241.4","120.7","187.55","184.93","0.0","","","","","","",""
"2015.0","3.0","26.0","85.0","1583.0","0.37","0.85","0.0","3.96","0.85","3.37","0.0","0.0","0.0","0.0","0.0","56.48","241.4","120.7","241.4","184.93","57.22","","","","","","",""
"2015.0","3.0","27.0","86.0","1583.0","0.36","0.85","0.0","4.5","0.85","3.83","0.0","0.0","0.0","0.0","3.83","56.48","241.4","120.7","237.58","184.93","0.0","","","","","","",""
"2015.0","3.0","28.0","87.0","1583.0","0.34","0.85","0.0","4.95","0.85","4.21","0.0","0.0","0.0","0.0","8.03","56.48","241.4","120.7","233.37","184.93","0.0","","","","","","",""
"2015.0","3.0","29.0","88.0","1583.0","0.33","0.85","0.0","4.75","0.85","4.04","0.0","0.0","0.0","0.0","12.07","56.48","241.4","120.7","229.33","184.93","0.0","","","","","","",""
"2015.0","3.0","30.0","89.0","1583.0","0.32","0.85","0.0","4.57","0.85","3.88","0.0","0.0","0.0","0.0","15.95","56.48","241.4","120.7","225.45","184.93","0.0","","","","","","",""
"2015.0","3.0","31.0","90.0","1583.0","0.31","0.85","0.0","4.69","0.85","3.99","0.0","0.0","0.0","0.0","19.94","56.48","241.4","120.7","221.46","184.93","0.0","","","","","","",""
"2015.0","4.0","1.0","91.0","1583.0","0.3","0.85","0.0","4.21","0.85","3.58","0.0","0.0","0.0","0.0","23.52","56.48","241.4","120.7","217.88","184.93","0.0","","","","","","",""
"2015.0","4.0","2.0","92.0","1583.0","0.29","0.85","0.0","5.44","0.85","4.62","0.0","0.0","0.0","0.0","28.14","56.48","241.4","120.7","213.26","184.93","0.0","","","","","","",""
"2015.0","4.0","3.0","93.0","1583.0","0.28","0.85","0.0","4.68","0.85","3.98","0.0","0.0","0.0","0.0","32.12","56.48","241.4","120.7","209.28","184.93","0.0","","","","","","",""
"2015.0","4.0","4.0","94.0","1583.0","0.28","0.85","0.0","4.56","0.85","3.88","0.0","0.0","0.0","0.0","36.0","56.48","241.4","120.7","205.4","184.93","0.0","","","","","","",""
"2015.0","4.0","5.0","95.0","1583.0","0.27","0.85","0.0","2.58","0.85","2.19","0.04","0.04","0.0","0.0","38.15","56.48","241.4","120.7","203.25","184.93","0.0","","","","","","",""
"2015.0","4.0","6.0","96.0","1583.0","0.27","0.85","0.0","3.08","0.85","2.62","2.02","2.02","0.0","0.0","38.75","56.48","241.4","120.7","202.65","184.93","0.0","","","","","","",""
"2015.0","4.0","7.0","97.0","1583.0","1.11","0.85","0.0","2.76","1.11","3.06","4.27","4.27","0.0","0.0","37.54","56.48","241.4","120.7","203.86","184.93","0.0","","","","","","",""
"2015.0","4.0","8.0","98.0","1583.0","1.1","0.85","0.0","3.05","1.1","3.35","11.21","11.21","0.0","0.0","29.68","56.48","241.4","120.7","211.72","184.93","0.0","","","","","","",""
"2015.0","4.0","9.0","99.0","1583.0","1.06","0.85","0.0","3.51","1.06","3.72","0.0","0.0","0.0","0.0","33.4","56.48","241.4","120.7","208.0","184.93","0.0","","","","","","",""
"2015.0","4.0","10.0","100.0","1583.0","0.82","0.85","0.0","4.17","0.85","3.54","0.0","0.0","0.0","0.0","36.94","56.48","241.4","120.7","204.46","184.93","0.0","","","","","","",""
"2015.0","4.0","11.0","101.0","1583.0","0.69","0.85","0.0","4.35","0.85","3.7","0.0","0.0","0.0","0.0","40.64","56.48","241.4","120.7","200.76","184.93","0.0","","","","","","",""
"2015.0","4.0","12.0","102.0","1583.0","0.6","0.85","0.0","4.89","0.85","4.16","0.0","0.0","0.0","0.0","44.8","56.48","241.4","120.7","196.61","184.93","0.0","","","","","","",""
"2015.0","4.0","13.0","103.0","1583.0","0.53","0.85","0.0","5.01","0.85","4.26","0.0","0.0","0.0","0.0","49.05","56.48","241.4","120.7","192.35","184.93","0.0","","","","","","",""
"2015.0","4.0","14.0","104.0","1583.0","0.49","0.85","0.0","4.99","0.85","4.24","0.0","0.0","0.0","0.0","53.3","56.48","241.4","120.7","188.11","184.93","0.0","","","","","","",""
"2015.0","4.0","15.0","105.0","1583.0","0.44","0.85","0.0","6.25","0.85","5.31","0.0","0.0","0.0","0.0","0.0","56.48","241.4","120.7","241.4","184.93","58.61","","","","","","",""
"2015.0","4.0","16.0","106.0","1583.0","0.41","0.85","0.0","5.67","0.85","4.82","0.0","0.0","0.0","0.0","4.82","56.48","241.4","120.7","236.58","184.93","0.0","","","","","","",""
"2015.0","4.0","17.0","107.0","1583.0","0.38","0.85","0.0","5.38","0.85","4.57","0.0","0.0","0.0","0.0","9.39","56.48","241.4","120.7","232.01","184.93","0.0","","","","","","",""
"2015.0","4.0","18.0","108.0","1583.0","0.37","0.85","0.0","4.98","0.85","4.23","0.0","0.0","0.0","0.0","13.63","56.48","241.4","120.7","227.78","184.93","0.0","","","","","","",""
"2015.0","4.0","19.0","109.0","1583.0","0.35","0.85","0.0","5.17","0.85","4.39","0.0","0.0","0.0","0.0","18.02","56.48","241.4","120.7","223.38","184.93","0.0","","","","","","",""
"2015.0","4.0","20.0","110.0","1583.0","0.33","0.85","0.0","4.8","0.85","4.08","0.0","0.0","0.0","0.0","22.1","56.48","241.4","120.7","219.3","184.93","0.0","","","","","","",""
"2015.0","4.0","21.0","111.0","1583.0","0.32","0.85","0.0","3.84","0.85","3.26","0.0","0.0","0.0","0.0","25.36","56.48","241.4","120.7","216.04","184.93","0.0","","","","","","",""
"2015.0","4.0","22.0","112.0","1583.0","0.32","0.85","0.0","4.05","0.85","3.44","0.0","0.0","0.0","0.0","28.81","56.48","241.4","120.7","212.6","184.93","0.0","","","","","","",""
"2015.0","4.0","23.0","113.0","1583.0","0.31","0.85","0.0","4.79","0.85","4.07","0.0","0.0","0.0","0.0","32.88","56.48","241.4","120.7","208.52","184.93","0.0","","","","","","",""
"2015.0","4.0","24.0","114.0","1583.0","0.3","0.85","0.0","5.07","0.85","4.31","0.0","0.0","0.0","0.0","37.19","56.48","241.4","120.7","204.21","184.93","0.0","","","","","","",""
"2015.0","4.0","25.0","115.0","1583.0","1.06","0.85","0.0","4.03","1.06","4.27","10.88","10.88","0.0","0.0","30.57","56.48","241.4","120.7","210.83","184.93","0.0","","","","","","",""
"2015.0","4.0","26.0","116.0","1583.0","0.87","0.85","0.0","5.17","0.87","4.51","0.0","0.0","0.0","0.0","35.09","56.48","241.4","120.7","206.32","184.93","0.0","","","","","","",""
"2015.0","4.0","27.0","117.0","1583.0","0.68","0.85","0.0","5.81","0.85","4.94","0.0","0.0","0.0","0.0","40.02","56.48","241.4","120.7","201.38","184.93","0.0","","","","","","",""
"2015.0","4.0","28.0","118.0","1583.0","0.58","0.85","0.0","5.63","0.85","4.79","0.0","0.0","0.0","0.0","44.81","56.48","241.4","120.7","196.59","184.93","0.0","","","","","","",""
"2015.0","4.0","29.0","119.0","1583.0","0.51","0.85","0.0","5.42","0.85","4.61","0.0","0.0","0.0","0.0","49.42","56.48","241.4","120.7","191.99","184.93","0.0","","","","","","",""
"2015.0","4.0","30.0","120.0","1583.0","0.46","0.85","0.0","6.46","0.85","5.49","0.0","0.0","0.0","0.0","54.91","56.48","241.4","120.7","186.49","184.93","0.0","","","","","","",""
"2015.0","5.0","1.0","121.0","1583.0","0.42","0.85","0.0","6.5","0.85","5.53","0.0","0.0","0.0","0.0","0.0","56.48","241.4","120.7","241.4","184.93","60.43","","","","","","",""
"2015.0","5.0","2.0","122.0","1583.0","0.39","0.85","0.0","5.93","0.85","5.04","0.0","0.0","0.0","0.0","5.04","56.48","241.4","120.7","236.36","184.93","0.0","","","","","","",""
"2015.0","5.0","3.0","123.0","1583.0","0.37","0.85","0.0","5.27","0.85","4.48","0.0","0.0","0.0","0.0","9.52","56.48","241.4","120.7","231.88","184.93","0.0","","","","","","",""
"2015.0","5.0","4.0","124.0","1583.0","0.35","0.85","0.0","4.89","0.85","4.16","0.0","0.0","0.0","0.0","13.68","56.48","241.4","120.7","227.73","184.93","0.0","","","","","","",""
"2015.0","5.0","5.0","125.0","1583.0","0.34","0.85","0.0","4.9","0.85","4.17","0.0","0.0","0.0","0.0","17.84","56.48","241.4","120.7","223.56","184.93","0.0","","","","","","",""
"2015.0","5.0","6.0","126.0","1583.0","0.32","0.85","0.0","5.04","0.85","4.28","0.0","0.0","0.0","0.0","22.13","56.48","241.4","120.7","219.28","184.93","0.0","","","","","","",""
"2015.0","5.0","7.0","127.0","1583.0","0.32","0.85","0.0","3.23","0.85","2.75","0.0","0.0","0.0","0.0","24.87","56.48","241.4","120.7","216.53","184.93","0.0","","","","","","",""
"2015.0","5.0","8.0","128.0","1583.0","0.31","0.85","0.0","4.37","0.85","3.71","1.13","1.13","0.0","0.0","27.46","56.48","241.4","120.7","213.95","184.93","0.0","","","","","","",""
"2015.0","5.0","9.0","129.0","1583.0","0.3","0.85","0.0","4.89","0.85","4.16","0.0","0.0","0.0","0.0","31.61","56.48","241.4","120.7","209.79","184.93","0.0","","","","","","",""
"2015.0","5.0","10.0","130.0","1583.0","0.29","0.85","0.0","5.25","0.85","4.46","0.0","0.0","0.0","0.0","36.07","56.48","241.4","120.7","205.33","184.93","0.0","","","","","","",""
"2015.0","5.0","11.0","131.0","1583.0","0.28","0.85","0.0","5.24","0.85","4.45","0.0","0.0","0.0","0.0","40.53","56.48","241.4","120.7","200.87","184.93","0.0","","","","","","",""
"2015.0","5.0","12.0","132.0","1583.0","0.27","0.85","0.0","5.05","0.85","4.29","0.0","0.0","0.0","0.0","44.82","56.48","241.4","120.7","196.58","184.93","0.0","","","","","","",""
"2015.0","5.0","13.0","133.0","1583.0","0.26","0.85","0.0","4.75","0.85","4.04","0.0","0.0","0.0","0.0","48.86","56.48","241.4","120.7","192.54","184.93","0.0","","","","","","",""
"2015.0","5.0","14.0","134.0","1583.0","0.26","0.85","0.0","3.29","0.85","2.8","0.0","0.0","0.0","0.0","51.66","56.48","241.4","120.7","189.75","184.93","0.0","","","","","","",""
"2015.0","5.0","15.0","135.0","1583.0","0.26","0.85","0.0","4.65","0.85","3.95","1.77","1.77","0.0","0.0","53.84","56.48","241.4","120.7","187.56","184.93","0.0","","","","","","",""
"2015.0","5.0","16.0","136.0","1583.0","0.25","0.85","0.0","4.81","0.85","4.09","0.0","0.0","0.0","0.0","0.0","56.48","241.4","120.7","241.4","184.93","57.93","","","","","","",""
"2015.0","5.0","17.0","137.0","1583.0","0.25","0.85","0.0","3.92","0.85","3.33","0.0","0.0","0.0","0.0","3.33","56.48","241.4","120.7","238.07","184.93","0.0","","","","","","",""
"2015.0","5.0","18.0","138.0","1583.0","0.24","0.85","0.0","4.84","0.85","4.11","0.0","0.0","0.0","0.0","7.45","56.48","241.4","120.7","233.96","184.93","0.0","","","","","","",""
"2015.0","5.0","19.0","139.0","1583.0","0.24","0.85","0.0","5.04","0.85","4.28","0.0","0.0","0.0","0.0","11.73","56.48","241.4","120.7","229.67","184.93","0.0","","","","","","",""
"2015.0","5.0","20.0","140.0","1583.0","0.23","0.85","0.0","4.95","0.85","4.21","0.0","0.0","0.0","0.0","15.94","56.48","241.4","120.7","225.46","184.93","0.0","","","","","","",""
"2015.0","5.0","21.0","141.0","1583.0","0.23","0.85","0.0","4.01","0.85","3.41","0.0","0.0","0.0","0.0","19.35","56.48","241.4","120.7","222.06","184.93","0.0","","","","","","",""
"2015.0","5.0","22.0","142.0","1583.0","0.22","0.85","0.0","4.85","0.85","4.12","0.0","0.0","0.0","0.0","23.47","56.48","241.4","120.7","217.93","184.93","0.0","","","","","","",""
"2015.0","5.0","23.0","143.0","1583.0","0.22","0.85","0.0","4.86","0.85","4.13","0.0","0.0","0.0","0.0","27.6","56.48","241.4","120.7","213.8","184.93","0.0","","","","","","",""
"2015.0","5.0","24.0","144.0","1583.0","0.22","0.85","0.0","5.54","0.85","4.71","0.0","0.0","0.0","0.0","32.31","56.48","241.4","120.7","209.09","184.93","0.0","","","","","","",""
"2015.0","5.0","25.0","145.0","1583.0","0.21","0.85","0.0","5.5","0.85","4.68","0.0","0.0","0.0","0.0","36.98","56.48","241.4","120.7","204.42","184.93","0.0","","","","","","",""
"2015.0","5.0","26.0","146.0","1583.0","0.21","0.85","0.0","5.52","0.85","4.69","0.0","0.0","0.0","0.0","41.68","56.48","241.4","120.7","199.73","184.93","0.0","","","","","","",""
"2015.0","5.0","27.0","147.0","1583.0","0.2","0.85","0.0","5.56","0.85","4.73","0.0","0.0","0.0","0.0","46.4","56.48","241.4","120.7","195.0","184.93","0.0","","","","","","",""
"2015.0","5.0","28.0","148.0","1583.0","0.2","0.85","0.0","5.42","0.85","4.61","0.0","0.0","0.0","0.0","51.01","56.48","241.4","120.7","190.39","184.93","0.0","","","","","","",""
"2015.0","5.0","29.0","149.0","1583.0","0.2","0.85","0.0","6.13","0.85","5.21","0.0","0.0","0.0","0.0","56.22","56.48","241.4","120.7","185.18","184.93","0.0","","","","","","",""
"2015.0","5.0","30.0","150.0","1583.0","0.19","0.85","0.0","6.48","0.85","5.51","0.0","0.0","0.0","0.0","0.0","56.48","241.4","120.7","241.4","184.93","61.73","","","","","","",""
"2015.0","5.0","31.0","151.0","1583.0","0.19","0.85","0.0","5.44","0.85","4.62","0.0","0.0","0.0","0.0","4.62","56.48","241.4","120.7","236.78","184.93","0.0","","","","","","",""
"2015.0","6.0","1.0","152.0","1583.0","0.19","0.85","0.0","5.54","0.85","4.71","0.0","0.0","0.0","0.0","9.33","56.48","241.4","120.7","232.07","184.93","0.0","","","","","","",""
"2015.0","6.0","2.0","153.0","1583.0","0.19","0.85","0.0","5.77","0.85","4.9","0.0","0.0","0.0","0.0","14.24","56.48","241.4","120.7","227.16","184.93","0.0","","","","","","",""
"2015.0","6.0","3.0","154.0","1583.0","0.18","0.85","0.0","5.57","0.85","4.73","0.0","0.0","0.0","0.0","18.97","56.48","241.4","120.7","222.43","184.93","0.0","","","","","","",""
"2015.0","6.0","4.0","155.0","1583.0","0.18","0.85","0.0","5.83","0.85","4.96","0.0","0.0","0.0","0.0","23.93","56.48","241.4","120.7","217.47","184.93","0.0","","","","","","",""
"2015.0","6.0","5.0","156.0","1583.0","0.18","0.85","0.0","6.52","0.85","5.54","0.0","0.0","0.0","0.0","29.47","56.48","241.4","120.7","211.93","184.93","0.0","","","","","","",""
"2015.0","6.0","6.0","157.0","1583.0","0.17","0.85","0.0","6.39","0.85","5.43","0.0","0.0","0.0","0.0","34.9","56.48","241.4","120.7","206.5","184.93","0.0","","","","","","",""
"2015.0","6.0","7.0","158.0","1583.0","0.17","0.85","0.0","6.75","0.85","5.74","0.0","0.0","0.0","0.0","40.64","56.48","241.4","120.7","200.76","184.93","0.0","","","","","","",""
"2015.0","6.0","8.0","159.0","1583.0","0.17","0.85","0.0","7.39","0.85","6.28","0.0","0.0","0.0","0.0","46.92","56.48","241.4","120.7","194.48","184.93","0.0","","","","","","",""
"2015.0","6.0","9.0","160.0","1583.0","0.17","0.85","0.0","6.66","0.85","5.66","0.0","0.0","0.0","0.0","52.58","56.48","241.4","120.7","188.82","184.93","0.0","","","","","","",""
"2015.0","6.0","10.0","161.0","1583.0","0.17","0.85","0.0","3.04","0.85","2.58","0.1","0.1","0.0","0.0","55.07","56.48","241.4","120.7","186.34","184.93","0.0","","","","","","",""
"2015.0","6.0","11.0","162.0","1583.0","0.16","0.85","0.0","6.89","0.85","5.86","3.61","3.61","0.0","0.0","0.0","56.48","241.4","120.7","241.4","184.93","57.31","","","","","","",""
"2015.0","6.0","12.0","163.0","1583.0","0.16","0.85","0.0","7.67","0.85","6.52","0.0","0.0","0.0","0.0","6.52","56.48","241.4","120.7","234.88","184.93","0.0","","","","","","",""
"2015.0","6.0","13.0","164.0","1583.0","0.16","0.85","0.0","7.55","0.85","6.42","0.0","0.0","0.0","0.0","12.94","56.48","241.4","120.7","228.46","184.93","0.0","","","","","","",""
"2015.0","6.0","14.0","165.0","1583.0","0.16","0.85","0.0","6.8","0.85","5.78","0.0","0.0","0.0","0.0","18.72","56.48","241.4","120.7","222.68","184.93","0.0","","","","","","",""
"2015.0","6.0","15.0","166.0","1583.0","0.15","0.85","0.0","6.63","0.85","5.64","0.0","0.0","0.0","0.0","24.35","56.48","241.4","120.7","217.05","184.93","0.0","","","","","","",""
"2015.0","6.0","16.0","167.0","1583.0","0.15","0.85","0.0","6.95","0.85","5.91","0.0","0.0","0.0","0.0","30.26","56.48","241.4","120.7","211.14","184.93","0.0","","","","","","",""
"2015.0","6.0","17.0","168.0","1583.0","0.15","0.85","0.0","6.98","0.85","5.93","0.0","0.0","0.0","0.0","36.19","56.48","241.4","120.7","205.21","184.93","0.0","","","","","","",""
"2015.0","6.0","18.0","169.0","1583.0","0.15","0.85","0.0","7.54","0.85","6.41","0.0","0.0","0.0","0.0","42.6","56.48","241.4","120.7","198.8","184.93","0.0","","","","","","",""
"2015.0","6.0","19.0","170.0","1583.0","0.15","0.85","0.0","7.41","0.85","6.3","0.0","0.0","0.0","0.0","48.9","56.48","241.4","120.7","192.5","184.93","0.0","","","","","","",""
"2015.0","6.0","20.0","171.0","1583.0","0.15","0.85","0.0","6.95","0.85","5.91","0.0","0.0","0.0","0.0","54.81","56.48","241.4","120.7","186.59","184.93","0.0","","","","","","",""
"2015.0","6.0","21.0","172.0","1583.0","0.14","0.85","0.0","7.57","0.85","6.43","0.0","0.0","0.0","0.0","0.0","56.48","241.4","120.7","241.4","184.93","61.24","","","","","","",""
"2015.0","6.0","22.0","173.0","1583.0","0.14","0.85","0.0","7.07","0.85","6.01","0.0","0.0","0.0","0.0","6.01","56.48","241.4","120.7","235.39","184.93","0.0","","","","","","",""
"2015.0","6.0","23.0","174.0","1583.0","0.14","0.85","0.0","7.35","0.85","6.25","0.0","0.0","0.0","0.0","12.26","56.48","241.4","120.7","229.14","184.93","0.0","","","","","","",""
"2015.0","6.0","24.0","175.0","1583.0","0.14","0.85","0.0","7.29","0.85","6.2","0.0","0.0","0.0","0.0","18.45","56.48","241.4","120.7","222.95","184.93","0.0","","","","","","",""
"2015.0","6.0","25.0","176.0","1583.0","0.14","0.85","0.0","7.98","0.85","6.78","0.0","0.0","0.0","0.0","25.24","56.48","241.4","120.7","216.17","184.93","0.0","","","","","","",""
"2015.0","6.0","26.0","177.0","1583.0","0.14","0.85","0.0","8.25","0.85","7.01","0.0","0.0","0.0","0.0","32.25","56.48","241.4","120.7","209.15","184.93","0.0","","","","","","",""
"2015.0","6.0","27.0","178.0","1583.0","0.13","0.85","0.0","6.76","0.85","5.75","0.0","0.0","0.0","0.0","38.0","56.48","241.4","120.7","203.41","184.93","0.0","","","","","","",""
"2015.0","6.0","28.0","179.0","1583.0","0.13","0.85","0.0","7.21","0.85","6.13","0.0","0.0","0.0","0.0","44.12","56.48","241.4","120.7","197.28","184.93","0.0","","","","","","",""
"2015.0","6.0","29.0","180.0","1583.0","0.13","0.85","0.0","7.58","0.85","6.44","0.0","0.0","0.0","0.0","50.57","56.48","241.4","120.7","190.84","184.93","0.0","","","","","","",""
"2015.0","6.0","30.0","181.0","1583.0","0.13","0.85","0.0","7.7","0.85","6.55","0.0","0.0","0.0","0.0","0.0","56.48","241.4","120.7","241.4","184.93","57.11","","","","","","",""
