" Daily soil water balance output for Other Deciduous in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Other Deciduous in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"2015.0","2.0","7.0","38.0","5767.0","1.16","0.0","0.0","1.48","1.16","1.72","13.13","13.13","0.0","0.0","12.89","24.3","345.64","172.82","332.76","321.34","0.0","","","","","","","","",""
"2015.0","2.0","8.0","39.0","5767.0","1.16","0.0","0.0","1.56","1.16","1.81","12.26","12.26","0.0","0.0","2.43","24.3","345.64","172.82","343.21","321.34","0.0","","","","","","","","",""
"2015.0","2.0","9.0","40.0","5767.0","1.14","0.0","0.0","2.12","1.14","2.41","13.42","4.84","0.0","0.0","0.0","24.3","345.64","172.82","345.64","321.34","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","5767.0","1.14","0.0","0.0","1.87","1.14","2.13","0.0","0.0","0.0","0.0","2.13","24.3","345.64","172.82","343.51","321.34","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","5767.0","1.14","0.0","0.0","1.71","1.14","1.96","0.0","0.0","0.0","0.0","4.09","24.3","345.64","172.82","341.55","321.34","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","5767.0","1.0","0.0","0.0","2.0","1.0","2.0","0.0","0.0","0.0","0.0","6.09","24.3","345.64","172.82","339.55","321.34","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","5767.0","0.89","0.0","0.0","2.09","0.89","1.86","0.0","0.0","0.0","0.0","7.95","24.3","345.64","172.82","337.7","321.34","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","5767.0","0.8","0.0","0.0","2.2","0.8","1.76","0.0","0.0","0.0","0.0","9.71","24.3","345.64","172.82","335.93","321.34","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","5767.0","0.74","0.0","0.0","2.08","0.74","1.54","0.0","0.0","0.0","0.0","11.25","24.3","345.64","172.82","334.39","321.34","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","5767.0","0.69","0.0","0.0","2.09","0.69","1.44","0.0","0.0","0.0","0.0","12.69","24.3","345.64","172.82","332.95","321.34","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","5767.0","0.65","0.0","0.0","1.81","0.65","1.19","0.0","0.0","0.0","0.0","13.88","24.3","345.64","172.82","331.76","321.34","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","5767.0","0.63","0.0","0.0","1.72","0.63","1.08","0.0","0.0","0.0","0.0","14.96","24.3","345.64","172.82","330.69","321.34","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","5767.0","0.61","0.0","0.0","1.04","0.61","0.64","0.0","0.0","0.0","0.0","15.59","24.3","345.64","172.82","330.05","321.34","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","5767.0","0.59","0.0","0.0","1.75","0.59","1.03","0.0","0.0","0.0","0.0","16.62","24.3","345.64","172.82","329.03","321.34","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","5767.0","0.57","0.0","0.0","1.58","0.57","0.9","0.0","0.0","0.0","0.0","17.51","24.3","345.64","172.82","328.13","321.34","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","5767.0","0.53","0.0","0.0","2.95","0.53","1.58","0.0","0.0","0.0","0.0","19.09","24.3","345.64","172.82","326.55","321.34","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","5767.0","0.5","0.0","0.0","3.55","0.5","1.78","0.0","0.0","0.0","0.0","20.87","24.3","345.64","172.82","324.77","321.34","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","5767.0","0.48","0.0","0.0","2.71","0.48","1.3","0.0","0.0","0.0","0.0","22.18","24.3","345.64","172.82","323.47","321.34","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","5767.0","0.47","0.0","0.0","2.2","0.47","1.02","0.0","0.0","0.0","0.0","23.2","24.3","345.64","172.82","322.44","321.34","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","5767.0","0.45","0.0","0.0","2.91","0.45","1.3","0.0","0.0","0.0","0.0","24.5","24.3","345.64","172.82","321.14","321.34","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","5767.0","0.43","0.0","0.0","2.86","0.43","1.23","0.0","0.0","0.0","0.0","24.3","24.3","345.64","172.82","321.34","321.34","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","5767.0","0.42","0.0","0.0","2.01","0.42","0.85","0.0","0.0","0.0","0.0","25.15","24.3","345.64","172.82","320.5","321.34","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","5767.0","0.41","0.0","0.0","2.51","0.41","1.03","0.25","0.25","0.0","0.0","24.3","24.3","345.64","172.82","321.34","321.34","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","5767.0","0.4","0.0","0.0","2.21","0.4","0.88","0.0","0.0","0.0","0.0","25.18","24.3","345.64","172.82","320.46","321.34","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","5767.0","0.39","0.0","0.0","2.53","0.39","0.98","1.19","1.19","0.0","0.0","23.99","24.3","345.64","172.82","321.65","321.34","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","5767.0","0.38","0.0","0.0","2.61","0.38","0.99","0.0","0.0","0.0","0.0","24.98","24.3","345.64","172.82","320.66","321.34","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","5767.0","0.37","0.0","0.0","2.81","0.37","1.04","0.0","0.0","0.0","0.0","24.3","24.3","345.64","172.82","321.34","321.34","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","5767.0","0.36","0.0","0.0","2.99","0.36","1.08","0.0","0.0","0.0","0.0","25.38","24.3","345.64","172.82","320.27","321.34","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","5767.0","0.35","0.0","0.0","2.88","0.35","1.01","0.0","0.0","0.0","0.0","24.3","24.3","345.64","172.82","321.34","321.34","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","5767.0","0.34","0.0","0.0","2.97","0.34","1.02","0.0","0.0","0.0","0.0","25.32","24.3","345.64","172.82","320.32","321.34","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","5767.0","0.34","0.0","0.0","2.92","0.34","0.98","0.0","0.0","0.0","0.0","24.3","24.3","345.64","172.82","321.34","321.34","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","5767.0","0.33","0.0","0.0","2.53","0.33","0.83","0.0","0.0","0.0","0.0","25.13","24.3","345.64","172.82","320.51","321.34","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","5767.0","0.32","0.0","0.0","2.06","0.32","0.67","1.21","1.21","0.0","0.0","23.92","24.3","345.64","172.82","321.72","321.34","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","5767.0","1.09","0.0","0.0","3.36","1.09","3.65","3.33","3.33","0.0","0.0","24.24","24.3","345.64","172.82","321.4","321.34","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","5767.0","1.07","0.0","0.0","3.07","1.07","3.29","0.0","0.0","0.0","0.0","27.53","24.3","345.64","172.82","318.11","321.34","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","5767.0","0.86","0.0","0.0","3.44","0.86","2.97","0.0","0.0","0.0","0.0","24.3","24.3","345.64","172.82","321.34","321.34","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","5767.0","0.73","0.0","0.0","3.99","0.73","2.9","0.0","0.0","0.0","0.0","27.2","24.3","345.64","172.82","318.45","321.34","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","5767.0","0.66","0.0","0.0","2.83","0.66","1.88","0.0","0.0","0.0","0.0","24.3","24.3","345.64","172.82","321.34","321.34","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","5767.0","0.6","0.0","0.0","3.65","0.6","2.19","0.0","0.0","0.0","0.0","26.49","24.3","345.64","172.82","319.15","321.34","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","5767.0","0.55","0.0","0.0","3.82","0.55","2.1","0.0","0.0","0.0","0.0","24.3","24.3","345.64","172.82","321.34","321.34","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","5767.0","0.51","0.0","0.0","3.83","0.51","1.96","0.0","0.0","0.0","0.0","26.26","24.3","345.64","172.82","319.39","321.34","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","5767.0","0.48","0.0","0.0","3.23","0.48","1.56","0.0","0.0","0.0","0.0","24.3","24.3","345.64","172.82","321.34","321.34","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","5767.0","0.46","0.0","0.0","3.56","0.46","1.63","0.0","0.0","0.0","0.0","25.93","24.3","345.64","172.82","319.71","321.34","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","5767.0","0.44","0.0","0.0","3.17","0.44","1.39","0.0","0.0","0.0","0.0","24.3","24.3","345.64","172.82","321.34","321.34","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","5767.0","0.42","0.0","0.0","3.21","0.42","1.35","0.72","0.72","0.0","0.0","24.93","24.3","345.64","172.82","320.71","321.34","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","5767.0","0.41","0.0","0.0","3.34","0.41","1.35","0.0","0.0","0.0","0.0","24.3","24.3","345.64","172.82","321.34","321.34","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","5767.0","0.39","0.0","0.0","4.1","0.39","1.59","0.0","0.0","0.0","0.0","25.89","24.3","345.64","172.82","319.75","321.34","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","5767.0","0.37","0.0","0.0","3.96","0.37","1.48","0.0","0.0","0.0","0.0","24.3","24.3","345.64","172.82","321.34","321.34","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","5767.0","0.36","0.0","0.0","4.5","0.36","1.61","0.0","0.0","0.0","0.0","25.91","24.3","345.64","172.82","319.74","321.34","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","5767.0","0.34","0.0","0.0","4.95","0.34","1.69","0.0","0.0","0.0","0.0","24.3","24.3","345.64","172.82","321.34","321.34","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","5767.0","0.33","0.0","0.0","4.75","0.33","1.56","0.0","0.0","0.0","0.0","25.86","24.3","345.64","172.82","319.78","321.34","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","5767.0","0.32","0.0","0.0","4.57","0.32","1.46","0.0","0.0","0.0","0.0","24.3","24.3","345.64","172.82","321.34","321.34","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","5767.0","0.31","0.0","0.0","4.69","0.31","1.45","0.0","0.0","0.0","0.0","25.75","24.3","345.64","172.82","319.9","321.34","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","5767.0","0.3","0.0","0.0","4.21","0.3","1.26","0.0","0.0","0.0","0.0","24.3","24.3","345.64","172.82","321.34","321.34","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","5767.0","0.29","0.0","0.0","5.44","0.29","1.58","0.0","0.0","0.0","0.0","25.88","24.3","345.64","172.82","319.77","321.34","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","5767.0","0.28","0.0","0.0","4.68","0.28","1.32","0.0","0.0","0.0","0.0","24.3","24.3","345.64","172.82","321.34","321.34","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","5767.0","0.28","0.0","0.0","4.56","0.28","1.25","0.0","0.0","0.0","0.0","25.55","24.3","345.64","172.82","320.09","321.34","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","5767.0","0.27","0.0","0.0","2.58","0.27","0.7","0.04","0.04","0.0","0.0","24.3","24.3","345.64","172.82","321.34","321.34","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","5767.0","0.27","0.0","0.0","3.08","0.27","0.82","2.02","2.02","0.0","0.0","23.1","24.3","345.64","172.82","322.54","321.34","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","5767.0","1.11","0.0","0.0","2.76","1.11","3.06","4.27","4.27","0.0","0.0","21.9","24.3","345.64","172.82","323.75","321.34","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","5767.0","1.1","0.0","0.0","3.05","1.1","3.35","11.21","11.21","0.0","0.0","14.04","24.3","345.64","172.82","331.61","321.34","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","5767.0","1.06","0.0","0.0","3.51","1.06","3.72","0.0","0.0","0.0","0.0","17.75","24.3","345.64","172.82","327.89","321.34","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","5767.0","0.82","0.0","0.0","4.17","0.82","3.43","0.0","0.0","0.0","0.0","21.19","24.3","345.64","172.82","324.45","321.34","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","5767.0","0.69","0.0","0.0","4.35","0.69","3.01","0.0","0.0","0.0","0.0","24.2","24.3","345.64","172.82","321.44","321.34","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","5767.0","0.6","0.0","0.0","4.89","0.6","2.93","0.0","0.0","0.0","0.0","27.13","24.3","345.64","172.82","318.51","321.34","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","5767.0","0.53","0.0","0.0","5.01","0.53","2.68","0.0","0.0","0.0","0.0","24.3","24.3","345.64","172.82","321.34","321.34","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","5767.0","0.49","0.0","0.0","4.99","0.49","2.43","0.0","0.0","0.0","0.0","26.73","24.3","345.64","172.82","318.92","321.34","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","5767.0","0.44","0.55","0.0","6.25","0.55","3.44","0.0","0.0","0.0","0.0","30.16","74.67","345.64","172.82","315.48","270.97","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","5767.0","0.41","0.56","0.0","5.67","0.56","3.16","0.0","0.0","0.0","0.0","33.33","74.67","345.64","172.82","312.32","270.97","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","5767.0","0.38","0.57","0.0","5.38","0.57","3.04","0.0","0.0","0.0","0.0","36.37","74.67","345.64","172.82","309.27","270.97","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","5767.0","0.37","0.57","0.0","4.98","0.57","2.86","0.0","0.0","0.0","0.0","39.23","74.67","345.64","172.82","306.41","270.97","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","5767.0","0.35","0.58","0.0","5.17","0.58","3.01","0.0","0.0","0.0","0.0","42.24","74.67","345.64","172.82","303.41","270.97","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","5767.0","0.33","0.59","0.0","4.8","0.59","2.83","0.0","0.0","0.0","0.0","45.07","74.67","345.64","172.82","300.57","270.97","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","5767.0","0.32","0.6","0.0","3.84","0.6","2.3","0.0","0.0","0.0","0.0","47.36","74.67","345.64","172.82","298.28","270.97","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","5767.0","0.32","0.61","0.0","4.05","0.61","2.45","0.0","0.0","0.0","0.0","49.82","74.67","345.64","172.82","295.83","270.97","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","5767.0","0.31","0.61","0.0","4.79","0.61","2.94","0.0","0.0","0.0","0.0","52.76","74.67","345.64","172.82","292.89","270.97","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","5767.0","0.3","0.62","0.0","5.07","0.62","3.15","0.0","0.0","0.0","0.0","55.91","74.67","345.64","172.82","289.74","270.97","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","5767.0","1.06","0.63","0.0","4.03","1.06","4.27","10.88","10.88","0.0","0.0","49.29","74.67","345.64","172.82","296.35","270.97","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","5767.0","0.87","0.64","0.0","5.17","0.87","4.51","0.0","0.0","0.0","0.0","53.8","74.67","345.64","172.82","291.84","270.97","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","5767.0","0.68","0.65","0.0","5.81","0.68","3.94","0.0","0.0","0.0","0.0","57.74","74.67","345.64","172.82","287.9","270.97","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","5767.0","0.58","0.65","0.0","5.63","0.65","3.68","0.0","0.0","0.0","0.0","61.42","74.67","345.64","172.82","284.22","270.97","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","5767.0","0.51","0.66","0.0","5.42","0.66","3.58","0.0","0.0","0.0","0.0","65.0","74.67","345.64","172.82","280.64","270.97","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","5767.0","0.46","0.67","0.0","6.46","0.67","4.32","0.0","0.0","0.0","0.0","69.33","74.67","345.64","172.82","276.32","270.97","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","5767.0","0.42","0.68","0.0","6.5","0.68","4.4","0.0","0.0","0.0","0.0","73.73","74.67","345.64","172.82","271.92","270.97","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","5767.0","0.39","0.69","0.0","5.93","0.69","4.06","0.0","0.0","0.0","0.0","0.0","74.67","345.64","172.82","345.64","270.97","77.79","","","","","","","","",""
"2015.0","5.0","3.0","123.0","5767.0","0.37","0.69","0.0","5.27","0.69","3.65","0.0","0.0","0.0","0.0","3.65","74.67","345.64","172.82","341.99","270.97","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","5767.0","0.35","0.7","0.0","4.89","0.7","3.43","0.0","0.0","0.0","0.0","7.08","74.67","345.64","172.82","338.56","270.97","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","5767.0","0.34","0.71","0.0","4.9","0.71","3.47","0.0","0.0","0.0","0.0","10.55","74.67","345.64","172.82","335.09","270.97","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","5767.0","0.32","0.72","0.0","5.04","0.72","3.61","0.0","0.0","0.0","0.0","14.17","74.67","345.64","172.82","331.48","270.97","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","5767.0","0.32","0.72","0.0","3.23","0.72","2.34","0.0","0.0","0.0","0.0","16.51","74.67","345.64","172.82","329.14","270.97","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","5767.0","0.31","0.73","0.0","4.37","0.73","3.2","1.13","1.13","0.0","0.0","18.58","74.67","345.64","172.82","327.06","270.97","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","5767.0","0.3","0.74","0.0","4.89","0.74","3.62","0.0","0.0","0.0","0.0","22.2","74.67","345.64","172.82","323.44","270.97","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","5767.0","0.29","0.75","0.0","5.25","0.75","3.93","0.0","0.0","0.0","0.0","26.13","74.67","345.64","172.82","319.51","270.97","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","5767.0","0.28","0.76","0.0","5.24","0.76","3.96","0.0","0.0","0.0","0.0","30.1","74.67","345.64","172.82","315.55","270.97","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","5767.0","0.27","0.76","0.0","5.05","0.76","3.86","0.0","0.0","0.0","0.0","33.96","74.67","345.64","172.82","311.69","270.97","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","5767.0","0.26","0.77","0.0","4.75","0.77","3.67","0.0","0.0","0.0","0.0","37.63","74.67","345.64","172.82","308.02","270.97","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","5767.0","0.26","0.78","0.0","3.29","0.78","2.57","0.0","0.0","0.0","0.0","40.19","74.67","345.64","172.82","305.45","270.97","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","5767.0","0.26","0.79","0.0","4.65","0.79","3.67","1.77","1.77","0.0","0.0","42.09","74.67","345.64","172.82","303.55","270.97","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","5767.0","0.25","0.8","0.0","4.81","0.8","3.83","0.0","0.0","0.0","0.0","45.92","74.67","345.64","172.82","299.72","270.97","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","5767.0","0.25","0.8","0.0","3.92","0.8","3.15","0.0","0.0","0.0","0.0","49.07","74.67","345.64","172.82","296.57","270.97","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","5767.0","0.24","0.81","0.0","4.84","0.81","3.93","0.0","0.0","0.0","0.0","53.0","74.67","345.64","172.82","292.64","270.97","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","5767.0","0.24","0.82","0.0","5.04","0.82","4.13","0.0","0.0","0.0","0.0","57.14","74.67","345.64","172.82","288.51","270.97","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","5767.0","0.23","0.83","0.0","4.95","0.83","4.1","0.0","0.0","0.0","0.0","61.24","74.67","345.64","172.82","284.41","270.97","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","5767.0","0.23","0.84","0.0","4.01","0.84","3.35","0.0","0.0","0.0","0.0","64.59","74.67","345.64","172.82","281.05","270.97","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","5767.0","0.22","0.84","0.0","4.85","0.84","4.09","0.0","0.0","0.0","0.0","68.68","74.67","345.64","172.82","276.96","270.97","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","5767.0","0.22","0.85","0.0","4.86","0.85","4.14","0.0","0.0","0.0","0.0","72.82","74.67","345.64","172.82","272.82","270.97","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","5767.0","0.22","0.86","0.0","5.54","0.86","4.76","0.0","0.0","0.0","0.0","0.0","74.67","345.64","172.82","345.64","270.97","77.59","","","","","","","","",""
"2015.0","5.0","25.0","145.0","5767.0","0.21","0.87","0.0","5.5","0.87","4.77","0.0","0.0","0.0","0.0","4.77","74.67","345.64","172.82","340.87","270.97","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","5767.0","0.21","0.88","0.0","5.52","0.88","4.83","0.0","0.0","0.0","0.0","9.61","74.67","345.64","172.82","336.04","270.97","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","5767.0","0.2","0.88","0.0","5.56","0.88","4.91","0.0","0.0","0.0","0.0","14.52","74.67","345.64","172.82","331.12","270.97","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","5767.0","0.2","0.89","0.0","5.42","0.89","4.83","0.0","0.0","0.0","0.0","19.35","74.67","345.64","172.82","326.29","270.97","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","5767.0","0.2","0.9","0.0","6.13","0.9","5.51","0.0","0.0","0.0","0.0","24.87","74.67","345.64","172.82","320.78","270.97","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","5767.0","0.19","0.91","0.0","6.48","0.91","5.88","0.0","0.0","0.0","0.0","30.75","74.67","345.64","172.82","314.89","270.97","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","5767.0","0.19","0.92","0.0","5.44","0.92","4.98","0.0","0.0","0.0","0.0","35.73","74.67","345.64","172.82","309.91","270.97","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","5767.0","0.19","0.92","0.0","5.54","0.92","5.12","0.0","0.0","0.0","0.0","40.84","74.67","345.64","172.82","304.8","270.97","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","5767.0","0.19","0.93","0.0","5.77","0.93","5.37","0.0","0.0","0.0","0.0","46.22","74.67","345.64","172.82","299.42","270.97","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","5767.0","0.18","0.94","0.0","5.57","0.94","5.23","0.0","0.0","0.0","0.0","51.45","74.67","345.64","172.82","294.19","270.97","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","5767.0","0.18","0.95","0.0","5.83","0.95","5.52","0.0","0.0","0.0","0.0","56.97","74.67","345.64","172.82","288.67","270.97","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","5767.0","0.18","0.96","0.0","6.52","0.96","6.23","0.0","0.0","0.0","0.0","63.2","74.67","345.64","172.82","282.44","270.97","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","5767.0","0.17","0.96","0.0","6.39","0.96","6.15","0.0","0.0","0.0","0.0","69.36","74.67","345.64","172.82","276.29","270.97","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","5767.0","0.17","0.97","0.0","6.75","0.97","6.55","0.0","0.0","0.0","0.0","0.0","74.67","345.64","172.82","345.64","270.97","75.91","","","","","","","","",""
"2015.0","6.0","8.0","159.0","5767.0","0.17","0.98","0.0","7.39","0.98","7.24","0.0","0.0","0.0","0.0","7.24","74.67","345.64","172.82","338.41","270.97","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","5767.0","0.17","0.99","0.0","6.66","0.99","6.57","0.0","0.0","0.0","0.0","13.81","74.67","345.64","172.82","331.83","270.97","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","5767.0","0.17","0.99","0.0","3.04","0.99","3.02","0.1","0.1","0.0","0.0","16.73","74.67","345.64","172.82","328.91","270.97","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","5767.0","0.16","1.0","0.0","6.89","1.0","6.91","3.61","3.61","0.0","0.0","20.03","74.67","345.64","172.82","325.61","270.97","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","5767.0","0.16","1.01","0.0","7.67","1.01","7.75","0.0","0.0","0.0","0.0","27.79","74.67","345.64","172.82","317.86","270.97","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","5767.0","0.16","1.02","0.0","7.55","1.02","7.69","0.0","0.0","0.0","0.0","35.48","74.67","345.64","172.82","310.17","270.97","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","5767.0","0.16","1.03","0.0","6.8","1.03","6.98","0.0","0.0","0.0","0.0","42.46","74.67","345.64","172.82","303.18","270.97","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","5767.0","0.15","1.03","0.0","6.63","1.03","6.86","0.0","0.0","0.0","0.0","49.32","74.67","345.64","172.82","296.32","270.97","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","5767.0","0.15","1.04","0.0","6.95","1.04","7.25","0.0","0.0","0.0","0.0","56.57","74.67","345.64","172.82","289.08","270.97","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","5767.0","0.15","1.05","0.0","6.98","1.05","7.33","0.0","0.0","0.0","0.0","63.9","74.67","345.64","172.82","281.75","270.97","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","5767.0","0.15","1.06","0.0","7.54","1.06","7.98","0.0","0.0","0.0","0.0","71.88","74.67","345.64","172.82","273.76","270.97","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","5767.0","0.15","1.07","0.0","7.41","1.07","7.9","0.0","0.0","0.0","0.0","0.0","74.67","345.64","172.82","345.64","270.97","79.78","","","","","","","","",""
"2015.0","6.0","20.0","171.0","5767.0","0.15","1.07","0.0","6.95","1.07","7.47","0.0","0.0","0.0","0.0","7.47","74.67","345.64","172.82","338.18","270.97","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","5767.0","0.14","1.08","0.0","7.57","1.08","8.19","0.0","0.0","0.0","0.0","15.66","74.67","345.64","172.82","329.98","270.97","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","5767.0","0.14","1.09","0.0","7.07","1.09","7.71","0.0","0.0","0.0","0.0","23.37","74.67","345.64","172.82","322.27","270.97","0.0","","","","","","","","",""
"2015.0","6.0","23.0","174.0","5767.0","0.14","1.1","0.0","7.35","1.1","8.07","0.0","0.0","0.0","0.0","31.44","74.67","345.64","172.82","314.2","270.97","0.0","","","","","","","","",""
