" Daily soil water balance output for Urban Landscape in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Urban Landscape at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"2015.0","2.0","13.0","44.0","185.0","0.88","0.8","0.0","2.11","0.88","1.86","0.0","0.0","0.0","0.0","8.08","30.5","128.0","64.0","119.92","97.5","0.0","","","","","","",""
"2015.0","2.0","14.0","45.0","185.0","0.8","0.8","0.0","2.23","0.8","1.78","0.0","0.0","0.0","0.0","9.86","30.5","128.0","64.0","118.14","97.5","0.0","","","","","","",""
"2015.0","2.0","15.0","46.0","185.0","0.73","0.8","0.0","2.13","0.8","1.7","0.0","0.0","0.0","0.0","11.57","30.5","128.0","64.0","116.43","97.5","0.0","","","","","","",""
"2015.0","2.0","16.0","47.0","185.0","0.69","0.8","0.0","2.07","0.8","1.66","0.0","0.0","0.0","0.0","13.22","30.5","128.0","64.0","114.78","97.5","0.0","","","","","","",""
"2015.0","2.0","17.0","48.0","185.0","0.65","0.8","0.0","1.78","0.8","1.42","0.0","0.0","0.0","0.0","14.65","30.5","128.0","64.0","113.35","97.5","0.0","","","","","","",""
"2015.0","2.0","18.0","49.0","185.0","0.62","0.8","0.0","1.83","0.8","1.46","0.0","0.0","0.0","0.0","16.11","30.5","128.0","64.0","111.89","97.5","0.0","","","","","","",""
"2015.0","2.0","19.0","50.0","185.0","0.6","0.8","0.0","1.16","0.8","0.93","0.0","0.0","0.0","0.0","17.04","30.5","128.0","64.0","110.96","97.5","0.0","","","","","","",""
"2015.0","2.0","20.0","51.0","185.0","0.58","0.8","0.0","1.9","0.8","1.52","0.0","0.0","0.0","0.0","18.56","30.5","128.0","64.0","109.44","97.5","0.0","","","","","","",""
"2015.0","2.0","21.0","52.0","185.0","0.56","0.8","0.0","1.8","0.8","1.44","0.0","0.0","0.0","0.0","20.0","30.5","128.0","64.0","108.0","97.5","0.0","","","","","","",""
"2015.0","2.0","22.0","53.0","185.0","0.53","0.8","0.0","2.86","0.8","2.29","0.0","0.0","0.0","0.0","22.29","30.5","128.0","64.0","105.71","97.5","0.0","","","","","","",""
"2015.0","2.0","23.0","54.0","185.0","0.5","0.8","0.0","3.4","0.8","2.72","0.0","0.0","0.0","0.0","25.01","30.5","128.0","64.0","102.99","97.5","0.0","","","","","","",""
"2015.0","2.0","24.0","55.0","185.0","0.48","0.8","0.0","2.7","0.8","2.16","0.0","0.0","0.0","0.0","27.17","30.5","128.0","64.0","100.83","97.5","0.0","","","","","","",""
"2015.0","2.0","25.0","56.0","185.0","0.46","0.8","0.0","2.19","0.8","1.75","0.0","0.0","0.0","0.0","28.92","30.5","128.0","64.0","99.08","97.5","0.0","","","","","","",""
"2015.0","2.0","26.0","57.0","185.0","0.44","0.8","0.0","2.85","0.8","2.28","0.0","0.0","0.0","0.0","0.0","30.5","128.0","64.0","128.0","97.5","31.2","","","","","","",""
"2015.0","2.0","27.0","58.0","185.0","0.43","0.8","0.0","2.91","0.8","2.33","0.0","0.0","0.0","0.0","2.33","30.5","128.0","64.0","125.67","97.5","0.0","","","","","","",""
"2015.0","2.0","28.0","59.0","185.0","0.42","0.8","0.0","2.05","0.8","1.64","0.0","0.0","0.0","0.0","3.97","30.5","128.0","64.0","124.03","97.5","0.0","","","","","","",""
"2015.0","3.0","1.0","60.0","185.0","0.41","0.8","0.0","2.5","0.8","2.0","0.02","0.02","0.0","0.0","5.95","30.5","128.0","64.0","122.05","97.5","0.0","","","","","","",""
"2015.0","3.0","2.0","61.0","185.0","0.4","0.8","0.0","2.14","0.8","1.71","0.0","0.0","0.0","0.0","7.66","30.5","128.0","64.0","120.34","97.5","0.0","","","","","","",""
"2015.0","3.0","3.0","62.0","185.0","0.39","0.8","0.0","2.47","0.8","1.98","0.02","0.02","0.0","0.0","9.62","30.5","128.0","64.0","118.38","97.5","0.0","","","","","","",""
"2015.0","3.0","4.0","63.0","185.0","0.38","0.8","0.0","2.62","0.8","2.1","0.0","0.0","0.0","0.0","11.71","30.5","128.0","64.0","116.29","97.5","0.0","","","","","","",""
"2015.0","3.0","5.0","64.0","185.0","0.37","0.8","0.0","2.83","0.8","2.26","0.0","0.0","0.0","0.0","13.98","30.5","128.0","64.0","114.02","97.5","0.0","","","","","","",""
"2015.0","3.0","6.0","65.0","185.0","0.36","0.8","0.0","3.01","0.8","2.41","0.0","0.0","0.0","0.0","16.38","30.5","128.0","64.0","111.62","97.5","0.0","","","","","","",""
"2015.0","3.0","7.0","66.0","185.0","0.35","0.8","0.0","2.91","0.8","2.33","0.0","0.0","0.0","0.0","18.71","30.5","128.0","64.0","109.29","97.5","0.0","","","","","","",""
"2015.0","3.0","8.0","67.0","185.0","0.34","0.8","0.0","2.92","0.8","2.34","0.0","0.0","0.0","0.0","21.05","30.5","128.0","64.0","106.95","97.5","0.0","","","","","","",""
"2015.0","3.0","9.0","68.0","185.0","0.33","0.8","0.0","2.84","0.8","2.27","0.0","0.0","0.0","0.0","23.32","30.5","128.0","64.0","104.68","97.5","0.0","","","","","","",""
"2015.0","3.0","10.0","69.0","185.0","0.33","0.8","0.0","2.41","0.8","1.93","0.0","0.0","0.0","0.0","25.25","30.5","128.0","64.0","102.75","97.5","0.0","","","","","","",""
"2015.0","3.0","11.0","70.0","185.0","1.14","0.8","0.0","2.12","1.14","2.41","2.84","2.84","0.0","0.0","24.81","30.5","128.0","64.0","103.19","97.5","0.0","","","","","","",""
"2015.0","3.0","12.0","71.0","185.0","1.09","0.8","0.0","3.28","1.09","3.57","3.22","3.22","0.0","0.0","25.17","30.5","128.0","64.0","102.83","97.5","0.0","","","","","","",""
"2015.0","3.0","13.0","72.0","185.0","1.08","0.8","0.0","3.05","1.08","3.3","0.0","0.0","0.0","0.0","28.46","30.5","128.0","64.0","99.54","97.5","0.0","","","","","","",""
"2015.0","3.0","14.0","73.0","185.0","0.86","0.8","0.0","3.51","0.86","3.04","0.0","0.0","0.0","0.0","0.0","30.5","128.0","64.0","128.0","97.5","31.5","","","","","","",""
"2015.0","3.0","15.0","74.0","185.0","0.73","0.8","0.0","3.83","0.8","3.06","0.0","0.0","0.0","0.0","3.06","30.5","128.0","64.0","124.94","97.5","0.0","","","","","","",""
"2015.0","3.0","16.0","75.0","185.0","0.67","0.8","0.0","2.77","0.8","2.22","0.0","0.0","0.0","0.0","5.28","30.5","128.0","64.0","122.72","97.5","0.0","","","","","","",""
"2015.0","3.0","17.0","76.0","185.0","0.61","0.8","0.0","3.6","0.8","2.88","0.0","0.0","0.0","0.0","8.16","30.5","128.0","64.0","119.84","97.5","0.0","","","","","","",""
"2015.0","3.0","18.0","77.0","185.0","0.56","0.8","0.0","3.7","0.8","2.96","0.0","0.0","0.0","0.0","11.12","30.5","128.0","64.0","116.88","97.5","0.0","","","","","","",""
"2015.0","3.0","19.0","78.0","185.0","0.52","0.8","0.0","3.73","0.8","2.98","0.0","0.0","0.0","0.0","14.1","30.5","128.0","64.0","113.9","97.5","0.0","","","","","","",""
"2015.0","3.0","20.0","79.0","185.0","0.49","0.8","0.0","3.13","0.8","2.5","0.0","0.0","0.0","0.0","16.61","30.5","128.0","64.0","111.39","97.5","0.0","","","","","","",""
"2015.0","3.0","21.0","80.0","185.0","0.46","0.8","0.0","3.46","0.8","2.77","0.0","0.0","0.0","0.0","19.38","30.5","128.0","64.0","108.62","97.5","0.0","","","","","","",""
"2015.0","3.0","22.0","81.0","185.0","0.45","0.8","0.0","2.95","0.8","2.36","0.0","0.0","0.0","0.0","21.74","30.5","128.0","64.0","106.26","97.5","0.0","","","","","","",""
"2015.0","3.0","23.0","82.0","185.0","0.43","0.8","0.0","3.01","0.8","2.41","0.09","0.09","0.0","0.0","24.05","30.5","128.0","64.0","103.95","97.5","0.0","","","","","","",""
"2015.0","3.0","24.0","83.0","185.0","0.41","0.8","0.0","3.29","0.8","2.63","0.0","0.0","0.0","0.0","26.69","30.5","128.0","64.0","101.31","97.5","0.0","","","","","","",""
"2015.0","3.0","25.0","84.0","185.0","0.39","0.8","0.0","3.98","0.8","3.18","0.0","0.0","0.0","0.0","29.87","30.5","128.0","64.0","98.13","97.5","0.0","","","","","","",""
"2015.0","3.0","26.0","85.0","185.0","0.38","0.8","0.0","3.89","0.8","3.11","0.0","0.0","0.0","0.0","0.0","30.5","128.0","64.0","128.0","97.5","32.98","","","","","","",""
"2015.0","3.0","27.0","86.0","185.0","0.36","0.8","0.0","4.2","0.8","3.36","0.0","0.0","0.0","0.0","3.36","30.5","128.0","64.0","124.64","97.5","0.0","","","","","","",""
"2015.0","3.0","28.0","87.0","185.0","0.35","0.8","0.0","4.77","0.8","3.82","0.0","0.0","0.0","0.0","7.18","30.5","128.0","64.0","120.82","97.5","0.0","","","","","","",""
"2015.0","3.0","29.0","88.0","185.0","0.34","0.8","0.0","4.58","0.8","3.66","0.0","0.0","0.0","0.0","10.84","30.5","128.0","64.0","117.16","97.5","0.0","","","","","","",""
"2015.0","3.0","30.0","89.0","185.0","0.32","0.8","0.0","4.37","0.8","3.5","0.0","0.0","0.0","0.0","14.34","30.5","128.0","64.0","113.66","97.5","0.0","","","","","","",""
"2015.0","3.0","31.0","90.0","185.0","0.31","0.8","0.0","4.56","0.8","3.65","0.0","0.0","0.0","0.0","17.98","30.5","128.0","64.0","110.02","97.5","0.0","","","","","","",""
"2015.0","4.0","1.0","91.0","185.0","0.31","0.8","0.0","4.09","0.8","3.27","0.0","0.0","0.0","0.0","21.26","30.5","128.0","64.0","106.74","97.5","0.0","","","","","","",""
"2015.0","4.0","2.0","92.0","185.0","0.3","0.8","0.0","5.22","0.8","4.18","0.0","0.0","0.0","0.0","25.43","30.5","128.0","64.0","102.57","97.5","0.0","","","","","","",""
"2015.0","4.0","3.0","93.0","185.0","0.29","0.8","0.0","4.53","0.8","3.62","0.0","0.0","0.0","0.0","29.06","30.5","128.0","64.0","98.94","97.5","0.0","","","","","","",""
"2015.0","4.0","4.0","94.0","185.0","0.28","0.8","0.0","4.37","0.8","3.5","0.0","0.0","0.0","0.0","0.0","30.5","128.0","64.0","128.0","97.5","32.55","","","","","","",""
"2015.0","4.0","5.0","95.0","185.0","0.28","0.8","0.0","2.64","0.8","2.11","0.82","0.82","0.0","0.0","1.29","30.5","128.0","64.0","126.71","97.5","0.0","","","","","","",""
"2015.0","4.0","6.0","96.0","185.0","0.27","0.8","0.0","2.87","0.8","2.3","1.69","1.69","0.0","0.0","1.9","30.5","128.0","64.0","126.1","97.5","0.0","","","","","","",""
"2015.0","4.0","7.0","97.0","185.0","1.11","0.8","0.0","2.84","1.11","3.14","3.8","3.8","0.0","0.0","1.24","30.5","128.0","64.0","126.76","97.5","0.0","","","","","","",""
"2015.0","4.0","8.0","98.0","185.0","1.09","0.8","0.0","3.15","1.09","3.45","4.57","4.57","0.0","0.0","0.12","30.5","128.0","64.0","127.88","97.5","0.0","","","","","","",""
"2015.0","4.0","9.0","99.0","185.0","1.05","0.8","0.0","3.48","1.05","3.66","0.0","0.0","0.0","0.0","3.78","30.5","128.0","64.0","124.22","97.5","0.0","","","","","","",""
"2015.0","4.0","10.0","100.0","185.0","0.83","0.8","0.0","4.04","0.83","3.34","0.0","0.0","0.0","0.0","7.12","30.5","128.0","64.0","120.88","97.5","0.0","","","","","","",""
"2015.0","4.0","11.0","101.0","185.0","0.7","0.8","0.0","4.18","0.8","3.34","0.0","0.0","0.0","0.0","10.46","30.5","128.0","64.0","117.54","97.5","0.0","","","","","","",""
"2015.0","4.0","12.0","102.0","185.0","0.61","0.8","0.0","4.74","0.8","3.79","0.0","0.0","0.0","0.0","14.25","30.5","128.0","64.0","113.75","97.5","0.0","","","","","","",""
"2015.0","4.0","13.0","103.0","185.0","0.54","0.8","0.0","4.61","0.8","3.69","0.0","0.0","0.0","0.0","17.94","30.5","128.0","64.0","110.06","97.5","0.0","","","","","","",""
"2015.0","4.0","14.0","104.0","185.0","0.49","0.8","0.0","4.9","0.8","3.92","0.0","0.0","0.0","0.0","21.86","30.5","128.0","64.0","106.14","97.5","0.0","","","","","","",""
"2015.0","4.0","15.0","105.0","185.0","0.45","0.8","0.0","5.96","0.8","4.77","0.0","0.0","0.0","0.0","26.63","30.5","128.0","64.0","101.37","97.5","0.0","","","","","","",""
"2015.0","4.0","16.0","106.0","185.0","0.42","0.8","0.0","5.56","0.8","4.45","0.0","0.0","0.0","0.0","0.0","30.5","128.0","64.0","128.0","97.5","31.08","","","","","","",""
"2015.0","4.0","17.0","107.0","185.0","0.39","0.8","0.0","5.25","0.8","4.2","0.0","0.0","0.0","0.0","4.2","30.5","128.0","64.0","123.8","97.5","0.0","","","","","","",""
"2015.0","4.0","18.0","108.0","185.0","0.37","0.8","0.0","4.79","0.8","3.83","0.0","0.0","0.0","0.0","8.03","30.5","128.0","64.0","119.97","97.5","0.0","","","","","","",""
"2015.0","4.0","19.0","109.0","185.0","0.36","0.8","0.0","4.84","0.8","3.87","0.0","0.0","0.0","0.0","11.9","30.5","128.0","64.0","116.1","97.5","0.0","","","","","","",""
"2015.0","4.0","20.0","110.0","185.0","0.34","0.8","0.0","4.45","0.8","3.56","0.0","0.0","0.0","0.0","15.46","30.5","128.0","64.0","112.54","97.5","0.0","","","","","","",""
"2015.0","4.0","21.0","111.0","185.0","0.33","0.8","0.0","3.69","0.8","2.95","0.0","0.0","0.0","0.0","18.42","30.5","128.0","64.0","109.58","97.5","0.0","","","","","","",""
"2015.0","4.0","22.0","112.0","185.0","0.32","0.8","0.0","4.06","0.8","3.25","0.0","0.0","0.0","0.0","21.66","30.5","128.0","64.0","106.34","97.5","0.0","","","","","","",""
"2015.0","4.0","23.0","113.0","185.0","0.31","0.8","0.0","4.55","0.8","3.64","0.0","0.0","0.0","0.0","25.3","30.5","128.0","64.0","102.7","97.5","0.0","","","","","","",""
"2015.0","4.0","24.0","114.0","185.0","0.3","0.8","0.0","4.92","0.8","3.94","0.0","0.0","0.0","0.0","29.24","30.5","128.0","64.0","98.76","97.5","0.0","","","","","","",""
"2015.0","4.0","25.0","115.0","185.0","0.29","0.8","0.0","4.04","0.8","3.23","4.04","4.04","0.0","0.0","28.43","30.5","128.0","64.0","99.57","97.5","0.0","","","","","","",""
"2015.0","4.0","26.0","116.0","185.0","0.29","0.8","0.0","5.0","0.8","4.0","0.0","0.0","0.0","0.0","0.0","30.5","128.0","64.0","128.0","97.5","32.43","","","","","","",""
"2015.0","4.0","27.0","117.0","185.0","0.28","0.8","0.0","5.7","0.8","4.56","0.0","0.0","0.0","0.0","4.56","30.5","128.0","64.0","123.44","97.5","0.0","","","","","","",""
"2015.0","4.0","28.0","118.0","185.0","0.27","0.8","0.0","5.31","0.8","4.25","0.0","0.0","0.0","0.0","8.81","30.5","128.0","64.0","119.19","97.5","0.0","","","","","","",""
"2015.0","4.0","29.0","119.0","185.0","0.26","0.8","0.0","5.12","0.8","4.1","0.0","0.0","0.0","0.0","12.9","30.5","128.0","64.0","115.1","97.5","0.0","","","","","","",""
"2015.0","4.0","30.0","120.0","185.0","0.25","0.8","0.0","6.3","0.8","5.04","0.0","0.0","0.0","0.0","17.94","30.5","128.0","64.0","110.06","97.5","0.0","","","","","","",""
"2015.0","5.0","1.0","121.0","185.0","0.25","0.8","0.0","6.17","0.8","4.94","0.0","0.0","0.0","0.0","22.88","30.5","128.0","64.0","105.12","97.5","0.0","","","","","","",""
"2015.0","5.0","2.0","122.0","185.0","0.24","0.8","0.0","5.52","0.8","4.42","0.0","0.0","0.0","0.0","27.3","30.5","128.0","64.0","100.7","97.5","0.0","","","","","","",""
"2015.0","5.0","3.0","123.0","185.0","0.24","0.8","0.0","4.85","0.8","3.88","0.0","0.0","0.0","0.0","0.0","30.5","128.0","64.0","128.0","97.5","31.18","","","","","","",""
"2015.0","5.0","4.0","124.0","185.0","0.23","0.8","0.0","4.57","0.8","3.66","0.0","0.0","0.0","0.0","3.66","30.5","128.0","64.0","124.34","97.5","0.0","","","","","","",""
"2015.0","5.0","5.0","125.0","185.0","0.23","0.8","0.0","4.68","0.8","3.74","0.0","0.0","0.0","0.0","7.4","30.5","128.0","64.0","120.6","97.5","0.0","","","","","","",""
"2015.0","5.0","6.0","126.0","185.0","0.22","0.8","0.0","4.88","0.8","3.9","0.0","0.0","0.0","0.0","11.3","30.5","128.0","64.0","116.7","97.5","0.0","","","","","","",""
"2015.0","5.0","7.0","127.0","185.0","0.22","0.8","0.0","3.03","0.8","2.42","0.0","0.0","0.0","0.0","13.73","30.5","128.0","64.0","114.27","97.5","0.0","","","","","","",""
"2015.0","5.0","8.0","128.0","185.0","0.22","0.8","0.0","4.27","0.8","3.42","1.21","1.21","0.0","0.0","15.93","30.5","128.0","64.0","112.07","97.5","0.0","","","","","","",""
"2015.0","5.0","9.0","129.0","185.0","0.21","0.8","0.0","4.65","0.8","3.72","0.0","0.0","0.0","0.0","19.65","30.5","128.0","64.0","108.35","97.5","0.0","","","","","","",""
"2015.0","5.0","10.0","130.0","185.0","0.21","0.8","0.0","4.94","0.8","3.95","0.0","0.0","0.0","0.0","23.61","30.5","128.0","64.0","104.39","97.5","0.0","","","","","","",""
"2015.0","5.0","11.0","131.0","185.0","0.21","0.8","0.0","4.97","0.8","3.98","0.0","0.0","0.0","0.0","27.58","30.5","128.0","64.0","100.42","97.5","0.0","","","","","","",""
"2015.0","5.0","12.0","132.0","185.0","0.2","0.8","0.0","4.93","0.8","3.94","0.0","0.0","0.0","0.0","0.0","30.5","128.0","64.0","128.0","97.5","31.53","","","","","","",""
"2015.0","5.0","13.0","133.0","185.0","0.2","0.8","0.0","4.61","0.8","3.69","0.0","0.0","0.0","0.0","3.69","30.5","128.0","64.0","124.31","97.5","0.0","","","","","","",""
"2015.0","5.0","14.0","134.0","185.0","0.2","0.8","0.0","3.0","0.8","2.4","0.0","0.0","0.0","0.0","6.09","30.5","128.0","64.0","121.91","97.5","0.0","","","","","","",""
"2015.0","5.0","15.0","135.0","185.0","1.04","0.8","0.0","4.53","1.04","4.71","11.7","10.79","0.0","0.0","0.0","30.5","128.0","64.0","128.0","97.5","0.0","","","","","","",""
"2015.0","5.0","16.0","136.0","185.0","0.88","0.8","0.0","4.61","0.88","4.04","0.0","0.0","0.0","0.0","4.04","30.5","128.0","64.0","123.96","97.5","0.0","","","","","","",""
"2015.0","5.0","17.0","137.0","185.0","0.74","0.8","0.0","3.94","0.8","3.15","0.0","0.0","0.0","0.0","7.19","30.5","128.0","64.0","120.81","97.5","0.0","","","","","","",""
"2015.0","5.0","18.0","138.0","185.0","0.63","0.8","0.0","4.69","0.8","3.75","0.0","0.0","0.0","0.0","10.94","30.5","128.0","64.0","117.06","97.5","0.0","","","","","","",""
"2015.0","5.0","19.0","139.0","185.0","0.56","0.8","0.0","4.84","0.8","3.87","0.0","0.0","0.0","0.0","14.81","30.5","128.0","64.0","113.19","97.5","0.0","","","","","","",""
"2015.0","5.0","20.0","140.0","185.0","0.51","0.8","0.0","4.67","0.8","3.74","0.0","0.0","0.0","0.0","18.55","30.5","128.0","64.0","109.45","97.5","0.0","","","","","","",""
"2015.0","5.0","21.0","141.0","185.0","0.47","0.8","0.0","4.2","0.8","3.36","0.0","0.0","0.0","0.0","21.91","30.5","128.0","64.0","106.09","97.5","0.0","","","","","","",""
"2015.0","5.0","22.0","142.0","185.0","0.44","0.8","0.0","4.77","0.8","3.82","0.0","0.0","0.0","0.0","25.73","30.5","128.0","64.0","102.27","97.5","0.0","","","","","","",""
"2015.0","5.0","23.0","143.0","185.0","0.41","0.8","0.0","4.69","0.8","3.75","0.0","0.0","0.0","0.0","29.48","30.5","128.0","64.0","98.52","97.5","0.0","","","","","","",""
"2015.0","5.0","24.0","144.0","185.0","0.39","0.8","0.0","5.17","0.8","4.14","0.0","0.0","0.0","0.0","0.0","30.5","128.0","64.0","128.0","97.5","33.61","","","","","","",""
"2015.0","5.0","25.0","145.0","185.0","0.37","0.8","0.0","5.17","0.8","4.14","0.0","0.0","0.0","0.0","4.14","30.5","128.0","64.0","123.86","97.5","0.0","","","","","","",""
"2015.0","5.0","26.0","146.0","185.0","0.35","0.8","0.0","5.18","0.8","4.14","0.0","0.0","0.0","0.0","8.28","30.5","128.0","64.0","119.72","97.5","0.0","","","","","","",""
"2015.0","5.0","27.0","147.0","185.0","0.34","0.8","0.0","5.24","0.8","4.19","0.0","0.0","0.0","0.0","12.47","30.5","128.0","64.0","115.53","97.5","0.0","","","","","","",""
"2015.0","5.0","28.0","148.0","185.0","0.32","0.8","0.0","5.12","0.8","4.1","0.0","0.0","0.0","0.0","16.57","30.5","128.0","64.0","111.43","97.5","0.0","","","","","","",""
"2015.0","5.0","29.0","149.0","185.0","0.31","0.8","0.0","5.74","0.8","4.59","0.0","0.0","0.0","0.0","21.16","30.5","128.0","64.0","106.84","97.5","0.0","","","","","","",""
"2015.0","5.0","30.0","150.0","185.0","0.3","0.8","0.0","6.09","0.8","4.87","0.0","0.0","0.0","0.0","26.03","30.5","128.0","64.0","101.97","97.5","0.0","","","","","","",""
"2015.0","5.0","31.0","151.0","185.0","0.29","0.8","0.0","5.25","0.8","4.2","0.0","0.0","0.0","0.0","30.23","30.5","128.0","64.0","97.77","97.5","0.0","","","","","","",""
"2015.0","6.0","1.0","152.0","185.0","0.28","0.8","0.0","5.51","0.8","4.41","0.0","0.0","0.0","0.0","0.0","30.5","128.0","64.0","128.0","97.5","34.64","","","","","","",""
"2015.0","6.0","2.0","153.0","185.0","0.27","0.8","0.0","5.52","0.8","4.42","0.0","0.0","0.0","0.0","4.42","30.5","128.0","64.0","123.58","97.5","0.0","","","","","","",""
"2015.0","6.0","3.0","154.0","185.0","0.26","0.8","0.0","5.25","0.8","4.2","0.0","0.0","0.0","0.0","8.62","30.5","128.0","64.0","119.38","97.5","0.0","","","","","","",""
"2015.0","6.0","4.0","155.0","185.0","0.26","0.8","0.0","5.59","0.8","4.47","0.0","0.0","0.0","0.0","13.09","30.5","128.0","64.0","114.91","97.5","0.0","","","","","","",""
"2015.0","6.0","5.0","156.0","185.0","0.25","0.8","0.0","6.19","0.8","4.95","0.0","0.0","0.0","0.0","18.04","30.5","128.0","64.0","109.96","97.5","0.0","","","","","","",""
"2015.0","6.0","6.0","157.0","185.0","0.24","0.8","0.0","6.0","0.8","4.8","0.0","0.0","0.0","0.0","22.84","30.5","128.0","64.0","105.16","97.5","0.0","","","","","","",""
"2015.0","6.0","7.0","158.0","185.0","0.23","0.8","0.0","6.42","0.8","5.14","0.0","0.0","0.0","0.0","27.98","30.5","128.0","64.0","100.02","97.5","0.0","","","","","","",""
"2015.0","6.0","8.0","159.0","185.0","0.23","0.8","0.0","7.13","0.8","5.7","0.0","0.0","0.0","0.0","0.0","30.5","128.0","64.0","128.0","97.5","33.68","","","","","","",""
"2015.0","6.0","9.0","160.0","185.0","0.22","0.8","0.0","6.15","0.8","4.92","0.0","0.0","0.0","0.0","4.92","30.5","128.0","64.0","123.08","97.5","0.0","","","","","","",""
"2015.0","6.0","10.0","161.0","185.0","0.22","0.8","0.0","2.9","0.8","2.32","0.76","0.76","0.0","0.0","6.48","30.5","128.0","64.0","121.52","97.5","0.0","","","","","","",""
"2015.0","6.0","11.0","162.0","185.0","0.22","0.8","0.0","6.56","0.8","5.25","3.16","3.16","0.0","0.0","8.57","30.5","128.0","64.0","119.43","97.5","0.0","","","","","","",""
"2015.0","6.0","12.0","163.0","185.0","0.21","0.8","0.0","7.25","0.8","5.8","0.0","0.0","0.0","0.0","14.37","30.5","128.0","64.0","113.63","97.5","0.0","","","","","","",""
"2015.0","6.0","13.0","164.0","185.0","0.21","0.8","0.0","7.01","0.8","5.61","0.0","0.0","0.0","0.0","19.98","30.5","128.0","64.0","108.02","97.5","0.0","","","","","","",""
"2015.0","6.0","14.0","165.0","185.0","0.2","0.8","0.0","6.27","0.8","5.02","0.0","0.0","0.0","0.0","24.99","30.5","128.0","64.0","103.01","97.5","0.0","","","","","","",""
"2015.0","6.0","15.0","166.0","185.0","0.2","0.8","0.0","6.1","0.8","4.88","0.0","0.0","0.0","0.0","29.87","30.5","128.0","64.0","98.13","97.5","0.0","","","","","","",""
"2015.0","6.0","16.0","167.0","185.0","0.19","0.8","0.0","6.47","0.8","5.18","0.0","0.0","0.0","0.0","0.0","30.5","128.0","64.0","128.0","97.5","35.05","","","","","","",""
"2015.0","6.0","17.0","168.0","185.0","0.19","0.8","0.0","6.61","0.8","5.29","0.0","0.0","0.0","0.0","5.29","30.5","128.0","64.0","122.71","97.5","0.0","","","","","","",""
"2015.0","6.0","18.0","169.0","185.0","0.19","0.8","0.0","6.97","0.8","5.58","0.0","0.0","0.0","0.0","10.86","30.5","128.0","64.0","117.14","97.5","0.0","","","","","","",""
"2015.0","6.0","19.0","170.0","185.0","0.18","0.8","0.0","6.99","0.8","5.59","0.0","0.0","0.0","0.0","16.46","30.5","128.0","64.0","111.54","97.5","0.0","","","","","","",""
"2015.0","6.0","20.0","171.0","185.0","0.18","0.8","0.0","6.55","0.8","5.24","0.0","0.0","0.0","0.0","21.7","30.5","128.0","64.0","106.3","97.5","0.0","","","","","","",""
"2015.0","6.0","21.0","172.0","185.0","0.18","0.8","0.0","7.0","0.8","5.6","0.0","0.0","0.0","0.0","27.3","30.5","128.0","64.0","100.7","97.5","0.0","","","","","","",""
"2015.0","6.0","22.0","173.0","185.0","0.17","0.8","0.0","6.6","0.8","5.28","0.0","0.0","0.0","0.0","0.0","30.5","128.0","64.0","128.0","97.5","32.58","","","","","","",""
"2015.0","6.0","23.0","174.0","185.0","0.17","0.8","0.0","6.94","0.8","5.55","0.0","0.0","0.0","0.0","5.55","30.5","128.0","64.0","122.45","97.5","0.0","","","","","","",""
"2015.0","6.0","24.0","175.0","185.0","0.17","0.8","0.0","6.83","0.8","5.46","0.0","0.0","0.0","0.0","11.02","30.5","128.0","64.0","116.98","97.5","0.0","","","","","","",""
"2015.0","6.0","25.0","176.0","185.0","0.17","0.8","0.0","7.59","0.8","6.07","0.0","0.0","0.0","0.0","17.09","30.5","128.0","64.0","110.91","97.5","0.0","","","","","","",""
"2015.0","6.0","26.0","177.0","185.0","0.16","0.8","0.0","7.7","0.8","6.16","0.0","0.0","0.0","0.0","23.25","30.5","128.0","64.0","104.75","97.5","0.0","","","","","","",""
"2015.0","6.0","27.0","178.0","185.0","0.16","0.8","0.0","6.14","0.8","4.91","0.0","0.0","0.0","0.0","28.16","30.5","128.0","64.0","99.84","97.5","0.0","","","","","","",""
"2015.0","6.0","28.0","179.0","185.0","0.16","0.8","0.0","6.65","0.8","5.32","0.0","0.0","0.0","0.0","0.0","30.5","128.0","64.0","128.0","97.5","33.48","","","","","","",""
"2015.0","6.0","29.0","180.0","185.0","0.16","0.8","0.0","7.15","0.8","5.72","0.0","0.0","0.0","0.0","5.72","30.5","128.0","64.0","122.28","97.5","0.0","","","","","","",""
"2015.0","6.0","30.0","181.0","185.0","0.15","0.8","0.0","7.38","0.8","5.9","0.0","0.0","0.0","0.0","11.62","30.5","128.0","64.0","116.38","97.5","0.0","","","","","","",""
"2015.0","7.0","1.0","182.0","185.0","0.15","0.8","0.0","7.19","0.8","5.75","0.0","0.0","0.0","0.0","17.38","30.5","128.0","64.0","110.62","97.5","0.0","","","","","","",""
"2015.0","7.0","2.0","183.0","185.0","0.15","0.8","0.0","6.4","0.8","5.12","0.0","0.0","0.0","0.0","22.5","30.5","128.0","64.0","105.5","97.5","0.0","","","","","","",""
"2015.0","7.0","3.0","184.0","185.0","0.15","0.8","0.0","7.14","0.8","5.71","0.0","0.0","0.0","0.0","28.21","30.5","128.0","64.0","99.79","97.5","0.0","","","","","","",""
