" Daily soil water balance output for Tomato Fresh in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Tomato Fresh in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","2.0","8.0","39.0","2571.0","1.16","0.0","0.0","1.39","1.16","1.62","12.03","10.81","0.0","0.0","0.0","28.5","347.32","173.66","347.32","318.82","0.0","","","","","","","","",""
"2015.0","2.0","9.0","40.0","2571.0","1.14","0.0","0.0","2.02","1.14","2.3","18.45","2.3","0.0","0.0","0.0","28.5","347.32","173.66","347.32","318.82","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","2571.0","1.14","0.0","0.0","1.84","1.14","2.1","0.02","0.02","0.0","0.0","2.08","28.5","347.32","173.66","345.24","318.82","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","2571.0","1.15","0.0","0.0","1.63","1.15","1.87","0.0","0.0","0.0","0.0","3.95","28.5","347.32","173.66","343.37","318.82","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","2571.0","1.02","0.0","0.0","1.98","1.02","2.02","0.0","0.0","0.0","0.0","5.97","28.5","347.32","173.66","341.35","318.82","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","2571.0","0.9","0.0","0.0","2.03","0.9","1.83","0.0","0.0","0.0","0.0","7.8","28.5","347.32","173.66","339.52","318.82","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","2571.0","0.81","0.0","0.0","2.18","0.81","1.77","0.0","0.0","0.0","0.0","9.57","28.5","347.32","173.66","337.75","318.82","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","2571.0","0.75","0.0","0.0","2.08","0.75","1.56","0.0","0.0","0.0","0.0","11.13","28.5","347.32","173.66","336.19","318.82","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","2571.0","0.7","0.0","0.0","2.18","0.7","1.52","0.0","0.0","0.0","0.0","12.65","28.5","347.32","173.66","334.67","318.82","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","2571.0","0.66","0.0","0.0","1.84","0.66","1.21","0.0","0.0","0.0","0.0","13.86","28.5","347.32","173.66","333.46","318.82","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","2571.0","0.63","0.0","0.0","1.59","0.63","1.0","0.0","0.0","0.0","0.0","14.86","28.5","347.32","173.66","332.46","318.82","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","2571.0","0.62","0.0","0.0","1.06","0.62","0.65","0.0","0.0","0.0","0.0","15.51","28.5","347.32","173.66","331.81","318.82","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","2571.0","0.59","0.0","0.0","1.88","0.59","1.11","0.0","0.0","0.0","0.0","16.62","28.5","347.32","173.66","330.7","318.82","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","2571.0","0.57","0.0","0.0","1.63","0.57","0.93","0.0","0.0","0.0","0.0","17.55","28.5","347.32","173.66","329.77","318.82","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","2571.0","0.53","0.0","0.0","3.48","0.53","1.85","0.0","0.0","0.0","0.0","19.4","28.5","347.32","173.66","327.92","318.82","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","2571.0","0.49","0.0","0.0","4.09","0.49","2.02","0.0","0.0","0.0","0.0","21.41","28.5","347.32","173.66","325.91","318.82","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","2571.0","0.47","0.0","0.0","2.78","0.47","1.31","0.0","0.0","0.0","0.0","22.73","28.5","347.32","173.66","324.59","318.82","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","2571.0","0.46","0.0","0.0","2.16","0.46","0.99","0.0","0.0","0.0","0.0","23.72","28.5","347.32","173.66","323.6","318.82","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","2571.0","0.44","0.0","0.0","3.01","0.44","1.33","0.0","0.0","0.0","0.0","25.05","28.5","347.32","173.66","322.27","318.82","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","2571.0","0.43","0.0","0.0","2.86","0.43","1.22","0.0","0.0","0.0","0.0","26.26","28.5","347.32","173.66","321.06","318.82","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","2571.0","0.42","0.0","0.0","2.01","0.42","0.83","0.0","0.0","0.0","0.0","27.1","28.5","347.32","173.66","320.22","318.82","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","2571.0","0.4","0.0","0.0","2.6","0.4","1.05","0.0","0.0","0.0","0.0","28.14","28.5","347.32","173.66","319.18","318.82","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","2571.0","0.39","0.0","0.0","2.27","0.39","0.89","0.0","0.0","0.0","0.0","29.04","28.5","347.32","173.66","318.28","318.82","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","2571.0","0.38","0.0","0.0","2.57","0.38","0.99","0.86","0.86","0.0","0.0","28.18","28.5","347.32","173.66","319.14","318.82","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","2571.0","0.37","0.0","0.0","2.6","0.37","0.97","0.0","0.0","0.0","0.0","29.15","28.5","347.32","173.66","318.17","318.82","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","2571.0","0.37","0.0","0.0","2.79","0.37","1.02","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","2571.0","0.36","0.0","0.0","2.99","0.36","1.06","0.0","0.0","0.0","0.0","29.56","28.5","347.32","173.66","317.76","318.82","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","2571.0","0.35","0.0","0.0","2.82","0.35","0.98","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","2571.0","0.34","0.0","0.0","2.96","0.34","1.01","0.0","0.0","0.0","0.0","29.51","28.5","347.32","173.66","317.81","318.82","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","2571.0","0.33","0.0","0.0","2.98","0.33","0.99","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","2571.0","0.33","0.0","0.0","2.43","0.33","0.79","0.0","0.0","0.0","0.0","29.29","28.5","347.32","173.66","318.03","318.82","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","2571.0","0.32","0.0","0.0","2.13","0.32","0.69","0.72","0.72","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","2571.0","1.08","0.0","0.0","3.4","1.08","3.69","3.96","3.96","0.0","0.0","28.23","28.5","347.32","173.66","319.09","318.82","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","2571.0","1.07","0.0","0.0","3.07","1.07","3.28","0.0","0.0","0.0","0.0","31.5","28.5","347.32","173.66","315.82","318.82","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","2571.0","0.87","0.0","0.0","3.32","0.87","2.88","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","2571.0","0.73","0.0","0.0","3.87","0.73","2.83","0.0","0.0","0.0","0.0","31.33","28.5","347.32","173.66","315.99","318.82","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","2571.0","0.67","0.0","0.0","2.59","0.67","1.74","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","2571.0","0.61","0.0","0.0","3.57","0.61","2.17","0.0","0.0","0.0","0.0","30.67","28.5","347.32","173.66","316.65","318.82","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","2571.0","0.56","0.0","0.0","3.85","0.56","2.14","0.21","0.21","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","2571.0","0.52","0.0","0.0","3.88","0.52","2.0","0.0","0.0","0.0","0.0","30.5","28.5","347.32","173.66","316.82","318.82","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","2571.0","0.49","0.0","0.0","3.12","0.49","1.52","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","2571.0","0.46","0.0","0.0","3.61","0.46","1.67","0.0","0.0","0.0","0.0","30.17","28.5","347.32","173.66","317.15","318.82","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","2571.0","0.44","0.0","0.0","3.15","0.44","1.39","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","2571.0","0.42","0.0","0.0","3.24","0.42","1.38","0.46","0.46","0.0","0.0","29.42","28.5","347.32","173.66","317.9","318.82","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","2571.0","0.41","0.0","0.0","3.22","0.41","1.32","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","2571.0","0.39","0.0","0.0","4.16","0.39","1.62","0.0","0.0","0.0","0.0","30.12","28.5","347.32","173.66","317.2","318.82","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","2571.0","0.38","0.0","0.0","3.91","0.38","1.47","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","2571.0","0.36","0.0","0.0","4.48","0.36","1.61","0.0","0.0","0.0","0.0","30.11","28.5","347.32","173.66","317.21","318.82","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","2571.0","0.34","0.0","0.0","4.95","0.34","1.7","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","2571.0","0.33","0.0","0.0","4.75","0.33","1.57","0.0","0.0","0.0","0.0","30.07","28.5","347.32","173.66","317.25","318.82","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","2571.0","0.32","0.0","0.0","4.54","0.32","1.45","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","2571.0","0.31","0.0","0.0","4.67","0.31","1.45","0.0","0.0","0.0","0.0","29.95","28.5","347.32","173.66","317.37","318.82","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","2571.0","0.3","0.2","0.0","4.21","0.3","1.27","0.0","0.0","0.0","0.0","31.21","72.7","347.32","173.66","316.11","274.62","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","2571.0","0.29","0.2","0.0","5.53","0.29","1.61","0.0","0.0","0.0","0.0","32.82","72.7","347.32","173.66","314.5","274.62","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","2571.0","0.28","0.2","0.0","4.65","0.28","1.32","0.0","0.0","0.0","0.0","34.14","72.7","347.32","173.66","313.18","274.62","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","2571.0","0.28","0.2","0.0","4.54","0.28","1.25","0.0","0.0","0.0","0.0","35.39","72.7","347.32","173.66","311.93","274.62","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","2571.0","0.27","0.2","0.0","2.51","0.27","0.68","0.08","0.08","0.0","0.0","36.0","72.7","347.32","173.66","311.32","274.62","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","2571.0","0.27","0.2","0.0","2.97","0.27","0.8","2.53","2.53","0.0","0.0","34.27","72.7","347.32","173.66","313.05","274.62","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","2571.0","0.27","0.2","0.0","2.49","0.27","0.66","3.03","3.03","0.0","0.0","31.9","72.7","347.32","173.66","315.42","274.62","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","2571.0","1.1","0.2","0.0","2.99","1.1","3.29","14.46","14.46","0.0","0.0","20.73","72.7","347.32","173.66","326.59","274.62","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","2571.0","1.07","0.2","0.0","3.5","1.07","3.73","0.0","0.0","0.0","0.0","24.46","72.7","347.32","173.66","322.86","274.62","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","2571.0","0.83","0.2","0.0","4.14","0.83","3.43","0.0","0.0","0.0","0.0","27.89","72.7","347.32","173.66","319.43","274.62","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","2571.0","0.7","0.2","0.0","4.3","0.7","2.99","0.0","0.0","0.0","0.0","30.88","72.7","347.32","173.66","316.44","274.62","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","2571.0","0.6","0.2","0.0","4.93","0.6","2.96","0.0","0.0","0.0","0.0","33.84","72.7","347.32","173.66","313.48","274.62","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","2571.0","0.54","0.2","0.0","5.02","0.54","2.69","0.0","0.0","0.0","0.0","36.53","72.7","347.32","173.66","310.79","274.62","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","2571.0","0.49","0.2","0.0","4.9","0.49","2.39","0.0","0.0","0.0","0.0","38.92","72.7","347.32","173.66","308.4","274.62","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","2571.0","0.44","0.2","0.0","6.53","0.44","2.87","0.0","0.0","0.0","0.0","41.79","72.7","347.32","173.66","305.53","274.62","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","2571.0","0.41","0.2","0.0","5.97","0.41","2.43","0.0","0.0","0.0","0.0","44.22","72.7","347.32","173.66","303.1","274.62","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","2571.0","0.38","0.2","0.0","5.35","0.38","2.05","0.0","0.0","0.0","0.0","46.26","72.7","347.32","173.66","301.06","274.62","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","2571.0","0.36","0.2","0.0","4.99","0.36","1.81","0.0","0.0","0.0","0.0","48.08","72.7","347.32","173.66","299.24","274.62","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","2571.0","0.35","0.2","0.0","5.25","0.35","1.82","0.0","0.0","0.0","0.0","49.9","72.7","347.32","173.66","297.42","274.62","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","2571.0","0.33","0.2","0.0","4.8","0.33","1.6","0.0","0.0","0.0","0.0","51.49","72.7","347.32","173.66","295.83","274.62","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","2571.0","0.32","0.2","0.0","3.83","0.32","1.24","0.0","0.0","0.0","0.0","52.73","72.7","347.32","173.66","294.59","274.62","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","2571.0","0.31","0.2","0.0","4.16","0.31","1.31","0.0","0.0","0.0","0.0","54.04","72.7","347.32","173.66","293.28","274.62","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","2571.0","0.3","0.2","0.0","4.79","0.3","1.46","0.0","0.0","0.0","0.0","55.5","72.7","347.32","173.66","291.82","274.62","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","2571.0","0.29","0.2","0.0","5.05","0.29","1.49","0.0","0.0","0.0","0.0","56.98","72.7","347.32","173.66","290.34","274.62","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","2571.0","1.06","0.2","0.0","4.07","1.06","4.3","12.34","12.34","0.0","0.0","48.94","72.7","347.32","173.66","298.38","274.62","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","2571.0","0.87","0.2","0.0","5.14","0.87","4.48","0.0","0.0","0.0","0.0","53.43","72.7","347.32","173.66","293.89","274.62","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","2571.0","0.67","0.2","0.0","6.01","0.67","4.04","0.0","0.0","0.0","0.0","57.47","72.7","347.32","173.66","289.85","274.62","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","2571.0","0.57","0.2","0.0","5.62","0.57","3.22","0.0","0.0","0.0","0.0","60.68","72.7","347.32","173.66","286.64","274.62","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","2571.0","0.51","0.2","0.0","5.35","0.51","2.73","0.0","0.0","0.0","0.0","63.42","72.7","347.32","173.66","283.9","274.62","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","2571.0","0.46","0.2","0.0","6.46","0.46","2.94","0.0","0.0","0.0","0.0","66.36","72.7","347.32","173.66","280.96","274.62","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","2571.0","0.41","0.2","0.0","6.52","0.41","2.7","0.0","0.0","0.0","0.0","69.06","72.7","347.32","173.66","278.26","274.62","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","2571.0","0.39","0.2","0.0","6.03","0.39","2.32","0.0","0.0","0.0","0.0","71.39","72.7","347.32","173.66","275.93","274.62","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","2571.0","0.37","0.2","0.0","5.29","0.37","1.93","0.0","0.0","0.0","0.0","0.0","72.7","347.32","173.66","347.32","274.62","73.32","","","","","","","","",""
"2015.0","5.0","4.0","124.0","2571.0","0.35","0.2","0.0","4.85","0.35","1.69","0.0","0.0","0.0","0.0","1.69","72.7","347.32","173.66","345.63","274.62","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","2571.0","0.34","0.2","0.0","4.86","0.34","1.63","0.0","0.0","0.0","0.0","3.32","72.7","347.32","173.66","344.0","274.62","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","2571.0","0.32","0.2","0.0","5.17","0.32","1.66","0.0","0.0","0.0","0.0","4.99","72.7","347.32","173.66","342.33","274.62","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","2571.0","0.31","0.2","0.0","3.74","0.31","1.17","0.12","0.12","0.0","0.0","6.04","72.7","347.32","173.66","341.28","274.62","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","2571.0","0.3","0.2","0.0","4.45","0.3","1.36","0.04","0.04","0.0","0.0","7.36","72.7","347.32","173.66","339.96","274.62","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","2571.0","0.29","0.2","0.0","5.02","0.29","1.48","0.0","0.0","0.0","0.0","8.84","72.7","347.32","173.66","338.48","274.62","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","2571.0","0.29","0.22","0.0","5.24","0.29","1.5","0.0","0.0","0.0","0.0","10.33","72.7","347.32","173.66","336.99","274.62","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","2571.0","0.28","0.25","0.0","5.2","0.28","1.44","0.0","0.0","0.0","0.0","11.77","72.7","347.32","173.66","335.55","274.62","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","2571.0","0.27","0.27","0.0","5.04","0.27","1.37","0.0","0.0","0.0","0.0","13.14","72.7","347.32","173.66","334.18","274.62","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","2571.0","0.26","0.29","0.0","4.75","0.29","1.4","0.0","0.0","0.0","0.0","14.54","72.7","347.32","173.66","332.78","274.62","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","2571.0","0.26","0.32","0.0","3.53","0.32","1.12","0.0","0.0","0.0","0.0","15.66","72.7","347.32","173.66","331.66","274.62","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","2571.0","0.25","0.34","0.0","4.69","0.34","1.6","0.41","0.41","0.0","0.0","16.86","72.7","347.32","173.66","330.46","274.62","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","2571.0","0.25","0.37","0.0","4.83","0.37","1.77","0.0","0.0","0.0","0.0","18.63","72.7","347.32","173.66","328.69","274.62","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","2571.0","0.24","0.39","0.0","4.03","0.39","1.57","0.0","0.0","0.0","0.0","20.19","72.7","347.32","173.66","327.13","274.62","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","2571.0","0.24","0.41","0.0","4.74","0.41","1.96","0.0","0.0","0.0","0.0","22.15","72.7","347.32","173.66","325.17","274.62","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","2571.0","0.23","0.44","0.0","5.03","0.44","2.2","0.0","0.0","0.0","0.0","24.35","72.7","347.32","173.66","322.97","274.62","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","2571.0","0.23","0.46","0.0","4.98","0.46","2.29","0.0","0.0","0.0","0.0","26.64","72.7","347.32","173.66","320.68","274.62","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","2571.0","0.23","0.48","0.0","4.26","0.48","2.06","0.0","0.0","0.0","0.0","28.71","72.7","347.32","173.66","318.61","274.62","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","2571.0","0.22","0.51","0.0","4.91","0.51","2.49","0.0","0.0","0.0","0.0","31.2","72.7","347.32","173.66","316.12","274.62","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","2571.0","0.22","0.53","0.0","4.7","0.53","2.5","0.0","0.0","0.0","0.0","33.7","72.7","347.32","173.66","313.62","274.62","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","2571.0","0.21","0.56","0.0","5.63","0.56","3.13","0.0","0.0","0.0","0.0","36.82","72.7","347.32","173.66","310.5","274.62","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","2571.0","0.21","0.58","0.0","5.5","0.58","3.18","0.0","0.0","0.0","0.0","40.01","72.7","347.32","173.66","307.31","274.62","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","2571.0","0.21","0.6","0.0","5.52","0.6","3.33","0.0","0.0","0.0","0.0","43.34","72.7","347.32","173.66","303.98","274.62","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","2571.0","0.2","0.63","0.0","5.56","0.63","3.48","0.0","0.0","0.0","0.0","46.82","72.7","347.32","173.66","300.5","274.62","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","2571.0","0.2","0.65","0.0","5.44","0.65","3.54","0.0","0.0","0.0","0.0","50.35","72.7","347.32","173.66","296.97","274.62","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","2571.0","0.2","0.67","0.0","6.1","0.67","4.11","0.0","0.0","0.0","0.0","54.46","72.7","347.32","173.66","292.86","274.62","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","2571.0","0.19","0.7","0.0","6.43","0.7","4.48","0.0","0.0","0.0","0.0","58.95","72.7","347.32","173.66","288.37","274.62","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","2571.0","0.19","0.72","0.0","5.4","0.72","3.89","0.0","0.0","0.0","0.0","62.84","72.7","347.32","173.66","284.48","274.62","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","2571.0","0.19","0.74","0.0","5.46","0.74","4.07","0.0","0.0","0.0","0.0","66.91","72.7","347.32","173.66","280.41","274.62","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","2571.0","0.18","0.77","0.0","5.75","0.77","4.42","0.0","0.0","0.0","0.0","71.33","72.7","347.32","173.66","275.99","274.62","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","2571.0","0.18","0.79","0.0","5.49","0.79","4.35","0.0","0.0","0.0","0.0","0.0","72.7","347.32","173.66","347.32","274.62","75.67","","","","","","","","",""
"2015.0","6.0","4.0","155.0","2571.0","0.18","0.82","0.0","5.89","0.82","4.81","0.0","0.0","0.0","0.0","4.81","72.7","347.32","173.66","342.52","274.62","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","2571.0","0.18","0.84","0.0","6.77","0.84","5.68","0.0","0.0","0.0","0.0","10.49","72.7","347.32","173.66","336.83","274.62","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","2571.0","0.17","0.86","0.0","6.34","0.86","5.47","0.0","0.0","0.0","0.0","15.96","72.7","347.32","173.66","331.36","274.62","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","2571.0","0.17","0.89","0.0","6.9","0.89","6.12","0.0","0.0","0.0","0.0","22.08","72.7","347.32","173.66","325.24","274.62","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","2571.0","0.17","0.91","0.0","7.39","0.91","6.73","0.0","0.0","0.0","0.0","28.81","72.7","347.32","173.66","318.51","274.62","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","2571.0","0.17","0.93","0.0","7.03","0.93","6.57","0.0","0.0","0.0","0.0","35.38","72.7","347.32","173.66","311.94","274.62","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","2571.0","0.17","0.96","0.0","2.7","0.96","2.59","0.02","0.02","0.0","0.0","37.94","72.7","347.32","173.66","309.38","274.62","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","2571.0","0.16","0.98","0.0","7.01","0.98","6.88","2.18","2.18","0.0","0.0","42.64","72.7","347.32","173.66","304.68","274.62","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","2571.0","0.16","1.01","0.0","7.89","1.01","7.93","0.0","0.0","0.0","0.0","50.57","72.7","347.32","173.66","296.75","274.62","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","2571.0","0.16","1.03","0.0","7.55","1.03","7.77","0.0","0.0","0.0","0.0","58.34","72.7","347.32","173.66","288.98","274.62","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","2571.0","0.16","1.05","0.0","6.8","1.05","7.16","0.0","0.0","0.0","0.0","65.5","72.7","347.32","173.66","281.82","274.62","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","2571.0","0.15","1.08","0.0","6.62","1.08","7.13","0.0","0.0","0.0","0.0","72.63","72.7","347.32","173.66","274.69","274.62","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","2571.0","0.15","1.1","0.0","6.96","1.1","7.66","0.51","0.51","0.0","0.0","0.0","72.7","347.32","173.66","347.32","274.62","79.77","","","","","","","","",""
"2015.0","6.0","17.0","168.0","2571.0","0.15","1.1","0.0","6.97","1.1","7.67","0.0","0.0","0.0","0.0","7.67","72.7","347.32","173.66","339.65","274.62","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","2571.0","0.15","1.1","0.0","7.62","1.1","8.38","0.0","0.0","0.0","0.0","16.05","72.7","347.32","173.66","331.27","274.62","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","2571.0","0.15","1.1","0.0","7.42","1.1","8.16","0.0","0.0","0.0","0.0","24.21","72.7","347.32","173.66","323.11","274.62","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","2571.0","0.14","1.1","0.0","7.06","1.1","7.77","0.0","0.0","0.0","0.0","31.98","72.7","347.32","173.66","315.34","274.62","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","2571.0","0.14","1.1","0.0","7.62","1.1","8.38","0.0","0.0","0.0","0.0","40.36","72.7","347.32","173.66","306.96","274.62","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","2571.0","0.14","1.1","0.0","6.99","1.1","7.69","0.0","0.0","0.0","0.0","48.05","72.7","347.32","173.66","299.27","274.62","0.0","","","","","","","","",""
"2015.0","6.0","23.0","174.0","2571.0","0.14","1.1","0.0","7.4","1.1","8.14","0.0","0.0","0.0","0.0","56.19","72.7","347.32","173.66","291.13","274.62","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","2571.0","0.14","1.1","0.0","7.41","1.1","8.15","0.0","0.0","0.0","0.0","64.34","72.7","347.32","173.66","282.98","274.62","0.0","","","","","","","","",""
