" Daily soil water balance output for Corn in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Corn in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","2.0","8.0","39.0","4923.0","1.17","0.0","0.0","1.3","1.17","1.52","4.76","3.83","0.0","0.0","0.0","28.8","409.65","204.83","409.65","380.85","0.0","","","","","","","","",""
"2015.0","2.0","9.0","40.0","4923.0","1.14","0.0","0.0","2.0","1.14","2.28","20.3","2.28","0.0","0.0","0.0","28.8","409.65","204.83","409.65","380.85","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","4923.0","1.14","0.0","0.0","1.82","1.14","2.08","0.0","0.0","0.0","0.0","2.08","28.8","409.65","204.83","407.57","380.85","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","4923.0","1.15","0.0","0.0","1.61","1.15","1.85","0.0","0.0","0.0","0.0","3.93","28.8","409.65","204.83","405.72","380.85","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","4923.0","1.02","0.0","0.0","1.97","1.02","2.02","0.0","0.0","0.0","0.0","5.94","28.8","409.65","204.83","403.71","380.85","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","4923.0","0.91","0.0","0.0","2.0","0.91","1.81","0.0","0.0","0.0","0.0","7.76","28.8","409.65","204.83","401.89","380.85","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","4923.0","0.82","0.0","0.0","2.16","0.82","1.77","0.0","0.0","0.0","0.0","9.53","28.8","409.65","204.83","400.13","380.85","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","4923.0","0.75","0.0","0.0","2.09","0.75","1.57","0.0","0.0","0.0","0.0","11.1","28.8","409.65","204.83","398.55","380.85","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","4923.0","0.7","0.0","0.0","2.19","0.7","1.53","0.0","0.0","0.0","0.0","12.63","28.8","409.65","204.83","397.03","380.85","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","4923.0","0.66","0.0","0.0","1.85","0.66","1.22","0.0","0.0","0.0","0.0","13.85","28.8","409.65","204.83","395.8","380.85","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","4923.0","0.63","0.0","0.0","1.58","0.63","1.0","0.0","0.0","0.0","0.0","14.85","28.8","409.65","204.83","394.8","380.85","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","4923.0","0.62","0.0","0.0","1.04","0.62","0.64","0.0","0.0","0.0","0.0","15.49","28.8","409.65","204.83","394.16","380.85","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","4923.0","0.59","0.0","0.0","2.0","0.59","1.18","0.0","0.0","0.0","0.0","16.67","28.8","409.65","204.83","392.98","380.85","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","4923.0","0.57","0.0","0.0","1.73","0.57","0.98","0.0","0.0","0.0","0.0","17.65","28.8","409.65","204.83","392.0","380.85","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","4923.0","0.53","0.0","0.0","3.63","0.53","1.92","0.0","0.0","0.0","0.0","19.57","28.8","409.65","204.83","390.08","380.85","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","4923.0","0.49","0.0","0.0","4.25","0.49","2.08","0.0","0.0","0.0","0.0","21.65","28.8","409.65","204.83","388.0","380.85","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","4923.0","0.47","0.0","0.0","2.81","0.47","1.32","0.0","0.0","0.0","0.0","22.97","28.8","409.65","204.83","386.68","380.85","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","4923.0","0.46","0.0","0.0","2.18","0.46","0.99","0.0","0.0","0.0","0.0","23.96","28.8","409.65","204.83","385.69","380.85","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","4923.0","0.44","0.0","0.0","3.03","0.44","1.33","0.0","0.0","0.0","0.0","25.29","28.8","409.65","204.83","384.36","380.85","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","4923.0","0.42","0.0","0.0","2.87","0.42","1.21","0.0","0.0","0.0","0.0","26.5","28.8","409.65","204.83","383.15","380.85","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","4923.0","0.41","0.0","0.0","2.01","0.41","0.83","0.0","0.0","0.0","0.0","27.33","28.8","409.65","204.83","382.32","380.85","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","4923.0","0.4","0.0","0.0","2.65","0.4","1.06","0.0","0.0","0.0","0.0","28.39","28.8","409.65","204.83","381.26","380.85","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","4923.0","0.39","0.0","0.0","2.24","0.39","0.88","0.0","0.0","0.0","0.0","29.27","28.8","409.65","204.83","380.38","380.85","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","4923.0","1.12","0.0","0.0","2.55","1.12","2.85","3.36","3.36","0.0","0.0","25.91","28.8","409.65","204.83","383.74","380.85","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","4923.0","1.12","0.0","0.0","2.6","1.12","2.9","0.0","0.0","0.0","0.0","28.82","28.8","409.65","204.83","380.84","380.85","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","4923.0","0.97","0.0","0.0","2.79","0.97","2.72","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","4923.0","0.83","0.0","0.0","2.99","0.83","2.48","0.0","0.0","0.0","0.0","31.28","28.8","409.65","204.83","378.37","380.85","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","4923.0","0.74","0.0","0.0","2.81","0.74","2.08","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","4923.0","0.67","0.0","0.0","2.94","0.67","1.97","0.0","0.0","0.0","0.0","30.77","28.8","409.65","204.83","378.88","380.85","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","4923.0","0.62","0.0","0.0","2.98","0.62","1.84","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","4923.0","0.58","0.0","0.0","2.3","0.58","1.34","0.0","0.0","0.0","0.0","30.14","28.8","409.65","204.83","379.51","380.85","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","4923.0","0.56","0.0","0.0","2.11","0.56","1.18","0.83","0.83","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","4923.0","1.08","0.0","0.0","3.41","1.08","3.7","4.58","4.58","0.0","0.0","27.92","28.8","409.65","204.83","381.74","380.85","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","4923.0","1.07","0.0","0.0","3.03","1.07","3.24","0.0","0.0","0.0","0.0","31.16","28.8","409.65","204.83","378.49","380.85","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","4923.0","0.87","0.0","0.0","3.23","0.87","2.82","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","4923.0","0.74","0.0","0.0","3.74","0.74","2.77","0.0","0.0","0.0","0.0","31.57","28.8","409.65","204.83","378.08","380.85","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","4923.0","0.68","0.0","0.0","2.43","0.68","1.66","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","4923.0","0.62","0.0","0.0","3.53","0.62","2.18","0.0","0.0","0.0","0.0","30.98","28.8","409.65","204.83","378.67","380.85","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","4923.0","0.56","0.0","0.0","3.85","0.56","2.17","0.01","0.01","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","4923.0","0.52","0.0","0.0","3.88","0.52","2.02","0.0","0.0","0.0","0.0","30.82","28.8","409.65","204.83","378.83","380.85","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","4923.0","0.49","0.0","0.0","3.07","0.49","1.51","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","4923.0","0.47","0.0","0.0","3.6","0.47","1.68","0.0","0.0","0.0","0.0","30.48","28.8","409.65","204.83","379.17","380.85","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","4923.0","0.44","0.0","0.0","3.31","0.44","1.47","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","4923.0","0.43","0.0","0.0","3.28","0.43","1.4","0.11","0.11","0.0","0.0","30.09","28.8","409.65","204.83","379.56","380.85","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","4923.0","0.41","0.0","0.0","3.19","0.41","1.31","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","4923.0","0.39","0.0","0.0","4.18","0.39","1.64","0.0","0.0","0.0","0.0","30.44","28.8","409.65","204.83","379.21","380.85","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","4923.0","0.38","0.0","0.0","3.88","0.38","1.46","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","4923.0","0.36","0.0","0.0","4.4","0.36","1.59","0.0","0.0","0.0","0.0","30.39","28.8","409.65","204.83","379.26","380.85","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","4923.0","0.35","0.0","0.0","4.93","0.35","1.7","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","4923.0","0.33","0.0","0.0","4.71","0.33","1.57","0.0","0.0","0.0","0.0","30.37","28.8","409.65","204.83","379.28","380.85","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","4923.0","0.32","0.0","0.0","4.49","0.32","1.44","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","4923.0","0.31","0.0","0.0","4.65","0.31","1.45","0.0","0.0","0.0","0.0","30.25","28.8","409.65","204.83","379.4","380.85","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","4923.0","0.3","0.0","0.0","4.22","0.3","1.28","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","4923.0","0.29","0.0","0.0","5.54","0.29","1.62","0.0","0.0","0.0","0.0","30.42","28.8","409.65","204.83","379.23","380.85","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","4923.0","0.28","0.0","0.0","4.6","0.28","1.31","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","4923.0","0.28","0.0","0.0","4.48","0.28","1.24","0.0","0.0","0.0","0.0","30.04","28.8","409.65","204.83","379.61","380.85","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","4923.0","0.27","0.0","0.0","2.56","0.27","0.7","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","4923.0","0.27","0.0","0.0","2.92","0.27","0.79","0.96","0.96","0.0","0.0","28.63","28.8","409.65","204.83","381.02","380.85","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","4923.0","1.12","0.0","0.0","2.53","1.12","2.83","4.05","4.05","0.0","0.0","27.41","28.8","409.65","204.83","382.24","380.85","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","4923.0","1.1","0.0","0.0","2.94","1.1","3.24","14.39","14.39","0.0","0.0","16.26","28.8","409.65","204.83","393.39","380.85","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","4923.0","1.07","0.0","0.0","3.48","1.07","3.73","0.0","0.0","0.0","0.0","19.99","28.8","409.65","204.83","389.66","380.85","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","4923.0","0.83","0.0","0.0","4.1","0.83","3.42","0.0","0.0","0.0","0.0","23.41","28.8","409.65","204.83","386.25","380.85","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","4923.0","0.7","0.0","0.0","4.26","0.7","2.98","0.0","0.0","0.0","0.0","26.39","28.8","409.65","204.83","383.26","380.85","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","4923.0","0.6","0.0","0.0","4.91","0.6","2.97","0.0","0.0","0.0","0.0","29.35","28.8","409.65","204.83","380.3","380.85","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","4923.0","0.54","0.0","0.0","4.91","0.54","2.64","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","4923.0","0.49","0.0","0.0","4.87","0.49","2.39","0.0","0.0","0.0","0.0","31.19","28.8","409.65","204.83","378.46","380.85","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","4923.0","0.44","0.0","0.0","6.58","0.44","2.91","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","4923.0","0.41","0.0","0.0","6.06","0.41","2.47","0.0","0.0","0.0","0.0","31.27","28.8","409.65","204.83","378.38","380.85","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","4923.0","0.38","0.0","0.0","5.29","0.38","2.03","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","4923.0","0.36","0.0","0.0","4.95","0.36","1.8","0.0","0.0","0.0","0.0","30.6","28.8","409.65","204.83","379.05","380.85","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","4923.0","0.35","0.0","0.0","5.18","0.35","1.8","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","4923.0","0.33","0.0","0.0","4.74","0.33","1.58","0.0","0.0","0.0","0.0","30.38","28.8","409.65","204.83","379.27","380.85","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","4923.0","0.32","0.0","0.0","3.79","0.32","1.23","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","4923.0","0.32","0.0","0.0","4.2","0.32","1.32","0.0","0.0","0.0","0.0","30.12","28.8","409.65","204.83","379.53","380.85","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","4923.0","0.31","0.0","0.0","4.75","0.31","1.45","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","4923.0","0.3","0.0","0.0","4.96","0.3","1.46","0.0","0.0","0.0","0.0","30.26","28.8","409.65","204.83","379.39","380.85","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","4923.0","1.06","0.0","0.0","3.96","1.06","4.2","11.93","11.93","0.0","0.0","18.33","28.8","409.65","204.83","391.32","380.85","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","4923.0","0.88","0.0","0.0","5.11","0.88","4.5","0.0","0.0","0.0","0.0","22.83","28.8","409.65","204.83","386.82","380.85","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","4923.0","0.67","0.0","0.0","6.12","0.67","4.12","0.0","0.0","0.0","0.0","26.95","28.8","409.65","204.83","382.7","380.85","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","4923.0","0.58","0.0","0.0","5.51","0.58","3.17","0.0","0.0","0.0","0.0","30.12","28.8","409.65","204.83","379.53","380.85","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","4923.0","0.51","0.0","0.0","5.26","0.51","2.7","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","4923.0","0.46","0.0","0.0","6.47","0.46","2.96","0.0","0.0","0.0","0.0","31.76","28.8","409.65","204.83","377.89","380.85","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","4923.0","0.42","0.2","0.0","6.45","0.42","2.69","0.0","0.0","0.0","0.0","34.45","81.41","409.65","204.83","375.21","328.24","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","4923.0","0.39","0.2","0.0","5.94","0.39","2.3","0.0","0.0","0.0","0.0","36.75","81.41","409.65","204.83","372.9","328.24","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","4923.0","0.37","0.2","0.0","5.17","0.37","1.9","0.0","0.0","0.0","0.0","38.65","81.41","409.65","204.83","371.0","328.24","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","4923.0","0.35","0.2","0.0","4.74","0.35","1.67","0.0","0.0","0.0","0.0","40.31","81.41","409.65","204.83","369.34","328.24","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","4923.0","0.34","0.2","0.0","4.79","0.34","1.62","0.0","0.0","0.0","0.0","41.93","81.41","409.65","204.83","367.72","328.24","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","4923.0","0.32","0.2","0.0","5.2","0.32","1.68","0.0","0.0","0.0","0.0","43.62","81.41","409.65","204.83","366.04","328.24","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","4923.0","0.32","0.2","0.0","3.82","0.32","1.21","0.5","0.5","0.0","0.0","44.32","81.41","409.65","204.83","365.33","328.24","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","4923.0","0.31","0.2","0.0","4.45","0.31","1.36","0.01","0.01","0.0","0.0","45.67","81.41","409.65","204.83","363.98","328.24","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","4923.0","0.3","0.2","0.0","4.99","0.3","1.48","0.0","0.0","0.0","0.0","47.15","81.41","409.65","204.83","362.5","328.24","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","4923.0","0.29","0.2","0.0","5.12","0.29","1.47","0.0","0.0","0.0","0.0","48.62","81.41","409.65","204.83","361.03","328.24","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","4923.0","0.28","0.2","0.0","5.11","0.28","1.42","0.0","0.0","0.0","0.0","50.04","81.41","409.65","204.83","359.61","328.24","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","4923.0","0.27","0.2","0.0","5.01","0.27","1.36","0.0","0.0","0.0","0.0","51.4","81.41","409.65","204.83","358.25","328.24","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","4923.0","0.26","0.2","0.0","4.72","0.26","1.25","0.0","0.0","0.0","0.0","52.65","81.41","409.65","204.83","357.0","328.24","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","4923.0","0.26","0.2","0.0","3.63","0.26","0.94","0.0","0.0","0.0","0.0","53.59","81.41","409.65","204.83","356.06","328.24","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","4923.0","0.25","0.2","0.0","4.7","0.25","1.2","0.06","0.06","0.0","0.0","54.73","81.41","409.65","204.83","354.92","328.24","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","4923.0","0.25","0.2","0.0","4.79","0.25","1.19","0.0","0.0","0.0","0.0","55.92","81.41","409.65","204.83","353.73","328.24","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","4923.0","0.24","0.2","0.0","3.87","0.24","0.95","0.0","0.0","0.0","0.0","56.87","81.41","409.65","204.83","352.78","328.24","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","4923.0","0.24","0.2","0.0","4.77","0.24","1.15","0.0","0.0","0.0","0.0","58.02","81.41","409.65","204.83","351.64","328.24","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","4923.0","0.24","0.2","0.0","4.98","0.24","1.17","0.0","0.0","0.0","0.0","59.19","81.41","409.65","204.83","350.46","328.24","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","4923.0","0.23","0.2","0.0","4.89","0.23","1.13","0.0","0.0","0.0","0.0","60.31","81.41","409.65","204.83","349.34","328.24","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","4923.0","0.23","0.2","0.0","4.59","0.23","1.04","0.0","0.0","0.0","0.0","61.36","81.41","409.65","204.83","348.3","328.24","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","4923.0","0.22","0.2","0.0","4.9","0.22","1.09","0.0","0.0","0.0","0.0","62.45","81.41","409.65","204.83","347.2","328.24","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","4923.0","0.22","0.2","0.0","4.73","0.22","1.04","0.0","0.0","0.0","0.0","63.48","81.41","409.65","204.83","346.17","328.24","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","4923.0","0.21","0.2","0.0","5.57","0.21","1.2","0.0","0.0","0.0","0.0","64.68","81.41","409.65","204.83","344.97","328.24","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","4923.0","0.21","0.2","0.0","5.38","0.21","1.14","0.0","0.0","0.0","0.0","65.82","81.41","409.65","204.83","343.83","328.24","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","4923.0","0.21","0.2","0.0","5.42","0.21","1.12","0.0","0.0","0.0","0.0","66.94","81.41","409.65","204.83","342.71","328.24","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","4923.0","0.2","0.23","0.0","5.47","0.23","1.25","0.0","0.0","0.0","0.0","68.19","81.41","409.65","204.83","341.46","328.24","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","4923.0","0.2","0.26","0.0","5.36","0.26","1.38","0.0","0.0","0.0","0.0","69.57","81.41","409.65","204.83","340.08","328.24","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","4923.0","0.2","0.29","0.0","5.96","0.29","1.7","0.0","0.0","0.0","0.0","71.27","81.41","409.65","204.83","338.39","328.24","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","4923.0","0.19","0.31","0.0","6.29","0.31","1.97","0.0","0.0","0.0","0.0","73.24","81.41","409.65","204.83","336.41","328.24","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","4923.0","0.19","0.34","0.0","5.29","0.34","1.81","0.0","0.0","0.0","0.0","75.04","81.41","409.65","204.83","334.61","328.24","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","4923.0","0.19","0.37","0.0","5.34","0.37","1.98","0.0","0.0","0.0","0.0","77.02","81.41","409.65","204.83","332.63","328.24","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","4923.0","0.19","0.4","0.0","5.63","0.4","2.24","0.0","0.0","0.0","0.0","79.26","81.41","409.65","204.83","330.39","328.24","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","4923.0","0.18","0.43","0.0","5.42","0.43","2.31","0.0","0.0","0.0","0.0","0.0","81.41","409.65","204.83","409.65","328.24","81.57","","","","","","","","",""
"2015.0","6.0","4.0","155.0","4923.0","0.18","0.46","0.0","5.87","0.46","2.67","0.0","0.0","0.0","0.0","2.67","81.41","409.65","204.83","406.98","328.24","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","4923.0","0.18","0.48","0.0","6.78","0.48","3.28","0.0","0.0","0.0","0.0","5.95","81.41","409.65","204.83","403.7","328.24","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","4923.0","0.17","0.51","0.0","6.33","0.51","3.24","0.0","0.0","0.0","0.0","9.19","81.41","409.65","204.83","400.46","328.24","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","4923.0","0.17","0.54","0.0","6.88","0.54","3.72","0.0","0.0","0.0","0.0","12.9","81.41","409.65","204.83","396.75","328.24","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","4923.0","0.17","0.57","0.0","7.31","0.57","4.15","0.0","0.0","0.0","0.0","17.06","81.41","409.65","204.83","392.59","328.24","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","4923.0","0.17","0.6","0.0","6.91","0.6","4.12","0.0","0.0","0.0","0.0","21.18","81.41","409.65","204.83","388.47","328.24","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","4923.0","0.17","0.63","0.0","2.53","0.63","1.58","0.32","0.32","0.0","0.0","22.44","81.41","409.65","204.83","387.21","328.24","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","4923.0","0.16","0.65","0.0","7.0","0.65","4.57","1.59","1.59","0.0","0.0","25.42","81.41","409.65","204.83","384.23","328.24","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","4923.0","0.16","0.68","0.0","7.84","0.68","5.34","0.0","0.0","0.0","0.0","30.77","81.41","409.65","204.83","378.88","328.24","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","4923.0","0.16","0.71","0.0","7.39","0.71","5.25","0.0","0.0","0.0","0.0","36.02","81.41","409.65","204.83","373.64","328.24","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","4923.0","0.16","0.74","0.0","6.62","0.74","4.89","0.0","0.0","0.0","0.0","40.9","81.41","409.65","204.83","368.75","328.24","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","4923.0","0.15","0.77","0.0","6.43","0.77","4.93","0.0","0.0","0.0","0.0","45.83","81.41","409.65","204.83","363.82","328.24","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","4923.0","0.15","0.8","0.0","6.82","0.8","5.42","0.02","0.02","0.0","0.0","51.23","81.41","409.65","204.83","358.42","328.24","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","4923.0","0.15","0.82","0.0","6.84","0.82","5.63","0.0","0.0","0.0","0.0","56.87","81.41","409.65","204.83","352.79","328.24","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","4923.0","0.15","0.85","0.0","7.46","0.85","6.35","0.0","0.0","0.0","0.0","63.22","81.41","409.65","204.83","346.43","328.24","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","4923.0","0.15","0.88","0.0","7.3","0.88","6.42","0.0","0.0","0.0","0.0","69.64","81.41","409.65","204.83","340.01","328.24","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","4923.0","0.15","0.91","0.0","6.95","0.91","6.31","0.0","0.0","0.0","0.0","75.96","81.41","409.65","204.83","333.69","328.24","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","4923.0","0.14","0.94","0.0","7.44","0.94","6.97","0.0","0.0","0.0","0.0","0.0","81.41","409.65","204.83","409.65","328.24","82.93","","","","","","","","",""
"2015.0","6.0","22.0","173.0","4923.0","0.14","0.97","0.0","6.8","0.97","6.56","0.0","0.0","0.0","0.0","6.56","81.41","409.65","204.83","403.09","328.24","0.0","","","","","","","","",""
"2015.0","6.0","23.0","174.0","4923.0","0.14","0.99","0.0","7.3","0.99","7.25","0.0","0.0","0.0","0.0","13.81","81.41","409.65","204.83","395.84","328.24","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","4923.0","0.14","1.02","0.0","7.32","1.02","7.48","0.0","0.0","0.0","0.0","21.29","81.41","409.65","204.83","388.36","328.24","0.0","","","","","","","","",""
