" Daily soil water balance output for Safflower in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Safflower in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"2015.0","2.0","9.0","40.0","34.0","1.14","0.0","0.0","2.07","1.14","2.35","11.18","2.35","0.0","0.0","0.0","28.05","569.98","284.99","569.98","541.93","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","34.0","1.14","0.0","0.0","1.86","1.14","2.12","0.0","0.0","0.0","0.0","2.12","28.05","569.98","284.99","567.85","541.93","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","34.0","1.15","0.0","0.0","1.69","1.15","1.94","0.0","0.0","0.0","0.0","4.06","28.05","569.98","284.99","565.92","541.93","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","34.0","1.01","0.0","0.0","2.01","1.01","2.02","0.0","0.0","0.0","0.0","6.08","28.05","569.98","284.99","563.89","541.93","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","34.0","0.89","0.0","0.0","2.06","0.89","1.84","0.0","0.0","0.0","0.0","7.92","28.05","569.98","284.99","562.06","541.93","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","34.0","0.81","0.0","0.0","2.19","0.81","1.76","0.0","0.0","0.0","0.0","9.69","28.05","569.98","284.99","560.29","541.93","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","34.0","0.74","0.0","0.0","2.1","0.74","1.56","0.0","0.0","0.0","0.0","11.24","28.05","569.98","284.99","558.73","541.93","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","34.0","0.69","0.0","0.0","2.08","0.69","1.44","0.0","0.0","0.0","0.0","12.68","28.05","569.98","284.99","557.29","541.93","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","34.0","0.66","0.0","0.0","1.79","0.66","1.18","0.0","0.0","0.0","0.0","13.86","28.05","569.98","284.99","556.11","541.93","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","34.0","0.63","0.0","0.0","1.77","0.63","1.11","0.0","0.0","0.0","0.0","14.97","28.05","569.98","284.99","555.0","541.93","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","34.0","0.61","0.0","0.0","1.04","0.61","0.64","0.0","0.0","0.0","0.0","15.61","28.05","569.98","284.99","554.37","541.93","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","34.0","0.59","0.0","0.0","1.91","0.59","1.12","0.0","0.0","0.0","0.0","16.73","28.05","569.98","284.99","553.25","541.93","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","34.0","0.56","0.0","0.0","1.73","0.56","0.98","0.0","0.0","0.0","0.0","17.7","28.05","569.98","284.99","552.27","541.93","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","34.0","0.53","0.0","0.0","3.17","0.53","1.68","0.0","0.0","0.0","0.0","19.38","28.05","569.98","284.99","550.59","541.93","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","34.0","0.5","0.0","0.0","3.74","0.5","1.86","0.0","0.0","0.0","0.0","21.24","28.05","569.98","284.99","548.74","541.93","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","34.0","0.48","0.0","0.0","2.72","0.48","1.29","0.0","0.0","0.0","0.0","22.53","28.05","569.98","284.99","547.44","541.93","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","34.0","0.46","0.0","0.0","2.16","0.46","1.0","0.0","0.0","0.0","0.0","23.53","28.05","569.98","284.99","546.45","541.93","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","34.0","0.44","0.0","0.0","2.91","0.44","1.29","0.0","0.0","0.0","0.0","24.82","28.05","569.98","284.99","545.16","541.93","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","34.0","0.43","0.0","0.0","2.89","0.43","1.24","0.0","0.0","0.0","0.0","26.05","28.05","569.98","284.99","543.92","541.93","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","34.0","0.42","0.0","0.0","2.1","0.42","0.88","0.0","0.0","0.0","0.0","26.93","28.05","569.98","284.99","543.05","541.93","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","34.0","0.41","0.0","0.0","2.54","0.41","1.03","0.0","0.0","0.0","0.0","27.96","28.05","569.98","284.99","542.02","541.93","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","34.0","0.4","0.0","0.0","2.2","0.4","0.87","0.0","0.0","0.0","0.0","28.83","28.05","569.98","284.99","541.15","541.93","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","34.0","0.39","0.0","0.0","2.5","0.39","0.97","0.31","0.31","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","34.0","0.38","0.0","0.0","2.61","0.38","0.98","0.0","0.0","0.0","0.0","29.03","28.05","569.98","284.99","540.94","541.93","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","34.0","0.37","0.0","0.0","2.81","0.37","1.03","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","34.0","0.36","0.0","0.0","2.99","0.36","1.07","0.0","0.0","0.0","0.0","29.12","28.05","569.98","284.99","540.86","541.93","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","34.0","0.35","0.0","0.0","2.86","0.35","1.0","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","34.0","0.34","0.0","0.0","2.91","0.34","0.99","0.0","0.0","0.0","0.0","29.04","28.05","569.98","284.99","540.93","541.93","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","34.0","0.33","0.0","0.0","2.86","0.33","0.95","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","34.0","0.33","0.0","0.0","2.39","0.33","0.78","0.0","0.0","0.0","0.0","28.83","28.05","569.98","284.99","541.14","541.93","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","34.0","1.13","0.0","0.0","2.24","1.13","2.53","2.67","2.67","0.0","0.0","26.16","28.05","569.98","284.99","543.81","541.93","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","34.0","1.11","0.0","0.0","3.32","1.11","3.68","2.08","2.08","0.0","0.0","27.77","28.05","569.98","284.99","542.21","541.93","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","34.0","0.93","0.0","0.0","3.03","0.93","2.83","0.0","0.0","0.0","0.0","30.59","28.05","569.98","284.99","539.38","541.93","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","34.0","0.79","0.0","0.0","3.33","0.79","2.63","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","34.0","0.69","0.0","0.0","3.77","0.69","2.59","0.0","0.0","0.0","0.0","30.64","28.05","569.98","284.99","539.34","541.93","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","34.0","0.64","0.0","0.0","2.61","0.64","1.66","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","34.0","0.58","0.0","0.0","3.59","0.58","2.09","0.0","0.0","0.0","0.0","30.14","28.05","569.98","284.99","539.84","541.93","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","34.0","0.54","0.0","0.0","3.75","0.54","2.01","1.28","1.28","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","34.0","0.5","0.0","0.0","3.78","0.5","1.89","0.0","0.0","0.0","0.0","29.94","28.05","569.98","284.99","540.03","541.93","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","34.0","0.48","0.0","0.0","3.08","0.48","1.47","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","34.0","0.45","0.0","0.0","3.5","0.45","1.58","0.0","0.0","0.0","0.0","29.63","28.05","569.98","284.99","540.34","541.93","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","34.0","0.43","0.0","0.0","3.12","0.43","1.35","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","34.0","0.42","0.0","0.0","3.08","0.42","1.29","0.53","0.53","0.0","0.0","28.81","28.05","569.98","284.99","541.17","541.93","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","34.0","0.4","0.0","0.0","3.33","0.4","1.34","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","34.0","0.39","0.0","0.0","4.06","0.39","1.56","0.0","0.0","0.0","0.0","29.61","28.05","569.98","284.99","540.36","541.93","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","34.0","0.37","0.0","0.0","3.9","0.37","1.45","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","34.0","0.36","0.0","0.0","4.27","0.36","1.52","0.0","0.0","0.0","0.0","29.57","28.05","569.98","284.99","540.41","541.93","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","34.0","0.34","0.0","0.0","4.84","0.34","1.65","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","34.0","0.33","0.0","0.0","4.63","0.33","1.52","0.0","0.0","0.0","0.0","29.57","28.05","569.98","284.99","540.4","541.93","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","34.0","0.32","0.0","0.0","4.42","0.32","1.41","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","34.0","0.31","0.0","0.0","4.62","0.31","1.43","0.0","0.0","0.0","0.0","29.48","28.05","569.98","284.99","540.5","541.93","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","34.0","0.3","0.0","0.0","4.12","0.3","1.24","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","34.0","0.29","0.0","0.0","5.35","0.29","1.55","0.0","0.0","0.0","0.0","29.6","28.05","569.98","284.99","540.37","541.93","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","34.0","0.28","0.0","0.0","4.55","0.28","1.29","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","34.0","0.28","0.0","0.0","4.42","0.28","1.22","0.0","0.0","0.0","0.0","29.27","28.05","569.98","284.99","540.71","541.93","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","34.0","0.27","0.0","0.0","2.61","0.27","0.71","0.65","0.65","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","34.0","1.1","0.0","0.0","2.92","1.1","3.22","4.82","4.82","0.0","0.0","26.45","28.05","569.98","284.99","543.52","541.93","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","34.0","1.11","0.0","0.0","2.82","1.11","3.12","3.41","3.41","0.0","0.0","26.16","28.05","569.98","284.99","543.81","541.93","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","34.0","1.1","0.0","0.0","3.06","1.1","3.36","6.61","6.61","0.0","0.0","22.91","28.05","569.98","284.99","547.06","541.93","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","34.0","1.06","0.0","0.0","3.49","1.06","3.7","0.0","0.0","0.0","0.0","26.61","28.05","569.98","284.99","543.36","541.93","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","34.0","0.83","0.0","0.0","4.07","0.83","3.37","0.0","0.0","0.0","0.0","29.98","28.05","569.98","284.99","539.99","541.93","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","34.0","0.7","0.0","0.0","4.2","0.7","2.94","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","34.0","0.61","0.0","0.0","4.8","0.61","2.9","0.0","0.0","0.0","0.0","30.95","28.05","569.98","284.99","539.02","541.93","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","34.0","0.54","0.0","0.0","4.68","0.54","2.54","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","34.0","0.49","0.0","0.0","4.89","0.49","2.42","0.0","0.0","0.0","0.0","30.47","28.05","569.98","284.99","539.51","541.93","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","34.0","0.45","0.0","0.0","6.17","0.45","2.76","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","34.0","0.41","0.0","0.0","5.75","0.41","2.37","0.0","0.0","0.0","0.0","30.42","28.05","569.98","284.99","539.55","541.93","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","34.0","0.39","0.0","0.0","5.26","0.39","2.04","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","34.0","0.37","0.0","0.0","4.83","0.37","1.78","0.0","0.0","0.0","0.0","29.83","28.05","569.98","284.99","540.14","541.93","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","34.0","0.35","0.0","0.0","4.94","0.35","1.74","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","34.0","0.34","0.0","0.0","4.55","0.34","1.54","0.0","0.0","0.0","0.0","29.59","28.05","569.98","284.99","540.38","541.93","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","34.0","0.33","0.0","0.0","3.69","0.33","1.22","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","34.0","0.32","0.0","0.0","4.06","0.32","1.3","0.0","0.0","0.0","0.0","29.35","28.05","569.98","284.99","540.63","541.93","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","34.0","0.31","0.0","0.0","4.61","0.31","1.43","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","34.0","0.3","0.0","0.0","4.98","0.3","1.49","0.0","0.0","0.0","0.0","29.54","28.05","569.98","284.99","540.43","541.93","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","34.0","1.06","0.0","0.0","3.96","1.06","4.2","7.89","7.89","0.0","0.0","21.65","28.05","569.98","284.99","548.32","541.93","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","34.0","0.88","0.0","0.0","5.06","0.88","4.47","0.0","0.0","0.0","0.0","26.12","28.05","569.98","284.99","543.86","541.93","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","34.0","0.68","0.0","0.0","5.85","0.68","3.99","0.0","0.0","0.0","0.0","30.11","28.05","569.98","284.99","539.87","541.93","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","34.0","0.58","0.0","0.0","5.37","0.58","3.13","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","34.0","0.52","0.0","0.0","5.19","0.52","2.7","0.0","0.0","0.0","0.0","30.75","28.05","569.98","284.99","539.23","541.93","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","34.0","0.46","0.0","0.0","6.36","0.46","2.94","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","34.0","0.42","0.2","0.0","6.3","0.42","2.66","0.0","0.0","0.0","0.0","30.71","104.61","569.98","284.99","539.27","465.37","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","34.0","0.39","0.2","0.0","5.65","0.39","2.22","0.0","0.0","0.0","0.0","32.93","104.61","569.98","284.99","537.05","465.37","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","34.0","0.37","0.2","0.0","4.95","0.37","1.85","0.0","0.0","0.0","0.0","34.78","104.61","569.98","284.99","535.2","465.37","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","34.0","0.36","0.2","0.0","4.62","0.36","1.65","0.0","0.0","0.0","0.0","36.43","104.61","569.98","284.99","533.55","465.37","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","34.0","0.34","0.2","0.0","4.71","0.34","1.61","0.0","0.0","0.0","0.0","38.04","104.61","569.98","284.99","531.93","465.37","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","34.0","0.33","0.2","0.0","4.99","0.33","1.64","0.0","0.0","0.0","0.0","39.69","104.61","569.98","284.99","530.29","465.37","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","34.0","0.32","0.2","0.0","3.32","0.32","1.07","0.0","0.0","0.0","0.0","40.75","104.61","569.98","284.99","529.22","465.37","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","34.0","0.31","0.2","0.0","4.33","0.31","1.35","0.3","0.3","0.0","0.0","41.81","104.61","569.98","284.99","528.17","465.37","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","34.0","0.3","0.2","0.0","4.75","0.3","1.44","0.0","0.0","0.0","0.0","43.24","104.61","569.98","284.99","526.74","465.37","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","34.0","0.29","0.2","0.0","4.97","0.29","1.45","0.0","0.0","0.0","0.0","44.7","104.61","569.98","284.99","525.28","465.37","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","34.0","0.28","0.2","0.0","4.98","0.28","1.41","0.0","0.0","0.0","0.0","46.11","104.61","569.98","284.99","523.87","465.37","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","34.0","0.28","0.2","0.0","4.94","0.28","1.36","0.0","0.0","0.0","0.0","47.48","104.61","569.98","284.99","522.5","465.37","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","34.0","0.27","0.2","0.0","4.64","0.27","1.25","0.0","0.0","0.0","0.0","48.73","104.61","569.98","284.99","521.25","465.37","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","34.0","0.27","0.2","0.0","3.04","0.27","0.81","0.0","0.0","0.0","0.0","49.53","104.61","569.98","284.99","520.44","465.37","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","34.0","0.26","0.2","0.0","4.56","0.26","1.19","3.66","3.66","0.0","0.0","47.06","104.61","569.98","284.99","522.92","465.37","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","34.0","0.25","0.2","0.0","4.67","0.25","1.19","0.0","0.0","0.0","0.0","48.25","104.61","569.98","284.99","521.73","465.37","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","34.0","0.25","0.2","0.0","3.98","0.25","0.99","0.0","0.0","0.0","0.0","49.24","104.61","569.98","284.99","520.74","465.37","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","34.0","0.24","0.2","0.0","4.71","0.24","1.15","0.0","0.0","0.0","0.0","50.39","104.61","569.98","284.99","519.58","465.37","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","34.0","0.24","0.2","0.0","4.89","0.24","1.17","0.0","0.0","0.0","0.0","51.57","104.61","569.98","284.99","518.41","465.37","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","34.0","0.24","0.2","0.0","4.74","0.24","1.11","0.0","0.0","0.0","0.0","52.68","104.61","569.98","284.99","517.3","465.37","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","34.0","0.23","0.2","0.0","4.02","0.23","0.93","0.0","0.0","0.0","0.0","53.61","104.61","569.98","284.99","516.36","465.37","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","34.0","0.23","0.2","0.0","4.76","0.23","1.08","0.0","0.0","0.0","0.0","54.69","104.61","569.98","284.99","515.28","465.37","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","34.0","0.22","0.23","0.0","4.73","0.23","1.06","0.0","0.0","0.0","0.0","55.76","104.61","569.98","284.99","514.22","465.37","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","34.0","0.22","0.25","0.0","5.3","0.25","1.33","0.0","0.0","0.0","0.0","57.08","104.61","569.98","284.99","512.89","465.37","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","34.0","0.22","0.28","0.0","5.22","0.28","1.44","0.0","0.0","0.0","0.0","58.52","104.61","569.98","284.99","511.46","465.37","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","34.0","0.21","0.3","0.0","5.23","0.3","1.57","0.0","0.0","0.0","0.0","60.09","104.61","569.98","284.99","509.89","465.37","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","34.0","0.21","0.33","0.0","5.27","0.33","1.71","0.0","0.0","0.0","0.0","61.8","104.61","569.98","284.99","508.18","465.37","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","34.0","0.2","0.35","0.0","5.16","0.35","1.81","0.0","0.0","0.0","0.0","63.61","104.61","569.98","284.99","506.37","465.37","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","34.0","0.2","0.38","0.0","5.83","0.38","2.19","0.0","0.0","0.0","0.0","65.79","104.61","569.98","284.99","504.18","465.37","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","34.0","0.2","0.4","0.0","6.13","0.4","2.45","0.0","0.0","0.0","0.0","68.24","104.61","569.98","284.99","501.73","465.37","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","34.0","0.19","0.43","0.0","5.1","0.43","2.17","0.0","0.0","0.0","0.0","70.41","104.61","569.98","284.99","499.56","465.37","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","34.0","0.19","0.45","0.0","5.33","0.45","2.4","0.0","0.0","0.0","0.0","72.81","104.61","569.98","284.99","497.17","465.37","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","34.0","0.19","0.48","0.0","5.55","0.48","2.64","0.0","0.0","0.0","0.0","75.45","104.61","569.98","284.99","494.53","465.37","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","34.0","0.19","0.5","0.0","5.22","0.5","2.61","0.0","0.0","0.0","0.0","78.06","104.61","569.98","284.99","491.92","465.37","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","34.0","0.18","0.53","0.0","5.69","0.53","2.99","0.0","0.0","0.0","0.0","81.04","104.61","569.98","284.99","488.93","465.37","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","34.0","0.18","0.55","0.0","6.41","0.55","3.53","0.0","0.0","0.0","0.0","84.57","104.61","569.98","284.99","485.41","465.37","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","34.0","0.18","0.58","0.0","6.08","0.58","3.5","0.0","0.0","0.0","0.0","88.07","104.61","569.98","284.99","481.91","465.37","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","34.0","0.18","0.6","0.0","6.53","0.6","3.92","0.0","0.0","0.0","0.0","91.98","104.61","569.98","284.99","477.99","465.37","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","34.0","0.17","0.63","0.0","7.19","0.63","4.49","0.0","0.0","0.0","0.0","96.48","104.61","569.98","284.99","473.5","465.37","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","34.0","0.17","0.65","0.0","6.4","0.65","4.16","0.0","0.0","0.0","0.0","100.64","104.61","569.98","284.99","469.34","465.37","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","34.0","0.17","0.68","0.0","2.74","0.68","1.85","0.19","0.19","0.0","0.0","102.3","104.61","569.98","284.99","467.68","465.37","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","34.0","0.17","0.7","0.0","6.69","0.7","4.68","3.14","3.14","0.0","0.0","103.84","104.61","569.98","284.99","466.14","465.37","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","34.0","0.16","0.73","0.0","7.43","0.73","5.39","0.0","0.0","0.0","0.0","0.0","104.61","569.98","284.99","569.98","465.37","109.23","","","","","","","","",""
"2015.0","6.0","13.0","164.0","34.0","0.16","0.75","0.0","7.13","0.75","5.35","0.0","0.0","0.0","0.0","5.35","104.61","569.98","284.99","564.63","465.37","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","34.0","0.16","0.78","0.0","6.37","0.78","4.94","0.0","0.0","0.0","0.0","10.28","104.61","569.98","284.99","559.69","465.37","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","34.0","0.16","0.8","0.0","6.19","0.8","4.95","0.0","0.0","0.0","0.0","15.24","104.61","569.98","284.99","554.74","465.37","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","34.0","0.16","0.83","0.0","6.63","0.83","5.47","3.09","3.09","0.0","0.0","17.62","104.61","569.98","284.99","552.36","465.37","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","34.0","0.15","0.85","0.0","6.67","0.85","5.67","0.0","0.0","0.0","0.0","23.29","104.61","569.98","284.99","546.69","465.37","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","34.0","0.15","0.88","0.0","7.15","0.88","6.26","0.0","0.0","0.0","0.0","29.54","104.61","569.98","284.99","540.43","465.37","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","34.0","0.15","0.9","0.0","7.13","0.9","6.42","0.0","0.0","0.0","0.0","35.96","104.61","569.98","284.99","534.02","465.37","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","34.0","0.15","0.93","0.0","6.67","0.93","6.17","0.0","0.0","0.0","0.0","42.13","104.61","569.98","284.99","527.85","465.37","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","34.0","0.15","0.95","0.0","7.12","0.95","6.76","0.0","0.0","0.0","0.0","48.89","104.61","569.98","284.99","521.08","465.37","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","34.0","0.15","0.98","0.0","6.69","0.98","6.52","0.0","0.0","0.0","0.0","55.42","104.61","569.98","284.99","514.56","465.37","0.0","","","","","","","","",""
"2015.0","6.0","23.0","174.0","34.0","0.14","1.0","0.0","7.08","1.0","7.08","0.0","0.0","0.0","0.0","62.5","104.61","569.98","284.99","507.48","465.37","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","34.0","0.14","1.03","0.0","7.0","1.03","7.18","0.0","0.0","0.0","0.0","69.67","104.61","569.98","284.99","500.31","465.37","0.0","","","","","","","","",""
"2015.0","6.0","25.0","176.0","34.0","0.14","1.05","0.0","7.72","1.05","8.11","0.0","0.0","0.0","0.0","77.78","104.61","569.98","284.99","492.2","465.37","0.0","","","","","","","","",""
"2015.0","6.0","26.0","177.0","34.0","0.14","1.05","0.0","7.92","1.05","8.32","0.0","0.0","0.0","0.0","86.09","104.61","569.98","284.99","483.88","465.37","0.0","","","","","","","","",""
