" Daily soil water balance output for Truck Crops in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Truck Crops in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","2.0","9.0","40.0","414.0","1.14","0.0","0.0","1.97","1.14","2.25","23.02","2.25","0.0","0.0","0.0","18.0","256.03","128.02","256.03","238.03","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","414.0","1.14","0.0","0.0","1.83","1.14","2.09","0.18","0.18","0.0","0.0","1.91","18.0","256.03","128.02","254.12","238.03","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","414.0","1.15","0.0","0.0","1.59","1.15","1.83","0.0","0.0","0.0","0.0","3.74","18.0","256.03","128.02","252.29","238.03","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","414.0","1.03","0.0","0.0","1.98","1.03","2.03","0.0","0.0","0.0","0.0","5.77","18.0","256.03","128.02","250.26","238.03","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","414.0","0.91","0.0","0.0","2.03","0.91","1.84","0.0","0.0","0.0","0.0","7.61","18.0","256.03","128.02","248.42","238.03","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","414.0","0.82","0.0","0.0","2.18","0.82","1.78","0.0","0.0","0.0","0.0","9.39","18.0","256.03","128.02","246.64","238.03","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","414.0","0.75","0.0","0.0","2.09","0.75","1.57","0.0","0.0","0.0","0.0","10.96","18.0","256.03","128.02","245.07","238.03","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","414.0","0.7","0.0","0.0","2.24","0.7","1.56","0.0","0.0","0.0","0.0","12.52","18.0","256.03","128.02","243.51","238.03","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","414.0","0.66","0.0","0.0","1.94","0.66","1.28","0.0","0.0","0.0","0.0","13.8","18.0","256.03","128.02","242.24","238.03","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","414.0","0.63","0.0","0.0","1.5","0.63","0.95","0.0","0.0","0.0","0.0","14.74","18.0","256.03","128.02","241.29","238.03","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","414.0","0.62","0.0","0.0","1.08","0.62","0.66","0.0","0.0","0.0","0.0","15.41","18.0","256.03","128.02","240.62","238.03","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","414.0","0.59","0.0","0.0","1.97","0.59","1.16","0.0","0.0","0.0","0.0","16.57","18.0","256.03","128.02","239.46","238.03","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","414.0","0.57","0.0","0.0","1.62","0.57","0.92","0.0","0.0","0.0","0.0","17.49","18.0","256.03","128.02","238.54","238.03","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","414.0","0.53","0.0","0.0","3.74","0.53","1.97","0.0","0.0","0.0","0.0","19.46","18.0","256.03","128.02","236.57","238.03","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","414.0","0.49","0.0","0.0","4.35","0.49","2.13","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","414.0","0.47","0.0","0.0","2.85","0.47","1.33","0.0","0.0","0.0","0.0","19.33","18.0","256.03","128.02","236.7","238.03","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","414.0","0.45","0.0","0.0","2.19","0.45","0.99","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","414.0","0.44","0.0","0.0","3.07","0.44","1.34","0.0","0.0","0.0","0.0","19.34","18.0","256.03","128.02","236.69","238.03","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","414.0","0.42","0.0","0.0","2.77","0.42","1.17","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","414.0","0.41","0.0","0.0","1.93","0.41","0.8","0.0","0.0","0.0","0.0","18.8","18.0","256.03","128.02","237.24","238.03","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","414.0","0.4","0.0","0.0","2.68","0.4","1.07","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","414.0","0.39","0.0","0.0","2.33","0.39","0.91","0.0","0.0","0.0","0.0","18.91","18.0","256.03","128.02","237.12","238.03","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","414.0","0.38","0.0","0.0","2.59","0.38","0.99","1.02","1.02","0.0","0.0","17.89","18.0","256.03","128.02","238.14","238.03","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","414.0","0.37","0.0","0.0","2.6","0.37","0.97","0.0","0.0","0.0","0.0","18.86","18.0","256.03","128.02","237.17","238.03","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","414.0","0.36","0.0","0.0","2.79","0.36","1.01","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","414.0","0.35","0.0","0.0","3.0","0.35","1.06","0.0","0.0","0.0","0.0","19.06","18.0","256.03","128.02","236.97","238.03","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","414.0","0.35","0.0","0.0","2.8","0.35","0.97","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","414.0","0.34","0.0","0.0","2.98","0.34","1.01","0.0","0.0","0.0","0.0","19.01","18.0","256.03","128.02","237.03","238.03","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","414.0","0.33","0.0","0.0","3.06","0.33","1.01","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","414.0","0.32","0.0","0.0","2.4","0.32","0.78","0.0","0.0","0.0","0.0","18.78","18.0","256.03","128.02","237.25","238.03","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","414.0","0.32","0.0","0.0","2.11","0.32","0.67","1.32","1.32","0.0","0.0","17.46","18.0","256.03","128.02","238.57","238.03","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","414.0","1.08","0.0","0.0","3.47","1.08","3.75","3.55","3.55","0.0","0.0","17.66","18.0","256.03","128.02","238.37","238.03","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","414.0","1.06","0.0","0.0","3.11","1.06","3.29","0.0","0.0","0.0","0.0","20.95","18.0","256.03","128.02","235.08","238.03","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","414.0","0.86","0.0","0.0","3.29","0.86","2.84","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","414.0","0.73","0.0","0.0","3.85","0.73","2.81","0.0","0.0","0.0","0.0","20.81","18.0","256.03","128.02","235.22","238.03","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","414.0","0.68","0.0","0.0","2.46","0.68","1.66","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","414.0","0.61","0.0","0.0","3.49","0.61","2.13","0.0","0.0","0.0","0.0","20.13","18.0","256.03","128.02","235.9","238.03","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","414.0","0.56","0.0","0.0","3.89","0.56","2.17","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","414.0","0.52","0.0","0.0","3.94","0.52","2.03","0.0","0.0","0.0","0.0","20.03","18.0","256.03","128.02","236.0","238.03","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","414.0","0.49","0.0","0.0","3.11","0.49","1.52","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","414.0","0.46","0.0","0.0","3.63","0.46","1.68","0.0","0.0","0.0","0.0","19.68","18.0","256.03","128.02","236.35","238.03","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","414.0","0.44","0.0","0.0","3.27","0.44","1.45","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","414.0","0.42","0.0","0.0","3.28","0.42","1.39","0.25","0.25","0.0","0.0","19.14","18.0","256.03","128.02","236.89","238.03","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","414.0","0.41","0.0","0.0","3.19","0.41","1.3","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","414.0","0.39","0.0","0.0","4.23","0.39","1.65","0.0","0.0","0.0","0.0","19.65","18.0","256.03","128.02","236.38","238.03","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","414.0","0.37","0.0","0.0","3.92","0.37","1.47","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","414.0","0.36","0.0","0.0","4.55","0.36","1.63","0.0","0.0","0.0","0.0","19.63","18.0","256.03","128.02","236.4","238.03","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","414.0","0.34","0.0","0.0","4.99","0.34","1.71","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","414.0","0.33","0.0","0.0","4.76","0.33","1.57","0.0","0.0","0.0","0.0","19.57","18.0","256.03","128.02","236.46","238.03","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","414.0","0.32","0.0","0.0","4.57","0.32","1.46","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","414.0","0.31","0.0","0.0","4.61","0.31","1.43","0.0","0.0","0.0","0.0","19.43","18.0","256.03","128.02","236.61","238.03","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","414.0","0.3","0.0","0.0","4.22","0.3","1.27","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","414.0","0.29","0.0","0.0","5.59","0.29","1.62","0.0","0.0","0.0","0.0","19.62","18.0","256.03","128.02","236.41","238.03","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","414.0","0.28","0.0","0.0","4.63","0.28","1.31","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","414.0","0.28","0.0","0.0","4.53","0.28","1.25","0.0","0.0","0.0","0.0","19.25","18.0","256.03","128.02","236.78","238.03","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","414.0","0.27","0.0","0.0","2.58","0.27","0.7","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","414.0","0.27","0.0","0.0","2.98","0.27","0.8","1.42","1.42","0.0","0.0","17.38","18.0","256.03","128.02","238.65","238.03","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","414.0","1.12","0.0","0.0","2.41","1.12","2.71","6.49","6.49","0.0","0.0","13.6","18.0","256.03","128.02","242.43","238.03","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","414.0","1.1","0.0","0.0","2.91","1.1","3.21","13.25","13.25","0.0","0.0","3.56","18.0","256.03","128.02","252.47","238.03","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","414.0","1.07","0.0","0.0","3.48","1.07","3.74","0.0","0.0","0.0","0.0","7.3","18.0","256.03","128.02","248.73","238.03","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","414.0","0.83","0.0","0.0","4.13","0.83","3.44","0.0","0.0","0.0","0.0","10.74","18.0","256.03","128.02","245.29","238.03","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","414.0","0.7","0.0","0.0","4.29","0.7","3.0","0.0","0.0","0.0","0.0","13.74","18.0","256.03","128.02","242.29","238.03","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","414.0","0.6","0.0","0.0","4.97","0.6","2.99","0.0","0.0","0.0","0.0","16.73","18.0","256.03","128.02","239.3","238.03","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","414.0","0.53","0.0","0.0","5.12","0.53","2.74","0.0","0.0","0.0","0.0","19.47","18.0","256.03","128.02","236.56","238.03","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","414.0","0.49","0.0","0.0","4.85","0.49","2.37","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","414.0","0.44","0.0","0.0","6.7","0.44","2.94","0.0","0.0","0.0","0.0","20.94","18.0","256.03","128.02","235.09","238.03","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","414.0","0.4","0.0","0.0","6.12","0.4","2.48","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","414.0","0.38","0.0","0.0","5.33","0.38","2.03","0.0","0.0","0.0","0.0","20.03","18.0","256.03","128.02","236.0","238.03","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","414.0","0.36","0.0","0.0","5.03","0.36","1.82","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","414.0","0.34","0.0","0.0","5.36","0.34","1.85","0.0","0.0","0.0","0.0","19.85","18.0","256.03","128.02","236.18","238.03","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","414.0","0.33","0.0","0.0","4.9","0.33","1.62","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","414.0","0.32","0.0","0.0","3.95","0.32","1.27","0.0","0.0","0.0","0.0","19.27","18.0","256.03","128.02","236.76","238.03","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","414.0","0.31","0.0","0.0","4.22","0.31","1.32","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","414.0","0.3","0.0","0.0","4.83","0.3","1.46","0.0","0.0","0.0","0.0","19.46","18.0","256.03","128.02","236.57","238.03","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","414.0","0.29","0.0","0.0","4.92","0.29","1.44","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","414.0","1.06","0.0","0.0","4.12","1.06","4.35","14.13","14.13","0.0","0.0","8.22","18.0","256.03","128.02","247.81","238.03","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","414.0","0.87","0.55","0.0","5.12","0.87","4.46","0.0","0.0","0.0","0.0","12.67","56.83","256.03","128.02","243.36","199.21","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","414.0","0.67","0.55","0.0","6.14","0.67","4.1","0.0","0.0","0.0","0.0","16.77","56.83","256.03","128.02","239.26","199.21","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","414.0","0.57","0.55","0.0","5.67","0.57","3.23","0.0","0.0","0.0","0.0","20.0","56.83","256.03","128.02","236.03","199.21","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","414.0","0.51","0.55","0.0","5.35","0.55","2.94","0.0","0.0","0.0","0.0","22.94","56.83","256.03","128.02","233.09","199.21","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","414.0","0.45","0.55","0.0","6.54","0.55","3.6","0.0","0.0","0.0","0.0","26.54","56.83","256.03","128.02","229.49","199.21","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","414.0","0.41","0.55","0.0","6.55","0.55","3.6","0.0","0.0","0.0","0.0","30.14","56.83","256.03","128.02","225.89","199.21","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","414.0","0.38","0.55","0.0","6.19","0.55","3.4","0.0","0.0","0.0","0.0","33.55","56.83","256.03","128.02","222.48","199.21","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","414.0","0.36","0.55","0.0","5.44","0.55","2.99","0.0","0.0","0.0","0.0","36.54","56.83","256.03","128.02","219.49","199.21","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","414.0","0.35","0.55","0.0","4.95","0.55","2.72","0.0","0.0","0.0","0.0","39.26","56.83","256.03","128.02","216.77","199.21","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","414.0","0.33","0.55","0.0","4.89","0.55","2.69","0.0","0.0","0.0","0.0","41.95","56.83","256.03","128.02","214.08","199.21","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","414.0","0.32","0.55","0.0","5.24","0.55","2.88","0.0","0.0","0.0","0.0","44.83","56.83","256.03","128.02","211.2","199.21","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","414.0","0.31","0.55","0.0","4.2","0.55","2.31","0.45","0.45","0.0","0.0","46.69","56.83","256.03","128.02","209.34","199.21","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","414.0","0.3","0.55","0.0","4.53","0.55","2.49","0.55","0.55","0.0","0.0","48.64","56.83","256.03","128.02","207.4","199.21","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","414.0","0.29","0.55","0.0","5.14","0.55","2.83","0.0","0.0","0.0","0.0","51.46","56.83","256.03","128.02","204.57","199.21","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","414.0","0.28","0.55","0.0","5.31","0.55","2.92","0.0","0.0","0.0","0.0","54.38","56.83","256.03","128.02","201.65","199.21","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","414.0","0.27","0.55","0.0","5.28","0.55","2.9","0.0","0.0","0.0","0.0","0.0","56.83","256.03","128.02","256.03","199.21","57.29","","","","","","","","",""
"2015.0","5.0","12.0","132.0","414.0","0.27","0.55","0.0","5.03","0.55","2.77","0.0","0.0","0.0","0.0","2.77","56.83","256.03","128.02","253.27","199.21","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","414.0","0.26","0.55","0.0","4.79","0.55","2.63","0.0","0.0","0.0","0.0","5.4","56.83","256.03","128.02","250.63","199.21","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","414.0","0.26","0.55","0.0","3.95","0.55","2.17","0.0","0.0","0.0","0.0","7.57","56.83","256.03","128.02","248.46","199.21","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","414.0","0.25","0.55","0.0","4.75","0.55","2.61","0.02","0.02","0.0","0.0","10.17","56.83","256.03","128.02","245.87","199.21","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","414.0","0.24","0.55","0.0","4.87","0.55","2.68","0.0","0.0","0.0","0.0","12.84","56.83","256.03","128.02","243.19","199.21","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","414.0","0.24","0.55","0.0","4.0","0.55","2.2","0.0","0.0","0.0","0.0","15.04","56.83","256.03","128.02","240.99","199.21","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","414.0","0.24","0.55","0.0","4.7","0.55","2.59","0.0","0.0","0.0","0.0","17.63","56.83","256.03","128.02","238.4","199.21","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","414.0","0.23","0.55","0.0","5.07","0.55","2.79","0.0","0.0","0.0","0.0","20.42","56.83","256.03","128.02","235.61","199.21","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","414.0","0.23","0.55","0.0","5.05","0.55","2.78","0.0","0.0","0.0","0.0","23.2","56.83","256.03","128.02","232.84","199.21","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","414.0","0.22","0.55","0.0","4.58","0.55","2.52","0.0","0.0","0.0","0.0","25.71","56.83","256.03","128.02","230.32","199.21","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","414.0","0.22","0.55","0.0","4.94","0.55","2.72","0.0","0.0","0.0","0.0","28.43","56.83","256.03","128.02","227.6","199.21","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","414.0","0.22","0.55","0.0","4.77","0.55","2.62","0.0","0.0","0.0","0.0","31.06","56.83","256.03","128.02","224.98","199.21","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","414.0","0.21","0.55","0.0","5.77","0.55","3.17","0.0","0.0","0.0","0.0","34.23","56.83","256.03","128.02","221.8","199.21","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","414.0","0.21","0.55","0.0","5.58","0.55","3.07","0.0","0.0","0.0","0.0","37.3","56.83","256.03","128.02","218.73","199.21","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","414.0","0.2","0.55","0.0","5.63","0.55","3.1","0.0","0.0","0.0","0.0","40.39","56.83","256.03","128.02","215.64","199.21","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","414.0","0.2","0.55","0.0","5.67","0.55","3.12","0.0","0.0","0.0","0.0","43.51","56.83","256.03","128.02","212.52","199.21","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","414.0","0.2","0.56","0.0","5.48","0.56","3.06","0.0","0.0","0.0","0.0","46.57","56.83","256.03","128.02","209.46","199.21","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","414.0","0.19","0.57","0.0","6.16","0.57","3.49","0.0","0.0","0.0","0.0","50.07","56.83","256.03","128.02","205.96","199.21","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","414.0","0.19","0.58","0.0","6.49","0.58","3.74","0.0","0.0","0.0","0.0","53.8","56.83","256.03","128.02","202.23","199.21","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","414.0","0.19","0.58","0.0","5.57","0.58","3.26","0.0","0.0","0.0","0.0","0.0","56.83","256.03","128.02","256.03","199.21","57.06","","","","","","","","",""
"2015.0","6.0","1.0","152.0","414.0","0.19","0.59","0.0","5.56","0.59","3.3","0.0","0.0","0.0","0.0","3.3","56.83","256.03","128.02","252.73","199.21","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","414.0","0.18","0.6","0.0","5.75","0.6","3.46","0.0","0.0","0.0","0.0","6.76","56.83","256.03","128.02","249.28","199.21","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","414.0","0.18","0.61","0.0","5.65","0.61","3.45","0.0","0.0","0.0","0.0","10.2","56.83","256.03","128.02","245.83","199.21","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","414.0","0.18","0.62","0.0","5.94","0.62","3.68","0.0","0.0","0.0","0.0","13.88","56.83","256.03","128.02","242.15","199.21","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","414.0","0.17","0.63","0.0","6.93","0.63","4.35","0.0","0.0","0.0","0.0","18.23","56.83","256.03","128.02","237.8","199.21","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","414.0","0.17","0.64","0.0","6.53","0.64","4.15","0.01","0.01","0.0","0.0","22.37","56.83","256.03","128.02","233.66","199.21","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","414.0","0.17","0.64","0.0","7.06","0.64","4.55","0.0","0.0","0.0","0.0","26.92","56.83","256.03","128.02","229.11","199.21","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","414.0","0.17","0.65","0.0","7.42","0.65","4.85","0.0","0.0","0.0","0.0","31.77","56.83","256.03","128.02","224.26","199.21","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","414.0","0.16","0.66","0.0","7.22","0.66","4.78","0.0","0.0","0.0","0.0","36.55","56.83","256.03","128.02","219.48","199.21","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","414.0","0.16","0.67","0.0","2.57","0.67","1.72","0.07","0.07","0.0","0.0","38.2","56.83","256.03","128.02","217.83","199.21","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","414.0","0.16","0.68","0.0","7.16","0.68","4.86","1.22","1.22","0.0","0.0","41.85","56.83","256.03","128.02","214.19","199.21","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","414.0","0.16","0.69","0.0","8.08","0.69","5.56","0.0","0.0","0.0","0.0","47.4","56.83","256.03","128.02","208.63","199.21","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","414.0","0.16","0.7","0.0","7.66","0.7","5.33","0.0","0.0","0.0","0.0","52.74","56.83","256.03","128.02","203.29","199.21","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","414.0","0.15","0.7","0.0","6.92","0.7","4.88","0.0","0.0","0.0","0.0","0.0","56.83","256.03","128.02","256.03","199.21","57.62","","","","","","","","",""
"2015.0","6.0","15.0","166.0","414.0","0.15","0.71","0.0","6.72","0.71","4.8","0.0","0.0","0.0","0.0","4.8","56.83","256.03","128.02","251.24","199.21","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","414.0","0.15","0.72","0.0","7.03","0.72","5.08","0.0","0.0","0.0","0.0","9.87","56.83","256.03","128.02","246.16","199.21","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","414.0","0.15","0.73","0.0","6.97","0.73","5.09","0.0","0.0","0.0","0.0","14.97","56.83","256.03","128.02","241.07","199.21","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","414.0","0.15","0.74","0.0","7.75","0.74","5.73","0.0","0.0","0.0","0.0","20.7","56.83","256.03","128.02","235.34","199.21","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","414.0","0.14","0.75","0.0","7.43","0.75","5.56","0.0","0.0","0.0","0.0","26.25","56.83","256.03","128.02","229.78","199.21","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","414.0","0.14","0.76","0.0","7.17","0.76","5.42","0.0","0.0","0.0","0.0","31.68","56.83","256.03","128.02","224.35","199.21","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","414.0","0.14","0.77","0.0","7.78","0.77","5.95","0.0","0.0","0.0","0.0","37.63","56.83","256.03","128.02","218.4","199.21","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","414.0","0.14","0.77","0.0","6.99","0.77","5.41","0.0","0.0","0.0","0.0","43.04","56.83","256.03","128.02","212.99","199.21","0.0","","","","","","","","",""
"2015.0","6.0","23.0","174.0","414.0","0.14","0.78","0.0","7.45","0.78","5.83","0.0","0.0","0.0","0.0","48.87","56.83","256.03","128.02","207.16","199.21","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","414.0","0.14","0.79","0.0","7.51","0.79","5.94","0.0","0.0","0.0","0.0","54.81","56.83","256.03","128.02","201.22","199.21","0.0","","","","","","","","",""
"2015.0","6.0","25.0","176.0","414.0","0.14","0.8","0.0","7.98","0.8","6.38","0.0","0.0","0.0","0.0","0.0","56.83","256.03","128.02","256.03","199.21","61.19","","","","","","","","",""
"2015.0","6.0","26.0","177.0","414.0","0.13","0.81","0.0","8.46","0.81","6.84","0.0","0.0","0.0","0.0","6.84","56.83","256.03","128.02","249.19","199.21","0.0","","","","","","","","",""
