" Daily soil water balance output for Almonds in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Almonds in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"2015.0","2.0","7.0","38.0","5009.0","1.16","0.0","0.0","1.48","1.16","1.72","13.13","13.13","0.0","0.0","18.29","29.7","600.92","300.46","582.63","571.22","0.0","","","","","","","","",""
"2015.0","2.0","8.0","39.0","5009.0","1.16","0.0","0.0","1.56","1.16","1.81","12.26","12.26","0.0","0.0","7.83","29.7","600.92","300.46","593.08","571.22","0.0","","","","","","","","",""
"2015.0","2.0","9.0","40.0","5009.0","1.14","0.0","0.0","2.12","1.14","2.41","13.42","10.24","0.0","0.0","0.0","29.7","600.92","300.46","600.92","571.22","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","5009.0","1.14","0.0","0.0","1.87","1.14","2.13","0.0","0.0","0.0","0.0","2.13","29.7","600.92","300.46","598.79","571.22","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","5009.0","1.14","0.0","0.0","1.71","1.14","1.96","0.0","0.0","0.0","0.0","4.09","29.7","600.92","300.46","596.83","571.22","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","5009.0","1.0","0.0","0.0","2.0","1.0","2.0","0.0","0.0","0.0","0.0","6.09","29.7","600.92","300.46","594.83","571.22","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","5009.0","0.89","0.0","0.0","2.09","0.89","1.86","0.0","0.0","0.0","0.0","7.95","29.7","600.92","300.46","592.97","571.22","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","5009.0","0.8","0.0","0.0","2.2","0.8","1.76","0.0","0.0","0.0","0.0","9.71","29.7","600.92","300.46","591.21","571.22","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","5009.0","0.74","0.0","0.0","2.08","0.74","1.54","0.0","0.0","0.0","0.0","11.25","29.7","600.92","300.46","589.67","571.22","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","5009.0","0.69","0.0","0.0","2.09","0.69","1.44","0.0","0.0","0.0","0.0","12.69","29.7","600.92","300.46","588.22","571.22","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","5009.0","0.65","0.0","0.0","1.81","0.65","1.19","0.0","0.0","0.0","0.0","13.88","29.7","600.92","300.46","587.04","571.22","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","5009.0","0.63","0.0","0.0","1.72","0.63","1.08","0.0","0.0","0.0","0.0","14.96","29.7","600.92","300.46","585.96","571.22","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","5009.0","0.61","0.0","0.0","1.04","0.61","0.64","0.0","0.0","0.0","0.0","15.59","29.7","600.92","300.46","585.33","571.22","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","5009.0","0.59","0.0","0.0","1.75","0.59","1.03","0.0","0.0","0.0","0.0","16.62","29.7","600.92","300.46","584.3","571.22","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","5009.0","0.57","0.0","0.0","1.58","0.57","0.9","0.0","0.0","0.0","0.0","17.51","29.7","600.92","300.46","583.4","571.22","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","5009.0","0.53","0.0","0.0","2.95","0.53","1.58","0.0","0.0","0.0","0.0","19.09","29.7","600.92","300.46","581.83","571.22","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","5009.0","0.5","0.0","0.0","3.55","0.5","1.78","0.0","0.0","0.0","0.0","20.87","29.7","600.92","300.46","580.04","571.22","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","5009.0","0.48","0.0","0.0","2.71","0.48","1.3","0.0","0.0","0.0","0.0","22.18","29.7","600.92","300.46","578.74","571.22","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","5009.0","0.47","0.0","0.0","2.2","0.47","1.02","0.0","0.0","0.0","0.0","23.2","29.7","600.92","300.46","577.72","571.22","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","5009.0","0.45","0.0","0.0","2.91","0.45","1.3","0.0","0.0","0.0","0.0","24.5","29.7","600.92","300.46","576.42","571.22","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","5009.0","0.43","0.0","0.0","2.86","0.43","1.23","0.0","0.0","0.0","0.0","25.73","29.7","600.92","300.46","575.18","571.22","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","5009.0","0.42","0.0","0.0","2.01","0.42","0.85","0.0","0.0","0.0","0.0","26.58","29.7","600.92","300.46","574.34","571.22","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","5009.0","0.41","0.0","0.0","2.51","0.41","1.03","0.25","0.25","0.0","0.0","27.36","29.7","600.92","300.46","573.56","571.22","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","5009.0","0.4","0.0","0.0","2.21","0.4","0.88","0.0","0.0","0.0","0.0","28.24","29.7","600.92","300.46","572.68","571.22","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","5009.0","0.39","0.0","0.0","2.53","0.39","0.98","1.19","1.19","0.0","0.0","28.03","29.7","600.92","300.46","572.88","571.22","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","5009.0","0.38","0.0","0.0","2.61","0.38","0.99","0.0","0.0","0.0","0.0","29.02","29.7","600.92","300.46","571.89","571.22","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","5009.0","0.37","0.0","0.0","2.81","0.37","1.04","0.0","0.0","0.0","0.0","30.06","29.7","600.92","300.46","570.85","571.22","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","5009.0","0.36","0.0","0.0","2.99","0.36","1.08","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","5009.0","0.35","0.0","0.0","2.88","0.35","1.01","0.0","0.0","0.0","0.0","30.71","29.7","600.92","300.46","570.21","571.22","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","5009.0","0.34","0.0","0.0","2.97","0.34","1.02","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","5009.0","0.34","0.0","0.0","2.92","0.34","0.98","0.0","0.0","0.0","0.0","30.68","29.7","600.92","300.46","570.24","571.22","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","5009.0","0.33","0.0","0.0","2.53","0.33","0.83","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","5009.0","0.32","0.0","0.0","2.06","0.32","0.67","1.21","1.21","0.0","0.0","29.16","29.7","600.92","300.46","571.76","571.22","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","5009.0","1.09","0.0","0.0","3.36","1.09","3.65","3.33","3.33","0.0","0.0","29.48","29.7","600.92","300.46","571.44","571.22","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","5009.0","1.07","0.0","0.0","3.07","1.07","3.29","0.0","0.0","0.0","0.0","32.76","29.7","600.92","300.46","568.15","571.22","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","5009.0","0.86","0.0","0.0","3.44","0.86","2.97","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","5009.0","0.73","0.55","0.0","3.99","0.73","2.9","0.0","0.0","0.0","0.0","32.6","131.03","600.92","300.46","568.32","469.89","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","5009.0","0.66","0.56","0.0","2.83","0.66","1.88","0.0","0.0","0.0","0.0","34.48","131.03","600.92","300.46","566.44","469.89","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","5009.0","0.6","0.56","0.0","3.65","0.6","2.19","0.0","0.0","0.0","0.0","36.67","131.03","600.92","300.46","564.25","469.89","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","5009.0","0.55","0.57","0.0","3.82","0.57","2.17","0.0","0.0","0.0","0.0","38.83","131.03","600.92","300.46","562.09","469.89","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","5009.0","0.51","0.57","0.0","3.83","0.57","2.19","0.0","0.0","0.0","0.0","41.02","131.03","600.92","300.46","559.89","469.89","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","5009.0","0.48","0.58","0.0","3.23","0.58","1.87","0.0","0.0","0.0","0.0","42.89","131.03","600.92","300.46","558.03","469.89","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","5009.0","0.46","0.58","0.0","3.56","0.58","2.08","0.0","0.0","0.0","0.0","44.97","131.03","600.92","300.46","555.95","469.89","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","5009.0","0.44","0.59","0.0","3.17","0.59","1.87","0.0","0.0","0.0","0.0","46.84","131.03","600.92","300.46","554.08","469.89","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","5009.0","0.42","0.59","0.0","3.21","0.59","1.91","0.72","0.72","0.0","0.0","48.03","131.03","600.92","300.46","552.89","469.89","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","5009.0","0.41","0.6","0.0","3.34","0.6","2.01","0.0","0.0","0.0","0.0","50.03","131.03","600.92","300.46","550.89","469.89","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","5009.0","0.39","0.61","0.0","4.1","0.61","2.48","0.0","0.0","0.0","0.0","52.52","131.03","600.92","300.46","548.4","469.89","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","5009.0","0.37","0.61","0.0","3.96","0.61","2.42","0.0","0.0","0.0","0.0","54.94","131.03","600.92","300.46","545.98","469.89","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","5009.0","0.36","0.62","0.0","4.5","0.62","2.78","0.0","0.0","0.0","0.0","57.72","131.03","600.92","300.46","543.2","469.89","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","5009.0","0.34","0.62","0.0","4.95","0.62","3.08","0.0","0.0","0.0","0.0","60.8","131.03","600.92","300.46","540.12","469.89","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","5009.0","0.33","0.63","0.0","4.75","0.63","2.99","0.0","0.0","0.0","0.0","63.79","131.03","600.92","300.46","537.13","469.89","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","5009.0","0.32","0.63","0.0","4.57","0.63","2.9","0.0","0.0","0.0","0.0","66.68","131.03","600.92","300.46","534.23","469.89","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","5009.0","0.31","0.64","0.0","4.69","0.64","3.0","0.0","0.0","0.0","0.0","69.68","131.03","600.92","300.46","531.23","469.89","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","5009.0","0.3","0.65","0.0","4.21","0.65","2.72","0.0","0.0","0.0","0.0","72.4","131.03","600.92","300.46","528.52","469.89","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","5009.0","0.29","0.65","0.0","5.44","0.65","3.54","0.0","0.0","0.0","0.0","75.94","131.03","600.92","300.46","524.98","469.89","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","5009.0","0.28","0.66","0.0","4.68","0.66","3.07","0.0","0.0","0.0","0.0","79.01","131.03","600.92","300.46","521.9","469.89","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","5009.0","0.28","0.66","0.0","4.56","0.66","3.02","0.0","0.0","0.0","0.0","82.03","131.03","600.92","300.46","518.88","469.89","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","5009.0","0.27","0.67","0.0","2.58","0.67","1.72","0.04","0.04","0.0","0.0","83.72","131.03","600.92","300.46","517.2","469.89","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","5009.0","0.27","0.67","0.0","3.08","0.67","2.07","2.02","2.02","0.0","0.0","83.77","131.03","600.92","300.46","517.15","469.89","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","5009.0","1.11","0.68","0.0","2.76","1.11","3.06","4.27","4.27","0.0","0.0","82.56","131.03","600.92","300.46","518.36","469.89","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","5009.0","1.1","0.68","0.0","3.05","1.1","3.35","11.21","11.21","0.0","0.0","74.7","131.03","600.92","300.46","526.22","469.89","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","5009.0","1.06","0.69","0.0","3.51","1.06","3.72","0.0","0.0","0.0","0.0","78.42","131.03","600.92","300.46","522.5","469.89","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","5009.0","0.82","0.7","0.0","4.17","0.82","3.43","0.0","0.0","0.0","0.0","81.85","131.03","600.92","300.46","519.06","469.89","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","5009.0","0.69","0.7","0.0","4.35","0.7","3.05","0.0","0.0","0.0","0.0","84.91","131.03","600.92","300.46","516.01","469.89","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","5009.0","0.6","0.71","0.0","4.89","0.71","3.46","0.0","0.0","0.0","0.0","88.36","131.03","600.92","300.46","512.56","469.89","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","5009.0","0.53","0.71","0.0","5.01","0.71","3.57","0.0","0.0","0.0","0.0","91.93","131.03","600.92","300.46","508.99","469.89","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","5009.0","0.49","0.72","0.0","4.99","0.72","3.58","0.0","0.0","0.0","0.0","95.52","131.03","600.92","300.46","505.4","469.89","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","5009.0","0.44","0.72","0.0","6.25","0.72","4.52","0.0","0.0","0.0","0.0","100.04","131.03","600.92","300.46","500.88","469.89","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","5009.0","0.41","0.73","0.0","5.67","0.73","4.14","0.0","0.0","0.0","0.0","104.18","131.03","600.92","300.46","496.74","469.89","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","5009.0","0.38","0.74","0.0","5.38","0.74","3.95","0.0","0.0","0.0","0.0","108.13","131.03","600.92","300.46","492.79","469.89","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","5009.0","0.37","0.74","0.0","4.98","0.74","3.69","0.0","0.0","0.0","0.0","111.82","131.03","600.92","300.46","489.1","469.89","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","5009.0","0.35","0.75","0.0","5.17","0.75","3.86","0.0","0.0","0.0","0.0","115.68","131.03","600.92","300.46","485.24","469.89","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","5009.0","0.33","0.75","0.0","4.8","0.75","3.61","0.0","0.0","0.0","0.0","119.29","131.03","600.92","300.46","481.63","469.89","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","5009.0","0.32","0.76","0.0","3.84","0.76","2.91","0.0","0.0","0.0","0.0","122.2","131.03","600.92","300.46","478.72","469.89","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","5009.0","0.32","0.76","0.0","4.05","0.76","3.09","0.0","0.0","0.0","0.0","125.29","131.03","600.92","300.46","475.63","469.89","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","5009.0","0.31","0.77","0.0","4.79","0.77","3.68","0.0","0.0","0.0","0.0","128.97","131.03","600.92","300.46","471.95","469.89","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","5009.0","0.3","0.77","0.0","5.07","0.77","3.93","0.0","0.0","0.0","0.0","0.0","131.03","600.92","300.46","600.92","469.89","132.89","","","","","","","","",""
"2015.0","4.0","25.0","115.0","5009.0","1.06","0.78","0.0","4.03","1.06","4.27","10.88","4.27","0.0","0.0","0.0","131.03","600.92","300.46","600.92","469.89","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","5009.0","0.87","0.79","0.0","5.17","0.87","4.51","0.0","0.0","0.0","0.0","4.51","131.03","600.92","300.46","596.41","469.89","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","5009.0","0.68","0.79","0.0","5.81","0.79","4.6","0.0","0.0","0.0","0.0","9.11","131.03","600.92","300.46","591.81","469.89","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","5009.0","0.58","0.8","0.0","5.63","0.8","4.49","0.0","0.0","0.0","0.0","13.59","131.03","600.92","300.46","587.33","469.89","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","5009.0","0.51","0.8","0.0","5.42","0.8","4.35","0.0","0.0","0.0","0.0","17.94","131.03","600.92","300.46","582.98","469.89","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","5009.0","0.46","0.81","0.0","6.46","0.81","5.22","0.0","0.0","0.0","0.0","23.16","131.03","600.92","300.46","577.76","469.89","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","5009.0","0.42","0.81","0.0","6.5","0.81","5.29","0.0","0.0","0.0","0.0","28.45","131.03","600.92","300.46","572.47","469.89","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","5009.0","0.39","0.82","0.0","5.93","0.82","4.86","0.0","0.0","0.0","0.0","33.31","131.03","600.92","300.46","567.61","469.89","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","5009.0","0.37","0.82","0.0","5.27","0.82","4.35","0.0","0.0","0.0","0.0","37.65","131.03","600.92","300.46","563.27","469.89","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","5009.0","0.35","0.83","0.0","4.89","0.83","4.06","0.0","0.0","0.0","0.0","41.71","131.03","600.92","300.46","559.2","469.89","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","5009.0","0.34","0.84","0.0","4.9","0.84","4.1","0.0","0.0","0.0","0.0","45.81","131.03","600.92","300.46","555.11","469.89","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","5009.0","0.32","0.84","0.0","5.04","0.84","4.24","0.0","0.0","0.0","0.0","50.05","131.03","600.92","300.46","550.87","469.89","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","5009.0","0.32","0.85","0.0","3.23","0.85","2.74","0.0","0.0","0.0","0.0","52.79","131.03","600.92","300.46","548.13","469.89","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","5009.0","0.31","0.85","0.0","4.37","0.85","3.73","1.13","1.13","0.0","0.0","55.38","131.03","600.92","300.46","545.53","469.89","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","5009.0","0.3","0.86","0.0","4.89","0.86","4.2","0.0","0.0","0.0","0.0","59.58","131.03","600.92","300.46","541.34","469.89","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","5009.0","0.29","0.86","0.0","5.25","0.86","4.54","0.0","0.0","0.0","0.0","64.12","131.03","600.92","300.46","536.8","469.89","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","5009.0","0.28","0.87","0.0","5.24","0.87","4.56","0.0","0.0","0.0","0.0","68.68","131.03","600.92","300.46","532.24","469.89","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","5009.0","0.27","0.88","0.0","5.05","0.88","4.42","0.0","0.0","0.0","0.0","73.1","131.03","600.92","300.46","527.82","469.89","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","5009.0","0.26","0.88","0.0","4.75","0.88","4.18","0.0","0.0","0.0","0.0","77.28","131.03","600.92","300.46","523.64","469.89","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","5009.0","0.26","0.89","0.0","3.29","0.89","2.92","0.0","0.0","0.0","0.0","80.2","131.03","600.92","300.46","520.72","469.89","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","5009.0","0.26","0.89","0.0","4.65","0.89","4.15","1.77","1.77","0.0","0.0","82.57","131.03","600.92","300.46","518.34","469.89","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","5009.0","0.25","0.9","0.0","4.81","0.9","4.32","0.0","0.0","0.0","0.0","86.89","131.03","600.92","300.46","514.03","469.89","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","5009.0","0.25","0.9","0.0","3.92","0.9","3.54","0.0","0.0","0.0","0.0","90.43","131.03","600.92","300.46","510.49","469.89","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","5009.0","0.24","0.91","0.0","4.84","0.91","4.4","0.0","0.0","0.0","0.0","94.83","131.03","600.92","300.46","506.09","469.89","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","5009.0","0.24","0.91","0.0","5.04","0.91","4.61","0.0","0.0","0.0","0.0","99.44","131.03","600.92","300.46","501.48","469.89","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","5009.0","0.23","0.92","0.0","4.95","0.92","4.55","0.0","0.0","0.0","0.0","103.99","131.03","600.92","300.46","496.92","469.89","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","5009.0","0.23","0.93","0.0","4.01","0.93","3.71","0.0","0.0","0.0","0.0","107.71","131.03","600.92","300.46","493.21","469.89","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","5009.0","0.22","0.93","0.0","4.85","0.93","4.52","0.0","0.0","0.0","0.0","112.22","131.03","600.92","300.46","488.69","469.89","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","5009.0","0.22","0.94","0.0","4.86","0.94","4.55","0.0","0.0","0.0","0.0","116.78","131.03","600.92","300.46","484.14","469.89","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","5009.0","0.22","0.94","0.0","5.54","0.94","5.22","0.0","0.0","0.0","0.0","122.0","131.03","600.92","300.46","478.92","469.89","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","5009.0","0.21","0.95","0.0","5.5","0.95","5.21","0.0","0.0","0.0","0.0","127.21","131.03","600.92","300.46","473.7","469.89","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","5009.0","0.21","0.95","0.0","5.52","0.95","5.26","0.0","0.0","0.0","0.0","0.0","131.03","600.92","300.46","600.92","469.89","132.48","","","","","","","","",""
"2015.0","5.0","27.0","147.0","5009.0","0.2","0.96","0.0","5.56","0.96","5.33","0.0","0.0","0.0","0.0","5.33","131.03","600.92","300.46","595.58","469.89","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","5009.0","0.2","0.96","0.0","5.42","0.96","5.23","0.0","0.0","0.0","0.0","10.56","131.03","600.92","300.46","590.35","469.89","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","5009.0","0.2","0.97","0.0","6.13","0.97","5.95","0.0","0.0","0.0","0.0","16.51","131.03","600.92","300.46","584.4","469.89","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","5009.0","0.19","0.98","0.0","6.48","0.98","6.33","0.0","0.0","0.0","0.0","22.84","131.03","600.92","300.46","578.08","469.89","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","5009.0","0.19","0.98","0.0","5.44","0.98","5.34","0.0","0.0","0.0","0.0","28.18","131.03","600.92","300.46","572.74","469.89","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","5009.0","0.19","0.99","0.0","5.54","0.99","5.47","0.0","0.0","0.0","0.0","33.65","131.03","600.92","300.46","567.27","469.89","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","5009.0","0.19","0.99","0.0","5.77","0.99","5.73","0.0","0.0","0.0","0.0","39.38","131.03","600.92","300.46","561.54","469.89","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","5009.0","0.18","1.0","0.0","5.57","1.0","5.56","0.0","0.0","0.0","0.0","44.94","131.03","600.92","300.46","555.98","469.89","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","5009.0","0.18","1.0","0.0","5.83","1.0","5.85","0.0","0.0","0.0","0.0","50.8","131.03","600.92","300.46","550.12","469.89","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","5009.0","0.18","1.01","0.0","6.52","1.01","6.58","0.0","0.0","0.0","0.0","57.38","131.03","600.92","300.46","543.54","469.89","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","5009.0","0.17","1.02","0.0","6.39","1.02","6.49","0.0","0.0","0.0","0.0","63.87","131.03","600.92","300.46","537.05","469.89","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","5009.0","0.17","1.02","0.0","6.75","1.02","6.89","0.0","0.0","0.0","0.0","70.76","131.03","600.92","300.46","530.16","469.89","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","5009.0","0.17","1.03","0.0","7.39","1.03","7.59","0.0","0.0","0.0","0.0","78.35","131.03","600.92","300.46","522.57","469.89","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","5009.0","0.17","1.03","0.0","6.66","1.03","6.87","0.0","0.0","0.0","0.0","85.22","131.03","600.92","300.46","515.7","469.89","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","5009.0","0.17","1.04","0.0","3.04","1.04","3.16","0.1","0.1","0.0","0.0","88.28","131.03","600.92","300.46","512.64","469.89","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","5009.0","0.16","1.04","0.0","6.89","1.04","7.19","3.61","3.61","0.0","0.0","91.86","131.03","600.92","300.46","509.06","469.89","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","5009.0","0.16","1.05","0.0","7.67","1.05","8.05","0.0","0.0","0.0","0.0","99.9","131.03","600.92","300.46","501.01","469.89","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","5009.0","0.16","1.05","0.0","7.55","1.05","7.96","0.0","0.0","0.0","0.0","107.87","131.03","600.92","300.46","493.05","469.89","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","5009.0","0.16","1.06","0.0","6.8","1.06","7.21","0.0","0.0","0.0","0.0","115.08","131.03","600.92","300.46","485.84","469.89","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","5009.0","0.15","1.07","0.0","6.63","1.07","7.07","0.0","0.0","0.0","0.0","122.14","131.03","600.92","300.46","478.78","469.89","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","5009.0","0.15","1.07","0.0","6.95","1.07","7.45","0.0","0.0","0.0","0.0","129.59","131.03","600.92","300.46","471.33","469.89","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","5009.0","0.15","1.08","0.0","6.98","1.08","7.52","0.0","0.0","0.0","0.0","0.0","131.03","600.92","300.46","600.92","469.89","137.11","","","","","","","","",""
"2015.0","6.0","18.0","169.0","5009.0","0.15","1.08","0.0","7.54","1.08","8.16","0.0","0.0","0.0","0.0","8.16","131.03","600.92","300.46","592.75","469.89","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","5009.0","0.15","1.09","0.0","7.41","1.09","8.06","0.0","0.0","0.0","0.0","16.23","131.03","600.92","300.46","584.69","469.89","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","5009.0","0.15","1.09","0.0","6.95","1.09","7.6","0.0","0.0","0.0","0.0","23.83","131.03","600.92","300.46","577.09","469.89","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","5009.0","0.14","1.1","0.0","7.57","1.1","8.32","0.0","0.0","0.0","0.0","32.15","131.03","600.92","300.46","568.76","469.89","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","5009.0","0.14","1.11","0.0","7.07","1.11","7.81","0.0","0.0","0.0","0.0","39.97","131.03","600.92","300.46","560.95","469.89","0.0","","","","","","","","",""
"2015.0","6.0","23.0","174.0","5009.0","0.14","1.11","0.0","7.35","1.11","8.16","0.0","0.0","0.0","0.0","48.13","131.03","600.92","300.46","552.79","469.89","0.0","","","","","","","","",""
