" Daily soil water balance output for Rice in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Rice in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","2.0","8.0","39.0","4088.0","1.17","0.0","0.0","1.29","1.17","1.51","4.7","1.51","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","0.0","","","","","","","","",""
"2015.0","2.0","9.0","40.0","4088.0","1.14","0.0","0.0","1.97","1.14","2.25","23.02","2.25","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","4088.0","1.14","0.0","0.0","1.83","1.14","2.09","0.18","0.18","0.0","0.0","1.91","22.5","182.88","91.44","180.97","160.38","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","4088.0","1.15","0.0","0.0","1.59","1.15","1.83","0.0","0.0","0.0","0.0","3.74","22.5","182.88","91.44","179.14","160.38","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","4088.0","1.03","0.0","0.0","1.98","1.03","2.03","0.0","0.0","0.0","0.0","5.77","22.5","182.88","91.44","177.11","160.38","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","4088.0","0.91","0.0","0.0","2.03","0.91","1.84","0.0","0.0","0.0","0.0","7.61","22.5","182.88","91.44","175.27","160.38","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","4088.0","0.82","0.0","0.0","2.18","0.82","1.78","0.0","0.0","0.0","0.0","9.39","22.5","182.88","91.44","173.49","160.38","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","4088.0","0.75","0.0","0.0","2.09","0.75","1.57","0.0","0.0","0.0","0.0","10.96","22.5","182.88","91.44","171.92","160.38","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","4088.0","0.7","0.0","0.0","2.24","0.7","1.56","0.0","0.0","0.0","0.0","12.52","22.5","182.88","91.44","170.36","160.38","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","4088.0","0.66","0.0","0.0","1.94","0.66","1.28","0.0","0.0","0.0","0.0","13.8","22.5","182.88","91.44","169.08","160.38","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","4088.0","0.63","0.0","0.0","1.5","0.63","0.95","0.0","0.0","0.0","0.0","14.74","22.5","182.88","91.44","168.14","160.38","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","4088.0","0.62","0.0","0.0","1.08","0.62","0.66","0.0","0.0","0.0","0.0","15.41","22.5","182.88","91.44","167.47","160.38","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","4088.0","0.59","0.0","0.0","1.97","0.59","1.16","0.0","0.0","0.0","0.0","16.57","22.5","182.88","91.44","166.31","160.38","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","4088.0","0.57","0.0","0.0","1.62","0.57","0.92","0.0","0.0","0.0","0.0","17.49","22.5","182.88","91.44","165.39","160.38","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","4088.0","0.53","0.0","0.0","3.74","0.53","1.97","0.0","0.0","0.0","0.0","19.46","22.5","182.88","91.44","163.42","160.38","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","4088.0","0.49","0.0","0.0","4.35","0.49","2.13","0.0","0.0","0.0","0.0","21.58","22.5","182.88","91.44","161.3","160.38","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","4088.0","0.47","0.0","0.0","2.85","0.47","1.33","0.0","0.0","0.0","0.0","22.92","22.5","182.88","91.44","159.96","160.38","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","4088.0","0.45","0.0","0.0","2.19","0.45","0.99","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","4088.0","0.44","0.0","0.0","3.07","0.44","1.34","0.0","0.0","0.0","0.0","23.84","22.5","182.88","91.44","159.04","160.38","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","4088.0","0.42","0.0","0.0","2.77","0.42","1.17","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","4088.0","0.41","0.0","0.0","1.93","0.41","0.8","0.0","0.0","0.0","0.0","23.3","22.5","182.88","91.44","159.58","160.38","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","4088.0","0.4","0.0","0.0","2.68","0.4","1.07","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","4088.0","0.39","0.0","0.0","2.33","0.39","0.91","0.0","0.0","0.0","0.0","23.41","22.5","182.88","91.44","159.47","160.38","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","4088.0","0.38","0.0","0.0","2.59","0.38","0.99","1.02","1.02","0.0","0.0","22.39","22.5","182.88","91.44","160.49","160.38","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","4088.0","0.37","0.0","0.0","2.6","0.37","0.97","0.0","0.0","0.0","0.0","23.36","22.5","182.88","91.44","159.52","160.38","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","4088.0","0.36","0.0","0.0","2.79","0.36","1.01","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","4088.0","0.35","0.0","0.0","3.0","0.35","1.06","0.0","0.0","0.0","0.0","23.56","22.5","182.88","91.44","159.32","160.38","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","4088.0","0.35","0.0","0.0","2.8","0.35","0.97","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","4088.0","0.34","0.0","0.0","2.98","0.34","1.01","0.0","0.0","0.0","0.0","23.51","22.5","182.88","91.44","159.37","160.38","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","4088.0","0.33","0.0","0.0","3.06","0.33","1.01","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","4088.0","0.32","0.0","0.0","2.4","0.32","0.78","0.0","0.0","0.0","0.0","23.28","22.5","182.88","91.44","159.6","160.38","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","4088.0","0.32","0.0","0.0","2.11","0.32","0.67","1.32","1.32","0.0","0.0","21.96","22.5","182.88","91.44","160.92","160.38","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","4088.0","1.08","0.0","0.0","3.47","1.08","3.75","3.55","3.55","0.0","0.0","22.16","22.5","182.88","91.44","160.72","160.38","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","4088.0","1.06","0.0","0.0","3.11","1.06","3.29","0.0","0.0","0.0","0.0","25.45","22.5","182.88","91.44","157.43","160.38","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","4088.0","0.86","0.0","0.0","3.29","0.86","2.84","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","4088.0","0.73","0.0","0.0","3.85","0.73","2.81","0.0","0.0","0.0","0.0","25.31","22.5","182.88","91.44","157.57","160.38","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","4088.0","0.68","0.0","0.0","2.46","0.68","1.66","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","4088.0","0.61","0.0","0.0","3.49","0.61","2.13","0.0","0.0","0.0","0.0","24.63","22.5","182.88","91.44","158.25","160.38","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","4088.0","0.56","0.0","0.0","3.89","0.56","2.17","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","4088.0","0.52","0.0","0.0","3.94","0.52","2.03","0.0","0.0","0.0","0.0","24.53","22.5","182.88","91.44","158.35","160.38","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","4088.0","0.49","0.0","0.0","3.11","0.49","1.52","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","4088.0","0.46","0.0","0.0","3.63","0.46","1.68","0.0","0.0","0.0","0.0","24.18","22.5","182.88","91.44","158.7","160.38","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","4088.0","0.44","0.0","0.0","3.27","0.44","1.45","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","4088.0","0.42","0.0","0.0","3.28","0.42","1.39","0.25","0.25","0.0","0.0","23.64","22.5","182.88","91.44","159.24","160.38","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","4088.0","0.41","0.0","0.0","3.19","0.41","1.3","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","4088.0","0.39","0.0","0.0","4.23","0.39","1.65","0.0","0.0","0.0","0.0","24.15","22.5","182.88","91.44","158.73","160.38","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","4088.0","0.37","0.0","0.0","3.92","0.37","1.47","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","4088.0","0.36","0.0","0.0","4.55","0.36","1.63","0.0","0.0","0.0","0.0","24.13","22.5","182.88","91.44","158.75","160.38","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","4088.0","0.34","0.0","0.0","4.99","0.34","1.71","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","4088.0","0.33","0.0","0.0","4.76","0.33","1.57","0.0","0.0","0.0","0.0","24.07","22.5","182.88","91.44","158.81","160.38","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","4088.0","0.32","0.0","0.0","4.57","0.32","1.46","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","4088.0","0.31","0.0","0.0","4.61","0.31","1.43","0.0","0.0","0.0","0.0","23.93","22.5","182.88","91.44","158.95","160.38","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","4088.0","0.3","0.0","0.0","4.22","0.3","1.27","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","4088.0","0.29","0.0","0.0","5.59","0.29","1.62","0.0","0.0","0.0","0.0","24.12","22.5","182.88","91.44","158.76","160.38","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","4088.0","0.28","0.0","0.0","4.63","0.28","1.31","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","4088.0","0.28","0.0","0.0","4.53","0.28","1.25","0.0","0.0","0.0","0.0","23.75","22.5","182.88","91.44","159.13","160.38","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","4088.0","0.27","0.0","0.0","2.58","0.27","0.7","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","4088.0","0.27","0.0","0.0","2.98","0.27","0.8","1.42","1.42","0.0","0.0","21.88","22.5","182.88","91.44","161.0","160.38","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","4088.0","1.12","0.0","0.0","2.41","1.12","2.71","6.49","6.49","0.0","0.0","18.1","22.5","182.88","91.44","164.78","160.38","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","4088.0","1.1","0.0","0.0","2.91","1.1","3.21","13.25","13.25","0.0","0.0","8.06","22.5","182.88","91.44","174.82","160.38","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","4088.0","1.07","0.0","0.0","3.48","1.07","3.74","0.0","0.0","0.0","0.0","11.8","22.5","182.88","91.44","171.08","160.38","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","4088.0","0.83","0.0","0.0","4.13","0.83","3.44","0.0","0.0","0.0","0.0","15.24","22.5","182.88","91.44","167.64","160.38","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","4088.0","0.7","0.0","0.0","4.29","0.7","3.0","0.0","0.0","0.0","0.0","18.24","22.5","182.88","91.44","164.64","160.38","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","4088.0","0.6","0.0","0.0","4.97","0.6","2.99","0.0","0.0","0.0","0.0","21.23","22.5","182.88","91.44","161.65","160.38","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","4088.0","0.53","0.0","0.0","5.12","0.53","2.74","0.0","0.0","0.0","0.0","23.97","22.5","182.88","91.44","158.91","160.38","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","4088.0","0.49","0.0","0.0","4.85","0.49","2.37","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","4088.0","0.44","0.0","0.0","6.7","0.44","2.94","0.0","0.0","0.0","0.0","25.44","22.5","182.88","91.44","157.44","160.38","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","4088.0","0.4","0.0","0.0","6.12","0.4","2.48","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","4088.0","0.38","0.0","0.0","5.33","0.38","2.03","0.0","0.0","0.0","0.0","24.53","22.5","182.88","91.44","158.35","160.38","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","4088.0","0.36","0.0","0.0","5.03","0.36","1.82","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","4088.0","0.34","0.0","0.0","5.36","0.34","1.85","0.0","0.0","0.0","0.0","24.35","22.5","182.88","91.44","158.53","160.38","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","4088.0","0.33","0.0","0.0","4.9","0.33","1.62","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","4088.0","0.32","0.0","0.0","3.95","0.32","1.27","0.0","0.0","0.0","0.0","23.77","22.5","182.88","91.44","159.11","160.38","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","4088.0","0.31","0.0","0.0","4.22","0.31","1.32","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","4088.0","0.3","0.0","0.0","4.83","0.3","1.46","0.0","0.0","0.0","0.0","23.96","22.5","182.88","91.44","158.92","160.38","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","4088.0","0.29","0.0","0.0","4.92","0.29","1.44","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","4088.0","1.06","0.0","0.0","4.12","1.06","4.35","14.13","14.13","0.0","0.0","12.72","22.5","182.88","91.44","170.16","160.38","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","4088.0","0.87","0.0","0.0","5.12","0.87","4.46","0.0","0.0","0.0","0.0","17.17","22.5","182.88","91.44","165.71","160.38","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","4088.0","0.67","0.0","0.0","6.14","0.67","4.1","0.0","0.0","0.0","0.0","21.27","22.5","182.88","91.44","161.61","160.38","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","4088.0","0.57","0.0","0.0","5.67","0.57","3.23","0.0","0.0","0.0","0.0","24.5","22.5","182.88","91.44","158.38","160.38","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","4088.0","0.51","0.0","0.0","5.35","0.51","2.72","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","4088.0","0.45","0.0","0.0","6.54","0.45","2.96","0.0","0.0","0.0","0.0","25.46","22.5","182.88","91.44","157.42","160.38","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","4088.0","0.41","1.1","0.0","6.55","1.1","7.21","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","32.67","","","","","","","","",""
"2015.0","5.0","2.0","122.0","4088.0","0.38","1.1","0.0","6.19","1.1","6.81","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.81","","","","","","","","",""
"2015.0","5.0","3.0","123.0","4088.0","0.36","1.1","0.0","5.44","1.1","5.98","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.98","","","","","","","","",""
"2015.0","5.0","4.0","124.0","4088.0","0.35","1.1","0.0","4.95","1.1","5.45","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.45","","","","","","","","",""
"2015.0","5.0","5.0","125.0","4088.0","0.33","1.1","0.0","4.89","1.1","5.38","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.38","","","","","","","","",""
"2015.0","5.0","6.0","126.0","4088.0","0.32","1.1","0.0","5.24","1.1","5.76","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.76","","","","","","","","",""
"2015.0","5.0","7.0","127.0","4088.0","0.31","1.1","0.0","4.2","1.1","4.62","0.45","0.45","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","4.17","","","","","","","","",""
"2015.0","5.0","8.0","128.0","4088.0","0.3","1.1","0.0","4.53","1.1","4.98","0.55","0.55","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","4.43","","","","","","","","",""
"2015.0","5.0","9.0","129.0","4088.0","0.29","1.1","0.0","5.14","1.1","5.65","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.65","","","","","","","","",""
"2015.0","5.0","10.0","130.0","4088.0","0.28","1.1","0.0","5.31","1.1","5.84","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.84","","","","","","","","",""
"2015.0","5.0","11.0","131.0","4088.0","0.27","1.1","0.0","5.28","1.1","5.81","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.81","","","","","","","","",""
"2015.0","5.0","12.0","132.0","4088.0","0.27","1.1","0.0","5.03","1.1","5.53","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.53","","","","","","","","",""
"2015.0","5.0","13.0","133.0","4088.0","0.26","1.1","0.0","4.79","1.1","5.27","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.27","","","","","","","","",""
"2015.0","5.0","14.0","134.0","4088.0","0.26","1.1","0.0","3.95","1.1","4.35","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","4.35","","","","","","","","",""
"2015.0","5.0","15.0","135.0","4088.0","0.25","1.1","0.0","4.75","1.1","5.23","0.02","0.02","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.21","","","","","","","","",""
"2015.0","5.0","16.0","136.0","4088.0","0.24","1.1","0.0","4.87","1.1","5.36","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.36","","","","","","","","",""
"2015.0","5.0","17.0","137.0","4088.0","0.24","1.1","0.0","4.0","1.1","4.4","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","4.4","","","","","","","","",""
"2015.0","5.0","18.0","138.0","4088.0","0.24","1.1","0.0","4.7","1.1","5.17","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.17","","","","","","","","",""
"2015.0","5.0","19.0","139.0","4088.0","0.23","1.1","0.0","5.07","1.1","5.58","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.58","","","","","","","","",""
"2015.0","5.0","20.0","140.0","4088.0","0.23","1.1","0.0","5.05","1.1","5.56","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.56","","","","","","","","",""
"2015.0","5.0","21.0","141.0","4088.0","0.22","1.1","0.0","4.58","1.1","5.04","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.04","","","","","","","","",""
"2015.0","5.0","22.0","142.0","4088.0","0.22","1.1","0.0","4.94","1.1","5.43","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.43","","","","","","","","",""
"2015.0","5.0","23.0","143.0","4088.0","0.22","1.1","0.0","4.77","1.1","5.25","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.25","","","","","","","","",""
"2015.0","5.0","24.0","144.0","4088.0","0.21","1.1","0.0","5.77","1.1","6.35","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.35","","","","","","","","",""
"2015.0","5.0","25.0","145.0","4088.0","0.21","1.1","0.0","5.58","1.1","6.14","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.14","","","","","","","","",""
"2015.0","5.0","26.0","146.0","4088.0","0.2","1.1","0.0","5.63","1.1","6.19","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.19","","","","","","","","",""
"2015.0","5.0","27.0","147.0","4088.0","0.2","1.1","0.0","5.67","1.1","6.24","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.24","","","","","","","","",""
"2015.0","5.0","28.0","148.0","4088.0","0.2","1.09","0.0","5.48","1.09","5.97","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.97","","","","","","","","",""
"2015.0","5.0","29.0","149.0","4088.0","0.19","1.08","0.0","6.16","1.08","6.64","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.64","","","","","","","","",""
"2015.0","5.0","30.0","150.0","4088.0","0.19","1.07","0.0","6.49","1.07","6.92","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.92","","","","","","","","",""
"2015.0","5.0","31.0","151.0","4088.0","0.19","1.06","0.0","5.57","1.06","5.88","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.88","","","","","","","","",""
"2015.0","6.0","1.0","152.0","4088.0","0.19","1.04","0.0","5.56","1.04","5.81","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.81","","","","","","","","",""
"2015.0","6.0","2.0","153.0","4088.0","0.18","1.03","0.0","5.75","1.03","5.94","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.94","","","","","","","","",""
"2015.0","6.0","3.0","154.0","4088.0","0.18","1.02","0.0","5.65","1.02","5.78","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.78","","","","","","","","",""
"2015.0","6.0","4.0","155.0","4088.0","0.18","1.01","0.0","5.94","1.01","6.01","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.01","","","","","","","","",""
"2015.0","6.0","5.0","156.0","4088.0","0.17","1.0","0.0","6.93","1.0","6.93","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.93","","","","","","","","",""
"2015.0","6.0","6.0","157.0","4088.0","0.17","1.0","0.0","6.53","1.0","6.53","0.01","0.01","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.52","","","","","","","","",""
"2015.0","6.0","7.0","158.0","4088.0","0.17","1.0","0.0","7.06","1.0","7.06","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.06","","","","","","","","",""
"2015.0","6.0","8.0","159.0","4088.0","0.17","1.0","0.0","7.42","1.0","7.42","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.42","","","","","","","","",""
"2015.0","6.0","9.0","160.0","4088.0","0.16","1.0","0.0","7.22","1.0","7.22","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.22","","","","","","","","",""
"2015.0","6.0","10.0","161.0","4088.0","0.16","1.0","0.0","2.57","1.0","2.57","0.07","0.07","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","2.5","","","","","","","","",""
"2015.0","6.0","11.0","162.0","4088.0","0.16","1.0","0.0","7.16","1.0","7.16","1.22","1.22","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.94","","","","","","","","",""
"2015.0","6.0","12.0","163.0","4088.0","0.16","1.0","0.0","8.08","1.0","8.08","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","8.08","","","","","","","","",""
"2015.0","6.0","13.0","164.0","4088.0","0.16","1.0","0.0","7.66","1.0","7.66","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.66","","","","","","","","",""
"2015.0","6.0","14.0","165.0","4088.0","0.15","1.0","0.0","6.92","1.0","6.92","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.92","","","","","","","","",""
"2015.0","6.0","15.0","166.0","4088.0","0.15","1.0","0.0","6.72","1.0","6.72","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.72","","","","","","","","",""
"2015.0","6.0","16.0","167.0","4088.0","0.15","1.0","0.0","7.03","1.0","7.03","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.03","","","","","","","","",""
"2015.0","6.0","17.0","168.0","4088.0","0.15","1.0","0.0","6.97","1.0","6.97","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.97","","","","","","","","",""
"2015.0","6.0","18.0","169.0","4088.0","0.15","1.0","0.0","7.75","1.0","7.75","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.75","","","","","","","","",""
"2015.0","6.0","19.0","170.0","4088.0","0.14","1.0","0.0","7.43","1.0","7.43","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.43","","","","","","","","",""
"2015.0","6.0","20.0","171.0","4088.0","0.14","1.0","0.0","7.17","1.0","7.17","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.17","","","","","","","","",""
"2015.0","6.0","21.0","172.0","4088.0","0.14","1.0","0.0","7.78","1.0","7.78","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.78","","","","","","","","",""
"2015.0","6.0","22.0","173.0","4088.0","0.14","1.0","0.0","6.99","1.0","6.99","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.99","","","","","","","","",""
"2015.0","6.0","23.0","174.0","4088.0","0.14","1.0","0.0","7.45","1.0","7.45","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.45","","","","","","","","",""
"2015.0","6.0","24.0","175.0","4088.0","0.14","1.0","0.0","7.51","1.0","7.51","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.51","","","","","","","","",""
