" Daily soil water balance output for Cucurbits in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Cucurbits in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","2.0","9.0","40.0","999.0","1.14","0.0","0.0","1.97","1.14","2.25","23.02","2.25","0.0","0.0","0.0","22.5","320.04","160.02","320.04","297.54","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","999.0","1.14","0.0","0.0","1.83","1.14","2.09","0.18","0.18","0.0","0.0","1.91","22.5","320.04","160.02","318.13","297.54","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","999.0","1.15","0.0","0.0","1.59","1.15","1.83","0.0","0.0","0.0","0.0","3.74","22.5","320.04","160.02","316.3","297.54","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","999.0","1.03","0.0","0.0","1.98","1.03","2.03","0.0","0.0","0.0","0.0","5.77","22.5","320.04","160.02","314.27","297.54","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","999.0","0.91","0.0","0.0","2.03","0.91","1.84","0.0","0.0","0.0","0.0","7.61","22.5","320.04","160.02","312.43","297.54","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","999.0","0.82","0.0","0.0","2.18","0.82","1.78","0.0","0.0","0.0","0.0","9.39","22.5","320.04","160.02","310.65","297.54","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","999.0","0.75","0.0","0.0","2.09","0.75","1.57","0.0","0.0","0.0","0.0","10.96","22.5","320.04","160.02","309.08","297.54","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","999.0","0.7","0.0","0.0","2.24","0.7","1.56","0.0","0.0","0.0","0.0","12.52","22.5","320.04","160.02","307.52","297.54","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","999.0","0.66","0.0","0.0","1.94","0.66","1.28","0.0","0.0","0.0","0.0","13.8","22.5","320.04","160.02","306.24","297.54","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","999.0","0.63","0.0","0.0","1.5","0.63","0.95","0.0","0.0","0.0","0.0","14.74","22.5","320.04","160.02","305.3","297.54","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","999.0","0.62","0.0","0.0","1.08","0.62","0.66","0.0","0.0","0.0","0.0","15.41","22.5","320.04","160.02","304.63","297.54","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","999.0","0.59","0.0","0.0","1.97","0.59","1.16","0.0","0.0","0.0","0.0","16.57","22.5","320.04","160.02","303.47","297.54","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","999.0","0.57","0.0","0.0","1.62","0.57","0.92","0.0","0.0","0.0","0.0","17.49","22.5","320.04","160.02","302.55","297.54","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","999.0","0.53","0.0","0.0","3.74","0.53","1.97","0.0","0.0","0.0","0.0","19.46","22.5","320.04","160.02","300.58","297.54","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","999.0","0.49","0.0","0.0","4.35","0.49","2.13","0.0","0.0","0.0","0.0","21.58","22.5","320.04","160.02","298.46","297.54","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","999.0","0.47","0.0","0.0","2.85","0.47","1.33","0.0","0.0","0.0","0.0","22.92","22.5","320.04","160.02","297.12","297.54","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","999.0","0.45","0.0","0.0","2.19","0.45","0.99","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","999.0","0.44","0.0","0.0","3.07","0.44","1.34","0.0","0.0","0.0","0.0","23.84","22.5","320.04","160.02","296.2","297.54","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","999.0","0.42","0.0","0.0","2.77","0.42","1.17","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","999.0","0.41","0.0","0.0","1.93","0.41","0.8","0.0","0.0","0.0","0.0","23.3","22.5","320.04","160.02","296.74","297.54","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","999.0","0.4","0.0","0.0","2.68","0.4","1.07","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","999.0","0.39","0.0","0.0","2.33","0.39","0.91","0.0","0.0","0.0","0.0","23.41","22.5","320.04","160.02","296.63","297.54","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","999.0","0.38","0.0","0.0","2.59","0.38","0.99","1.02","1.02","0.0","0.0","22.39","22.5","320.04","160.02","297.65","297.54","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","999.0","0.37","0.0","0.0","2.6","0.37","0.97","0.0","0.0","0.0","0.0","23.36","22.5","320.04","160.02","296.68","297.54","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","999.0","0.36","0.0","0.0","2.79","0.36","1.01","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","999.0","0.35","0.0","0.0","3.0","0.35","1.06","0.0","0.0","0.0","0.0","23.56","22.5","320.04","160.02","296.48","297.54","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","999.0","0.35","0.0","0.0","2.8","0.35","0.97","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","999.0","0.34","0.0","0.0","2.98","0.34","1.01","0.0","0.0","0.0","0.0","23.51","22.5","320.04","160.02","296.53","297.54","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","999.0","0.33","0.0","0.0","3.06","0.33","1.01","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","999.0","0.32","0.0","0.0","2.4","0.32","0.78","0.0","0.0","0.0","0.0","23.28","22.5","320.04","160.02","296.76","297.54","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","999.0","0.32","0.0","0.0","2.11","0.32","0.67","1.32","1.32","0.0","0.0","21.96","22.5","320.04","160.02","298.08","297.54","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","999.0","1.08","0.0","0.0","3.47","1.08","3.75","3.55","3.55","0.0","0.0","22.16","22.5","320.04","160.02","297.88","297.54","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","999.0","1.06","0.0","0.0","3.11","1.06","3.29","0.0","0.0","0.0","0.0","25.45","22.5","320.04","160.02","294.59","297.54","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","999.0","0.86","0.0","0.0","3.29","0.86","2.84","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","999.0","0.73","0.0","0.0","3.85","0.73","2.81","0.0","0.0","0.0","0.0","25.31","22.5","320.04","160.02","294.73","297.54","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","999.0","0.68","0.0","0.0","2.46","0.68","1.66","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","999.0","0.61","0.0","0.0","3.49","0.61","2.13","0.0","0.0","0.0","0.0","24.63","22.5","320.04","160.02","295.41","297.54","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","999.0","0.56","0.0","0.0","3.89","0.56","2.17","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","999.0","0.52","0.0","0.0","3.94","0.52","2.03","0.0","0.0","0.0","0.0","24.53","22.5","320.04","160.02","295.51","297.54","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","999.0","0.49","0.0","0.0","3.11","0.49","1.52","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","999.0","0.46","0.0","0.0","3.63","0.46","1.68","0.0","0.0","0.0","0.0","24.18","22.5","320.04","160.02","295.86","297.54","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","999.0","0.44","0.0","0.0","3.27","0.44","1.45","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","999.0","0.42","0.0","0.0","3.28","0.42","1.39","0.25","0.25","0.0","0.0","23.64","22.5","320.04","160.02","296.4","297.54","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","999.0","0.41","0.0","0.0","3.19","0.41","1.3","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","999.0","0.39","0.0","0.0","4.23","0.39","1.65","0.0","0.0","0.0","0.0","24.15","22.5","320.04","160.02","295.89","297.54","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","999.0","0.37","0.0","0.0","3.92","0.37","1.47","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","999.0","0.36","0.0","0.0","4.55","0.36","1.63","0.0","0.0","0.0","0.0","24.13","22.5","320.04","160.02","295.91","297.54","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","999.0","0.34","0.0","0.0","4.99","0.34","1.71","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","999.0","0.33","0.0","0.0","4.76","0.33","1.57","0.0","0.0","0.0","0.0","24.07","22.5","320.04","160.02","295.97","297.54","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","999.0","0.32","0.0","0.0","4.57","0.32","1.46","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","999.0","0.31","0.0","0.0","4.61","0.31","1.43","0.0","0.0","0.0","0.0","23.93","22.5","320.04","160.02","296.11","297.54","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","999.0","0.3","0.0","0.0","4.22","0.3","1.27","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","999.0","0.29","0.0","0.0","5.59","0.29","1.62","0.0","0.0","0.0","0.0","24.12","22.5","320.04","160.02","295.92","297.54","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","999.0","0.28","0.0","0.0","4.63","0.28","1.31","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","999.0","0.28","0.0","0.0","4.53","0.28","1.25","0.0","0.0","0.0","0.0","23.75","22.5","320.04","160.02","296.29","297.54","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","999.0","0.27","0.0","0.0","2.58","0.27","0.7","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","999.0","0.27","0.0","0.0","2.98","0.27","0.8","1.42","1.42","0.0","0.0","21.88","22.5","320.04","160.02","298.16","297.54","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","999.0","1.12","0.0","0.0","2.41","1.12","2.71","6.49","6.49","0.0","0.0","18.1","22.5","320.04","160.02","301.94","297.54","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","999.0","1.1","0.0","0.0","2.91","1.1","3.21","13.25","13.25","0.0","0.0","8.06","22.5","320.04","160.02","311.98","297.54","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","999.0","1.07","0.0","0.0","3.48","1.07","3.74","0.0","0.0","0.0","0.0","11.8","22.5","320.04","160.02","308.24","297.54","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","999.0","0.83","0.0","0.0","4.13","0.83","3.44","0.0","0.0","0.0","0.0","15.24","22.5","320.04","160.02","304.8","297.54","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","999.0","0.7","0.0","0.0","4.29","0.7","3.0","0.0","0.0","0.0","0.0","18.24","22.5","320.04","160.02","301.8","297.54","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","999.0","0.6","0.0","0.0","4.97","0.6","2.99","0.0","0.0","0.0","0.0","21.23","22.5","320.04","160.02","298.81","297.54","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","999.0","0.53","0.0","0.0","5.12","0.53","2.74","0.0","0.0","0.0","0.0","23.97","22.5","320.04","160.02","296.07","297.54","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","999.0","0.49","0.0","0.0","4.85","0.49","2.37","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","999.0","0.44","0.0","0.0","6.7","0.44","2.94","0.0","0.0","0.0","0.0","25.44","22.5","320.04","160.02","294.6","297.54","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","999.0","0.4","0.0","0.0","6.12","0.4","2.48","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","999.0","0.38","0.0","0.0","5.33","0.38","2.03","0.0","0.0","0.0","0.0","24.53","22.5","320.04","160.02","295.51","297.54","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","999.0","0.36","0.0","0.0","5.03","0.36","1.82","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","999.0","0.34","0.0","0.0","5.36","0.34","1.85","0.0","0.0","0.0","0.0","24.35","22.5","320.04","160.02","295.69","297.54","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","999.0","0.33","0.0","0.0","4.9","0.33","1.62","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","999.0","0.32","0.0","0.0","3.95","0.32","1.27","0.0","0.0","0.0","0.0","23.77","22.5","320.04","160.02","296.27","297.54","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","999.0","0.31","0.0","0.0","4.22","0.31","1.32","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","999.0","0.3","0.0","0.0","4.83","0.3","1.46","0.0","0.0","0.0","0.0","23.96","22.5","320.04","160.02","296.08","297.54","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","999.0","0.29","0.0","0.0","4.92","0.29","1.44","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","999.0","1.06","0.0","0.0","4.12","1.06","4.35","14.13","14.13","0.0","0.0","12.72","22.5","320.04","160.02","307.32","297.54","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","999.0","0.87","0.0","0.0","5.12","0.87","4.46","0.0","0.0","0.0","0.0","17.17","22.5","320.04","160.02","302.87","297.54","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","999.0","0.67","0.0","0.0","6.14","0.67","4.1","0.0","0.0","0.0","0.0","21.27","22.5","320.04","160.02","298.77","297.54","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","999.0","0.57","0.0","0.0","5.67","0.57","3.23","0.0","0.0","0.0","0.0","24.5","22.5","320.04","160.02","295.54","297.54","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","999.0","0.51","0.0","0.0","5.35","0.51","2.72","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","999.0","0.45","0.0","0.0","6.54","0.45","2.96","0.0","0.0","0.0","0.0","25.46","22.5","320.04","160.02","294.58","297.54","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","999.0","0.41","0.0","0.0","6.55","0.41","2.7","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","999.0","0.38","0.0","0.0","6.19","0.38","2.37","0.0","0.0","0.0","0.0","24.87","22.5","320.04","160.02","295.17","297.54","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","999.0","0.36","0.0","0.0","5.44","0.36","1.97","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","999.0","0.35","0.0","0.0","4.95","0.35","1.72","0.0","0.0","0.0","0.0","24.22","22.5","320.04","160.02","295.82","297.54","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","999.0","0.33","0.0","0.0","4.89","0.33","1.63","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","999.0","0.32","0.0","0.0","5.24","0.32","1.67","0.0","0.0","0.0","0.0","24.17","22.5","320.04","160.02","295.87","297.54","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","999.0","0.31","0.0","0.0","4.2","0.31","1.3","0.45","0.45","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","999.0","0.3","0.0","0.0","4.53","0.3","1.36","0.55","0.55","0.0","0.0","23.31","22.5","320.04","160.02","296.73","297.54","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","999.0","0.29","0.0","0.0","5.14","0.29","1.5","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","999.0","0.28","0.0","0.0","5.31","0.28","1.5","0.0","0.0","0.0","0.0","24.0","22.5","320.04","160.02","296.04","297.54","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","999.0","0.27","0.0","0.0","5.28","0.27","1.45","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","999.0","0.27","0.0","0.0","5.03","0.27","1.34","0.0","0.0","0.0","0.0","23.84","22.5","320.04","160.02","296.2","297.54","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","999.0","0.26","0.0","0.0","4.79","0.26","1.25","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","999.0","0.26","0.0","0.0","3.95","0.26","1.01","0.0","0.0","0.0","0.0","23.51","22.5","320.04","160.02","296.53","297.54","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","999.0","0.25","0.0","0.0","4.75","0.25","1.19","0.02","0.02","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","999.0","0.24","0.0","0.0","4.87","0.24","1.19","0.0","0.0","0.0","0.0","23.69","22.5","320.04","160.02","296.35","297.54","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","999.0","0.24","0.0","0.0","4.0","0.24","0.96","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","999.0","0.24","0.0","0.0","4.7","0.24","1.11","0.0","0.0","0.0","0.0","23.61","22.5","320.04","160.02","296.43","297.54","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","999.0","0.23","0.0","0.0","5.07","0.23","1.17","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","999.0","0.23","0.0","0.0","5.05","0.23","1.15","0.0","0.0","0.0","0.0","23.65","22.5","320.04","160.02","296.39","297.54","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","999.0","0.22","0.0","0.0","4.58","0.22","1.02","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","999.0","0.22","0.0","0.0","4.94","0.22","1.09","0.0","0.0","0.0","0.0","23.59","22.5","320.04","160.02","296.45","297.54","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","999.0","0.22","0.0","0.0","4.77","0.22","1.03","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","999.0","0.21","0.0","0.0","5.77","0.21","1.22","0.0","0.0","0.0","0.0","23.72","22.5","320.04","160.02","296.32","297.54","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","999.0","0.21","0.0","0.0","5.58","0.21","1.16","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","999.0","0.2","0.0","0.0","5.63","0.2","1.15","0.0","0.0","0.0","0.0","23.65","22.5","320.04","160.02","296.39","297.54","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","999.0","0.2","0.0","0.0","5.67","0.2","1.14","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","999.0","0.2","0.0","0.0","5.48","0.2","1.08","0.0","0.0","0.0","0.0","23.58","22.5","320.04","160.02","296.46","297.54","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","999.0","0.19","0.0","0.0","6.16","0.19","1.2","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","999.0","0.19","0.0","0.0","6.49","0.19","1.24","0.0","0.0","0.0","0.0","23.74","22.5","320.04","160.02","296.3","297.54","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","999.0","0.19","0.0","0.0","5.57","0.19","1.05","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","999.0","0.19","0.69","0.0","5.56","0.69","3.82","0.0","0.0","0.0","0.0","26.32","71.47","320.04","160.02","293.72","248.57","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","999.0","0.18","0.69","0.0","5.75","0.69","3.95","0.0","0.0","0.0","0.0","30.27","71.47","320.04","160.02","289.77","248.57","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","999.0","0.18","0.69","0.0","5.65","0.69","3.88","0.0","0.0","0.0","0.0","34.15","71.47","320.04","160.02","285.89","248.57","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","999.0","0.18","0.69","0.0","5.94","0.69","4.08","0.0","0.0","0.0","0.0","38.23","71.47","320.04","160.02","281.81","248.57","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","999.0","0.17","0.69","0.0","6.93","0.69","4.76","0.0","0.0","0.0","0.0","42.99","71.47","320.04","160.02","277.05","248.57","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","999.0","0.17","0.69","0.0","6.53","0.69","4.49","0.01","0.01","0.0","0.0","47.47","71.47","320.04","160.02","272.57","248.57","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","999.0","0.17","0.69","0.0","7.06","0.69","4.85","0.0","0.0","0.0","0.0","52.32","71.47","320.04","160.02","267.72","248.57","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","999.0","0.17","0.69","0.0","7.42","0.69","5.1","0.0","0.0","0.0","0.0","57.42","71.47","320.04","160.02","262.62","248.57","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","999.0","0.16","0.69","0.0","7.22","0.69","4.96","0.0","0.0","0.0","0.0","62.38","71.47","320.04","160.02","257.66","248.57","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","999.0","0.16","0.69","0.0","2.57","0.69","1.77","0.07","0.07","0.0","0.0","64.07","71.47","320.04","160.02","255.97","248.57","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","999.0","0.16","0.69","0.0","7.16","0.69","4.92","1.22","1.22","0.0","0.0","67.77","71.47","320.04","160.02","252.27","248.57","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","999.0","0.16","0.69","0.0","8.08","0.69","5.55","0.0","0.0","0.0","0.0","0.0","71.47","320.04","160.02","320.04","248.57","73.32","","","","","","","","",""
"2015.0","6.0","13.0","164.0","999.0","0.16","0.69","0.0","7.66","0.69","5.26","0.0","0.0","0.0","0.0","5.26","71.47","320.04","160.02","314.78","248.57","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","999.0","0.15","0.69","0.0","6.92","0.69","4.75","0.0","0.0","0.0","0.0","10.02","71.47","320.04","160.02","310.02","248.57","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","999.0","0.15","0.69","0.0","6.72","0.69","4.62","0.0","0.0","0.0","0.0","14.63","71.47","320.04","160.02","305.41","248.57","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","999.0","0.15","0.69","0.0","7.03","0.69","4.83","0.0","0.0","0.0","0.0","19.46","71.47","320.04","160.02","300.58","248.57","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","999.0","0.15","0.69","0.0","6.97","0.69","4.79","0.0","0.0","0.0","0.0","24.25","71.47","320.04","160.02","295.79","248.57","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","999.0","0.15","0.69","0.0","7.75","0.69","5.32","0.0","0.0","0.0","0.0","29.58","71.47","320.04","160.02","290.46","248.57","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","999.0","0.14","0.69","0.0","7.43","0.69","5.1","0.0","0.0","0.0","0.0","34.68","71.47","320.04","160.02","285.36","248.57","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","999.0","0.14","0.69","0.0","7.17","0.69","4.93","0.0","0.0","0.0","0.0","39.61","71.47","320.04","160.02","280.43","248.57","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","999.0","0.14","0.69","0.0","7.78","0.69","5.34","0.0","0.0","0.0","0.0","44.95","71.47","320.04","160.02","275.09","248.57","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","999.0","0.14","0.69","0.0","6.99","0.69","4.8","0.0","0.0","0.0","0.0","49.75","71.47","320.04","160.02","270.29","248.57","0.0","","","","","","","","",""
"2015.0","6.0","23.0","174.0","999.0","0.14","0.69","0.0","7.45","0.69","5.12","0.0","0.0","0.0","0.0","54.87","71.47","320.04","160.02","265.17","248.57","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","999.0","0.14","0.69","0.0","7.51","0.69","5.16","0.0","0.0","0.0","0.0","60.03","71.47","320.04","160.02","260.01","248.57","0.0","","","","","","","","",""
"2015.0","6.0","25.0","176.0","999.0","0.14","0.69","0.0","7.98","0.69","5.48","0.0","0.0","0.0","0.0","65.51","71.47","320.04","160.02","254.53","248.57","0.0","","","","","","","","",""
"2015.0","6.0","26.0","177.0","999.0","0.13","0.69","0.0","8.46","0.69","5.88","0.0","0.0","0.0","0.0","71.39","71.47","320.04","160.02","248.65","248.57","0.0","","","","","","","","",""
