" Daily soil water balance output for Citrus & Subtropical in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Citrus & Subtropical in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"2015.0","2.0","13.0","44.0","4.0","0.89","0.7","0.0","2.06","0.89","1.84","0.0","0.0","0.0","0.0","12.87","84.63","373.08","186.54","360.21","288.45","0.0","","","","","","",""
"2015.0","2.0","14.0","45.0","4.0","0.81","0.7","0.0","2.19","0.81","1.76","0.0","0.0","0.0","0.0","14.63","84.63","373.08","186.54","358.44","288.45","0.0","","","","","","",""
"2015.0","2.0","15.0","46.0","4.0","0.74","0.7","0.0","2.1","0.74","1.56","0.0","0.0","0.0","0.0","16.19","84.63","373.08","186.54","356.89","288.45","0.0","","","","","","",""
"2015.0","2.0","16.0","47.0","4.0","0.69","0.7","0.0","2.08","0.7","1.46","0.0","0.0","0.0","0.0","17.65","84.63","373.08","186.54","355.43","288.45","0.0","","","","","","",""
"2015.0","2.0","17.0","48.0","4.0","0.66","0.7","0.0","1.79","0.7","1.25","0.0","0.0","0.0","0.0","18.9","84.63","373.08","186.54","354.18","288.45","0.0","","","","","","",""
"2015.0","2.0","18.0","49.0","4.0","0.63","0.7","0.0","1.77","0.7","1.24","0.0","0.0","0.0","0.0","20.14","84.63","373.08","186.54","352.94","288.45","0.0","","","","","","",""
"2015.0","2.0","19.0","50.0","4.0","0.61","0.7","0.0","1.04","0.7","0.73","0.0","0.0","0.0","0.0","20.87","84.63","373.08","186.54","352.21","288.45","0.0","","","","","","",""
"2015.0","2.0","20.0","51.0","4.0","0.59","0.7","0.0","1.91","0.7","1.34","0.0","0.0","0.0","0.0","22.2","84.63","373.08","186.54","350.87","288.45","0.0","","","","","","",""
"2015.0","2.0","21.0","52.0","4.0","0.56","0.7","0.0","1.73","0.7","1.21","0.0","0.0","0.0","0.0","23.41","84.63","373.08","186.54","349.66","288.45","0.0","","","","","","",""
"2015.0","2.0","22.0","53.0","4.0","0.53","0.7","0.0","3.17","0.7","2.22","0.0","0.0","0.0","0.0","25.63","84.63","373.08","186.54","347.44","288.45","0.0","","","","","","",""
"2015.0","2.0","23.0","54.0","4.0","0.5","0.7","0.0","3.74","0.7","2.62","0.0","0.0","0.0","0.0","28.25","84.63","373.08","186.54","344.82","288.45","0.0","","","","","","",""
"2015.0","2.0","24.0","55.0","4.0","0.48","0.7","0.0","2.72","0.7","1.9","0.0","0.0","0.0","0.0","30.15","84.63","373.08","186.54","342.92","288.45","0.0","","","","","","",""
"2015.0","2.0","25.0","56.0","4.0","0.46","0.7","0.0","2.16","0.7","1.51","0.0","0.0","0.0","0.0","31.67","84.63","373.08","186.54","341.41","288.45","0.0","","","","","","",""
"2015.0","2.0","26.0","57.0","4.0","0.44","0.7","0.0","2.91","0.7","2.04","0.0","0.0","0.0","0.0","33.7","84.63","373.08","186.54","339.37","288.45","0.0","","","","","","",""
"2015.0","2.0","27.0","58.0","4.0","0.43","0.7","0.0","2.89","0.7","2.02","0.0","0.0","0.0","0.0","35.73","84.63","373.08","186.54","337.35","288.45","0.0","","","","","","",""
"2015.0","2.0","28.0","59.0","4.0","0.42","0.7","0.0","2.1","0.7","1.47","0.0","0.0","0.0","0.0","37.2","84.63","373.08","186.54","335.88","288.45","0.0","","","","","","",""
"2015.0","3.0","1.0","60.0","4.0","0.41","0.7","0.0","2.54","0.7","1.78","0.0","0.0","0.0","0.0","38.97","84.63","373.08","186.54","334.1","288.45","0.0","","","","","","",""
"2015.0","3.0","2.0","61.0","4.0","0.4","0.7","0.0","2.2","0.7","1.54","0.0","0.0","0.0","0.0","40.51","84.63","373.08","186.54","332.56","288.45","0.0","","","","","","",""
"2015.0","3.0","3.0","62.0","4.0","0.39","0.7","0.0","2.5","0.7","1.75","0.31","0.31","0.0","0.0","41.95","84.63","373.08","186.54","331.12","288.45","0.0","","","","","","",""
"2015.0","3.0","4.0","63.0","4.0","0.38","0.7","0.0","2.61","0.7","1.83","0.0","0.0","0.0","0.0","43.78","84.63","373.08","186.54","329.29","288.45","0.0","","","","","","",""
"2015.0","3.0","5.0","64.0","4.0","0.37","0.7","0.0","2.81","0.7","1.97","0.0","0.0","0.0","0.0","45.75","84.63","373.08","186.54","327.33","288.45","0.0","","","","","","",""
"2015.0","3.0","6.0","65.0","4.0","0.36","0.7","0.0","2.99","0.7","2.09","0.0","0.0","0.0","0.0","47.84","84.63","373.08","186.54","325.23","288.45","0.0","","","","","","",""
"2015.0","3.0","7.0","66.0","4.0","0.35","0.7","0.0","2.86","0.7","2.0","0.0","0.0","0.0","0.0","49.84","84.63","373.08","186.54","323.23","288.45","0.0","","","","","","",""
"2015.0","3.0","8.0","67.0","4.0","0.34","0.7","0.0","2.91","0.7","2.04","0.0","0.0","0.0","0.0","51.88","84.63","373.08","186.54","321.19","288.45","0.0","","","","","","",""
"2015.0","3.0","9.0","68.0","4.0","0.33","0.7","0.0","2.86","0.7","2.0","0.0","0.0","0.0","0.0","53.88","84.63","373.08","186.54","319.19","288.45","0.0","","","","","","",""
"2015.0","3.0","10.0","69.0","4.0","0.33","0.7","0.0","2.39","0.7","1.67","0.0","0.0","0.0","0.0","55.56","84.63","373.08","186.54","317.52","288.45","0.0","","","","","","",""
"2015.0","3.0","11.0","70.0","4.0","1.13","0.7","0.0","2.24","1.13","2.53","2.67","2.67","0.0","0.0","55.42","84.63","373.08","186.54","317.66","288.45","0.0","","","","","","",""
"2015.0","3.0","12.0","71.0","4.0","1.11","0.7","0.0","3.32","1.11","3.68","2.08","2.08","0.0","0.0","57.02","84.63","373.08","186.54","316.06","288.45","0.0","","","","","","",""
"2015.0","3.0","13.0","72.0","4.0","0.93","0.7","0.0","3.03","0.93","2.83","0.0","0.0","0.0","0.0","59.85","84.63","373.08","186.54","313.23","288.45","0.0","","","","","","",""
"2015.0","3.0","14.0","73.0","4.0","0.79","0.7","0.0","3.33","0.79","2.63","0.0","0.0","0.0","0.0","62.48","84.63","373.08","186.54","310.6","288.45","0.0","","","","","","",""
"2015.0","3.0","15.0","74.0","4.0","0.69","0.7","0.0","3.77","0.7","2.64","0.0","0.0","0.0","0.0","65.12","84.63","373.08","186.54","307.96","288.45","0.0","","","","","","",""
"2015.0","3.0","16.0","75.0","4.0","0.64","0.7","0.0","2.61","0.7","1.83","0.0","0.0","0.0","0.0","66.94","84.63","373.08","186.54","306.13","288.45","0.0","","","","","","",""
"2015.0","3.0","17.0","76.0","4.0","0.58","0.7","0.0","3.59","0.7","2.51","0.0","0.0","0.0","0.0","69.46","84.63","373.08","186.54","303.62","288.45","0.0","","","","","","",""
"2015.0","3.0","18.0","77.0","4.0","0.54","0.7","0.0","3.75","0.7","2.63","1.28","1.28","0.0","0.0","70.8","84.63","373.08","186.54","302.28","288.45","0.0","","","","","","",""
"2015.0","3.0","19.0","78.0","4.0","0.5","0.7","0.0","3.78","0.7","2.65","0.0","0.0","0.0","0.0","73.45","84.63","373.08","186.54","299.63","288.45","0.0","","","","","","",""
"2015.0","3.0","20.0","79.0","4.0","0.48","0.7","0.0","3.08","0.7","2.16","0.0","0.0","0.0","0.0","75.6","84.63","373.08","186.54","297.47","288.45","0.0","","","","","","",""
"2015.0","3.0","21.0","80.0","4.0","0.45","0.7","0.0","3.5","0.7","2.45","0.0","0.0","0.0","0.0","78.05","84.63","373.08","186.54","295.02","288.45","0.0","","","","","","",""
"2015.0","3.0","22.0","81.0","4.0","0.43","0.7","0.0","3.12","0.7","2.18","0.0","0.0","0.0","0.0","80.24","84.63","373.08","186.54","292.84","288.45","0.0","","","","","","",""
"2015.0","3.0","23.0","82.0","4.0","0.42","0.7","0.0","3.08","0.7","2.16","0.53","0.53","0.0","0.0","81.86","84.63","373.08","186.54","291.21","288.45","0.0","","","","","","",""
"2015.0","3.0","24.0","83.0","4.0","0.4","0.7","0.0","3.33","0.7","2.33","0.0","0.0","0.0","0.0","84.19","84.63","373.08","186.54","288.88","288.45","0.0","","","","","","",""
"2015.0","3.0","25.0","84.0","4.0","0.39","0.7","0.0","4.06","0.7","2.84","0.0","0.0","0.0","0.0","0.0","84.63","373.08","186.54","373.08","288.45","87.04","","","","","","",""
"2015.0","3.0","26.0","85.0","4.0","0.37","0.7","0.0","3.9","0.7","2.73","0.0","0.0","0.0","0.0","2.73","84.63","373.08","186.54","370.35","288.45","0.0","","","","","","",""
"2015.0","3.0","27.0","86.0","4.0","0.36","0.7","0.0","4.27","0.7","2.99","0.0","0.0","0.0","0.0","5.72","84.63","373.08","186.54","367.36","288.45","0.0","","","","","","",""
"2015.0","3.0","28.0","87.0","4.0","0.34","0.7","0.0","4.84","0.7","3.39","0.0","0.0","0.0","0.0","9.11","84.63","373.08","186.54","363.97","288.45","0.0","","","","","","",""
"2015.0","3.0","29.0","88.0","4.0","0.33","0.7","0.0","4.63","0.7","3.24","0.0","0.0","0.0","0.0","12.35","84.63","373.08","186.54","360.73","288.45","0.0","","","","","","",""
"2015.0","3.0","30.0","89.0","4.0","0.32","0.7","0.0","4.42","0.7","3.09","0.0","0.0","0.0","0.0","15.44","84.63","373.08","186.54","357.63","288.45","0.0","","","","","","",""
"2015.0","3.0","31.0","90.0","4.0","0.31","0.7","0.0","4.62","0.7","3.23","0.0","0.0","0.0","0.0","18.68","84.63","373.08","186.54","354.4","288.45","0.0","","","","","","",""
"2015.0","4.0","1.0","91.0","4.0","0.3","0.7","0.0","4.12","0.7","2.88","0.0","0.0","0.0","0.0","21.56","84.63","373.08","186.54","351.52","288.45","0.0","","","","","","",""
"2015.0","4.0","2.0","92.0","4.0","0.29","0.7","0.0","5.35","0.7","3.75","0.0","0.0","0.0","0.0","25.31","84.63","373.08","186.54","347.77","288.45","0.0","","","","","","",""
"2015.0","4.0","3.0","93.0","4.0","0.28","0.7","0.0","4.55","0.7","3.19","0.0","0.0","0.0","0.0","28.49","84.63","373.08","186.54","344.59","288.45","0.0","","","","","","",""
"2015.0","4.0","4.0","94.0","4.0","0.28","0.7","0.0","4.42","0.7","3.09","0.0","0.0","0.0","0.0","31.58","84.63","373.08","186.54","341.49","288.45","0.0","","","","","","",""
"2015.0","4.0","5.0","95.0","4.0","0.27","0.7","0.0","2.61","0.7","1.83","0.65","0.65","0.0","0.0","32.76","84.63","373.08","186.54","340.31","288.45","0.0","","","","","","",""
"2015.0","4.0","6.0","96.0","4.0","1.1","0.7","0.0","2.92","1.1","3.22","4.82","4.82","0.0","0.0","31.16","84.63","373.08","186.54","341.91","288.45","0.0","","","","","","",""
"2015.0","4.0","7.0","97.0","4.0","1.11","0.7","0.0","2.82","1.11","3.12","3.41","3.41","0.0","0.0","30.87","84.63","373.08","186.54","342.2","288.45","0.0","","","","","","",""
"2015.0","4.0","8.0","98.0","4.0","1.1","0.7","0.0","3.06","1.1","3.36","6.61","6.61","0.0","0.0","27.62","84.63","373.08","186.54","345.45","288.45","0.0","","","","","","",""
"2015.0","4.0","9.0","99.0","4.0","1.06","0.7","0.0","3.49","1.06","3.7","0.0","0.0","0.0","0.0","31.32","84.63","373.08","186.54","341.75","288.45","0.0","","","","","","",""
"2015.0","4.0","10.0","100.0","4.0","0.83","0.7","0.0","4.07","0.83","3.37","0.0","0.0","0.0","0.0","34.7","84.63","373.08","186.54","338.38","288.45","0.0","","","","","","",""
"2015.0","4.0","11.0","101.0","4.0","0.7","0.7","0.0","4.2","0.7","2.94","0.0","0.0","0.0","0.0","37.64","84.63","373.08","186.54","335.44","288.45","0.0","","","","","","",""
"2015.0","4.0","12.0","102.0","4.0","0.61","0.7","0.0","4.8","0.7","3.36","0.0","0.0","0.0","0.0","41.0","84.63","373.08","186.54","332.08","288.45","0.0","","","","","","",""
"2015.0","4.0","13.0","103.0","4.0","0.54","0.7","0.0","4.68","0.7","3.28","0.0","0.0","0.0","0.0","44.27","84.63","373.08","186.54","328.8","288.45","0.0","","","","","","",""
"2015.0","4.0","14.0","104.0","4.0","0.49","0.7","0.0","4.89","0.7","3.42","0.0","0.0","0.0","0.0","47.69","84.63","373.08","186.54","325.38","288.45","0.0","","","","","","",""
"2015.0","4.0","15.0","105.0","4.0","0.45","0.7","0.0","6.17","0.7","4.32","0.0","0.0","0.0","0.0","52.01","84.63","373.08","186.54","321.06","288.45","0.0","","","","","","",""
"2015.0","4.0","16.0","106.0","4.0","0.41","0.7","0.0","5.75","0.7","4.03","0.0","0.0","0.0","0.0","56.04","84.63","373.08","186.54","317.04","288.45","0.0","","","","","","",""
"2015.0","4.0","17.0","107.0","4.0","0.39","0.7","0.0","5.26","0.7","3.68","0.0","0.0","0.0","0.0","59.72","84.63","373.08","186.54","313.35","288.45","0.0","","","","","","",""
"2015.0","4.0","18.0","108.0","4.0","0.37","0.7","0.0","4.83","0.7","3.38","0.0","0.0","0.0","0.0","63.1","84.63","373.08","186.54","309.97","288.45","0.0","","","","","","",""
"2015.0","4.0","19.0","109.0","4.0","0.35","0.7","0.0","4.94","0.7","3.46","0.0","0.0","0.0","0.0","66.56","84.63","373.08","186.54","306.52","288.45","0.0","","","","","","",""
"2015.0","4.0","20.0","110.0","4.0","0.34","0.7","0.0","4.55","0.7","3.19","0.0","0.0","0.0","0.0","69.74","84.63","373.08","186.54","303.33","288.45","0.0","","","","","","",""
"2015.0","4.0","21.0","111.0","4.0","0.33","0.7","0.0","3.69","0.7","2.58","0.0","0.0","0.0","0.0","72.33","84.63","373.08","186.54","300.75","288.45","0.0","","","","","","",""
"2015.0","4.0","22.0","112.0","4.0","0.32","0.7","0.0","4.06","0.7","2.84","0.0","0.0","0.0","0.0","75.17","84.63","373.08","186.54","297.91","288.45","0.0","","","","","","",""
"2015.0","4.0","23.0","113.0","4.0","0.31","0.7","0.0","4.61","0.7","3.23","0.0","0.0","0.0","0.0","78.4","84.63","373.08","186.54","294.68","288.45","0.0","","","","","","",""
"2015.0","4.0","24.0","114.0","4.0","0.3","0.7","0.0","4.98","0.7","3.49","0.0","0.0","0.0","0.0","81.88","84.63","373.08","186.54","291.19","288.45","0.0","","","","","","",""
"2015.0","4.0","25.0","115.0","4.0","1.06","0.7","0.0","3.96","1.06","4.2","7.89","7.89","0.0","0.0","78.2","84.63","373.08","186.54","294.88","288.45","0.0","","","","","","",""
"2015.0","4.0","26.0","116.0","4.0","0.88","0.7","0.0","5.06","0.88","4.47","0.0","0.0","0.0","0.0","82.66","84.63","373.08","186.54","290.41","288.45","0.0","","","","","","",""
"2015.0","4.0","27.0","117.0","4.0","0.68","0.7","0.0","5.85","0.7","4.1","0.0","0.0","0.0","0.0","0.0","84.63","373.08","186.54","373.08","288.45","86.76","","","","","","",""
"2015.0","4.0","28.0","118.0","4.0","0.58","0.7","0.0","5.37","0.7","3.76","0.0","0.0","0.0","0.0","3.76","84.63","373.08","186.54","369.32","288.45","0.0","","","","","","",""
"2015.0","4.0","29.0","119.0","4.0","0.52","0.7","0.0","5.19","0.7","3.63","0.0","0.0","0.0","0.0","7.39","84.63","373.08","186.54","365.68","288.45","0.0","","","","","","",""
"2015.0","4.0","30.0","120.0","4.0","0.46","0.7","0.0","6.36","0.7","4.45","0.0","0.0","0.0","0.0","11.84","84.63","373.08","186.54","361.23","288.45","0.0","","","","","","",""
"2015.0","5.0","1.0","121.0","4.0","0.42","0.7","0.0","6.3","0.7","4.41","0.0","0.0","0.0","0.0","16.25","84.63","373.08","186.54","356.82","288.45","0.0","","","","","","",""
"2015.0","5.0","2.0","122.0","4.0","0.39","0.7","0.0","5.65","0.7","3.96","0.0","0.0","0.0","0.0","20.21","84.63","373.08","186.54","352.87","288.45","0.0","","","","","","",""
"2015.0","5.0","3.0","123.0","4.0","0.37","0.7","0.0","4.95","0.7","3.47","0.0","0.0","0.0","0.0","23.67","84.63","373.08","186.54","349.4","288.45","0.0","","","","","","",""
"2015.0","5.0","4.0","124.0","4.0","0.36","0.7","0.0","4.62","0.7","3.23","0.0","0.0","0.0","0.0","26.91","84.63","373.08","186.54","346.17","288.45","0.0","","","","","","",""
"2015.0","5.0","5.0","125.0","4.0","0.34","0.7","0.0","4.71","0.7","3.3","0.0","0.0","0.0","0.0","30.21","84.63","373.08","186.54","342.87","288.45","0.0","","","","","","",""
"2015.0","5.0","6.0","126.0","4.0","0.33","0.7","0.0","4.99","0.7","3.49","0.0","0.0","0.0","0.0","33.7","84.63","373.08","186.54","339.38","288.45","0.0","","","","","","",""
"2015.0","5.0","7.0","127.0","4.0","0.32","0.7","0.0","3.32","0.7","2.32","0.0","0.0","0.0","0.0","36.02","84.63","373.08","186.54","337.05","288.45","0.0","","","","","","",""
"2015.0","5.0","8.0","128.0","4.0","0.31","0.7","0.0","4.33","0.7","3.03","0.3","0.3","0.0","0.0","38.75","84.63","373.08","186.54","334.32","288.45","0.0","","","","","","",""
"2015.0","5.0","9.0","129.0","4.0","0.3","0.7","0.0","4.75","0.7","3.33","0.0","0.0","0.0","0.0","42.08","84.63","373.08","186.54","331.0","288.45","0.0","","","","","","",""
"2015.0","5.0","10.0","130.0","4.0","0.29","0.7","0.0","4.97","0.7","3.48","0.0","0.0","0.0","0.0","45.56","84.63","373.08","186.54","327.52","288.45","0.0","","","","","","",""
"2015.0","5.0","11.0","131.0","4.0","0.28","0.7","0.0","4.98","0.7","3.49","0.0","0.0","0.0","0.0","49.04","84.63","373.08","186.54","324.03","288.45","0.0","","","","","","",""
"2015.0","5.0","12.0","132.0","4.0","0.28","0.7","0.0","4.94","0.7","3.46","0.0","0.0","0.0","0.0","52.5","84.63","373.08","186.54","320.57","288.45","0.0","","","","","","",""
"2015.0","5.0","13.0","133.0","4.0","0.27","0.7","0.0","4.64","0.7","3.25","0.0","0.0","0.0","0.0","55.75","84.63","373.08","186.54","317.33","288.45","0.0","","","","","","",""
"2015.0","5.0","14.0","134.0","4.0","0.27","0.7","0.0","3.04","0.7","2.13","0.0","0.0","0.0","0.0","57.88","84.63","373.08","186.54","315.2","288.45","0.0","","","","","","",""
"2015.0","5.0","15.0","135.0","4.0","0.26","0.7","0.0","4.56","0.7","3.19","3.66","3.66","0.0","0.0","57.41","84.63","373.08","186.54","315.67","288.45","0.0","","","","","","",""
"2015.0","5.0","16.0","136.0","4.0","0.25","0.7","0.0","4.67","0.7","3.27","0.0","0.0","0.0","0.0","60.68","84.63","373.08","186.54","312.4","288.45","0.0","","","","","","",""
"2015.0","5.0","17.0","137.0","4.0","0.25","0.7","0.0","3.98","0.7","2.79","0.0","0.0","0.0","0.0","63.46","84.63","373.08","186.54","309.61","288.45","0.0","","","","","","",""
"2015.0","5.0","18.0","138.0","4.0","0.24","0.7","0.0","4.71","0.7","3.3","0.0","0.0","0.0","0.0","66.76","84.63","373.08","186.54","306.31","288.45","0.0","","","","","","",""
"2015.0","5.0","19.0","139.0","4.0","0.24","0.7","0.0","4.89","0.7","3.42","0.0","0.0","0.0","0.0","70.18","84.63","373.08","186.54","302.89","288.45","0.0","","","","","","",""
"2015.0","5.0","20.0","140.0","4.0","0.24","0.7","0.0","4.74","0.7","3.32","0.0","0.0","0.0","0.0","73.5","84.63","373.08","186.54","299.57","288.45","0.0","","","","","","",""
"2015.0","5.0","21.0","141.0","4.0","0.23","0.7","0.0","4.02","0.7","2.81","0.0","0.0","0.0","0.0","76.32","84.63","373.08","186.54","296.76","288.45","0.0","","","","","","",""
"2015.0","5.0","22.0","142.0","4.0","0.23","0.7","0.0","4.76","0.7","3.33","0.0","0.0","0.0","0.0","79.65","84.63","373.08","186.54","293.43","288.45","0.0","","","","","","",""
"2015.0","5.0","23.0","143.0","4.0","0.22","0.7","0.0","4.73","0.7","3.31","0.0","0.0","0.0","0.0","82.96","84.63","373.08","186.54","290.12","288.45","0.0","","","","","","",""
"2015.0","5.0","24.0","144.0","4.0","0.22","0.7","0.0","5.3","0.7","3.71","0.0","0.0","0.0","0.0","0.0","84.63","373.08","186.54","373.08","288.45","86.67","","","","","","",""
"2015.0","5.0","25.0","145.0","4.0","0.22","0.7","0.0","5.22","0.7","3.65","0.0","0.0","0.0","0.0","3.65","84.63","373.08","186.54","369.42","288.45","0.0","","","","","","",""
"2015.0","5.0","26.0","146.0","4.0","0.21","0.7","0.0","5.23","0.7","3.66","0.0","0.0","0.0","0.0","7.32","84.63","373.08","186.54","365.76","288.45","0.0","","","","","","",""
"2015.0","5.0","27.0","147.0","4.0","0.21","0.7","0.0","5.27","0.7","3.69","0.0","0.0","0.0","0.0","11.0","84.63","373.08","186.54","362.07","288.45","0.0","","","","","","",""
"2015.0","5.0","28.0","148.0","4.0","0.2","0.7","0.0","5.16","0.7","3.61","0.0","0.0","0.0","0.0","14.62","84.63","373.08","186.54","358.46","288.45","0.0","","","","","","",""
"2015.0","5.0","29.0","149.0","4.0","0.2","0.7","0.0","5.83","0.7","4.08","0.0","0.0","0.0","0.0","18.7","84.63","373.08","186.54","354.38","288.45","0.0","","","","","","",""
"2015.0","5.0","30.0","150.0","4.0","0.2","0.7","0.0","6.13","0.7","4.29","0.0","0.0","0.0","0.0","22.99","84.63","373.08","186.54","350.09","288.45","0.0","","","","","","",""
"2015.0","5.0","31.0","151.0","4.0","0.19","0.7","0.0","5.1","0.7","3.57","0.0","0.0","0.0","0.0","26.56","84.63","373.08","186.54","346.52","288.45","0.0","","","","","","",""
"2015.0","6.0","1.0","152.0","4.0","0.19","0.7","0.0","5.33","0.7","3.73","0.0","0.0","0.0","0.0","30.29","84.63","373.08","186.54","342.79","288.45","0.0","","","","","","",""
"2015.0","6.0","2.0","153.0","4.0","0.19","0.7","0.0","5.55","0.7","3.89","0.0","0.0","0.0","0.0","34.17","84.63","373.08","186.54","338.9","288.45","0.0","","","","","","",""
"2015.0","6.0","3.0","154.0","4.0","0.19","0.7","0.0","5.22","0.7","3.65","0.0","0.0","0.0","0.0","37.83","84.63","373.08","186.54","335.25","288.45","0.0","","","","","","",""
"2015.0","6.0","4.0","155.0","4.0","0.18","0.7","0.0","5.69","0.7","3.98","0.0","0.0","0.0","0.0","41.81","84.63","373.08","186.54","331.26","288.45","0.0","","","","","","",""
"2015.0","6.0","5.0","156.0","4.0","0.18","0.7","0.0","6.41","0.7","4.49","0.0","0.0","0.0","0.0","46.3","84.63","373.08","186.54","326.78","288.45","0.0","","","","","","",""
"2015.0","6.0","6.0","157.0","4.0","0.18","0.7","0.0","6.08","0.7","4.26","0.0","0.0","0.0","0.0","50.55","84.63","373.08","186.54","322.52","288.45","0.0","","","","","","",""
"2015.0","6.0","7.0","158.0","4.0","0.18","0.7","0.0","6.53","0.7","4.57","0.0","0.0","0.0","0.0","55.13","84.63","373.08","186.54","317.95","288.45","0.0","","","","","","",""
"2015.0","6.0","8.0","159.0","4.0","0.17","0.7","0.0","7.19","0.7","5.03","0.0","0.0","0.0","0.0","60.16","84.63","373.08","186.54","312.92","288.45","0.0","","","","","","",""
"2015.0","6.0","9.0","160.0","4.0","0.17","0.7","0.0","6.4","0.7","4.48","0.0","0.0","0.0","0.0","64.64","84.63","373.08","186.54","308.44","288.45","0.0","","","","","","",""
"2015.0","6.0","10.0","161.0","4.0","0.17","0.7","0.0","2.74","0.7","1.92","0.19","0.19","0.0","0.0","66.37","84.63","373.08","186.54","306.71","288.45","0.0","","","","","","",""
"2015.0","6.0","11.0","162.0","4.0","0.17","0.7","0.0","6.69","0.7","4.68","3.14","3.14","0.0","0.0","67.91","84.63","373.08","186.54","305.17","288.45","0.0","","","","","","",""
"2015.0","6.0","12.0","163.0","4.0","0.16","0.7","0.0","7.43","0.7","5.2","0.0","0.0","0.0","0.0","73.11","84.63","373.08","186.54","299.97","288.45","0.0","","","","","","",""
"2015.0","6.0","13.0","164.0","4.0","0.16","0.7","0.0","7.13","0.7","4.99","0.0","0.0","0.0","0.0","78.1","84.63","373.08","186.54","294.97","288.45","0.0","","","","","","",""
"2015.0","6.0","14.0","165.0","4.0","0.16","0.7","0.0","6.37","0.7","4.46","0.0","0.0","0.0","0.0","82.56","84.63","373.08","186.54","290.52","288.45","0.0","","","","","","",""
"2015.0","6.0","15.0","166.0","4.0","0.16","0.7","0.0","6.19","0.7","4.33","0.0","0.0","0.0","0.0","0.0","84.63","373.08","186.54","373.08","288.45","86.89","","","","","","",""
"2015.0","6.0","16.0","167.0","4.0","0.16","0.7","0.0","6.63","0.7","4.64","3.09","3.09","0.0","0.0","1.55","84.63","373.08","186.54","371.52","288.45","0.0","","","","","","",""
"2015.0","6.0","17.0","168.0","4.0","0.15","0.7","0.0","6.67","0.7","4.67","0.0","0.0","0.0","0.0","6.22","84.63","373.08","186.54","366.86","288.45","0.0","","","","","","",""
"2015.0","6.0","18.0","169.0","4.0","0.15","0.7","0.0","7.15","0.7","5.01","0.0","0.0","0.0","0.0","11.23","84.63","373.08","186.54","361.85","288.45","0.0","","","","","","",""
"2015.0","6.0","19.0","170.0","4.0","0.15","0.7","0.0","7.13","0.7","4.99","0.0","0.0","0.0","0.0","16.22","84.63","373.08","186.54","356.86","288.45","0.0","","","","","","",""
"2015.0","6.0","20.0","171.0","4.0","0.15","0.7","0.0","6.67","0.7","4.67","0.0","0.0","0.0","0.0","20.89","84.63","373.08","186.54","352.19","288.45","0.0","","","","","","",""
"2015.0","6.0","21.0","172.0","4.0","0.15","0.7","0.0","7.12","0.7","4.98","0.0","0.0","0.0","0.0","25.87","84.63","373.08","186.54","347.21","288.45","0.0","","","","","","",""
"2015.0","6.0","22.0","173.0","4.0","0.15","0.7","0.0","6.69","0.7","4.68","0.0","0.0","0.0","0.0","30.55","84.63","373.08","186.54","342.52","288.45","0.0","","","","","","",""
"2015.0","6.0","23.0","174.0","4.0","0.14","0.7","0.0","7.08","0.7","4.96","0.0","0.0","0.0","0.0","35.51","84.63","373.08","186.54","337.57","288.45","0.0","","","","","","",""
"2015.0","6.0","24.0","175.0","4.0","0.14","0.7","0.0","7.0","0.7","4.9","0.0","0.0","0.0","0.0","40.41","84.63","373.08","186.54","332.67","288.45","0.0","","","","","","",""
"2015.0","6.0","25.0","176.0","4.0","0.14","0.7","0.0","7.72","0.7","5.4","0.0","0.0","0.0","0.0","45.81","84.63","373.08","186.54","327.26","288.45","0.0","","","","","","",""
"2015.0","6.0","26.0","177.0","4.0","0.14","0.7","0.0","7.92","0.7","5.54","0.0","0.0","0.0","0.0","51.36","84.63","373.08","186.54","321.72","288.45","0.0","","","","","","",""
"2015.0","6.0","27.0","178.0","4.0","0.14","0.7","0.0","6.22","0.7","4.35","0.0","0.0","0.0","0.0","55.71","84.63","373.08","186.54","317.37","288.45","0.0","","","","","","",""
"2015.0","6.0","28.0","179.0","4.0","0.14","0.7","0.0","6.84","0.7","4.79","0.0","0.0","0.0","0.0","60.5","84.63","373.08","186.54","312.58","288.45","0.0","","","","","","",""
"2015.0","6.0","29.0","180.0","4.0","0.13","0.7","0.0","7.27","0.7","5.09","0.0","0.0","0.0","0.0","65.59","84.63","373.08","186.54","307.49","288.45","0.0","","","","","","",""
"2015.0","6.0","30.0","181.0","4.0","0.13","0.7","0.0","7.45","0.7","5.22","0.0","0.0","0.0","0.0","70.8","84.63","373.08","186.54","302.27","288.45","0.0","","","","","","",""
"2015.0","7.0","1.0","182.0","4.0","0.13","0.7","0.0","7.25","0.7","5.08","0.0","0.0","0.0","0.0","75.88","84.63","373.08","186.54","297.2","288.45","0.0","","","","","","",""
"2015.0","7.0","2.0","183.0","4.0","0.13","0.7","0.0","6.75","0.7","4.73","0.0","0.0","0.0","0.0","80.6","84.63","373.08","186.54","292.47","288.45","0.0","","","","","","",""
"2015.0","7.0","3.0","184.0","4.0","0.13","0.7","0.0","7.24","0.7","5.07","0.0","0.0","0.0","0.0","0.0","84.63","373.08","186.54","373.08","288.45","85.67","","","","","","",""
