" Daily soil water balance output for Tomato Fresh in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Tomato Fresh in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","2.0","8.0","39.0","3770.0","1.17","0.0","0.0","1.29","1.17","1.51","4.7","1.51","0.0","0.0","0.0","22.5","274.2","137.1","274.2","251.7","0.0","","","","","","","","",""
"2015.0","2.0","9.0","40.0","3770.0","1.14","0.0","0.0","1.97","1.14","2.25","23.02","2.25","0.0","0.0","0.0","22.5","274.2","137.1","274.2","251.7","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","3770.0","1.14","0.0","0.0","1.83","1.14","2.09","0.18","0.18","0.0","0.0","1.91","22.5","274.2","137.1","272.29","251.7","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","3770.0","1.15","0.0","0.0","1.59","1.15","1.83","0.0","0.0","0.0","0.0","3.74","22.5","274.2","137.1","270.46","251.7","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","3770.0","1.03","0.0","0.0","1.98","1.03","2.03","0.0","0.0","0.0","0.0","5.77","22.5","274.2","137.1","268.43","251.7","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","3770.0","0.91","0.0","0.0","2.03","0.91","1.84","0.0","0.0","0.0","0.0","7.61","22.5","274.2","137.1","266.59","251.7","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","3770.0","0.82","0.0","0.0","2.18","0.82","1.78","0.0","0.0","0.0","0.0","9.39","22.5","274.2","137.1","264.81","251.7","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","3770.0","0.75","0.0","0.0","2.09","0.75","1.57","0.0","0.0","0.0","0.0","10.96","22.5","274.2","137.1","263.24","251.7","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","3770.0","0.7","0.0","0.0","2.24","0.7","1.56","0.0","0.0","0.0","0.0","12.52","22.5","274.2","137.1","261.68","251.7","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","3770.0","0.66","0.0","0.0","1.94","0.66","1.28","0.0","0.0","0.0","0.0","13.8","22.5","274.2","137.1","260.4","251.7","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","3770.0","0.63","0.0","0.0","1.5","0.63","0.95","0.0","0.0","0.0","0.0","14.74","22.5","274.2","137.1","259.46","251.7","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","3770.0","0.62","0.0","0.0","1.08","0.62","0.66","0.0","0.0","0.0","0.0","15.41","22.5","274.2","137.1","258.79","251.7","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","3770.0","0.59","0.0","0.0","1.97","0.59","1.16","0.0","0.0","0.0","0.0","16.57","22.5","274.2","137.1","257.63","251.7","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","3770.0","0.57","0.0","0.0","1.62","0.57","0.92","0.0","0.0","0.0","0.0","17.49","22.5","274.2","137.1","256.71","251.7","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","3770.0","0.53","0.0","0.0","3.74","0.53","1.97","0.0","0.0","0.0","0.0","19.46","22.5","274.2","137.1","254.74","251.7","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","3770.0","0.49","0.0","0.0","4.35","0.49","2.13","0.0","0.0","0.0","0.0","21.58","22.5","274.2","137.1","252.62","251.7","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","3770.0","0.47","0.0","0.0","2.85","0.47","1.33","0.0","0.0","0.0","0.0","22.92","22.5","274.2","137.1","251.28","251.7","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","3770.0","0.45","0.0","0.0","2.19","0.45","0.99","0.0","0.0","0.0","0.0","22.5","22.5","274.2","137.1","251.7","251.7","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","3770.0","0.44","0.0","0.0","3.07","0.44","1.34","0.0","0.0","0.0","0.0","23.84","22.5","274.2","137.1","250.36","251.7","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","3770.0","0.42","0.0","0.0","2.77","0.42","1.17","0.0","0.0","0.0","0.0","22.5","22.5","274.2","137.1","251.7","251.7","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","3770.0","0.41","0.0","0.0","1.93","0.41","0.8","0.0","0.0","0.0","0.0","23.3","22.5","274.2","137.1","250.9","251.7","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","3770.0","0.4","0.0","0.0","2.68","0.4","1.07","0.0","0.0","0.0","0.0","22.5","22.5","274.2","137.1","251.7","251.7","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","3770.0","0.39","0.0","0.0","2.33","0.39","0.91","0.0","0.0","0.0","0.0","23.41","22.5","274.2","137.1","250.79","251.7","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","3770.0","0.38","0.0","0.0","2.59","0.38","0.99","1.02","1.02","0.0","0.0","22.39","22.5","274.2","137.1","251.81","251.7","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","3770.0","0.37","0.0","0.0","2.6","0.37","0.97","0.0","0.0","0.0","0.0","23.36","22.5","274.2","137.1","250.84","251.7","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","3770.0","0.36","0.0","0.0","2.79","0.36","1.01","0.0","0.0","0.0","0.0","22.5","22.5","274.2","137.1","251.7","251.7","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","3770.0","0.35","0.0","0.0","3.0","0.35","1.06","0.0","0.0","0.0","0.0","23.56","22.5","274.2","137.1","250.64","251.7","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","3770.0","0.35","0.0","0.0","2.8","0.35","0.97","0.0","0.0","0.0","0.0","22.5","22.5","274.2","137.1","251.7","251.7","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","3770.0","0.34","0.0","0.0","2.98","0.34","1.01","0.0","0.0","0.0","0.0","23.51","22.5","274.2","137.1","250.69","251.7","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","3770.0","0.33","0.0","0.0","3.06","0.33","1.01","0.0","0.0","0.0","0.0","22.5","22.5","274.2","137.1","251.7","251.7","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","3770.0","0.32","0.0","0.0","2.4","0.32","0.78","0.0","0.0","0.0","0.0","23.28","22.5","274.2","137.1","250.92","251.7","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","3770.0","0.32","0.0","0.0","2.11","0.32","0.67","1.32","1.32","0.0","0.0","21.96","22.5","274.2","137.1","252.24","251.7","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","3770.0","1.08","0.0","0.0","3.47","1.08","3.75","3.55","3.55","0.0","0.0","22.16","22.5","274.2","137.1","252.04","251.7","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","3770.0","1.06","0.0","0.0","3.11","1.06","3.29","0.0","0.0","0.0","0.0","25.45","22.5","274.2","137.1","248.75","251.7","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","3770.0","0.86","0.0","0.0","3.29","0.86","2.84","0.0","0.0","0.0","0.0","22.5","22.5","274.2","137.1","251.7","251.7","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","3770.0","0.73","0.0","0.0","3.85","0.73","2.81","0.0","0.0","0.0","0.0","25.31","22.5","274.2","137.1","248.89","251.7","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","3770.0","0.68","0.0","0.0","2.46","0.68","1.66","0.0","0.0","0.0","0.0","22.5","22.5","274.2","137.1","251.7","251.7","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","3770.0","0.61","0.0","0.0","3.49","0.61","2.13","0.0","0.0","0.0","0.0","24.63","22.5","274.2","137.1","249.57","251.7","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","3770.0","0.56","0.0","0.0","3.89","0.56","2.17","0.0","0.0","0.0","0.0","22.5","22.5","274.2","137.1","251.7","251.7","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","3770.0","0.52","0.0","0.0","3.94","0.52","2.03","0.0","0.0","0.0","0.0","24.53","22.5","274.2","137.1","249.67","251.7","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","3770.0","0.49","0.0","0.0","3.11","0.49","1.52","0.0","0.0","0.0","0.0","22.5","22.5","274.2","137.1","251.7","251.7","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","3770.0","0.46","0.0","0.0","3.63","0.46","1.68","0.0","0.0","0.0","0.0","24.18","22.5","274.2","137.1","250.02","251.7","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","3770.0","0.44","0.0","0.0","3.27","0.44","1.45","0.0","0.0","0.0","0.0","22.5","22.5","274.2","137.1","251.7","251.7","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","3770.0","0.42","0.0","0.0","3.28","0.42","1.39","0.25","0.25","0.0","0.0","23.64","22.5","274.2","137.1","250.56","251.7","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","3770.0","0.41","0.0","0.0","3.19","0.41","1.3","0.0","0.0","0.0","0.0","22.5","22.5","274.2","137.1","251.7","251.7","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","3770.0","0.39","0.0","0.0","4.23","0.39","1.65","0.0","0.0","0.0","0.0","24.15","22.5","274.2","137.1","250.05","251.7","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","3770.0","0.37","0.0","0.0","3.92","0.37","1.47","0.0","0.0","0.0","0.0","22.5","22.5","274.2","137.1","251.7","251.7","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","3770.0","0.36","0.0","0.0","4.55","0.36","1.63","0.0","0.0","0.0","0.0","24.13","22.5","274.2","137.1","250.07","251.7","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","3770.0","0.34","0.0","0.0","4.99","0.34","1.71","0.0","0.0","0.0","0.0","22.5","22.5","274.2","137.1","251.7","251.7","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","3770.0","0.33","0.0","0.0","4.76","0.33","1.57","0.0","0.0","0.0","0.0","24.07","22.5","274.2","137.1","250.13","251.7","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","3770.0","0.32","0.0","0.0","4.57","0.32","1.46","0.0","0.0","0.0","0.0","22.5","22.5","274.2","137.1","251.7","251.7","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","3770.0","0.31","0.0","0.0","4.61","0.31","1.43","0.0","0.0","0.0","0.0","23.93","22.5","274.2","137.1","250.27","251.7","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","3770.0","0.3","0.2","0.0","4.22","0.3","1.27","0.0","0.0","0.0","0.0","25.19","60.57","274.2","137.1","249.01","213.63","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","3770.0","0.29","0.2","0.0","5.59","0.29","1.62","0.0","0.0","0.0","0.0","26.82","60.57","274.2","137.1","247.38","213.63","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","3770.0","0.28","0.2","0.0","4.63","0.28","1.31","0.0","0.0","0.0","0.0","28.12","60.57","274.2","137.1","246.08","213.63","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","3770.0","0.28","0.2","0.0","4.53","0.28","1.25","0.0","0.0","0.0","0.0","29.37","60.57","274.2","137.1","244.83","213.63","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","3770.0","0.27","0.2","0.0","2.58","0.27","0.7","0.0","0.0","0.0","0.0","30.08","60.57","274.2","137.1","244.12","213.63","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","3770.0","0.27","0.2","0.0","2.98","0.27","0.8","1.42","1.42","0.0","0.0","29.45","60.57","274.2","137.1","244.75","213.63","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","3770.0","1.12","0.2","0.0","2.41","1.12","2.71","6.49","6.49","0.0","0.0","25.67","60.57","274.2","137.1","248.53","213.63","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","3770.0","1.1","0.2","0.0","2.91","1.1","3.21","13.25","13.25","0.0","0.0","15.63","60.57","274.2","137.1","258.57","213.63","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","3770.0","1.07","0.2","0.0","3.48","1.07","3.74","0.0","0.0","0.0","0.0","19.37","60.57","274.2","137.1","254.83","213.63","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","3770.0","0.83","0.2","0.0","4.13","0.83","3.44","0.0","0.0","0.0","0.0","22.81","60.57","274.2","137.1","251.39","213.63","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","3770.0","0.7","0.2","0.0","4.29","0.7","3.0","0.0","0.0","0.0","0.0","25.82","60.57","274.2","137.1","248.38","213.63","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","3770.0","0.6","0.2","0.0","4.97","0.6","2.99","0.0","0.0","0.0","0.0","28.81","60.57","274.2","137.1","245.39","213.63","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","3770.0","0.53","0.2","0.0","5.12","0.53","2.74","0.0","0.0","0.0","0.0","31.55","60.57","274.2","137.1","242.65","213.63","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","3770.0","0.49","0.2","0.0","4.85","0.49","2.37","0.0","0.0","0.0","0.0","33.92","60.57","274.2","137.1","240.28","213.63","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","3770.0","0.44","0.2","0.0","6.7","0.44","2.94","0.0","0.0","0.0","0.0","36.86","60.57","274.2","137.1","237.34","213.63","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","3770.0","0.4","0.2","0.0","6.12","0.4","2.48","0.0","0.0","0.0","0.0","39.33","60.57","274.2","137.1","234.87","213.63","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","3770.0","0.38","0.2","0.0","5.33","0.38","2.03","0.0","0.0","0.0","0.0","41.36","60.57","274.2","137.1","232.84","213.63","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","3770.0","0.36","0.2","0.0","5.03","0.36","1.82","0.0","0.0","0.0","0.0","43.19","60.57","274.2","137.1","231.01","213.63","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","3770.0","0.34","0.2","0.0","5.36","0.34","1.85","0.0","0.0","0.0","0.0","45.03","60.57","274.2","137.1","229.17","213.63","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","3770.0","0.33","0.2","0.0","4.9","0.33","1.62","0.0","0.0","0.0","0.0","46.66","60.57","274.2","137.1","227.54","213.63","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","3770.0","0.32","0.2","0.0","3.95","0.32","1.27","0.0","0.0","0.0","0.0","47.93","60.57","274.2","137.1","226.27","213.63","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","3770.0","0.31","0.2","0.0","4.22","0.31","1.32","0.0","0.0","0.0","0.0","49.25","60.57","274.2","137.1","224.95","213.63","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","3770.0","0.3","0.2","0.0","4.83","0.3","1.46","0.0","0.0","0.0","0.0","50.71","60.57","274.2","137.1","223.49","213.63","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","3770.0","0.29","0.2","0.0","4.92","0.29","1.44","0.0","0.0","0.0","0.0","52.15","60.57","274.2","137.1","222.05","213.63","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","3770.0","1.06","0.2","0.0","4.12","1.06","4.35","14.13","14.13","0.0","0.0","42.36","60.57","274.2","137.1","231.84","213.63","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","3770.0","0.87","0.2","0.0","5.12","0.87","4.46","0.0","0.0","0.0","0.0","46.82","60.57","274.2","137.1","227.38","213.63","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","3770.0","0.67","0.2","0.0","6.14","0.67","4.1","0.0","0.0","0.0","0.0","50.92","60.57","274.2","137.1","223.28","213.63","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","3770.0","0.57","0.2","0.0","5.67","0.57","3.23","0.0","0.0","0.0","0.0","54.15","60.57","274.2","137.1","220.05","213.63","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","3770.0","0.51","0.2","0.0","5.35","0.51","2.72","0.0","0.0","0.0","0.0","56.87","60.57","274.2","137.1","217.33","213.63","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","3770.0","0.45","0.2","0.0","6.54","0.45","2.96","0.0","0.0","0.0","0.0","59.83","60.57","274.2","137.1","214.37","213.63","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","3770.0","0.41","0.2","0.0","6.55","0.41","2.7","0.0","0.0","0.0","0.0","0.0","60.57","274.2","137.1","274.2","213.63","62.53","","","","","","","","",""
"2015.0","5.0","2.0","122.0","3770.0","0.38","0.2","0.0","6.19","0.38","2.37","0.0","0.0","0.0","0.0","2.37","60.57","274.2","137.1","271.83","213.63","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","3770.0","0.36","0.2","0.0","5.44","0.36","1.97","0.0","0.0","0.0","0.0","4.34","60.57","274.2","137.1","269.86","213.63","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","3770.0","0.35","0.2","0.0","4.95","0.35","1.72","0.0","0.0","0.0","0.0","6.06","60.57","274.2","137.1","268.14","213.63","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","3770.0","0.33","0.2","0.0","4.89","0.33","1.63","0.0","0.0","0.0","0.0","7.68","60.57","274.2","137.1","266.52","213.63","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","3770.0","0.32","0.2","0.0","5.24","0.32","1.67","0.0","0.0","0.0","0.0","9.36","60.57","274.2","137.1","264.84","213.63","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","3770.0","0.31","0.2","0.0","4.2","0.31","1.3","0.45","0.45","0.0","0.0","10.21","60.57","274.2","137.1","263.99","213.63","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","3770.0","0.3","0.2","0.0","4.53","0.3","1.36","0.55","0.55","0.0","0.0","11.03","60.57","274.2","137.1","263.17","213.63","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","3770.0","0.29","0.2","0.0","5.14","0.29","1.5","0.0","0.0","0.0","0.0","12.52","60.57","274.2","137.1","261.68","213.63","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","3770.0","0.28","0.22","0.0","5.31","0.28","1.5","0.0","0.0","0.0","0.0","14.02","60.57","274.2","137.1","260.18","213.63","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","3770.0","0.27","0.25","0.0","5.28","0.27","1.45","0.0","0.0","0.0","0.0","15.47","60.57","274.2","137.1","258.73","213.63","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","3770.0","0.27","0.27","0.0","5.03","0.27","1.36","0.0","0.0","0.0","0.0","16.83","60.57","274.2","137.1","257.37","213.63","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","3770.0","0.26","0.29","0.0","4.79","0.29","1.41","0.0","0.0","0.0","0.0","18.25","60.57","274.2","137.1","255.95","213.63","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","3770.0","0.26","0.32","0.0","3.95","0.32","1.26","0.0","0.0","0.0","0.0","19.5","60.57","274.2","137.1","254.7","213.63","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","3770.0","0.25","0.34","0.0","4.75","0.34","1.63","0.02","0.02","0.0","0.0","21.11","60.57","274.2","137.1","253.09","213.63","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","3770.0","0.24","0.37","0.0","4.87","0.37","1.78","0.0","0.0","0.0","0.0","22.89","60.57","274.2","137.1","251.31","213.63","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","3770.0","0.24","0.39","0.0","4.0","0.39","1.56","0.0","0.0","0.0","0.0","24.45","60.57","274.2","137.1","249.75","213.63","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","3770.0","0.24","0.41","0.0","4.7","0.41","1.94","0.0","0.0","0.0","0.0","26.39","60.57","274.2","137.1","247.81","213.63","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","3770.0","0.23","0.44","0.0","5.07","0.44","2.21","0.0","0.0","0.0","0.0","28.6","60.57","274.2","137.1","245.6","213.63","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","3770.0","0.23","0.46","0.0","5.05","0.46","2.33","0.0","0.0","0.0","0.0","30.93","60.57","274.2","137.1","243.27","213.63","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","3770.0","0.22","0.48","0.0","4.58","0.48","2.22","0.0","0.0","0.0","0.0","33.15","60.57","274.2","137.1","241.05","213.63","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","3770.0","0.22","0.51","0.0","4.94","0.51","2.51","0.0","0.0","0.0","0.0","35.66","60.57","274.2","137.1","238.54","213.63","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","3770.0","0.22","0.53","0.0","4.77","0.53","2.54","0.0","0.0","0.0","0.0","38.19","60.57","274.2","137.1","236.01","213.63","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","3770.0","0.21","0.56","0.0","5.77","0.56","3.2","0.0","0.0","0.0","0.0","41.4","60.57","274.2","137.1","232.8","213.63","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","3770.0","0.21","0.58","0.0","5.58","0.58","3.23","0.0","0.0","0.0","0.0","44.63","60.57","274.2","137.1","229.57","213.63","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","3770.0","0.2","0.6","0.0","5.63","0.6","3.39","0.0","0.0","0.0","0.0","48.02","60.57","274.2","137.1","226.18","213.63","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","3770.0","0.2","0.63","0.0","5.67","0.63","3.55","0.0","0.0","0.0","0.0","51.57","60.57","274.2","137.1","222.63","213.63","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","3770.0","0.2","0.65","0.0","5.48","0.65","3.56","0.0","0.0","0.0","0.0","55.13","60.57","274.2","137.1","219.07","213.63","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","3770.0","0.19","0.67","0.0","6.16","0.67","4.15","0.0","0.0","0.0","0.0","59.28","60.57","274.2","137.1","214.92","213.63","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","3770.0","0.19","0.7","0.0","6.49","0.7","4.53","0.0","0.0","0.0","0.0","0.0","60.57","274.2","137.1","274.2","213.63","63.81","","","","","","","","",""
"2015.0","5.0","31.0","151.0","3770.0","0.19","0.72","0.0","5.57","0.72","4.02","0.0","0.0","0.0","0.0","4.02","60.57","274.2","137.1","270.18","213.63","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","3770.0","0.19","0.74","0.0","5.56","0.74","4.14","0.0","0.0","0.0","0.0","8.16","60.57","274.2","137.1","266.04","213.63","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","3770.0","0.18","0.77","0.0","5.75","0.77","4.42","0.0","0.0","0.0","0.0","12.58","60.57","274.2","137.1","261.62","213.63","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","3770.0","0.18","0.79","0.0","5.65","0.79","4.48","0.0","0.0","0.0","0.0","17.05","60.57","274.2","137.1","257.15","213.63","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","3770.0","0.18","0.82","0.0","5.94","0.82","4.85","0.0","0.0","0.0","0.0","21.9","60.57","274.2","137.1","252.3","213.63","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","3770.0","0.17","0.84","0.0","6.93","0.84","5.82","0.0","0.0","0.0","0.0","27.71","60.57","274.2","137.1","246.49","213.63","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","3770.0","0.17","0.86","0.0","6.53","0.86","5.64","0.01","0.01","0.0","0.0","33.34","60.57","274.2","137.1","240.86","213.63","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","3770.0","0.17","0.89","0.0","7.06","0.89","6.26","0.0","0.0","0.0","0.0","39.6","60.57","274.2","137.1","234.6","213.63","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","3770.0","0.17","0.91","0.0","7.42","0.91","6.76","0.0","0.0","0.0","0.0","46.36","60.57","274.2","137.1","227.84","213.63","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","3770.0","0.16","0.93","0.0","7.22","0.93","6.75","0.0","0.0","0.0","0.0","53.1","60.57","274.2","137.1","221.1","213.63","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","3770.0","0.16","0.96","0.0","2.57","0.96","2.46","0.07","0.07","0.0","0.0","55.49","60.57","274.2","137.1","218.71","213.63","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","3770.0","0.16","0.98","0.0","7.16","0.98","7.03","1.22","1.22","0.0","0.0","0.0","60.57","274.2","137.1","274.2","213.63","61.3","","","","","","","","",""
"2015.0","6.0","12.0","163.0","3770.0","0.16","1.01","0.0","8.08","1.01","8.12","0.0","0.0","0.0","0.0","8.12","60.57","274.2","137.1","266.08","213.63","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","3770.0","0.16","1.03","0.0","7.66","1.03","7.88","0.0","0.0","0.0","0.0","16.0","60.57","274.2","137.1","258.2","213.63","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","3770.0","0.15","1.05","0.0","6.92","1.05","7.28","0.0","0.0","0.0","0.0","23.29","60.57","274.2","137.1","250.91","213.63","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","3770.0","0.15","1.08","0.0","6.72","1.08","7.23","0.0","0.0","0.0","0.0","30.52","60.57","274.2","137.1","243.68","213.63","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","3770.0","0.15","1.1","0.0","7.03","1.1","7.73","0.0","0.0","0.0","0.0","38.25","60.57","274.2","137.1","235.95","213.63","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","3770.0","0.15","1.1","0.0","6.97","1.1","7.67","0.0","0.0","0.0","0.0","45.92","60.57","274.2","137.1","228.28","213.63","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","3770.0","0.15","1.1","0.0","7.75","1.1","8.53","0.0","0.0","0.0","0.0","54.45","60.57","274.2","137.1","219.75","213.63","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","3770.0","0.14","1.1","0.0","7.43","1.1","8.17","0.0","0.0","0.0","0.0","0.0","60.57","274.2","137.1","274.2","213.63","62.62","","","","","","","","",""
"2015.0","6.0","20.0","171.0","3770.0","0.14","1.1","0.0","7.17","1.1","7.89","0.0","0.0","0.0","0.0","7.89","60.57","274.2","137.1","266.31","213.63","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","3770.0","0.14","1.1","0.0","7.78","1.1","8.56","0.0","0.0","0.0","0.0","16.45","60.57","274.2","137.1","257.76","213.63","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","3770.0","0.14","1.1","0.0","6.99","1.1","7.69","0.0","0.0","0.0","0.0","24.13","60.57","274.2","137.1","250.07","213.63","0.0","","","","","","","","",""
"2015.0","6.0","23.0","174.0","3770.0","0.14","1.1","0.0","7.45","1.1","8.2","0.0","0.0","0.0","0.0","32.33","60.57","274.2","137.1","241.87","213.63","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","3770.0","0.14","1.1","0.0","7.51","1.1","8.26","0.0","0.0","0.0","0.0","40.59","60.57","274.2","137.1","233.61","213.63","0.0","","","","","","","","",""
