" Daily soil water balance output for Vineyard in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Vineyard in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"2015.0","2.0","8.0","39.0","1517.0","1.16","0.0","0.0","1.48","1.16","1.72","13.84","13.53","0.0","0.0","0.0","28.05","569.98","284.99","569.98","541.93","0.0","","","","","","","","",""
"2015.0","2.0","9.0","40.0","1517.0","1.14","0.0","0.0","2.07","1.14","2.35","11.18","2.35","0.0","0.0","0.0","28.05","569.98","284.99","569.98","541.93","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","1517.0","1.14","0.0","0.0","1.86","1.14","2.12","0.0","0.0","0.0","0.0","2.12","28.05","569.98","284.99","567.85","541.93","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","1517.0","1.15","0.0","0.0","1.69","1.15","1.94","0.0","0.0","0.0","0.0","4.06","28.05","569.98","284.99","565.92","541.93","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","1517.0","1.01","0.0","0.0","2.01","1.01","2.02","0.0","0.0","0.0","0.0","6.08","28.05","569.98","284.99","563.89","541.93","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","1517.0","0.89","0.0","0.0","2.06","0.89","1.84","0.0","0.0","0.0","0.0","7.92","28.05","569.98","284.99","562.06","541.93","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","1517.0","0.81","0.0","0.0","2.19","0.81","1.76","0.0","0.0","0.0","0.0","9.69","28.05","569.98","284.99","560.29","541.93","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","1517.0","0.74","0.0","0.0","2.1","0.74","1.56","0.0","0.0","0.0","0.0","11.24","28.05","569.98","284.99","558.73","541.93","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","1517.0","0.69","0.0","0.0","2.08","0.69","1.44","0.0","0.0","0.0","0.0","12.68","28.05","569.98","284.99","557.29","541.93","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","1517.0","0.66","0.0","0.0","1.79","0.66","1.18","0.0","0.0","0.0","0.0","13.86","28.05","569.98","284.99","556.11","541.93","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","1517.0","0.63","0.0","0.0","1.77","0.63","1.11","0.0","0.0","0.0","0.0","14.97","28.05","569.98","284.99","555.0","541.93","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","1517.0","0.61","0.0","0.0","1.04","0.61","0.64","0.0","0.0","0.0","0.0","15.61","28.05","569.98","284.99","554.37","541.93","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","1517.0","0.59","0.0","0.0","1.91","0.59","1.12","0.0","0.0","0.0","0.0","16.73","28.05","569.98","284.99","553.25","541.93","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","1517.0","0.56","0.0","0.0","1.73","0.56","0.98","0.0","0.0","0.0","0.0","17.7","28.05","569.98","284.99","552.27","541.93","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","1517.0","0.53","0.0","0.0","3.17","0.53","1.68","0.0","0.0","0.0","0.0","19.38","28.05","569.98","284.99","550.59","541.93","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","1517.0","0.5","0.0","0.0","3.74","0.5","1.86","0.0","0.0","0.0","0.0","21.24","28.05","569.98","284.99","548.74","541.93","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","1517.0","0.48","0.0","0.0","2.72","0.48","1.29","0.0","0.0","0.0","0.0","22.53","28.05","569.98","284.99","547.44","541.93","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","1517.0","0.46","0.0","0.0","2.16","0.46","1.0","0.0","0.0","0.0","0.0","23.53","28.05","569.98","284.99","546.45","541.93","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","1517.0","0.44","0.0","0.0","2.91","0.44","1.29","0.0","0.0","0.0","0.0","24.82","28.05","569.98","284.99","545.16","541.93","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","1517.0","0.43","0.0","0.0","2.89","0.43","1.24","0.0","0.0","0.0","0.0","26.05","28.05","569.98","284.99","543.92","541.93","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","1517.0","0.42","0.0","0.0","2.1","0.42","0.88","0.0","0.0","0.0","0.0","26.93","28.05","569.98","284.99","543.05","541.93","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","1517.0","0.41","0.0","0.0","2.54","0.41","1.03","0.0","0.0","0.0","0.0","27.96","28.05","569.98","284.99","542.02","541.93","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","1517.0","0.4","0.0","0.0","2.2","0.4","0.87","0.0","0.0","0.0","0.0","28.83","28.05","569.98","284.99","541.15","541.93","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","1517.0","0.39","0.0","0.0","2.5","0.39","0.97","0.31","0.31","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","1517.0","0.38","0.0","0.0","2.61","0.38","0.98","0.0","0.0","0.0","0.0","29.03","28.05","569.98","284.99","540.94","541.93","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","1517.0","0.37","0.0","0.0","2.81","0.37","1.03","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","1517.0","0.36","0.0","0.0","2.99","0.36","1.07","0.0","0.0","0.0","0.0","29.12","28.05","569.98","284.99","540.86","541.93","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","1517.0","0.35","0.0","0.0","2.86","0.35","1.0","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","1517.0","0.34","0.0","0.0","2.91","0.34","0.99","0.0","0.0","0.0","0.0","29.04","28.05","569.98","284.99","540.93","541.93","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","1517.0","0.33","0.0","0.0","2.86","0.33","0.95","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","1517.0","0.33","0.0","0.0","2.39","0.33","0.78","0.0","0.0","0.0","0.0","28.83","28.05","569.98","284.99","541.14","541.93","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","1517.0","1.13","0.0","0.0","2.24","1.13","2.53","2.67","2.67","0.0","0.0","26.16","28.05","569.98","284.99","543.81","541.93","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","1517.0","1.11","0.0","0.0","3.32","1.11","3.68","2.08","2.08","0.0","0.0","27.77","28.05","569.98","284.99","542.21","541.93","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","1517.0","0.93","0.0","0.0","3.03","0.93","2.83","0.0","0.0","0.0","0.0","30.59","28.05","569.98","284.99","539.38","541.93","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","1517.0","0.79","0.0","0.0","3.33","0.79","2.63","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","1517.0","0.69","0.0","0.0","3.77","0.69","2.59","0.0","0.0","0.0","0.0","30.64","28.05","569.98","284.99","539.34","541.93","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","1517.0","0.64","0.0","0.0","2.61","0.64","1.66","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","1517.0","0.58","0.0","0.0","3.59","0.58","2.09","0.0","0.0","0.0","0.0","30.14","28.05","569.98","284.99","539.84","541.93","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","1517.0","0.54","0.0","0.0","3.75","0.54","2.01","1.28","1.28","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","1517.0","0.5","0.0","0.0","3.78","0.5","1.89","0.0","0.0","0.0","0.0","29.94","28.05","569.98","284.99","540.03","541.93","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","1517.0","0.48","0.0","0.0","3.08","0.48","1.47","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","1517.0","0.45","0.0","0.0","3.5","0.45","1.58","0.0","0.0","0.0","0.0","29.63","28.05","569.98","284.99","540.34","541.93","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","1517.0","0.43","0.0","0.0","3.12","0.43","1.35","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","1517.0","0.42","0.0","0.0","3.08","0.42","1.29","0.53","0.53","0.0","0.0","28.81","28.05","569.98","284.99","541.17","541.93","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","1517.0","0.4","0.0","0.0","3.33","0.4","1.34","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","1517.0","0.39","0.0","0.0","4.06","0.39","1.56","0.0","0.0","0.0","0.0","29.61","28.05","569.98","284.99","540.36","541.93","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","1517.0","0.37","0.0","0.0","3.9","0.37","1.45","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","1517.0","0.36","0.0","0.0","4.27","0.36","1.52","0.0","0.0","0.0","0.0","29.57","28.05","569.98","284.99","540.41","541.93","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","1517.0","0.34","0.0","0.0","4.84","0.34","1.65","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","1517.0","0.33","0.0","0.0","4.63","0.33","1.52","0.0","0.0","0.0","0.0","29.57","28.05","569.98","284.99","540.4","541.93","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","1517.0","0.32","0.0","0.0","4.42","0.32","1.41","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","1517.0","0.31","0.0","0.0","4.62","0.31","1.43","0.0","0.0","0.0","0.0","29.48","28.05","569.98","284.99","540.5","541.93","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","1517.0","0.3","0.0","0.0","4.12","0.3","1.24","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","1517.0","0.29","0.0","0.0","5.35","0.29","1.55","0.0","0.0","0.0","0.0","29.6","28.05","569.98","284.99","540.37","541.93","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","1517.0","0.28","0.0","0.0","4.55","0.28","1.29","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","1517.0","0.28","0.0","0.0","4.42","0.28","1.22","0.0","0.0","0.0","0.0","29.27","28.05","569.98","284.99","540.71","541.93","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","1517.0","0.27","0.0","0.0","2.61","0.27","0.71","0.65","0.65","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","1517.0","1.1","0.0","0.0","2.92","1.1","3.22","4.82","4.82","0.0","0.0","26.45","28.05","569.98","284.99","543.52","541.93","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","1517.0","1.11","0.0","0.0","2.82","1.11","3.12","3.41","3.41","0.0","0.0","26.16","28.05","569.98","284.99","543.81","541.93","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","1517.0","1.1","0.0","0.0","3.06","1.1","3.36","6.61","6.61","0.0","0.0","22.91","28.05","569.98","284.99","547.06","541.93","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","1517.0","1.06","0.0","0.0","3.49","1.06","3.7","0.0","0.0","0.0","0.0","26.61","28.05","569.98","284.99","543.36","541.93","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","1517.0","0.83","0.0","0.0","4.07","0.83","3.37","0.0","0.0","0.0","0.0","29.98","28.05","569.98","284.99","539.99","541.93","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","1517.0","0.7","0.0","0.0","4.2","0.7","2.94","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","1517.0","0.61","0.0","0.0","4.8","0.61","2.9","0.0","0.0","0.0","0.0","30.95","28.05","569.98","284.99","539.02","541.93","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","1517.0","0.54","0.0","0.0","4.68","0.54","2.54","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","1517.0","0.49","0.0","0.0","4.89","0.49","2.42","0.0","0.0","0.0","0.0","30.47","28.05","569.98","284.99","539.51","541.93","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","1517.0","0.45","0.45","0.0","6.17","0.45","2.78","0.0","0.0","0.0","0.0","33.24","126.96","569.98","284.99","536.73","443.01","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","1517.0","0.41","0.46","0.0","5.75","0.46","2.63","0.0","0.0","0.0","0.0","35.87","126.96","569.98","284.99","534.11","443.01","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","1517.0","0.39","0.46","0.0","5.26","0.46","2.44","0.0","0.0","0.0","0.0","38.31","126.96","569.98","284.99","531.67","443.01","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","1517.0","0.37","0.47","0.0","4.83","0.47","2.27","0.0","0.0","0.0","0.0","40.58","126.96","569.98","284.99","529.39","443.01","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","1517.0","0.35","0.48","0.0","4.94","0.48","2.36","0.0","0.0","0.0","0.0","42.95","126.96","569.98","284.99","527.03","443.01","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","1517.0","0.34","0.49","0.0","4.55","0.49","2.21","0.0","0.0","0.0","0.0","45.15","126.96","569.98","284.99","524.82","443.01","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","1517.0","0.33","0.49","0.0","3.69","0.49","1.82","0.0","0.0","0.0","0.0","46.97","126.96","569.98","284.99","523.01","443.01","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","1517.0","0.32","0.5","0.0","4.06","0.5","2.03","0.0","0.0","0.0","0.0","48.99","126.96","569.98","284.99","520.98","443.01","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","1517.0","0.31","0.51","0.0","4.61","0.51","2.33","0.0","0.0","0.0","0.0","51.33","126.96","569.98","284.99","518.65","443.01","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","1517.0","0.3","0.51","0.0","4.98","0.51","2.55","0.0","0.0","0.0","0.0","53.88","126.96","569.98","284.99","516.09","443.01","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","1517.0","1.06","0.52","0.0","3.96","1.06","4.2","7.89","7.89","0.0","0.0","50.2","126.96","569.98","284.99","519.78","443.01","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","1517.0","0.88","0.53","0.0","5.06","0.88","4.47","0.0","0.0","0.0","0.0","54.66","126.96","569.98","284.99","515.31","443.01","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","1517.0","0.68","0.53","0.0","5.85","0.68","3.99","0.0","0.0","0.0","0.0","58.65","126.96","569.98","284.99","511.33","443.01","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","1517.0","0.58","0.54","0.0","5.37","0.58","3.13","0.0","0.0","0.0","0.0","61.78","126.96","569.98","284.99","508.2","443.01","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","1517.0","0.52","0.55","0.0","5.19","0.55","2.84","0.0","0.0","0.0","0.0","64.62","126.96","569.98","284.99","505.35","443.01","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","1517.0","0.46","0.56","0.0","6.36","0.56","3.53","0.0","0.0","0.0","0.0","68.15","126.96","569.98","284.99","501.82","443.01","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","1517.0","0.42","0.56","0.0","6.3","0.56","3.54","0.0","0.0","0.0","0.0","71.69","126.96","569.98","284.99","498.28","443.01","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","1517.0","0.39","0.57","0.0","5.65","0.57","3.21","0.0","0.0","0.0","0.0","74.91","126.96","569.98","284.99","495.07","443.01","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","1517.0","0.37","0.58","0.0","4.95","0.58","2.85","0.0","0.0","0.0","0.0","77.76","126.96","569.98","284.99","492.22","443.01","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","1517.0","0.36","0.58","0.0","4.62","0.58","2.69","0.0","0.0","0.0","0.0","80.45","126.96","569.98","284.99","489.52","443.01","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","1517.0","0.34","0.59","0.0","4.71","0.59","2.78","0.0","0.0","0.0","0.0","83.23","126.96","569.98","284.99","486.74","443.01","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","1517.0","0.33","0.6","0.0","4.99","0.6","2.98","0.0","0.0","0.0","0.0","86.21","126.96","569.98","284.99","483.76","443.01","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","1517.0","0.32","0.6","0.0","3.32","0.6","2.01","0.0","0.0","0.0","0.0","88.22","126.96","569.98","284.99","481.76","443.01","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","1517.0","0.31","0.61","0.0","4.33","0.61","2.65","0.3","0.3","0.0","0.0","90.56","126.96","569.98","284.99","479.41","443.01","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","1517.0","0.3","0.62","0.0","4.75","0.62","2.94","0.0","0.0","0.0","0.0","93.5","126.96","569.98","284.99","476.48","443.01","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","1517.0","0.29","0.63","0.0","4.97","0.63","3.11","0.0","0.0","0.0","0.0","96.6","126.96","569.98","284.99","473.37","443.01","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","1517.0","0.28","0.63","0.0","4.98","0.63","3.15","0.0","0.0","0.0","0.0","99.75","126.96","569.98","284.99","470.22","443.01","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","1517.0","0.28","0.64","0.0","4.94","0.64","3.16","0.0","0.0","0.0","0.0","102.91","126.96","569.98","284.99","467.07","443.01","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","1517.0","0.27","0.65","0.0","4.64","0.65","3.0","0.0","0.0","0.0","0.0","105.91","126.96","569.98","284.99","464.07","443.01","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","1517.0","0.27","0.65","0.0","3.04","0.65","1.99","0.0","0.0","0.0","0.0","107.89","126.96","569.98","284.99","462.09","443.01","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","1517.0","0.26","0.66","0.0","4.56","0.66","3.01","3.66","3.66","0.0","0.0","107.24","126.96","569.98","284.99","462.74","443.01","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","1517.0","0.25","0.67","0.0","4.67","0.67","3.11","0.0","0.0","0.0","0.0","110.36","126.96","569.98","284.99","459.62","443.01","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","1517.0","0.25","0.67","0.0","3.98","0.67","2.68","0.0","0.0","0.0","0.0","113.04","126.96","569.98","284.99","456.94","443.01","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","1517.0","0.24","0.68","0.0","4.71","0.68","3.21","0.0","0.0","0.0","0.0","116.25","126.96","569.98","284.99","453.73","443.01","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","1517.0","0.24","0.69","0.0","4.89","0.69","3.36","0.0","0.0","0.0","0.0","119.61","126.96","569.98","284.99","450.37","443.01","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","1517.0","0.24","0.7","0.0","4.74","0.7","3.29","0.0","0.0","0.0","0.0","122.9","126.96","569.98","284.99","447.07","443.01","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","1517.0","0.23","0.7","0.0","4.02","0.7","2.82","0.0","0.0","0.0","0.0","125.73","126.96","569.98","284.99","444.25","443.01","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","1517.0","0.23","0.71","0.0","4.76","0.71","3.37","0.0","0.0","0.0","0.0","0.0","126.96","569.98","284.99","569.98","443.01","129.1","","","","","","","","",""
"2015.0","5.0","23.0","143.0","1517.0","0.22","0.72","0.0","4.73","0.72","3.39","0.0","0.0","0.0","0.0","3.39","126.96","569.98","284.99","566.59","443.01","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","1517.0","0.22","0.72","0.0","5.3","0.72","3.83","0.0","0.0","0.0","0.0","7.22","126.96","569.98","284.99","562.76","443.01","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","1517.0","0.22","0.73","0.0","5.22","0.73","3.81","0.0","0.0","0.0","0.0","11.03","126.96","569.98","284.99","558.95","443.01","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","1517.0","0.21","0.74","0.0","5.23","0.74","3.85","0.0","0.0","0.0","0.0","14.88","126.96","569.98","284.99","555.09","443.01","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","1517.0","0.21","0.74","0.0","5.27","0.74","3.92","0.0","0.0","0.0","0.0","18.8","126.96","569.98","284.99","551.17","443.01","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","1517.0","0.2","0.75","0.0","5.16","0.75","3.88","0.0","0.0","0.0","0.0","22.68","126.96","569.98","284.99","547.3","443.01","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","1517.0","0.2","0.76","0.0","5.83","0.76","4.42","0.0","0.0","0.0","0.0","27.1","126.96","569.98","284.99","542.88","443.01","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","1517.0","0.2","0.77","0.0","6.13","0.77","4.69","0.0","0.0","0.0","0.0","31.79","126.96","569.98","284.99","538.19","443.01","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","1517.0","0.19","0.77","0.0","5.1","0.77","3.94","0.0","0.0","0.0","0.0","35.73","126.96","569.98","284.99","534.25","443.01","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","1517.0","0.19","0.78","0.0","5.33","0.78","4.15","0.0","0.0","0.0","0.0","39.88","126.96","569.98","284.99","530.1","443.01","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","1517.0","0.19","0.79","0.0","5.55","0.79","4.36","0.0","0.0","0.0","0.0","44.24","126.96","569.98","284.99","525.74","443.01","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","1517.0","0.19","0.79","0.0","5.22","0.79","4.14","0.0","0.0","0.0","0.0","48.38","126.96","569.98","284.99","521.6","443.01","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","1517.0","0.18","0.8","0.0","5.69","0.8","4.55","0.0","0.0","0.0","0.0","52.93","126.96","569.98","284.99","517.04","443.01","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","1517.0","0.18","0.8","0.0","6.41","0.8","5.13","0.0","0.0","0.0","0.0","58.06","126.96","569.98","284.99","511.92","443.01","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","1517.0","0.18","0.8","0.0","6.08","0.8","4.86","0.0","0.0","0.0","0.0","62.92","126.96","569.98","284.99","507.05","443.01","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","1517.0","0.18","0.8","0.0","6.53","0.8","5.22","0.0","0.0","0.0","0.0","68.15","126.96","569.98","284.99","501.83","443.01","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","1517.0","0.17","0.8","0.0","7.19","0.8","5.75","0.0","0.0","0.0","0.0","73.9","126.96","569.98","284.99","496.08","443.01","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","1517.0","0.17","0.8","0.0","6.4","0.8","5.12","0.0","0.0","0.0","0.0","79.02","126.96","569.98","284.99","490.96","443.01","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","1517.0","0.17","0.8","0.0","2.74","0.8","2.19","0.19","0.19","0.0","0.0","81.02","126.96","569.98","284.99","488.95","443.01","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","1517.0","0.17","0.8","0.0","6.69","0.8","5.35","3.14","3.14","0.0","0.0","83.23","126.96","569.98","284.99","486.74","443.01","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","1517.0","0.16","0.8","0.0","7.43","0.8","5.94","0.0","0.0","0.0","0.0","89.18","126.96","569.98","284.99","480.8","443.01","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","1517.0","0.16","0.8","0.0","7.13","0.8","5.7","0.0","0.0","0.0","0.0","94.88","126.96","569.98","284.99","475.09","443.01","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","1517.0","0.16","0.8","0.0","6.37","0.8","5.1","0.0","0.0","0.0","0.0","99.98","126.96","569.98","284.99","470.0","443.01","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","1517.0","0.16","0.8","0.0","6.19","0.8","4.95","0.0","0.0","0.0","0.0","104.93","126.96","569.98","284.99","465.05","443.01","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","1517.0","0.16","0.8","0.0","6.63","0.8","5.3","3.09","3.09","0.0","0.0","107.14","126.96","569.98","284.99","462.83","443.01","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","1517.0","0.15","0.8","0.0","6.67","0.8","5.34","0.0","0.0","0.0","0.0","112.48","126.96","569.98","284.99","457.5","443.01","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","1517.0","0.15","0.8","0.0","7.15","0.8","5.72","0.0","0.0","0.0","0.0","118.2","126.96","569.98","284.99","451.78","443.01","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","1517.0","0.15","0.8","0.0","7.13","0.8","5.7","0.0","0.0","0.0","0.0","123.9","126.96","569.98","284.99","446.07","443.01","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","1517.0","0.15","0.8","0.0","6.67","0.8","5.34","0.0","0.0","0.0","0.0","0.0","126.96","569.98","284.99","569.98","443.01","129.24","","","","","","","","",""
"2015.0","6.0","21.0","172.0","1517.0","0.15","0.8","0.0","7.12","0.8","5.7","0.0","0.0","0.0","0.0","5.7","126.96","569.98","284.99","564.28","443.01","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","1517.0","0.15","0.8","0.0","6.69","0.8","5.35","0.0","0.0","0.0","0.0","11.05","126.96","569.98","284.99","558.93","443.01","0.0","","","","","","","","",""
"2015.0","6.0","23.0","174.0","1517.0","0.14","0.8","0.0","7.08","0.8","5.66","0.0","0.0","0.0","0.0","16.71","126.96","569.98","284.99","553.26","443.01","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","1517.0","0.14","0.8","0.0","7.0","0.8","5.6","0.0","0.0","0.0","0.0","22.31","126.96","569.98","284.99","547.66","443.01","0.0","","","","","","","","",""
