" Daily soil water balance output for Safflower in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Safflower in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","2.0","8.0","39.0","2072.0","1.17","0.0","0.0","1.29","1.17","1.51","4.7","1.51","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","","","",""
"2015.0","2.0","9.0","40.0","2072.0","1.14","0.0","0.0","1.97","1.14","2.25","23.02","2.25","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","2072.0","1.14","0.0","0.0","1.83","1.14","2.09","0.18","0.18","0.0","0.0","1.91","24.75","514.57","257.29","512.66","489.82","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","2072.0","1.15","0.0","0.0","1.59","1.15","1.83","0.0","0.0","0.0","0.0","3.74","24.75","514.57","257.29","510.83","489.82","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","2072.0","1.03","0.0","0.0","1.98","1.03","2.03","0.0","0.0","0.0","0.0","5.77","24.75","514.57","257.29","508.8","489.82","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","2072.0","0.91","0.0","0.0","2.03","0.91","1.84","0.0","0.0","0.0","0.0","7.61","24.75","514.57","257.29","506.96","489.82","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","2072.0","0.82","0.0","0.0","2.18","0.82","1.78","0.0","0.0","0.0","0.0","9.39","24.75","514.57","257.29","505.18","489.82","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","2072.0","0.75","0.0","0.0","2.09","0.75","1.57","0.0","0.0","0.0","0.0","10.96","24.75","514.57","257.29","503.61","489.82","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","2072.0","0.7","0.0","0.0","2.24","0.7","1.56","0.0","0.0","0.0","0.0","12.52","24.75","514.57","257.29","502.05","489.82","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","2072.0","0.66","0.0","0.0","1.94","0.66","1.28","0.0","0.0","0.0","0.0","13.8","24.75","514.57","257.29","500.78","489.82","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","2072.0","0.63","0.0","0.0","1.5","0.63","0.95","0.0","0.0","0.0","0.0","14.74","24.75","514.57","257.29","499.83","489.82","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","2072.0","0.62","0.0","0.0","1.08","0.62","0.66","0.0","0.0","0.0","0.0","15.41","24.75","514.57","257.29","499.16","489.82","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","2072.0","0.59","0.0","0.0","1.97","0.59","1.16","0.0","0.0","0.0","0.0","16.57","24.75","514.57","257.29","498.0","489.82","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","2072.0","0.57","0.0","0.0","1.62","0.57","0.92","0.0","0.0","0.0","0.0","17.49","24.75","514.57","257.29","497.08","489.82","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","2072.0","0.53","0.0","0.0","3.74","0.53","1.97","0.0","0.0","0.0","0.0","19.46","24.75","514.57","257.29","495.11","489.82","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","2072.0","0.49","0.0","0.0","4.35","0.49","2.13","0.0","0.0","0.0","0.0","21.58","24.75","514.57","257.29","492.99","489.82","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","2072.0","0.47","0.0","0.0","2.85","0.47","1.33","0.0","0.0","0.0","0.0","22.92","24.75","514.57","257.29","491.65","489.82","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","2072.0","0.45","0.0","0.0","2.19","0.45","0.99","0.0","0.0","0.0","0.0","23.91","24.75","514.57","257.29","490.66","489.82","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","2072.0","0.44","0.0","0.0","3.07","0.44","1.34","0.0","0.0","0.0","0.0","25.25","24.75","514.57","257.29","489.32","489.82","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","2072.0","0.42","0.0","0.0","2.77","0.42","1.17","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","2072.0","0.41","0.0","0.0","1.93","0.41","0.8","0.0","0.0","0.0","0.0","25.55","24.75","514.57","257.29","489.03","489.82","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","2072.0","0.4","0.0","0.0","2.68","0.4","1.07","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","2072.0","0.39","0.0","0.0","2.33","0.39","0.91","0.0","0.0","0.0","0.0","25.66","24.75","514.57","257.29","488.91","489.82","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","2072.0","0.38","0.0","0.0","2.59","0.38","0.99","1.02","1.02","0.0","0.0","24.64","24.75","514.57","257.29","489.93","489.82","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","2072.0","0.37","0.0","0.0","2.6","0.37","0.97","0.0","0.0","0.0","0.0","25.61","24.75","514.57","257.29","488.96","489.82","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","2072.0","0.36","0.0","0.0","2.79","0.36","1.01","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","2072.0","0.35","0.0","0.0","3.0","0.35","1.06","0.0","0.0","0.0","0.0","25.81","24.75","514.57","257.29","488.76","489.82","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","2072.0","0.35","0.0","0.0","2.8","0.35","0.97","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","2072.0","0.34","0.0","0.0","2.98","0.34","1.01","0.0","0.0","0.0","0.0","25.76","24.75","514.57","257.29","488.82","489.82","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","2072.0","0.33","0.0","0.0","3.06","0.33","1.01","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","2072.0","0.32","0.0","0.0","2.4","0.32","0.78","0.0","0.0","0.0","0.0","25.53","24.75","514.57","257.29","489.04","489.82","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","2072.0","0.32","0.0","0.0","2.11","0.32","0.67","1.32","1.32","0.0","0.0","24.21","24.75","514.57","257.29","490.36","489.82","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","2072.0","1.08","0.0","0.0","3.47","1.08","3.75","3.55","3.55","0.0","0.0","24.41","24.75","514.57","257.29","490.16","489.82","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","2072.0","1.06","0.0","0.0","3.11","1.06","3.29","0.0","0.0","0.0","0.0","27.7","24.75","514.57","257.29","486.87","489.82","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","2072.0","0.86","0.0","0.0","3.29","0.86","2.84","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","2072.0","0.73","0.0","0.0","3.85","0.73","2.81","0.0","0.0","0.0","0.0","27.56","24.75","514.57","257.29","487.01","489.82","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","2072.0","0.68","0.0","0.0","2.46","0.68","1.66","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","2072.0","0.61","0.0","0.0","3.49","0.61","2.13","0.0","0.0","0.0","0.0","26.88","24.75","514.57","257.29","487.69","489.82","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","2072.0","0.56","0.0","0.0","3.89","0.56","2.17","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","2072.0","0.52","0.0","0.0","3.94","0.52","2.03","0.0","0.0","0.0","0.0","26.78","24.75","514.57","257.29","487.79","489.82","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","2072.0","0.49","0.0","0.0","3.11","0.49","1.52","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","2072.0","0.46","0.0","0.0","3.63","0.46","1.68","0.0","0.0","0.0","0.0","26.43","24.75","514.57","257.29","488.14","489.82","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","2072.0","0.44","0.0","0.0","3.27","0.44","1.45","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","2072.0","0.42","0.0","0.0","3.28","0.42","1.39","0.25","0.25","0.0","0.0","25.89","24.75","514.57","257.29","488.68","489.82","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","2072.0","0.41","0.0","0.0","3.19","0.41","1.3","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","2072.0","0.39","0.0","0.0","4.23","0.39","1.65","0.0","0.0","0.0","0.0","26.4","24.75","514.57","257.29","488.17","489.82","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","2072.0","0.37","0.0","0.0","3.92","0.37","1.47","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","2072.0","0.36","0.0","0.0","4.55","0.36","1.63","0.0","0.0","0.0","0.0","26.38","24.75","514.57","257.29","488.19","489.82","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","2072.0","0.34","0.0","0.0","4.99","0.34","1.71","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","2072.0","0.33","0.0","0.0","4.76","0.33","1.57","0.0","0.0","0.0","0.0","26.32","24.75","514.57","257.29","488.25","489.82","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","2072.0","0.32","0.0","0.0","4.57","0.32","1.46","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","2072.0","0.31","0.0","0.0","4.61","0.31","1.43","0.0","0.0","0.0","0.0","26.18","24.75","514.57","257.29","488.4","489.82","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","2072.0","0.3","0.0","0.0","4.22","0.3","1.27","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","2072.0","0.29","0.0","0.0","5.59","0.29","1.62","0.0","0.0","0.0","0.0","26.37","24.75","514.57","257.29","488.2","489.82","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","2072.0","0.28","0.0","0.0","4.63","0.28","1.31","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","2072.0","0.28","0.0","0.0","4.53","0.28","1.25","0.0","0.0","0.0","0.0","26.0","24.75","514.57","257.29","488.57","489.82","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","2072.0","0.27","0.0","0.0","2.58","0.27","0.7","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","2072.0","0.27","0.0","0.0","2.98","0.27","0.8","1.42","1.42","0.0","0.0","24.13","24.75","514.57","257.29","490.44","489.82","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","2072.0","1.12","0.0","0.0","2.41","1.12","2.71","6.49","6.49","0.0","0.0","20.35","24.75","514.57","257.29","494.23","489.82","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","2072.0","1.1","0.0","0.0","2.91","1.1","3.21","13.25","13.25","0.0","0.0","10.31","24.75","514.57","257.29","504.26","489.82","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","2072.0","1.07","0.0","0.0","3.48","1.07","3.74","0.0","0.0","0.0","0.0","14.05","24.75","514.57","257.29","500.52","489.82","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","2072.0","0.83","0.0","0.0","4.13","0.83","3.44","0.0","0.0","0.0","0.0","17.49","24.75","514.57","257.29","497.08","489.82","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","2072.0","0.7","0.0","0.0","4.29","0.7","3.0","0.0","0.0","0.0","0.0","20.49","24.75","514.57","257.29","494.08","489.82","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","2072.0","0.6","0.0","0.0","4.97","0.6","2.99","0.0","0.0","0.0","0.0","23.48","24.75","514.57","257.29","491.09","489.82","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","2072.0","0.53","0.0","0.0","5.12","0.53","2.74","0.0","0.0","0.0","0.0","26.22","24.75","514.57","257.29","488.35","489.82","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","2072.0","0.49","0.0","0.0","4.85","0.49","2.37","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","2072.0","0.44","0.0","0.0","6.7","0.44","2.94","0.0","0.0","0.0","0.0","27.69","24.75","514.57","257.29","486.88","489.82","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","2072.0","0.4","0.0","0.0","6.12","0.4","2.48","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","2072.0","0.38","0.0","0.0","5.33","0.38","2.03","0.0","0.0","0.0","0.0","26.78","24.75","514.57","257.29","487.79","489.82","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","2072.0","0.36","0.0","0.0","5.03","0.36","1.82","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","2072.0","0.34","0.0","0.0","5.36","0.34","1.85","0.0","0.0","0.0","0.0","26.6","24.75","514.57","257.29","487.97","489.82","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","2072.0","0.33","0.0","0.0","4.9","0.33","1.62","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","2072.0","0.32","0.0","0.0","3.95","0.32","1.27","0.0","0.0","0.0","0.0","26.02","24.75","514.57","257.29","488.55","489.82","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","2072.0","0.31","0.0","0.0","4.22","0.31","1.32","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","2072.0","0.3","0.0","0.0","4.83","0.3","1.46","0.0","0.0","0.0","0.0","26.21","24.75","514.57","257.29","488.36","489.82","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","2072.0","0.29","0.0","0.0","4.92","0.29","1.44","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","2072.0","1.06","0.0","0.0","4.12","1.06","4.35","14.13","14.13","0.0","0.0","14.97","24.75","514.57","257.29","499.6","489.82","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","2072.0","0.87","0.0","0.0","5.12","0.87","4.46","0.0","0.0","0.0","0.0","19.42","24.75","514.57","257.29","495.15","489.82","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","2072.0","0.67","0.0","0.0","6.14","0.67","4.1","0.0","0.0","0.0","0.0","23.52","24.75","514.57","257.29","491.05","489.82","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","2072.0","0.57","0.0","0.0","5.67","0.57","3.23","0.0","0.0","0.0","0.0","26.75","24.75","514.57","257.29","487.82","489.82","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","2072.0","0.51","0.0","0.0","5.35","0.51","2.72","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","2072.0","0.45","0.0","0.0","6.54","0.45","2.96","0.0","0.0","0.0","0.0","27.71","24.75","514.57","257.29","486.86","489.82","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","2072.0","0.41","0.2","0.0","6.55","0.41","2.7","0.0","0.0","0.0","0.0","30.42","78.08","514.57","257.29","484.16","436.5","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","2072.0","0.38","0.2","0.0","6.19","0.38","2.37","0.0","0.0","0.0","0.0","32.79","78.08","514.57","257.29","481.79","436.5","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","2072.0","0.36","0.2","0.0","5.44","0.36","1.97","0.0","0.0","0.0","0.0","34.76","78.08","514.57","257.29","479.81","436.5","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","2072.0","0.35","0.2","0.0","4.95","0.35","1.72","0.0","0.0","0.0","0.0","36.47","78.08","514.57","257.29","478.1","436.5","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","2072.0","0.33","0.2","0.0","4.89","0.33","1.63","0.0","0.0","0.0","0.0","38.1","78.08","514.57","257.29","476.47","436.5","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","2072.0","0.32","0.2","0.0","5.24","0.32","1.67","0.0","0.0","0.0","0.0","39.77","78.08","514.57","257.29","474.8","436.5","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","2072.0","0.31","0.2","0.0","4.2","0.31","1.3","0.45","0.45","0.0","0.0","40.63","78.08","514.57","257.29","473.94","436.5","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","2072.0","0.3","0.2","0.0","4.53","0.3","1.36","0.55","0.55","0.0","0.0","41.44","78.08","514.57","257.29","473.13","436.5","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","2072.0","0.29","0.2","0.0","5.14","0.29","1.5","0.0","0.0","0.0","0.0","42.94","78.08","514.57","257.29","471.63","436.5","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","2072.0","0.28","0.2","0.0","5.31","0.28","1.5","0.0","0.0","0.0","0.0","44.44","78.08","514.57","257.29","470.13","436.5","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","2072.0","0.27","0.2","0.0","5.28","0.27","1.45","0.0","0.0","0.0","0.0","45.89","78.08","514.57","257.29","468.69","436.5","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","2072.0","0.27","0.2","0.0","5.03","0.27","1.34","0.0","0.0","0.0","0.0","47.23","78.08","514.57","257.29","467.34","436.5","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","2072.0","0.26","0.2","0.0","4.79","0.26","1.25","0.0","0.0","0.0","0.0","48.48","78.08","514.57","257.29","466.1","436.5","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","2072.0","0.26","0.2","0.0","3.95","0.26","1.01","0.0","0.0","0.0","0.0","49.49","78.08","514.57","257.29","465.09","436.5","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","2072.0","0.25","0.24","0.0","4.75","0.25","1.19","0.02","0.02","0.0","0.0","50.66","78.08","514.57","257.29","463.92","436.5","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","2072.0","0.24","0.28","0.0","4.87","0.28","1.37","0.0","0.0","0.0","0.0","52.02","78.08","514.57","257.29","462.55","436.5","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","2072.0","0.24","0.32","0.0","4.0","0.32","1.29","0.0","0.0","0.0","0.0","53.31","78.08","514.57","257.29","461.26","436.5","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","2072.0","0.24","0.36","0.0","4.7","0.36","1.7","0.0","0.0","0.0","0.0","55.01","78.08","514.57","257.29","459.56","436.5","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","2072.0","0.23","0.4","0.0","5.07","0.4","2.04","0.0","0.0","0.0","0.0","57.05","78.08","514.57","257.29","457.52","436.5","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","2072.0","0.23","0.44","0.0","5.05","0.44","2.24","0.0","0.0","0.0","0.0","59.29","78.08","514.57","257.29","455.29","436.5","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","2072.0","0.22","0.48","0.0","4.58","0.48","2.21","0.0","0.0","0.0","0.0","61.5","78.08","514.57","257.29","453.07","436.5","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","2072.0","0.22","0.52","0.0","4.94","0.52","2.59","0.0","0.0","0.0","0.0","64.09","78.08","514.57","257.29","450.48","436.5","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","2072.0","0.22","0.56","0.0","4.77","0.56","2.69","0.0","0.0","0.0","0.0","66.78","78.08","514.57","257.29","447.79","436.5","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","2072.0","0.21","0.6","0.0","5.77","0.6","3.49","0.0","0.0","0.0","0.0","70.27","78.08","514.57","257.29","444.3","436.5","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","2072.0","0.21","0.65","0.0","5.58","0.65","3.6","0.0","0.0","0.0","0.0","73.87","78.08","514.57","257.29","440.7","436.5","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","2072.0","0.2","0.69","0.0","5.63","0.69","3.86","0.0","0.0","0.0","0.0","77.73","78.08","514.57","257.29","436.84","436.5","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","2072.0","0.2","0.73","0.0","5.67","0.73","4.12","0.0","0.0","0.0","0.0","0.0","78.08","514.57","257.29","514.57","436.5","81.85","","","","","","","","",""
"2015.0","5.0","28.0","148.0","2072.0","0.2","0.77","0.0","5.48","0.77","4.2","0.0","0.0","0.0","0.0","4.2","78.08","514.57","257.29","510.37","436.5","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","2072.0","0.19","0.81","0.0","6.16","0.81","4.97","0.0","0.0","0.0","0.0","9.17","78.08","514.57","257.29","505.4","436.5","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","2072.0","0.19","0.85","0.0","6.49","0.85","5.5","0.0","0.0","0.0","0.0","14.67","78.08","514.57","257.29","499.9","436.5","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","2072.0","0.19","0.89","0.0","5.57","0.89","4.95","0.0","0.0","0.0","0.0","19.62","78.08","514.57","257.29","494.95","436.5","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","2072.0","0.19","0.93","0.0","5.56","0.93","5.16","0.0","0.0","0.0","0.0","24.78","78.08","514.57","257.29","489.79","436.5","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","2072.0","0.18","0.97","0.0","5.75","0.97","5.57","0.0","0.0","0.0","0.0","30.36","78.08","514.57","257.29","484.22","436.5","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","2072.0","0.18","1.01","0.0","5.65","1.01","5.7","0.0","0.0","0.0","0.0","36.06","78.08","514.57","257.29","478.51","436.5","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","2072.0","0.18","1.05","0.0","5.94","1.05","6.24","0.0","0.0","0.0","0.0","42.3","78.08","514.57","257.29","472.28","436.5","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","2072.0","0.17","1.05","0.0","6.93","1.05","7.28","0.0","0.0","0.0","0.0","49.57","78.08","514.57","257.29","465.0","436.5","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","2072.0","0.17","1.05","0.0","6.53","1.05","6.86","0.01","0.01","0.0","0.0","56.42","78.08","514.57","257.29","458.15","436.5","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","2072.0","0.17","1.05","0.0","7.06","1.05","7.41","0.0","0.0","0.0","0.0","63.83","78.08","514.57","257.29","450.74","436.5","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","2072.0","0.17","1.05","0.0","7.42","1.05","7.79","0.0","0.0","0.0","0.0","71.62","78.08","514.57","257.29","442.95","436.5","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","2072.0","0.16","1.05","0.0","7.22","1.05","7.58","0.0","0.0","0.0","0.0","0.0","78.08","514.57","257.29","514.57","436.5","79.2","","","","","","","","",""
"2015.0","6.0","10.0","161.0","2072.0","0.16","1.05","0.0","2.57","1.05","2.7","0.07","0.07","0.0","0.0","2.63","78.08","514.57","257.29","511.94","436.5","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","2072.0","0.16","1.05","0.0","7.16","1.05","7.52","1.22","1.22","0.0","0.0","8.93","78.08","514.57","257.29","505.65","436.5","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","2072.0","0.16","1.05","0.0","8.08","1.05","8.48","0.0","0.0","0.0","0.0","17.41","78.08","514.57","257.29","497.16","436.5","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","2072.0","0.16","1.05","0.0","7.66","1.05","8.04","0.0","0.0","0.0","0.0","25.45","78.08","514.57","257.29","489.12","436.5","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","2072.0","0.15","1.05","0.0","6.92","1.05","7.27","0.0","0.0","0.0","0.0","32.72","78.08","514.57","257.29","481.85","436.5","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","2072.0","0.15","1.05","0.0","6.72","1.05","7.06","0.0","0.0","0.0","0.0","39.78","78.08","514.57","257.29","474.8","436.5","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","2072.0","0.15","1.05","0.0","7.03","1.05","7.38","0.0","0.0","0.0","0.0","47.16","78.08","514.57","257.29","467.42","436.5","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","2072.0","0.15","1.05","0.0","6.97","1.05","7.32","0.0","0.0","0.0","0.0","54.48","78.08","514.57","257.29","460.1","436.5","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","2072.0","0.15","1.05","0.0","7.75","1.05","8.14","0.0","0.0","0.0","0.0","62.61","78.08","514.57","257.29","451.96","436.5","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","2072.0","0.14","1.05","0.0","7.43","1.05","7.8","0.0","0.0","0.0","0.0","70.41","78.08","514.57","257.29","444.16","436.5","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","2072.0","0.14","1.05","0.0","7.17","1.05","7.53","0.0","0.0","0.0","0.0","77.94","78.08","514.57","257.29","436.63","436.5","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","2072.0","0.14","1.05","0.0","7.78","1.05","8.17","0.0","0.0","0.0","0.0","0.0","78.08","514.57","257.29","514.57","436.5","86.11","","","","","","","","",""
"2015.0","6.0","22.0","173.0","2072.0","0.14","1.05","0.0","6.99","1.05","7.34","0.0","0.0","0.0","0.0","7.34","78.08","514.57","257.29","507.23","436.5","0.0","","","","","","","","",""
"2015.0","6.0","23.0","174.0","2072.0","0.14","1.05","0.0","7.45","1.05","7.82","0.0","0.0","0.0","0.0","15.16","78.08","514.57","257.29","499.41","436.5","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","2072.0","0.14","1.05","0.0","7.51","1.05","7.89","0.0","0.0","0.0","0.0","23.05","128.64","514.57","257.29","491.52","385.93","0.0","","","","","","","","",""
