" Daily soil water balance output for Water Surface in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Water Surface at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"2015.0","2.0","13.0","44.0","45.0","0.88","1.1","0.0","2.11","1.1","2.321","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","14.0","45.0","45.0","0.8","1.1","0.0","2.23","1.1","2.453","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","15.0","46.0","45.0","0.73","1.1","0.0","2.13","1.1","2.343","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","16.0","47.0","45.0","0.69","1.1","0.0","2.07","1.1","2.277","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","17.0","48.0","45.0","0.65","1.1","0.0","1.78","1.1","1.958","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","18.0","49.0","45.0","0.62","1.1","0.0","1.83","1.1","2.013","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","19.0","50.0","45.0","0.6","1.1","0.0","1.16","1.1","1.276","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","20.0","51.0","45.0","0.58","1.1","0.0","1.9","1.1","2.09","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","21.0","52.0","45.0","0.56","1.1","0.0","1.8","1.1","1.98","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","22.0","53.0","45.0","0.53","1.1","0.0","2.86","1.1","3.146","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","23.0","54.0","45.0","0.5","1.1","0.0","3.4","1.1","3.74","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","24.0","55.0","45.0","0.48","1.1","0.0","2.7","1.1","2.97","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","25.0","56.0","45.0","0.46","1.1","0.0","2.19","1.1","2.409","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","26.0","57.0","45.0","0.44","1.1","0.0","2.85","1.1","3.135","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","27.0","58.0","45.0","0.43","1.1","0.0","2.91","1.1","3.201","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","28.0","59.0","45.0","0.42","1.1","0.0","2.05","1.1","2.255","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","1.0","60.0","45.0","0.41","1.1","0.0","2.5","1.1","2.75","0.02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","2.0","61.0","45.0","0.4","1.1","0.0","2.14","1.1","2.354","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","3.0","62.0","45.0","0.39","1.1","0.0","2.47","1.1","2.717","0.02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","4.0","63.0","45.0","0.38","1.1","0.0","2.62","1.1","2.882","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","5.0","64.0","45.0","0.37","1.1","0.0","2.83","1.1","3.113","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","6.0","65.0","45.0","0.36","1.1","0.0","3.01","1.1","3.311","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","7.0","66.0","45.0","0.35","1.1","0.0","2.91","1.1","3.201","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","8.0","67.0","45.0","0.34","1.1","0.0","2.92","1.1","3.212","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","9.0","68.0","45.0","0.33","1.1","0.0","2.84","1.1","3.124","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","10.0","69.0","45.0","0.33","1.1","0.0","2.41","1.1","2.651","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","11.0","70.0","45.0","1.14","1.1","0.0","2.12","1.14","2.332","2.84","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","12.0","71.0","45.0","1.09","1.1","0.0","3.28","1.1","3.608","3.22","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","13.0","72.0","45.0","1.08","1.1","0.0","3.05","1.1","3.355","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","14.0","73.0","45.0","0.86","1.1","0.0","3.51","1.1","3.861","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","15.0","74.0","45.0","0.73","1.1","0.0","3.83","1.1","4.213","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","16.0","75.0","45.0","0.67","1.1","0.0","2.77","1.1","3.047","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","17.0","76.0","45.0","0.61","1.1","0.0","3.6","1.1","3.96","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","18.0","77.0","45.0","0.56","1.1","0.0","3.7","1.1","4.07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","19.0","78.0","45.0","0.52","1.1","0.0","3.73","1.1","4.103","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","20.0","79.0","45.0","0.49","1.1","0.0","3.13","1.1","3.443","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","21.0","80.0","45.0","0.46","1.1","0.0","3.46","1.1","3.806","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","22.0","81.0","45.0","0.45","1.1","0.0","2.95","1.1","3.245","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","23.0","82.0","45.0","0.43","1.1","0.0","3.01","1.1","3.311","0.09","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","24.0","83.0","45.0","0.41","1.1","0.0","3.29","1.1","3.619","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","25.0","84.0","45.0","0.39","1.1","0.0","3.98","1.1","4.378","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","26.0","85.0","45.0","0.38","1.1","0.0","3.89","1.1","4.279","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","27.0","86.0","45.0","0.36","1.1","0.0","4.2","1.1","4.62","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","28.0","87.0","45.0","0.35","1.1","0.0","4.77","1.1","5.247","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","29.0","88.0","45.0","0.34","1.1","0.0","4.58","1.1","5.038","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","30.0","89.0","45.0","0.32","1.1","0.0","4.37","1.1","4.807","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","31.0","90.0","45.0","0.31","1.1","0.0","4.56","1.1","5.016","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","1.0","91.0","45.0","0.31","1.1","0.0","4.09","1.1","4.499","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","2.0","92.0","45.0","0.3","1.1","0.0","5.22","1.1","5.742","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","3.0","93.0","45.0","0.29","1.1","0.0","4.53","1.1","4.983","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","4.0","94.0","45.0","0.28","1.1","0.0","4.37","1.1","4.807","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","5.0","95.0","45.0","0.28","1.1","0.0","2.64","1.1","2.904","0.82","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","6.0","96.0","45.0","0.27","1.1","0.0","2.87","1.1","3.157","1.69","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","7.0","97.0","45.0","1.11","1.1","0.0","2.84","1.11","3.124","3.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","8.0","98.0","45.0","1.09","1.1","0.0","3.15","1.1","3.465","4.57","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","9.0","99.0","45.0","1.05","1.1","0.0","3.48","1.1","3.828","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","10.0","100.0","45.0","0.83","1.1","0.0","4.04","1.1","4.444","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","11.0","101.0","45.0","0.7","1.1","0.0","4.18","1.1","4.598","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","12.0","102.0","45.0","0.61","1.1","0.0","4.74","1.1","5.214","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","13.0","103.0","45.0","0.54","1.1","0.0","4.61","1.1","5.071","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","14.0","104.0","45.0","0.49","1.1","0.0","4.9","1.1","5.39","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","15.0","105.0","45.0","0.45","1.1","0.0","5.96","1.1","6.556","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","16.0","106.0","45.0","0.42","1.1","0.0","5.56","1.1","6.116","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","17.0","107.0","45.0","0.39","1.1","0.0","5.25","1.1","5.775","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","18.0","108.0","45.0","0.37","1.1","0.0","4.79","1.1","5.269","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","19.0","109.0","45.0","0.36","1.1","0.0","4.84","1.1","5.324","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","20.0","110.0","45.0","0.34","1.1","0.0","4.45","1.1","4.895","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","21.0","111.0","45.0","0.33","1.1","0.0","3.69","1.1","4.059","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","22.0","112.0","45.0","0.32","1.1","0.0","4.06","1.1","4.466","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","23.0","113.0","45.0","0.31","1.1","0.0","4.55","1.1","5.005","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","24.0","114.0","45.0","0.3","1.1","0.0","4.92","1.1","5.412","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","25.0","115.0","45.0","0.29","1.1","0.0","4.04","1.1","4.444","4.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","26.0","116.0","45.0","0.29","1.1","0.0","5.0","1.1","5.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","27.0","117.0","45.0","0.28","1.1","0.0","5.7","1.1","6.27","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","28.0","118.0","45.0","0.27","1.1","0.0","5.31","1.1","5.841","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","29.0","119.0","45.0","0.26","1.1","0.0","5.12","1.1","5.632","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","30.0","120.0","45.0","0.25","1.1","0.0","6.3","1.1","6.93","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","1.0","121.0","45.0","0.25","1.1","0.0","6.17","1.1","6.787","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","2.0","122.0","45.0","0.24","1.1","0.0","5.52","1.1","6.072","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","3.0","123.0","45.0","0.24","1.1","0.0","4.85","1.1","5.335","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","4.0","124.0","45.0","0.23","1.1","0.0","4.57","1.1","5.027","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","5.0","125.0","45.0","0.23","1.1","0.0","4.68","1.1","5.148","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","6.0","126.0","45.0","0.22","1.1","0.0","4.88","1.1","5.368","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","7.0","127.0","45.0","0.22","1.1","0.0","3.03","1.1","3.333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","8.0","128.0","45.0","0.22","1.1","0.0","4.27","1.1","4.697","1.21","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","9.0","129.0","45.0","0.21","1.1","0.0","4.65","1.1","5.115","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","10.0","130.0","45.0","0.21","1.1","0.0","4.94","1.1","5.434","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","11.0","131.0","45.0","0.21","1.1","0.0","4.97","1.1","5.467","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","12.0","132.0","45.0","0.2","1.1","0.0","4.93","1.1","5.423","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","13.0","133.0","45.0","0.2","1.1","0.0","4.61","1.1","5.071","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","14.0","134.0","45.0","0.2","1.1","0.0","3.0","1.1","3.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","15.0","135.0","45.0","1.04","1.1","0.0","4.53","1.1","4.983","11.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","16.0","136.0","45.0","0.88","1.1","0.0","4.61","1.1","5.071","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","17.0","137.0","45.0","0.74","1.1","0.0","3.94","1.1","4.334","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","18.0","138.0","45.0","0.63","1.1","0.0","4.69","1.1","5.159","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","19.0","139.0","45.0","0.56","1.1","0.0","4.84","1.1","5.324","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","20.0","140.0","45.0","0.51","1.1","0.0","4.67","1.1","5.137","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","21.0","141.0","45.0","0.47","1.1","0.0","4.2","1.1","4.62","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","22.0","142.0","45.0","0.44","1.1","0.0","4.77","1.1","5.247","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","23.0","143.0","45.0","0.41","1.1","0.0","4.69","1.1","5.159","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","24.0","144.0","45.0","0.39","1.1","0.0","5.17","1.1","5.687","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","25.0","145.0","45.0","0.37","1.1","0.0","5.17","1.1","5.687","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","26.0","146.0","45.0","0.35","1.1","0.0","5.18","1.1","5.698","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","27.0","147.0","45.0","0.34","1.1","0.0","5.24","1.1","5.764","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","28.0","148.0","45.0","0.32","1.1","0.0","5.12","1.1","5.632","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","29.0","149.0","45.0","0.31","1.1","0.0","5.74","1.1","6.314","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","30.0","150.0","45.0","0.3","1.1","0.0","6.09","1.1","6.699","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","31.0","151.0","45.0","0.29","1.1","0.0","5.25","1.1","5.775","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","1.0","152.0","45.0","0.28","1.1","0.0","5.51","1.1","6.061","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","2.0","153.0","45.0","0.27","1.1","0.0","5.52","1.1","6.072","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","3.0","154.0","45.0","0.26","1.1","0.0","5.25","1.1","5.775","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","4.0","155.0","45.0","0.26","1.1","0.0","5.59","1.1","6.149","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","5.0","156.0","45.0","0.25","1.1","0.0","6.19","1.1","6.809","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","6.0","157.0","45.0","0.24","1.1","0.0","6.0","1.1","6.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","7.0","158.0","45.0","0.23","1.1","0.0","6.42","1.1","7.062","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","8.0","159.0","45.0","0.23","1.1","0.0","7.13","1.1","7.843","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","9.0","160.0","45.0","0.22","1.1","0.0","6.15","1.1","6.765","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","10.0","161.0","45.0","0.22","1.1","0.0","2.9","1.1","3.19","0.76","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","11.0","162.0","45.0","0.22","1.1","0.0","6.56","1.1","7.216","3.16","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","12.0","163.0","45.0","0.21","1.1","0.0","7.25","1.1","7.975","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","13.0","164.0","45.0","0.21","1.1","0.0","7.01","1.1","7.711","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","14.0","165.0","45.0","0.2","1.1","0.0","6.27","1.1","6.897","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","15.0","166.0","45.0","0.2","1.1","0.0","6.1","1.1","6.71","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","16.0","167.0","45.0","0.19","1.1","0.0","6.47","1.1","7.117","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","17.0","168.0","45.0","0.19","1.1","0.0","6.61","1.1","7.271","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","18.0","169.0","45.0","0.19","1.1","0.0","6.97","1.1","7.667","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","19.0","170.0","45.0","0.18","1.1","0.0","6.99","1.1","7.689","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","20.0","171.0","45.0","0.18","1.1","0.0","6.55","1.1","7.205","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","21.0","172.0","45.0","0.18","1.1","0.0","7.0","1.1","7.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","22.0","173.0","45.0","0.17","1.1","0.0","6.6","1.1","7.26","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","23.0","174.0","45.0","0.17","1.1","0.0","6.94","1.1","7.634","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","24.0","175.0","45.0","0.17","1.1","0.0","6.83","1.1","7.513","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","25.0","176.0","45.0","0.17","1.1","0.0","7.59","1.1","8.349","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","26.0","177.0","45.0","0.16","1.1","0.0","7.7","1.1","8.47","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","27.0","178.0","45.0","0.16","1.1","0.0","6.14","1.1","6.754","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","28.0","179.0","45.0","0.16","1.1","0.0","6.65","1.1","7.315","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","29.0","180.0","45.0","0.16","1.1","0.0","7.15","1.1","7.865","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","30.0","181.0","45.0","0.15","1.1","0.0","7.38","1.1","8.118","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","7.0","1.0","182.0","45.0","0.15","1.1","0.0","7.19","1.1","7.909","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","7.0","2.0","183.0","45.0","0.15","1.1","0.0","6.4","1.1","7.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","7.0","3.0","184.0","45.0","0.15","1.1","0.0","7.14","1.1","7.854","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
