" Daily soil water balance output for Alfalfa in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Alfalfa in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"2015.0","2.0","11.0","42.0","9455.0","1.15","0.9","0.0","1.63","1.15","1.87","0.0","0.0","0.0","0.0","8.88","123.44","601.67","300.83","592.79","478.23","0.0","","","","","","",""
"2015.0","2.0","12.0","43.0","9455.0","1.02","0.9","0.0","1.98","1.02","2.02","0.0","0.0","0.0","0.0","10.89","123.44","601.67","300.83","590.78","478.23","0.0","","","","","","",""
"2015.0","2.0","13.0","44.0","9455.0","0.9","0.9","0.0","2.03","0.9","1.83","0.0","0.0","0.0","0.0","12.73","123.44","601.67","300.83","588.94","478.23","0.0","","","","","","",""
"2015.0","2.0","14.0","45.0","9455.0","0.81","0.9","0.0","2.18","0.9","1.96","0.0","0.0","0.0","0.0","14.69","123.44","601.67","300.83","586.98","478.23","0.0","","","","","","",""
"2015.0","2.0","15.0","46.0","9455.0","0.75","0.9","0.0","2.08","0.9","1.87","0.0","0.0","0.0","0.0","16.56","123.44","601.67","300.83","585.11","478.23","0.0","","","","","","",""
"2015.0","2.0","16.0","47.0","9455.0","0.7","0.9","0.0","2.18","0.9","1.96","0.0","0.0","0.0","0.0","18.52","123.44","601.67","300.83","583.15","478.23","0.0","","","","","","",""
"2015.0","2.0","17.0","48.0","9455.0","0.66","0.9","0.0","1.84","0.9","1.66","0.0","0.0","0.0","0.0","20.18","123.44","601.67","300.83","581.49","478.23","0.0","","","","","","",""
"2015.0","2.0","18.0","49.0","9455.0","0.63","0.9","0.0","1.59","0.9","1.43","0.0","0.0","0.0","0.0","21.61","123.44","601.67","300.83","580.06","478.23","0.0","","","","","","",""
"2015.0","2.0","19.0","50.0","9455.0","0.62","0.9","0.0","1.06","0.9","0.95","0.0","0.0","0.0","0.0","22.56","123.44","601.67","300.83","579.11","478.23","0.0","","","","","","",""
"2015.0","2.0","20.0","51.0","9455.0","0.59","0.9","0.0","1.88","0.9","1.69","0.0","0.0","0.0","0.0","24.25","123.44","601.67","300.83","577.41","478.23","0.0","","","","","","",""
"2015.0","2.0","21.0","52.0","9455.0","0.57","0.9","0.0","1.63","0.9","1.47","0.0","0.0","0.0","0.0","25.72","123.44","601.67","300.83","575.95","478.23","0.0","","","","","","",""
"2015.0","2.0","22.0","53.0","9455.0","0.53","0.9","0.0","3.48","0.9","3.13","0.0","0.0","0.0","0.0","28.85","123.44","601.67","300.83","572.82","478.23","0.0","","","","","","",""
"2015.0","2.0","23.0","54.0","9455.0","0.49","0.9","0.0","4.09","0.9","3.68","0.0","0.0","0.0","0.0","32.53","123.44","601.67","300.83","569.13","478.23","0.0","","","","","","",""
"2015.0","2.0","24.0","55.0","9455.0","0.47","0.9","0.0","2.78","0.9","2.5","0.0","0.0","0.0","0.0","35.04","123.44","601.67","300.83","566.63","478.23","0.0","","","","","","",""
"2015.0","2.0","25.0","56.0","9455.0","0.46","0.9","0.0","2.16","0.9","1.94","0.0","0.0","0.0","0.0","36.98","123.44","601.67","300.83","564.69","478.23","0.0","","","","","","",""
"2015.0","2.0","26.0","57.0","9455.0","0.44","0.9","0.0","3.01","0.9","2.71","0.0","0.0","0.0","0.0","39.69","123.44","601.67","300.83","561.98","478.23","0.0","","","","","","",""
"2015.0","2.0","27.0","58.0","9455.0","0.43","0.9","0.0","2.86","0.9","2.57","0.0","0.0","0.0","0.0","42.26","123.44","601.67","300.83","559.41","478.23","0.0","","","","","","",""
"2015.0","2.0","28.0","59.0","9455.0","0.42","0.9","0.0","2.01","0.9","1.81","0.0","0.0","0.0","0.0","44.07","123.44","601.67","300.83","557.6","478.23","0.0","","","","","","",""
"2015.0","3.0","1.0","60.0","9455.0","0.4","0.9","0.0","2.6","0.9","2.34","0.0","0.0","0.0","0.0","46.41","123.44","601.67","300.83","555.26","478.23","0.0","","","","","","",""
"2015.0","3.0","2.0","61.0","9455.0","0.39","0.9","0.0","2.27","0.9","2.04","0.0","0.0","0.0","0.0","48.46","123.44","601.67","300.83","553.21","478.23","0.0","","","","","","",""
"2015.0","3.0","3.0","62.0","9455.0","0.38","0.9","0.0","2.57","0.9","2.31","0.86","0.86","0.0","0.0","49.91","123.44","601.67","300.83","551.76","478.23","0.0","","","","","","",""
"2015.0","3.0","4.0","63.0","9455.0","0.37","0.9","0.0","2.6","0.9","2.34","0.0","0.0","0.0","0.0","52.25","123.44","601.67","300.83","549.42","478.23","0.0","","","","","","",""
"2015.0","3.0","5.0","64.0","9455.0","0.37","0.9","0.0","2.79","0.9","2.51","0.0","0.0","0.0","0.0","54.76","123.44","601.67","300.83","546.91","478.23","0.0","","","","","","",""
"2015.0","3.0","6.0","65.0","9455.0","0.36","0.9","0.0","2.99","0.9","2.69","0.0","0.0","0.0","0.0","57.45","123.44","601.67","300.83","544.22","478.23","0.0","","","","","","",""
"2015.0","3.0","7.0","66.0","9455.0","0.35","0.9","0.0","2.82","0.9","2.54","0.0","0.0","0.0","0.0","59.99","123.44","601.67","300.83","541.68","478.23","0.0","","","","","","",""
"2015.0","3.0","8.0","67.0","9455.0","0.34","0.9","0.0","2.96","0.9","2.66","0.0","0.0","0.0","0.0","62.65","123.44","601.67","300.83","539.02","478.23","0.0","","","","","","",""
"2015.0","3.0","9.0","68.0","9455.0","0.33","0.9","0.0","2.98","0.9","2.68","0.0","0.0","0.0","0.0","65.33","123.44","601.67","300.83","536.33","478.23","0.0","","","","","","",""
"2015.0","3.0","10.0","69.0","9455.0","0.33","0.9","0.0","2.43","0.9","2.19","0.0","0.0","0.0","0.0","67.52","123.44","601.67","300.83","534.15","478.23","0.0","","","","","","",""
"2015.0","3.0","11.0","70.0","9455.0","0.32","0.9","0.0","2.13","0.9","1.92","0.72","0.72","0.0","0.0","68.72","123.44","601.67","300.83","532.95","478.23","0.0","","","","","","",""
"2015.0","3.0","12.0","71.0","9455.0","1.08","0.9","0.0","3.4","1.08","3.69","3.96","3.96","0.0","0.0","68.44","123.44","601.67","300.83","533.23","478.23","0.0","","","","","","",""
"2015.0","3.0","13.0","72.0","9455.0","1.07","0.9","0.0","3.07","1.07","3.28","0.0","0.0","0.0","0.0","71.72","123.44","601.67","300.83","529.95","478.23","0.0","","","","","","",""
"2015.0","3.0","14.0","73.0","9455.0","0.87","0.9","0.0","3.32","0.9","2.99","0.0","0.0","0.0","0.0","74.71","123.44","601.67","300.83","526.96","478.23","0.0","","","","","","",""
"2015.0","3.0","15.0","74.0","9455.0","0.73","0.9","0.0","3.87","0.9","3.48","0.0","0.0","0.0","0.0","78.19","123.44","601.67","300.83","523.48","478.23","0.0","","","","","","",""
"2015.0","3.0","16.0","75.0","9455.0","0.67","0.9","0.0","2.59","0.9","2.33","0.0","0.0","0.0","0.0","80.52","123.44","601.67","300.83","521.15","478.23","0.0","","","","","","",""
"2015.0","3.0","17.0","76.0","9455.0","0.61","0.9","0.0","3.57","0.9","3.21","0.0","0.0","0.0","0.0","83.74","123.44","601.67","300.83","517.93","478.23","0.0","","","","","","",""
"2015.0","3.0","18.0","77.0","9455.0","0.56","0.9","0.0","3.85","0.9","3.47","0.21","0.21","0.0","0.0","86.99","123.44","601.67","300.83","514.68","478.23","0.0","","","","","","",""
"2015.0","3.0","19.0","78.0","9455.0","0.52","0.9","0.0","3.88","0.9","3.49","0.0","0.0","0.0","0.0","90.48","123.44","601.67","300.83","511.19","478.23","0.0","","","","","","",""
"2015.0","3.0","20.0","79.0","9455.0","0.49","0.9","0.0","3.12","0.9","2.81","0.0","0.0","0.0","0.0","93.29","123.44","601.67","300.83","508.38","478.23","0.0","","","","","","",""
"2015.0","3.0","21.0","80.0","9455.0","0.46","0.9","0.0","3.61","0.9","3.25","0.0","0.0","0.0","0.0","96.54","123.44","601.67","300.83","505.13","478.23","0.0","","","","","","",""
"2015.0","3.0","22.0","81.0","9455.0","0.44","0.9","0.0","3.15","0.9","2.84","0.0","0.0","0.0","0.0","99.38","123.44","601.67","300.83","502.29","478.23","0.0","","","","","","",""
"2015.0","3.0","23.0","82.0","9455.0","0.42","0.9","0.0","3.24","0.9","2.92","0.46","0.46","0.0","0.0","101.83","123.44","601.67","300.83","499.84","478.23","0.0","","","","","","",""
"2015.0","3.0","24.0","83.0","9455.0","0.41","0.9","0.0","3.22","0.9","2.9","0.0","0.0","0.0","0.0","104.73","123.44","601.67","300.83","496.94","478.23","0.0","","","","","","",""
"2015.0","3.0","25.0","84.0","9455.0","0.39","0.9","0.0","4.16","0.9","3.74","0.0","0.0","0.0","0.0","108.47","123.44","601.67","300.83","493.2","478.23","0.0","","","","","","",""
"2015.0","3.0","26.0","85.0","9455.0","0.38","0.9","0.0","3.91","0.9","3.52","0.0","0.0","0.0","0.0","111.99","123.44","601.67","300.83","489.68","478.23","0.0","","","","","","",""
"2015.0","3.0","27.0","86.0","9455.0","0.36","0.9","0.0","4.48","0.9","4.03","0.0","0.0","0.0","0.0","116.02","123.44","601.67","300.83","485.65","478.23","0.0","","","","","","",""
"2015.0","3.0","28.0","87.0","9455.0","0.34","0.9","0.0","4.95","0.9","4.46","0.0","0.0","0.0","0.0","120.48","123.44","601.67","300.83","481.19","478.23","0.0","","","","","","",""
"2015.0","3.0","29.0","88.0","9455.0","0.33","0.9","0.0","4.75","0.9","4.28","0.0","0.0","0.0","0.0","0.0","123.44","601.67","300.83","601.67","478.23","124.75","","","","","","",""
"2015.0","3.0","30.0","89.0","9455.0","0.32","0.9","0.0","4.54","0.9","4.09","0.0","0.0","0.0","0.0","4.09","123.44","601.67","300.83","597.58","478.23","0.0","","","","","","",""
"2015.0","3.0","31.0","90.0","9455.0","0.31","0.9","0.0","4.67","0.9","4.2","0.0","0.0","0.0","0.0","8.29","123.44","601.67","300.83","593.38","478.23","0.0","","","","","","",""
"2015.0","4.0","1.0","91.0","9455.0","0.3","0.9","0.0","4.21","0.9","3.79","0.0","0.0","0.0","0.0","12.08","123.44","601.67","300.83","589.59","478.23","0.0","","","","","","",""
"2015.0","4.0","2.0","92.0","9455.0","0.29","0.9","0.0","5.53","0.9","4.98","0.0","0.0","0.0","0.0","17.06","123.44","601.67","300.83","584.61","478.23","0.0","","","","","","",""
"2015.0","4.0","3.0","93.0","9455.0","0.28","0.9","0.0","4.65","0.9","4.19","0.0","0.0","0.0","0.0","21.24","123.44","601.67","300.83","580.43","478.23","0.0","","","","","","",""
"2015.0","4.0","4.0","94.0","9455.0","0.28","0.9","0.0","4.54","0.9","4.09","0.0","0.0","0.0","0.0","25.33","123.44","601.67","300.83","576.34","478.23","0.0","","","","","","",""
"2015.0","4.0","5.0","95.0","9455.0","0.27","0.9","0.0","2.51","0.9","2.26","0.08","0.08","0.0","0.0","27.51","123.44","601.67","300.83","574.16","478.23","0.0","","","","","","",""
"2015.0","4.0","6.0","96.0","9455.0","0.27","0.9","0.0","2.97","0.9","2.67","2.53","2.53","0.0","0.0","27.65","123.44","601.67","300.83","574.02","478.23","0.0","","","","","","",""
"2015.0","4.0","7.0","97.0","9455.0","0.27","0.9","0.0","2.49","0.9","2.24","3.03","3.03","0.0","0.0","26.86","123.44","601.67","300.83","574.81","478.23","0.0","","","","","","",""
"2015.0","4.0","8.0","98.0","9455.0","1.1","0.9","0.0","2.99","1.1","3.29","14.46","14.46","0.0","0.0","15.69","123.44","601.67","300.83","585.98","478.23","0.0","","","","","","",""
"2015.0","4.0","9.0","99.0","9455.0","1.07","0.9","0.0","3.5","1.07","3.73","0.0","0.0","0.0","0.0","19.42","123.44","601.67","300.83","582.25","478.23","0.0","","","","","","",""
"2015.0","4.0","10.0","100.0","9455.0","0.83","0.9","0.0","4.14","0.9","3.73","0.0","0.0","0.0","0.0","23.14","123.44","601.67","300.83","578.52","478.23","0.0","","","","","","",""
"2015.0","4.0","11.0","101.0","9455.0","0.7","0.9","0.0","4.3","0.9","3.87","0.0","0.0","0.0","0.0","27.01","123.44","601.67","300.83","574.65","478.23","0.0","","","","","","",""
"2015.0","4.0","12.0","102.0","9455.0","0.6","0.9","0.0","4.93","0.9","4.44","0.0","0.0","0.0","0.0","31.45","123.44","601.67","300.83","570.22","478.23","0.0","","","","","","",""
"2015.0","4.0","13.0","103.0","9455.0","0.54","0.9","0.0","5.02","0.9","4.52","0.0","0.0","0.0","0.0","35.97","123.44","601.67","300.83","565.7","478.23","0.0","","","","","","",""
"2015.0","4.0","14.0","104.0","9455.0","0.49","0.9","0.0","4.9","0.9","4.41","0.0","0.0","0.0","0.0","40.38","123.44","601.67","300.83","561.29","478.23","0.0","","","","","","",""
"2015.0","4.0","15.0","105.0","9455.0","0.44","0.9","0.0","6.53","0.9","5.88","0.0","0.0","0.0","0.0","46.26","123.44","601.67","300.83","555.41","478.23","0.0","","","","","","",""
"2015.0","4.0","16.0","106.0","9455.0","0.41","0.9","0.0","5.97","0.9","5.37","0.0","0.0","0.0","0.0","51.63","123.44","601.67","300.83","550.04","478.23","0.0","","","","","","",""
"2015.0","4.0","17.0","107.0","9455.0","0.38","0.9","0.0","5.35","0.9","4.82","0.0","0.0","0.0","0.0","56.44","123.44","601.67","300.83","545.22","478.23","0.0","","","","","","",""
"2015.0","4.0","18.0","108.0","9455.0","0.36","0.9","0.0","4.99","0.9","4.49","0.0","0.0","0.0","0.0","60.94","123.44","601.67","300.83","540.73","478.23","0.0","","","","","","",""
"2015.0","4.0","19.0","109.0","9455.0","0.35","0.9","0.0","5.25","0.9","4.73","0.0","0.0","0.0","0.0","65.66","123.44","601.67","300.83","536.01","478.23","0.0","","","","","","",""
"2015.0","4.0","20.0","110.0","9455.0","0.33","0.9","0.0","4.8","0.9","4.32","0.0","0.0","0.0","0.0","69.98","123.44","601.67","300.83","531.69","478.23","0.0","","","","","","",""
"2015.0","4.0","21.0","111.0","9455.0","0.32","0.9","0.0","3.83","0.9","3.45","0.0","0.0","0.0","0.0","73.43","123.44","601.67","300.83","528.24","478.23","0.0","","","","","","",""
"2015.0","4.0","22.0","112.0","9455.0","0.31","0.9","0.0","4.16","0.9","3.74","0.0","0.0","0.0","0.0","77.17","123.44","601.67","300.83","524.5","478.23","0.0","","","","","","",""
"2015.0","4.0","23.0","113.0","9455.0","0.3","0.9","0.0","4.79","0.9","4.31","0.0","0.0","0.0","0.0","81.48","123.44","601.67","300.83","520.19","478.23","0.0","","","","","","",""
"2015.0","4.0","24.0","114.0","9455.0","0.29","0.9","0.0","5.05","0.9","4.55","0.0","0.0","0.0","0.0","86.03","123.44","601.67","300.83","515.64","478.23","0.0","","","","","","",""
"2015.0","4.0","25.0","115.0","9455.0","1.06","0.9","0.0","4.07","1.06","4.3","12.34","12.34","0.0","0.0","77.99","123.44","601.67","300.83","523.68","478.23","0.0","","","","","","",""
"2015.0","4.0","26.0","116.0","9455.0","0.87","0.9","0.0","5.14","0.9","4.63","0.0","0.0","0.0","0.0","82.62","123.44","601.67","300.83","519.05","478.23","0.0","","","","","","",""
"2015.0","4.0","27.0","117.0","9455.0","0.67","0.9","0.0","6.01","0.9","5.41","0.0","0.0","0.0","0.0","88.03","123.44","601.67","300.83","513.64","478.23","0.0","","","","","","",""
"2015.0","4.0","28.0","118.0","9455.0","0.57","0.9","0.0","5.62","0.9","5.06","0.0","0.0","0.0","0.0","93.08","123.44","601.67","300.83","508.59","478.23","0.0","","","","","","",""
"2015.0","4.0","29.0","119.0","9455.0","0.51","0.9","0.0","5.35","0.9","4.82","0.0","0.0","0.0","0.0","97.9","123.44","601.67","300.83","503.77","478.23","0.0","","","","","","",""
"2015.0","4.0","30.0","120.0","9455.0","0.46","0.9","0.0","6.46","0.9","5.81","0.0","0.0","0.0","0.0","103.71","123.44","601.67","300.83","497.96","478.23","0.0","","","","","","",""
"2015.0","5.0","1.0","121.0","9455.0","0.41","0.9","0.0","6.52","0.9","5.87","0.0","0.0","0.0","0.0","109.58","123.44","601.67","300.83","492.09","478.23","0.0","","","","","","",""
"2015.0","5.0","2.0","122.0","9455.0","0.39","0.9","0.0","6.03","0.9","5.43","0.0","0.0","0.0","0.0","115.01","123.44","601.67","300.83","486.66","478.23","0.0","","","","","","",""
"2015.0","5.0","3.0","123.0","9455.0","0.37","0.9","0.0","5.29","0.9","4.76","0.0","0.0","0.0","0.0","119.77","123.44","601.67","300.83","481.9","478.23","0.0","","","","","","",""
"2015.0","5.0","4.0","124.0","9455.0","0.35","0.9","0.0","4.85","0.9","4.37","0.0","0.0","0.0","0.0","0.0","123.44","601.67","300.83","601.67","478.23","124.13","","","","","","",""
"2015.0","5.0","5.0","125.0","9455.0","0.34","0.9","0.0","4.86","0.9","4.37","0.0","0.0","0.0","0.0","4.37","123.44","601.67","300.83","597.3","478.23","0.0","","","","","","",""
"2015.0","5.0","6.0","126.0","9455.0","0.32","0.9","0.0","5.17","0.9","4.65","0.0","0.0","0.0","0.0","9.03","123.44","601.67","300.83","592.64","478.23","0.0","","","","","","",""
"2015.0","5.0","7.0","127.0","9455.0","0.31","0.9","0.0","3.74","0.9","3.37","0.12","0.12","0.0","0.0","12.27","123.44","601.67","300.83","589.4","478.23","0.0","","","","","","",""
"2015.0","5.0","8.0","128.0","9455.0","0.3","0.9","0.0","4.45","0.9","4.01","0.04","0.04","0.0","0.0","16.24","123.44","601.67","300.83","585.43","478.23","0.0","","","","","","",""
"2015.0","5.0","9.0","129.0","9455.0","0.29","0.9","0.0","5.02","0.9","4.52","0.0","0.0","0.0","0.0","20.76","123.44","601.67","300.83","580.91","478.23","0.0","","","","","","",""
"2015.0","5.0","10.0","130.0","9455.0","0.29","0.9","0.0","5.24","0.9","4.72","0.0","0.0","0.0","0.0","25.47","123.44","601.67","300.83","576.2","478.23","0.0","","","","","","",""
"2015.0","5.0","11.0","131.0","9455.0","0.28","0.9","0.0","5.2","0.9","4.68","0.0","0.0","0.0","0.0","30.15","123.44","601.67","300.83","571.52","478.23","0.0","","","","","","",""
"2015.0","5.0","12.0","132.0","9455.0","0.27","0.9","0.0","5.04","0.9","4.54","0.0","0.0","0.0","0.0","34.69","123.44","601.67","300.83","566.98","478.23","0.0","","","","","","",""
"2015.0","5.0","13.0","133.0","9455.0","0.26","0.9","0.0","4.75","0.9","4.28","0.0","0.0","0.0","0.0","38.96","123.44","601.67","300.83","562.71","478.23","0.0","","","","","","",""
"2015.0","5.0","14.0","134.0","9455.0","0.26","0.9","0.0","3.53","0.9","3.18","0.0","0.0","0.0","0.0","42.14","123.44","601.67","300.83","559.53","478.23","0.0","","","","","","",""
"2015.0","5.0","15.0","135.0","9455.0","0.25","0.9","0.0","4.69","0.9","4.22","0.41","0.41","0.0","0.0","45.95","123.44","601.67","300.83","555.72","478.23","0.0","","","","","","",""
"2015.0","5.0","16.0","136.0","9455.0","0.25","0.9","0.0","4.83","0.9","4.35","0.0","0.0","0.0","0.0","50.3","123.44","601.67","300.83","551.37","478.23","0.0","","","","","","",""
"2015.0","5.0","17.0","137.0","9455.0","0.24","0.9","0.0","4.03","0.9","3.63","0.0","0.0","0.0","0.0","53.93","123.44","601.67","300.83","547.74","478.23","0.0","","","","","","",""
"2015.0","5.0","18.0","138.0","9455.0","0.24","0.9","0.0","4.74","0.9","4.27","0.0","0.0","0.0","0.0","58.19","123.44","601.67","300.83","543.48","478.23","0.0","","","","","","",""
"2015.0","5.0","19.0","139.0","9455.0","0.23","0.9","0.0","5.03","0.9","4.53","0.0","0.0","0.0","0.0","62.72","123.44","601.67","300.83","538.95","478.23","0.0","","","","","","",""
"2015.0","5.0","20.0","140.0","9455.0","0.23","0.9","0.0","4.98","0.9","4.48","0.0","0.0","0.0","0.0","67.2","123.44","601.67","300.83","534.47","478.23","0.0","","","","","","",""
"2015.0","5.0","21.0","141.0","9455.0","0.23","0.9","0.0","4.26","0.9","3.83","0.0","0.0","0.0","0.0","71.03","123.44","601.67","300.83","530.64","478.23","0.0","","","","","","",""
"2015.0","5.0","22.0","142.0","9455.0","0.22","0.9","0.0","4.91","0.9","4.42","0.0","0.0","0.0","0.0","75.45","123.44","601.67","300.83","526.22","478.23","0.0","","","","","","",""
"2015.0","5.0","23.0","143.0","9455.0","0.22","0.9","0.0","4.7","0.9","4.23","0.0","0.0","0.0","0.0","79.68","123.44","601.67","300.83","521.99","478.23","0.0","","","","","","",""
"2015.0","5.0","24.0","144.0","9455.0","0.21","0.9","0.0","5.63","0.9","5.07","0.0","0.0","0.0","0.0","84.75","123.44","601.67","300.83","516.92","478.23","0.0","","","","","","",""
"2015.0","5.0","25.0","145.0","9455.0","0.21","0.9","0.0","5.5","0.9","4.95","0.0","0.0","0.0","0.0","89.7","123.44","601.67","300.83","511.97","478.23","0.0","","","","","","",""
"2015.0","5.0","26.0","146.0","9455.0","0.21","0.9","0.0","5.52","0.9","4.97","0.0","0.0","0.0","0.0","94.67","123.44","601.67","300.83","507.0","478.23","0.0","","","","","","",""
"2015.0","5.0","27.0","147.0","9455.0","0.2","0.9","0.0","5.56","0.9","5.0","0.0","0.0","0.0","0.0","99.67","123.44","601.67","300.83","502.0","478.23","0.0","","","","","","",""
"2015.0","5.0","28.0","148.0","9455.0","0.2","0.9","0.0","5.44","0.9","4.9","0.0","0.0","0.0","0.0","104.57","123.44","601.67","300.83","497.1","478.23","0.0","","","","","","",""
"2015.0","5.0","29.0","149.0","9455.0","0.2","0.9","0.0","6.1","0.9","5.49","0.0","0.0","0.0","0.0","110.06","123.44","601.67","300.83","491.61","478.23","0.0","","","","","","",""
"2015.0","5.0","30.0","150.0","9455.0","0.19","0.9","0.0","6.43","0.9","5.79","0.0","0.0","0.0","0.0","115.85","123.44","601.67","300.83","485.82","478.23","0.0","","","","","","",""
"2015.0","5.0","31.0","151.0","9455.0","0.19","0.9","0.0","5.4","0.9","4.86","0.0","0.0","0.0","0.0","120.71","123.44","601.67","300.83","480.96","478.23","0.0","","","","","","",""
"2015.0","6.0","1.0","152.0","9455.0","0.19","0.9","0.0","5.46","0.9","4.91","0.0","0.0","0.0","0.0","0.0","123.44","601.67","300.83","601.67","478.23","125.62","","","","","","",""
"2015.0","6.0","2.0","153.0","9455.0","0.18","0.9","0.0","5.75","0.9","5.18","0.0","0.0","0.0","0.0","5.18","123.44","601.67","300.83","596.49","478.23","0.0","","","","","","",""
"2015.0","6.0","3.0","154.0","9455.0","0.18","0.9","0.0","5.49","0.9","4.94","0.0","0.0","0.0","0.0","10.12","123.44","601.67","300.83","591.55","478.23","0.0","","","","","","",""
"2015.0","6.0","4.0","155.0","9455.0","0.18","0.9","0.0","5.89","0.9","5.3","0.0","0.0","0.0","0.0","15.42","123.44","601.67","300.83","586.25","478.23","0.0","","","","","","",""
"2015.0","6.0","5.0","156.0","9455.0","0.18","0.9","0.0","6.77","0.9","6.09","0.0","0.0","0.0","0.0","21.51","123.44","601.67","300.83","580.16","478.23","0.0","","","","","","",""
"2015.0","6.0","6.0","157.0","9455.0","0.17","0.9","0.0","6.34","0.9","5.71","0.0","0.0","0.0","0.0","27.22","123.44","601.67","300.83","574.45","478.23","0.0","","","","","","",""
"2015.0","6.0","7.0","158.0","9455.0","0.17","0.9","0.0","6.9","0.9","6.21","0.0","0.0","0.0","0.0","33.43","123.44","601.67","300.83","568.24","478.23","0.0","","","","","","",""
"2015.0","6.0","8.0","159.0","9455.0","0.17","0.9","0.0","7.39","0.9","6.65","0.0","0.0","0.0","0.0","40.08","123.44","601.67","300.83","561.59","478.23","0.0","","","","","","",""
"2015.0","6.0","9.0","160.0","9455.0","0.17","0.9","0.0","7.03","0.9","6.33","0.0","0.0","0.0","0.0","46.4","123.44","601.67","300.83","555.27","478.23","0.0","","","","","","",""
"2015.0","6.0","10.0","161.0","9455.0","0.17","0.9","0.0","2.7","0.9","2.43","0.02","0.02","0.0","0.0","48.81","123.44","601.67","300.83","552.86","478.23","0.0","","","","","","",""
"2015.0","6.0","11.0","162.0","9455.0","0.16","0.9","0.0","7.01","0.9","6.31","2.18","2.18","0.0","0.0","52.94","123.44","601.67","300.83","548.73","478.23","0.0","","","","","","",""
"2015.0","6.0","12.0","163.0","9455.0","0.16","0.9","0.0","7.89","0.9","7.1","0.0","0.0","0.0","0.0","60.04","123.44","601.67","300.83","541.63","478.23","0.0","","","","","","",""
"2015.0","6.0","13.0","164.0","9455.0","0.16","0.9","0.0","7.55","0.9","6.8","0.0","0.0","0.0","0.0","66.84","123.44","601.67","300.83","534.83","478.23","0.0","","","","","","",""
"2015.0","6.0","14.0","165.0","9455.0","0.16","0.9","0.0","6.8","0.9","6.12","0.0","0.0","0.0","0.0","72.96","123.44","601.67","300.83","528.71","478.23","0.0","","","","","","",""
"2015.0","6.0","15.0","166.0","9455.0","0.15","0.9","0.0","6.62","0.9","5.96","0.0","0.0","0.0","0.0","78.92","123.44","601.67","300.83","522.75","478.23","0.0","","","","","","",""
"2015.0","6.0","16.0","167.0","9455.0","0.15","0.9","0.0","6.96","0.9","6.26","0.51","0.51","0.0","0.0","84.67","123.44","601.67","300.83","517.0","478.23","0.0","","","","","","",""
"2015.0","6.0","17.0","168.0","9455.0","0.15","0.9","0.0","6.97","0.9","6.27","0.0","0.0","0.0","0.0","90.94","123.44","601.67","300.83","510.73","478.23","0.0","","","","","","",""
"2015.0","6.0","18.0","169.0","9455.0","0.15","0.9","0.0","7.62","0.9","6.86","0.0","0.0","0.0","0.0","97.8","123.44","601.67","300.83","503.87","478.23","0.0","","","","","","",""
"2015.0","6.0","19.0","170.0","9455.0","0.15","0.9","0.0","7.42","0.9","6.68","0.0","0.0","0.0","0.0","104.48","123.44","601.67","300.83","497.19","478.23","0.0","","","","","","",""
"2015.0","6.0","20.0","171.0","9455.0","0.14","0.9","0.0","7.06","0.9","6.35","0.0","0.0","0.0","0.0","110.83","123.44","601.67","300.83","490.84","478.23","0.0","","","","","","",""
"2015.0","6.0","21.0","172.0","9455.0","0.14","0.9","0.0","7.62","0.9","6.86","0.0","0.0","0.0","0.0","117.69","123.44","601.67","300.83","483.98","478.23","0.0","","","","","","",""
"2015.0","6.0","22.0","173.0","9455.0","0.14","0.9","0.0","6.99","0.9","6.29","0.0","0.0","0.0","0.0","0.0","123.44","601.67","300.83","601.67","478.23","123.98","","","","","","",""
"2015.0","6.0","23.0","174.0","9455.0","0.14","0.9","0.0","7.4","0.9","6.66","0.0","0.0","0.0","0.0","6.66","123.44","601.67","300.83","595.01","478.23","0.0","","","","","","",""
"2015.0","6.0","24.0","175.0","9455.0","0.14","0.9","0.0","7.41","0.9","6.67","0.0","0.0","0.0","0.0","13.33","123.44","601.67","300.83","588.34","478.23","0.0","","","","","","",""
"2015.0","6.0","25.0","176.0","9455.0","0.14","0.9","0.0","8.0","0.9","7.2","0.0","0.0","0.0","0.0","20.53","123.44","601.67","300.83","581.14","478.23","0.0","","","","","","",""
"2015.0","6.0","26.0","177.0","9455.0","0.13","0.9","0.0","8.37","0.9","7.53","0.0","0.0","0.0","0.0","28.06","123.44","601.67","300.83","573.61","478.23","0.0","","","","","","",""
"2015.0","6.0","27.0","178.0","9455.0","0.13","0.9","0.0","6.94","0.9","6.25","0.0","0.0","0.0","0.0","34.31","123.44","601.67","300.83","567.36","478.23","0.0","","","","","","",""
"2015.0","6.0","28.0","179.0","9455.0","0.13","0.9","0.0","7.3","0.9","6.57","0.0","0.0","0.0","0.0","40.88","123.44","601.67","300.83","560.79","478.23","0.0","","","","","","",""
"2015.0","6.0","29.0","180.0","9455.0","0.13","0.9","0.0","7.58","0.9","6.82","0.0","0.0","0.0","0.0","47.7","123.44","601.67","300.83","553.97","478.23","0.0","","","","","","",""
"2015.0","6.0","30.0","181.0","9455.0","0.13","0.9","0.0","7.69","0.9","6.92","0.0","0.0","0.0","0.0","54.62","123.44","601.67","300.83","547.05","478.23","0.0","","","","","","",""
