" Daily soil water balance output for Water Surface in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Water Surface in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"2015.0","2.0","11.0","42.0","10206.0","1.15","1.1","0.0","1.61","1.15","1.771","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","12.0","43.0","10206.0","1.02","1.1","0.0","1.97","1.1","2.167","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","13.0","44.0","10206.0","0.91","1.1","0.0","2.0","1.1","2.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","14.0","45.0","10206.0","0.82","1.1","0.0","2.16","1.1","2.376","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","15.0","46.0","10206.0","0.75","1.1","0.0","2.09","1.1","2.299","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","16.0","47.0","10206.0","0.7","1.1","0.0","2.19","1.1","2.409","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","17.0","48.0","10206.0","0.66","1.1","0.0","1.85","1.1","2.035","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","18.0","49.0","10206.0","0.63","1.1","0.0","1.58","1.1","1.738","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","19.0","50.0","10206.0","0.62","1.1","0.0","1.04","1.1","1.144","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","20.0","51.0","10206.0","0.59","1.1","0.0","2.0","1.1","2.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","21.0","52.0","10206.0","0.57","1.1","0.0","1.73","1.1","1.903","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","22.0","53.0","10206.0","0.53","1.1","0.0","3.63","1.1","3.993","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","23.0","54.0","10206.0","0.49","1.1","0.0","4.25","1.1","4.675","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","24.0","55.0","10206.0","0.47","1.1","0.0","2.81","1.1","3.091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","25.0","56.0","10206.0","0.46","1.1","0.0","2.18","1.1","2.398","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","26.0","57.0","10206.0","0.44","1.1","0.0","3.03","1.1","3.333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","27.0","58.0","10206.0","0.42","1.1","0.0","2.87","1.1","3.157","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","28.0","59.0","10206.0","0.41","1.1","0.0","2.01","1.1","2.211","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","1.0","60.0","10206.0","0.4","1.1","0.0","2.65","1.1","2.915","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","2.0","61.0","10206.0","0.39","1.1","0.0","2.24","1.1","2.464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","3.0","62.0","10206.0","1.12","1.1","0.0","2.55","1.12","2.805","3.36","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","4.0","63.0","10206.0","1.12","1.1","0.0","2.6","1.12","2.86","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","5.0","64.0","10206.0","0.97","1.1","0.0","2.79","1.1","3.069","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","6.0","65.0","10206.0","0.83","1.1","0.0","2.99","1.1","3.289","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","7.0","66.0","10206.0","0.74","1.1","0.0","2.81","1.1","3.091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","8.0","67.0","10206.0","0.67","1.1","0.0","2.94","1.1","3.234","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","9.0","68.0","10206.0","0.62","1.1","0.0","2.98","1.1","3.278","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","10.0","69.0","10206.0","0.58","1.1","0.0","2.3","1.1","2.53","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","11.0","70.0","10206.0","0.56","1.1","0.0","2.11","1.1","2.321","0.83","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","12.0","71.0","10206.0","1.08","1.1","0.0","3.41","1.1","3.751","4.58","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","13.0","72.0","10206.0","1.07","1.1","0.0","3.03","1.1","3.333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","14.0","73.0","10206.0","0.87","1.1","0.0","3.23","1.1","3.553","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","15.0","74.0","10206.0","0.74","1.1","0.0","3.74","1.1","4.114","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","16.0","75.0","10206.0","0.68","1.1","0.0","2.43","1.1","2.673","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","17.0","76.0","10206.0","0.62","1.1","0.0","3.53","1.1","3.883","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","18.0","77.0","10206.0","0.56","1.1","0.0","3.85","1.1","4.235","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","19.0","78.0","10206.0","0.52","1.1","0.0","3.88","1.1","4.268","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","20.0","79.0","10206.0","0.49","1.1","0.0","3.07","1.1","3.377","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","21.0","80.0","10206.0","0.47","1.1","0.0","3.6","1.1","3.96","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","22.0","81.0","10206.0","0.44","1.1","0.0","3.31","1.1","3.641","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","23.0","82.0","10206.0","0.43","1.1","0.0","3.28","1.1","3.608","0.11","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","24.0","83.0","10206.0","0.41","1.1","0.0","3.19","1.1","3.509","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","25.0","84.0","10206.0","0.39","1.1","0.0","4.18","1.1","4.598","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","26.0","85.0","10206.0","0.38","1.1","0.0","3.88","1.1","4.268","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","27.0","86.0","10206.0","0.36","1.1","0.0","4.4","1.1","4.84","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","28.0","87.0","10206.0","0.35","1.1","0.0","4.93","1.1","5.423","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","29.0","88.0","10206.0","0.33","1.1","0.0","4.71","1.1","5.181","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","30.0","89.0","10206.0","0.32","1.1","0.0","4.49","1.1","4.939","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","3.0","31.0","90.0","10206.0","0.31","1.1","0.0","4.65","1.1","5.115","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","1.0","91.0","10206.0","0.3","1.1","0.0","4.22","1.1","4.642","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","2.0","92.0","10206.0","0.29","1.1","0.0","5.54","1.1","6.094","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","3.0","93.0","10206.0","0.28","1.1","0.0","4.6","1.1","5.06","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","4.0","94.0","10206.0","0.28","1.1","0.0","4.48","1.1","4.928","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","5.0","95.0","10206.0","0.27","1.1","0.0","2.56","1.1","2.816","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","6.0","96.0","10206.0","0.27","1.1","0.0","2.92","1.1","3.212","0.96","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","7.0","97.0","10206.0","1.12","1.1","0.0","2.53","1.12","2.783","4.05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","8.0","98.0","10206.0","1.1","1.1","0.0","2.94","1.1","3.234","14.39","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","9.0","99.0","10206.0","1.07","1.1","0.0","3.48","1.1","3.828","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","10.0","100.0","10206.0","0.83","1.1","0.0","4.1","1.1","4.51","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","11.0","101.0","10206.0","0.7","1.1","0.0","4.26","1.1","4.686","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","12.0","102.0","10206.0","0.6","1.1","0.0","4.91","1.1","5.401","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","13.0","103.0","10206.0","0.54","1.1","0.0","4.91","1.1","5.401","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","14.0","104.0","10206.0","0.49","1.1","0.0","4.87","1.1","5.357","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","15.0","105.0","10206.0","0.44","1.1","0.0","6.58","1.1","7.238","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","16.0","106.0","10206.0","0.41","1.1","0.0","6.06","1.1","6.666","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","17.0","107.0","10206.0","0.38","1.1","0.0","5.29","1.1","5.819","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","18.0","108.0","10206.0","0.36","1.1","0.0","4.95","1.1","5.445","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","19.0","109.0","10206.0","0.35","1.1","0.0","5.18","1.1","5.698","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","20.0","110.0","10206.0","0.33","1.1","0.0","4.74","1.1","5.214","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","21.0","111.0","10206.0","0.32","1.1","0.0","3.79","1.1","4.169","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","22.0","112.0","10206.0","0.32","1.1","0.0","4.2","1.1","4.62","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","23.0","113.0","10206.0","0.31","1.1","0.0","4.75","1.1","5.225","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","24.0","114.0","10206.0","0.3","1.1","0.0","4.96","1.1","5.456","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","25.0","115.0","10206.0","1.06","1.1","0.0","3.96","1.1","4.356","11.93","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","26.0","116.0","10206.0","0.88","1.1","0.0","5.11","1.1","5.621","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","27.0","117.0","10206.0","0.67","1.1","0.0","6.12","1.1","6.732","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","28.0","118.0","10206.0","0.58","1.1","0.0","5.51","1.1","6.061","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","29.0","119.0","10206.0","0.51","1.1","0.0","5.26","1.1","5.786","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","4.0","30.0","120.0","10206.0","0.46","1.1","0.0","6.47","1.1","7.117","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","1.0","121.0","10206.0","0.42","1.1","0.0","6.45","1.1","7.095","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","2.0","122.0","10206.0","0.39","1.1","0.0","5.94","1.1","6.534","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","3.0","123.0","10206.0","0.37","1.1","0.0","5.17","1.1","5.687","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","4.0","124.0","10206.0","0.35","1.1","0.0","4.74","1.1","5.214","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","5.0","125.0","10206.0","0.34","1.1","0.0","4.79","1.1","5.269","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","6.0","126.0","10206.0","0.32","1.1","0.0","5.2","1.1","5.72","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","7.0","127.0","10206.0","0.32","1.1","0.0","3.82","1.1","4.202","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","8.0","128.0","10206.0","0.31","1.1","0.0","4.45","1.1","4.895","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","9.0","129.0","10206.0","0.3","1.1","0.0","4.99","1.1","5.489","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","10.0","130.0","10206.0","0.29","1.1","0.0","5.12","1.1","5.632","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","11.0","131.0","10206.0","0.28","1.1","0.0","5.11","1.1","5.621","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","12.0","132.0","10206.0","0.27","1.1","0.0","5.01","1.1","5.511","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","13.0","133.0","10206.0","0.26","1.1","0.0","4.72","1.1","5.192","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","14.0","134.0","10206.0","0.26","1.1","0.0","3.63","1.1","3.993","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","15.0","135.0","10206.0","0.25","1.1","0.0","4.7","1.1","5.17","0.06","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","16.0","136.0","10206.0","0.25","1.1","0.0","4.79","1.1","5.269","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","17.0","137.0","10206.0","0.24","1.1","0.0","3.87","1.1","4.257","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","18.0","138.0","10206.0","0.24","1.1","0.0","4.77","1.1","5.247","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","19.0","139.0","10206.0","0.24","1.1","0.0","4.98","1.1","5.478","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","20.0","140.0","10206.0","0.23","1.1","0.0","4.89","1.1","5.379","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","21.0","141.0","10206.0","0.23","1.1","0.0","4.59","1.1","5.049","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","22.0","142.0","10206.0","0.22","1.1","0.0","4.9","1.1","5.39","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","23.0","143.0","10206.0","0.22","1.1","0.0","4.73","1.1","5.203","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","24.0","144.0","10206.0","0.21","1.1","0.0","5.57","1.1","6.127","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","25.0","145.0","10206.0","0.21","1.1","0.0","5.38","1.1","5.918","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","26.0","146.0","10206.0","0.21","1.1","0.0","5.42","1.1","5.962","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","27.0","147.0","10206.0","0.2","1.1","0.0","5.47","1.1","6.017","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","28.0","148.0","10206.0","0.2","1.1","0.0","5.36","1.1","5.896","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","29.0","149.0","10206.0","0.2","1.1","0.0","5.96","1.1","6.556","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","30.0","150.0","10206.0","0.19","1.1","0.0","6.29","1.1","6.919","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","5.0","31.0","151.0","10206.0","0.19","1.1","0.0","5.29","1.1","5.819","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","1.0","152.0","10206.0","0.19","1.1","0.0","5.34","1.1","5.874","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","2.0","153.0","10206.0","0.19","1.1","0.0","5.63","1.1","6.193","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","3.0","154.0","10206.0","0.18","1.1","0.0","5.42","1.1","5.962","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","4.0","155.0","10206.0","0.18","1.1","0.0","5.87","1.1","6.457","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","5.0","156.0","10206.0","0.18","1.1","0.0","6.78","1.1","7.458","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","6.0","157.0","10206.0","0.17","1.1","0.0","6.33","1.1","6.963","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","7.0","158.0","10206.0","0.17","1.1","0.0","6.88","1.1","7.568","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","8.0","159.0","10206.0","0.17","1.1","0.0","7.31","1.1","8.041","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","9.0","160.0","10206.0","0.17","1.1","0.0","6.91","1.1","7.601","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","10.0","161.0","10206.0","0.17","1.1","0.0","2.53","1.1","2.783","0.32","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","11.0","162.0","10206.0","0.16","1.1","0.0","7.0","1.1","7.7","1.59","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","12.0","163.0","10206.0","0.16","1.1","0.0","7.84","1.1","8.624","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","13.0","164.0","10206.0","0.16","1.1","0.0","7.39","1.1","8.129","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","14.0","165.0","10206.0","0.16","1.1","0.0","6.62","1.1","7.282","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","15.0","166.0","10206.0","0.15","1.1","0.0","6.43","1.1","7.073","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","16.0","167.0","10206.0","0.15","1.1","0.0","6.82","1.1","7.502","0.02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","17.0","168.0","10206.0","0.15","1.1","0.0","6.84","1.1","7.524","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","18.0","169.0","10206.0","0.15","1.1","0.0","7.46","1.1","8.206","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","19.0","170.0","10206.0","0.15","1.1","0.0","7.3","1.1","8.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","20.0","171.0","10206.0","0.15","1.1","0.0","6.95","1.1","7.645","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","21.0","172.0","10206.0","0.14","1.1","0.0","7.44","1.1","8.184","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","22.0","173.0","10206.0","0.14","1.1","0.0","6.8","1.1","7.48","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","23.0","174.0","10206.0","0.14","1.1","0.0","7.3","1.1","8.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","24.0","175.0","10206.0","0.14","1.1","0.0","7.32","1.1","8.052","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","25.0","176.0","10206.0","0.14","1.1","0.0","7.89","1.1","8.679","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","26.0","177.0","10206.0","0.14","1.1","0.0","8.25","1.1","9.075","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","27.0","178.0","10206.0","0.13","1.1","0.0","6.73","1.1","7.403","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","28.0","179.0","10206.0","0.13","1.1","0.0","7.15","1.1","7.865","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","29.0","180.0","10206.0","0.13","1.1","0.0","7.45","1.1","8.195","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","6.0","30.0","181.0","10206.0","0.13","1.1","0.0","7.57","1.1","8.327","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
