" Daily soil water balance output for Cherries in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Cherries in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","2.0","9.0","40.0","38.0","1.14","0.0","0.0","1.97","1.14","2.25","23.02","2.25","0.0","0.0","0.0","20.25","411.48","205.74","411.48","391.23","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","38.0","1.14","0.0","0.0","1.83","1.14","2.09","0.18","0.18","0.0","0.0","1.91","20.25","411.48","205.74","409.57","391.23","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","38.0","1.15","0.0","0.0","1.59","1.15","1.83","0.0","0.0","0.0","0.0","3.74","20.25","411.48","205.74","407.74","391.23","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","38.0","1.03","0.0","0.0","1.98","1.03","2.03","0.0","0.0","0.0","0.0","5.77","20.25","411.48","205.74","405.71","391.23","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","38.0","0.91","0.0","0.0","2.03","0.91","1.84","0.0","0.0","0.0","0.0","7.61","20.25","411.48","205.74","403.87","391.23","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","38.0","0.82","0.0","0.0","2.18","0.82","1.78","0.0","0.0","0.0","0.0","9.39","20.25","411.48","205.74","402.09","391.23","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","38.0","0.75","0.0","0.0","2.09","0.75","1.57","0.0","0.0","0.0","0.0","10.96","20.25","411.48","205.74","400.52","391.23","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","38.0","0.7","0.0","0.0","2.24","0.7","1.56","0.0","0.0","0.0","0.0","12.52","20.25","411.48","205.74","398.96","391.23","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","38.0","0.66","0.0","0.0","1.94","0.66","1.28","0.0","0.0","0.0","0.0","13.8","20.25","411.48","205.74","397.68","391.23","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","38.0","0.63","0.0","0.0","1.5","0.63","0.95","0.0","0.0","0.0","0.0","14.74","20.25","411.48","205.74","396.74","391.23","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","38.0","0.62","0.0","0.0","1.08","0.62","0.66","0.0","0.0","0.0","0.0","15.41","20.25","411.48","205.74","396.07","391.23","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","38.0","0.59","0.0","0.0","1.97","0.59","1.16","0.0","0.0","0.0","0.0","16.57","20.25","411.48","205.74","394.91","391.23","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","38.0","0.57","0.0","0.0","1.62","0.57","0.92","0.0","0.0","0.0","0.0","17.49","20.25","411.48","205.74","393.99","391.23","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","38.0","0.53","0.0","0.0","3.74","0.53","1.97","0.0","0.0","0.0","0.0","19.46","20.25","411.48","205.74","392.02","391.23","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","38.0","0.49","0.0","0.0","4.35","0.49","2.13","0.0","0.0","0.0","0.0","21.58","20.25","411.48","205.74","389.9","391.23","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","38.0","0.47","0.0","0.0","2.85","0.47","1.33","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","38.0","0.45","0.0","0.0","2.19","0.45","0.99","0.0","0.0","0.0","0.0","21.24","20.25","411.48","205.74","390.24","391.23","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","38.0","0.44","0.0","0.0","3.07","0.44","1.34","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","38.0","0.42","0.0","0.0","2.77","0.42","1.17","0.0","0.0","0.0","0.0","21.42","20.25","411.48","205.74","390.06","391.23","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","38.0","0.41","0.0","0.0","1.93","0.41","0.8","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","38.0","0.4","0.0","0.0","2.68","0.4","1.07","0.0","0.0","0.0","0.0","21.32","20.25","411.48","205.74","390.16","391.23","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","38.0","0.39","0.0","0.0","2.33","0.39","0.91","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","38.0","0.38","0.0","0.0","2.59","0.38","0.99","1.02","1.02","0.0","0.0","20.22","20.25","411.48","205.74","391.26","391.23","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","38.0","0.37","0.0","0.0","2.6","0.37","0.97","0.0","0.0","0.0","0.0","21.18","20.25","411.48","205.74","390.3","391.23","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","38.0","0.36","0.0","0.0","2.79","0.36","1.01","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","38.0","0.35","0.0","0.0","3.0","0.35","1.06","0.0","0.0","0.0","0.0","21.31","20.25","411.48","205.74","390.17","391.23","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","38.0","0.35","0.0","0.0","2.8","0.35","0.97","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","38.0","0.34","0.0","0.0","2.98","0.34","1.01","0.0","0.0","0.0","0.0","21.26","20.25","411.48","205.74","390.22","391.23","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","38.0","0.33","0.0","0.0","3.06","0.33","1.01","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","38.0","0.32","0.0","0.0","2.4","0.32","0.78","0.0","0.0","0.0","0.0","21.03","20.25","411.48","205.74","390.45","391.23","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","38.0","0.32","0.0","0.0","2.11","0.32","0.67","1.32","1.32","0.0","0.0","19.71","20.25","411.48","205.74","391.77","391.23","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","38.0","1.08","0.0","0.0","3.47","1.08","3.75","3.55","3.55","0.0","0.0","19.91","20.25","411.48","205.74","391.57","391.23","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","38.0","1.06","0.0","0.0","3.11","1.06","3.29","0.0","0.0","0.0","0.0","23.2","20.25","411.48","205.74","388.28","391.23","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","38.0","0.86","0.0","0.0","3.29","0.86","2.84","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","38.0","0.73","0.0","0.0","3.85","0.73","2.81","0.0","0.0","0.0","0.0","23.06","20.25","411.48","205.74","388.42","391.23","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","38.0","0.68","0.0","0.0","2.46","0.68","1.66","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","38.0","0.61","0.0","0.0","3.49","0.61","2.13","0.0","0.0","0.0","0.0","22.38","20.25","411.48","205.74","389.1","391.23","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","38.0","0.56","0.0","0.0","3.89","0.56","2.17","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","38.0","0.52","0.0","0.0","3.94","0.52","2.03","0.0","0.0","0.0","0.0","22.28","20.25","411.48","205.74","389.2","391.23","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","38.0","0.49","0.0","0.0","3.11","0.49","1.52","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","38.0","0.46","0.0","0.0","3.63","0.46","1.68","0.0","0.0","0.0","0.0","21.93","20.25","411.48","205.74","389.55","391.23","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","38.0","0.44","0.0","0.0","3.27","0.44","1.45","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","38.0","0.42","0.0","0.0","3.28","0.42","1.39","0.25","0.25","0.0","0.0","21.39","20.25","411.48","205.74","390.09","391.23","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","38.0","0.41","0.0","0.0","3.19","0.41","1.3","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","38.0","0.39","0.0","0.0","4.23","0.39","1.65","0.0","0.0","0.0","0.0","21.9","20.25","411.48","205.74","389.58","391.23","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","38.0","0.37","0.0","0.0","3.92","0.37","1.47","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","38.0","0.36","0.0","0.0","4.55","0.36","1.63","0.0","0.0","0.0","0.0","21.88","20.25","411.48","205.74","389.6","391.23","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","38.0","0.34","0.0","0.0","4.99","0.34","1.71","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","38.0","0.33","0.0","0.0","4.76","0.33","1.57","0.0","0.0","0.0","0.0","21.82","20.25","411.48","205.74","389.66","391.23","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","38.0","0.32","0.0","0.0","4.57","0.32","1.46","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","38.0","0.31","0.0","0.0","4.61","0.31","1.43","0.0","0.0","0.0","0.0","21.68","20.25","411.48","205.74","389.8","391.23","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","38.0","0.3","0.0","0.0","4.22","0.3","1.27","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","38.0","0.29","0.0","0.0","5.59","0.29","1.62","0.0","0.0","0.0","0.0","21.87","20.25","411.48","205.74","389.61","391.23","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","38.0","0.28","0.0","0.0","4.63","0.28","1.31","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","38.0","0.28","0.0","0.0","4.53","0.28","1.25","0.0","0.0","0.0","0.0","21.5","20.25","411.48","205.74","389.98","391.23","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","38.0","0.27","0.0","0.0","2.58","0.27","0.7","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","38.0","0.27","0.0","0.0","2.98","0.27","0.8","1.42","1.42","0.0","0.0","19.63","20.25","411.48","205.74","391.85","391.23","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","38.0","1.12","0.0","0.0","2.41","1.12","2.71","6.49","6.49","0.0","0.0","15.85","20.25","411.48","205.74","395.63","391.23","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","38.0","1.1","0.0","0.0","2.91","1.1","3.21","13.25","13.25","0.0","0.0","5.81","20.25","411.48","205.74","405.67","391.23","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","38.0","1.07","0.0","0.0","3.48","1.07","3.74","0.0","0.0","0.0","0.0","9.55","20.25","411.48","205.74","401.93","391.23","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","38.0","0.83","0.0","0.0","4.13","0.83","3.44","0.0","0.0","0.0","0.0","12.99","20.25","411.48","205.74","398.49","391.23","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","38.0","0.7","0.0","0.0","4.29","0.7","3.0","0.0","0.0","0.0","0.0","15.99","20.25","411.48","205.74","395.49","391.23","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","38.0","0.6","0.0","0.0","4.97","0.6","2.99","0.0","0.0","0.0","0.0","18.98","20.25","411.48","205.74","392.5","391.23","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","38.0","0.53","0.0","0.0","5.12","0.53","2.74","0.0","0.0","0.0","0.0","21.72","20.25","411.48","205.74","389.76","391.23","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","38.0","0.49","0.0","0.0","4.85","0.49","2.37","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","38.0","0.44","0.55","0.0","6.7","0.55","3.69","0.0","0.0","0.0","0.0","23.94","96.75","411.48","205.74","387.55","314.73","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","38.0","0.4","0.56","0.0","6.12","0.56","3.41","0.0","0.0","0.0","0.0","27.34","96.75","411.48","205.74","384.14","314.73","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","38.0","0.38","0.56","0.0","5.33","0.56","3.0","0.0","0.0","0.0","0.0","30.34","96.75","411.48","205.74","381.14","314.73","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","38.0","0.36","0.57","0.0","5.03","0.57","2.87","0.0","0.0","0.0","0.0","33.21","96.75","411.48","205.74","378.27","314.73","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","38.0","0.34","0.58","0.0","5.36","0.58","3.09","0.0","0.0","0.0","0.0","36.3","96.75","411.48","205.74","375.18","314.73","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","38.0","0.33","0.58","0.0","4.9","0.58","2.86","0.0","0.0","0.0","0.0","39.15","96.75","411.48","205.74","372.33","314.73","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","38.0","0.32","0.59","0.0","3.95","0.59","2.33","0.0","0.0","0.0","0.0","41.48","96.75","411.48","205.74","370.0","314.73","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","38.0","0.31","0.6","0.0","4.22","0.6","2.52","0.0","0.0","0.0","0.0","44.0","96.75","411.48","205.74","367.48","314.73","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","38.0","0.3","0.6","0.0","4.83","0.6","2.91","0.0","0.0","0.0","0.0","46.91","96.75","411.48","205.74","364.57","314.73","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","38.0","0.29","0.61","0.0","4.92","0.61","3.0","0.0","0.0","0.0","0.0","49.91","96.75","411.48","205.74","361.57","314.73","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","38.0","1.06","0.62","0.0","4.12","1.06","4.35","14.13","14.13","0.0","0.0","40.12","96.75","411.48","205.74","371.36","314.73","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","38.0","0.87","0.62","0.0","5.12","0.87","4.46","0.0","0.0","0.0","0.0","44.58","96.75","411.48","205.74","366.9","314.73","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","38.0","0.67","0.63","0.0","6.14","0.67","4.1","0.0","0.0","0.0","0.0","48.68","96.75","411.48","205.74","362.8","314.73","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","38.0","0.57","0.64","0.0","5.67","0.64","3.6","0.0","0.0","0.0","0.0","52.28","96.75","411.48","205.74","359.2","314.73","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","38.0","0.51","0.64","0.0","5.35","0.64","3.44","0.0","0.0","0.0","0.0","55.72","96.75","411.48","205.74","355.76","314.73","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","38.0","0.45","0.65","0.0","6.54","0.65","4.24","0.0","0.0","0.0","0.0","59.96","96.75","411.48","205.74","351.52","314.73","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","38.0","0.41","0.66","0.0","6.55","0.66","4.29","0.0","0.0","0.0","0.0","64.25","96.75","411.48","205.74","347.23","314.73","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","38.0","0.38","0.66","0.0","6.19","0.66","4.1","0.0","0.0","0.0","0.0","68.35","96.75","411.48","205.74","343.13","314.73","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","38.0","0.36","0.67","0.0","5.44","0.67","3.64","0.0","0.0","0.0","0.0","71.99","96.75","411.48","205.74","339.49","314.73","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","38.0","0.35","0.67","0.0","4.95","0.67","3.34","0.0","0.0","0.0","0.0","75.33","96.75","411.48","205.74","336.15","314.73","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","38.0","0.33","0.68","0.0","4.89","0.68","3.33","0.0","0.0","0.0","0.0","78.66","96.75","411.48","205.74","332.82","314.73","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","38.0","0.32","0.69","0.0","5.24","0.69","3.61","0.0","0.0","0.0","0.0","82.27","96.75","411.48","205.74","329.21","314.73","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","38.0","0.31","0.69","0.0","4.2","0.69","2.92","0.45","0.45","0.0","0.0","84.73","96.75","411.48","205.74","326.75","314.73","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","38.0","0.3","0.7","0.0","4.53","0.7","3.18","0.55","0.55","0.0","0.0","87.36","96.75","411.48","205.74","324.12","314.73","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","38.0","0.29","0.71","0.0","5.14","0.71","3.64","0.0","0.0","0.0","0.0","91.0","96.75","411.48","205.74","320.48","314.73","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","38.0","0.28","0.71","0.0","5.31","0.71","3.79","0.0","0.0","0.0","0.0","94.79","96.75","411.48","205.74","316.69","314.73","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","38.0","0.27","0.72","0.0","5.28","0.72","3.81","0.0","0.0","0.0","0.0","0.0","96.75","411.48","205.74","411.48","314.73","98.6","","","","","","","","",""
"2015.0","5.0","12.0","132.0","38.0","0.27","0.73","0.0","5.03","0.73","3.66","0.0","0.0","0.0","0.0","3.66","96.75","411.48","205.74","407.82","314.73","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","38.0","0.26","0.73","0.0","4.79","0.73","3.52","0.0","0.0","0.0","0.0","7.18","96.75","411.48","205.74","404.3","314.73","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","38.0","0.26","0.74","0.0","3.95","0.74","2.93","0.0","0.0","0.0","0.0","10.1","96.75","411.48","205.74","401.38","314.73","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","38.0","0.25","0.75","0.0","4.75","0.75","3.55","0.02","0.02","0.0","0.0","13.63","96.75","411.48","205.74","397.85","314.73","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","38.0","0.24","0.75","0.0","4.87","0.75","3.67","0.0","0.0","0.0","0.0","17.3","96.75","411.48","205.74","394.18","314.73","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","38.0","0.24","0.76","0.0","4.0","0.76","3.04","0.0","0.0","0.0","0.0","20.35","96.75","411.48","205.74","391.13","314.73","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","38.0","0.24","0.77","0.0","4.7","0.77","3.61","0.0","0.0","0.0","0.0","23.95","96.75","411.48","205.74","387.53","314.73","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","38.0","0.23","0.77","0.0","5.07","0.77","3.92","0.0","0.0","0.0","0.0","27.87","96.75","411.48","205.74","383.61","314.73","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","38.0","0.23","0.78","0.0","5.05","0.78","3.94","0.0","0.0","0.0","0.0","31.82","96.75","411.48","205.74","379.66","314.73","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","38.0","0.22","0.79","0.0","4.58","0.79","3.6","0.0","0.0","0.0","0.0","35.42","96.75","411.48","205.74","376.06","314.73","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","38.0","0.22","0.79","0.0","4.94","0.79","3.92","0.0","0.0","0.0","0.0","39.34","96.75","411.48","205.74","372.14","314.73","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","38.0","0.22","0.8","0.0","4.77","0.8","3.82","0.0","0.0","0.0","0.0","43.15","96.75","411.48","205.74","368.33","314.73","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","38.0","0.21","0.81","0.0","5.77","0.81","4.65","0.0","0.0","0.0","0.0","47.81","96.75","411.48","205.74","363.67","314.73","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","38.0","0.21","0.81","0.0","5.58","0.81","4.54","0.0","0.0","0.0","0.0","52.35","96.75","411.48","205.74","359.13","314.73","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","38.0","0.2","0.82","0.0","5.63","0.82","4.62","0.0","0.0","0.0","0.0","56.96","96.75","411.48","205.74","354.52","314.73","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","38.0","0.2","0.83","0.0","5.67","0.83","4.69","0.0","0.0","0.0","0.0","61.65","96.75","411.48","205.74","349.83","314.73","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","38.0","0.2","0.83","0.0","5.48","0.83","4.56","0.0","0.0","0.0","0.0","66.21","96.75","411.48","205.74","345.27","314.73","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","38.0","0.19","0.84","0.0","6.16","0.84","5.17","0.0","0.0","0.0","0.0","71.38","96.75","411.48","205.74","340.1","314.73","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","38.0","0.19","0.85","0.0","6.49","0.85","5.49","0.0","0.0","0.0","0.0","76.87","96.75","411.48","205.74","334.61","314.73","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","38.0","0.19","0.85","0.0","5.57","0.85","4.75","0.0","0.0","0.0","0.0","81.62","96.75","411.48","205.74","329.86","314.73","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","38.0","0.19","0.86","0.0","5.56","0.86","4.78","0.0","0.0","0.0","0.0","86.4","96.75","411.48","205.74","325.08","314.73","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","38.0","0.18","0.87","0.0","5.75","0.87","4.98","0.0","0.0","0.0","0.0","91.38","96.75","411.48","205.74","320.1","314.73","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","38.0","0.18","0.87","0.0","5.65","0.87","4.93","0.0","0.0","0.0","0.0","96.31","96.75","411.48","205.74","315.17","314.73","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","38.0","0.18","0.88","0.0","5.94","0.88","5.22","0.0","0.0","0.0","0.0","0.0","96.75","411.48","205.74","411.48","314.73","101.53","","","","","","","","",""
"2015.0","6.0","5.0","156.0","38.0","0.17","0.89","0.0","6.93","0.89","6.14","0.0","0.0","0.0","0.0","6.14","96.75","411.48","205.74","405.34","314.73","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","38.0","0.17","0.89","0.0","6.53","0.89","5.83","0.01","0.01","0.0","0.0","11.95","96.75","411.48","205.74","399.53","314.73","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","38.0","0.17","0.9","0.0","7.06","0.9","6.34","0.0","0.0","0.0","0.0","18.3","96.75","411.48","205.74","393.18","314.73","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","38.0","0.17","0.91","0.0","7.42","0.91","6.72","0.0","0.0","0.0","0.0","25.01","96.75","411.48","205.74","386.47","314.73","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","38.0","0.16","0.91","0.0","7.22","0.91","6.58","0.0","0.0","0.0","0.0","31.6","96.75","411.48","205.74","379.88","314.73","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","38.0","0.16","0.92","0.0","2.57","0.92","2.36","0.07","0.07","0.0","0.0","33.89","96.75","411.48","205.74","377.59","314.73","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","38.0","0.16","0.92","0.0","7.16","0.92","6.62","1.22","1.22","0.0","0.0","39.29","96.75","411.48","205.74","372.19","314.73","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","38.0","0.16","0.93","0.0","8.08","0.93","7.53","0.0","0.0","0.0","0.0","46.82","96.75","411.48","205.74","364.66","314.73","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","38.0","0.16","0.94","0.0","7.66","0.94","7.19","0.0","0.0","0.0","0.0","54.0","96.75","411.48","205.74","357.48","314.73","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","38.0","0.15","0.94","0.0","6.92","0.94","6.54","0.0","0.0","0.0","0.0","60.54","96.75","411.48","205.74","350.94","314.73","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","38.0","0.15","0.95","0.0","6.72","0.95","6.39","0.0","0.0","0.0","0.0","66.93","96.75","411.48","205.74","344.55","314.73","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","38.0","0.15","0.96","0.0","7.03","0.96","6.73","0.0","0.0","0.0","0.0","73.67","96.75","411.48","205.74","337.81","314.73","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","38.0","0.15","0.96","0.0","6.97","0.96","6.72","0.0","0.0","0.0","0.0","80.39","96.75","411.48","205.74","331.09","314.73","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","38.0","0.15","0.97","0.0","7.75","0.97","7.53","0.0","0.0","0.0","0.0","87.92","96.75","411.48","205.74","323.56","314.73","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","38.0","0.14","0.98","0.0","7.43","0.98","7.26","0.0","0.0","0.0","0.0","95.18","96.75","411.48","205.74","316.3","314.73","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","38.0","0.14","0.98","0.0","7.17","0.98","7.06","0.0","0.0","0.0","0.0","0.0","96.75","411.48","205.74","411.48","314.73","102.24","","","","","","","","",""
"2015.0","6.0","21.0","172.0","38.0","0.14","0.99","0.0","7.78","0.99","7.71","0.0","0.0","0.0","0.0","7.71","96.75","411.48","205.74","403.77","314.73","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","38.0","0.14","1.0","0.0","6.99","1.0","6.97","0.0","0.0","0.0","0.0","14.68","96.75","411.48","205.74","396.8","314.73","0.0","","","","","","","","",""
"2015.0","6.0","23.0","174.0","38.0","0.14","1.0","0.0","7.45","1.0","7.48","0.0","0.0","0.0","0.0","22.16","96.75","411.48","205.74","389.32","314.73","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","38.0","0.14","1.01","0.0","7.51","1.01","7.59","0.0","0.0","0.0","0.0","29.75","96.75","411.48","205.74","381.73","314.73","0.0","","","","","","","","",""
"2015.0","6.0","25.0","176.0","38.0","0.14","1.02","0.0","7.98","1.02","8.12","0.0","0.0","0.0","0.0","37.86","96.75","411.48","205.74","373.62","314.73","0.0","","","","","","","","",""
"2015.0","6.0","26.0","177.0","38.0","0.13","1.02","0.0","8.46","1.02","8.66","0.0","0.0","0.0","0.0","46.53","96.75","411.48","205.74","364.95","314.73","0.0","","","","","","","","",""
