" Daily soil water balance output for Sunflower in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Sunflower in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","2.0","9.0","40.0","27.0","1.14","0.0","0.0","2.0","1.14","2.28","20.3","2.28","0.0","0.0","0.0","24.0","292.61","146.3","292.61","268.61","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","27.0","1.14","0.0","0.0","1.82","1.14","2.08","0.0","0.0","0.0","0.0","2.08","24.0","292.61","146.3","290.53","268.61","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","27.0","1.15","0.0","0.0","1.61","1.15","1.85","0.0","0.0","0.0","0.0","3.93","24.0","292.61","146.3","288.68","268.61","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","27.0","1.02","0.0","0.0","1.97","1.02","2.02","0.0","0.0","0.0","0.0","5.94","24.0","292.61","146.3","286.66","268.61","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","27.0","0.91","0.0","0.0","2.0","0.91","1.81","0.0","0.0","0.0","0.0","7.76","24.0","292.61","146.3","284.85","268.61","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","27.0","0.82","0.0","0.0","2.16","0.82","1.77","0.0","0.0","0.0","0.0","9.53","24.0","292.61","146.3","283.08","268.61","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","27.0","0.75","0.0","0.0","2.09","0.75","1.57","0.0","0.0","0.0","0.0","11.1","24.0","292.61","146.3","281.51","268.61","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","27.0","0.7","0.0","0.0","2.19","0.7","1.53","0.0","0.0","0.0","0.0","12.63","24.0","292.61","146.3","279.98","268.61","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","27.0","0.66","0.0","0.0","1.85","0.66","1.22","0.0","0.0","0.0","0.0","13.85","24.0","292.61","146.3","278.76","268.61","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","27.0","0.63","0.0","0.0","1.58","0.63","1.0","0.0","0.0","0.0","0.0","14.85","24.0","292.61","146.3","277.76","268.61","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","27.0","0.62","0.0","0.0","1.04","0.62","0.64","0.0","0.0","0.0","0.0","15.49","24.0","292.61","146.3","277.12","268.61","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","27.0","0.59","0.0","0.0","2.0","0.59","1.18","0.0","0.0","0.0","0.0","16.67","24.0","292.61","146.3","275.94","268.61","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","27.0","0.57","0.0","0.0","1.73","0.57","0.98","0.0","0.0","0.0","0.0","17.65","24.0","292.61","146.3","274.96","268.61","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","27.0","0.53","0.0","0.0","3.63","0.53","1.92","0.0","0.0","0.0","0.0","19.57","24.0","292.61","146.3","273.04","268.61","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","27.0","0.49","0.0","0.0","4.25","0.49","2.08","0.0","0.0","0.0","0.0","21.65","24.0","292.61","146.3","270.96","268.61","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","27.0","0.47","0.0","0.0","2.81","0.47","1.32","0.0","0.0","0.0","0.0","22.97","24.0","292.61","146.3","269.64","268.61","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","27.0","0.46","0.0","0.0","2.18","0.46","0.99","0.0","0.0","0.0","0.0","23.96","24.0","292.61","146.3","268.65","268.61","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","27.0","0.44","0.0","0.0","3.03","0.44","1.33","0.0","0.0","0.0","0.0","25.29","24.0","292.61","146.3","267.32","268.61","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","27.0","0.42","0.0","0.0","2.87","0.42","1.21","0.0","0.0","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","27.0","0.41","0.0","0.0","2.01","0.41","0.83","0.0","0.0","0.0","0.0","24.83","24.0","292.61","146.3","267.78","268.61","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","27.0","0.4","0.0","0.0","2.65","0.4","1.06","0.0","0.0","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","27.0","0.39","0.0","0.0","2.24","0.39","0.88","0.0","0.0","0.0","0.0","24.88","24.0","292.61","146.3","267.73","268.61","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","27.0","1.12","0.0","0.0","2.55","1.12","2.85","3.36","3.36","0.0","0.0","21.52","24.0","292.61","146.3","271.09","268.61","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","27.0","1.12","0.0","0.0","2.6","1.12","2.9","0.0","0.0","0.0","0.0","24.42","24.0","292.61","146.3","268.19","268.61","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","27.0","0.97","0.0","0.0","2.79","0.97","2.72","0.0","0.0","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","27.0","0.83","0.0","0.0","2.99","0.83","2.48","0.0","0.0","0.0","0.0","26.48","24.0","292.61","146.3","266.13","268.61","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","27.0","0.74","0.0","0.0","2.81","0.74","2.08","0.0","0.0","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","27.0","0.67","0.0","0.0","2.94","0.67","1.97","0.0","0.0","0.0","0.0","25.97","24.0","292.61","146.3","266.64","268.61","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","27.0","0.62","0.0","0.0","2.98","0.62","1.84","0.0","0.0","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","27.0","0.58","0.0","0.0","2.3","0.58","1.34","0.0","0.0","0.0","0.0","25.34","24.0","292.61","146.3","267.26","268.61","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","27.0","0.56","0.0","0.0","2.11","0.56","1.18","0.83","0.83","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","27.0","1.08","0.0","0.0","3.41","1.08","3.7","4.58","4.58","0.0","0.0","23.12","24.0","292.61","146.3","269.49","268.61","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","27.0","1.07","0.0","0.0","3.03","1.07","3.24","0.0","0.0","0.0","0.0","26.36","24.0","292.61","146.3","266.25","268.61","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","27.0","0.87","0.0","0.0","3.23","0.87","2.82","0.0","0.0","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","27.0","0.74","0.0","0.0","3.74","0.74","2.77","0.0","0.0","0.0","0.0","26.77","24.0","292.61","146.3","265.84","268.61","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","27.0","0.68","0.0","0.0","2.43","0.68","1.66","0.0","0.0","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","27.0","0.62","0.0","0.0","3.53","0.62","2.18","0.0","0.0","0.0","0.0","26.18","24.0","292.61","146.3","266.43","268.61","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","27.0","0.56","0.0","0.0","3.85","0.56","2.17","0.01","0.01","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","27.0","0.52","0.0","0.0","3.88","0.52","2.02","0.0","0.0","0.0","0.0","26.02","24.0","292.61","146.3","266.59","268.61","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","27.0","0.49","0.0","0.0","3.07","0.49","1.51","0.0","0.0","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","27.0","0.47","0.0","0.0","3.6","0.47","1.68","0.0","0.0","0.0","0.0","25.68","24.0","292.61","146.3","266.93","268.61","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","27.0","0.44","0.0","0.0","3.31","0.44","1.47","0.0","0.0","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","27.0","0.43","0.0","0.0","3.28","0.43","1.4","0.11","0.11","0.0","0.0","25.29","24.0","292.61","146.3","267.32","268.61","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","27.0","0.41","0.0","0.0","3.19","0.41","1.31","0.0","0.0","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","27.0","0.39","0.0","0.0","4.18","0.39","1.64","0.0","0.0","0.0","0.0","25.64","24.0","292.61","146.3","266.97","268.61","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","27.0","0.38","0.0","0.0","3.88","0.38","1.46","0.0","0.0","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","27.0","0.36","0.0","0.0","4.4","0.36","1.59","0.0","0.0","0.0","0.0","25.59","24.0","292.61","146.3","267.02","268.61","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","27.0","0.35","0.0","0.0","4.93","0.35","1.7","0.0","0.0","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","27.0","0.33","0.0","0.0","4.71","0.33","1.57","0.0","0.0","0.0","0.0","25.57","24.0","292.61","146.3","267.04","268.61","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","27.0","0.32","0.0","0.0","4.49","0.32","1.44","0.0","0.0","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","27.0","0.31","0.0","0.0","4.65","0.31","1.45","0.0","0.0","0.0","0.0","25.45","24.0","292.61","146.3","267.16","268.61","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","27.0","0.3","0.0","0.0","4.22","0.3","1.28","0.0","0.0","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","27.0","0.29","0.0","0.0","5.54","0.29","1.62","0.0","0.0","0.0","0.0","25.62","24.0","292.61","146.3","266.99","268.61","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","27.0","0.28","0.0","0.0","4.6","0.28","1.31","0.0","0.0","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","27.0","0.28","0.0","0.0","4.48","0.28","1.24","0.0","0.0","0.0","0.0","25.24","24.0","292.61","146.3","267.37","268.61","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","27.0","0.27","0.0","0.0","2.56","0.27","0.7","0.0","0.0","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","27.0","0.27","0.0","0.0","2.92","0.27","0.79","0.96","0.96","0.0","0.0","23.83","24.0","292.61","146.3","268.78","268.61","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","27.0","1.12","0.0","0.0","2.53","1.12","2.83","4.05","4.05","0.0","0.0","22.61","24.0","292.61","146.3","270.0","268.61","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","27.0","1.1","0.0","0.0","2.94","1.1","3.24","14.39","14.39","0.0","0.0","11.46","24.0","292.61","146.3","281.15","268.61","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","27.0","1.07","0.0","0.0","3.48","1.07","3.73","0.0","0.0","0.0","0.0","15.19","24.0","292.61","146.3","277.42","268.61","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","27.0","0.83","0.0","0.0","4.1","0.83","3.42","0.0","0.0","0.0","0.0","18.61","24.0","292.61","146.3","274.0","268.61","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","27.0","0.7","0.0","0.0","4.26","0.7","2.98","0.0","0.0","0.0","0.0","21.59","24.0","292.61","146.3","271.02","268.61","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","27.0","0.6","0.0","0.0","4.91","0.6","2.97","0.0","0.0","0.0","0.0","24.55","24.0","292.61","146.3","268.05","268.61","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","27.0","0.54","0.0","0.0","4.91","0.54","2.64","0.0","0.0","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","27.0","0.49","0.0","0.0","4.87","0.49","2.39","0.0","0.0","0.0","0.0","26.39","24.0","292.61","146.3","266.22","268.61","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","27.0","0.44","0.0","0.0","6.58","0.44","2.91","0.0","0.0","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","27.0","0.41","0.0","0.0","6.06","0.41","2.47","0.0","0.0","0.0","0.0","26.47","24.0","292.61","146.3","266.14","268.61","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","27.0","0.38","0.0","0.0","5.29","0.38","2.03","0.0","0.0","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","27.0","0.36","0.0","0.0","4.95","0.36","1.8","0.0","0.0","0.0","0.0","25.8","24.0","292.61","146.3","266.8","268.61","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","27.0","0.35","0.0","0.0","5.18","0.35","1.8","0.0","0.0","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","27.0","0.33","0.0","0.0","4.74","0.33","1.58","0.0","0.0","0.0","0.0","25.58","24.0","292.61","146.3","267.02","268.61","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","27.0","0.32","0.0","0.0","3.79","0.32","1.23","0.0","0.0","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","27.0","0.32","0.0","0.0","4.2","0.32","1.32","0.0","0.0","0.0","0.0","25.32","24.0","292.61","146.3","267.28","268.61","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","27.0","0.31","0.0","0.0","4.75","0.31","1.45","0.0","0.0","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","27.0","0.3","0.0","0.0","4.96","0.3","1.46","0.0","0.0","0.0","0.0","25.46","24.0","292.61","146.3","267.14","268.61","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","27.0","1.06","0.2","0.0","3.96","1.06","4.2","11.93","11.93","0.0","0.0","17.74","63.46","292.61","146.3","274.87","229.15","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","27.0","0.88","0.2","0.0","5.11","0.88","4.5","0.0","0.0","0.0","0.0","22.23","63.46","292.61","146.3","270.37","229.15","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","27.0","0.67","0.2","0.0","6.12","0.67","4.12","0.0","0.0","0.0","0.0","26.35","63.46","292.61","146.3","266.26","229.15","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","27.0","0.58","0.2","0.0","5.51","0.58","3.17","0.0","0.0","0.0","0.0","29.52","63.46","292.61","146.3","263.09","229.15","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","27.0","0.51","0.2","0.0","5.26","0.51","2.7","0.0","0.0","0.0","0.0","32.22","63.46","292.61","146.3","260.39","229.15","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","27.0","0.46","0.2","0.0","6.47","0.46","2.96","0.0","0.0","0.0","0.0","35.18","63.46","292.61","146.3","257.43","229.15","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","27.0","0.42","0.2","0.0","6.45","0.42","2.69","0.0","0.0","0.0","0.0","37.87","63.46","292.61","146.3","254.74","229.15","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","27.0","0.39","0.2","0.0","5.94","0.39","2.3","0.0","0.0","0.0","0.0","40.17","63.46","292.61","146.3","252.44","229.15","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","27.0","0.37","0.2","0.0","5.17","0.37","1.9","0.0","0.0","0.0","0.0","42.07","63.46","292.61","146.3","250.54","229.15","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","27.0","0.35","0.2","0.0","4.74","0.35","1.67","0.0","0.0","0.0","0.0","43.74","63.46","292.61","146.3","248.87","229.15","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","27.0","0.34","0.2","0.0","4.79","0.34","1.62","0.0","0.0","0.0","0.0","45.35","63.46","292.61","146.3","247.25","229.15","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","27.0","0.32","0.2","0.0","5.2","0.32","1.68","0.0","0.0","0.0","0.0","47.04","63.46","292.61","146.3","245.57","229.15","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","27.0","0.32","0.2","0.0","3.82","0.32","1.21","0.5","0.5","0.0","0.0","47.74","63.46","292.61","146.3","244.86","229.15","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","27.0","0.31","0.2","0.0","4.45","0.31","1.36","0.01","0.01","0.0","0.0","49.1","63.46","292.61","146.3","243.51","229.15","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","27.0","0.3","0.2","0.0","4.99","0.3","1.48","0.0","0.0","0.0","0.0","50.57","63.46","292.61","146.3","242.03","229.15","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","27.0","0.29","0.2","0.0","5.12","0.29","1.47","0.0","0.0","0.0","0.0","52.04","63.46","292.61","146.3","240.57","229.15","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","27.0","0.28","0.2","0.0","5.11","0.28","1.42","0.0","0.0","0.0","0.0","53.47","63.46","292.61","146.3","239.14","229.15","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","27.0","0.27","0.2","0.0","5.01","0.27","1.36","0.0","0.0","0.0","0.0","54.82","63.46","292.61","146.3","237.78","229.15","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","27.0","0.26","0.2","0.0","4.72","0.26","1.25","0.0","0.0","0.0","0.0","56.07","63.46","292.61","146.3","236.54","229.15","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","27.0","0.26","0.2","0.0","3.63","0.26","0.94","0.0","0.0","0.0","0.0","57.02","63.46","292.61","146.3","235.59","229.15","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","27.0","0.25","0.2","0.0","4.7","0.25","1.2","0.06","0.06","0.0","0.0","58.15","63.46","292.61","146.3","234.46","229.15","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","27.0","0.25","0.2","0.0","4.79","0.25","1.19","0.0","0.0","0.0","0.0","59.34","63.46","292.61","146.3","233.26","229.15","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","27.0","0.24","0.2","0.0","3.87","0.24","0.95","0.0","0.0","0.0","0.0","60.29","63.46","292.61","146.3","232.32","229.15","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","27.0","0.24","0.2","0.0","4.77","0.24","1.15","0.0","0.0","0.0","0.0","61.44","63.46","292.61","146.3","231.17","229.15","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","27.0","0.24","0.2","0.0","4.98","0.24","1.17","0.0","0.0","0.0","0.0","62.61","63.46","292.61","146.3","230.0","229.15","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","27.0","0.23","0.2","0.0","4.89","0.23","1.13","0.0","0.0","0.0","0.0","0.0","63.46","292.61","146.3","292.61","229.15","63.74","","","","","","","","",""
"2015.0","5.0","21.0","141.0","27.0","0.23","0.2","0.0","4.59","0.23","1.04","0.0","0.0","0.0","0.0","1.04","63.46","292.61","146.3","291.57","229.15","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","27.0","0.22","0.23","0.0","4.9","0.23","1.12","0.0","0.0","0.0","0.0","2.16","63.46","292.61","146.3","290.45","229.15","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","27.0","0.22","0.26","0.0","4.73","0.26","1.21","0.0","0.0","0.0","0.0","3.37","63.46","292.61","146.3","289.24","229.15","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","27.0","0.21","0.28","0.0","5.57","0.28","1.58","0.0","0.0","0.0","0.0","4.96","63.46","292.61","146.3","287.65","229.15","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","27.0","0.21","0.31","0.0","5.38","0.31","1.68","0.0","0.0","0.0","0.0","6.64","63.46","292.61","146.3","285.97","229.15","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","27.0","0.21","0.34","0.0","5.42","0.34","1.85","0.0","0.0","0.0","0.0","8.48","63.46","292.61","146.3","284.13","229.15","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","27.0","0.2","0.37","0.0","5.47","0.37","2.02","0.0","0.0","0.0","0.0","10.5","63.46","292.61","146.3","282.11","229.15","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","27.0","0.2","0.4","0.0","5.36","0.4","2.13","0.0","0.0","0.0","0.0","12.63","63.46","292.61","146.3","279.98","229.15","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","27.0","0.2","0.43","0.0","5.96","0.43","2.53","0.0","0.0","0.0","0.0","15.16","63.46","292.61","146.3","277.45","229.15","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","27.0","0.19","0.45","0.0","6.29","0.45","2.85","0.0","0.0","0.0","0.0","18.01","63.46","292.61","146.3","274.6","229.15","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","27.0","0.19","0.48","0.0","5.29","0.48","2.55","0.0","0.0","0.0","0.0","20.56","63.46","292.61","146.3","272.05","229.15","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","27.0","0.19","0.51","0.0","5.34","0.51","2.72","0.0","0.0","0.0","0.0","23.28","63.46","292.61","146.3","269.33","229.15","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","27.0","0.19","0.54","0.0","5.63","0.54","3.03","0.0","0.0","0.0","0.0","26.3","63.46","292.61","146.3","266.31","229.15","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","27.0","0.18","0.57","0.0","5.42","0.57","3.07","0.0","0.0","0.0","0.0","29.37","63.46","292.61","146.3","263.24","229.15","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","27.0","0.18","0.59","0.0","5.87","0.59","3.49","0.0","0.0","0.0","0.0","32.85","63.46","292.61","146.3","259.76","229.15","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","27.0","0.18","0.62","0.0","6.78","0.62","4.22","0.0","0.0","0.0","0.0","37.07","63.46","292.61","146.3","255.54","229.15","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","27.0","0.17","0.65","0.0","6.33","0.65","4.11","0.0","0.0","0.0","0.0","41.18","63.46","292.61","146.3","251.42","229.15","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","27.0","0.17","0.68","0.0","6.88","0.68","4.67","0.0","0.0","0.0","0.0","45.85","63.46","292.61","146.3","246.76","229.15","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","27.0","0.17","0.71","0.0","7.31","0.71","5.16","0.0","0.0","0.0","0.0","51.01","63.46","292.61","146.3","241.6","229.15","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","27.0","0.17","0.73","0.0","6.91","0.73","5.07","0.0","0.0","0.0","0.0","56.09","63.46","292.61","146.3","236.52","229.15","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","27.0","0.17","0.76","0.0","2.53","0.76","1.93","0.32","0.32","0.0","0.0","57.7","63.46","292.61","146.3","234.91","229.15","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","27.0","0.16","0.79","0.0","7.0","0.79","5.53","1.59","1.59","0.0","0.0","61.64","63.46","292.61","146.3","230.97","229.15","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","27.0","0.16","0.82","0.0","7.84","0.82","6.42","0.0","0.0","0.0","0.0","0.0","63.46","292.61","146.3","292.61","229.15","68.06","","","","","","","","",""
"2015.0","6.0","13.0","164.0","27.0","0.16","0.85","0.0","7.39","0.85","6.26","0.0","0.0","0.0","0.0","6.26","63.46","292.61","146.3","286.35","229.15","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","27.0","0.16","0.88","0.0","6.62","0.88","5.79","0.0","0.0","0.0","0.0","12.05","63.46","292.61","146.3","280.56","229.15","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","27.0","0.15","0.9","0.0","6.43","0.9","5.81","0.0","0.0","0.0","0.0","17.86","63.46","292.61","146.3","274.75","229.15","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","27.0","0.15","0.93","0.0","6.82","0.93","6.35","0.02","0.02","0.0","0.0","24.19","63.46","292.61","146.3","268.42","229.15","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","27.0","0.15","0.96","0.0","6.84","0.96","6.56","0.0","0.0","0.0","0.0","30.75","63.46","292.61","146.3","261.86","229.15","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","27.0","0.15","0.99","0.0","7.46","0.99","7.37","0.0","0.0","0.0","0.0","38.12","63.46","292.61","146.3","254.49","229.15","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","27.0","0.15","1.02","0.0","7.3","1.02","7.41","0.0","0.0","0.0","0.0","45.53","63.46","292.61","146.3","247.08","229.15","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","27.0","0.15","1.04","0.0","6.95","1.04","7.25","0.0","0.0","0.0","0.0","52.79","63.46","292.61","146.3","239.82","229.15","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","27.0","0.14","1.07","0.0","7.44","1.07","7.97","0.0","0.0","0.0","0.0","60.76","63.46","292.61","146.3","231.85","229.15","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","27.0","0.14","1.1","0.0","6.8","1.1","7.48","0.0","0.0","0.0","0.0","0.0","63.46","292.61","146.3","292.61","229.15","68.24","","","","","","","","",""
"2015.0","6.0","23.0","174.0","27.0","0.14","1.1","0.0","7.3","1.1","8.03","0.0","0.0","0.0","0.0","8.03","63.46","292.61","146.3","284.58","229.15","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","27.0","0.14","1.1","0.0","7.32","1.1","8.05","0.0","0.0","0.0","0.0","16.08","63.46","292.61","146.3","276.53","229.15","0.0","","","","","","","","",""
"2015.0","6.0","25.0","176.0","27.0","0.14","1.1","0.0","7.89","1.1","8.68","0.0","0.0","0.0","0.0","24.76","63.46","292.61","146.3","267.85","229.15","0.0","","","","","","","","",""
"2015.0","6.0","26.0","177.0","27.0","0.14","1.1","0.0","8.25","1.1","9.07","0.0","0.0","0.0","0.0","33.84","63.46","292.61","146.3","258.77","229.15","0.0","","","","","","","","",""
