" Daily soil water balance output for Tomato Fresh in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Tomato Fresh in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"2015.0","2.0","7.0","38.0","24528.0","1.16","0.0","0.0","1.48","1.16","1.72","13.13","13.13","0.0","0.0","14.54","27.0","546.29","273.14","531.75","519.29","0.0","","","","","","","","",""
"2015.0","2.0","8.0","39.0","24528.0","1.16","0.0","0.0","1.56","1.16","1.81","12.26","12.26","0.0","0.0","4.09","27.0","546.29","273.14","542.2","519.29","0.0","","","","","","","","",""
"2015.0","2.0","9.0","40.0","24528.0","1.14","0.0","0.0","2.12","1.14","2.41","13.42","6.49","0.0","0.0","0.0","27.0","546.29","273.14","546.29","519.29","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","24528.0","1.14","0.0","0.0","1.87","1.14","2.13","0.0","0.0","0.0","0.0","2.13","27.0","546.29","273.14","544.16","519.29","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","24528.0","1.14","0.0","0.0","1.71","1.14","1.96","0.0","0.0","0.0","0.0","4.09","27.0","546.29","273.14","542.2","519.29","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","24528.0","1.0","0.0","0.0","2.0","1.0","2.0","0.0","0.0","0.0","0.0","6.09","27.0","546.29","273.14","540.2","519.29","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","24528.0","0.89","0.0","0.0","2.09","0.89","1.86","0.0","0.0","0.0","0.0","7.95","27.0","546.29","273.14","538.34","519.29","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","24528.0","0.8","0.0","0.0","2.2","0.8","1.76","0.0","0.0","0.0","0.0","9.71","27.0","546.29","273.14","536.58","519.29","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","24528.0","0.74","0.0","0.0","2.08","0.74","1.54","0.0","0.0","0.0","0.0","11.25","27.0","546.29","273.14","535.04","519.29","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","24528.0","0.69","0.0","0.0","2.09","0.69","1.44","0.0","0.0","0.0","0.0","12.69","27.0","546.29","273.14","533.6","519.29","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","24528.0","0.65","0.0","0.0","1.81","0.65","1.19","0.0","0.0","0.0","0.0","13.88","27.0","546.29","273.14","532.41","519.29","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","24528.0","0.63","0.0","0.0","1.72","0.63","1.08","0.0","0.0","0.0","0.0","14.96","27.0","546.29","273.14","531.33","519.29","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","24528.0","0.61","0.0","0.0","1.04","0.61","0.64","0.0","0.0","0.0","0.0","15.59","27.0","546.29","273.14","530.7","519.29","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","24528.0","0.59","0.0","0.0","1.75","0.59","1.03","0.0","0.0","0.0","0.0","16.62","27.0","546.29","273.14","529.67","519.29","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","24528.0","0.57","0.0","0.0","1.58","0.57","0.9","0.0","0.0","0.0","0.0","17.51","27.0","546.29","273.14","528.78","519.29","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","24528.0","0.53","0.0","0.0","2.95","0.53","1.58","0.0","0.0","0.0","0.0","19.09","27.0","546.29","273.14","527.2","519.29","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","24528.0","0.5","0.0","0.0","3.55","0.5","1.78","0.0","0.0","0.0","0.0","20.87","27.0","546.29","273.14","525.42","519.29","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","24528.0","0.48","0.0","0.0","2.71","0.48","1.3","0.0","0.0","0.0","0.0","22.18","27.0","546.29","273.14","524.11","519.29","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","24528.0","0.47","0.0","0.0","2.2","0.47","1.02","0.0","0.0","0.0","0.0","23.2","27.0","546.29","273.14","523.09","519.29","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","24528.0","0.45","0.0","0.0","2.91","0.45","1.3","0.0","0.0","0.0","0.0","24.5","27.0","546.29","273.14","521.79","519.29","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","24528.0","0.43","0.0","0.0","2.86","0.43","1.23","0.0","0.0","0.0","0.0","25.73","27.0","546.29","273.14","520.56","519.29","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","24528.0","0.42","0.0","0.0","2.01","0.42","0.85","0.0","0.0","0.0","0.0","26.58","27.0","546.29","273.14","519.71","519.29","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","24528.0","0.41","0.0","0.0","2.51","0.41","1.03","0.25","0.25","0.0","0.0","27.36","27.0","546.29","273.14","518.93","519.29","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","24528.0","0.4","0.0","0.0","2.21","0.4","0.88","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","24528.0","0.39","0.0","0.0","2.53","0.39","0.98","1.19","1.19","0.0","0.0","26.79","27.0","546.29","273.14","519.49","519.29","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","24528.0","0.38","0.0","0.0","2.61","0.38","0.99","0.0","0.0","0.0","0.0","27.79","27.0","546.29","273.14","518.5","519.29","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","24528.0","0.37","0.0","0.0","2.81","0.37","1.04","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","24528.0","0.36","0.0","0.0","2.99","0.36","1.08","0.0","0.0","0.0","0.0","28.08","27.0","546.29","273.14","518.21","519.29","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","24528.0","0.35","0.0","0.0","2.88","0.35","1.01","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","24528.0","0.34","0.0","0.0","2.97","0.34","1.02","0.0","0.0","0.0","0.0","28.02","27.0","546.29","273.14","518.27","519.29","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","24528.0","0.34","0.0","0.0","2.92","0.34","0.98","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","24528.0","0.33","0.0","0.0","2.53","0.33","0.83","0.0","0.0","0.0","0.0","27.83","27.0","546.29","273.14","518.46","519.29","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","24528.0","0.32","0.0","0.0","2.06","0.32","0.67","1.21","1.21","0.0","0.0","26.62","27.0","546.29","273.14","519.67","519.29","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","24528.0","1.09","0.0","0.0","3.36","1.09","3.65","3.33","3.33","0.0","0.0","26.94","27.0","546.29","273.14","519.35","519.29","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","24528.0","1.07","0.0","0.0","3.07","1.07","3.29","0.0","0.0","0.0","0.0","30.23","27.0","546.29","273.14","516.06","519.29","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","24528.0","0.86","0.0","0.0","3.44","0.86","2.97","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","24528.0","0.73","0.0","0.0","3.99","0.73","2.9","0.0","0.0","0.0","0.0","29.9","27.0","546.29","273.14","516.39","519.29","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","24528.0","0.66","0.0","0.0","2.83","0.66","1.88","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","24528.0","0.6","0.0","0.0","3.65","0.6","2.19","0.0","0.0","0.0","0.0","29.19","27.0","546.29","273.14","517.1","519.29","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","24528.0","0.55","0.0","0.0","3.82","0.55","2.1","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","24528.0","0.51","0.0","0.0","3.83","0.51","1.96","0.0","0.0","0.0","0.0","28.96","27.0","546.29","273.14","517.33","519.29","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","24528.0","0.48","0.0","0.0","3.23","0.48","1.56","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","24528.0","0.46","0.0","0.0","3.56","0.46","1.63","0.0","0.0","0.0","0.0","28.63","27.0","546.29","273.14","517.66","519.29","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","24528.0","0.44","0.0","0.0","3.17","0.44","1.39","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","24528.0","0.42","0.0","0.0","3.21","0.42","1.35","0.72","0.72","0.0","0.0","27.63","27.0","546.29","273.14","518.66","519.29","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","24528.0","0.41","0.0","0.0","3.34","0.41","1.35","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","24528.0","0.39","0.0","0.0","4.1","0.39","1.59","0.0","0.0","0.0","0.0","28.59","27.0","546.29","273.14","517.7","519.29","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","24528.0","0.37","0.0","0.0","3.96","0.37","1.48","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","24528.0","0.36","0.0","0.0","4.5","0.36","1.61","0.0","0.0","0.0","0.0","28.61","27.0","546.29","273.14","517.68","519.29","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","24528.0","0.34","0.0","0.0","4.95","0.34","1.69","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","24528.0","0.33","0.0","0.0","4.75","0.33","1.56","0.0","0.0","0.0","0.0","28.56","27.0","546.29","273.14","517.72","519.29","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","24528.0","0.32","0.0","0.0","4.57","0.32","1.46","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","24528.0","0.31","0.0","0.0","4.69","0.31","1.45","0.0","0.0","0.0","0.0","28.45","27.0","546.29","273.14","517.84","519.29","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","24528.0","0.3","0.0","0.0","4.21","0.3","1.26","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","24528.0","0.29","0.0","0.0","5.44","0.29","1.58","0.0","0.0","0.0","0.0","28.58","27.0","546.29","273.14","517.71","519.29","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","24528.0","0.28","0.0","0.0","4.68","0.28","1.32","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","24528.0","0.28","0.0","0.0","4.56","0.28","1.25","0.0","0.0","0.0","0.0","28.25","27.0","546.29","273.14","518.04","519.29","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","24528.0","0.27","0.0","0.0","2.58","0.27","0.7","0.04","0.04","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","24528.0","0.27","0.0","0.0","3.08","0.27","0.82","2.02","2.02","0.0","0.0","25.8","27.0","546.29","273.14","520.49","519.29","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","24528.0","1.11","0.0","0.0","2.76","1.11","3.06","4.27","4.27","0.0","0.0","24.6","27.0","546.29","273.14","521.69","519.29","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","24528.0","1.1","0.0","0.0","3.05","1.1","3.35","11.21","11.21","0.0","0.0","16.74","27.0","546.29","273.14","529.55","519.29","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","24528.0","1.06","0.0","0.0","3.51","1.06","3.72","0.0","0.0","0.0","0.0","20.45","27.0","546.29","273.14","525.84","519.29","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","24528.0","0.82","0.0","0.0","4.17","0.82","3.43","0.0","0.0","0.0","0.0","23.89","27.0","546.29","273.14","522.4","519.29","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","24528.0","0.69","0.0","0.0","4.35","0.69","3.01","0.0","0.0","0.0","0.0","26.9","27.0","546.29","273.14","519.39","519.29","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","24528.0","0.6","0.0","0.0","4.89","0.6","2.93","0.0","0.0","0.0","0.0","29.83","27.0","546.29","273.14","516.46","519.29","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","24528.0","0.53","0.0","0.0","5.01","0.53","2.68","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","24528.0","0.49","0.0","0.0","4.99","0.49","2.43","0.0","0.0","0.0","0.0","29.43","27.0","546.29","273.14","516.86","519.29","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","24528.0","0.44","0.0","0.0","6.25","0.44","2.75","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","24528.0","0.41","0.0","0.0","5.67","0.41","2.32","0.0","0.0","0.0","0.0","29.32","27.0","546.29","273.14","516.97","519.29","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","24528.0","0.38","0.0","0.0","5.38","0.38","2.07","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","24528.0","0.37","0.0","0.0","4.98","0.37","1.82","0.0","0.0","0.0","0.0","28.82","27.0","546.29","273.14","517.47","519.29","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","24528.0","0.35","0.0","0.0","5.17","0.35","1.8","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","24528.0","0.33","0.0","0.0","4.8","0.33","1.6","0.0","0.0","0.0","0.0","28.6","27.0","546.29","273.14","517.68","519.29","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","24528.0","0.32","0.0","0.0","3.84","0.32","1.25","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","24528.0","0.32","0.0","0.0","4.05","0.32","1.28","0.0","0.0","0.0","0.0","28.28","27.0","546.29","273.14","518.01","519.29","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","24528.0","0.31","0.0","0.0","4.79","0.31","1.46","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","24528.0","0.3","0.0","0.0","5.07","0.3","1.5","0.0","0.0","0.0","0.0","28.5","27.0","546.29","273.14","517.79","519.29","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","24528.0","1.06","0.0","0.0","4.03","1.06","4.27","10.88","10.88","0.0","0.0","17.62","27.0","546.29","273.14","528.67","519.29","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","24528.0","0.87","0.0","0.0","5.17","0.87","4.51","0.0","0.0","0.0","0.0","22.13","27.0","546.29","273.14","524.16","519.29","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","24528.0","0.68","0.0","0.0","5.81","0.68","3.94","0.0","0.0","0.0","0.0","26.07","27.0","546.29","273.14","520.22","519.29","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","24528.0","0.58","0.0","0.0","5.63","0.58","3.24","0.0","0.0","0.0","0.0","29.31","27.0","546.29","273.14","516.98","519.29","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","24528.0","0.51","0.0","0.0","5.42","0.51","2.78","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","24528.0","0.46","0.0","0.0","6.46","0.46","2.95","0.0","0.0","0.0","0.0","29.95","27.0","546.29","273.14","516.34","519.29","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","24528.0","0.42","0.2","0.0","6.5","0.42","2.7","0.0","0.0","0.0","0.0","32.65","105.78","546.29","273.14","513.64","440.51","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","24528.0","0.39","0.2","0.0","5.93","0.39","2.29","0.0","0.0","0.0","0.0","34.95","105.78","546.29","273.14","511.34","440.51","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","24528.0","0.37","0.2","0.0","5.27","0.37","1.93","0.0","0.0","0.0","0.0","36.88","105.78","546.29","273.14","509.41","440.51","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","24528.0","0.35","0.2","0.0","4.89","0.35","1.71","0.0","0.0","0.0","0.0","38.59","105.78","546.29","273.14","507.7","440.51","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","24528.0","0.34","0.2","0.0","4.9","0.34","1.65","0.0","0.0","0.0","0.0","40.23","105.78","546.29","273.14","506.05","440.51","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","24528.0","0.32","0.2","0.0","5.04","0.32","1.63","0.0","0.0","0.0","0.0","41.86","105.78","546.29","273.14","504.43","440.51","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","24528.0","0.32","0.2","0.0","3.23","0.32","1.02","0.0","0.0","0.0","0.0","42.88","105.78","546.29","273.14","503.41","440.51","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","24528.0","0.31","0.2","0.0","4.37","0.31","1.34","1.13","1.13","0.0","0.0","43.09","105.78","546.29","273.14","503.19","440.51","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","24528.0","0.3","0.2","0.0","4.89","0.3","1.45","0.0","0.0","0.0","0.0","44.55","105.78","546.29","273.14","501.74","440.51","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","24528.0","0.29","0.2","0.0","5.25","0.29","1.51","0.0","0.0","0.0","0.0","46.06","105.78","546.29","273.14","500.23","440.51","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","24528.0","0.28","0.2","0.0","5.24","0.28","1.46","0.0","0.0","0.0","0.0","47.52","105.78","546.29","273.14","498.77","440.51","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","24528.0","0.27","0.2","0.0","5.05","0.27","1.37","0.0","0.0","0.0","0.0","48.89","105.78","546.29","273.14","497.4","440.51","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","24528.0","0.26","0.2","0.0","4.75","0.26","1.26","0.0","0.0","0.0","0.0","50.15","105.78","546.29","273.14","496.14","440.51","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","24528.0","0.26","0.2","0.0","3.29","0.26","0.86","0.0","0.0","0.0","0.0","51.0","105.78","546.29","273.14","495.28","440.51","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","24528.0","0.26","0.2","0.0","4.65","0.26","1.19","1.77","1.77","0.0","0.0","50.42","105.78","546.29","273.14","495.87","440.51","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","24528.0","0.25","0.2","0.0","4.81","0.25","1.2","0.0","0.0","0.0","0.0","51.62","105.78","546.29","273.14","494.67","440.51","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","24528.0","0.25","0.2","0.0","3.92","0.25","0.96","0.0","0.0","0.0","0.0","52.58","105.78","546.29","273.14","493.71","440.51","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","24528.0","0.24","0.2","0.0","4.84","0.24","1.16","0.0","0.0","0.0","0.0","53.75","105.78","546.29","273.14","492.54","440.51","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","24528.0","0.24","0.2","0.0","5.04","0.24","1.19","0.0","0.0","0.0","0.0","54.93","105.78","546.29","273.14","491.35","440.51","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","24528.0","0.23","0.2","0.0","4.95","0.23","1.14","0.0","0.0","0.0","0.0","56.08","105.78","546.29","273.14","490.21","440.51","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","24528.0","0.23","0.2","0.0","4.01","0.23","0.91","0.0","0.0","0.0","0.0","56.99","105.78","546.29","273.14","489.3","440.51","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","24528.0","0.22","0.2","0.0","4.85","0.22","1.08","0.0","0.0","0.0","0.0","58.08","105.78","546.29","273.14","488.21","440.51","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","24528.0","0.22","0.2","0.0","4.86","0.22","1.07","0.0","0.0","0.0","0.0","59.14","105.78","546.29","273.14","487.14","440.51","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","24528.0","0.22","0.2","0.0","5.54","0.22","1.19","0.0","0.0","0.0","0.0","60.34","105.78","546.29","273.14","485.95","440.51","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","24528.0","0.21","0.24","0.0","5.5","0.24","1.32","0.0","0.0","0.0","0.0","61.65","105.78","546.29","273.14","484.63","440.51","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","24528.0","0.21","0.28","0.0","5.52","0.28","1.54","0.0","0.0","0.0","0.0","63.19","105.78","546.29","273.14","483.1","440.51","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","24528.0","0.2","0.32","0.0","5.56","0.32","1.76","0.0","0.0","0.0","0.0","64.95","105.78","546.29","273.14","481.33","440.51","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","24528.0","0.2","0.36","0.0","5.42","0.36","1.93","0.0","0.0","0.0","0.0","66.89","105.78","546.29","273.14","479.4","440.51","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","24528.0","0.2","0.4","0.0","6.13","0.4","2.43","0.0","0.0","0.0","0.0","69.31","105.78","546.29","273.14","476.98","440.51","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","24528.0","0.19","0.43","0.0","6.48","0.43","2.82","0.0","0.0","0.0","0.0","72.13","105.78","546.29","273.14","474.16","440.51","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","24528.0","0.19","0.47","0.0","5.44","0.47","2.58","0.0","0.0","0.0","0.0","74.71","105.78","546.29","273.14","471.58","440.51","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","24528.0","0.19","0.51","0.0","5.54","0.51","2.84","0.0","0.0","0.0","0.0","77.55","105.78","546.29","273.14","468.74","440.51","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","24528.0","0.19","0.55","0.0","5.77","0.55","3.19","0.0","0.0","0.0","0.0","80.74","105.78","546.29","273.14","465.55","440.51","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","24528.0","0.18","0.59","0.0","5.57","0.59","3.29","0.0","0.0","0.0","0.0","84.03","105.78","546.29","273.14","462.26","440.51","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","24528.0","0.18","0.63","0.0","5.83","0.63","3.68","0.0","0.0","0.0","0.0","87.71","105.78","546.29","273.14","458.58","440.51","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","24528.0","0.18","0.67","0.0","6.52","0.67","4.37","0.0","0.0","0.0","0.0","92.07","105.78","546.29","273.14","454.22","440.51","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","24528.0","0.17","0.71","0.0","6.39","0.71","4.53","0.0","0.0","0.0","0.0","96.6","105.78","546.29","273.14","449.69","440.51","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","24528.0","0.17","0.75","0.0","6.75","0.75","5.05","0.0","0.0","0.0","0.0","101.65","105.78","546.29","273.14","444.64","440.51","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","24528.0","0.17","0.79","0.0","7.39","0.79","5.82","0.0","0.0","0.0","0.0","0.0","105.78","546.29","273.14","546.29","440.51","107.46","","","","","","","","",""
"2015.0","6.0","9.0","160.0","24528.0","0.17","0.83","0.0","6.66","0.83","5.5","0.0","0.0","0.0","0.0","5.5","105.78","546.29","273.14","540.79","440.51","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","24528.0","0.17","0.87","0.0","3.04","0.87","2.63","0.1","0.1","0.0","0.0","8.03","105.78","546.29","273.14","538.26","440.51","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","24528.0","0.16","0.9","0.0","6.89","0.9","6.23","3.61","3.61","0.0","0.0","10.65","105.78","546.29","273.14","535.64","440.51","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","24528.0","0.16","0.94","0.0","7.67","0.94","7.24","0.0","0.0","0.0","0.0","17.89","105.78","546.29","273.14","528.4","440.51","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","24528.0","0.16","0.98","0.0","7.55","0.98","7.42","0.0","0.0","0.0","0.0","25.31","105.78","546.29","273.14","520.98","440.51","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","24528.0","0.16","1.02","0.0","6.8","1.02","6.95","0.0","0.0","0.0","0.0","32.26","105.78","546.29","273.14","514.03","440.51","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","24528.0","0.15","1.06","0.0","6.63","1.06","7.03","0.0","0.0","0.0","0.0","39.29","105.78","546.29","273.14","507.0","440.51","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","24528.0","0.15","1.1","0.0","6.95","1.1","7.65","0.0","0.0","0.0","0.0","46.93","105.78","546.29","273.14","499.35","440.51","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","24528.0","0.15","1.1","0.0","6.98","1.1","7.68","0.0","0.0","0.0","0.0","54.61","105.78","546.29","273.14","491.68","440.51","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","24528.0","0.15","1.1","0.0","7.54","1.1","8.29","0.0","0.0","0.0","0.0","62.91","105.78","546.29","273.14","483.38","440.51","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","24528.0","0.15","1.1","0.0","7.41","1.1","8.15","0.0","0.0","0.0","0.0","71.06","105.78","546.29","273.14","475.23","440.51","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","24528.0","0.15","1.1","0.0","6.95","1.1","7.65","0.0","0.0","0.0","0.0","78.7","105.78","546.29","273.14","467.59","440.51","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","24528.0","0.14","1.1","0.0","7.57","1.1","8.33","0.0","0.0","0.0","0.0","87.03","105.78","546.29","273.14","459.26","440.51","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","24528.0","0.14","1.1","0.0","7.07","1.1","7.78","0.0","0.0","0.0","0.0","94.81","105.78","546.29","273.14","451.48","440.51","0.0","","","","","","","","",""
"2015.0","6.0","23.0","174.0","24528.0","0.14","1.1","0.0","7.35","1.1","8.09","0.0","0.0","0.0","0.0","102.89","105.78","546.29","273.14","443.4","440.51","0.0","","","","","","","","",""
