" Daily soil water balance output for Vineyard in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Vineyard in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","2.0","8.0","39.0","10195.0","1.16","0.0","0.0","1.39","1.16","1.62","12.03","12.03","0.0","0.0","1.63","31.35","601.67","300.83","600.04","570.32","0.0","","","","","","","","",""
"2015.0","2.0","9.0","40.0","10195.0","1.14","0.0","0.0","2.02","1.14","2.3","18.45","3.93","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","10195.0","1.14","0.0","0.0","1.84","1.14","2.1","0.02","0.02","0.0","0.0","2.08","31.35","601.67","300.83","599.59","570.32","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","10195.0","1.15","0.0","0.0","1.63","1.15","1.87","0.0","0.0","0.0","0.0","3.95","31.35","601.67","300.83","597.72","570.32","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","10195.0","1.02","0.0","0.0","1.98","1.02","2.02","0.0","0.0","0.0","0.0","5.97","31.35","601.67","300.83","595.7","570.32","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","10195.0","0.9","0.0","0.0","2.03","0.9","1.83","0.0","0.0","0.0","0.0","7.8","31.35","601.67","300.83","593.87","570.32","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","10195.0","0.81","0.0","0.0","2.18","0.81","1.77","0.0","0.0","0.0","0.0","9.57","31.35","601.67","300.83","592.1","570.32","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","10195.0","0.75","0.0","0.0","2.08","0.75","1.56","0.0","0.0","0.0","0.0","11.13","31.35","601.67","300.83","590.54","570.32","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","10195.0","0.7","0.0","0.0","2.18","0.7","1.52","0.0","0.0","0.0","0.0","12.65","31.35","601.67","300.83","589.02","570.32","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","10195.0","0.66","0.0","0.0","1.84","0.66","1.21","0.0","0.0","0.0","0.0","13.86","31.35","601.67","300.83","587.81","570.32","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","10195.0","0.63","0.0","0.0","1.59","0.63","1.0","0.0","0.0","0.0","0.0","14.86","31.35","601.67","300.83","586.81","570.32","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","10195.0","0.62","0.0","0.0","1.06","0.62","0.65","0.0","0.0","0.0","0.0","15.51","31.35","601.67","300.83","586.16","570.32","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","10195.0","0.59","0.0","0.0","1.88","0.59","1.11","0.0","0.0","0.0","0.0","16.62","31.35","601.67","300.83","585.05","570.32","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","10195.0","0.57","0.0","0.0","1.63","0.57","0.93","0.0","0.0","0.0","0.0","17.55","31.35","601.67","300.83","584.12","570.32","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","10195.0","0.53","0.0","0.0","3.48","0.53","1.85","0.0","0.0","0.0","0.0","19.4","31.35","601.67","300.83","582.27","570.32","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","10195.0","0.49","0.0","0.0","4.09","0.49","2.02","0.0","0.0","0.0","0.0","21.41","31.35","601.67","300.83","580.25","570.32","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","10195.0","0.47","0.0","0.0","2.78","0.47","1.31","0.0","0.0","0.0","0.0","22.73","31.35","601.67","300.83","578.94","570.32","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","10195.0","0.46","0.0","0.0","2.16","0.46","0.99","0.0","0.0","0.0","0.0","23.72","31.35","601.67","300.83","577.95","570.32","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","10195.0","0.44","0.0","0.0","3.01","0.44","1.33","0.0","0.0","0.0","0.0","25.05","31.35","601.67","300.83","576.62","570.32","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","10195.0","0.43","0.0","0.0","2.86","0.43","1.22","0.0","0.0","0.0","0.0","26.26","31.35","601.67","300.83","575.41","570.32","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","10195.0","0.42","0.0","0.0","2.01","0.42","0.83","0.0","0.0","0.0","0.0","27.1","31.35","601.67","300.83","574.57","570.32","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","10195.0","0.4","0.0","0.0","2.6","0.4","1.05","0.0","0.0","0.0","0.0","28.14","31.35","601.67","300.83","573.52","570.32","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","10195.0","0.39","0.0","0.0","2.27","0.39","0.89","0.0","0.0","0.0","0.0","29.04","31.35","601.67","300.83","572.63","570.32","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","10195.0","0.38","0.0","0.0","2.57","0.38","0.99","0.86","0.86","0.0","0.0","29.17","31.35","601.67","300.83","572.5","570.32","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","10195.0","0.37","0.0","0.0","2.6","0.37","0.97","0.0","0.0","0.0","0.0","30.14","31.35","601.67","300.83","571.53","570.32","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","10195.0","0.37","0.0","0.0","2.79","0.37","1.02","0.0","0.0","0.0","0.0","31.16","31.35","601.67","300.83","570.51","570.32","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","10195.0","0.36","0.0","0.0","2.99","0.36","1.06","0.0","0.0","0.0","0.0","32.22","31.35","601.67","300.83","569.44","570.32","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","10195.0","0.35","0.0","0.0","2.82","0.35","0.98","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","10195.0","0.34","0.0","0.0","2.96","0.34","1.01","0.0","0.0","0.0","0.0","32.36","31.35","601.67","300.83","569.31","570.32","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","10195.0","0.33","0.0","0.0","2.98","0.33","0.99","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","10195.0","0.33","0.0","0.0","2.43","0.33","0.79","0.0","0.0","0.0","0.0","32.14","31.35","601.67","300.83","569.53","570.32","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","10195.0","0.32","0.0","0.0","2.13","0.32","0.69","0.72","0.72","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","10195.0","1.08","0.0","0.0","3.4","1.08","3.69","3.96","3.96","0.0","0.0","31.08","31.35","601.67","300.83","570.59","570.32","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","10195.0","1.07","0.0","0.0","3.07","1.07","3.28","0.0","0.0","0.0","0.0","34.35","31.35","601.67","300.83","567.32","570.32","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","10195.0","0.87","0.0","0.0","3.32","0.87","2.88","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","10195.0","0.73","0.0","0.0","3.87","0.73","2.83","0.0","0.0","0.0","0.0","34.18","31.35","601.67","300.83","567.49","570.32","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","10195.0","0.67","0.0","0.0","2.59","0.67","1.74","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","10195.0","0.61","0.0","0.0","3.57","0.61","2.17","0.0","0.0","0.0","0.0","33.52","31.35","601.67","300.83","568.14","570.32","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","10195.0","0.56","0.0","0.0","3.85","0.56","2.14","0.21","0.21","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","10195.0","0.52","0.0","0.0","3.88","0.52","2.0","0.0","0.0","0.0","0.0","33.35","31.35","601.67","300.83","568.32","570.32","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","10195.0","0.49","0.0","0.0","3.12","0.49","1.52","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","10195.0","0.46","0.0","0.0","3.61","0.46","1.67","0.0","0.0","0.0","0.0","33.02","31.35","601.67","300.83","568.65","570.32","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","10195.0","0.44","0.0","0.0","3.15","0.44","1.39","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","10195.0","0.42","0.0","0.0","3.24","0.42","1.38","0.46","0.46","0.0","0.0","32.27","31.35","601.67","300.83","569.4","570.32","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","10195.0","0.41","0.0","0.0","3.22","0.41","1.32","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","10195.0","0.39","0.0","0.0","4.16","0.39","1.62","0.0","0.0","0.0","0.0","32.97","31.35","601.67","300.83","568.7","570.32","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","10195.0","0.38","0.0","0.0","3.91","0.38","1.47","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","10195.0","0.36","0.0","0.0","4.48","0.36","1.61","0.0","0.0","0.0","0.0","32.96","31.35","601.67","300.83","568.71","570.32","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","10195.0","0.34","0.0","0.0","4.95","0.34","1.7","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","10195.0","0.33","0.0","0.0","4.75","0.33","1.57","0.0","0.0","0.0","0.0","32.92","31.35","601.67","300.83","568.75","570.32","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","10195.0","0.32","0.0","0.0","4.54","0.32","1.45","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","10195.0","0.31","0.0","0.0","4.67","0.31","1.45","0.0","0.0","0.0","0.0","32.8","31.35","601.67","300.83","568.87","570.32","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","10195.0","0.3","0.45","0.0","4.21","0.45","1.89","0.0","0.0","0.0","0.0","34.69","125.02","601.67","300.83","566.98","476.65","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","10195.0","0.29","0.46","0.0","5.53","0.46","2.53","0.0","0.0","0.0","0.0","37.22","125.02","601.67","300.83","564.45","476.65","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","10195.0","0.28","0.47","0.0","4.65","0.47","2.16","0.0","0.0","0.0","0.0","39.38","125.02","601.67","300.83","562.28","476.65","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","10195.0","0.28","0.47","0.0","4.54","0.47","2.15","0.0","0.0","0.0","0.0","41.53","125.02","601.67","300.83","560.14","476.65","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","10195.0","0.27","0.48","0.0","2.51","0.48","1.21","0.08","0.08","0.0","0.0","42.66","125.02","601.67","300.83","559.01","476.65","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","10195.0","0.27","0.49","0.0","2.97","0.49","1.45","2.53","2.53","0.0","0.0","41.58","125.02","601.67","300.83","560.09","476.65","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","10195.0","0.27","0.5","0.0","2.49","0.5","1.23","3.03","3.03","0.0","0.0","39.78","125.02","601.67","300.83","561.89","476.65","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","10195.0","1.1","0.5","0.0","2.99","1.1","3.29","14.46","14.46","0.0","0.0","28.61","125.02","601.67","300.83","573.06","476.65","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","10195.0","1.07","0.51","0.0","3.5","1.07","3.73","0.0","0.0","0.0","0.0","32.34","125.02","601.67","300.83","569.33","476.65","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","10195.0","0.83","0.52","0.0","4.14","0.83","3.43","0.0","0.0","0.0","0.0","35.77","125.02","601.67","300.83","565.9","476.65","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","10195.0","0.7","0.53","0.0","4.3","0.7","2.99","0.0","0.0","0.0","0.0","38.76","125.02","601.67","300.83","562.91","476.65","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","10195.0","0.6","0.53","0.0","4.93","0.6","2.96","0.0","0.0","0.0","0.0","41.73","125.02","601.67","300.83","559.94","476.65","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","10195.0","0.54","0.54","0.0","5.02","0.54","2.72","0.0","0.0","0.0","0.0","44.44","125.02","601.67","300.83","557.23","476.65","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","10195.0","0.49","0.55","0.0","4.9","0.55","2.69","0.0","0.0","0.0","0.0","47.13","125.02","601.67","300.83","554.54","476.65","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","10195.0","0.44","0.56","0.0","6.53","0.56","3.63","0.0","0.0","0.0","0.0","50.77","125.02","601.67","300.83","550.9","476.65","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","10195.0","0.41","0.56","0.0","5.97","0.56","3.37","0.0","0.0","0.0","0.0","54.13","125.02","601.67","300.83","547.53","476.65","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","10195.0","0.38","0.57","0.0","5.35","0.57","3.06","0.0","0.0","0.0","0.0","57.19","125.02","601.67","300.83","544.48","476.65","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","10195.0","0.36","0.58","0.0","4.99","0.58","2.89","0.0","0.0","0.0","0.0","60.08","125.02","601.67","300.83","541.58","476.65","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","10195.0","0.35","0.59","0.0","5.25","0.59","3.08","0.0","0.0","0.0","0.0","63.17","125.02","601.67","300.83","538.5","476.65","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","10195.0","0.33","0.59","0.0","4.8","0.59","2.85","0.0","0.0","0.0","0.0","66.02","125.02","601.67","300.83","535.65","476.65","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","10195.0","0.32","0.6","0.0","3.83","0.6","2.31","0.0","0.0","0.0","0.0","68.33","125.02","601.67","300.83","533.34","476.65","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","10195.0","0.31","0.61","0.0","4.16","0.61","2.54","0.0","0.0","0.0","0.0","70.86","125.02","601.67","300.83","530.81","476.65","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","10195.0","0.3","0.62","0.0","4.79","0.62","2.96","0.0","0.0","0.0","0.0","73.82","125.02","601.67","300.83","527.85","476.65","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","10195.0","0.29","0.63","0.0","5.05","0.63","3.16","0.0","0.0","0.0","0.0","76.98","125.02","601.67","300.83","524.69","476.65","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","10195.0","1.06","0.63","0.0","4.07","1.06","4.3","12.34","12.34","0.0","0.0","68.94","125.02","601.67","300.83","532.73","476.65","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","10195.0","0.87","0.64","0.0","5.14","0.87","4.48","0.0","0.0","0.0","0.0","73.42","125.02","601.67","300.83","528.25","476.65","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","10195.0","0.67","0.65","0.0","6.01","0.67","4.04","0.0","0.0","0.0","0.0","77.46","125.02","601.67","300.83","524.21","476.65","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","10195.0","0.57","0.66","0.0","5.62","0.66","3.68","0.0","0.0","0.0","0.0","81.14","125.02","601.67","300.83","520.53","476.65","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","10195.0","0.51","0.66","0.0","5.35","0.66","3.55","0.0","0.0","0.0","0.0","84.69","125.02","601.67","300.83","516.98","476.65","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","10195.0","0.46","0.67","0.0","6.46","0.67","4.33","0.0","0.0","0.0","0.0","89.02","125.02","601.67","300.83","512.65","476.65","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","10195.0","0.41","0.68","0.0","6.52","0.68","4.42","0.0","0.0","0.0","0.0","93.45","125.02","601.67","300.83","508.22","476.65","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","10195.0","0.39","0.69","0.0","6.03","0.69","4.14","0.0","0.0","0.0","0.0","97.58","125.02","601.67","300.83","504.09","476.65","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","10195.0","0.37","0.69","0.0","5.29","0.69","3.67","0.0","0.0","0.0","0.0","101.25","125.02","601.67","300.83","500.42","476.65","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","10195.0","0.35","0.7","0.0","4.85","0.7","3.4","0.0","0.0","0.0","0.0","104.65","125.02","601.67","300.83","497.02","476.65","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","10195.0","0.34","0.71","0.0","4.86","0.71","3.44","0.0","0.0","0.0","0.0","108.09","125.02","601.67","300.83","493.57","476.65","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","10195.0","0.32","0.72","0.0","5.17","0.72","3.7","0.0","0.0","0.0","0.0","111.8","125.02","601.67","300.83","489.87","476.65","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","10195.0","0.31","0.72","0.0","3.74","0.72","2.71","0.12","0.12","0.0","0.0","114.39","125.02","601.67","300.83","487.28","476.65","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","10195.0","0.3","0.73","0.0","4.45","0.73","3.26","0.04","0.04","0.0","0.0","117.6","125.02","601.67","300.83","484.07","476.65","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","10195.0","0.29","0.74","0.0","5.02","0.74","3.71","0.0","0.0","0.0","0.0","121.31","125.02","601.67","300.83","480.36","476.65","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","10195.0","0.29","0.75","0.0","5.24","0.75","3.91","0.0","0.0","0.0","0.0","0.0","125.02","601.67","300.83","601.67","476.65","125.22","","","","","","","","",""
"2015.0","5.0","11.0","131.0","10195.0","0.28","0.75","0.0","5.2","0.75","3.92","0.0","0.0","0.0","0.0","3.92","125.02","601.67","300.83","597.75","476.65","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","10195.0","0.27","0.76","0.0","5.04","0.76","3.84","0.0","0.0","0.0","0.0","7.76","125.02","601.67","300.83","593.91","476.65","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","10195.0","0.26","0.77","0.0","4.75","0.77","3.66","0.0","0.0","0.0","0.0","11.42","125.02","601.67","300.83","590.25","476.65","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","10195.0","0.26","0.78","0.0","3.53","0.78","2.74","0.0","0.0","0.0","0.0","14.16","125.02","601.67","300.83","587.51","476.65","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","10195.0","0.25","0.78","0.0","4.69","0.78","3.68","0.41","0.41","0.0","0.0","17.43","125.02","601.67","300.83","584.24","476.65","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","10195.0","0.25","0.79","0.0","4.83","0.79","3.83","0.0","0.0","0.0","0.0","21.26","125.02","601.67","300.83","580.41","476.65","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","10195.0","0.24","0.8","0.0","4.03","0.8","3.22","0.0","0.0","0.0","0.0","24.48","125.02","601.67","300.83","577.19","476.65","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","10195.0","0.24","0.8","0.0","4.74","0.8","3.79","0.0","0.0","0.0","0.0","28.28","125.02","601.67","300.83","573.39","476.65","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","10195.0","0.23","0.8","0.0","5.03","0.8","4.02","0.0","0.0","0.0","0.0","32.3","125.02","601.67","300.83","569.37","476.65","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","10195.0","0.23","0.8","0.0","4.98","0.8","3.98","0.0","0.0","0.0","0.0","36.28","125.02","601.67","300.83","565.39","476.65","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","10195.0","0.23","0.8","0.0","4.26","0.8","3.41","0.0","0.0","0.0","0.0","39.69","125.02","601.67","300.83","561.98","476.65","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","10195.0","0.22","0.8","0.0","4.91","0.8","3.93","0.0","0.0","0.0","0.0","43.62","125.02","601.67","300.83","558.05","476.65","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","10195.0","0.22","0.8","0.0","4.7","0.8","3.76","0.0","0.0","0.0","0.0","47.38","125.02","601.67","300.83","554.29","476.65","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","10195.0","0.21","0.8","0.0","5.63","0.8","4.5","0.0","0.0","0.0","0.0","51.88","125.02","601.67","300.83","549.79","476.65","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","10195.0","0.21","0.8","0.0","5.5","0.8","4.4","0.0","0.0","0.0","0.0","56.28","125.02","601.67","300.83","545.39","476.65","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","10195.0","0.21","0.8","0.0","5.52","0.8","4.42","0.0","0.0","0.0","0.0","60.7","125.02","601.67","300.83","540.97","476.65","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","10195.0","0.2","0.8","0.0","5.56","0.8","4.45","0.0","0.0","0.0","0.0","65.15","125.02","601.67","300.83","536.52","476.65","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","10195.0","0.2","0.8","0.0","5.44","0.8","4.35","0.0","0.0","0.0","0.0","69.5","125.02","601.67","300.83","532.17","476.65","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","10195.0","0.2","0.8","0.0","6.1","0.8","4.88","0.0","0.0","0.0","0.0","74.38","125.02","601.67","300.83","527.29","476.65","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","10195.0","0.19","0.8","0.0","6.43","0.8","5.14","0.0","0.0","0.0","0.0","79.52","125.02","601.67","300.83","522.15","476.65","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","10195.0","0.19","0.8","0.0","5.4","0.8","4.32","0.0","0.0","0.0","0.0","83.84","125.02","601.67","300.83","517.83","476.65","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","10195.0","0.19","0.8","0.0","5.46","0.8","4.37","0.0","0.0","0.0","0.0","88.21","125.02","601.67","300.83","513.46","476.65","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","10195.0","0.18","0.8","0.0","5.75","0.8","4.6","0.0","0.0","0.0","0.0","92.81","125.02","601.67","300.83","508.86","476.65","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","10195.0","0.18","0.8","0.0","5.49","0.8","4.39","0.0","0.0","0.0","0.0","97.2","125.02","601.67","300.83","504.47","476.65","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","10195.0","0.18","0.8","0.0","5.89","0.8","4.71","0.0","0.0","0.0","0.0","101.92","125.02","601.67","300.83","499.75","476.65","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","10195.0","0.18","0.8","0.0","6.77","0.8","5.42","0.0","0.0","0.0","0.0","107.33","125.02","601.67","300.83","494.34","476.65","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","10195.0","0.17","0.8","0.0","6.34","0.8","5.07","0.0","0.0","0.0","0.0","112.4","125.02","601.67","300.83","489.27","476.65","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","10195.0","0.17","0.8","0.0","6.9","0.8","5.52","0.0","0.0","0.0","0.0","117.92","125.02","601.67","300.83","483.75","476.65","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","10195.0","0.17","0.8","0.0","7.39","0.8","5.91","0.0","0.0","0.0","0.0","123.84","125.02","601.67","300.83","477.83","476.65","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","10195.0","0.17","0.8","0.0","7.03","0.8","5.62","0.0","0.0","0.0","0.0","0.0","125.02","601.67","300.83","601.67","476.65","129.46","","","","","","","","",""
"2015.0","6.0","10.0","161.0","10195.0","0.17","0.8","0.0","2.7","0.8","2.16","0.02","0.02","0.0","0.0","2.14","125.02","601.67","300.83","599.53","476.65","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","10195.0","0.16","0.8","0.0","7.01","0.8","5.61","2.18","2.18","0.0","0.0","5.57","125.02","601.67","300.83","596.1","476.65","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","10195.0","0.16","0.8","0.0","7.89","0.8","6.31","0.0","0.0","0.0","0.0","11.88","125.02","601.67","300.83","589.79","476.65","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","10195.0","0.16","0.8","0.0","7.55","0.8","6.04","0.0","0.0","0.0","0.0","17.92","125.02","601.67","300.83","583.75","476.65","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","10195.0","0.16","0.8","0.0","6.8","0.8","5.44","0.0","0.0","0.0","0.0","23.36","125.02","601.67","300.83","578.31","476.65","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","10195.0","0.15","0.8","0.0","6.62","0.8","5.3","0.0","0.0","0.0","0.0","28.66","125.02","601.67","300.83","573.01","476.65","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","10195.0","0.15","0.8","0.0","6.96","0.8","5.57","0.51","0.51","0.0","0.0","33.71","125.02","601.67","300.83","567.96","476.65","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","10195.0","0.15","0.8","0.0","6.97","0.8","5.58","0.0","0.0","0.0","0.0","39.29","125.02","601.67","300.83","562.38","476.65","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","10195.0","0.15","0.8","0.0","7.62","0.8","6.1","0.0","0.0","0.0","0.0","45.39","125.02","601.67","300.83","556.28","476.65","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","10195.0","0.15","0.8","0.0","7.42","0.8","5.94","0.0","0.0","0.0","0.0","51.32","125.02","601.67","300.83","550.35","476.65","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","10195.0","0.14","0.8","0.0","7.06","0.8","5.65","0.0","0.0","0.0","0.0","56.97","125.02","601.67","300.83","544.7","476.65","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","10195.0","0.14","0.8","0.0","7.62","0.8","6.1","0.0","0.0","0.0","0.0","63.07","125.02","601.67","300.83","538.6","476.65","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","10195.0","0.14","0.8","0.0","6.99","0.8","5.59","0.0","0.0","0.0","0.0","68.66","125.02","601.67","300.83","533.01","476.65","0.0","","","","","","","","",""
"2015.0","6.0","23.0","174.0","10195.0","0.14","0.8","0.0","7.4","0.8","5.92","0.0","0.0","0.0","0.0","74.58","125.02","601.67","300.83","527.09","476.65","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","10195.0","0.14","0.8","0.0","7.41","0.8","5.93","0.0","0.0","0.0","0.0","80.51","125.02","601.67","300.83","521.16","476.65","0.0","","","","","","","","",""
