" Daily soil water balance output for Cherries in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Cherries in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","2.0","8.0","39.0","1194.0","1.16","0.0","0.0","1.39","1.16","1.62","12.03","7.96","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","","","",""
"2015.0","2.0","9.0","40.0","1194.0","1.14","0.0","0.0","2.02","1.14","2.3","18.45","2.3","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","1194.0","1.14","0.0","0.0","1.84","1.14","2.1","0.02","0.02","0.0","0.0","2.08","25.65","492.27","246.14","490.19","466.62","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","1194.0","1.15","0.0","0.0","1.63","1.15","1.87","0.0","0.0","0.0","0.0","3.95","25.65","492.27","246.14","488.32","466.62","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","1194.0","1.02","0.0","0.0","1.98","1.02","2.02","0.0","0.0","0.0","0.0","5.97","25.65","492.27","246.14","486.31","466.62","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","1194.0","0.9","0.0","0.0","2.03","0.9","1.83","0.0","0.0","0.0","0.0","7.8","25.65","492.27","246.14","484.48","466.62","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","1194.0","0.81","0.0","0.0","2.18","0.81","1.77","0.0","0.0","0.0","0.0","9.57","25.65","492.27","246.14","482.7","466.62","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","1194.0","0.75","0.0","0.0","2.08","0.75","1.56","0.0","0.0","0.0","0.0","11.13","25.65","492.27","246.14","481.15","466.62","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","1194.0","0.7","0.0","0.0","2.18","0.7","1.52","0.0","0.0","0.0","0.0","12.65","25.65","492.27","246.14","479.63","466.62","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","1194.0","0.66","0.0","0.0","1.84","0.66","1.21","0.0","0.0","0.0","0.0","13.86","25.65","492.27","246.14","478.42","466.62","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","1194.0","0.63","0.0","0.0","1.59","0.63","1.0","0.0","0.0","0.0","0.0","14.86","25.65","492.27","246.14","477.41","466.62","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","1194.0","0.62","0.0","0.0","1.06","0.62","0.65","0.0","0.0","0.0","0.0","15.51","25.65","492.27","246.14","476.76","466.62","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","1194.0","0.59","0.0","0.0","1.88","0.59","1.11","0.0","0.0","0.0","0.0","16.62","25.65","492.27","246.14","475.65","466.62","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","1194.0","0.57","0.0","0.0","1.63","0.57","0.93","0.0","0.0","0.0","0.0","17.55","25.65","492.27","246.14","474.73","466.62","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","1194.0","0.53","0.0","0.0","3.48","0.53","1.85","0.0","0.0","0.0","0.0","19.4","25.65","492.27","246.14","472.88","466.62","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","1194.0","0.49","0.0","0.0","4.09","0.49","2.02","0.0","0.0","0.0","0.0","21.41","25.65","492.27","246.14","470.86","466.62","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","1194.0","0.47","0.0","0.0","2.78","0.47","1.31","0.0","0.0","0.0","0.0","22.73","25.65","492.27","246.14","469.55","466.62","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","1194.0","0.46","0.0","0.0","2.16","0.46","0.99","0.0","0.0","0.0","0.0","23.72","25.65","492.27","246.14","468.56","466.62","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","1194.0","0.44","0.0","0.0","3.01","0.44","1.33","0.0","0.0","0.0","0.0","25.05","25.65","492.27","246.14","467.23","466.62","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","1194.0","0.43","0.0","0.0","2.86","0.43","1.22","0.0","0.0","0.0","0.0","26.26","25.65","492.27","246.14","466.01","466.62","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","1194.0","0.42","0.0","0.0","2.01","0.42","0.83","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","1194.0","0.4","0.0","0.0","2.6","0.4","1.05","0.0","0.0","0.0","0.0","26.7","25.65","492.27","246.14","465.58","466.62","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","1194.0","0.39","0.0","0.0","2.27","0.39","0.89","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","1194.0","0.38","0.0","0.0","2.57","0.38","0.99","0.86","0.86","0.0","0.0","25.78","25.65","492.27","246.14","466.5","466.62","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","1194.0","0.37","0.0","0.0","2.6","0.37","0.97","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","1194.0","0.37","0.0","0.0","2.79","0.37","1.02","0.0","0.0","0.0","0.0","26.67","25.65","492.27","246.14","465.61","466.62","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","1194.0","0.36","0.0","0.0","2.99","0.36","1.06","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","1194.0","0.35","0.0","0.0","2.82","0.35","0.98","0.0","0.0","0.0","0.0","26.63","25.65","492.27","246.14","465.64","466.62","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","1194.0","0.34","0.0","0.0","2.96","0.34","1.01","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","1194.0","0.33","0.0","0.0","2.98","0.33","0.99","0.0","0.0","0.0","0.0","26.64","25.65","492.27","246.14","465.63","466.62","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","1194.0","0.33","0.0","0.0","2.43","0.33","0.79","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","1194.0","0.32","0.0","0.0","2.13","0.32","0.69","0.72","0.72","0.0","0.0","25.62","25.65","492.27","246.14","466.66","466.62","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","1194.0","1.08","0.0","0.0","3.4","1.08","3.69","3.96","3.96","0.0","0.0","25.34","25.65","492.27","246.14","466.93","466.62","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","1194.0","1.07","0.0","0.0","3.07","1.07","3.28","0.0","0.0","0.0","0.0","28.62","25.65","492.27","246.14","463.66","466.62","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","1194.0","0.87","0.0","0.0","3.32","0.87","2.88","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","1194.0","0.73","0.0","0.0","3.87","0.73","2.83","0.0","0.0","0.0","0.0","28.48","25.65","492.27","246.14","463.79","466.62","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","1194.0","0.67","0.0","0.0","2.59","0.67","1.74","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","1194.0","0.61","0.0","0.0","3.57","0.61","2.17","0.0","0.0","0.0","0.0","27.82","25.65","492.27","246.14","464.45","466.62","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","1194.0","0.56","0.0","0.0","3.85","0.56","2.14","0.21","0.21","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","1194.0","0.52","0.0","0.0","3.88","0.52","2.0","0.0","0.0","0.0","0.0","27.65","25.65","492.27","246.14","464.63","466.62","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","1194.0","0.49","0.0","0.0","3.12","0.49","1.52","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","1194.0","0.46","0.0","0.0","3.61","0.46","1.67","0.0","0.0","0.0","0.0","27.32","25.65","492.27","246.14","464.96","466.62","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","1194.0","0.44","0.0","0.0","3.15","0.44","1.39","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","1194.0","0.42","0.0","0.0","3.24","0.42","1.38","0.46","0.46","0.0","0.0","26.57","25.65","492.27","246.14","465.71","466.62","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","1194.0","0.41","0.0","0.0","3.22","0.41","1.32","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","1194.0","0.39","0.0","0.0","4.16","0.39","1.62","0.0","0.0","0.0","0.0","27.27","25.65","492.27","246.14","465.0","466.62","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","1194.0","0.38","0.0","0.0","3.91","0.38","1.47","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","1194.0","0.36","0.0","0.0","4.48","0.36","1.61","0.0","0.0","0.0","0.0","27.26","25.65","492.27","246.14","465.01","466.62","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","1194.0","0.34","0.0","0.0","4.95","0.34","1.7","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","1194.0","0.33","0.0","0.0","4.75","0.33","1.57","0.0","0.0","0.0","0.0","27.22","25.65","492.27","246.14","465.05","466.62","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","1194.0","0.32","0.0","0.0","4.54","0.32","1.45","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","1194.0","0.31","0.0","0.0","4.67","0.31","1.45","0.0","0.0","0.0","0.0","27.1","25.65","492.27","246.14","465.18","466.62","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","1194.0","0.3","0.0","0.0","4.21","0.3","1.27","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","1194.0","0.29","0.0","0.0","5.53","0.29","1.61","0.0","0.0","0.0","0.0","27.26","25.65","492.27","246.14","465.02","466.62","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","1194.0","0.28","0.0","0.0","4.65","0.28","1.32","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","1194.0","0.28","0.0","0.0","4.54","0.28","1.25","0.0","0.0","0.0","0.0","26.9","25.65","492.27","246.14","465.37","466.62","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","1194.0","0.27","0.0","0.0","2.51","0.27","0.68","0.08","0.08","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","1194.0","0.27","0.0","0.0","2.97","0.27","0.8","2.53","2.53","0.0","0.0","23.92","25.65","492.27","246.14","468.36","466.62","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","1194.0","0.27","0.0","0.0","2.49","0.27","0.66","3.03","3.03","0.0","0.0","21.55","25.65","492.27","246.14","470.72","466.62","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","1194.0","1.1","0.0","0.0","2.99","1.1","3.29","14.46","14.46","0.0","0.0","10.38","25.65","492.27","246.14","481.89","466.62","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","1194.0","1.07","0.0","0.0","3.5","1.07","3.73","0.0","0.0","0.0","0.0","14.11","25.65","492.27","246.14","478.16","466.62","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","1194.0","0.83","0.0","0.0","4.14","0.83","3.43","0.0","0.0","0.0","0.0","17.54","25.65","492.27","246.14","474.74","466.62","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","1194.0","0.7","0.0","0.0","4.3","0.7","2.99","0.0","0.0","0.0","0.0","20.53","25.65","492.27","246.14","471.74","466.62","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","1194.0","0.6","0.0","0.0","4.93","0.6","2.96","0.0","0.0","0.0","0.0","23.5","25.65","492.27","246.14","468.78","466.62","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","1194.0","0.54","0.0","0.0","5.02","0.54","2.69","0.0","0.0","0.0","0.0","26.18","25.65","492.27","246.14","466.09","466.62","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","1194.0","0.49","0.0","0.0","4.9","0.49","2.39","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","1194.0","0.44","0.0","0.0","6.53","0.44","2.87","0.0","0.0","0.0","0.0","28.52","25.65","492.27","246.14","463.75","466.62","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","1194.0","0.41","0.55","0.0","5.97","0.55","3.28","0.0","0.0","0.0","0.0","31.8","103.77","492.27","246.14","460.47","388.51","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","1194.0","0.38","0.56","0.0","5.35","0.56","2.98","0.0","0.0","0.0","0.0","34.78","103.77","492.27","246.14","457.49","388.51","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","1194.0","0.36","0.56","0.0","4.99","0.56","2.81","0.0","0.0","0.0","0.0","37.59","103.77","492.27","246.14","454.68","388.51","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","1194.0","0.35","0.57","0.0","5.25","0.57","2.99","0.0","0.0","0.0","0.0","40.59","103.77","492.27","246.14","451.69","388.51","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","1194.0","0.33","0.58","0.0","4.8","0.58","2.77","0.0","0.0","0.0","0.0","43.35","103.77","492.27","246.14","448.92","388.51","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","1194.0","0.32","0.58","0.0","3.83","0.58","2.23","0.0","0.0","0.0","0.0","45.59","103.77","492.27","246.14","446.69","388.51","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","1194.0","0.31","0.59","0.0","4.16","0.59","2.45","0.0","0.0","0.0","0.0","48.04","103.77","492.27","246.14","444.23","388.51","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","1194.0","0.3","0.6","0.0","4.79","0.6","2.86","0.0","0.0","0.0","0.0","50.9","103.77","492.27","246.14","441.37","388.51","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","1194.0","0.29","0.6","0.0","5.05","0.6","3.05","0.0","0.0","0.0","0.0","53.95","103.77","492.27","246.14","438.33","388.51","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","1194.0","1.06","0.61","0.0","4.07","1.06","4.3","12.34","12.34","0.0","0.0","45.91","103.77","492.27","246.14","446.36","388.51","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","1194.0","0.87","0.62","0.0","5.14","0.87","4.48","0.0","0.0","0.0","0.0","50.39","103.77","492.27","246.14","441.88","388.51","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","1194.0","0.67","0.62","0.0","6.01","0.67","4.04","0.0","0.0","0.0","0.0","54.43","103.77","492.27","246.14","437.84","388.51","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","1194.0","0.57","0.63","0.0","5.62","0.63","3.54","0.0","0.0","0.0","0.0","57.97","103.77","492.27","246.14","434.3","388.51","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","1194.0","0.51","0.64","0.0","5.35","0.64","3.41","0.0","0.0","0.0","0.0","61.38","103.77","492.27","246.14","430.9","388.51","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","1194.0","0.46","0.64","0.0","6.46","0.64","4.16","0.0","0.0","0.0","0.0","65.53","103.77","492.27","246.14","426.74","388.51","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","1194.0","0.41","0.65","0.0","6.52","0.65","4.24","0.0","0.0","0.0","0.0","69.77","103.77","492.27","246.14","422.5","388.51","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","1194.0","0.39","0.66","0.0","6.03","0.66","3.96","0.0","0.0","0.0","0.0","73.73","103.77","492.27","246.14","418.54","388.51","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","1194.0","0.37","0.66","0.0","5.29","0.66","3.51","0.0","0.0","0.0","0.0","77.24","103.77","492.27","246.14","415.03","388.51","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","1194.0","0.35","0.67","0.0","4.85","0.67","3.25","0.0","0.0","0.0","0.0","80.49","103.77","492.27","246.14","411.78","388.51","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","1194.0","0.34","0.68","0.0","4.86","0.68","3.29","0.0","0.0","0.0","0.0","83.78","103.77","492.27","246.14","408.5","388.51","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","1194.0","0.32","0.68","0.0","5.17","0.68","3.53","0.0","0.0","0.0","0.0","87.31","103.77","492.27","246.14","404.96","388.51","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","1194.0","0.31","0.69","0.0","3.74","0.69","2.58","0.12","0.12","0.0","0.0","89.77","103.77","492.27","246.14","402.5","388.51","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","1194.0","0.3","0.7","0.0","4.45","0.7","3.1","0.04","0.04","0.0","0.0","92.83","103.77","492.27","246.14","399.44","388.51","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","1194.0","0.29","0.7","0.0","5.02","0.7","3.53","0.0","0.0","0.0","0.0","96.36","103.77","492.27","246.14","395.91","388.51","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","1194.0","0.29","0.71","0.0","5.24","0.71","3.72","0.0","0.0","0.0","0.0","100.08","103.77","492.27","246.14","392.19","388.51","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","1194.0","0.28","0.72","0.0","5.2","0.72","3.73","0.0","0.0","0.0","0.0","0.0","103.77","492.27","246.14","492.27","388.51","103.81","","","","","","","","",""
"2015.0","5.0","12.0","132.0","1194.0","0.27","0.72","0.0","5.04","0.72","3.65","0.0","0.0","0.0","0.0","3.65","103.77","492.27","246.14","488.63","388.51","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","1194.0","0.26","0.73","0.0","4.75","0.73","3.47","0.0","0.0","0.0","0.0","7.11","103.77","492.27","246.14","485.16","388.51","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","1194.0","0.26","0.74","0.0","3.53","0.74","2.6","0.0","0.0","0.0","0.0","9.71","103.77","492.27","246.14","482.56","388.51","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","1194.0","0.25","0.74","0.0","4.69","0.74","3.49","0.41","0.41","0.0","0.0","12.79","103.77","492.27","246.14","479.49","388.51","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","1194.0","0.25","0.75","0.0","4.83","0.75","3.62","0.0","0.0","0.0","0.0","16.41","103.77","492.27","246.14","475.86","388.51","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","1194.0","0.24","0.76","0.0","4.03","0.76","3.05","0.0","0.0","0.0","0.0","19.46","103.77","492.27","246.14","472.81","388.51","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","1194.0","0.24","0.76","0.0","4.74","0.76","3.62","0.0","0.0","0.0","0.0","23.08","103.77","492.27","246.14","469.19","388.51","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","1194.0","0.23","0.77","0.0","5.03","0.77","3.87","0.0","0.0","0.0","0.0","26.95","103.77","492.27","246.14","465.32","388.51","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","1194.0","0.23","0.78","0.0","4.98","0.78","3.87","0.0","0.0","0.0","0.0","30.82","103.77","492.27","246.14","461.45","388.51","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","1194.0","0.23","0.78","0.0","4.26","0.78","3.34","0.0","0.0","0.0","0.0","34.16","103.77","492.27","246.14","458.12","388.51","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","1194.0","0.22","0.79","0.0","4.91","0.79","3.88","0.0","0.0","0.0","0.0","38.04","103.77","492.27","246.14","454.24","388.51","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","1194.0","0.22","0.8","0.0","4.7","0.8","3.74","0.0","0.0","0.0","0.0","41.78","103.77","492.27","246.14","450.49","388.51","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","1194.0","0.21","0.8","0.0","5.63","0.8","4.52","0.0","0.0","0.0","0.0","46.3","103.77","492.27","246.14","445.97","388.51","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","1194.0","0.21","0.81","0.0","5.5","0.81","4.46","0.0","0.0","0.0","0.0","50.76","103.77","492.27","246.14","441.52","388.51","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","1194.0","0.21","0.82","0.0","5.52","0.82","4.51","0.0","0.0","0.0","0.0","55.27","103.77","492.27","246.14","437.01","388.51","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","1194.0","0.2","0.82","0.0","5.56","0.82","4.58","0.0","0.0","0.0","0.0","59.84","103.77","492.27","246.14","432.43","388.51","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","1194.0","0.2","0.83","0.0","5.44","0.83","4.52","0.0","0.0","0.0","0.0","64.36","103.77","492.27","246.14","427.92","388.51","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","1194.0","0.2","0.84","0.0","6.1","0.84","5.1","0.0","0.0","0.0","0.0","69.46","103.77","492.27","246.14","422.81","388.51","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","1194.0","0.19","0.84","0.0","6.43","0.84","5.42","0.0","0.0","0.0","0.0","74.89","103.77","492.27","246.14","417.39","388.51","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","1194.0","0.19","0.85","0.0","5.4","0.85","4.59","0.0","0.0","0.0","0.0","79.48","103.77","492.27","246.14","412.8","388.51","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","1194.0","0.19","0.86","0.0","5.46","0.86","4.68","0.0","0.0","0.0","0.0","84.15","103.77","492.27","246.14","408.12","388.51","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","1194.0","0.18","0.86","0.0","5.75","0.86","4.96","0.0","0.0","0.0","0.0","89.12","103.77","492.27","246.14","403.16","388.51","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","1194.0","0.18","0.87","0.0","5.49","0.87","4.78","0.0","0.0","0.0","0.0","93.89","103.77","492.27","246.14","398.38","388.51","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","1194.0","0.18","0.88","0.0","5.89","0.88","5.16","0.0","0.0","0.0","0.0","99.06","103.77","492.27","246.14","393.22","388.51","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","1194.0","0.18","0.88","0.0","6.77","0.88","5.98","0.0","0.0","0.0","0.0","0.0","103.77","492.27","246.14","492.27","388.51","105.04","","","","","","","","",""
"2015.0","6.0","6.0","157.0","1194.0","0.17","0.89","0.0","6.34","0.89","5.64","0.0","0.0","0.0","0.0","5.64","103.77","492.27","246.14","486.63","388.51","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","1194.0","0.17","0.9","0.0","6.9","0.9","6.19","0.0","0.0","0.0","0.0","11.83","103.77","492.27","246.14","480.45","388.51","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","1194.0","0.17","0.9","0.0","7.39","0.9","6.68","0.0","0.0","0.0","0.0","18.51","103.77","492.27","246.14","473.77","388.51","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","1194.0","0.17","0.91","0.0","7.03","0.91","6.4","0.0","0.0","0.0","0.0","24.9","103.77","492.27","246.14","467.37","388.51","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","1194.0","0.17","0.92","0.0","2.7","0.92","2.48","0.02","0.02","0.0","0.0","27.36","103.77","492.27","246.14","464.92","388.51","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","1194.0","0.16","0.92","0.0","7.01","0.92","6.47","2.18","2.18","0.0","0.0","31.65","103.77","492.27","246.14","460.62","388.51","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","1194.0","0.16","0.93","0.0","7.89","0.93","7.34","0.0","0.0","0.0","0.0","38.99","103.77","492.27","246.14","453.29","388.51","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","1194.0","0.16","0.94","0.0","7.55","0.94","7.07","0.0","0.0","0.0","0.0","46.06","103.77","492.27","246.14","446.22","388.51","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","1194.0","0.16","0.94","0.0","6.8","0.94","6.41","0.0","0.0","0.0","0.0","52.47","103.77","492.27","246.14","439.8","388.51","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","1194.0","0.15","0.95","0.0","6.62","0.95","6.29","0.0","0.0","0.0","0.0","58.76","103.77","492.27","246.14","433.51","388.51","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","1194.0","0.15","0.96","0.0","6.96","0.96","6.66","0.51","0.51","0.0","0.0","64.91","103.77","492.27","246.14","427.36","388.51","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","1194.0","0.15","0.96","0.0","6.97","0.96","6.71","0.0","0.0","0.0","0.0","71.63","103.77","492.27","246.14","420.65","388.51","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","1194.0","0.15","0.97","0.0","7.62","0.97","7.39","0.0","0.0","0.0","0.0","79.02","103.77","492.27","246.14","413.26","388.51","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","1194.0","0.15","0.98","0.0","7.42","0.98","7.25","0.0","0.0","0.0","0.0","86.26","103.77","492.27","246.14","406.01","388.51","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","1194.0","0.14","0.98","0.0","7.06","0.98","6.94","0.0","0.0","0.0","0.0","93.21","103.77","492.27","246.14","399.07","388.51","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","1194.0","0.14","0.99","0.0","7.62","0.99","7.54","0.0","0.0","0.0","0.0","100.75","103.77","492.27","246.14","391.52","388.51","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","1194.0","0.14","1.0","0.0","6.99","1.0","6.97","0.0","0.0","0.0","0.0","0.0","103.77","492.27","246.14","492.27","388.51","107.72","","","","","","","","",""
"2015.0","6.0","23.0","174.0","1194.0","0.14","1.0","0.0","7.4","1.0","7.42","0.0","0.0","0.0","0.0","7.42","103.77","492.27","246.14","484.85","388.51","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","1194.0","0.14","1.01","0.0","7.41","1.01","7.48","0.0","0.0","0.0","0.0","14.91","103.77","492.27","246.14","477.37","388.51","0.0","","","","","","","","",""
