" Daily soil water balance output for Turf_farm in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Turf_farm in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"2015.0","2.0","13.0","44.0","341.0","0.91","0.85","0.0","2.0","0.91","1.81","0.0","0.0","0.0","0.0","10.01","50.6","214.58","107.29","204.57","163.98","0.0","","","","","","",""
"2015.0","2.0","14.0","45.0","341.0","0.82","0.85","0.0","2.16","0.85","1.84","0.0","0.0","0.0","0.0","11.84","50.6","214.58","107.29","202.73","163.98","0.0","","","","","","",""
"2015.0","2.0","15.0","46.0","341.0","0.75","0.85","0.0","2.09","0.85","1.78","0.0","0.0","0.0","0.0","13.62","50.6","214.58","107.29","200.96","163.98","0.0","","","","","","",""
"2015.0","2.0","16.0","47.0","341.0","0.7","0.85","0.0","2.19","0.85","1.86","0.0","0.0","0.0","0.0","15.48","50.6","214.58","107.29","199.1","163.98","0.0","","","","","","",""
"2015.0","2.0","17.0","48.0","341.0","0.66","0.85","0.0","1.85","0.85","1.57","0.0","0.0","0.0","0.0","17.05","50.6","214.58","107.29","197.52","163.98","0.0","","","","","","",""
"2015.0","2.0","18.0","49.0","341.0","0.63","0.85","0.0","1.58","0.85","1.34","0.0","0.0","0.0","0.0","18.4","50.6","214.58","107.29","196.18","163.98","0.0","","","","","","",""
"2015.0","2.0","19.0","50.0","341.0","0.62","0.85","0.0","1.04","0.85","0.88","0.0","0.0","0.0","0.0","19.28","50.6","214.58","107.29","195.3","163.98","0.0","","","","","","",""
"2015.0","2.0","20.0","51.0","341.0","0.59","0.85","0.0","2.0","0.85","1.7","0.0","0.0","0.0","0.0","20.98","50.6","214.58","107.29","193.6","163.98","0.0","","","","","","",""
"2015.0","2.0","21.0","52.0","341.0","0.57","0.85","0.0","1.73","0.85","1.47","0.0","0.0","0.0","0.0","22.45","50.6","214.58","107.29","192.13","163.98","0.0","","","","","","",""
"2015.0","2.0","22.0","53.0","341.0","0.53","0.85","0.0","3.63","0.85","3.09","0.0","0.0","0.0","0.0","25.54","50.6","214.58","107.29","189.04","163.98","0.0","","","","","","",""
"2015.0","2.0","23.0","54.0","341.0","0.49","0.85","0.0","4.25","0.85","3.61","0.0","0.0","0.0","0.0","29.15","50.6","214.58","107.29","185.43","163.98","0.0","","","","","","",""
"2015.0","2.0","24.0","55.0","341.0","0.47","0.85","0.0","2.81","0.85","2.39","0.0","0.0","0.0","0.0","31.54","50.6","214.58","107.29","183.04","163.98","0.0","","","","","","",""
"2015.0","2.0","25.0","56.0","341.0","0.46","0.85","0.0","2.18","0.85","1.85","0.0","0.0","0.0","0.0","33.39","50.6","214.58","107.29","181.19","163.98","0.0","","","","","","",""
"2015.0","2.0","26.0","57.0","341.0","0.44","0.85","0.0","3.03","0.85","2.58","0.0","0.0","0.0","0.0","35.97","50.6","214.58","107.29","178.61","163.98","0.0","","","","","","",""
"2015.0","2.0","27.0","58.0","341.0","0.42","0.85","0.0","2.87","0.85","2.44","0.0","0.0","0.0","0.0","38.41","50.6","214.58","107.29","176.17","163.98","0.0","","","","","","",""
"2015.0","2.0","28.0","59.0","341.0","0.41","0.85","0.0","2.01","0.85","1.71","0.0","0.0","0.0","0.0","40.12","50.6","214.58","107.29","174.46","163.98","0.0","","","","","","",""
"2015.0","3.0","1.0","60.0","341.0","0.4","0.85","0.0","2.65","0.85","2.25","0.0","0.0","0.0","0.0","42.37","50.6","214.58","107.29","172.21","163.98","0.0","","","","","","",""
"2015.0","3.0","2.0","61.0","341.0","0.39","0.85","0.0","2.24","0.85","1.9","0.0","0.0","0.0","0.0","44.27","50.6","214.58","107.29","170.31","163.98","0.0","","","","","","",""
"2015.0","3.0","3.0","62.0","341.0","1.12","0.85","0.0","2.55","1.12","2.85","3.36","3.36","0.0","0.0","43.76","50.6","214.58","107.29","170.82","163.98","0.0","","","","","","",""
"2015.0","3.0","4.0","63.0","341.0","1.12","0.85","0.0","2.6","1.12","2.9","0.0","0.0","0.0","0.0","46.67","50.6","214.58","107.29","167.91","163.98","0.0","","","","","","",""
"2015.0","3.0","5.0","64.0","341.0","0.97","0.85","0.0","2.79","0.97","2.72","0.0","0.0","0.0","0.0","49.38","50.6","214.58","107.29","165.19","163.98","0.0","","","","","","",""
"2015.0","3.0","6.0","65.0","341.0","0.83","0.85","0.0","2.99","0.85","2.54","0.0","0.0","0.0","0.0","0.0","50.6","214.58","107.29","214.58","163.98","51.93","","","","","","",""
"2015.0","3.0","7.0","66.0","341.0","0.74","0.85","0.0","2.81","0.85","2.39","0.0","0.0","0.0","0.0","2.39","50.6","214.58","107.29","212.19","163.98","0.0","","","","","","",""
"2015.0","3.0","8.0","67.0","341.0","0.67","0.85","0.0","2.94","0.85","2.5","0.0","0.0","0.0","0.0","4.89","50.6","214.58","107.29","209.69","163.98","0.0","","","","","","",""
"2015.0","3.0","9.0","68.0","341.0","0.62","0.85","0.0","2.98","0.85","2.53","0.0","0.0","0.0","0.0","7.42","50.6","214.58","107.29","207.16","163.98","0.0","","","","","","",""
"2015.0","3.0","10.0","69.0","341.0","0.58","0.85","0.0","2.3","0.85","1.96","0.0","0.0","0.0","0.0","9.38","50.6","214.58","107.29","205.2","163.98","0.0","","","","","","",""
"2015.0","3.0","11.0","70.0","341.0","0.56","0.85","0.0","2.11","0.85","1.79","0.83","0.83","0.0","0.0","10.34","50.6","214.58","107.29","204.24","163.98","0.0","","","","","","",""
"2015.0","3.0","12.0","71.0","341.0","1.08","0.85","0.0","3.41","1.08","3.7","4.58","4.58","0.0","0.0","9.45","50.6","214.58","107.29","205.13","163.98","0.0","","","","","","",""
"2015.0","3.0","13.0","72.0","341.0","1.07","0.85","0.0","3.03","1.07","3.24","0.0","0.0","0.0","0.0","12.7","50.6","214.58","107.29","201.88","163.98","0.0","","","","","","",""
"2015.0","3.0","14.0","73.0","341.0","0.87","0.85","0.0","3.23","0.87","2.82","0.0","0.0","0.0","0.0","15.52","50.6","214.58","107.29","199.06","163.98","0.0","","","","","","",""
"2015.0","3.0","15.0","74.0","341.0","0.74","0.85","0.0","3.74","0.85","3.18","0.0","0.0","0.0","0.0","18.7","50.6","214.58","107.29","195.88","163.98","0.0","","","","","","",""
"2015.0","3.0","16.0","75.0","341.0","0.68","0.85","0.0","2.43","0.85","2.07","0.0","0.0","0.0","0.0","20.76","50.6","214.58","107.29","193.82","163.98","0.0","","","","","","",""
"2015.0","3.0","17.0","76.0","341.0","0.62","0.85","0.0","3.53","0.85","3.0","0.0","0.0","0.0","0.0","23.76","50.6","214.58","107.29","190.82","163.98","0.0","","","","","","",""
"2015.0","3.0","18.0","77.0","341.0","0.56","0.85","0.0","3.85","0.85","3.27","0.01","0.01","0.0","0.0","27.03","50.6","214.58","107.29","187.55","163.98","0.0","","","","","","",""
"2015.0","3.0","19.0","78.0","341.0","0.52","0.85","0.0","3.88","0.85","3.3","0.0","0.0","0.0","0.0","30.32","50.6","214.58","107.29","184.26","163.98","0.0","","","","","","",""
"2015.0","3.0","20.0","79.0","341.0","0.49","0.85","0.0","3.07","0.85","2.61","0.0","0.0","0.0","0.0","32.93","50.6","214.58","107.29","181.65","163.98","0.0","","","","","","",""
"2015.0","3.0","21.0","80.0","341.0","0.47","0.85","0.0","3.6","0.85","3.06","0.0","0.0","0.0","0.0","35.99","50.6","214.58","107.29","178.59","163.98","0.0","","","","","","",""
"2015.0","3.0","22.0","81.0","341.0","0.44","0.85","0.0","3.31","0.85","2.81","0.0","0.0","0.0","0.0","38.81","50.6","214.58","107.29","175.77","163.98","0.0","","","","","","",""
"2015.0","3.0","23.0","82.0","341.0","0.43","0.85","0.0","3.28","0.85","2.79","0.11","0.11","0.0","0.0","41.48","50.6","214.58","107.29","173.09","163.98","0.0","","","","","","",""
"2015.0","3.0","24.0","83.0","341.0","0.41","0.85","0.0","3.19","0.85","2.71","0.0","0.0","0.0","0.0","44.2","50.6","214.58","107.29","170.38","163.98","0.0","","","","","","",""
"2015.0","3.0","25.0","84.0","341.0","0.39","0.85","0.0","4.18","0.85","3.55","0.0","0.0","0.0","0.0","47.75","50.6","214.58","107.29","166.83","163.98","0.0","","","","","","",""
"2015.0","3.0","26.0","85.0","341.0","0.38","0.85","0.0","3.88","0.85","3.3","0.0","0.0","0.0","0.0","0.0","50.6","214.58","107.29","214.58","163.98","51.05","","","","","","",""
"2015.0","3.0","27.0","86.0","341.0","0.36","0.85","0.0","4.4","0.85","3.74","0.0","0.0","0.0","0.0","3.74","50.6","214.58","107.29","210.84","163.98","0.0","","","","","","",""
"2015.0","3.0","28.0","87.0","341.0","0.35","0.85","0.0","4.93","0.85","4.19","0.0","0.0","0.0","0.0","7.93","50.6","214.58","107.29","206.65","163.98","0.0","","","","","","",""
"2015.0","3.0","29.0","88.0","341.0","0.33","0.85","0.0","4.71","0.85","4.0","0.0","0.0","0.0","0.0","11.93","50.6","214.58","107.29","202.65","163.98","0.0","","","","","","",""
"2015.0","3.0","30.0","89.0","341.0","0.32","0.85","0.0","4.49","0.85","3.82","0.0","0.0","0.0","0.0","15.75","50.6","214.58","107.29","198.83","163.98","0.0","","","","","","",""
"2015.0","3.0","31.0","90.0","341.0","0.31","0.85","0.0","4.65","0.85","3.95","0.0","0.0","0.0","0.0","19.7","50.6","214.58","107.29","194.88","163.98","0.0","","","","","","",""
"2015.0","4.0","1.0","91.0","341.0","0.3","0.85","0.0","4.22","0.85","3.59","0.0","0.0","0.0","0.0","23.29","50.6","214.58","107.29","191.29","163.98","0.0","","","","","","",""
"2015.0","4.0","2.0","92.0","341.0","0.29","0.85","0.0","5.54","0.85","4.71","0.0","0.0","0.0","0.0","28.0","50.6","214.58","107.29","186.58","163.98","0.0","","","","","","",""
"2015.0","4.0","3.0","93.0","341.0","0.28","0.85","0.0","4.6","0.85","3.91","0.0","0.0","0.0","0.0","31.91","50.6","214.58","107.29","182.67","163.98","0.0","","","","","","",""
"2015.0","4.0","4.0","94.0","341.0","0.28","0.85","0.0","4.48","0.85","3.81","0.0","0.0","0.0","0.0","35.72","50.6","214.58","107.29","178.86","163.98","0.0","","","","","","",""
"2015.0","4.0","5.0","95.0","341.0","0.27","0.85","0.0","2.56","0.85","2.18","0.0","0.0","0.0","0.0","37.89","50.6","214.58","107.29","176.69","163.98","0.0","","","","","","",""
"2015.0","4.0","6.0","96.0","341.0","0.27","0.85","0.0","2.92","0.85","2.48","0.96","0.96","0.0","0.0","39.42","50.6","214.58","107.29","175.16","163.98","0.0","","","","","","",""
"2015.0","4.0","7.0","97.0","341.0","1.12","0.85","0.0","2.53","1.12","2.83","4.05","4.05","0.0","0.0","38.2","50.6","214.58","107.29","176.38","163.98","0.0","","","","","","",""
"2015.0","4.0","8.0","98.0","341.0","1.1","0.85","0.0","2.94","1.1","3.24","14.39","14.39","0.0","0.0","27.05","50.6","214.58","107.29","187.53","163.98","0.0","","","","","","",""
"2015.0","4.0","9.0","99.0","341.0","1.07","0.85","0.0","3.48","1.07","3.73","0.0","0.0","0.0","0.0","30.78","50.6","214.58","107.29","183.8","163.98","0.0","","","","","","",""
"2015.0","4.0","10.0","100.0","341.0","0.83","0.85","0.0","4.1","0.85","3.49","0.0","0.0","0.0","0.0","34.26","50.6","214.58","107.29","180.32","163.98","0.0","","","","","","",""
"2015.0","4.0","11.0","101.0","341.0","0.7","0.85","0.0","4.26","0.85","3.62","0.0","0.0","0.0","0.0","37.88","50.6","214.58","107.29","176.7","163.98","0.0","","","","","","",""
"2015.0","4.0","12.0","102.0","341.0","0.6","0.85","0.0","4.91","0.85","4.17","0.0","0.0","0.0","0.0","42.06","50.6","214.58","107.29","172.52","163.98","0.0","","","","","","",""
"2015.0","4.0","13.0","103.0","341.0","0.54","0.85","0.0","4.91","0.85","4.17","0.0","0.0","0.0","0.0","46.23","50.6","214.58","107.29","168.35","163.98","0.0","","","","","","",""
"2015.0","4.0","14.0","104.0","341.0","0.49","0.85","0.0","4.87","0.85","4.14","0.0","0.0","0.0","0.0","50.37","50.6","214.58","107.29","164.21","163.98","0.0","","","","","","",""
"2015.0","4.0","15.0","105.0","341.0","0.44","0.85","0.0","6.58","0.85","5.59","0.0","0.0","0.0","0.0","0.0","50.6","214.58","107.29","214.58","163.98","55.96","","","","","","",""
"2015.0","4.0","16.0","106.0","341.0","0.41","0.85","0.0","6.06","0.85","5.15","0.0","0.0","0.0","0.0","5.15","50.6","214.58","107.29","209.43","163.98","0.0","","","","","","",""
"2015.0","4.0","17.0","107.0","341.0","0.38","0.85","0.0","5.29","0.85","4.5","0.0","0.0","0.0","0.0","9.65","50.6","214.58","107.29","204.93","163.98","0.0","","","","","","",""
"2015.0","4.0","18.0","108.0","341.0","0.36","0.85","0.0","4.95","0.85","4.21","0.0","0.0","0.0","0.0","13.86","50.6","214.58","107.29","200.72","163.98","0.0","","","","","","",""
"2015.0","4.0","19.0","109.0","341.0","0.35","0.85","0.0","5.18","0.85","4.4","0.0","0.0","0.0","0.0","18.26","50.6","214.58","107.29","196.32","163.98","0.0","","","","","","",""
"2015.0","4.0","20.0","110.0","341.0","0.33","0.85","0.0","4.74","0.85","4.03","0.0","0.0","0.0","0.0","22.29","50.6","214.58","107.29","192.29","163.98","0.0","","","","","","",""
"2015.0","4.0","21.0","111.0","341.0","0.32","0.85","0.0","3.79","0.85","3.22","0.0","0.0","0.0","0.0","25.51","50.6","214.58","107.29","189.07","163.98","0.0","","","","","","",""
"2015.0","4.0","22.0","112.0","341.0","0.32","0.85","0.0","4.2","0.85","3.57","0.0","0.0","0.0","0.0","29.08","50.6","214.58","107.29","185.5","163.98","0.0","","","","","","",""
"2015.0","4.0","23.0","113.0","341.0","0.31","0.85","0.0","4.75","0.85","4.04","0.0","0.0","0.0","0.0","33.12","50.6","214.58","107.29","181.46","163.98","0.0","","","","","","",""
"2015.0","4.0","24.0","114.0","341.0","0.3","0.85","0.0","4.96","0.85","4.22","0.0","0.0","0.0","0.0","37.33","50.6","214.58","107.29","177.25","163.98","0.0","","","","","","",""
"2015.0","4.0","25.0","115.0","341.0","1.06","0.85","0.0","3.96","1.06","4.2","11.93","11.93","0.0","0.0","29.61","50.6","214.58","107.29","184.97","163.98","0.0","","","","","","",""
"2015.0","4.0","26.0","116.0","341.0","0.88","0.85","0.0","5.11","0.88","4.5","0.0","0.0","0.0","0.0","34.1","50.6","214.58","107.29","180.48","163.98","0.0","","","","","","",""
"2015.0","4.0","27.0","117.0","341.0","0.67","0.85","0.0","6.12","0.85","5.2","0.0","0.0","0.0","0.0","39.3","50.6","214.58","107.29","175.28","163.98","0.0","","","","","","",""
"2015.0","4.0","28.0","118.0","341.0","0.58","0.85","0.0","5.51","0.85","4.68","0.0","0.0","0.0","0.0","43.99","50.6","214.58","107.29","170.59","163.98","0.0","","","","","","",""
"2015.0","4.0","29.0","119.0","341.0","0.51","0.85","0.0","5.26","0.85","4.47","0.0","0.0","0.0","0.0","48.46","50.6","214.58","107.29","166.12","163.98","0.0","","","","","","",""
"2015.0","4.0","30.0","120.0","341.0","0.46","0.85","0.0","6.47","0.85","5.5","0.0","0.0","0.0","0.0","0.0","50.6","214.58","107.29","214.58","163.98","53.96","","","","","","",""
"2015.0","5.0","1.0","121.0","341.0","0.42","0.85","0.0","6.45","0.85","5.48","0.0","0.0","0.0","0.0","5.48","50.6","214.58","107.29","209.1","163.98","0.0","","","","","","",""
"2015.0","5.0","2.0","122.0","341.0","0.39","0.85","0.0","5.94","0.85","5.05","0.0","0.0","0.0","0.0","10.53","50.6","214.58","107.29","204.05","163.98","0.0","","","","","","",""
"2015.0","5.0","3.0","123.0","341.0","0.37","0.85","0.0","5.17","0.85","4.39","0.0","0.0","0.0","0.0","14.93","50.6","214.58","107.29","199.65","163.98","0.0","","","","","","",""
"2015.0","5.0","4.0","124.0","341.0","0.35","0.85","0.0","4.74","0.85","4.03","0.0","0.0","0.0","0.0","18.96","50.6","214.58","107.29","195.62","163.98","0.0","","","","","","",""
"2015.0","5.0","5.0","125.0","341.0","0.34","0.85","0.0","4.79","0.85","4.07","0.0","0.0","0.0","0.0","23.03","50.6","214.58","107.29","191.55","163.98","0.0","","","","","","",""
"2015.0","5.0","6.0","126.0","341.0","0.32","0.85","0.0","5.2","0.85","4.42","0.0","0.0","0.0","0.0","27.45","50.6","214.58","107.29","187.13","163.98","0.0","","","","","","",""
"2015.0","5.0","7.0","127.0","341.0","0.32","0.85","0.0","3.82","0.85","3.25","0.5","0.5","0.0","0.0","30.19","50.6","214.58","107.29","184.39","163.98","0.0","","","","","","",""
"2015.0","5.0","8.0","128.0","341.0","0.31","0.85","0.0","4.45","0.85","3.78","0.01","0.01","0.0","0.0","33.97","50.6","214.58","107.29","180.61","163.98","0.0","","","","","","",""
"2015.0","5.0","9.0","129.0","341.0","0.3","0.85","0.0","4.99","0.85","4.24","0.0","0.0","0.0","0.0","38.21","50.6","214.58","107.29","176.37","163.98","0.0","","","","","","",""
"2015.0","5.0","10.0","130.0","341.0","0.29","0.85","0.0","5.12","0.85","4.35","0.0","0.0","0.0","0.0","42.56","50.6","214.58","107.29","172.02","163.98","0.0","","","","","","",""
"2015.0","5.0","11.0","131.0","341.0","0.28","0.85","0.0","5.11","0.85","4.34","0.0","0.0","0.0","0.0","46.9","50.6","214.58","107.29","167.68","163.98","0.0","","","","","","",""
"2015.0","5.0","12.0","132.0","341.0","0.27","0.85","0.0","5.01","0.85","4.26","0.0","0.0","0.0","0.0","0.0","50.6","214.58","107.29","214.58","163.98","51.16","","","","","","",""
"2015.0","5.0","13.0","133.0","341.0","0.26","0.85","0.0","4.72","0.85","4.01","0.0","0.0","0.0","0.0","4.01","50.6","214.58","107.29","210.57","163.98","0.0","","","","","","",""
"2015.0","5.0","14.0","134.0","341.0","0.26","0.85","0.0","3.63","0.85","3.09","0.0","0.0","0.0","0.0","7.1","50.6","214.58","107.29","207.48","163.98","0.0","","","","","","",""
"2015.0","5.0","15.0","135.0","341.0","0.25","0.85","0.0","4.7","0.85","4.0","0.06","0.06","0.0","0.0","11.03","50.6","214.58","107.29","203.55","163.98","0.0","","","","","","",""
"2015.0","5.0","16.0","136.0","341.0","0.25","0.85","0.0","4.79","0.85","4.07","0.0","0.0","0.0","0.0","15.1","50.6","214.58","107.29","199.48","163.98","0.0","","","","","","",""
"2015.0","5.0","17.0","137.0","341.0","0.24","0.85","0.0","3.87","0.85","3.29","0.0","0.0","0.0","0.0","18.39","50.6","214.58","107.29","196.19","163.98","0.0","","","","","","",""
"2015.0","5.0","18.0","138.0","341.0","0.24","0.85","0.0","4.77","0.85","4.05","0.0","0.0","0.0","0.0","22.45","50.6","214.58","107.29","192.13","163.98","0.0","","","","","","",""
"2015.0","5.0","19.0","139.0","341.0","0.24","0.85","0.0","4.98","0.85","4.23","0.0","0.0","0.0","0.0","26.68","50.6","214.58","107.29","187.9","163.98","0.0","","","","","","",""
"2015.0","5.0","20.0","140.0","341.0","0.23","0.85","0.0","4.89","0.85","4.16","0.0","0.0","0.0","0.0","30.84","50.6","214.58","107.29","183.74","163.98","0.0","","","","","","",""
"2015.0","5.0","21.0","141.0","341.0","0.23","0.85","0.0","4.59","0.85","3.9","0.0","0.0","0.0","0.0","34.74","50.6","214.58","107.29","179.84","163.98","0.0","","","","","","",""
"2015.0","5.0","22.0","142.0","341.0","0.22","0.85","0.0","4.9","0.85","4.17","0.0","0.0","0.0","0.0","38.9","50.6","214.58","107.29","175.68","163.98","0.0","","","","","","",""
"2015.0","5.0","23.0","143.0","341.0","0.22","0.85","0.0","4.73","0.85","4.02","0.0","0.0","0.0","0.0","42.92","50.6","214.58","107.29","171.65","163.98","0.0","","","","","","",""
"2015.0","5.0","24.0","144.0","341.0","0.21","0.85","0.0","5.57","0.85","4.73","0.0","0.0","0.0","0.0","47.66","50.6","214.58","107.29","166.92","163.98","0.0","","","","","","",""
"2015.0","5.0","25.0","145.0","341.0","0.21","0.85","0.0","5.38","0.85","4.57","0.0","0.0","0.0","0.0","0.0","50.6","214.58","107.29","214.58","163.98","52.23","","","","","","",""
"2015.0","5.0","26.0","146.0","341.0","0.21","0.85","0.0","5.42","0.85","4.61","0.0","0.0","0.0","0.0","4.61","50.6","214.58","107.29","209.97","163.98","0.0","","","","","","",""
"2015.0","5.0","27.0","147.0","341.0","0.2","0.85","0.0","5.47","0.85","4.65","0.0","0.0","0.0","0.0","9.26","50.6","214.58","107.29","205.32","163.98","0.0","","","","","","",""
"2015.0","5.0","28.0","148.0","341.0","0.2","0.85","0.0","5.36","0.85","4.56","0.0","0.0","0.0","0.0","13.81","50.6","214.58","107.29","200.77","163.98","0.0","","","","","","",""
"2015.0","5.0","29.0","149.0","341.0","0.2","0.85","0.0","5.96","0.85","5.07","0.0","0.0","0.0","0.0","18.88","50.6","214.58","107.29","195.7","163.98","0.0","","","","","","",""
"2015.0","5.0","30.0","150.0","341.0","0.19","0.85","0.0","6.29","0.85","5.35","0.0","0.0","0.0","0.0","24.23","50.6","214.58","107.29","190.35","163.98","0.0","","","","","","",""
"2015.0","5.0","31.0","151.0","341.0","0.19","0.85","0.0","5.29","0.85","4.5","0.0","0.0","0.0","0.0","28.72","50.6","214.58","107.29","185.86","163.98","0.0","","","","","","",""
"2015.0","6.0","1.0","152.0","341.0","0.19","0.85","0.0","5.34","0.85","4.54","0.0","0.0","0.0","0.0","33.26","50.6","214.58","107.29","181.32","163.98","0.0","","","","","","",""
"2015.0","6.0","2.0","153.0","341.0","0.19","0.85","0.0","5.63","0.85","4.79","0.0","0.0","0.0","0.0","38.05","50.6","214.58","107.29","176.53","163.98","0.0","","","","","","",""
"2015.0","6.0","3.0","154.0","341.0","0.18","0.85","0.0","5.42","0.85","4.61","0.0","0.0","0.0","0.0","42.65","50.6","214.58","107.29","171.93","163.98","0.0","","","","","","",""
"2015.0","6.0","4.0","155.0","341.0","0.18","0.85","0.0","5.87","0.85","4.99","0.0","0.0","0.0","0.0","47.64","50.6","214.58","107.29","166.94","163.98","0.0","","","","","","",""
"2015.0","6.0","5.0","156.0","341.0","0.18","0.85","0.0","6.78","0.85","5.76","0.0","0.0","0.0","0.0","0.0","50.6","214.58","107.29","214.58","163.98","53.41","","","","","","",""
"2015.0","6.0","6.0","157.0","341.0","0.17","0.85","0.0","6.33","0.85","5.38","0.0","0.0","0.0","0.0","5.38","50.6","214.58","107.29","209.2","163.98","0.0","","","","","","",""
"2015.0","6.0","7.0","158.0","341.0","0.17","0.85","0.0","6.88","0.85","5.85","0.0","0.0","0.0","0.0","11.23","50.6","214.58","107.29","203.35","163.98","0.0","","","","","","",""
"2015.0","6.0","8.0","159.0","341.0","0.17","0.85","0.0","7.31","0.85","6.21","0.0","0.0","0.0","0.0","17.44","50.6","214.58","107.29","197.14","163.98","0.0","","","","","","",""
"2015.0","6.0","9.0","160.0","341.0","0.17","0.85","0.0","6.91","0.85","5.87","0.0","0.0","0.0","0.0","23.32","50.6","214.58","107.29","191.26","163.98","0.0","","","","","","",""
"2015.0","6.0","10.0","161.0","341.0","0.17","0.85","0.0","2.53","0.85","2.15","0.32","0.32","0.0","0.0","25.15","50.6","214.58","107.29","189.43","163.98","0.0","","","","","","",""
"2015.0","6.0","11.0","162.0","341.0","0.16","0.85","0.0","7.0","0.85","5.95","1.59","1.59","0.0","0.0","29.51","50.6","214.58","107.29","185.07","163.98","0.0","","","","","","",""
"2015.0","6.0","12.0","163.0","341.0","0.16","0.85","0.0","7.84","0.85","6.66","0.0","0.0","0.0","0.0","36.17","50.6","214.58","107.29","178.41","163.98","0.0","","","","","","",""
"2015.0","6.0","13.0","164.0","341.0","0.16","0.85","0.0","7.39","0.85","6.28","0.0","0.0","0.0","0.0","42.45","50.6","214.58","107.29","172.13","163.98","0.0","","","","","","",""
"2015.0","6.0","14.0","165.0","341.0","0.16","0.85","0.0","6.62","0.85","5.63","0.0","0.0","0.0","0.0","48.08","50.6","214.58","107.29","166.5","163.98","0.0","","","","","","",""
"2015.0","6.0","15.0","166.0","341.0","0.15","0.85","0.0","6.43","0.85","5.47","0.0","0.0","0.0","0.0","0.0","50.6","214.58","107.29","214.58","163.98","53.54","","","","","","",""
"2015.0","6.0","16.0","167.0","341.0","0.15","0.85","0.0","6.82","0.85","5.8","0.02","0.02","0.0","0.0","5.78","50.6","214.58","107.29","208.8","163.98","0.0","","","","","","",""
"2015.0","6.0","17.0","168.0","341.0","0.15","0.85","0.0","6.84","0.85","5.81","0.0","0.0","0.0","0.0","11.59","50.6","214.58","107.29","202.99","163.98","0.0","","","","","","",""
"2015.0","6.0","18.0","169.0","341.0","0.15","0.85","0.0","7.46","0.85","6.34","0.0","0.0","0.0","0.0","17.93","50.6","214.58","107.29","196.65","163.98","0.0","","","","","","",""
"2015.0","6.0","19.0","170.0","341.0","0.15","0.85","0.0","7.3","0.85","6.21","0.0","0.0","0.0","0.0","24.14","50.6","214.58","107.29","190.44","163.98","0.0","","","","","","",""
"2015.0","6.0","20.0","171.0","341.0","0.15","0.85","0.0","6.95","0.85","5.91","0.0","0.0","0.0","0.0","30.04","50.6","214.58","107.29","184.53","163.98","0.0","","","","","","",""
"2015.0","6.0","21.0","172.0","341.0","0.14","0.85","0.0","7.44","0.85","6.32","0.0","0.0","0.0","0.0","36.37","50.6","214.58","107.29","178.21","163.98","0.0","","","","","","",""
"2015.0","6.0","22.0","173.0","341.0","0.14","0.85","0.0","6.8","0.85","5.78","0.0","0.0","0.0","0.0","42.15","50.6","214.58","107.29","172.43","163.98","0.0","","","","","","",""
"2015.0","6.0","23.0","174.0","341.0","0.14","0.85","0.0","7.3","0.85","6.21","0.0","0.0","0.0","0.0","48.35","50.6","214.58","107.29","166.23","163.98","0.0","","","","","","",""
"2015.0","6.0","24.0","175.0","341.0","0.14","0.85","0.0","7.32","0.85","6.22","0.0","0.0","0.0","0.0","0.0","50.6","214.58","107.29","214.58","163.98","54.58","","","","","","",""
"2015.0","6.0","25.0","176.0","341.0","0.14","0.85","0.0","7.89","0.85","6.71","0.0","0.0","0.0","0.0","6.71","50.6","214.58","107.29","207.87","163.98","0.0","","","","","","",""
"2015.0","6.0","26.0","177.0","341.0","0.14","0.85","0.0","8.25","0.85","7.01","0.0","0.0","0.0","0.0","13.72","50.6","214.58","107.29","200.86","163.98","0.0","","","","","","",""
"2015.0","6.0","27.0","178.0","341.0","0.13","0.85","0.0","6.73","0.85","5.72","0.0","0.0","0.0","0.0","19.44","50.6","214.58","107.29","195.14","163.98","0.0","","","","","","",""
"2015.0","6.0","28.0","179.0","341.0","0.13","0.85","0.0","7.15","0.85","6.08","0.0","0.0","0.0","0.0","25.52","50.6","214.58","107.29","189.06","163.98","0.0","","","","","","",""
"2015.0","6.0","29.0","180.0","341.0","0.13","0.85","0.0","7.45","0.85","6.33","0.0","0.0","0.0","0.0","31.85","50.6","214.58","107.29","182.73","163.98","0.0","","","","","","",""
"2015.0","6.0","30.0","181.0","341.0","0.13","0.85","0.0","7.57","0.85","6.43","0.0","0.0","0.0","0.0","38.28","50.6","214.58","107.29","176.3","163.98","0.0","","","","","","",""
"2015.0","7.0","1.0","182.0","341.0","0.13","0.85","0.0","7.43","0.85","6.32","0.0","0.0","0.0","0.0","44.6","50.6","214.58","107.29","169.98","163.98","0.0","","","","","","",""
"2015.0","7.0","2.0","183.0","341.0","0.13","0.85","0.0","6.96","0.85","5.92","0.0","0.0","0.0","0.0","50.52","50.6","214.58","107.29","164.06","163.98","0.0","","","","","","",""
"2015.0","7.0","3.0","184.0","341.0","0.13","0.85","0.0","7.37","0.85","6.26","0.0","0.0","0.0","0.0","0.0","50.6","214.58","107.29","214.58","163.98","56.78","","","","","","",""
