" Daily soil water balance output for Alfalfa in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Alfalfa in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"2015.0","2.0","11.0","42.0","7857.0","1.15","0.9","0.0","1.61","1.15","1.85","0.0","0.0","0.0","0.0","8.52","124.14","536.45","268.22","527.93","412.31","0.0","","","","","","",""
"2015.0","2.0","12.0","43.0","7857.0","1.02","0.9","0.0","1.97","1.02","2.02","0.0","0.0","0.0","0.0","10.54","124.14","536.45","268.22","525.91","412.31","0.0","","","","","","",""
"2015.0","2.0","13.0","44.0","7857.0","0.91","0.9","0.0","2.0","0.91","1.81","0.0","0.0","0.0","0.0","12.35","124.14","536.45","268.22","524.1","412.31","0.0","","","","","","",""
"2015.0","2.0","14.0","45.0","7857.0","0.82","0.9","0.0","2.16","0.9","1.94","0.0","0.0","0.0","0.0","14.3","124.14","536.45","268.22","522.15","412.31","0.0","","","","","","",""
"2015.0","2.0","15.0","46.0","7857.0","0.75","0.9","0.0","2.09","0.9","1.88","0.0","0.0","0.0","0.0","16.18","124.14","536.45","268.22","520.27","412.31","0.0","","","","","","",""
"2015.0","2.0","16.0","47.0","7857.0","0.7","0.9","0.0","2.19","0.9","1.97","0.0","0.0","0.0","0.0","18.15","124.14","536.45","268.22","518.3","412.31","0.0","","","","","","",""
"2015.0","2.0","17.0","48.0","7857.0","0.66","0.9","0.0","1.85","0.9","1.67","0.0","0.0","0.0","0.0","19.81","124.14","536.45","268.22","516.64","412.31","0.0","","","","","","",""
"2015.0","2.0","18.0","49.0","7857.0","0.63","0.9","0.0","1.58","0.9","1.42","0.0","0.0","0.0","0.0","21.23","124.14","536.45","268.22","515.21","412.31","0.0","","","","","","",""
"2015.0","2.0","19.0","50.0","7857.0","0.62","0.9","0.0","1.04","0.9","0.94","0.0","0.0","0.0","0.0","22.17","124.14","536.45","268.22","514.28","412.31","0.0","","","","","","",""
"2015.0","2.0","20.0","51.0","7857.0","0.59","0.9","0.0","2.0","0.9","1.8","0.0","0.0","0.0","0.0","23.97","124.14","536.45","268.22","512.48","412.31","0.0","","","","","","",""
"2015.0","2.0","21.0","52.0","7857.0","0.57","0.9","0.0","1.73","0.9","1.56","0.0","0.0","0.0","0.0","25.53","124.14","536.45","268.22","510.92","412.31","0.0","","","","","","",""
"2015.0","2.0","22.0","53.0","7857.0","0.53","0.9","0.0","3.63","0.9","3.27","0.0","0.0","0.0","0.0","28.79","124.14","536.45","268.22","507.65","412.31","0.0","","","","","","",""
"2015.0","2.0","23.0","54.0","7857.0","0.49","0.9","0.0","4.25","0.9","3.83","0.0","0.0","0.0","0.0","32.62","124.14","536.45","268.22","503.83","412.31","0.0","","","","","","",""
"2015.0","2.0","24.0","55.0","7857.0","0.47","0.9","0.0","2.81","0.9","2.53","0.0","0.0","0.0","0.0","35.15","124.14","536.45","268.22","501.3","412.31","0.0","","","","","","",""
"2015.0","2.0","25.0","56.0","7857.0","0.46","0.9","0.0","2.18","0.9","1.96","0.0","0.0","0.0","0.0","37.11","124.14","536.45","268.22","499.34","412.31","0.0","","","","","","",""
"2015.0","2.0","26.0","57.0","7857.0","0.44","0.9","0.0","3.03","0.9","2.73","0.0","0.0","0.0","0.0","39.84","124.14","536.45","268.22","496.61","412.31","0.0","","","","","","",""
"2015.0","2.0","27.0","58.0","7857.0","0.42","0.9","0.0","2.87","0.9","2.58","0.0","0.0","0.0","0.0","42.42","124.14","536.45","268.22","494.03","412.31","0.0","","","","","","",""
"2015.0","2.0","28.0","59.0","7857.0","0.41","0.9","0.0","2.01","0.9","1.81","0.0","0.0","0.0","0.0","44.23","124.14","536.45","268.22","492.22","412.31","0.0","","","","","","",""
"2015.0","3.0","1.0","60.0","7857.0","0.4","0.9","0.0","2.65","0.9","2.39","0.0","0.0","0.0","0.0","46.61","124.14","536.45","268.22","489.83","412.31","0.0","","","","","","",""
"2015.0","3.0","2.0","61.0","7857.0","0.39","0.9","0.0","2.24","0.9","2.02","0.0","0.0","0.0","0.0","48.63","124.14","536.45","268.22","487.82","412.31","0.0","","","","","","",""
"2015.0","3.0","3.0","62.0","7857.0","1.12","0.9","0.0","2.55","1.12","2.85","3.36","3.36","0.0","0.0","48.12","124.14","536.45","268.22","488.33","412.31","0.0","","","","","","",""
"2015.0","3.0","4.0","63.0","7857.0","1.12","0.9","0.0","2.6","1.12","2.9","0.0","0.0","0.0","0.0","51.03","124.14","536.45","268.22","485.42","412.31","0.0","","","","","","",""
"2015.0","3.0","5.0","64.0","7857.0","0.97","0.9","0.0","2.79","0.97","2.72","0.0","0.0","0.0","0.0","53.74","124.14","536.45","268.22","482.71","412.31","0.0","","","","","","",""
"2015.0","3.0","6.0","65.0","7857.0","0.83","0.9","0.0","2.99","0.9","2.69","0.0","0.0","0.0","0.0","56.43","124.14","536.45","268.22","480.01","412.31","0.0","","","","","","",""
"2015.0","3.0","7.0","66.0","7857.0","0.74","0.9","0.0","2.81","0.9","2.53","0.0","0.0","0.0","0.0","58.96","124.14","536.45","268.22","477.49","412.31","0.0","","","","","","",""
"2015.0","3.0","8.0","67.0","7857.0","0.67","0.9","0.0","2.94","0.9","2.65","0.0","0.0","0.0","0.0","61.61","124.14","536.45","268.22","474.84","412.31","0.0","","","","","","",""
"2015.0","3.0","9.0","68.0","7857.0","0.62","0.9","0.0","2.98","0.9","2.68","0.0","0.0","0.0","0.0","64.29","124.14","536.45","268.22","472.16","412.31","0.0","","","","","","",""
"2015.0","3.0","10.0","69.0","7857.0","0.58","0.9","0.0","2.3","0.9","2.07","0.0","0.0","0.0","0.0","66.36","124.14","536.45","268.22","470.09","412.31","0.0","","","","","","",""
"2015.0","3.0","11.0","70.0","7857.0","0.56","0.9","0.0","2.11","0.9","1.9","0.83","0.83","0.0","0.0","67.43","124.14","536.45","268.22","469.02","412.31","0.0","","","","","","",""
"2015.0","3.0","12.0","71.0","7857.0","1.08","0.9","0.0","3.41","1.08","3.7","4.58","4.58","0.0","0.0","66.55","124.14","536.45","268.22","469.9","412.31","0.0","","","","","","",""
"2015.0","3.0","13.0","72.0","7857.0","1.07","0.9","0.0","3.03","1.07","3.24","0.0","0.0","0.0","0.0","69.79","124.14","536.45","268.22","466.66","412.31","0.0","","","","","","",""
"2015.0","3.0","14.0","73.0","7857.0","0.87","0.9","0.0","3.23","0.9","2.91","0.0","0.0","0.0","0.0","72.69","124.14","536.45","268.22","463.75","412.31","0.0","","","","","","",""
"2015.0","3.0","15.0","74.0","7857.0","0.74","0.9","0.0","3.74","0.9","3.37","0.0","0.0","0.0","0.0","76.06","124.14","536.45","268.22","460.39","412.31","0.0","","","","","","",""
"2015.0","3.0","16.0","75.0","7857.0","0.68","0.9","0.0","2.43","0.9","2.19","0.0","0.0","0.0","0.0","78.25","124.14","536.45","268.22","458.2","412.31","0.0","","","","","","",""
"2015.0","3.0","17.0","76.0","7857.0","0.62","0.9","0.0","3.53","0.9","3.18","0.0","0.0","0.0","0.0","81.42","124.14","536.45","268.22","455.02","412.31","0.0","","","","","","",""
"2015.0","3.0","18.0","77.0","7857.0","0.56","0.9","0.0","3.85","0.9","3.47","0.01","0.01","0.0","0.0","84.88","124.14","536.45","268.22","451.57","412.31","0.0","","","","","","",""
"2015.0","3.0","19.0","78.0","7857.0","0.52","0.9","0.0","3.88","0.9","3.49","0.0","0.0","0.0","0.0","88.37","124.14","536.45","268.22","448.08","412.31","0.0","","","","","","",""
"2015.0","3.0","20.0","79.0","7857.0","0.49","0.9","0.0","3.07","0.9","2.76","0.0","0.0","0.0","0.0","91.13","124.14","536.45","268.22","445.31","412.31","0.0","","","","","","",""
"2015.0","3.0","21.0","80.0","7857.0","0.47","0.9","0.0","3.6","0.9","3.24","0.0","0.0","0.0","0.0","94.37","124.14","536.45","268.22","442.07","412.31","0.0","","","","","","",""
"2015.0","3.0","22.0","81.0","7857.0","0.44","0.9","0.0","3.31","0.9","2.98","0.0","0.0","0.0","0.0","97.35","124.14","536.45","268.22","439.09","412.31","0.0","","","","","","",""
"2015.0","3.0","23.0","82.0","7857.0","0.43","0.9","0.0","3.28","0.9","2.95","0.11","0.11","0.0","0.0","100.2","124.14","536.45","268.22","436.25","412.31","0.0","","","","","","",""
"2015.0","3.0","24.0","83.0","7857.0","0.41","0.9","0.0","3.19","0.9","2.87","0.0","0.0","0.0","0.0","103.07","124.14","536.45","268.22","433.38","412.31","0.0","","","","","","",""
"2015.0","3.0","25.0","84.0","7857.0","0.39","0.9","0.0","4.18","0.9","3.76","0.0","0.0","0.0","0.0","106.83","124.14","536.45","268.22","429.62","412.31","0.0","","","","","","",""
"2015.0","3.0","26.0","85.0","7857.0","0.38","0.9","0.0","3.88","0.9","3.49","0.0","0.0","0.0","0.0","110.32","124.14","536.45","268.22","426.13","412.31","0.0","","","","","","",""
"2015.0","3.0","27.0","86.0","7857.0","0.36","0.9","0.0","4.4","0.9","3.96","0.0","0.0","0.0","0.0","114.28","124.14","536.45","268.22","422.17","412.31","0.0","","","","","","",""
"2015.0","3.0","28.0","87.0","7857.0","0.35","0.9","0.0","4.93","0.9","4.44","0.0","0.0","0.0","0.0","118.72","124.14","536.45","268.22","417.73","412.31","0.0","","","","","","",""
"2015.0","3.0","29.0","88.0","7857.0","0.33","0.9","0.0","4.71","0.9","4.24","0.0","0.0","0.0","0.0","122.96","124.14","536.45","268.22","413.49","412.31","0.0","","","","","","",""
"2015.0","3.0","30.0","89.0","7857.0","0.32","0.9","0.0","4.49","0.9","4.04","0.0","0.0","0.0","0.0","0.0","124.14","536.45","268.22","536.45","412.31","127.0","","","","","","",""
"2015.0","3.0","31.0","90.0","7857.0","0.31","0.9","0.0","4.65","0.9","4.19","0.0","0.0","0.0","0.0","4.19","124.14","536.45","268.22","532.26","412.31","0.0","","","","","","",""
"2015.0","4.0","1.0","91.0","7857.0","0.3","0.9","0.0","4.22","0.9","3.8","0.0","0.0","0.0","0.0","7.98","124.14","536.45","268.22","528.47","412.31","0.0","","","","","","",""
"2015.0","4.0","2.0","92.0","7857.0","0.29","0.9","0.0","5.54","0.9","4.99","0.0","0.0","0.0","0.0","12.97","124.14","536.45","268.22","523.48","412.31","0.0","","","","","","",""
"2015.0","4.0","3.0","93.0","7857.0","0.28","0.9","0.0","4.6","0.9","4.14","0.0","0.0","0.0","0.0","17.11","124.14","536.45","268.22","519.34","412.31","0.0","","","","","","",""
"2015.0","4.0","4.0","94.0","7857.0","0.28","0.9","0.0","4.48","0.9","4.03","0.0","0.0","0.0","0.0","21.14","124.14","536.45","268.22","515.31","412.31","0.0","","","","","","",""
"2015.0","4.0","5.0","95.0","7857.0","0.27","0.9","0.0","2.56","0.9","2.3","0.0","0.0","0.0","0.0","23.45","124.14","536.45","268.22","513.0","412.31","0.0","","","","","","",""
"2015.0","4.0","6.0","96.0","7857.0","0.27","0.9","0.0","2.92","0.9","2.63","0.96","0.96","0.0","0.0","25.11","124.14","536.45","268.22","511.34","412.31","0.0","","","","","","",""
"2015.0","4.0","7.0","97.0","7857.0","1.12","0.9","0.0","2.53","1.12","2.83","4.05","4.05","0.0","0.0","23.89","124.14","536.45","268.22","512.55","412.31","0.0","","","","","","",""
"2015.0","4.0","8.0","98.0","7857.0","1.1","0.9","0.0","2.94","1.1","3.24","14.39","14.39","0.0","0.0","12.74","124.14","536.45","268.22","523.7","412.31","0.0","","","","","","",""
"2015.0","4.0","9.0","99.0","7857.0","1.07","0.9","0.0","3.48","1.07","3.73","0.0","0.0","0.0","0.0","16.48","124.14","536.45","268.22","519.97","412.31","0.0","","","","","","",""
"2015.0","4.0","10.0","100.0","7857.0","0.83","0.9","0.0","4.1","0.9","3.69","0.0","0.0","0.0","0.0","20.17","124.14","536.45","268.22","516.28","412.31","0.0","","","","","","",""
"2015.0","4.0","11.0","101.0","7857.0","0.7","0.9","0.0","4.26","0.9","3.83","0.0","0.0","0.0","0.0","24.0","124.14","536.45","268.22","512.45","412.31","0.0","","","","","","",""
"2015.0","4.0","12.0","102.0","7857.0","0.6","0.9","0.0","4.91","0.9","4.42","0.0","0.0","0.0","0.0","28.42","124.14","536.45","268.22","508.03","412.31","0.0","","","","","","",""
"2015.0","4.0","13.0","103.0","7857.0","0.54","0.9","0.0","4.91","0.9","4.42","0.0","0.0","0.0","0.0","32.84","124.14","536.45","268.22","503.61","412.31","0.0","","","","","","",""
"2015.0","4.0","14.0","104.0","7857.0","0.49","0.9","0.0","4.87","0.9","4.38","0.0","0.0","0.0","0.0","37.22","124.14","536.45","268.22","499.23","412.31","0.0","","","","","","",""
"2015.0","4.0","15.0","105.0","7857.0","0.44","0.9","0.0","6.58","0.9","5.92","0.0","0.0","0.0","0.0","43.14","124.14","536.45","268.22","493.31","412.31","0.0","","","","","","",""
"2015.0","4.0","16.0","106.0","7857.0","0.41","0.9","0.0","6.06","0.9","5.45","0.0","0.0","0.0","0.0","48.6","124.14","536.45","268.22","487.85","412.31","0.0","","","","","","",""
"2015.0","4.0","17.0","107.0","7857.0","0.38","0.9","0.0","5.29","0.9","4.76","0.0","0.0","0.0","0.0","53.36","124.14","536.45","268.22","483.09","412.31","0.0","","","","","","",""
"2015.0","4.0","18.0","108.0","7857.0","0.36","0.9","0.0","4.95","0.9","4.46","0.0","0.0","0.0","0.0","57.81","124.14","536.45","268.22","478.64","412.31","0.0","","","","","","",""
"2015.0","4.0","19.0","109.0","7857.0","0.35","0.9","0.0","5.18","0.9","4.66","0.0","0.0","0.0","0.0","62.47","124.14","536.45","268.22","473.97","412.31","0.0","","","","","","",""
"2015.0","4.0","20.0","110.0","7857.0","0.33","0.9","0.0","4.74","0.9","4.27","0.0","0.0","0.0","0.0","66.74","124.14","536.45","268.22","469.71","412.31","0.0","","","","","","",""
"2015.0","4.0","21.0","111.0","7857.0","0.32","0.9","0.0","3.79","0.9","3.41","0.0","0.0","0.0","0.0","70.15","124.14","536.45","268.22","466.3","412.31","0.0","","","","","","",""
"2015.0","4.0","22.0","112.0","7857.0","0.32","0.9","0.0","4.2","0.9","3.78","0.0","0.0","0.0","0.0","73.93","124.14","536.45","268.22","462.52","412.31","0.0","","","","","","",""
"2015.0","4.0","23.0","113.0","7857.0","0.31","0.9","0.0","4.75","0.9","4.28","0.0","0.0","0.0","0.0","78.21","124.14","536.45","268.22","458.24","412.31","0.0","","","","","","",""
"2015.0","4.0","24.0","114.0","7857.0","0.3","0.9","0.0","4.96","0.9","4.46","0.0","0.0","0.0","0.0","82.67","124.14","536.45","268.22","453.78","412.31","0.0","","","","","","",""
"2015.0","4.0","25.0","115.0","7857.0","1.06","0.9","0.0","3.96","1.06","4.2","11.93","11.93","0.0","0.0","74.94","124.14","536.45","268.22","461.5","412.31","0.0","","","","","","",""
"2015.0","4.0","26.0","116.0","7857.0","0.88","0.9","0.0","5.11","0.9","4.6","0.0","0.0","0.0","0.0","79.54","124.14","536.45","268.22","456.9","412.31","0.0","","","","","","",""
"2015.0","4.0","27.0","117.0","7857.0","0.67","0.9","0.0","6.12","0.9","5.51","0.0","0.0","0.0","0.0","85.05","124.14","536.45","268.22","451.4","412.31","0.0","","","","","","",""
"2015.0","4.0","28.0","118.0","7857.0","0.58","0.9","0.0","5.51","0.9","4.96","0.0","0.0","0.0","0.0","90.01","124.14","536.45","268.22","446.44","412.31","0.0","","","","","","",""
"2015.0","4.0","29.0","119.0","7857.0","0.51","0.9","0.0","5.26","0.9","4.73","0.0","0.0","0.0","0.0","94.74","124.14","536.45","268.22","441.7","412.31","0.0","","","","","","",""
"2015.0","4.0","30.0","120.0","7857.0","0.46","0.9","0.0","6.47","0.9","5.82","0.0","0.0","0.0","0.0","100.57","124.14","536.45","268.22","435.88","412.31","0.0","","","","","","",""
"2015.0","5.0","1.0","121.0","7857.0","0.42","0.9","0.0","6.45","0.9","5.81","0.0","0.0","0.0","0.0","106.37","124.14","536.45","268.22","430.08","412.31","0.0","","","","","","",""
"2015.0","5.0","2.0","122.0","7857.0","0.39","0.9","0.0","5.94","0.9","5.35","0.0","0.0","0.0","0.0","111.72","124.14","536.45","268.22","424.73","412.31","0.0","","","","","","",""
"2015.0","5.0","3.0","123.0","7857.0","0.37","0.9","0.0","5.17","0.9","4.65","0.0","0.0","0.0","0.0","116.37","124.14","536.45","268.22","420.08","412.31","0.0","","","","","","",""
"2015.0","5.0","4.0","124.0","7857.0","0.35","0.9","0.0","4.74","0.9","4.27","0.0","0.0","0.0","0.0","120.64","124.14","536.45","268.22","415.81","412.31","0.0","","","","","","",""
"2015.0","5.0","5.0","125.0","7857.0","0.34","0.9","0.0","4.79","0.9","4.31","0.0","0.0","0.0","0.0","0.0","124.14","536.45","268.22","536.45","412.31","124.95","","","","","","",""
"2015.0","5.0","6.0","126.0","7857.0","0.32","0.9","0.0","5.2","0.9","4.68","0.0","0.0","0.0","0.0","4.68","124.14","536.45","268.22","531.77","412.31","0.0","","","","","","",""
"2015.0","5.0","7.0","127.0","7857.0","0.32","0.9","0.0","3.82","0.9","3.44","0.5","0.5","0.0","0.0","7.62","124.14","536.45","268.22","528.83","412.31","0.0","","","","","","",""
"2015.0","5.0","8.0","128.0","7857.0","0.31","0.9","0.0","4.45","0.9","4.01","0.01","0.01","0.0","0.0","11.61","124.14","536.45","268.22","524.84","412.31","0.0","","","","","","",""
"2015.0","5.0","9.0","129.0","7857.0","0.3","0.9","0.0","4.99","0.9","4.49","0.0","0.0","0.0","0.0","16.1","124.14","536.45","268.22","520.34","412.31","0.0","","","","","","",""
"2015.0","5.0","10.0","130.0","7857.0","0.29","0.9","0.0","5.12","0.9","4.61","0.0","0.0","0.0","0.0","20.71","124.14","536.45","268.22","515.74","412.31","0.0","","","","","","",""
"2015.0","5.0","11.0","131.0","7857.0","0.28","0.9","0.0","5.11","0.9","4.6","0.0","0.0","0.0","0.0","25.31","124.14","536.45","268.22","511.14","412.31","0.0","","","","","","",""
"2015.0","5.0","12.0","132.0","7857.0","0.27","0.9","0.0","5.01","0.9","4.51","0.0","0.0","0.0","0.0","29.82","124.14","536.45","268.22","506.63","412.31","0.0","","","","","","",""
"2015.0","5.0","13.0","133.0","7857.0","0.26","0.9","0.0","4.72","0.9","4.25","0.0","0.0","0.0","0.0","34.07","124.14","536.45","268.22","502.38","412.31","0.0","","","","","","",""
"2015.0","5.0","14.0","134.0","7857.0","0.26","0.9","0.0","3.63","0.9","3.27","0.0","0.0","0.0","0.0","37.34","124.14","536.45","268.22","499.11","412.31","0.0","","","","","","",""
"2015.0","5.0","15.0","135.0","7857.0","0.25","0.9","0.0","4.7","0.9","4.23","0.06","0.06","0.0","0.0","41.51","124.14","536.45","268.22","494.94","412.31","0.0","","","","","","",""
"2015.0","5.0","16.0","136.0","7857.0","0.25","0.9","0.0","4.79","0.9","4.31","0.0","0.0","0.0","0.0","45.82","124.14","536.45","268.22","490.63","412.31","0.0","","","","","","",""
"2015.0","5.0","17.0","137.0","7857.0","0.24","0.9","0.0","3.87","0.9","3.48","0.0","0.0","0.0","0.0","49.3","124.14","536.45","268.22","487.15","412.31","0.0","","","","","","",""
"2015.0","5.0","18.0","138.0","7857.0","0.24","0.9","0.0","4.77","0.9","4.29","0.0","0.0","0.0","0.0","53.59","124.14","536.45","268.22","482.86","412.31","0.0","","","","","","",""
"2015.0","5.0","19.0","139.0","7857.0","0.24","0.9","0.0","4.98","0.9","4.48","0.0","0.0","0.0","0.0","58.07","124.14","536.45","268.22","478.37","412.31","0.0","","","","","","",""
"2015.0","5.0","20.0","140.0","7857.0","0.23","0.9","0.0","4.89","0.9","4.4","0.0","0.0","0.0","0.0","62.48","124.14","536.45","268.22","473.97","412.31","0.0","","","","","","",""
"2015.0","5.0","21.0","141.0","7857.0","0.23","0.9","0.0","4.59","0.9","4.13","0.0","0.0","0.0","0.0","66.61","124.14","536.45","268.22","469.84","412.31","0.0","","","","","","",""
"2015.0","5.0","22.0","142.0","7857.0","0.22","0.9","0.0","4.9","0.9","4.41","0.0","0.0","0.0","0.0","71.02","124.14","536.45","268.22","465.43","412.31","0.0","","","","","","",""
"2015.0","5.0","23.0","143.0","7857.0","0.22","0.9","0.0","4.73","0.9","4.26","0.0","0.0","0.0","0.0","75.27","124.14","536.45","268.22","461.18","412.31","0.0","","","","","","",""
"2015.0","5.0","24.0","144.0","7857.0","0.21","0.9","0.0","5.57","0.9","5.01","0.0","0.0","0.0","0.0","80.29","124.14","536.45","268.22","456.16","412.31","0.0","","","","","","",""
"2015.0","5.0","25.0","145.0","7857.0","0.21","0.9","0.0","5.38","0.9","4.84","0.0","0.0","0.0","0.0","85.13","124.14","536.45","268.22","451.32","412.31","0.0","","","","","","",""
"2015.0","5.0","26.0","146.0","7857.0","0.21","0.9","0.0","5.42","0.9","4.88","0.0","0.0","0.0","0.0","90.01","124.14","536.45","268.22","446.44","412.31","0.0","","","","","","",""
"2015.0","5.0","27.0","147.0","7857.0","0.2","0.9","0.0","5.47","0.9","4.92","0.0","0.0","0.0","0.0","94.93","124.14","536.45","268.22","441.52","412.31","0.0","","","","","","",""
"2015.0","5.0","28.0","148.0","7857.0","0.2","0.9","0.0","5.36","0.9","4.82","0.0","0.0","0.0","0.0","99.75","124.14","536.45","268.22","436.7","412.31","0.0","","","","","","",""
"2015.0","5.0","29.0","149.0","7857.0","0.2","0.9","0.0","5.96","0.9","5.36","0.0","0.0","0.0","0.0","105.12","124.14","536.45","268.22","431.33","412.31","0.0","","","","","","",""
"2015.0","5.0","30.0","150.0","7857.0","0.19","0.9","0.0","6.29","0.9","5.66","0.0","0.0","0.0","0.0","110.78","124.14","536.45","268.22","425.67","412.31","0.0","","","","","","",""
"2015.0","5.0","31.0","151.0","7857.0","0.19","0.9","0.0","5.29","0.9","4.76","0.0","0.0","0.0","0.0","115.54","124.14","536.45","268.22","420.91","412.31","0.0","","","","","","",""
"2015.0","6.0","1.0","152.0","7857.0","0.19","0.9","0.0","5.34","0.9","4.81","0.0","0.0","0.0","0.0","120.35","124.14","536.45","268.22","416.1","412.31","0.0","","","","","","",""
"2015.0","6.0","2.0","153.0","7857.0","0.19","0.9","0.0","5.63","0.9","5.07","0.0","0.0","0.0","0.0","0.0","124.14","536.45","268.22","536.45","412.31","125.41","","","","","","",""
"2015.0","6.0","3.0","154.0","7857.0","0.18","0.9","0.0","5.42","0.9","4.88","0.0","0.0","0.0","0.0","4.88","124.14","536.45","268.22","531.57","412.31","0.0","","","","","","",""
"2015.0","6.0","4.0","155.0","7857.0","0.18","0.9","0.0","5.87","0.9","5.28","0.0","0.0","0.0","0.0","10.16","124.14","536.45","268.22","526.29","412.31","0.0","","","","","","",""
"2015.0","6.0","5.0","156.0","7857.0","0.18","0.9","0.0","6.78","0.9","6.1","0.0","0.0","0.0","0.0","16.26","124.14","536.45","268.22","520.19","412.31","0.0","","","","","","",""
"2015.0","6.0","6.0","157.0","7857.0","0.17","0.9","0.0","6.33","0.9","5.7","0.0","0.0","0.0","0.0","21.96","124.14","536.45","268.22","514.49","412.31","0.0","","","","","","",""
"2015.0","6.0","7.0","158.0","7857.0","0.17","0.9","0.0","6.88","0.9","6.19","0.0","0.0","0.0","0.0","28.15","124.14","536.45","268.22","508.3","412.31","0.0","","","","","","",""
"2015.0","6.0","8.0","159.0","7857.0","0.17","0.9","0.0","7.31","0.9","6.58","0.0","0.0","0.0","0.0","34.73","124.14","536.45","268.22","501.72","412.31","0.0","","","","","","",""
"2015.0","6.0","9.0","160.0","7857.0","0.17","0.9","0.0","6.91","0.9","6.22","0.0","0.0","0.0","0.0","40.95","124.14","536.45","268.22","495.5","412.31","0.0","","","","","","",""
"2015.0","6.0","10.0","161.0","7857.0","0.17","0.9","0.0","2.53","0.9","2.28","0.32","0.32","0.0","0.0","42.91","124.14","536.45","268.22","493.54","412.31","0.0","","","","","","",""
"2015.0","6.0","11.0","162.0","7857.0","0.16","0.9","0.0","7.0","0.9","6.3","1.59","1.59","0.0","0.0","47.62","124.14","536.45","268.22","488.83","412.31","0.0","","","","","","",""
"2015.0","6.0","12.0","163.0","7857.0","0.16","0.9","0.0","7.84","0.9","7.06","0.0","0.0","0.0","0.0","54.67","124.14","536.45","268.22","481.78","412.31","0.0","","","","","","",""
"2015.0","6.0","13.0","164.0","7857.0","0.16","0.9","0.0","7.39","0.9","6.65","0.0","0.0","0.0","0.0","61.32","124.14","536.45","268.22","475.12","412.31","0.0","","","","","","",""
"2015.0","6.0","14.0","165.0","7857.0","0.16","0.9","0.0","6.62","0.9","5.96","0.0","0.0","0.0","0.0","67.28","124.14","536.45","268.22","469.17","412.31","0.0","","","","","","",""
"2015.0","6.0","15.0","166.0","7857.0","0.15","0.9","0.0","6.43","0.9","5.79","0.0","0.0","0.0","0.0","73.07","124.14","536.45","268.22","463.38","412.31","0.0","","","","","","",""
"2015.0","6.0","16.0","167.0","7857.0","0.15","0.9","0.0","6.82","0.9","6.14","0.02","0.02","0.0","0.0","79.19","124.14","536.45","268.22","457.26","412.31","0.0","","","","","","",""
"2015.0","6.0","17.0","168.0","7857.0","0.15","0.9","0.0","6.84","0.9","6.16","0.0","0.0","0.0","0.0","85.34","124.14","536.45","268.22","451.11","412.31","0.0","","","","","","",""
"2015.0","6.0","18.0","169.0","7857.0","0.15","0.9","0.0","7.46","0.9","6.71","0.0","0.0","0.0","0.0","92.06","124.14","536.45","268.22","444.39","412.31","0.0","","","","","","",""
"2015.0","6.0","19.0","170.0","7857.0","0.15","0.9","0.0","7.3","0.9","6.57","0.0","0.0","0.0","0.0","98.63","124.14","536.45","268.22","437.82","412.31","0.0","","","","","","",""
"2015.0","6.0","20.0","171.0","7857.0","0.15","0.9","0.0","6.95","0.9","6.26","0.0","0.0","0.0","0.0","104.88","124.14","536.45","268.22","431.57","412.31","0.0","","","","","","",""
"2015.0","6.0","21.0","172.0","7857.0","0.14","0.9","0.0","7.44","0.9","6.7","0.0","0.0","0.0","0.0","111.58","124.14","536.45","268.22","424.87","412.31","0.0","","","","","","",""
"2015.0","6.0","22.0","173.0","7857.0","0.14","0.9","0.0","6.8","0.9","6.12","0.0","0.0","0.0","0.0","117.7","124.14","536.45","268.22","418.75","412.31","0.0","","","","","","",""
"2015.0","6.0","23.0","174.0","7857.0","0.14","0.9","0.0","7.3","0.9","6.57","0.0","0.0","0.0","0.0","0.0","124.14","536.45","268.22","536.45","412.31","124.27","","","","","","",""
"2015.0","6.0","24.0","175.0","7857.0","0.14","0.9","0.0","7.32","0.9","6.59","0.0","0.0","0.0","0.0","6.59","124.14","536.45","268.22","529.86","412.31","0.0","","","","","","",""
"2015.0","6.0","25.0","176.0","7857.0","0.14","0.9","0.0","7.89","0.9","7.1","0.0","0.0","0.0","0.0","13.69","124.14","536.45","268.22","522.76","412.31","0.0","","","","","","",""
"2015.0","6.0","26.0","177.0","7857.0","0.14","0.9","0.0","8.25","0.9","7.43","0.0","0.0","0.0","0.0","21.11","124.14","536.45","268.22","515.33","412.31","0.0","","","","","","",""
"2015.0","6.0","27.0","178.0","7857.0","0.13","0.9","0.0","6.73","0.9","6.06","0.0","0.0","0.0","0.0","27.17","124.14","536.45","268.22","509.28","412.31","0.0","","","","","","",""
"2015.0","6.0","28.0","179.0","7857.0","0.13","0.9","0.0","7.15","0.9","6.44","0.0","0.0","0.0","0.0","33.61","124.14","536.45","268.22","502.84","412.31","0.0","","","","","","",""
"2015.0","6.0","29.0","180.0","7857.0","0.13","0.9","0.0","7.45","0.9","6.71","0.0","0.0","0.0","0.0","40.31","124.14","536.45","268.22","496.14","412.31","0.0","","","","","","",""
"2015.0","6.0","30.0","181.0","7857.0","0.13","0.9","0.0","7.57","0.9","6.81","0.0","0.0","0.0","0.0","47.12","124.14","536.45","268.22","489.32","412.31","0.0","","","","","","",""
