" Daily soil water balance output for Olives in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Olives in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"2015.0","2.0","13.0","44.0","63.0","0.91","0.7","0.0","2.03","0.91","1.84","0.0","0.0","0.0","0.0","7.61","115.49","548.64","274.32","541.03","433.15","0.0","","","","","","",""
"2015.0","2.0","14.0","45.0","63.0","0.82","0.7","0.0","2.18","0.82","1.78","0.0","0.0","0.0","0.0","9.39","115.49","548.64","274.32","539.25","433.15","0.0","","","","","","",""
"2015.0","2.0","15.0","46.0","63.0","0.75","0.7","0.0","2.09","0.75","1.57","0.0","0.0","0.0","0.0","10.96","115.49","548.64","274.32","537.68","433.15","0.0","","","","","","",""
"2015.0","2.0","16.0","47.0","63.0","0.7","0.7","0.0","2.24","0.7","1.57","0.0","0.0","0.0","0.0","12.53","115.49","548.64","274.32","536.11","433.15","0.0","","","","","","",""
"2015.0","2.0","17.0","48.0","63.0","0.66","0.7","0.0","1.94","0.7","1.36","0.0","0.0","0.0","0.0","13.89","115.49","548.64","274.32","534.75","433.15","0.0","","","","","","",""
"2015.0","2.0","18.0","49.0","63.0","0.63","0.7","0.0","1.5","0.7","1.05","0.0","0.0","0.0","0.0","14.94","115.49","548.64","274.32","533.7","433.15","0.0","","","","","","",""
"2015.0","2.0","19.0","50.0","63.0","0.62","0.7","0.0","1.08","0.7","0.76","0.0","0.0","0.0","0.0","15.69","115.49","548.64","274.32","532.95","433.15","0.0","","","","","","",""
"2015.0","2.0","20.0","51.0","63.0","0.59","0.7","0.0","1.97","0.7","1.38","0.0","0.0","0.0","0.0","17.07","115.49","548.64","274.32","531.57","433.15","0.0","","","","","","",""
"2015.0","2.0","21.0","52.0","63.0","0.57","0.7","0.0","1.62","0.7","1.13","0.0","0.0","0.0","0.0","18.21","115.49","548.64","274.32","530.43","433.15","0.0","","","","","","",""
"2015.0","2.0","22.0","53.0","63.0","0.53","0.7","0.0","3.74","0.7","2.62","0.0","0.0","0.0","0.0","20.83","115.49","548.64","274.32","527.81","433.15","0.0","","","","","","",""
"2015.0","2.0","23.0","54.0","63.0","0.49","0.7","0.0","4.35","0.7","3.05","0.0","0.0","0.0","0.0","23.87","115.49","548.64","274.32","524.77","433.15","0.0","","","","","","",""
"2015.0","2.0","24.0","55.0","63.0","0.47","0.7","0.0","2.85","0.7","2.0","0.0","0.0","0.0","0.0","25.87","115.49","548.64","274.32","522.77","433.15","0.0","","","","","","",""
"2015.0","2.0","25.0","56.0","63.0","0.45","0.7","0.0","2.19","0.7","1.53","0.0","0.0","0.0","0.0","27.4","115.49","548.64","274.32","521.24","433.15","0.0","","","","","","",""
"2015.0","2.0","26.0","57.0","63.0","0.44","0.7","0.0","3.07","0.7","2.15","0.0","0.0","0.0","0.0","29.55","115.49","548.64","274.32","519.09","433.15","0.0","","","","","","",""
"2015.0","2.0","27.0","58.0","63.0","0.42","0.7","0.0","2.77","0.7","1.94","0.0","0.0","0.0","0.0","31.49","115.49","548.64","274.32","517.15","433.15","0.0","","","","","","",""
"2015.0","2.0","28.0","59.0","63.0","0.41","0.7","0.0","1.93","0.7","1.35","0.0","0.0","0.0","0.0","32.84","115.49","548.64","274.32","515.8","433.15","0.0","","","","","","",""
"2015.0","3.0","1.0","60.0","63.0","0.4","0.7","0.0","2.68","0.7","1.88","0.0","0.0","0.0","0.0","34.71","115.49","548.64","274.32","513.93","433.15","0.0","","","","","","",""
"2015.0","3.0","2.0","61.0","63.0","0.39","0.7","0.0","2.33","0.7","1.63","0.0","0.0","0.0","0.0","36.34","115.49","548.64","274.32","512.3","433.15","0.0","","","","","","",""
"2015.0","3.0","3.0","62.0","63.0","0.38","0.7","0.0","2.59","0.7","1.81","1.02","1.02","0.0","0.0","37.14","115.49","548.64","274.32","511.5","433.15","0.0","","","","","","",""
"2015.0","3.0","4.0","63.0","63.0","0.37","0.7","0.0","2.6","0.7","1.82","0.0","0.0","0.0","0.0","38.96","115.49","548.64","274.32","509.68","433.15","0.0","","","","","","",""
"2015.0","3.0","5.0","64.0","63.0","0.36","0.7","0.0","2.79","0.7","1.95","0.0","0.0","0.0","0.0","40.91","115.49","548.64","274.32","507.73","433.15","0.0","","","","","","",""
"2015.0","3.0","6.0","65.0","63.0","0.35","0.7","0.0","3.0","0.7","2.1","0.0","0.0","0.0","0.0","43.01","115.49","548.64","274.32","505.63","433.15","0.0","","","","","","",""
"2015.0","3.0","7.0","66.0","63.0","0.35","0.7","0.0","2.8","0.7","1.96","0.0","0.0","0.0","0.0","44.97","115.49","548.64","274.32","503.67","433.15","0.0","","","","","","",""
"2015.0","3.0","8.0","67.0","63.0","0.34","0.7","0.0","2.98","0.7","2.09","0.0","0.0","0.0","0.0","47.06","115.49","548.64","274.32","501.58","433.15","0.0","","","","","","",""
"2015.0","3.0","9.0","68.0","63.0","0.33","0.7","0.0","3.06","0.7","2.14","0.0","0.0","0.0","0.0","49.2","115.49","548.64","274.32","499.44","433.15","0.0","","","","","","",""
"2015.0","3.0","10.0","69.0","63.0","0.32","0.7","0.0","2.4","0.7","1.68","0.0","0.0","0.0","0.0","50.88","115.49","548.64","274.32","497.76","433.15","0.0","","","","","","",""
"2015.0","3.0","11.0","70.0","63.0","0.32","0.7","0.0","2.11","0.7","1.48","1.32","1.32","0.0","0.0","51.04","115.49","548.64","274.32","497.6","433.15","0.0","","","","","","",""
"2015.0","3.0","12.0","71.0","63.0","1.08","0.7","0.0","3.47","1.08","3.75","3.55","3.55","0.0","0.0","51.24","115.49","548.64","274.32","497.4","433.15","0.0","","","","","","",""
"2015.0","3.0","13.0","72.0","63.0","1.06","0.7","0.0","3.11","1.06","3.29","0.0","0.0","0.0","0.0","54.53","115.49","548.64","274.32","494.11","433.15","0.0","","","","","","",""
"2015.0","3.0","14.0","73.0","63.0","0.86","0.7","0.0","3.29","0.86","2.84","0.0","0.0","0.0","0.0","57.37","115.49","548.64","274.32","491.27","433.15","0.0","","","","","","",""
"2015.0","3.0","15.0","74.0","63.0","0.73","0.7","0.0","3.85","0.73","2.81","0.0","0.0","0.0","0.0","60.18","115.49","548.64","274.32","488.46","433.15","0.0","","","","","","",""
"2015.0","3.0","16.0","75.0","63.0","0.68","0.7","0.0","2.46","0.7","1.72","0.0","0.0","0.0","0.0","61.9","115.49","548.64","274.32","486.74","433.15","0.0","","","","","","",""
"2015.0","3.0","17.0","76.0","63.0","0.61","0.7","0.0","3.49","0.7","2.44","0.0","0.0","0.0","0.0","64.34","115.49","548.64","274.32","484.3","433.15","0.0","","","","","","",""
"2015.0","3.0","18.0","77.0","63.0","0.56","0.7","0.0","3.89","0.7","2.72","0.0","0.0","0.0","0.0","67.07","115.49","548.64","274.32","481.57","433.15","0.0","","","","","","",""
"2015.0","3.0","19.0","78.0","63.0","0.52","0.7","0.0","3.94","0.7","2.76","0.0","0.0","0.0","0.0","69.82","115.49","548.64","274.32","478.82","433.15","0.0","","","","","","",""
"2015.0","3.0","20.0","79.0","63.0","0.49","0.7","0.0","3.11","0.7","2.18","0.0","0.0","0.0","0.0","72.0","115.49","548.64","274.32","476.64","433.15","0.0","","","","","","",""
"2015.0","3.0","21.0","80.0","63.0","0.46","0.7","0.0","3.63","0.7","2.54","0.0","0.0","0.0","0.0","74.54","115.49","548.64","274.32","474.1","433.15","0.0","","","","","","",""
"2015.0","3.0","22.0","81.0","63.0","0.44","0.7","0.0","3.27","0.7","2.29","0.0","0.0","0.0","0.0","76.83","115.49","548.64","274.32","471.81","433.15","0.0","","","","","","",""
"2015.0","3.0","23.0","82.0","63.0","0.42","0.7","0.0","3.28","0.7","2.3","0.25","0.25","0.0","0.0","78.88","115.49","548.64","274.32","469.76","433.15","0.0","","","","","","",""
"2015.0","3.0","24.0","83.0","63.0","0.41","0.7","0.0","3.19","0.7","2.23","0.0","0.0","0.0","0.0","81.11","115.49","548.64","274.32","467.53","433.15","0.0","","","","","","",""
"2015.0","3.0","25.0","84.0","63.0","0.39","0.7","0.0","4.23","0.7","2.96","0.0","0.0","0.0","0.0","84.07","115.49","548.64","274.32","464.57","433.15","0.0","","","","","","",""
"2015.0","3.0","26.0","85.0","63.0","0.37","0.7","0.0","3.92","0.7","2.74","0.0","0.0","0.0","0.0","86.82","115.49","548.64","274.32","461.82","433.15","0.0","","","","","","",""
"2015.0","3.0","27.0","86.0","63.0","0.36","0.7","0.0","4.55","0.7","3.19","0.0","0.0","0.0","0.0","90.0","115.49","548.64","274.32","458.64","433.15","0.0","","","","","","",""
"2015.0","3.0","28.0","87.0","63.0","0.34","0.7","0.0","4.99","0.7","3.49","0.0","0.0","0.0","0.0","93.49","115.49","548.64","274.32","455.15","433.15","0.0","","","","","","",""
"2015.0","3.0","29.0","88.0","63.0","0.33","0.7","0.0","4.76","0.7","3.33","0.0","0.0","0.0","0.0","96.83","115.49","548.64","274.32","451.81","433.15","0.0","","","","","","",""
"2015.0","3.0","30.0","89.0","63.0","0.32","0.7","0.0","4.57","0.7","3.2","0.0","0.0","0.0","0.0","100.02","115.49","548.64","274.32","448.62","433.15","0.0","","","","","","",""
"2015.0","3.0","31.0","90.0","63.0","0.31","0.7","0.0","4.61","0.7","3.23","0.0","0.0","0.0","0.0","103.25","115.49","548.64","274.32","445.39","433.15","0.0","","","","","","",""
"2015.0","4.0","1.0","91.0","63.0","0.3","0.7","0.0","4.22","0.7","2.95","0.0","0.0","0.0","0.0","106.21","115.49","548.64","274.32","442.43","433.15","0.0","","","","","","",""
"2015.0","4.0","2.0","92.0","63.0","0.29","0.7","0.0","5.59","0.7","3.91","0.0","0.0","0.0","0.0","110.12","115.49","548.64","274.32","438.52","433.15","0.0","","","","","","",""
"2015.0","4.0","3.0","93.0","63.0","0.28","0.7","0.0","4.63","0.7","3.24","0.0","0.0","0.0","0.0","113.36","115.49","548.64","274.32","435.28","433.15","0.0","","","","","","",""
"2015.0","4.0","4.0","94.0","63.0","0.28","0.7","0.0","4.53","0.7","3.17","0.0","0.0","0.0","0.0","0.0","115.49","548.64","274.32","548.64","433.15","116.53","","","","","","",""
"2015.0","4.0","5.0","95.0","63.0","0.27","0.7","0.0","2.58","0.7","1.81","0.0","0.0","0.0","0.0","1.81","115.49","548.64","274.32","546.83","433.15","0.0","","","","","","",""
"2015.0","4.0","6.0","96.0","63.0","0.27","0.7","0.0","2.98","0.7","2.09","1.42","1.42","0.0","0.0","2.47","115.49","548.64","274.32","546.17","433.15","0.0","","","","","","",""
"2015.0","4.0","7.0","97.0","63.0","1.12","0.7","0.0","2.41","1.12","2.71","6.49","5.18","0.0","0.0","0.0","115.49","548.64","274.32","548.64","433.15","0.0","","","","","","",""
"2015.0","4.0","8.0","98.0","63.0","1.1","0.7","0.0","2.91","1.1","3.21","13.25","3.21","0.0","0.0","0.0","115.49","548.64","274.32","548.64","433.15","0.0","","","","","","",""
"2015.0","4.0","9.0","99.0","63.0","1.07","0.7","0.0","3.48","1.07","3.74","0.0","0.0","0.0","0.0","3.74","115.49","548.64","274.32","544.9","433.15","0.0","","","","","","",""
"2015.0","4.0","10.0","100.0","63.0","0.83","0.7","0.0","4.13","0.83","3.44","0.0","0.0","0.0","0.0","7.18","115.49","548.64","274.32","541.46","433.15","0.0","","","","","","",""
"2015.0","4.0","11.0","101.0","63.0","0.7","0.7","0.0","4.29","0.7","3.0","0.0","0.0","0.0","0.0","10.18","115.49","548.64","274.32","538.46","433.15","0.0","","","","","","",""
"2015.0","4.0","12.0","102.0","63.0","0.6","0.7","0.0","4.97","0.7","3.48","0.0","0.0","0.0","0.0","13.66","115.49","548.64","274.32","534.98","433.15","0.0","","","","","","",""
"2015.0","4.0","13.0","103.0","63.0","0.53","0.7","0.0","5.12","0.7","3.58","0.0","0.0","0.0","0.0","17.25","115.49","548.64","274.32","531.39","433.15","0.0","","","","","","",""
"2015.0","4.0","14.0","104.0","63.0","0.49","0.7","0.0","4.85","0.7","3.4","0.0","0.0","0.0","0.0","20.64","115.49","548.64","274.32","528.0","433.15","0.0","","","","","","",""
"2015.0","4.0","15.0","105.0","63.0","0.44","0.7","0.0","6.7","0.7","4.69","0.0","0.0","0.0","0.0","25.33","115.49","548.64","274.32","523.31","433.15","0.0","","","","","","",""
"2015.0","4.0","16.0","106.0","63.0","0.4","0.7","0.0","6.12","0.7","4.28","0.0","0.0","0.0","0.0","29.62","115.49","548.64","274.32","519.02","433.15","0.0","","","","","","",""
"2015.0","4.0","17.0","107.0","63.0","0.38","0.7","0.0","5.33","0.7","3.73","0.0","0.0","0.0","0.0","33.35","115.49","548.64","274.32","515.29","433.15","0.0","","","","","","",""
"2015.0","4.0","18.0","108.0","63.0","0.36","0.7","0.0","5.03","0.7","3.52","0.0","0.0","0.0","0.0","36.87","115.49","548.64","274.32","511.77","433.15","0.0","","","","","","",""
"2015.0","4.0","19.0","109.0","63.0","0.34","0.7","0.0","5.36","0.7","3.75","0.0","0.0","0.0","0.0","40.62","115.49","548.64","274.32","508.02","433.15","0.0","","","","","","",""
"2015.0","4.0","20.0","110.0","63.0","0.33","0.7","0.0","4.9","0.7","3.43","0.0","0.0","0.0","0.0","44.05","115.49","548.64","274.32","504.59","433.15","0.0","","","","","","",""
"2015.0","4.0","21.0","111.0","63.0","0.32","0.7","0.0","3.95","0.7","2.77","0.0","0.0","0.0","0.0","46.81","115.49","548.64","274.32","501.83","433.15","0.0","","","","","","",""
"2015.0","4.0","22.0","112.0","63.0","0.31","0.7","0.0","4.22","0.7","2.95","0.0","0.0","0.0","0.0","49.77","115.49","548.64","274.32","498.87","433.15","0.0","","","","","","",""
"2015.0","4.0","23.0","113.0","63.0","0.3","0.7","0.0","4.83","0.7","3.38","0.0","0.0","0.0","0.0","53.15","115.49","548.64","274.32","495.49","433.15","0.0","","","","","","",""
"2015.0","4.0","24.0","114.0","63.0","0.29","0.7","0.0","4.92","0.7","3.44","0.0","0.0","0.0","0.0","56.59","115.49","548.64","274.32","492.05","433.15","0.0","","","","","","",""
"2015.0","4.0","25.0","115.0","63.0","1.06","0.7","0.0","4.12","1.06","4.35","14.13","14.13","0.0","0.0","46.81","115.49","548.64","274.32","501.83","433.15","0.0","","","","","","",""
"2015.0","4.0","26.0","116.0","63.0","0.87","0.7","0.0","5.12","0.87","4.46","0.0","0.0","0.0","0.0","51.27","115.49","548.64","274.32","497.37","433.15","0.0","","","","","","",""
"2015.0","4.0","27.0","117.0","63.0","0.67","0.7","0.0","6.14","0.7","4.3","0.0","0.0","0.0","0.0","55.56","115.49","548.64","274.32","493.08","433.15","0.0","","","","","","",""
"2015.0","4.0","28.0","118.0","63.0","0.57","0.7","0.0","5.67","0.7","3.97","0.0","0.0","0.0","0.0","59.53","115.49","548.64","274.32","489.11","433.15","0.0","","","","","","",""
"2015.0","4.0","29.0","119.0","63.0","0.51","0.7","0.0","5.35","0.7","3.75","0.0","0.0","0.0","0.0","63.28","115.49","548.64","274.32","485.36","433.15","0.0","","","","","","",""
"2015.0","4.0","30.0","120.0","63.0","0.45","0.7","0.0","6.54","0.7","4.58","0.0","0.0","0.0","0.0","67.86","115.49","548.64","274.32","480.78","433.15","0.0","","","","","","",""
"2015.0","5.0","1.0","121.0","63.0","0.41","0.7","0.0","6.55","0.7","4.59","0.0","0.0","0.0","0.0","72.44","115.49","548.64","274.32","476.2","433.15","0.0","","","","","","",""
"2015.0","5.0","2.0","122.0","63.0","0.38","0.7","0.0","6.19","0.7","4.33","0.0","0.0","0.0","0.0","76.77","115.49","548.64","274.32","471.87","433.15","0.0","","","","","","",""
"2015.0","5.0","3.0","123.0","63.0","0.36","0.7","0.0","5.44","0.7","3.81","0.0","0.0","0.0","0.0","80.58","115.49","548.64","274.32","468.06","433.15","0.0","","","","","","",""
"2015.0","5.0","4.0","124.0","63.0","0.35","0.7","0.0","4.95","0.7","3.47","0.0","0.0","0.0","0.0","84.05","115.49","548.64","274.32","464.59","433.15","0.0","","","","","","",""
"2015.0","5.0","5.0","125.0","63.0","0.33","0.7","0.0","4.89","0.7","3.42","0.0","0.0","0.0","0.0","87.47","115.49","548.64","274.32","461.17","433.15","0.0","","","","","","",""
"2015.0","5.0","6.0","126.0","63.0","0.32","0.7","0.0","5.24","0.7","3.67","0.0","0.0","0.0","0.0","91.14","115.49","548.64","274.32","457.5","433.15","0.0","","","","","","",""
"2015.0","5.0","7.0","127.0","63.0","0.31","0.7","0.0","4.2","0.7","2.94","0.45","0.45","0.0","0.0","93.63","115.49","548.64","274.32","455.01","433.15","0.0","","","","","","",""
"2015.0","5.0","8.0","128.0","63.0","0.3","0.7","0.0","4.53","0.7","3.17","0.55","0.55","0.0","0.0","96.25","115.49","548.64","274.32","452.39","433.15","0.0","","","","","","",""
"2015.0","5.0","9.0","129.0","63.0","0.29","0.7","0.0","5.14","0.7","3.6","0.0","0.0","0.0","0.0","99.85","115.49","548.64","274.32","448.79","433.15","0.0","","","","","","",""
"2015.0","5.0","10.0","130.0","63.0","0.28","0.7","0.0","5.31","0.7","3.72","0.0","0.0","0.0","0.0","103.56","115.49","548.64","274.32","445.08","433.15","0.0","","","","","","",""
"2015.0","5.0","11.0","131.0","63.0","0.27","0.7","0.0","5.28","0.7","3.7","0.0","0.0","0.0","0.0","107.26","115.49","548.64","274.32","441.38","433.15","0.0","","","","","","",""
"2015.0","5.0","12.0","132.0","63.0","0.27","0.7","0.0","5.03","0.7","3.52","0.0","0.0","0.0","0.0","110.78","115.49","548.64","274.32","437.86","433.15","0.0","","","","","","",""
"2015.0","5.0","13.0","133.0","63.0","0.26","0.7","0.0","4.79","0.7","3.35","0.0","0.0","0.0","0.0","114.13","115.49","548.64","274.32","434.51","433.15","0.0","","","","","","",""
"2015.0","5.0","14.0","134.0","63.0","0.26","0.7","0.0","3.95","0.7","2.77","0.0","0.0","0.0","0.0","0.0","115.49","548.64","274.32","548.64","433.15","116.9","","","","","","",""
"2015.0","5.0","15.0","135.0","63.0","0.25","0.7","0.0","4.75","0.7","3.33","0.02","0.02","0.0","0.0","3.31","115.49","548.64","274.32","545.34","433.15","0.0","","","","","","",""
"2015.0","5.0","16.0","136.0","63.0","0.24","0.7","0.0","4.87","0.7","3.41","0.0","0.0","0.0","0.0","6.71","115.49","548.64","274.32","541.93","433.15","0.0","","","","","","",""
"2015.0","5.0","17.0","137.0","63.0","0.24","0.7","0.0","4.0","0.7","2.8","0.0","0.0","0.0","0.0","9.51","115.49","548.64","274.32","539.13","433.15","0.0","","","","","","",""
"2015.0","5.0","18.0","138.0","63.0","0.24","0.7","0.0","4.7","0.7","3.29","0.0","0.0","0.0","0.0","12.8","115.49","548.64","274.32","535.84","433.15","0.0","","","","","","",""
"2015.0","5.0","19.0","139.0","63.0","0.23","0.7","0.0","5.07","0.7","3.55","0.0","0.0","0.0","0.0","16.35","115.49","548.64","274.32","532.29","433.15","0.0","","","","","","",""
"2015.0","5.0","20.0","140.0","63.0","0.23","0.7","0.0","5.05","0.7","3.54","0.0","0.0","0.0","0.0","19.89","115.49","548.64","274.32","528.75","433.15","0.0","","","","","","",""
"2015.0","5.0","21.0","141.0","63.0","0.22","0.7","0.0","4.58","0.7","3.21","0.0","0.0","0.0","0.0","23.09","115.49","548.64","274.32","525.55","433.15","0.0","","","","","","",""
"2015.0","5.0","22.0","142.0","63.0","0.22","0.7","0.0","4.94","0.7","3.46","0.0","0.0","0.0","0.0","26.55","115.49","548.64","274.32","522.09","433.15","0.0","","","","","","",""
"2015.0","5.0","23.0","143.0","63.0","0.22","0.7","0.0","4.77","0.7","3.34","0.0","0.0","0.0","0.0","29.89","115.49","548.64","274.32","518.75","433.15","0.0","","","","","","",""
"2015.0","5.0","24.0","144.0","63.0","0.21","0.7","0.0","5.77","0.7","4.04","0.0","0.0","0.0","0.0","33.93","115.49","548.64","274.32","514.71","433.15","0.0","","","","","","",""
"2015.0","5.0","25.0","145.0","63.0","0.21","0.7","0.0","5.58","0.7","3.91","0.0","0.0","0.0","0.0","37.84","115.49","548.64","274.32","510.8","433.15","0.0","","","","","","",""
"2015.0","5.0","26.0","146.0","63.0","0.2","0.7","0.0","5.63","0.7","3.94","0.0","0.0","0.0","0.0","41.78","115.49","548.64","274.32","506.86","433.15","0.0","","","","","","",""
"2015.0","5.0","27.0","147.0","63.0","0.2","0.7","0.0","5.67","0.7","3.97","0.0","0.0","0.0","0.0","45.75","115.49","548.64","274.32","502.89","433.15","0.0","","","","","","",""
"2015.0","5.0","28.0","148.0","63.0","0.2","0.7","0.0","5.48","0.7","3.84","0.0","0.0","0.0","0.0","49.58","115.49","548.64","274.32","499.06","433.15","0.0","","","","","","",""
"2015.0","5.0","29.0","149.0","63.0","0.19","0.7","0.0","6.16","0.7","4.31","0.0","0.0","0.0","0.0","53.89","115.49","548.64","274.32","494.75","433.15","0.0","","","","","","",""
"2015.0","5.0","30.0","150.0","63.0","0.19","0.7","0.0","6.49","0.7","4.54","0.0","0.0","0.0","0.0","58.44","115.49","548.64","274.32","490.2","433.15","0.0","","","","","","",""
"2015.0","5.0","31.0","151.0","63.0","0.19","0.7","0.0","5.57","0.7","3.9","0.0","0.0","0.0","0.0","62.34","115.49","548.64","274.32","486.3","433.15","0.0","","","","","","",""
"2015.0","6.0","1.0","152.0","63.0","0.19","0.7","0.0","5.56","0.7","3.89","0.0","0.0","0.0","0.0","66.23","115.49","548.64","274.32","482.41","433.15","0.0","","","","","","",""
"2015.0","6.0","2.0","153.0","63.0","0.18","0.7","0.0","5.75","0.7","4.03","0.0","0.0","0.0","0.0","70.25","115.49","548.64","274.32","478.39","433.15","0.0","","","","","","",""
"2015.0","6.0","3.0","154.0","63.0","0.18","0.7","0.0","5.65","0.7","3.96","0.0","0.0","0.0","0.0","74.21","115.49","548.64","274.32","474.43","433.15","0.0","","","","","","",""
"2015.0","6.0","4.0","155.0","63.0","0.18","0.7","0.0","5.94","0.7","4.16","0.0","0.0","0.0","0.0","78.37","115.49","548.64","274.32","470.27","433.15","0.0","","","","","","",""
"2015.0","6.0","5.0","156.0","63.0","0.17","0.7","0.0","6.93","0.7","4.85","0.0","0.0","0.0","0.0","83.22","115.49","548.64","274.32","465.42","433.15","0.0","","","","","","",""
"2015.0","6.0","6.0","157.0","63.0","0.17","0.7","0.0","6.53","0.7","4.57","0.01","0.01","0.0","0.0","87.78","115.49","548.64","274.32","460.86","433.15","0.0","","","","","","",""
"2015.0","6.0","7.0","158.0","63.0","0.17","0.7","0.0","7.06","0.7","4.94","0.0","0.0","0.0","0.0","92.72","115.49","548.64","274.32","455.92","433.15","0.0","","","","","","",""
"2015.0","6.0","8.0","159.0","63.0","0.17","0.7","0.0","7.42","0.7","5.19","0.0","0.0","0.0","0.0","97.91","115.49","548.64","274.32","450.73","433.15","0.0","","","","","","",""
"2015.0","6.0","9.0","160.0","63.0","0.16","0.7","0.0","7.22","0.7","5.05","0.0","0.0","0.0","0.0","102.97","115.49","548.64","274.32","445.67","433.15","0.0","","","","","","",""
"2015.0","6.0","10.0","161.0","63.0","0.16","0.7","0.0","2.57","0.7","1.8","0.07","0.07","0.0","0.0","104.7","115.49","548.64","274.32","443.94","433.15","0.0","","","","","","",""
"2015.0","6.0","11.0","162.0","63.0","0.16","0.7","0.0","7.16","0.7","5.01","1.22","1.22","0.0","0.0","108.49","115.49","548.64","274.32","440.15","433.15","0.0","","","","","","",""
"2015.0","6.0","12.0","163.0","63.0","0.16","0.7","0.0","8.08","0.7","5.66","0.0","0.0","0.0","0.0","114.15","115.49","548.64","274.32","434.5","433.15","0.0","","","","","","",""
"2015.0","6.0","13.0","164.0","63.0","0.16","0.7","0.0","7.66","0.7","5.36","0.0","0.0","0.0","0.0","0.0","115.49","548.64","274.32","548.64","433.15","119.51","","","","","","",""
"2015.0","6.0","14.0","165.0","63.0","0.15","0.7","0.0","6.92","0.7","4.84","0.0","0.0","0.0","0.0","4.84","115.49","548.64","274.32","543.8","433.15","0.0","","","","","","",""
"2015.0","6.0","15.0","166.0","63.0","0.15","0.7","0.0","6.72","0.7","4.7","0.0","0.0","0.0","0.0","9.55","115.49","548.64","274.32","539.09","433.15","0.0","","","","","","",""
"2015.0","6.0","16.0","167.0","63.0","0.15","0.7","0.0","7.03","0.7","4.92","0.0","0.0","0.0","0.0","14.47","115.49","548.64","274.32","534.17","433.15","0.0","","","","","","",""
"2015.0","6.0","17.0","168.0","63.0","0.15","0.7","0.0","6.97","0.7","4.88","0.0","0.0","0.0","0.0","19.35","115.49","548.64","274.32","529.29","433.15","0.0","","","","","","",""
"2015.0","6.0","18.0","169.0","63.0","0.15","0.7","0.0","7.75","0.7","5.43","0.0","0.0","0.0","0.0","24.77","115.49","548.64","274.32","523.87","433.15","0.0","","","","","","",""
"2015.0","6.0","19.0","170.0","63.0","0.14","0.7","0.0","7.43","0.7","5.2","0.0","0.0","0.0","0.0","29.97","115.49","548.64","274.32","518.67","433.15","0.0","","","","","","",""
"2015.0","6.0","20.0","171.0","63.0","0.14","0.7","0.0","7.17","0.7","5.02","0.0","0.0","0.0","0.0","34.99","115.49","548.64","274.32","513.65","433.15","0.0","","","","","","",""
"2015.0","6.0","21.0","172.0","63.0","0.14","0.7","0.0","7.78","0.7","5.45","0.0","0.0","0.0","0.0","40.44","115.49","548.64","274.32","508.2","433.15","0.0","","","","","","",""
"2015.0","6.0","22.0","173.0","63.0","0.14","0.7","0.0","6.99","0.7","4.89","0.0","0.0","0.0","0.0","45.33","115.49","548.64","274.32","503.31","433.15","0.0","","","","","","",""
"2015.0","6.0","23.0","174.0","63.0","0.14","0.7","0.0","7.45","0.7","5.22","0.0","0.0","0.0","0.0","50.55","115.49","548.64","274.32","498.09","433.15","0.0","","","","","","",""
"2015.0","6.0","24.0","175.0","63.0","0.14","0.7","0.0","7.51","0.7","5.26","0.0","0.0","0.0","0.0","55.8","115.49","548.64","274.32","492.84","433.15","0.0","","","","","","",""
"2015.0","6.0","25.0","176.0","63.0","0.14","0.7","0.0","7.98","0.7","5.59","0.0","0.0","0.0","0.0","61.39","115.49","548.64","274.32","487.25","433.15","0.0","","","","","","",""
"2015.0","6.0","26.0","177.0","63.0","0.13","0.7","0.0","8.46","0.7","5.92","0.0","0.0","0.0","0.0","67.31","115.49","548.64","274.32","481.33","433.15","0.0","","","","","","",""
"2015.0","6.0","27.0","178.0","63.0","0.13","0.7","0.0","7.16","0.7","5.01","0.0","0.0","0.0","0.0","72.32","115.49","548.64","274.32","476.32","433.15","0.0","","","","","","",""
"2015.0","6.0","28.0","179.0","63.0","0.13","0.7","0.0","7.43","0.7","5.2","0.0","0.0","0.0","0.0","77.53","115.49","548.64","274.32","471.12","433.15","0.0","","","","","","",""
"2015.0","6.0","29.0","180.0","63.0","0.13","0.7","0.0","7.6","0.7","5.32","0.0","0.0","0.0","0.0","82.85","115.49","548.64","274.32","465.8","433.15","0.0","","","","","","",""
"2015.0","6.0","30.0","181.0","63.0","0.13","0.7","0.0","7.68","0.7","5.38","0.0","0.0","0.0","0.0","88.22","115.49","548.64","274.32","460.42","433.15","0.0","","","","","","",""
"2015.0","7.0","1.0","182.0","63.0","0.13","0.7","0.0","7.42","0.7","5.19","0.0","0.0","0.0","0.0","93.42","115.49","548.64","274.32","455.23","433.15","0.0","","","","","","",""
"2015.0","7.0","2.0","183.0","63.0","0.13","0.7","0.0","7.56","0.7","5.29","0.0","0.0","0.0","0.0","98.71","115.49","548.64","274.32","449.93","433.15","0.0","","","","","","",""
"2015.0","7.0","3.0","184.0","63.0","0.12","0.7","0.0","7.43","0.7","5.2","0.0","0.0","0.0","0.0","103.91","115.49","548.64","274.32","444.73","433.15","0.0","","","","","","",""
