" Daily soil water balance output for Urban Landscape in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Urban Landscape in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"2015.0","2.0","11.0","42.0","33581.0","1.14","0.8","0.0","1.71","1.14","1.96","0.0","0.0","0.0","0.0","16.9","54.4","144.0","72.0","127.1","89.6","0.0","","","","","","",""
"2015.0","2.0","12.0","43.0","33581.0","1.0","0.8","0.0","2.0","1.0","2.0","0.0","0.0","0.0","0.0","18.9","54.4","144.0","72.0","125.1","89.6","0.0","","","","","","",""
"2015.0","2.0","13.0","44.0","33581.0","0.89","0.8","0.0","2.09","0.89","1.86","0.0","0.0","0.0","0.0","20.75","54.4","144.0","72.0","123.25","89.6","0.0","","","","","","",""
"2015.0","2.0","14.0","45.0","33581.0","0.8","0.8","0.0","2.2","0.8","1.76","0.0","0.0","0.0","0.0","22.52","54.4","144.0","72.0","121.48","89.6","0.0","","","","","","",""
"2015.0","2.0","15.0","46.0","33581.0","0.74","0.8","0.0","2.08","0.8","1.66","0.0","0.0","0.0","0.0","24.18","54.4","144.0","72.0","119.82","89.6","0.0","","","","","","",""
"2015.0","2.0","16.0","47.0","33581.0","0.69","0.8","0.0","2.09","0.8","1.67","0.0","0.0","0.0","0.0","25.85","54.4","144.0","72.0","118.15","89.6","0.0","","","","","","",""
"2015.0","2.0","17.0","48.0","33581.0","0.65","0.8","0.0","1.81","0.8","1.45","0.0","0.0","0.0","0.0","27.3","54.4","144.0","72.0","116.7","89.6","0.0","","","","","","",""
"2015.0","2.0","18.0","49.0","33581.0","0.63","0.8","0.0","1.72","0.8","1.38","0.0","0.0","0.0","0.0","28.68","54.4","144.0","72.0","115.32","89.6","0.0","","","","","","",""
"2015.0","2.0","19.0","50.0","33581.0","0.61","0.8","0.0","1.04","0.8","0.83","0.0","0.0","0.0","0.0","29.51","54.4","144.0","72.0","114.49","89.6","0.0","","","","","","",""
"2015.0","2.0","20.0","51.0","33581.0","0.59","0.8","0.0","1.75","0.8","1.4","0.0","0.0","0.0","0.0","30.91","54.4","144.0","72.0","113.09","89.6","0.0","","","","","","",""
"2015.0","2.0","21.0","52.0","33581.0","0.57","0.8","0.0","1.58","0.8","1.26","0.0","0.0","0.0","0.0","32.17","54.4","144.0","72.0","111.83","89.6","0.0","","","","","","",""
"2015.0","2.0","22.0","53.0","33581.0","0.53","0.8","0.0","2.95","0.8","2.36","0.0","0.0","0.0","0.0","34.53","54.4","144.0","72.0","109.47","89.6","0.0","","","","","","",""
"2015.0","2.0","23.0","54.0","33581.0","0.5","0.8","0.0","3.55","0.8","2.84","0.0","0.0","0.0","0.0","37.37","54.4","144.0","72.0","106.63","89.6","0.0","","","","","","",""
"2015.0","2.0","24.0","55.0","33581.0","0.48","0.8","0.0","2.71","0.8","2.17","0.0","0.0","0.0","0.0","39.54","54.4","144.0","72.0","104.46","89.6","0.0","","","","","","",""
"2015.0","2.0","25.0","56.0","33581.0","0.47","0.8","0.0","2.2","0.8","1.76","0.0","0.0","0.0","0.0","41.3","54.4","144.0","72.0","102.7","89.6","0.0","","","","","","",""
"2015.0","2.0","26.0","57.0","33581.0","0.45","0.8","0.0","2.91","0.8","2.33","0.0","0.0","0.0","0.0","43.63","54.4","144.0","72.0","100.37","89.6","0.0","","","","","","",""
"2015.0","2.0","27.0","58.0","33581.0","0.43","0.8","0.0","2.86","0.8","2.29","0.0","0.0","0.0","0.0","45.92","54.4","144.0","72.0","98.08","89.6","0.0","","","","","","",""
"2015.0","2.0","28.0","59.0","33581.0","0.42","0.8","0.0","2.01","0.8","1.61","0.0","0.0","0.0","0.0","47.53","54.4","144.0","72.0","96.47","89.6","0.0","","","","","","",""
"2015.0","3.0","1.0","60.0","33581.0","0.41","0.8","0.0","2.51","0.8","2.01","0.25","0.25","0.0","0.0","49.28","54.4","144.0","72.0","94.72","89.6","0.0","","","","","","",""
"2015.0","3.0","2.0","61.0","33581.0","0.4","0.8","0.0","2.21","0.8","1.77","0.0","0.0","0.0","0.0","51.05","54.4","144.0","72.0","92.95","89.6","0.0","","","","","","",""
"2015.0","3.0","3.0","62.0","33581.0","0.39","0.8","0.0","2.53","0.8","2.02","1.19","1.19","0.0","0.0","51.89","54.4","144.0","72.0","92.11","89.6","0.0","","","","","","",""
"2015.0","3.0","4.0","63.0","33581.0","0.38","0.8","0.0","2.61","0.8","2.09","0.0","0.0","0.0","0.0","53.97","54.4","144.0","72.0","90.03","89.6","0.0","","","","","","",""
"2015.0","3.0","5.0","64.0","33581.0","0.37","0.8","0.0","2.81","0.8","2.25","0.0","0.0","0.0","0.0","0.0","54.4","144.0","72.0","144.0","89.6","56.22","","","","","","",""
"2015.0","3.0","6.0","65.0","33581.0","0.36","0.8","0.0","2.99","0.8","2.39","0.0","0.0","0.0","0.0","2.39","54.4","144.0","72.0","141.61","89.6","0.0","","","","","","",""
"2015.0","3.0","7.0","66.0","33581.0","0.35","0.8","0.0","2.88","0.8","2.3","0.0","0.0","0.0","0.0","4.7","54.4","144.0","72.0","139.3","89.6","0.0","","","","","","",""
"2015.0","3.0","8.0","67.0","33581.0","0.34","0.8","0.0","2.97","0.8","2.38","0.0","0.0","0.0","0.0","7.07","54.4","144.0","72.0","136.93","89.6","0.0","","","","","","",""
"2015.0","3.0","9.0","68.0","33581.0","0.34","0.8","0.0","2.92","0.8","2.34","0.0","0.0","0.0","0.0","9.41","54.4","144.0","72.0","134.59","89.6","0.0","","","","","","",""
"2015.0","3.0","10.0","69.0","33581.0","0.33","0.8","0.0","2.53","0.8","2.02","0.0","0.0","0.0","0.0","11.43","54.4","144.0","72.0","132.57","89.6","0.0","","","","","","",""
"2015.0","3.0","11.0","70.0","33581.0","0.32","0.8","0.0","2.06","0.8","1.65","1.21","1.21","0.0","0.0","11.87","54.4","144.0","72.0","132.13","89.6","0.0","","","","","","",""
"2015.0","3.0","12.0","71.0","33581.0","1.09","0.8","0.0","3.36","1.09","3.65","3.33","3.33","0.0","0.0","12.19","54.4","144.0","72.0","131.81","89.6","0.0","","","","","","",""
"2015.0","3.0","13.0","72.0","33581.0","1.07","0.8","0.0","3.07","1.07","3.29","0.0","0.0","0.0","0.0","15.48","54.4","144.0","72.0","128.52","89.6","0.0","","","","","","",""
"2015.0","3.0","14.0","73.0","33581.0","0.86","0.8","0.0","3.44","0.86","2.97","0.0","0.0","0.0","0.0","18.45","54.4","144.0","72.0","125.55","89.6","0.0","","","","","","",""
"2015.0","3.0","15.0","74.0","33581.0","0.73","0.8","0.0","3.99","0.8","3.19","0.0","0.0","0.0","0.0","21.64","54.4","144.0","72.0","122.36","89.6","0.0","","","","","","",""
"2015.0","3.0","16.0","75.0","33581.0","0.66","0.8","0.0","2.83","0.8","2.26","0.0","0.0","0.0","0.0","23.9","54.4","144.0","72.0","120.1","89.6","0.0","","","","","","",""
"2015.0","3.0","17.0","76.0","33581.0","0.6","0.8","0.0","3.65","0.8","2.92","0.0","0.0","0.0","0.0","26.82","54.4","144.0","72.0","117.18","89.6","0.0","","","","","","",""
"2015.0","3.0","18.0","77.0","33581.0","0.55","0.8","0.0","3.82","0.8","3.06","0.0","0.0","0.0","0.0","29.88","54.4","144.0","72.0","114.12","89.6","0.0","","","","","","",""
"2015.0","3.0","19.0","78.0","33581.0","0.51","0.8","0.0","3.83","0.8","3.06","0.0","0.0","0.0","0.0","32.94","54.4","144.0","72.0","111.06","89.6","0.0","","","","","","",""
"2015.0","3.0","20.0","79.0","33581.0","0.48","0.8","0.0","3.23","0.8","2.58","0.0","0.0","0.0","0.0","35.53","54.4","144.0","72.0","108.47","89.6","0.0","","","","","","",""
"2015.0","3.0","21.0","80.0","33581.0","0.46","0.8","0.0","3.56","0.8","2.85","0.0","0.0","0.0","0.0","38.37","54.4","144.0","72.0","105.63","89.6","0.0","","","","","","",""
"2015.0","3.0","22.0","81.0","33581.0","0.44","0.8","0.0","3.17","0.8","2.54","0.0","0.0","0.0","0.0","40.91","54.4","144.0","72.0","103.09","89.6","0.0","","","","","","",""
"2015.0","3.0","23.0","82.0","33581.0","0.42","0.8","0.0","3.21","0.8","2.57","0.72","0.72","0.0","0.0","42.76","54.4","144.0","72.0","101.24","89.6","0.0","","","","","","",""
"2015.0","3.0","24.0","83.0","33581.0","0.41","0.8","0.0","3.34","0.8","2.67","0.0","0.0","0.0","0.0","45.43","54.4","144.0","72.0","98.57","89.6","0.0","","","","","","",""
"2015.0","3.0","25.0","84.0","33581.0","0.39","0.8","0.0","4.1","0.8","3.28","0.0","0.0","0.0","0.0","48.71","54.4","144.0","72.0","95.29","89.6","0.0","","","","","","",""
"2015.0","3.0","26.0","85.0","33581.0","0.37","0.8","0.0","3.96","0.8","3.17","0.0","0.0","0.0","0.0","51.88","54.4","144.0","72.0","92.12","89.6","0.0","","","","","","",""
"2015.0","3.0","27.0","86.0","33581.0","0.36","0.8","0.0","4.5","0.8","3.6","0.0","0.0","0.0","0.0","0.0","54.4","144.0","72.0","144.0","89.6","55.48","","","","","","",""
"2015.0","3.0","28.0","87.0","33581.0","0.34","0.8","0.0","4.95","0.8","3.96","0.0","0.0","0.0","0.0","3.96","54.4","144.0","72.0","140.04","89.6","0.0","","","","","","",""
"2015.0","3.0","29.0","88.0","33581.0","0.33","0.8","0.0","4.75","0.8","3.8","0.0","0.0","0.0","0.0","7.76","54.4","144.0","72.0","136.24","89.6","0.0","","","","","","",""
"2015.0","3.0","30.0","89.0","33581.0","0.32","0.8","0.0","4.57","0.8","3.66","0.0","0.0","0.0","0.0","11.42","54.4","144.0","72.0","132.58","89.6","0.0","","","","","","",""
"2015.0","3.0","31.0","90.0","33581.0","0.31","0.8","0.0","4.69","0.8","3.75","0.0","0.0","0.0","0.0","15.17","54.4","144.0","72.0","128.83","89.6","0.0","","","","","","",""
"2015.0","4.0","1.0","91.0","33581.0","0.3","0.8","0.0","4.21","0.8","3.37","0.0","0.0","0.0","0.0","18.54","35.15","144.0","72.0","125.46","108.85","0.0","","","","","","",""
"2015.0","4.0","2.0","92.0","33581.0","0.29","0.8","0.0","5.44","0.8","4.35","0.0","0.0","0.0","0.0","22.89","35.15","144.0","72.0","121.11","108.85","0.0","","","","","","",""
"2015.0","4.0","3.0","93.0","33581.0","0.28","0.8","0.0","4.68","0.8","3.74","0.0","0.0","0.0","0.0","26.63","35.15","144.0","72.0","117.37","108.85","0.0","","","","","","",""
"2015.0","4.0","4.0","94.0","33581.0","0.28","0.8","0.0","4.56","0.8","3.65","0.0","0.0","0.0","0.0","30.28","35.15","144.0","72.0","113.72","108.85","0.0","","","","","","",""
"2015.0","4.0","5.0","95.0","33581.0","0.27","0.8","0.0","2.58","0.8","2.06","0.04","0.04","0.0","0.0","32.3","35.15","144.0","72.0","111.7","108.85","0.0","","","","","","",""
"2015.0","4.0","6.0","96.0","33581.0","0.27","0.8","0.0","3.08","0.8","2.46","2.02","2.02","0.0","0.0","32.75","35.15","144.0","72.0","111.25","108.85","0.0","","","","","","",""
"2015.0","4.0","7.0","97.0","33581.0","1.11","0.8","0.0","2.76","1.11","3.06","4.27","4.27","0.0","0.0","31.54","35.15","144.0","72.0","112.46","108.85","0.0","","","","","","",""
"2015.0","4.0","8.0","98.0","33581.0","1.1","0.8","0.0","3.05","1.1","3.35","11.21","11.21","0.0","0.0","23.68","35.15","144.0","72.0","120.32","108.85","0.0","","","","","","",""
"2015.0","4.0","9.0","99.0","33581.0","1.06","0.8","0.0","3.51","1.06","3.72","0.0","0.0","0.0","0.0","27.4","35.15","144.0","72.0","116.6","108.85","0.0","","","","","","",""
"2015.0","4.0","10.0","100.0","33581.0","0.82","0.8","0.0","4.17","0.82","3.43","0.0","0.0","0.0","0.0","30.83","35.15","144.0","72.0","113.17","108.85","0.0","","","","","","",""
"2015.0","4.0","11.0","101.0","33581.0","0.69","0.8","0.0","4.35","0.8","3.48","0.0","0.0","0.0","0.0","34.31","35.15","144.0","72.0","109.69","108.85","0.0","","","","","","",""
"2015.0","4.0","12.0","102.0","33581.0","0.6","0.8","0.0","4.89","0.8","3.91","0.0","0.0","0.0","0.0","0.0","35.15","144.0","72.0","144.0","108.85","38.22","","","","","","",""
"2015.0","4.0","13.0","103.0","33581.0","0.53","0.8","0.0","5.01","0.8","4.01","0.0","0.0","0.0","0.0","4.01","35.15","144.0","72.0","139.99","108.85","0.0","","","","","","",""
"2015.0","4.0","14.0","104.0","33581.0","0.49","0.8","0.0","4.99","0.8","3.99","0.0","0.0","0.0","0.0","8.0","35.15","144.0","72.0","136.0","108.85","0.0","","","","","","",""
"2015.0","4.0","15.0","105.0","33581.0","0.44","0.8","0.0","6.25","0.8","5.0","0.0","0.0","0.0","0.0","13.0","35.15","144.0","72.0","131.0","108.85","0.0","","","","","","",""
"2015.0","4.0","16.0","106.0","33581.0","0.41","0.8","0.0","5.67","0.8","4.54","0.0","0.0","0.0","0.0","17.54","35.15","144.0","72.0","126.46","108.85","0.0","","","","","","",""
"2015.0","4.0","17.0","107.0","33581.0","0.38","0.8","0.0","5.38","0.8","4.3","0.0","0.0","0.0","0.0","21.84","35.15","144.0","72.0","122.16","108.85","0.0","","","","","","",""
"2015.0","4.0","18.0","108.0","33581.0","0.37","0.8","0.0","4.98","0.8","3.98","0.0","0.0","0.0","0.0","25.82","35.15","144.0","72.0","118.18","108.85","0.0","","","","","","",""
"2015.0","4.0","19.0","109.0","33581.0","0.35","0.8","0.0","5.17","0.8","4.14","0.0","0.0","0.0","0.0","29.96","35.15","144.0","72.0","114.04","108.85","0.0","","","","","","",""
"2015.0","4.0","20.0","110.0","33581.0","0.33","0.8","0.0","4.8","0.8","3.84","0.0","0.0","0.0","0.0","33.8","35.15","144.0","72.0","110.2","108.85","0.0","","","","","","",""
"2015.0","4.0","21.0","111.0","33581.0","0.32","0.8","0.0","3.84","0.8","3.07","0.0","0.0","0.0","0.0","0.0","35.15","144.0","72.0","144.0","108.85","36.87","","","","","","",""
"2015.0","4.0","22.0","112.0","33581.0","0.32","0.8","0.0","4.05","0.8","3.24","0.0","0.0","0.0","0.0","3.24","35.15","144.0","72.0","140.76","108.85","0.0","","","","","","",""
"2015.0","4.0","23.0","113.0","33581.0","0.31","0.8","0.0","4.79","0.8","3.83","0.0","0.0","0.0","0.0","7.07","35.15","144.0","72.0","136.93","108.85","0.0","","","","","","",""
"2015.0","4.0","24.0","114.0","33581.0","0.3","0.8","0.0","5.07","0.8","4.06","0.0","0.0","0.0","0.0","11.13","35.15","144.0","72.0","132.87","108.85","0.0","","","","","","",""
"2015.0","4.0","25.0","115.0","33581.0","1.06","0.8","0.0","4.03","1.06","4.27","10.88","10.88","0.0","0.0","4.51","35.15","144.0","72.0","139.49","108.85","0.0","","","","","","",""
"2015.0","4.0","26.0","116.0","33581.0","0.87","0.8","0.0","5.17","0.87","4.51","0.0","0.0","0.0","0.0","9.03","35.15","144.0","72.0","134.97","108.85","0.0","","","","","","",""
"2015.0","4.0","27.0","117.0","33581.0","0.68","0.8","0.0","5.81","0.8","4.65","0.0","0.0","0.0","0.0","13.67","35.15","144.0","72.0","130.33","108.85","0.0","","","","","","",""
"2015.0","4.0","28.0","118.0","33581.0","0.58","0.8","0.0","5.63","0.8","4.5","0.0","0.0","0.0","0.0","18.18","35.15","144.0","72.0","125.82","108.85","0.0","","","","","","",""
"2015.0","4.0","29.0","119.0","33581.0","0.51","0.8","0.0","5.42","0.8","4.34","0.0","0.0","0.0","0.0","22.51","35.15","144.0","72.0","121.49","108.85","0.0","","","","","","",""
"2015.0","4.0","30.0","120.0","33581.0","0.46","0.8","0.0","6.46","0.8","5.17","0.0","0.0","0.0","0.0","27.68","35.15","144.0","72.0","116.32","108.85","0.0","","","","","","",""
"2015.0","5.0","1.0","121.0","33581.0","0.42","0.8","0.0","6.5","0.8","5.2","0.0","0.0","0.0","0.0","32.88","35.15","144.0","72.0","111.12","108.85","0.0","","","","","","",""
"2015.0","5.0","2.0","122.0","33581.0","0.39","0.8","0.0","5.93","0.8","4.74","0.0","0.0","0.0","0.0","0.0","35.15","144.0","72.0","144.0","108.85","37.63","","","","","","",""
"2015.0","5.0","3.0","123.0","33581.0","0.37","0.8","0.0","5.27","0.8","4.22","0.0","0.0","0.0","0.0","4.22","35.15","144.0","72.0","139.78","108.85","0.0","","","","","","",""
"2015.0","5.0","4.0","124.0","33581.0","0.35","0.8","0.0","4.89","0.8","3.91","0.0","0.0","0.0","0.0","8.13","35.15","144.0","72.0","135.87","108.85","0.0","","","","","","",""
"2015.0","5.0","5.0","125.0","33581.0","0.34","0.8","0.0","4.9","0.8","3.92","0.0","0.0","0.0","0.0","12.05","35.15","144.0","72.0","131.95","108.85","0.0","","","","","","",""
"2015.0","5.0","6.0","126.0","33581.0","0.32","0.8","0.0","5.04","0.8","4.03","0.0","0.0","0.0","0.0","16.08","35.15","144.0","72.0","127.92","108.85","0.0","","","","","","",""
"2015.0","5.0","7.0","127.0","33581.0","0.32","0.8","0.0","3.23","0.8","2.58","0.0","0.0","0.0","0.0","18.66","35.15","144.0","72.0","125.34","108.85","0.0","","","","","","",""
"2015.0","5.0","8.0","128.0","33581.0","0.31","0.8","0.0","4.37","0.8","3.5","1.13","1.13","0.0","0.0","21.03","35.15","144.0","72.0","122.97","108.85","0.0","","","","","","",""
"2015.0","5.0","9.0","129.0","33581.0","0.3","0.8","0.0","4.89","0.8","3.91","0.0","0.0","0.0","0.0","24.94","35.15","144.0","72.0","119.06","108.85","0.0","","","","","","",""
"2015.0","5.0","10.0","130.0","33581.0","0.29","0.8","0.0","5.25","0.8","4.2","0.0","0.0","0.0","0.0","29.14","35.15","144.0","72.0","114.86","108.85","0.0","","","","","","",""
"2015.0","5.0","11.0","131.0","33581.0","0.28","0.8","0.0","5.24","0.8","4.19","0.0","0.0","0.0","0.0","33.33","35.15","144.0","72.0","110.67","108.85","0.0","","","","","","",""
"2015.0","5.0","12.0","132.0","33581.0","0.27","0.8","0.0","5.05","0.8","4.04","0.0","0.0","0.0","0.0","0.0","35.15","144.0","72.0","144.0","108.85","37.37","","","","","","",""
"2015.0","5.0","13.0","133.0","33581.0","0.26","0.8","0.0","4.75","0.8","3.8","0.0","0.0","0.0","0.0","3.8","35.15","144.0","72.0","140.2","108.85","0.0","","","","","","",""
"2015.0","5.0","14.0","134.0","33581.0","0.26","0.8","0.0","3.29","0.8","2.63","0.0","0.0","0.0","0.0","6.43","35.15","144.0","72.0","137.57","108.85","0.0","","","","","","",""
"2015.0","5.0","15.0","135.0","33581.0","0.26","0.8","0.0","4.65","0.8","3.72","1.77","1.77","0.0","0.0","8.38","35.15","144.0","72.0","135.62","108.85","0.0","","","","","","",""
"2015.0","5.0","16.0","136.0","33581.0","0.25","0.8","0.0","4.81","0.8","3.85","0.0","0.0","0.0","0.0","12.23","35.15","144.0","72.0","131.77","108.85","0.0","","","","","","",""
"2015.0","5.0","17.0","137.0","33581.0","0.25","0.8","0.0","3.92","0.8","3.14","0.0","0.0","0.0","0.0","15.37","35.15","144.0","72.0","128.63","108.85","0.0","","","","","","",""
"2015.0","5.0","18.0","138.0","33581.0","0.24","0.8","0.0","4.84","0.8","3.87","0.0","0.0","0.0","0.0","19.24","35.15","144.0","72.0","124.76","108.85","0.0","","","","","","",""
"2015.0","5.0","19.0","139.0","33581.0","0.24","0.8","0.0","5.04","0.8","4.03","0.0","0.0","0.0","0.0","23.27","35.15","144.0","72.0","120.73","108.85","0.0","","","","","","",""
"2015.0","5.0","20.0","140.0","33581.0","0.23","0.8","0.0","4.95","0.8","3.96","0.0","0.0","0.0","0.0","27.23","35.15","144.0","72.0","116.77","108.85","0.0","","","","","","",""
"2015.0","5.0","21.0","141.0","33581.0","0.23","0.8","0.0","4.01","0.8","3.21","0.0","0.0","0.0","0.0","30.44","35.15","144.0","72.0","113.56","108.85","0.0","","","","","","",""
"2015.0","5.0","22.0","142.0","33581.0","0.22","0.8","0.0","4.85","0.8","3.88","0.0","0.0","0.0","0.0","34.32","35.15","144.0","72.0","109.68","108.85","0.0","","","","","","",""
"2015.0","5.0","23.0","143.0","33581.0","0.22","0.8","0.0","4.86","0.8","3.89","0.0","0.0","0.0","0.0","0.0","35.15","144.0","72.0","144.0","108.85","38.21","","","","","","",""
"2015.0","5.0","24.0","144.0","33581.0","0.22","0.8","0.0","5.54","0.8","4.43","0.0","0.0","0.0","0.0","4.43","35.15","144.0","72.0","139.57","108.85","0.0","","","","","","",""
"2015.0","5.0","25.0","145.0","33581.0","0.21","0.8","0.0","5.5","0.8","4.4","0.0","0.0","0.0","0.0","8.83","35.15","144.0","72.0","135.17","108.85","0.0","","","","","","",""
"2015.0","5.0","26.0","146.0","33581.0","0.21","0.8","0.0","5.52","0.8","4.42","0.0","0.0","0.0","0.0","13.25","35.15","144.0","72.0","130.75","108.85","0.0","","","","","","",""
"2015.0","5.0","27.0","147.0","33581.0","0.2","0.8","0.0","5.56","0.8","4.45","0.0","0.0","0.0","0.0","17.7","35.15","144.0","72.0","126.3","108.85","0.0","","","","","","",""
"2015.0","5.0","28.0","148.0","33581.0","0.2","0.8","0.0","5.42","0.8","4.34","0.0","0.0","0.0","0.0","22.03","35.15","144.0","72.0","121.97","108.85","0.0","","","","","","",""
"2015.0","5.0","29.0","149.0","33581.0","0.2","0.8","0.0","6.13","0.8","4.9","0.0","0.0","0.0","0.0","26.94","35.15","144.0","72.0","117.06","108.85","0.0","","","","","","",""
"2015.0","5.0","30.0","150.0","33581.0","0.19","0.8","0.0","6.48","0.8","5.18","0.0","0.0","0.0","0.0","32.12","35.15","144.0","72.0","111.88","108.85","0.0","","","","","","",""
"2015.0","5.0","31.0","151.0","33581.0","0.19","0.8","0.0","5.44","0.8","4.35","0.0","0.0","0.0","0.0","0.0","35.15","144.0","72.0","144.0","108.85","36.47","","","","","","",""
"2015.0","6.0","1.0","152.0","33581.0","0.19","0.8","0.0","5.54","0.8","4.43","0.0","0.0","0.0","0.0","4.43","35.15","144.0","72.0","139.57","108.85","0.0","","","","","","",""
"2015.0","6.0","2.0","153.0","33581.0","0.19","0.8","0.0","5.77","0.8","4.62","0.0","0.0","0.0","0.0","9.05","35.15","144.0","72.0","134.95","108.85","0.0","","","","","","",""
"2015.0","6.0","3.0","154.0","33581.0","0.18","0.8","0.0","5.57","0.8","4.46","0.0","0.0","0.0","0.0","13.5","35.15","144.0","72.0","130.5","108.85","0.0","","","","","","",""
"2015.0","6.0","4.0","155.0","33581.0","0.18","0.8","0.0","5.83","0.8","4.66","0.0","0.0","0.0","0.0","18.17","35.15","144.0","72.0","125.83","108.85","0.0","","","","","","",""
"2015.0","6.0","5.0","156.0","33581.0","0.18","0.8","0.0","6.52","0.8","5.22","0.0","0.0","0.0","0.0","23.38","35.15","144.0","72.0","120.62","108.85","0.0","","","","","","",""
"2015.0","6.0","6.0","157.0","33581.0","0.17","0.8","0.0","6.39","0.8","5.11","0.0","0.0","0.0","0.0","28.5","35.15","144.0","72.0","115.5","108.85","0.0","","","","","","",""
"2015.0","6.0","7.0","158.0","33581.0","0.17","0.8","0.0","6.75","0.8","5.4","0.0","0.0","0.0","0.0","33.9","35.15","144.0","72.0","110.1","108.85","0.0","","","","","","",""
"2015.0","6.0","8.0","159.0","33581.0","0.17","0.8","0.0","7.39","0.8","5.91","0.0","0.0","0.0","0.0","0.0","35.15","144.0","72.0","144.0","108.85","39.81","","","","","","",""
"2015.0","6.0","9.0","160.0","33581.0","0.17","0.8","0.0","6.66","0.8","5.33","0.0","0.0","0.0","0.0","5.33","35.15","144.0","72.0","138.67","108.85","0.0","","","","","","",""
"2015.0","6.0","10.0","161.0","33581.0","0.17","0.8","0.0","3.04","0.8","2.43","0.1","0.1","0.0","0.0","7.66","35.15","144.0","72.0","136.34","108.85","0.0","","","","","","",""
"2015.0","6.0","11.0","162.0","33581.0","0.16","0.8","0.0","6.89","0.8","5.51","3.61","3.61","0.0","0.0","9.56","35.15","144.0","72.0","134.44","108.85","0.0","","","","","","",""
"2015.0","6.0","12.0","163.0","33581.0","0.16","0.8","0.0","7.67","0.8","6.14","0.0","0.0","0.0","0.0","15.7","35.15","144.0","72.0","128.3","108.85","0.0","","","","","","",""
"2015.0","6.0","13.0","164.0","33581.0","0.16","0.8","0.0","7.55","0.8","6.04","0.0","0.0","0.0","0.0","21.74","35.15","144.0","72.0","122.26","108.85","0.0","","","","","","",""
"2015.0","6.0","14.0","165.0","33581.0","0.16","0.8","0.0","6.8","0.8","5.44","0.0","0.0","0.0","0.0","27.18","35.15","144.0","72.0","116.82","108.85","0.0","","","","","","",""
"2015.0","6.0","15.0","166.0","33581.0","0.15","0.8","0.0","6.63","0.8","5.3","0.0","0.0","0.0","0.0","32.48","35.15","144.0","72.0","111.52","108.85","0.0","","","","","","",""
"2015.0","6.0","16.0","167.0","33581.0","0.15","0.8","0.0","6.95","0.8","5.56","0.0","0.0","0.0","0.0","0.0","35.15","144.0","72.0","144.0","108.85","38.04","","","","","","",""
"2015.0","6.0","17.0","168.0","33581.0","0.15","0.8","0.0","6.98","0.8","5.58","0.0","0.0","0.0","0.0","5.58","35.15","144.0","72.0","138.42","108.85","0.0","","","","","","",""
"2015.0","6.0","18.0","169.0","33581.0","0.15","0.8","0.0","7.54","0.8","6.03","0.0","0.0","0.0","0.0","11.62","35.15","144.0","72.0","132.38","108.85","0.0","","","","","","",""
"2015.0","6.0","19.0","170.0","33581.0","0.15","0.8","0.0","7.41","0.8","5.93","0.0","0.0","0.0","0.0","17.54","35.15","144.0","72.0","126.46","108.85","0.0","","","","","","",""
"2015.0","6.0","20.0","171.0","33581.0","0.15","0.8","0.0","6.95","0.8","5.56","0.0","0.0","0.0","0.0","23.1","35.15","144.0","72.0","120.9","108.85","0.0","","","","","","",""
"2015.0","6.0","21.0","172.0","33581.0","0.14","0.8","0.0","7.57","0.8","6.06","0.0","0.0","0.0","0.0","29.16","35.15","144.0","72.0","114.84","108.85","0.0","","","","","","",""
"2015.0","6.0","22.0","173.0","33581.0","0.14","0.8","0.0","7.07","0.8","5.66","0.0","0.0","0.0","0.0","34.82","35.15","144.0","72.0","109.18","108.85","0.0","","","","","","",""
"2015.0","6.0","23.0","174.0","33581.0","0.14","0.8","0.0","7.35","0.8","5.88","0.0","0.0","0.0","0.0","0.0","35.15","144.0","72.0","144.0","108.85","40.7","","","","","","",""
"2015.0","6.0","24.0","175.0","33581.0","0.14","0.8","0.0","7.29","0.8","5.83","0.0","0.0","0.0","0.0","5.83","35.15","144.0","72.0","138.17","108.85","0.0","","","","","","",""
"2015.0","6.0","25.0","176.0","33581.0","0.14","0.8","0.0","7.98","0.8","6.38","0.0","0.0","0.0","0.0","12.22","35.15","144.0","72.0","131.78","108.85","0.0","","","","","","",""
"2015.0","6.0","26.0","177.0","33581.0","0.14","0.8","0.0","8.25","0.8","6.6","0.0","0.0","0.0","0.0","18.82","35.15","144.0","72.0","125.18","108.85","0.0","","","","","","",""
"2015.0","6.0","27.0","178.0","33581.0","0.13","0.8","0.0","6.76","0.8","5.41","0.0","0.0","0.0","0.0","24.22","35.15","144.0","72.0","119.78","108.85","0.0","","","","","","",""
"2015.0","6.0","28.0","179.0","33581.0","0.13","0.8","0.0","7.21","0.8","5.77","0.0","0.0","0.0","0.0","29.99","35.15","144.0","72.0","114.01","108.85","0.0","","","","","","",""
"2015.0","6.0","29.0","180.0","33581.0","0.13","0.8","0.0","7.58","0.8","6.06","0.0","0.0","0.0","0.0","0.0","35.15","144.0","72.0","144.0","108.85","36.06","","","","","","",""
"2015.0","6.0","30.0","181.0","33581.0","0.13","0.8","0.0","7.7","0.8","6.16","0.0","0.0","0.0","0.0","6.16","35.15","144.0","72.0","137.84","108.85","0.0","","","","","","",""
