" Daily soil water balance output for Vineyard in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Vineyard in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"2015.0","2.0","7.0","38.0","12638.0","1.16","0.0","0.0","1.48","1.16","1.72","13.13","13.13","0.0","0.0","18.29","29.7","600.92","300.46","582.63","571.22","0.0","","","","","","","","",""
"2015.0","2.0","8.0","39.0","12638.0","1.16","0.0","0.0","1.56","1.16","1.81","12.26","12.26","0.0","0.0","7.83","29.7","600.92","300.46","593.08","571.22","0.0","","","","","","","","",""
"2015.0","2.0","9.0","40.0","12638.0","1.14","0.0","0.0","2.12","1.14","2.41","13.42","10.24","0.0","0.0","0.0","29.7","600.92","300.46","600.92","571.22","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","12638.0","1.14","0.0","0.0","1.87","1.14","2.13","0.0","0.0","0.0","0.0","2.13","29.7","600.92","300.46","598.79","571.22","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","12638.0","1.14","0.0","0.0","1.71","1.14","1.96","0.0","0.0","0.0","0.0","4.09","29.7","600.92","300.46","596.83","571.22","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","12638.0","1.0","0.0","0.0","2.0","1.0","2.0","0.0","0.0","0.0","0.0","6.09","29.7","600.92","300.46","594.83","571.22","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","12638.0","0.89","0.0","0.0","2.09","0.89","1.86","0.0","0.0","0.0","0.0","7.95","29.7","600.92","300.46","592.97","571.22","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","12638.0","0.8","0.0","0.0","2.2","0.8","1.76","0.0","0.0","0.0","0.0","9.71","29.7","600.92","300.46","591.21","571.22","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","12638.0","0.74","0.0","0.0","2.08","0.74","1.54","0.0","0.0","0.0","0.0","11.25","29.7","600.92","300.46","589.67","571.22","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","12638.0","0.69","0.0","0.0","2.09","0.69","1.44","0.0","0.0","0.0","0.0","12.69","29.7","600.92","300.46","588.22","571.22","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","12638.0","0.65","0.0","0.0","1.81","0.65","1.19","0.0","0.0","0.0","0.0","13.88","29.7","600.92","300.46","587.04","571.22","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","12638.0","0.63","0.0","0.0","1.72","0.63","1.08","0.0","0.0","0.0","0.0","14.96","29.7","600.92","300.46","585.96","571.22","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","12638.0","0.61","0.0","0.0","1.04","0.61","0.64","0.0","0.0","0.0","0.0","15.59","29.7","600.92","300.46","585.33","571.22","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","12638.0","0.59","0.0","0.0","1.75","0.59","1.03","0.0","0.0","0.0","0.0","16.62","29.7","600.92","300.46","584.3","571.22","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","12638.0","0.57","0.0","0.0","1.58","0.57","0.9","0.0","0.0","0.0","0.0","17.51","29.7","600.92","300.46","583.4","571.22","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","12638.0","0.53","0.0","0.0","2.95","0.53","1.58","0.0","0.0","0.0","0.0","19.09","29.7","600.92","300.46","581.83","571.22","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","12638.0","0.5","0.0","0.0","3.55","0.5","1.78","0.0","0.0","0.0","0.0","20.87","29.7","600.92","300.46","580.04","571.22","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","12638.0","0.48","0.0","0.0","2.71","0.48","1.3","0.0","0.0","0.0","0.0","22.18","29.7","600.92","300.46","578.74","571.22","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","12638.0","0.47","0.0","0.0","2.2","0.47","1.02","0.0","0.0","0.0","0.0","23.2","29.7","600.92","300.46","577.72","571.22","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","12638.0","0.45","0.0","0.0","2.91","0.45","1.3","0.0","0.0","0.0","0.0","24.5","29.7","600.92","300.46","576.42","571.22","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","12638.0","0.43","0.0","0.0","2.86","0.43","1.23","0.0","0.0","0.0","0.0","25.73","29.7","600.92","300.46","575.18","571.22","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","12638.0","0.42","0.0","0.0","2.01","0.42","0.85","0.0","0.0","0.0","0.0","26.58","29.7","600.92","300.46","574.34","571.22","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","12638.0","0.41","0.0","0.0","2.51","0.41","1.03","0.25","0.25","0.0","0.0","27.36","29.7","600.92","300.46","573.56","571.22","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","12638.0","0.4","0.0","0.0","2.21","0.4","0.88","0.0","0.0","0.0","0.0","28.24","29.7","600.92","300.46","572.68","571.22","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","12638.0","0.39","0.0","0.0","2.53","0.39","0.98","1.19","1.19","0.0","0.0","28.03","29.7","600.92","300.46","572.88","571.22","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","12638.0","0.38","0.0","0.0","2.61","0.38","0.99","0.0","0.0","0.0","0.0","29.02","29.7","600.92","300.46","571.89","571.22","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","12638.0","0.37","0.0","0.0","2.81","0.37","1.04","0.0","0.0","0.0","0.0","30.06","29.7","600.92","300.46","570.85","571.22","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","12638.0","0.36","0.0","0.0","2.99","0.36","1.08","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","12638.0","0.35","0.0","0.0","2.88","0.35","1.01","0.0","0.0","0.0","0.0","30.71","29.7","600.92","300.46","570.21","571.22","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","12638.0","0.34","0.0","0.0","2.97","0.34","1.02","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","12638.0","0.34","0.0","0.0","2.92","0.34","0.98","0.0","0.0","0.0","0.0","30.68","29.7","600.92","300.46","570.24","571.22","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","12638.0","0.33","0.0","0.0","2.53","0.33","0.83","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","12638.0","0.32","0.0","0.0","2.06","0.32","0.67","1.21","1.21","0.0","0.0","29.16","29.7","600.92","300.46","571.76","571.22","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","12638.0","1.09","0.0","0.0","3.36","1.09","3.65","3.33","3.33","0.0","0.0","29.48","29.7","600.92","300.46","571.44","571.22","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","12638.0","1.07","0.0","0.0","3.07","1.07","3.29","0.0","0.0","0.0","0.0","32.76","29.7","600.92","300.46","568.15","571.22","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","12638.0","0.86","0.0","0.0","3.44","0.86","2.97","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","12638.0","0.73","0.45","0.0","3.99","0.73","2.9","0.0","0.0","0.0","0.0","32.6","132.85","600.92","300.46","568.32","468.06","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","12638.0","0.66","0.46","0.0","2.83","0.66","1.88","0.0","0.0","0.0","0.0","34.48","132.85","600.92","300.46","566.44","468.06","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","12638.0","0.6","0.46","0.0","3.65","0.6","2.19","0.0","0.0","0.0","0.0","36.67","132.85","600.92","300.46","564.25","468.06","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","12638.0","0.55","0.47","0.0","3.82","0.55","2.1","0.0","0.0","0.0","0.0","38.77","132.85","600.92","300.46","562.15","468.06","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","12638.0","0.51","0.48","0.0","3.83","0.51","1.96","0.0","0.0","0.0","0.0","40.72","132.85","600.92","300.46","560.19","468.06","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","12638.0","0.48","0.49","0.0","3.23","0.49","1.57","0.0","0.0","0.0","0.0","42.29","132.85","600.92","300.46","558.63","468.06","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","12638.0","0.46","0.49","0.0","3.56","0.49","1.75","0.0","0.0","0.0","0.0","44.04","132.85","600.92","300.46","556.88","468.06","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","12638.0","0.44","0.5","0.0","3.17","0.5","1.58","0.0","0.0","0.0","0.0","45.62","132.85","600.92","300.46","555.29","468.06","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","12638.0","0.42","0.51","0.0","3.21","0.51","1.62","0.72","0.72","0.0","0.0","46.53","132.85","600.92","300.46","554.39","468.06","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","12638.0","0.41","0.51","0.0","3.34","0.51","1.71","0.0","0.0","0.0","0.0","48.24","132.85","600.92","300.46","552.68","468.06","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","12638.0","0.39","0.52","0.0","4.1","0.52","2.13","0.0","0.0","0.0","0.0","50.37","132.85","600.92","300.46","550.54","468.06","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","12638.0","0.37","0.53","0.0","3.96","0.53","2.09","0.0","0.0","0.0","0.0","52.46","132.85","600.92","300.46","548.46","468.06","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","12638.0","0.36","0.53","0.0","4.5","0.53","2.4","0.0","0.0","0.0","0.0","54.86","132.85","600.92","300.46","546.05","468.06","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","12638.0","0.34","0.54","0.0","4.95","0.54","2.68","0.0","0.0","0.0","0.0","57.54","132.85","600.92","300.46","543.38","468.06","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","12638.0","0.33","0.55","0.0","4.75","0.55","2.6","0.0","0.0","0.0","0.0","60.14","132.85","600.92","300.46","540.77","468.06","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","12638.0","0.32","0.56","0.0","4.57","0.56","2.54","0.0","0.0","0.0","0.0","62.68","132.85","600.92","300.46","538.24","468.06","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","12638.0","0.31","0.56","0.0","4.69","0.56","2.64","0.0","0.0","0.0","0.0","65.32","132.85","600.92","300.46","535.6","468.06","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","12638.0","0.3","0.57","0.0","4.21","0.57","2.4","0.0","0.0","0.0","0.0","67.71","132.85","600.92","300.46","533.21","468.06","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","12638.0","0.29","0.58","0.0","5.44","0.58","3.13","0.0","0.0","0.0","0.0","70.85","132.85","600.92","300.46","530.07","468.06","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","12638.0","0.28","0.58","0.0","4.68","0.58","2.73","0.0","0.0","0.0","0.0","73.57","132.85","600.92","300.46","527.34","468.06","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","12638.0","0.28","0.59","0.0","4.56","0.59","2.69","0.0","0.0","0.0","0.0","76.26","132.85","600.92","300.46","524.65","468.06","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","12638.0","0.27","0.6","0.0","2.58","0.6","1.54","0.04","0.04","0.0","0.0","77.76","132.85","600.92","300.46","523.15","468.06","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","12638.0","0.27","0.6","0.0","3.08","0.6","1.86","2.02","2.02","0.0","0.0","77.61","132.85","600.92","300.46","523.31","468.06","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","12638.0","1.11","0.61","0.0","2.76","1.11","3.06","4.27","4.27","0.0","0.0","76.4","132.85","600.92","300.46","524.52","468.06","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","12638.0","1.1","0.62","0.0","3.05","1.1","3.35","11.21","11.21","0.0","0.0","68.54","132.85","600.92","300.46","532.38","468.06","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","12638.0","1.06","0.63","0.0","3.51","1.06","3.72","0.0","0.0","0.0","0.0","72.25","132.85","600.92","300.46","528.66","468.06","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","12638.0","0.82","0.63","0.0","4.17","0.82","3.43","0.0","0.0","0.0","0.0","75.69","132.85","600.92","300.46","525.23","468.06","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","12638.0","0.69","0.64","0.0","4.35","0.69","3.01","0.0","0.0","0.0","0.0","78.7","132.85","600.92","300.46","522.22","468.06","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","12638.0","0.6","0.65","0.0","4.89","0.65","3.16","0.0","0.0","0.0","0.0","81.86","132.85","600.92","300.46","519.06","468.06","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","12638.0","0.53","0.65","0.0","5.01","0.65","3.27","0.0","0.0","0.0","0.0","85.13","132.85","600.92","300.46","515.79","468.06","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","12638.0","0.49","0.66","0.0","4.99","0.66","3.29","0.0","0.0","0.0","0.0","88.42","132.85","600.92","300.46","512.49","468.06","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","12638.0","0.44","0.67","0.0","6.25","0.67","4.17","0.0","0.0","0.0","0.0","92.59","132.85","600.92","300.46","508.32","468.06","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","12638.0","0.41","0.67","0.0","5.67","0.67","3.82","0.0","0.0","0.0","0.0","96.42","132.85","600.92","300.46","504.5","468.06","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","12638.0","0.38","0.68","0.0","5.38","0.68","3.66","0.0","0.0","0.0","0.0","100.08","132.85","600.92","300.46","500.84","468.06","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","12638.0","0.37","0.69","0.0","4.98","0.69","3.43","0.0","0.0","0.0","0.0","103.51","132.85","600.92","300.46","497.41","468.06","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","12638.0","0.35","0.7","0.0","5.17","0.7","3.59","0.0","0.0","0.0","0.0","107.1","132.85","600.92","300.46","493.82","468.06","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","12638.0","0.33","0.7","0.0","4.8","0.7","3.37","0.0","0.0","0.0","0.0","110.47","132.85","600.92","300.46","490.45","468.06","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","12638.0","0.32","0.71","0.0","3.84","0.71","2.72","0.0","0.0","0.0","0.0","113.19","132.85","600.92","300.46","487.73","468.06","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","12638.0","0.32","0.72","0.0","4.05","0.72","2.9","0.0","0.0","0.0","0.0","116.09","132.85","600.92","300.46","484.83","468.06","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","12638.0","0.31","0.72","0.0","4.79","0.72","3.46","0.0","0.0","0.0","0.0","119.55","132.85","600.92","300.46","481.36","468.06","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","12638.0","0.3","0.73","0.0","5.07","0.73","3.7","0.0","0.0","0.0","0.0","123.25","132.85","600.92","300.46","477.66","468.06","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","12638.0","1.06","0.74","0.0","4.03","1.06","4.27","10.88","10.88","0.0","0.0","116.64","132.85","600.92","300.46","484.28","468.06","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","12638.0","0.87","0.74","0.0","5.17","0.87","4.51","0.0","0.0","0.0","0.0","121.15","132.85","600.92","300.46","479.77","468.06","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","12638.0","0.68","0.75","0.0","5.81","0.75","4.36","0.0","0.0","0.0","0.0","125.52","132.85","600.92","300.46","475.4","468.06","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","12638.0","0.58","0.76","0.0","5.63","0.76","4.27","0.0","0.0","0.0","0.0","129.78","132.85","600.92","300.46","471.14","468.06","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","12638.0","0.51","0.77","0.0","5.42","0.77","4.15","0.0","0.0","0.0","0.0","0.0","132.85","600.92","300.46","600.92","468.06","133.93","","","","","","","","",""
"2015.0","4.0","30.0","120.0","12638.0","0.46","0.77","0.0","6.46","0.77","4.99","0.0","0.0","0.0","0.0","4.99","132.85","600.92","300.46","595.93","468.06","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","12638.0","0.42","0.78","0.0","6.5","0.78","5.06","0.0","0.0","0.0","0.0","10.05","132.85","600.92","300.46","590.87","468.06","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","12638.0","0.39","0.79","0.0","5.93","0.79","4.66","0.0","0.0","0.0","0.0","14.71","132.85","600.92","300.46","586.21","468.06","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","12638.0","0.37","0.79","0.0","5.27","0.79","4.18","0.0","0.0","0.0","0.0","18.89","132.85","600.92","300.46","582.03","468.06","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","12638.0","0.35","0.8","0.0","4.89","0.8","3.91","0.0","0.0","0.0","0.0","22.8","132.85","600.92","300.46","578.12","468.06","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","12638.0","0.34","0.8","0.0","4.9","0.8","3.92","0.0","0.0","0.0","0.0","26.72","132.85","600.92","300.46","574.2","468.06","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","12638.0","0.32","0.8","0.0","5.04","0.8","4.03","0.0","0.0","0.0","0.0","30.75","132.85","600.92","300.46","570.16","468.06","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","12638.0","0.32","0.8","0.0","3.23","0.8","2.58","0.0","0.0","0.0","0.0","33.34","132.85","600.92","300.46","567.58","468.06","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","12638.0","0.31","0.8","0.0","4.37","0.8","3.5","1.13","1.13","0.0","0.0","35.7","132.85","600.92","300.46","565.21","468.06","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","12638.0","0.3","0.8","0.0","4.89","0.8","3.91","0.0","0.0","0.0","0.0","39.62","132.85","600.92","300.46","561.3","468.06","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","12638.0","0.29","0.8","0.0","5.25","0.8","4.2","0.0","0.0","0.0","0.0","43.82","132.85","600.92","300.46","557.1","468.06","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","12638.0","0.28","0.8","0.0","5.24","0.8","4.19","0.0","0.0","0.0","0.0","48.01","132.85","600.92","300.46","552.91","468.06","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","12638.0","0.27","0.8","0.0","5.05","0.8","4.04","0.0","0.0","0.0","0.0","52.05","132.85","600.92","300.46","548.87","468.06","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","12638.0","0.26","0.8","0.0","4.75","0.8","3.8","0.0","0.0","0.0","0.0","55.85","132.85","600.92","300.46","545.07","468.06","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","12638.0","0.26","0.8","0.0","3.29","0.8","2.63","0.0","0.0","0.0","0.0","58.48","132.85","600.92","300.46","542.44","468.06","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","12638.0","0.26","0.8","0.0","4.65","0.8","3.72","1.77","1.77","0.0","0.0","60.43","132.85","600.92","300.46","540.49","468.06","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","12638.0","0.25","0.8","0.0","4.81","0.8","3.85","0.0","0.0","0.0","0.0","64.28","132.85","600.92","300.46","536.64","468.06","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","12638.0","0.25","0.8","0.0","3.92","0.8","3.14","0.0","0.0","0.0","0.0","67.41","132.85","600.92","300.46","533.5","468.06","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","12638.0","0.24","0.8","0.0","4.84","0.8","3.87","0.0","0.0","0.0","0.0","71.29","132.85","600.92","300.46","529.63","468.06","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","12638.0","0.24","0.8","0.0","5.04","0.8","4.03","0.0","0.0","0.0","0.0","75.32","132.85","600.92","300.46","525.6","468.06","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","12638.0","0.23","0.8","0.0","4.95","0.8","3.96","0.0","0.0","0.0","0.0","79.28","132.85","600.92","300.46","521.64","468.06","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","12638.0","0.23","0.8","0.0","4.01","0.8","3.21","0.0","0.0","0.0","0.0","82.49","132.85","600.92","300.46","518.43","468.06","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","12638.0","0.22","0.8","0.0","4.85","0.8","3.88","0.0","0.0","0.0","0.0","86.37","132.85","600.92","300.46","514.55","468.06","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","12638.0","0.22","0.8","0.0","4.86","0.8","3.89","0.0","0.0","0.0","0.0","90.25","132.85","600.92","300.46","510.66","468.06","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","12638.0","0.22","0.8","0.0","5.54","0.8","4.43","0.0","0.0","0.0","0.0","94.69","132.85","600.92","300.46","506.23","468.06","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","12638.0","0.21","0.8","0.0","5.5","0.8","4.4","0.0","0.0","0.0","0.0","99.09","132.85","600.92","300.46","501.83","468.06","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","12638.0","0.21","0.8","0.0","5.52","0.8","4.42","0.0","0.0","0.0","0.0","103.5","132.85","600.92","300.46","497.42","468.06","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","12638.0","0.2","0.8","0.0","5.56","0.8","4.45","0.0","0.0","0.0","0.0","107.95","132.85","600.92","300.46","492.97","468.06","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","12638.0","0.2","0.8","0.0","5.42","0.8","4.34","0.0","0.0","0.0","0.0","112.29","132.85","600.92","300.46","488.63","468.06","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","12638.0","0.2","0.8","0.0","6.13","0.8","4.9","0.0","0.0","0.0","0.0","117.19","132.85","600.92","300.46","483.73","468.06","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","12638.0","0.19","0.8","0.0","6.48","0.8","5.18","0.0","0.0","0.0","0.0","122.37","132.85","600.92","300.46","478.54","468.06","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","12638.0","0.19","0.8","0.0","5.44","0.8","4.35","0.0","0.0","0.0","0.0","126.73","132.85","600.92","300.46","474.19","468.06","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","12638.0","0.19","0.8","0.0","5.54","0.8","4.43","0.0","0.0","0.0","0.0","131.16","132.85","600.92","300.46","469.76","468.06","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","12638.0","0.19","0.8","0.0","5.77","0.8","4.62","0.0","0.0","0.0","0.0","0.0","132.85","600.92","300.46","600.92","468.06","135.77","","","","","","","","",""
"2015.0","6.0","3.0","154.0","12638.0","0.18","0.8","0.0","5.57","0.8","4.46","0.0","0.0","0.0","0.0","4.46","132.85","600.92","300.46","596.46","468.06","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","12638.0","0.18","0.8","0.0","5.83","0.8","4.66","0.0","0.0","0.0","0.0","9.12","132.85","600.92","300.46","591.8","468.06","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","12638.0","0.18","0.8","0.0","6.52","0.8","5.22","0.0","0.0","0.0","0.0","14.34","132.85","600.92","300.46","586.58","468.06","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","12638.0","0.17","0.8","0.0","6.39","0.8","5.11","0.0","0.0","0.0","0.0","19.45","132.85","600.92","300.46","581.47","468.06","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","12638.0","0.17","0.8","0.0","6.75","0.8","5.4","0.0","0.0","0.0","0.0","24.85","132.85","600.92","300.46","576.07","468.06","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","12638.0","0.17","0.8","0.0","7.39","0.8","5.91","0.0","0.0","0.0","0.0","30.76","132.85","600.92","300.46","570.16","468.06","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","12638.0","0.17","0.8","0.0","6.66","0.8","5.33","0.0","0.0","0.0","0.0","36.09","132.85","600.92","300.46","564.83","468.06","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","12638.0","0.17","0.8","0.0","3.04","0.8","2.43","0.1","0.1","0.0","0.0","38.42","132.85","600.92","300.46","562.5","468.06","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","12638.0","0.16","0.8","0.0","6.89","0.8","5.51","3.61","3.61","0.0","0.0","40.32","132.85","600.92","300.46","560.6","468.06","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","12638.0","0.16","0.8","0.0","7.67","0.8","6.14","0.0","0.0","0.0","0.0","46.46","132.85","600.92","300.46","554.46","468.06","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","12638.0","0.16","0.8","0.0","7.55","0.8","6.04","0.0","0.0","0.0","0.0","52.5","132.85","600.92","300.46","548.42","468.06","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","12638.0","0.16","0.8","0.0","6.8","0.8","5.44","0.0","0.0","0.0","0.0","57.94","132.85","600.92","300.46","542.98","468.06","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","12638.0","0.15","0.8","0.0","6.63","0.8","5.3","0.0","0.0","0.0","0.0","63.24","132.85","600.92","300.46","537.68","468.06","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","12638.0","0.15","0.8","0.0","6.95","0.8","5.56","0.0","0.0","0.0","0.0","68.8","132.85","600.92","300.46","532.12","468.06","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","12638.0","0.15","0.8","0.0","6.98","0.8","5.58","0.0","0.0","0.0","0.0","74.39","132.85","600.92","300.46","526.53","468.06","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","12638.0","0.15","0.8","0.0","7.54","0.8","6.03","0.0","0.0","0.0","0.0","80.42","132.85","600.92","300.46","520.5","468.06","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","12638.0","0.15","0.8","0.0","7.41","0.8","5.93","0.0","0.0","0.0","0.0","86.35","132.85","600.92","300.46","514.57","468.06","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","12638.0","0.15","0.8","0.0","6.95","0.8","5.56","0.0","0.0","0.0","0.0","91.91","132.85","600.92","300.46","509.01","468.06","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","12638.0","0.14","0.8","0.0","7.57","0.8","6.06","0.0","0.0","0.0","0.0","97.96","132.85","600.92","300.46","502.96","468.06","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","12638.0","0.14","0.8","0.0","7.07","0.8","5.66","0.0","0.0","0.0","0.0","103.62","132.85","600.92","300.46","497.3","468.06","0.0","","","","","","","","",""
"2015.0","6.0","23.0","174.0","12638.0","0.14","0.8","0.0","7.35","0.8","5.88","0.0","0.0","0.0","0.0","109.5","132.85","600.92","300.46","491.42","468.06","0.0","","","","","","","","",""
