" Daily soil water balance output for Vineyard in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Vineyard at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"2015.0","2.0","9.0","40.0","7.0","1.14","0.0","0.0","2.11","1.14","2.4","13.89","7.69","0.0","0.0","0.0","26.4","498.58","249.29","498.58","472.18","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","7.0","1.14","0.0","0.0","1.9","1.14","2.17","0.0","0.0","0.0","0.0","2.17","26.4","498.58","249.29","496.41","472.18","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","7.0","1.14","0.0","0.0","1.76","1.14","2.01","0.0","0.0","0.0","0.0","4.18","26.4","498.58","249.29","494.4","472.18","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","7.0","0.99","0.0","0.0","2.06","0.99","2.05","0.0","0.0","0.0","0.0","6.22","26.4","498.58","249.29","492.36","472.18","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","7.0","0.88","0.0","0.0","2.11","0.88","1.86","0.0","0.0","0.0","0.0","8.08","26.4","498.58","249.29","490.5","472.18","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","7.0","0.8","0.0","0.0","2.23","0.8","1.77","0.0","0.0","0.0","0.0","9.85","26.4","498.58","249.29","488.73","472.18","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","7.0","0.73","0.0","0.0","2.13","0.73","1.56","0.0","0.0","0.0","0.0","11.42","26.4","498.58","249.29","487.16","472.18","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","7.0","0.69","0.0","0.0","2.07","0.69","1.42","0.0","0.0","0.0","0.0","12.84","26.4","498.58","249.29","485.74","472.18","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","7.0","0.65","0.0","0.0","1.78","0.65","1.16","0.0","0.0","0.0","0.0","14.0","26.4","498.58","249.29","484.58","472.18","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","7.0","0.62","0.0","0.0","1.83","0.62","1.14","0.0","0.0","0.0","0.0","15.13","26.4","498.58","249.29","483.45","472.18","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","7.0","0.6","0.0","0.0","1.16","0.6","0.7","0.0","0.0","0.0","0.0","15.83","26.4","498.58","249.29","482.75","472.18","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","7.0","0.58","0.0","0.0","1.9","0.58","1.1","0.0","0.0","0.0","0.0","16.93","26.4","498.58","249.29","481.65","472.18","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","7.0","0.56","0.0","0.0","1.8","0.56","1.0","0.0","0.0","0.0","0.0","17.94","26.4","498.58","249.29","480.64","472.18","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","7.0","0.53","0.0","0.0","2.86","0.53","1.51","0.0","0.0","0.0","0.0","19.45","26.4","498.58","249.29","479.13","472.18","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","7.0","0.5","0.0","0.0","3.4","0.5","1.69","0.0","0.0","0.0","0.0","21.14","26.4","498.58","249.29","477.44","472.18","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","7.0","0.48","0.0","0.0","2.7","0.48","1.29","0.0","0.0","0.0","0.0","22.42","26.4","498.58","249.29","476.16","472.18","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","7.0","0.46","0.0","0.0","2.19","0.46","1.01","0.0","0.0","0.0","0.0","23.44","26.4","498.58","249.29","475.14","472.18","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","7.0","0.44","0.0","0.0","2.85","0.44","1.27","0.0","0.0","0.0","0.0","24.7","26.4","498.58","249.29","473.88","472.18","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","7.0","0.43","0.0","0.0","2.91","0.43","1.25","0.0","0.0","0.0","0.0","25.95","26.4","498.58","249.29","472.63","472.18","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","7.0","0.42","0.0","0.0","2.05","0.42","0.86","0.0","0.0","0.0","0.0","26.8","26.4","498.58","249.29","471.78","472.18","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","7.0","0.41","0.0","0.0","2.5","0.41","1.02","0.02","0.02","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","7.0","0.4","0.0","0.0","2.14","0.4","0.85","0.0","0.0","0.0","0.0","27.25","26.4","498.58","249.29","471.33","472.18","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","7.0","0.39","0.0","0.0","2.47","0.39","0.96","0.02","0.02","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","7.0","0.38","0.0","0.0","2.62","0.38","0.99","0.0","0.0","0.0","0.0","27.39","26.4","498.58","249.29","471.19","472.18","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","7.0","0.37","0.0","0.0","2.83","0.37","1.04","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","7.0","0.36","0.0","0.0","3.01","0.36","1.08","0.0","0.0","0.0","0.0","27.48","26.4","498.58","249.29","471.1","472.18","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","7.0","0.35","0.0","0.0","2.91","0.35","1.02","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","7.0","0.34","0.0","0.0","2.92","0.34","1.0","0.0","0.0","0.0","0.0","27.4","26.4","498.58","249.29","471.18","472.18","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","7.0","0.33","0.0","0.0","2.84","0.33","0.95","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","7.0","0.33","0.0","0.0","2.41","0.33","0.79","0.0","0.0","0.0","0.0","27.19","26.4","498.58","249.29","471.39","472.18","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","7.0","1.14","0.0","0.0","2.12","1.14","2.41","2.84","2.84","0.0","0.0","24.35","26.4","498.58","249.29","474.23","472.18","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","7.0","1.09","0.0","0.0","3.28","1.09","3.57","3.22","3.22","0.0","0.0","24.7","26.4","498.58","249.29","473.88","472.18","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","7.0","1.08","0.0","0.0","3.05","1.08","3.3","0.0","0.0","0.0","0.0","28.0","26.4","498.58","249.29","470.58","472.18","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","7.0","0.86","0.0","0.0","3.51","0.86","3.04","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","7.0","0.73","0.0","0.0","3.83","0.73","2.8","0.0","0.0","0.0","0.0","29.2","26.4","498.58","249.29","469.38","472.18","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","7.0","0.67","0.0","0.0","2.77","0.67","1.85","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","7.0","0.61","0.0","0.0","3.6","0.61","2.18","0.0","0.0","0.0","0.0","28.58","26.4","498.58","249.29","470.0","472.18","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","7.0","0.56","0.0","0.0","3.7","0.56","2.06","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","7.0","0.52","0.0","0.0","3.73","0.52","1.93","0.0","0.0","0.0","0.0","28.33","26.4","498.58","249.29","470.25","472.18","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","7.0","0.49","0.0","0.0","3.13","0.49","1.53","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","7.0","0.46","0.0","0.0","3.46","0.46","1.6","0.0","0.0","0.0","0.0","28.0","26.4","498.58","249.29","470.58","472.18","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","7.0","0.45","0.0","0.0","2.95","0.45","1.31","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","7.0","0.43","0.0","0.0","3.01","0.43","1.29","0.09","0.09","0.0","0.0","27.6","26.4","498.58","249.29","470.98","472.18","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","7.0","0.41","0.0","0.0","3.29","0.41","1.35","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","7.0","0.39","0.0","0.0","3.98","0.39","1.57","0.0","0.0","0.0","0.0","27.97","26.4","498.58","249.29","470.61","472.18","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","7.0","0.38","0.0","0.0","3.89","0.38","1.47","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","7.0","0.36","0.0","0.0","4.2","0.36","1.53","0.0","0.0","0.0","0.0","27.93","26.4","498.58","249.29","470.65","472.18","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","7.0","0.35","0.0","0.0","4.77","0.35","1.66","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","7.0","0.34","0.0","0.0","4.58","0.34","1.54","0.0","0.0","0.0","0.0","27.94","26.4","498.58","249.29","470.64","472.18","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","7.0","0.32","0.0","0.0","4.37","0.32","1.42","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","7.0","0.31","0.0","0.0","4.56","0.31","1.43","0.0","0.0","0.0","0.0","27.83","26.4","498.58","249.29","470.75","472.18","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","7.0","0.31","0.0","0.0","4.09","0.31","1.25","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","7.0","0.3","0.0","0.0","5.22","0.3","1.54","0.0","0.0","0.0","0.0","27.94","26.4","498.58","249.29","470.64","472.18","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","7.0","0.29","0.0","0.0","4.53","0.29","1.3","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","7.0","0.28","0.0","0.0","4.37","0.28","1.22","0.0","0.0","0.0","0.0","27.62","26.4","498.58","249.29","470.96","472.18","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","7.0","0.28","0.0","0.0","2.64","0.28","0.73","0.82","0.82","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","7.0","0.27","0.0","0.0","2.87","0.27","0.78","1.69","1.69","0.0","0.0","25.49","26.4","498.58","249.29","473.09","472.18","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","7.0","1.11","0.0","0.0","2.84","1.11","3.14","3.8","3.8","0.0","0.0","24.83","26.4","498.58","249.29","473.75","472.18","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","7.0","1.09","0.0","0.0","3.15","1.09","3.45","4.57","4.57","0.0","0.0","23.71","26.4","498.58","249.29","474.87","472.18","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","7.0","1.05","0.0","0.0","3.48","1.05","3.66","0.0","0.0","0.0","0.0","27.37","26.4","498.58","249.29","471.21","472.18","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","7.0","0.83","0.0","0.0","4.04","0.83","3.34","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","7.0","0.7","0.0","0.0","4.18","0.7","2.92","0.0","0.0","0.0","0.0","29.32","26.4","498.58","249.29","469.26","472.18","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","7.0","0.61","0.0","0.0","4.74","0.61","2.87","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","7.0","0.54","0.0","0.0","4.61","0.54","2.51","0.0","0.0","0.0","0.0","28.91","26.4","498.58","249.29","469.67","472.18","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","7.0","0.49","0.0","0.0","4.9","0.49","2.42","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","7.0","0.45","0.45","0.0","5.96","0.45","2.68","0.0","0.0","0.0","0.0","29.08","106.89","498.58","249.29","469.5","391.69","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","7.0","0.42","0.46","0.0","5.56","0.46","2.54","0.0","0.0","0.0","0.0","31.62","106.89","498.58","249.29","466.96","391.69","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","7.0","0.39","0.46","0.0","5.25","0.46","2.44","0.0","0.0","0.0","0.0","34.06","106.89","498.58","249.29","464.52","391.69","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","7.0","0.37","0.47","0.0","4.79","0.47","2.26","0.0","0.0","0.0","0.0","36.32","106.89","498.58","249.29","462.26","391.69","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","7.0","0.36","0.48","0.0","4.84","0.48","2.31","0.0","0.0","0.0","0.0","38.63","106.89","498.58","249.29","459.95","391.69","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","7.0","0.34","0.49","0.0","4.45","0.49","2.16","0.0","0.0","0.0","0.0","40.79","106.89","498.58","249.29","457.79","391.69","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","7.0","0.33","0.49","0.0","3.69","0.49","1.82","0.0","0.0","0.0","0.0","42.6","106.89","498.58","249.29","455.98","391.69","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","7.0","0.32","0.5","0.0","4.06","0.5","2.03","0.0","0.0","0.0","0.0","44.63","106.89","498.58","249.29","453.95","391.69","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","7.0","0.31","0.51","0.0","4.55","0.51","2.3","0.0","0.0","0.0","0.0","46.93","106.89","498.58","249.29","451.65","391.69","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","7.0","0.3","0.51","0.0","4.92","0.51","2.52","0.0","0.0","0.0","0.0","49.45","106.89","498.58","249.29","449.13","391.69","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","7.0","0.29","0.52","0.0","4.04","0.52","2.1","4.04","4.04","0.0","0.0","47.52","106.89","498.58","249.29","451.06","391.69","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","7.0","0.29","0.53","0.0","5.0","0.53","2.64","0.0","0.0","0.0","0.0","50.15","106.89","498.58","249.29","448.43","391.69","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","7.0","0.28","0.53","0.0","5.7","0.53","3.04","0.0","0.0","0.0","0.0","53.19","106.89","498.58","249.29","445.39","391.69","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","7.0","0.27","0.54","0.0","5.31","0.54","2.87","0.0","0.0","0.0","0.0","56.07","106.89","498.58","249.29","442.51","391.69","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","7.0","0.26","0.55","0.0","5.12","0.55","2.81","0.0","0.0","0.0","0.0","58.87","106.89","498.58","249.29","439.71","391.69","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","7.0","0.25","0.56","0.0","6.3","0.56","3.5","0.0","0.0","0.0","0.0","62.37","106.89","498.58","249.29","436.21","391.69","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","7.0","0.25","0.56","0.0","6.17","0.56","3.47","0.0","0.0","0.0","0.0","65.84","106.89","498.58","249.29","432.74","391.69","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","7.0","0.24","0.57","0.0","5.52","0.57","3.14","0.0","0.0","0.0","0.0","68.98","106.89","498.58","249.29","429.6","391.69","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","7.0","0.24","0.58","0.0","4.85","0.58","2.79","0.0","0.0","0.0","0.0","71.77","106.89","498.58","249.29","426.81","391.69","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","7.0","0.23","0.58","0.0","4.57","0.58","2.66","0.0","0.0","0.0","0.0","74.44","106.89","498.58","249.29","424.14","391.69","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","7.0","0.23","0.59","0.0","4.68","0.59","2.76","0.0","0.0","0.0","0.0","77.2","106.89","498.58","249.29","421.38","391.69","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","7.0","0.22","0.6","0.0","4.88","0.6","2.91","0.0","0.0","0.0","0.0","80.11","106.89","498.58","249.29","418.47","391.69","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","7.0","0.22","0.6","0.0","3.03","0.6","1.83","0.0","0.0","0.0","0.0","81.94","106.89","498.58","249.29","416.64","391.69","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","7.0","0.22","0.61","0.0","4.27","0.61","2.61","1.21","1.21","0.0","0.0","83.34","106.89","498.58","249.29","415.24","391.69","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","7.0","0.21","0.62","0.0","4.65","0.62","2.87","0.0","0.0","0.0","0.0","86.21","106.89","498.58","249.29","412.37","391.69","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","7.0","0.21","0.63","0.0","4.94","0.63","3.09","0.0","0.0","0.0","0.0","89.3","106.89","498.58","249.29","409.28","391.69","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","7.0","0.21","0.63","0.0","4.97","0.63","3.14","0.0","0.0","0.0","0.0","92.44","106.89","498.58","249.29","406.14","391.69","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","7.0","0.2","0.64","0.0","4.93","0.64","3.15","0.0","0.0","0.0","0.0","95.59","106.89","498.58","249.29","402.99","391.69","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","7.0","0.2","0.65","0.0","4.61","0.65","2.98","0.0","0.0","0.0","0.0","98.57","106.89","498.58","249.29","400.01","391.69","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","7.0","0.2","0.65","0.0","3.0","0.65","1.96","0.0","0.0","0.0","0.0","100.53","106.89","498.58","249.29","398.05","391.69","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","7.0","1.04","0.66","0.0","4.53","1.04","4.71","11.7","11.7","0.0","0.0","93.53","106.89","498.58","249.29","405.05","391.69","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","7.0","0.88","0.67","0.0","4.61","0.88","4.04","0.0","0.0","0.0","0.0","97.57","106.89","498.58","249.29","401.01","391.69","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","7.0","0.74","0.67","0.0","3.94","0.74","2.9","0.0","0.0","0.0","0.0","100.47","106.89","498.58","249.29","398.11","391.69","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","7.0","0.63","0.68","0.0","4.69","0.68","3.19","0.0","0.0","0.0","0.0","103.66","106.89","498.58","249.29","394.92","391.69","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","7.0","0.56","0.69","0.0","4.84","0.69","3.33","0.0","0.0","0.0","0.0","0.0","106.89","498.58","249.29","498.58","391.69","106.99","","","","","","","","",""
"2015.0","5.0","20.0","140.0","7.0","0.51","0.7","0.0","4.67","0.7","3.25","0.0","0.0","0.0","0.0","3.25","106.89","498.58","249.29","495.33","391.69","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","7.0","0.47","0.7","0.0","4.2","0.7","2.95","0.0","0.0","0.0","0.0","6.19","106.89","498.58","249.29","492.39","391.69","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","7.0","0.44","0.71","0.0","4.77","0.71","3.38","0.0","0.0","0.0","0.0","9.58","106.89","498.58","249.29","489.0","391.69","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","7.0","0.41","0.72","0.0","4.69","0.72","3.36","0.0","0.0","0.0","0.0","12.93","106.89","498.58","249.29","485.65","391.69","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","7.0","0.39","0.72","0.0","5.17","0.72","3.74","0.0","0.0","0.0","0.0","16.67","106.89","498.58","249.29","481.91","391.69","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","7.0","0.37","0.73","0.0","5.17","0.73","3.77","0.0","0.0","0.0","0.0","20.45","106.89","498.58","249.29","478.13","391.69","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","7.0","0.35","0.74","0.0","5.18","0.74","3.82","0.0","0.0","0.0","0.0","24.26","106.89","498.58","249.29","474.32","391.69","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","7.0","0.34","0.74","0.0","5.24","0.74","3.9","0.0","0.0","0.0","0.0","28.16","106.89","498.58","249.29","470.42","391.69","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","7.0","0.32","0.75","0.0","5.12","0.75","3.85","0.0","0.0","0.0","0.0","32.01","106.89","498.58","249.29","466.57","391.69","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","7.0","0.31","0.76","0.0","5.74","0.76","4.35","0.0","0.0","0.0","0.0","36.36","106.89","498.58","249.29","462.22","391.69","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","7.0","0.3","0.77","0.0","6.09","0.77","4.66","0.0","0.0","0.0","0.0","41.02","106.89","498.58","249.29","457.56","391.69","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","7.0","0.29","0.77","0.0","5.25","0.77","4.05","0.0","0.0","0.0","0.0","45.07","106.89","498.58","249.29","453.51","391.69","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","7.0","0.28","0.78","0.0","5.51","0.78","4.29","0.0","0.0","0.0","0.0","49.36","106.89","498.58","249.29","449.22","391.69","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","7.0","0.27","0.79","0.0","5.52","0.79","4.34","0.0","0.0","0.0","0.0","53.7","106.89","498.58","249.29","444.88","391.69","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","7.0","0.26","0.79","0.0","5.25","0.79","4.16","0.0","0.0","0.0","0.0","57.86","106.89","498.58","249.29","440.72","391.69","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","7.0","0.26","0.8","0.0","5.59","0.8","4.47","0.0","0.0","0.0","0.0","62.34","106.89","498.58","249.29","436.24","391.69","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","7.0","0.25","0.8","0.0","6.19","0.8","4.95","0.0","0.0","0.0","0.0","67.29","106.89","498.58","249.29","431.29","391.69","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","7.0","0.24","0.8","0.0","6.0","0.8","4.8","0.0","0.0","0.0","0.0","72.09","106.89","498.58","249.29","426.49","391.69","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","7.0","0.23","0.8","0.0","6.42","0.8","5.14","0.0","0.0","0.0","0.0","77.22","106.89","498.58","249.29","421.36","391.69","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","7.0","0.23","0.8","0.0","7.13","0.8","5.7","0.0","0.0","0.0","0.0","82.93","106.89","498.58","249.29","415.65","391.69","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","7.0","0.22","0.8","0.0","6.15","0.8","4.92","0.0","0.0","0.0","0.0","87.85","106.89","498.58","249.29","410.73","391.69","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","7.0","0.22","0.8","0.0","2.9","0.8","2.32","0.76","0.76","0.0","0.0","89.41","106.89","498.58","249.29","409.17","391.69","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","7.0","0.22","0.8","0.0","6.56","0.8","5.25","3.16","3.16","0.0","0.0","91.5","106.89","498.58","249.29","407.08","391.69","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","7.0","0.21","0.8","0.0","7.25","0.8","5.8","0.0","0.0","0.0","0.0","97.3","106.89","498.58","249.29","401.28","391.69","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","7.0","0.21","0.8","0.0","7.01","0.8","5.61","0.0","0.0","0.0","0.0","102.9","106.89","498.58","249.29","395.68","391.69","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","7.0","0.2","0.8","0.0","6.27","0.8","5.02","0.0","0.0","0.0","0.0","0.0","106.89","498.58","249.29","498.58","391.69","107.92","","","","","","","","",""
"2015.0","6.0","15.0","166.0","7.0","0.2","0.8","0.0","6.1","0.8","4.88","0.0","0.0","0.0","0.0","4.88","106.89","498.58","249.29","493.7","391.69","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","7.0","0.19","0.8","0.0","6.47","0.8","5.18","0.0","0.0","0.0","0.0","10.06","106.89","498.58","249.29","488.52","391.69","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","7.0","0.19","0.8","0.0","6.61","0.8","5.29","0.0","0.0","0.0","0.0","15.34","106.89","498.58","249.29","483.24","391.69","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","7.0","0.19","0.8","0.0","6.97","0.8","5.58","0.0","0.0","0.0","0.0","20.92","106.89","498.58","249.29","477.66","391.69","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","7.0","0.18","0.8","0.0","6.99","0.8","5.59","0.0","0.0","0.0","0.0","26.51","106.89","498.58","249.29","472.07","391.69","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","7.0","0.18","0.8","0.0","6.55","0.8","5.24","0.0","0.0","0.0","0.0","31.75","106.89","498.58","249.29","466.83","391.69","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","7.0","0.18","0.8","0.0","7.0","0.8","5.6","0.0","0.0","0.0","0.0","37.35","106.89","498.58","249.29","461.23","391.69","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","7.0","0.17","0.8","0.0","6.6","0.8","5.28","0.0","0.0","0.0","0.0","42.63","106.89","498.58","249.29","455.95","391.69","0.0","","","","","","","","",""
"2015.0","6.0","23.0","174.0","7.0","0.17","0.8","0.0","6.94","0.8","5.55","0.0","0.0","0.0","0.0","48.18","106.89","498.58","249.29","450.4","391.69","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","7.0","0.17","0.8","0.0","6.83","0.8","5.46","0.0","0.0","0.0","0.0","53.65","106.89","498.58","249.29","444.93","391.69","0.0","","","","","","","","",""
"2015.0","6.0","25.0","176.0","7.0","0.17","0.8","0.0","7.59","0.8","6.07","0.0","0.0","0.0","0.0","59.72","106.89","498.58","249.29","438.86","391.69","0.0","","","","","","","","",""
"2015.0","6.0","26.0","177.0","7.0","0.16","0.8","0.0","7.7","0.8","6.16","0.0","0.0","0.0","0.0","65.88","106.89","498.58","249.29","432.7","391.69","0.0","","","","","","","","",""
