" Daily soil water balance output for Truck Crops in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Truck Crops in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","2.0","9.0","40.0","44.0","1.14","0.0","0.0","2.0","1.14","2.28","20.3","2.28","0.0","0.0","0.0","19.2","273.1","136.55","273.1","253.9","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","44.0","1.14","0.0","0.0","1.82","1.14","2.08","0.0","0.0","0.0","0.0","2.08","19.2","273.1","136.55","271.02","253.9","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","44.0","1.15","0.0","0.0","1.61","1.15","1.85","0.0","0.0","0.0","0.0","3.93","19.2","273.1","136.55","269.17","253.9","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","44.0","1.02","0.0","0.0","1.97","1.02","2.02","0.0","0.0","0.0","0.0","5.94","19.2","273.1","136.55","267.16","253.9","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","44.0","0.91","0.0","0.0","2.0","0.91","1.81","0.0","0.0","0.0","0.0","7.76","19.2","273.1","136.55","265.34","253.9","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","44.0","0.82","0.0","0.0","2.16","0.82","1.77","0.0","0.0","0.0","0.0","9.53","19.2","273.1","136.55","263.58","253.9","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","44.0","0.75","0.0","0.0","2.09","0.75","1.57","0.0","0.0","0.0","0.0","11.1","19.2","273.1","136.55","262.0","253.9","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","44.0","0.7","0.0","0.0","2.19","0.7","1.53","0.0","0.0","0.0","0.0","12.63","19.2","273.1","136.55","260.48","253.9","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","44.0","0.66","0.0","0.0","1.85","0.66","1.22","0.0","0.0","0.0","0.0","13.85","19.2","273.1","136.55","259.25","253.9","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","44.0","0.63","0.0","0.0","1.58","0.63","1.0","0.0","0.0","0.0","0.0","14.85","19.2","273.1","136.55","258.25","253.9","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","44.0","0.62","0.0","0.0","1.04","0.62","0.64","0.0","0.0","0.0","0.0","15.49","19.2","273.1","136.55","257.61","253.9","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","44.0","0.59","0.0","0.0","2.0","0.59","1.18","0.0","0.0","0.0","0.0","16.67","19.2","273.1","136.55","256.43","253.9","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","44.0","0.57","0.0","0.0","1.73","0.57","0.98","0.0","0.0","0.0","0.0","17.65","19.2","273.1","136.55","255.45","253.9","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","44.0","0.53","0.0","0.0","3.63","0.53","1.92","0.0","0.0","0.0","0.0","19.57","19.2","273.1","136.55","253.53","253.9","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","44.0","0.49","0.0","0.0","4.25","0.49","2.08","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","44.0","0.47","0.0","0.0","2.81","0.47","1.32","0.0","0.0","0.0","0.0","20.52","19.2","273.1","136.55","252.58","253.9","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","44.0","0.46","0.0","0.0","2.18","0.46","0.99","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","44.0","0.44","0.0","0.0","3.03","0.44","1.33","0.0","0.0","0.0","0.0","20.53","19.2","273.1","136.55","252.57","253.9","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","44.0","0.42","0.0","0.0","2.87","0.42","1.21","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","44.0","0.41","0.0","0.0","2.01","0.41","0.83","0.0","0.0","0.0","0.0","20.03","19.2","273.1","136.55","253.07","253.9","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","44.0","0.4","0.0","0.0","2.65","0.4","1.06","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","44.0","0.39","0.0","0.0","2.24","0.39","0.88","0.0","0.0","0.0","0.0","20.08","19.2","273.1","136.55","253.02","253.9","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","44.0","1.12","0.0","0.0","2.55","1.12","2.85","3.36","3.36","0.0","0.0","16.72","19.2","273.1","136.55","256.38","253.9","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","44.0","1.12","0.0","0.0","2.6","1.12","2.9","0.0","0.0","0.0","0.0","19.62","19.2","273.1","136.55","253.48","253.9","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","44.0","0.97","0.0","0.0","2.79","0.97","2.72","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","44.0","0.83","0.0","0.0","2.99","0.83","2.48","0.0","0.0","0.0","0.0","21.68","19.2","273.1","136.55","251.42","253.9","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","44.0","0.74","0.0","0.0","2.81","0.74","2.08","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","44.0","0.67","0.0","0.0","2.94","0.67","1.97","0.0","0.0","0.0","0.0","21.17","19.2","273.1","136.55","251.93","253.9","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","44.0","0.62","0.0","0.0","2.98","0.62","1.84","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","44.0","0.58","0.0","0.0","2.3","0.58","1.34","0.0","0.0","0.0","0.0","20.54","19.2","273.1","136.55","252.56","253.9","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","44.0","0.56","0.0","0.0","2.11","0.56","1.18","0.83","0.83","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","44.0","1.08","0.0","0.0","3.41","1.08","3.7","4.58","4.58","0.0","0.0","18.32","19.2","273.1","136.55","254.79","253.9","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","44.0","1.07","0.0","0.0","3.03","1.07","3.24","0.0","0.0","0.0","0.0","21.56","19.2","273.1","136.55","251.54","253.9","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","44.0","0.87","0.0","0.0","3.23","0.87","2.82","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","44.0","0.74","0.0","0.0","3.74","0.74","2.77","0.0","0.0","0.0","0.0","21.97","19.2","273.1","136.55","251.13","253.9","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","44.0","0.68","0.0","0.0","2.43","0.68","1.66","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","44.0","0.62","0.0","0.0","3.53","0.62","2.18","0.0","0.0","0.0","0.0","21.38","19.2","273.1","136.55","251.72","253.9","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","44.0","0.56","0.0","0.0","3.85","0.56","2.17","0.01","0.01","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","44.0","0.52","0.0","0.0","3.88","0.52","2.02","0.0","0.0","0.0","0.0","21.22","19.2","273.1","136.55","251.88","253.9","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","44.0","0.49","0.0","0.0","3.07","0.49","1.51","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","44.0","0.47","0.0","0.0","3.6","0.47","1.68","0.0","0.0","0.0","0.0","20.88","19.2","273.1","136.55","252.22","253.9","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","44.0","0.44","0.0","0.0","3.31","0.44","1.47","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","44.0","0.43","0.0","0.0","3.28","0.43","1.4","0.11","0.11","0.0","0.0","20.49","19.2","273.1","136.55","252.61","253.9","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","44.0","0.41","0.0","0.0","3.19","0.41","1.31","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","44.0","0.39","0.0","0.0","4.18","0.39","1.64","0.0","0.0","0.0","0.0","20.84","19.2","273.1","136.55","252.26","253.9","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","44.0","0.38","0.0","0.0","3.88","0.38","1.46","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","44.0","0.36","0.0","0.0","4.4","0.36","1.59","0.0","0.0","0.0","0.0","20.79","19.2","273.1","136.55","252.31","253.9","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","44.0","0.35","0.0","0.0","4.93","0.35","1.7","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","44.0","0.33","0.0","0.0","4.71","0.33","1.57","0.0","0.0","0.0","0.0","20.77","19.2","273.1","136.55","252.33","253.9","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","44.0","0.32","0.0","0.0","4.49","0.32","1.44","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","44.0","0.31","0.0","0.0","4.65","0.31","1.45","0.0","0.0","0.0","0.0","20.65","19.2","273.1","136.55","252.45","253.9","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","44.0","0.3","0.0","0.0","4.22","0.3","1.28","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","44.0","0.29","0.0","0.0","5.54","0.29","1.62","0.0","0.0","0.0","0.0","20.82","19.2","273.1","136.55","252.28","253.9","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","44.0","0.28","0.0","0.0","4.6","0.28","1.31","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","44.0","0.28","0.0","0.0","4.48","0.28","1.24","0.0","0.0","0.0","0.0","20.44","19.2","273.1","136.55","252.66","253.9","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","44.0","0.27","0.0","0.0","2.56","0.27","0.7","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","44.0","0.27","0.0","0.0","2.92","0.27","0.79","0.96","0.96","0.0","0.0","19.03","19.2","273.1","136.55","254.07","253.9","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","44.0","1.12","0.0","0.0","2.53","1.12","2.83","4.05","4.05","0.0","0.0","17.81","19.2","273.1","136.55","255.29","253.9","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","44.0","1.1","0.0","0.0","2.94","1.1","3.24","14.39","14.39","0.0","0.0","6.66","19.2","273.1","136.55","266.44","253.9","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","44.0","1.07","0.0","0.0","3.48","1.07","3.73","0.0","0.0","0.0","0.0","10.39","19.2","273.1","136.55","262.71","253.9","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","44.0","0.83","0.0","0.0","4.1","0.83","3.42","0.0","0.0","0.0","0.0","13.81","19.2","273.1","136.55","259.3","253.9","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","44.0","0.7","0.0","0.0","4.26","0.7","2.98","0.0","0.0","0.0","0.0","16.79","19.2","273.1","136.55","256.31","253.9","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","44.0","0.6","0.0","0.0","4.91","0.6","2.97","0.0","0.0","0.0","0.0","19.75","19.2","273.1","136.55","253.35","253.9","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","44.0","0.54","0.0","0.0","4.91","0.54","2.64","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","44.0","0.49","0.0","0.0","4.87","0.49","2.39","0.0","0.0","0.0","0.0","21.59","19.2","273.1","136.55","251.51","253.9","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","44.0","0.44","0.0","0.0","6.58","0.44","2.91","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","44.0","0.41","0.0","0.0","6.06","0.41","2.47","0.0","0.0","0.0","0.0","21.67","19.2","273.1","136.55","251.43","253.9","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","44.0","0.38","0.0","0.0","5.29","0.38","2.03","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","44.0","0.36","0.0","0.0","4.95","0.36","1.8","0.0","0.0","0.0","0.0","21.0","19.2","273.1","136.55","252.1","253.9","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","44.0","0.35","0.0","0.0","5.18","0.35","1.8","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","44.0","0.33","0.0","0.0","4.74","0.33","1.58","0.0","0.0","0.0","0.0","20.78","19.2","273.1","136.55","252.32","253.9","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","44.0","0.32","0.0","0.0","3.79","0.32","1.23","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","44.0","0.32","0.0","0.0","4.2","0.32","1.32","0.0","0.0","0.0","0.0","20.52","19.2","273.1","136.55","252.58","253.9","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","44.0","0.31","0.0","0.0","4.75","0.31","1.45","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","44.0","0.3","0.0","0.0","4.96","0.3","1.46","0.0","0.0","0.0","0.0","20.66","19.2","273.1","136.55","252.44","253.9","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","44.0","1.06","0.0","0.0","3.96","1.06","4.2","11.93","11.93","0.0","0.0","8.73","19.2","273.1","136.55","264.37","253.9","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","44.0","0.88","0.0","0.0","5.11","0.88","4.5","0.0","0.0","0.0","0.0","13.23","19.2","273.1","136.55","259.87","253.9","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","44.0","0.67","0.0","0.0","6.12","0.67","4.12","0.0","0.0","0.0","0.0","17.35","19.2","273.1","136.55","255.75","253.9","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","44.0","0.58","0.0","0.0","5.51","0.58","3.17","0.0","0.0","0.0","0.0","20.52","19.2","273.1","136.55","252.58","253.9","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","44.0","0.51","0.0","0.0","5.26","0.51","2.7","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","44.0","0.46","0.0","0.0","6.47","0.46","2.96","0.0","0.0","0.0","0.0","22.16","19.2","273.1","136.55","250.94","253.9","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","44.0","0.42","0.0","0.0","6.45","0.42","2.69","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","44.0","0.39","0.0","0.0","5.94","0.39","2.3","0.0","0.0","0.0","0.0","21.5","19.2","273.1","136.55","251.6","253.9","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","44.0","0.37","0.0","0.0","5.17","0.37","1.9","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","44.0","0.35","0.0","0.0","4.74","0.35","1.67","0.0","0.0","0.0","0.0","20.87","19.2","273.1","136.55","252.23","253.9","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","44.0","0.34","0.0","0.0","4.79","0.34","1.62","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","44.0","0.32","0.0","0.0","5.2","0.32","1.68","0.0","0.0","0.0","0.0","20.88","19.2","273.1","136.55","252.22","253.9","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","44.0","0.32","0.0","0.0","3.82","0.32","1.21","0.5","0.5","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","44.0","0.31","0.0","0.0","4.45","0.31","1.36","0.01","0.01","0.0","0.0","20.55","19.2","273.1","136.55","252.55","253.9","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","44.0","0.3","0.0","0.0","4.99","0.3","1.48","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","44.0","0.29","0.0","0.0","5.12","0.29","1.47","0.0","0.0","0.0","0.0","20.67","19.2","273.1","136.55","252.43","253.9","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","44.0","0.28","0.0","0.0","5.11","0.28","1.42","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","44.0","0.27","0.0","0.0","5.01","0.27","1.36","0.0","0.0","0.0","0.0","20.56","19.2","273.1","136.55","252.54","253.9","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","44.0","0.26","0.0","0.0","4.72","0.26","1.25","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","44.0","0.26","0.0","0.0","3.63","0.26","0.94","0.0","0.0","0.0","0.0","20.14","19.2","273.1","136.55","252.96","253.9","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","44.0","0.25","0.8","0.0","4.7","0.8","3.76","0.06","0.06","0.0","0.0","23.84","64.51","273.1","136.55","249.26","208.6","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","44.0","0.25","0.8","0.0","4.79","0.8","3.83","0.0","0.0","0.0","0.0","27.68","64.51","273.1","136.55","245.42","208.6","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","44.0","0.24","0.8","0.0","3.87","0.8","3.1","0.0","0.0","0.0","0.0","30.77","64.51","273.1","136.55","242.33","208.6","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","44.0","0.24","0.8","0.0","4.77","0.8","3.82","0.0","0.0","0.0","0.0","34.59","64.51","273.1","136.55","238.51","208.6","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","44.0","0.24","0.8","0.0","4.98","0.8","3.98","0.0","0.0","0.0","0.0","38.57","64.51","273.1","136.55","234.53","208.6","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","44.0","0.23","0.8","0.0","4.89","0.8","3.91","0.0","0.0","0.0","0.0","42.48","64.51","273.1","136.55","230.62","208.6","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","44.0","0.23","0.8","0.0","4.59","0.8","3.67","0.0","0.0","0.0","0.0","46.16","64.51","273.1","136.55","226.94","208.6","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","44.0","0.22","0.8","0.0","4.9","0.8","3.92","0.0","0.0","0.0","0.0","50.08","64.51","273.1","136.55","223.02","208.6","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","44.0","0.22","0.8","0.0","4.73","0.8","3.78","0.0","0.0","0.0","0.0","53.86","64.51","273.1","136.55","219.24","208.6","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","44.0","0.21","0.8","0.0","5.57","0.8","4.46","0.0","0.0","0.0","0.0","58.32","64.51","273.1","136.55","214.78","208.6","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","44.0","0.21","0.8","0.0","5.38","0.8","4.3","0.0","0.0","0.0","0.0","62.62","64.51","273.1","136.55","210.48","208.6","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","44.0","0.21","0.8","0.0","5.42","0.8","4.34","0.0","0.0","0.0","0.0","0.0","64.51","273.1","136.55","273.1","208.6","66.96","","","","","","","","",""
"2015.0","5.0","27.0","147.0","44.0","0.2","0.8","0.0","5.47","0.8","4.38","0.0","0.0","0.0","0.0","4.38","64.51","273.1","136.55","268.72","208.6","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","44.0","0.2","0.8","0.0","5.36","0.8","4.29","0.0","0.0","0.0","0.0","8.66","64.51","273.1","136.55","264.44","208.6","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","44.0","0.2","0.8","0.0","5.96","0.8","4.77","0.0","0.0","0.0","0.0","13.43","64.51","273.1","136.55","259.67","208.6","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","44.0","0.19","0.8","0.0","6.29","0.8","5.03","0.0","0.0","0.0","0.0","18.46","64.51","273.1","136.55","254.64","208.6","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","44.0","0.19","0.8","0.0","5.29","0.8","4.23","0.0","0.0","0.0","0.0","22.7","64.51","273.1","136.55","250.4","208.6","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","44.0","0.19","0.8","0.0","5.34","0.8","4.27","0.0","0.0","0.0","0.0","26.97","64.51","273.1","136.55","246.13","208.6","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","44.0","0.19","0.8","0.0","5.63","0.8","4.5","0.0","0.0","0.0","0.0","31.47","64.51","273.1","136.55","241.63","208.6","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","44.0","0.18","0.8","0.0","5.42","0.8","4.34","0.0","0.0","0.0","0.0","35.81","64.51","273.1","136.55","237.29","208.6","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","44.0","0.18","0.8","0.0","5.87","0.8","4.7","0.0","0.0","0.0","0.0","40.5","64.51","273.1","136.55","232.6","208.6","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","44.0","0.18","0.8","0.0","6.78","0.8","5.42","0.0","0.0","0.0","0.0","45.93","64.51","273.1","136.55","227.17","208.6","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","44.0","0.17","0.8","0.0","6.33","0.8","5.06","0.0","0.0","0.0","0.0","50.99","64.51","273.1","136.55","222.11","208.6","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","44.0","0.17","0.8","0.0","6.88","0.8","5.5","0.0","0.0","0.0","0.0","56.5","64.51","273.1","136.55","216.6","208.6","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","44.0","0.17","0.8","0.0","7.31","0.8","5.85","0.0","0.0","0.0","0.0","62.34","64.51","273.1","136.55","210.76","208.6","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","44.0","0.17","0.8","0.0","6.91","0.8","5.53","0.0","0.0","0.0","0.0","0.0","64.51","273.1","136.55","273.1","208.6","67.87","","","","","","","","",""
"2015.0","6.0","10.0","161.0","44.0","0.17","0.8","0.0","2.53","0.8","2.02","0.32","0.32","0.0","0.0","1.7","64.51","273.1","136.55","271.4","208.6","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","44.0","0.16","0.8","0.0","7.0","0.8","5.6","1.59","1.59","0.0","0.0","5.71","64.51","273.1","136.55","267.39","208.6","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","44.0","0.16","0.8","0.0","7.84","0.8","6.27","0.0","0.0","0.0","0.0","11.99","64.51","273.1","136.55","261.11","208.6","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","44.0","0.16","0.81","0.0","7.39","0.81","5.96","0.0","0.0","0.0","0.0","17.94","64.51","273.1","136.55","255.16","208.6","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","44.0","0.16","0.81","0.0","6.62","0.81","5.37","0.0","0.0","0.0","0.0","23.32","64.51","273.1","136.55","249.79","208.6","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","44.0","0.15","0.82","0.0","6.43","0.82","5.26","0.0","0.0","0.0","0.0","28.57","64.51","273.1","136.55","244.53","208.6","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","44.0","0.15","0.82","0.0","6.82","0.82","5.62","0.02","0.02","0.0","0.0","34.17","64.51","273.1","136.55","238.93","208.6","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","44.0","0.15","0.83","0.0","6.84","0.83","5.67","0.0","0.0","0.0","0.0","39.84","64.51","273.1","136.55","233.26","208.6","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","44.0","0.15","0.84","0.0","7.46","0.84","6.23","0.0","0.0","0.0","0.0","46.07","64.51","273.1","136.55","227.03","208.6","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","44.0","0.15","0.84","0.0","7.3","0.84","6.14","0.0","0.0","0.0","0.0","52.21","64.51","273.1","136.55","220.89","208.6","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","44.0","0.15","0.85","0.0","6.95","0.85","5.89","0.0","0.0","0.0","0.0","58.1","64.51","273.1","136.55","215.0","208.6","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","44.0","0.14","0.85","0.0","7.44","0.85","6.35","0.0","0.0","0.0","0.0","64.45","64.51","273.1","136.55","208.65","208.6","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","44.0","0.14","0.86","0.0","6.8","0.86","5.84","0.0","0.0","0.0","0.0","0.0","64.51","273.1","136.55","273.1","208.6","70.29","","","","","","","","",""
"2015.0","6.0","23.0","174.0","44.0","0.14","0.86","0.0","7.3","0.86","6.31","0.0","0.0","0.0","0.0","6.31","64.51","273.1","136.55","266.79","208.6","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","44.0","0.14","0.87","0.0","7.32","0.87","6.37","0.0","0.0","0.0","0.0","12.69","64.51","273.1","136.55","260.42","208.6","0.0","","","","","","","","",""
"2015.0","6.0","25.0","176.0","44.0","0.14","0.88","0.0","7.89","0.88","6.92","0.0","0.0","0.0","0.0","19.6","64.51","273.1","136.55","253.5","208.6","0.0","","","","","","","","",""
"2015.0","6.0","26.0","177.0","44.0","0.14","0.88","0.0","8.25","0.88","7.28","0.0","0.0","0.0","0.0","26.88","64.51","273.1","136.55","246.22","208.6","0.0","","","","","","","","",""
