" Daily soil water balance output for Pasture in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Pasture in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"2015.0","2.0","11.0","42.0","10805.0","1.15","0.95","0.0","1.63","1.15","1.87","0.0","0.0","0.0","0.0","11.09","59.87","254.81","127.41","243.72","194.94","0.0","","","","","","",""
"2015.0","2.0","12.0","43.0","10805.0","1.02","0.95","0.0","1.98","1.02","2.02","0.0","0.0","0.0","0.0","13.11","59.87","254.81","127.41","241.71","194.94","0.0","","","","","","",""
"2015.0","2.0","13.0","44.0","10805.0","0.9","0.95","0.0","2.03","0.95","1.93","0.0","0.0","0.0","0.0","15.03","59.87","254.81","127.41","239.78","194.94","0.0","","","","","","",""
"2015.0","2.0","14.0","45.0","10805.0","0.81","0.95","0.0","2.18","0.95","2.07","0.0","0.0","0.0","0.0","17.11","59.87","254.81","127.41","237.71","194.94","0.0","","","","","","",""
"2015.0","2.0","15.0","46.0","10805.0","0.75","0.95","0.0","2.08","0.95","1.98","0.0","0.0","0.0","0.0","19.08","59.87","254.81","127.41","235.73","194.94","0.0","","","","","","",""
"2015.0","2.0","16.0","47.0","10805.0","0.7","0.95","0.0","2.18","0.95","2.07","0.0","0.0","0.0","0.0","21.15","59.87","254.81","127.41","233.66","194.94","0.0","","","","","","",""
"2015.0","2.0","17.0","48.0","10805.0","0.66","0.95","0.0","1.84","0.95","1.75","0.0","0.0","0.0","0.0","22.9","59.87","254.81","127.41","231.91","194.94","0.0","","","","","","",""
"2015.0","2.0","18.0","49.0","10805.0","0.63","0.95","0.0","1.59","0.95","1.51","0.0","0.0","0.0","0.0","24.41","59.87","254.81","127.41","230.4","194.94","0.0","","","","","","",""
"2015.0","2.0","19.0","50.0","10805.0","0.62","0.95","0.0","1.06","0.95","1.01","0.0","0.0","0.0","0.0","25.42","59.87","254.81","127.41","229.4","194.94","0.0","","","","","","",""
"2015.0","2.0","20.0","51.0","10805.0","0.59","0.95","0.0","1.88","0.95","1.79","0.0","0.0","0.0","0.0","27.2","59.87","254.81","127.41","227.61","194.94","0.0","","","","","","",""
"2015.0","2.0","21.0","52.0","10805.0","0.57","0.95","0.0","1.63","0.95","1.55","0.0","0.0","0.0","0.0","28.75","59.87","254.81","127.41","226.06","194.94","0.0","","","","","","",""
"2015.0","2.0","22.0","53.0","10805.0","0.53","0.95","0.0","3.48","0.95","3.31","0.0","0.0","0.0","0.0","32.06","59.87","254.81","127.41","222.75","194.94","0.0","","","","","","",""
"2015.0","2.0","23.0","54.0","10805.0","0.49","0.95","0.0","4.09","0.95","3.89","0.0","0.0","0.0","0.0","35.94","59.87","254.81","127.41","218.87","194.94","0.0","","","","","","",""
"2015.0","2.0","24.0","55.0","10805.0","0.47","0.95","0.0","2.78","0.95","2.64","0.0","0.0","0.0","0.0","38.58","59.87","254.81","127.41","216.23","194.94","0.0","","","","","","",""
"2015.0","2.0","25.0","56.0","10805.0","0.46","0.95","0.0","2.16","0.95","2.05","0.0","0.0","0.0","0.0","40.64","59.87","254.81","127.41","214.18","194.94","0.0","","","","","","",""
"2015.0","2.0","26.0","57.0","10805.0","0.44","0.95","0.0","3.01","0.95","2.86","0.0","0.0","0.0","0.0","43.5","59.87","254.81","127.41","211.32","194.94","0.0","","","","","","",""
"2015.0","2.0","27.0","58.0","10805.0","0.43","0.95","0.0","2.86","0.95","2.72","0.0","0.0","0.0","0.0","46.21","59.87","254.81","127.41","208.6","194.94","0.0","","","","","","",""
"2015.0","2.0","28.0","59.0","10805.0","0.42","0.95","0.0","2.01","0.95","1.91","0.0","0.0","0.0","0.0","48.12","59.87","254.81","127.41","206.69","194.94","0.0","","","","","","",""
"2015.0","3.0","1.0","60.0","10805.0","0.4","0.95","0.0","2.6","0.95","2.47","0.0","0.0","0.0","0.0","50.59","59.87","254.81","127.41","204.22","194.94","0.0","","","","","","",""
"2015.0","3.0","2.0","61.0","10805.0","0.39","0.95","0.0","2.27","0.95","2.16","0.0","0.0","0.0","0.0","52.75","59.87","254.81","127.41","202.06","194.94","0.0","","","","","","",""
"2015.0","3.0","3.0","62.0","10805.0","0.38","0.95","0.0","2.57","0.95","2.44","0.86","0.86","0.0","0.0","54.33","59.87","254.81","127.41","200.48","194.94","0.0","","","","","","",""
"2015.0","3.0","4.0","63.0","10805.0","0.37","0.95","0.0","2.6","0.95","2.47","0.0","0.0","0.0","0.0","56.8","59.87","254.81","127.41","198.01","194.94","0.0","","","","","","",""
"2015.0","3.0","5.0","64.0","10805.0","0.37","0.95","0.0","2.79","0.95","2.65","0.0","0.0","0.0","0.0","59.45","59.87","254.81","127.41","195.36","194.94","0.0","","","","","","",""
"2015.0","3.0","6.0","65.0","10805.0","0.36","0.95","0.0","2.99","0.95","2.84","0.0","0.0","0.0","0.0","0.0","59.87","254.81","127.41","254.81","194.94","62.29","","","","","","",""
"2015.0","3.0","7.0","66.0","10805.0","0.35","0.95","0.0","2.82","0.95","2.68","0.0","0.0","0.0","0.0","2.68","59.87","254.81","127.41","252.13","194.94","0.0","","","","","","",""
"2015.0","3.0","8.0","67.0","10805.0","0.34","0.95","0.0","2.96","0.95","2.81","0.0","0.0","0.0","0.0","5.49","59.87","254.81","127.41","249.32","194.94","0.0","","","","","","",""
"2015.0","3.0","9.0","68.0","10805.0","0.33","0.95","0.0","2.98","0.95","2.83","0.0","0.0","0.0","0.0","8.32","59.87","254.81","127.41","246.49","194.94","0.0","","","","","","",""
"2015.0","3.0","10.0","69.0","10805.0","0.33","0.95","0.0","2.43","0.95","2.31","0.0","0.0","0.0","0.0","10.63","59.87","254.81","127.41","244.18","194.94","0.0","","","","","","",""
"2015.0","3.0","11.0","70.0","10805.0","0.32","0.95","0.0","2.13","0.95","2.02","0.72","0.72","0.0","0.0","11.93","59.87","254.81","127.41","242.88","194.94","0.0","","","","","","",""
"2015.0","3.0","12.0","71.0","10805.0","1.08","0.95","0.0","3.4","1.08","3.69","3.96","3.96","0.0","0.0","11.66","59.87","254.81","127.41","243.15","194.94","0.0","","","","","","",""
"2015.0","3.0","13.0","72.0","10805.0","1.07","0.95","0.0","3.07","1.07","3.28","0.0","0.0","0.0","0.0","14.94","59.87","254.81","127.41","239.88","194.94","0.0","","","","","","",""
"2015.0","3.0","14.0","73.0","10805.0","0.87","0.95","0.0","3.32","0.95","3.15","0.0","0.0","0.0","0.0","18.09","59.87","254.81","127.41","236.72","194.94","0.0","","","","","","",""
"2015.0","3.0","15.0","74.0","10805.0","0.73","0.95","0.0","3.87","0.95","3.68","0.0","0.0","0.0","0.0","21.77","59.87","254.81","127.41","233.05","194.94","0.0","","","","","","",""
"2015.0","3.0","16.0","75.0","10805.0","0.67","0.95","0.0","2.59","0.95","2.46","0.0","0.0","0.0","0.0","24.23","59.87","254.81","127.41","230.59","194.94","0.0","","","","","","",""
"2015.0","3.0","17.0","76.0","10805.0","0.61","0.95","0.0","3.57","0.95","3.39","0.0","0.0","0.0","0.0","27.62","59.87","254.81","127.41","227.19","194.94","0.0","","","","","","",""
"2015.0","3.0","18.0","77.0","10805.0","0.56","0.95","0.0","3.85","0.95","3.66","0.21","0.21","0.0","0.0","31.07","59.87","254.81","127.41","223.75","194.94","0.0","","","","","","",""
"2015.0","3.0","19.0","78.0","10805.0","0.52","0.95","0.0","3.88","0.95","3.69","0.0","0.0","0.0","0.0","34.75","59.87","254.81","127.41","220.06","194.94","0.0","","","","","","",""
"2015.0","3.0","20.0","79.0","10805.0","0.49","0.95","0.0","3.12","0.95","2.96","0.0","0.0","0.0","0.0","37.72","59.87","254.81","127.41","217.1","194.94","0.0","","","","","","",""
"2015.0","3.0","21.0","80.0","10805.0","0.46","0.95","0.0","3.61","0.95","3.43","0.0","0.0","0.0","0.0","41.15","59.87","254.81","127.41","213.67","194.94","0.0","","","","","","",""
"2015.0","3.0","22.0","81.0","10805.0","0.44","0.95","0.0","3.15","0.95","2.99","0.0","0.0","0.0","0.0","44.14","59.87","254.81","127.41","210.67","194.94","0.0","","","","","","",""
"2015.0","3.0","23.0","82.0","10805.0","0.42","0.95","0.0","3.24","0.95","3.08","0.46","0.46","0.0","0.0","46.76","59.87","254.81","127.41","208.06","194.94","0.0","","","","","","",""
"2015.0","3.0","24.0","83.0","10805.0","0.41","0.95","0.0","3.22","0.95","3.06","0.0","0.0","0.0","0.0","49.82","59.87","254.81","127.41","205.0","194.94","0.0","","","","","","",""
"2015.0","3.0","25.0","84.0","10805.0","0.39","0.95","0.0","4.16","0.95","3.95","0.0","0.0","0.0","0.0","53.77","59.87","254.81","127.41","201.05","194.94","0.0","","","","","","",""
"2015.0","3.0","26.0","85.0","10805.0","0.38","0.95","0.0","3.91","0.95","3.71","0.0","0.0","0.0","0.0","57.48","59.87","254.81","127.41","197.33","194.94","0.0","","","","","","",""
"2015.0","3.0","27.0","86.0","10805.0","0.36","0.95","0.0","4.48","0.95","4.26","0.0","0.0","0.0","0.0","0.0","59.87","254.81","127.41","254.81","194.94","61.74","","","","","","",""
"2015.0","3.0","28.0","87.0","10805.0","0.34","0.95","0.0","4.95","0.95","4.7","0.0","0.0","0.0","0.0","4.7","59.87","254.81","127.41","250.11","194.94","0.0","","","","","","",""
"2015.0","3.0","29.0","88.0","10805.0","0.33","0.95","0.0","4.75","0.95","4.51","0.0","0.0","0.0","0.0","9.22","59.87","254.81","127.41","245.6","194.94","0.0","","","","","","",""
"2015.0","3.0","30.0","89.0","10805.0","0.32","0.95","0.0","4.54","0.95","4.31","0.0","0.0","0.0","0.0","13.53","59.87","254.81","127.41","241.28","194.94","0.0","","","","","","",""
"2015.0","3.0","31.0","90.0","10805.0","0.31","0.95","0.0","4.67","0.95","4.44","0.0","0.0","0.0","0.0","17.96","59.87","254.81","127.41","236.85","194.94","0.0","","","","","","",""
"2015.0","4.0","1.0","91.0","10805.0","0.3","0.95","0.0","4.21","0.95","4.0","0.0","0.0","0.0","0.0","21.96","59.87","254.81","127.41","232.85","194.94","0.0","","","","","","",""
"2015.0","4.0","2.0","92.0","10805.0","0.29","0.95","0.0","5.53","0.95","5.25","0.0","0.0","0.0","0.0","27.22","59.87","254.81","127.41","227.6","194.94","0.0","","","","","","",""
"2015.0","4.0","3.0","93.0","10805.0","0.28","0.95","0.0","4.65","0.95","4.42","0.0","0.0","0.0","0.0","31.64","59.87","254.81","127.41","223.18","194.94","0.0","","","","","","",""
"2015.0","4.0","4.0","94.0","10805.0","0.28","0.95","0.0","4.54","0.95","4.31","0.0","0.0","0.0","0.0","35.95","59.87","254.81","127.41","218.86","194.94","0.0","","","","","","",""
"2015.0","4.0","5.0","95.0","10805.0","0.27","0.95","0.0","2.51","0.95","2.38","0.08","0.08","0.0","0.0","38.25","59.87","254.81","127.41","216.56","194.94","0.0","","","","","","",""
"2015.0","4.0","6.0","96.0","10805.0","0.27","0.95","0.0","2.97","0.95","2.82","2.53","2.53","0.0","0.0","38.54","59.87","254.81","127.41","216.27","194.94","0.0","","","","","","",""
"2015.0","4.0","7.0","97.0","10805.0","0.27","0.95","0.0","2.49","0.95","2.37","3.03","3.03","0.0","0.0","37.88","59.87","254.81","127.41","216.93","194.94","0.0","","","","","","",""
"2015.0","4.0","8.0","98.0","10805.0","1.1","0.95","0.0","2.99","1.1","3.29","14.46","14.46","0.0","0.0","26.71","59.87","254.81","127.41","228.1","194.94","0.0","","","","","","",""
"2015.0","4.0","9.0","99.0","10805.0","1.07","0.95","0.0","3.5","1.07","3.73","0.0","0.0","0.0","0.0","30.44","59.87","254.81","127.41","224.37","194.94","0.0","","","","","","",""
"2015.0","4.0","10.0","100.0","10805.0","0.83","0.95","0.0","4.14","0.95","3.93","0.0","0.0","0.0","0.0","34.37","59.87","254.81","127.41","220.44","194.94","0.0","","","","","","",""
"2015.0","4.0","11.0","101.0","10805.0","0.7","0.95","0.0","4.3","0.95","4.09","0.0","0.0","0.0","0.0","38.46","59.87","254.81","127.41","216.36","194.94","0.0","","","","","","",""
"2015.0","4.0","12.0","102.0","10805.0","0.6","0.95","0.0","4.93","0.95","4.68","0.0","0.0","0.0","0.0","43.14","59.87","254.81","127.41","211.67","194.94","0.0","","","","","","",""
"2015.0","4.0","13.0","103.0","10805.0","0.54","0.95","0.0","5.02","0.95","4.77","0.0","0.0","0.0","0.0","47.91","59.87","254.81","127.41","206.9","194.94","0.0","","","","","","",""
"2015.0","4.0","14.0","104.0","10805.0","0.49","0.95","0.0","4.9","0.95","4.66","0.0","0.0","0.0","0.0","52.56","59.87","254.81","127.41","202.25","194.94","0.0","","","","","","",""
"2015.0","4.0","15.0","105.0","10805.0","0.44","0.95","0.0","6.53","0.95","6.2","0.0","0.0","0.0","0.0","58.77","59.87","254.81","127.41","196.04","194.94","0.0","","","","","","",""
"2015.0","4.0","16.0","106.0","10805.0","0.41","0.95","0.0","5.97","0.95","5.67","0.0","0.0","0.0","0.0","0.0","59.87","254.81","127.41","254.81","194.94","64.44","","","","","","",""
"2015.0","4.0","17.0","107.0","10805.0","0.38","0.95","0.0","5.35","0.95","5.08","0.0","0.0","0.0","0.0","5.08","59.87","254.81","127.41","249.73","194.94","0.0","","","","","","",""
"2015.0","4.0","18.0","108.0","10805.0","0.36","0.95","0.0","4.99","0.95","4.74","0.0","0.0","0.0","0.0","9.82","59.87","254.81","127.41","244.99","194.94","0.0","","","","","","",""
"2015.0","4.0","19.0","109.0","10805.0","0.35","0.95","0.0","5.25","0.95","4.99","0.0","0.0","0.0","0.0","14.81","59.87","254.81","127.41","240.0","194.94","0.0","","","","","","",""
"2015.0","4.0","20.0","110.0","10805.0","0.33","0.95","0.0","4.8","0.95","4.56","0.0","0.0","0.0","0.0","19.37","59.87","254.81","127.41","235.44","194.94","0.0","","","","","","",""
"2015.0","4.0","21.0","111.0","10805.0","0.32","0.95","0.0","3.83","0.95","3.64","0.0","0.0","0.0","0.0","23.01","59.87","254.81","127.41","231.8","194.94","0.0","","","","","","",""
"2015.0","4.0","22.0","112.0","10805.0","0.31","0.95","0.0","4.16","0.95","3.95","0.0","0.0","0.0","0.0","26.96","59.87","254.81","127.41","227.85","194.94","0.0","","","","","","",""
"2015.0","4.0","23.0","113.0","10805.0","0.3","0.95","0.0","4.79","0.95","4.55","0.0","0.0","0.0","0.0","31.51","59.87","254.81","127.41","223.3","194.94","0.0","","","","","","",""
"2015.0","4.0","24.0","114.0","10805.0","0.29","0.95","0.0","5.05","0.95","4.8","0.0","0.0","0.0","0.0","36.31","59.87","254.81","127.41","218.5","194.94","0.0","","","","","","",""
"2015.0","4.0","25.0","115.0","10805.0","1.06","0.95","0.0","4.07","1.06","4.3","12.34","12.34","0.0","0.0","28.27","59.87","254.81","127.41","226.54","194.94","0.0","","","","","","",""
"2015.0","4.0","26.0","116.0","10805.0","0.87","0.95","0.0","5.14","0.95","4.88","0.0","0.0","0.0","0.0","33.15","59.87","254.81","127.41","221.66","194.94","0.0","","","","","","",""
"2015.0","4.0","27.0","117.0","10805.0","0.67","0.95","0.0","6.01","0.95","5.71","0.0","0.0","0.0","0.0","38.86","59.87","254.81","127.41","215.95","194.94","0.0","","","","","","",""
"2015.0","4.0","28.0","118.0","10805.0","0.57","0.95","0.0","5.62","0.95","5.34","0.0","0.0","0.0","0.0","44.2","59.87","254.81","127.41","210.61","194.94","0.0","","","","","","",""
"2015.0","4.0","29.0","119.0","10805.0","0.51","0.95","0.0","5.35","0.95","5.08","0.0","0.0","0.0","0.0","49.29","59.87","254.81","127.41","205.53","194.94","0.0","","","","","","",""
"2015.0","4.0","30.0","120.0","10805.0","0.46","0.95","0.0","6.46","0.95","6.14","0.0","0.0","0.0","0.0","55.42","59.87","254.81","127.41","199.39","194.94","0.0","","","","","","",""
"2015.0","5.0","1.0","121.0","10805.0","0.41","0.95","0.0","6.52","0.95","6.19","0.0","0.0","0.0","0.0","0.0","59.87","254.81","127.41","254.81","194.94","61.62","","","","","","",""
"2015.0","5.0","2.0","122.0","10805.0","0.39","0.95","0.0","6.03","0.95","5.73","0.0","0.0","0.0","0.0","5.73","59.87","254.81","127.41","249.08","194.94","0.0","","","","","","",""
"2015.0","5.0","3.0","123.0","10805.0","0.37","0.95","0.0","5.29","0.95","5.03","0.0","0.0","0.0","0.0","10.75","59.87","254.81","127.41","244.06","194.94","0.0","","","","","","",""
"2015.0","5.0","4.0","124.0","10805.0","0.35","0.95","0.0","4.85","0.95","4.61","0.0","0.0","0.0","0.0","15.36","59.87","254.81","127.41","239.45","194.94","0.0","","","","","","",""
"2015.0","5.0","5.0","125.0","10805.0","0.34","0.95","0.0","4.86","0.95","4.62","0.0","0.0","0.0","0.0","19.98","59.87","254.81","127.41","234.83","194.94","0.0","","","","","","",""
"2015.0","5.0","6.0","126.0","10805.0","0.32","0.95","0.0","5.17","0.95","4.91","0.0","0.0","0.0","0.0","24.89","59.87","254.81","127.41","229.92","194.94","0.0","","","","","","",""
"2015.0","5.0","7.0","127.0","10805.0","0.31","0.95","0.0","3.74","0.95","3.55","0.12","0.12","0.0","0.0","28.32","59.87","254.81","127.41","226.49","194.94","0.0","","","","","","",""
"2015.0","5.0","8.0","128.0","10805.0","0.3","0.95","0.0","4.45","0.95","4.23","0.04","0.04","0.0","0.0","32.51","59.87","254.81","127.41","222.3","194.94","0.0","","","","","","",""
"2015.0","5.0","9.0","129.0","10805.0","0.29","0.95","0.0","5.02","0.95","4.77","0.0","0.0","0.0","0.0","37.28","59.87","254.81","127.41","217.53","194.94","0.0","","","","","","",""
"2015.0","5.0","10.0","130.0","10805.0","0.29","0.95","0.0","5.24","0.95","4.98","0.0","0.0","0.0","0.0","42.26","59.87","254.81","127.41","212.56","194.94","0.0","","","","","","",""
"2015.0","5.0","11.0","131.0","10805.0","0.28","0.95","0.0","5.2","0.95","4.94","0.0","0.0","0.0","0.0","47.2","59.87","254.81","127.41","207.62","194.94","0.0","","","","","","",""
"2015.0","5.0","12.0","132.0","10805.0","0.27","0.95","0.0","5.04","0.95","4.79","0.0","0.0","0.0","0.0","51.99","59.87","254.81","127.41","202.83","194.94","0.0","","","","","","",""
"2015.0","5.0","13.0","133.0","10805.0","0.26","0.95","0.0","4.75","0.95","4.51","0.0","0.0","0.0","0.0","56.5","59.87","254.81","127.41","198.31","194.94","0.0","","","","","","",""
"2015.0","5.0","14.0","134.0","10805.0","0.26","0.95","0.0","3.53","0.95","3.35","0.0","0.0","0.0","0.0","59.85","59.87","254.81","127.41","194.96","194.94","0.0","","","","","","",""
"2015.0","5.0","15.0","135.0","10805.0","0.25","0.95","0.0","4.69","0.95","4.46","0.41","0.41","0.0","0.0","0.0","59.87","254.81","127.41","254.81","194.94","63.9","","","","","","",""
"2015.0","5.0","16.0","136.0","10805.0","0.25","0.95","0.0","4.83","0.95","4.59","0.0","0.0","0.0","0.0","4.59","59.87","254.81","127.41","250.22","194.94","0.0","","","","","","",""
"2015.0","5.0","17.0","137.0","10805.0","0.24","0.95","0.0","4.03","0.95","3.83","0.0","0.0","0.0","0.0","8.42","59.87","254.81","127.41","246.4","194.94","0.0","","","","","","",""
"2015.0","5.0","18.0","138.0","10805.0","0.24","0.95","0.0","4.74","0.95","4.5","0.0","0.0","0.0","0.0","12.92","59.87","254.81","127.41","241.89","194.94","0.0","","","","","","",""
"2015.0","5.0","19.0","139.0","10805.0","0.23","0.95","0.0","5.03","0.95","4.78","0.0","0.0","0.0","0.0","17.7","59.87","254.81","127.41","237.11","194.94","0.0","","","","","","",""
"2015.0","5.0","20.0","140.0","10805.0","0.23","0.95","0.0","4.98","0.95","4.73","0.0","0.0","0.0","0.0","22.43","59.87","254.81","127.41","232.38","194.94","0.0","","","","","","",""
"2015.0","5.0","21.0","141.0","10805.0","0.23","0.95","0.0","4.26","0.95","4.05","0.0","0.0","0.0","0.0","26.48","59.87","254.81","127.41","228.34","194.94","0.0","","","","","","",""
"2015.0","5.0","22.0","142.0","10805.0","0.22","0.95","0.0","4.91","0.95","4.66","0.0","0.0","0.0","0.0","31.14","59.87","254.81","127.41","223.67","194.94","0.0","","","","","","",""
"2015.0","5.0","23.0","143.0","10805.0","0.22","0.95","0.0","4.7","0.95","4.47","0.0","0.0","0.0","0.0","35.61","59.87","254.81","127.41","219.21","194.94","0.0","","","","","","",""
"2015.0","5.0","24.0","144.0","10805.0","0.21","0.95","0.0","5.63","0.95","5.35","0.0","0.0","0.0","0.0","40.95","59.87","254.81","127.41","213.86","194.94","0.0","","","","","","",""
"2015.0","5.0","25.0","145.0","10805.0","0.21","0.95","0.0","5.5","0.95","5.23","0.0","0.0","0.0","0.0","46.18","59.87","254.81","127.41","208.63","194.94","0.0","","","","","","",""
"2015.0","5.0","26.0","146.0","10805.0","0.21","0.95","0.0","5.52","0.95","5.24","0.0","0.0","0.0","0.0","51.42","59.87","254.81","127.41","203.39","194.94","0.0","","","","","","",""
"2015.0","5.0","27.0","147.0","10805.0","0.2","0.95","0.0","5.56","0.95","5.28","0.0","0.0","0.0","0.0","56.71","59.87","254.81","127.41","198.11","194.94","0.0","","","","","","",""
"2015.0","5.0","28.0","148.0","10805.0","0.2","0.95","0.0","5.44","0.95","5.17","0.0","0.0","0.0","0.0","0.0","59.87","254.81","127.41","254.81","194.94","61.87","","","","","","",""
"2015.0","5.0","29.0","149.0","10805.0","0.2","0.95","0.0","6.1","0.95","5.8","0.0","0.0","0.0","0.0","5.8","59.87","254.81","127.41","249.02","194.94","0.0","","","","","","",""
"2015.0","5.0","30.0","150.0","10805.0","0.19","0.95","0.0","6.43","0.95","6.11","0.0","0.0","0.0","0.0","11.9","59.87","254.81","127.41","242.91","194.94","0.0","","","","","","",""
"2015.0","5.0","31.0","151.0","10805.0","0.19","0.95","0.0","5.4","0.95","5.13","0.0","0.0","0.0","0.0","17.03","59.87","254.81","127.41","237.78","194.94","0.0","","","","","","",""
"2015.0","6.0","1.0","152.0","10805.0","0.19","0.95","0.0","5.46","0.95","5.19","0.0","0.0","0.0","0.0","22.22","59.87","254.81","127.41","232.59","194.94","0.0","","","","","","",""
"2015.0","6.0","2.0","153.0","10805.0","0.18","0.95","0.0","5.75","0.95","5.46","0.0","0.0","0.0","0.0","27.68","59.87","254.81","127.41","227.13","194.94","0.0","","","","","","",""
"2015.0","6.0","3.0","154.0","10805.0","0.18","0.95","0.0","5.49","0.95","5.22","0.0","0.0","0.0","0.0","32.9","59.87","254.81","127.41","221.91","194.94","0.0","","","","","","",""
"2015.0","6.0","4.0","155.0","10805.0","0.18","0.95","0.0","5.89","0.95","5.6","0.0","0.0","0.0","0.0","38.49","59.87","254.81","127.41","216.32","194.94","0.0","","","","","","",""
"2015.0","6.0","5.0","156.0","10805.0","0.18","0.95","0.0","6.77","0.95","6.43","0.0","0.0","0.0","0.0","44.93","59.87","254.81","127.41","209.89","194.94","0.0","","","","","","",""
"2015.0","6.0","6.0","157.0","10805.0","0.17","0.95","0.0","6.34","0.95","6.02","0.0","0.0","0.0","0.0","50.95","59.87","254.81","127.41","203.86","194.94","0.0","","","","","","",""
"2015.0","6.0","7.0","158.0","10805.0","0.17","0.95","0.0","6.9","0.95","6.56","0.0","0.0","0.0","0.0","57.5","59.87","254.81","127.41","197.31","194.94","0.0","","","","","","",""
"2015.0","6.0","8.0","159.0","10805.0","0.17","0.95","0.0","7.39","0.95","7.02","0.0","0.0","0.0","0.0","0.0","59.87","254.81","127.41","254.81","194.94","64.52","","","","","","",""
"2015.0","6.0","9.0","160.0","10805.0","0.17","0.95","0.0","7.03","0.95","6.68","0.0","0.0","0.0","0.0","6.68","59.87","254.81","127.41","248.13","194.94","0.0","","","","","","",""
"2015.0","6.0","10.0","161.0","10805.0","0.17","0.95","0.0","2.7","0.95","2.57","0.02","0.02","0.0","0.0","9.22","59.87","254.81","127.41","245.59","194.94","0.0","","","","","","",""
"2015.0","6.0","11.0","162.0","10805.0","0.16","0.95","0.0","7.01","0.95","6.66","2.18","2.18","0.0","0.0","13.7","59.87","254.81","127.41","241.11","194.94","0.0","","","","","","",""
"2015.0","6.0","12.0","163.0","10805.0","0.16","0.95","0.0","7.89","0.95","7.5","0.0","0.0","0.0","0.0","21.2","59.87","254.81","127.41","233.61","194.94","0.0","","","","","","",""
"2015.0","6.0","13.0","164.0","10805.0","0.16","0.95","0.0","7.55","0.95","7.17","0.0","0.0","0.0","0.0","28.37","59.87","254.81","127.41","226.44","194.94","0.0","","","","","","",""
"2015.0","6.0","14.0","165.0","10805.0","0.16","0.95","0.0","6.8","0.95","6.46","0.0","0.0","0.0","0.0","34.83","59.87","254.81","127.41","219.98","194.94","0.0","","","","","","",""
"2015.0","6.0","15.0","166.0","10805.0","0.15","0.95","0.0","6.62","0.95","6.29","0.0","0.0","0.0","0.0","41.12","59.87","254.81","127.41","213.69","194.94","0.0","","","","","","",""
"2015.0","6.0","16.0","167.0","10805.0","0.15","0.95","0.0","6.96","0.95","6.61","0.51","0.51","0.0","0.0","47.22","59.87","254.81","127.41","207.59","194.94","0.0","","","","","","",""
"2015.0","6.0","17.0","168.0","10805.0","0.15","0.95","0.0","6.97","0.95","6.62","0.0","0.0","0.0","0.0","53.84","59.87","254.81","127.41","200.97","194.94","0.0","","","","","","",""
"2015.0","6.0","18.0","169.0","10805.0","0.15","0.95","0.0","7.62","0.95","7.24","0.0","0.0","0.0","0.0","0.0","59.87","254.81","127.41","254.81","194.94","61.08","","","","","","",""
"2015.0","6.0","19.0","170.0","10805.0","0.15","0.95","0.0","7.42","0.95","7.05","0.0","0.0","0.0","0.0","7.05","59.87","254.81","127.41","247.76","194.94","0.0","","","","","","",""
"2015.0","6.0","20.0","171.0","10805.0","0.14","0.95","0.0","7.06","0.95","6.71","0.0","0.0","0.0","0.0","13.76","59.87","254.81","127.41","241.06","194.94","0.0","","","","","","",""
"2015.0","6.0","21.0","172.0","10805.0","0.14","0.95","0.0","7.62","0.95","7.24","0.0","0.0","0.0","0.0","21.0","59.87","254.81","127.41","233.82","194.94","0.0","","","","","","",""
"2015.0","6.0","22.0","173.0","10805.0","0.14","0.95","0.0","6.99","0.95","6.64","0.0","0.0","0.0","0.0","27.64","59.87","254.81","127.41","227.18","194.94","0.0","","","","","","",""
"2015.0","6.0","23.0","174.0","10805.0","0.14","0.95","0.0","7.4","0.95","7.03","0.0","0.0","0.0","0.0","34.67","59.87","254.81","127.41","220.15","194.94","0.0","","","","","","",""
"2015.0","6.0","24.0","175.0","10805.0","0.14","0.95","0.0","7.41","0.95","7.04","0.0","0.0","0.0","0.0","41.71","59.87","254.81","127.41","213.11","194.94","0.0","","","","","","",""
"2015.0","6.0","25.0","176.0","10805.0","0.14","0.95","0.0","8.0","0.95","7.6","0.0","0.0","0.0","0.0","49.31","59.87","254.81","127.41","205.51","194.94","0.0","","","","","","",""
"2015.0","6.0","26.0","177.0","10805.0","0.13","0.95","0.0","8.37","0.95","7.95","0.0","0.0","0.0","0.0","57.26","59.87","254.81","127.41","197.56","194.94","0.0","","","","","","",""
"2015.0","6.0","27.0","178.0","10805.0","0.13","0.95","0.0","6.94","0.95","6.59","0.0","0.0","0.0","0.0","0.0","59.87","254.81","127.41","254.81","194.94","63.85","","","","","","",""
"2015.0","6.0","28.0","179.0","10805.0","0.13","0.95","0.0","7.3","0.95","6.94","0.0","0.0","0.0","0.0","6.94","59.87","254.81","127.41","247.88","194.94","0.0","","","","","","",""
"2015.0","6.0","29.0","180.0","10805.0","0.13","0.95","0.0","7.58","0.95","7.2","0.0","0.0","0.0","0.0","14.14","59.87","254.81","127.41","240.68","194.94","0.0","","","","","","",""
"2015.0","6.0","30.0","181.0","10805.0","0.13","0.95","0.0","7.69","0.95","7.31","0.0","0.0","0.0","0.0","21.44","59.87","254.81","127.41","233.37","194.94","0.0","","","","","","",""
