" Daily soil water balance output for Citrus & Subtropical in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Citrus & Subtropical in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"2015.0","2.0","13.0","44.0","2.0","0.9","0.91","0.0","2.03","0.91","1.84","0.0","0.0","0.0","0.0","13.0","94.13","416.97","208.48","403.97","322.83","0.0","","","","","","",""
"2015.0","2.0","14.0","45.0","2.0","0.81","0.91","0.0","2.18","0.91","1.98","0.0","0.0","0.0","0.0","14.97","94.13","416.97","208.48","401.99","322.83","0.0","","","","","","",""
"2015.0","2.0","15.0","46.0","2.0","0.75","0.91","0.0","2.08","0.91","1.88","0.0","0.0","0.0","0.0","16.86","94.13","416.97","208.48","400.11","322.83","0.0","","","","","","",""
"2015.0","2.0","16.0","47.0","2.0","0.7","0.91","0.0","2.18","0.91","1.98","0.0","0.0","0.0","0.0","18.83","94.13","416.97","208.48","398.13","322.83","0.0","","","","","","",""
"2015.0","2.0","17.0","48.0","2.0","0.66","0.91","0.0","1.84","0.91","1.67","0.0","0.0","0.0","0.0","20.5","94.13","416.97","208.48","396.47","322.83","0.0","","","","","","",""
"2015.0","2.0","18.0","49.0","2.0","0.63","0.91","0.0","1.59","0.91","1.44","0.0","0.0","0.0","0.0","21.94","94.13","416.97","208.48","395.03","322.83","0.0","","","","","","",""
"2015.0","2.0","19.0","50.0","2.0","0.62","0.91","0.0","1.06","0.91","0.96","0.0","0.0","0.0","0.0","22.9","94.13","416.97","208.48","394.07","322.83","0.0","","","","","","",""
"2015.0","2.0","20.0","51.0","2.0","0.59","0.91","0.0","1.88","0.91","1.7","0.0","0.0","0.0","0.0","24.6","94.13","416.97","208.48","392.36","322.83","0.0","","","","","","",""
"2015.0","2.0","21.0","52.0","2.0","0.57","0.91","0.0","1.63","0.91","1.48","0.0","0.0","0.0","0.0","26.08","94.13","416.97","208.48","390.89","322.83","0.0","","","","","","",""
"2015.0","2.0","22.0","53.0","2.0","0.53","0.91","0.0","3.48","0.91","3.15","0.0","0.0","0.0","0.0","29.23","94.13","416.97","208.48","387.73","322.83","0.0","","","","","","",""
"2015.0","2.0","23.0","54.0","2.0","0.49","0.91","0.0","4.09","0.91","3.71","0.0","0.0","0.0","0.0","32.94","94.13","416.97","208.48","384.03","322.83","0.0","","","","","","",""
"2015.0","2.0","24.0","55.0","2.0","0.47","0.91","0.0","2.78","0.91","2.52","0.0","0.0","0.0","0.0","35.46","94.13","416.97","208.48","381.51","322.83","0.0","","","","","","",""
"2015.0","2.0","25.0","56.0","2.0","0.46","0.91","0.0","2.16","0.91","1.96","0.0","0.0","0.0","0.0","37.42","94.13","416.97","208.48","379.55","322.83","0.0","","","","","","",""
"2015.0","2.0","26.0","57.0","2.0","0.44","0.91","0.0","3.01","0.91","2.73","0.0","0.0","0.0","0.0","40.14","94.13","416.97","208.48","376.82","322.83","0.0","","","","","","",""
"2015.0","2.0","27.0","58.0","2.0","0.43","0.91","0.0","2.86","0.91","2.59","0.0","0.0","0.0","0.0","42.73","94.13","416.97","208.48","374.23","322.83","0.0","","","","","","",""
"2015.0","2.0","28.0","59.0","2.0","0.42","0.91","0.0","2.01","0.91","1.82","0.0","0.0","0.0","0.0","44.55","94.13","416.97","208.48","372.41","322.83","0.0","","","","","","",""
"2015.0","3.0","1.0","60.0","2.0","0.4","0.91","0.0","2.6","0.91","2.36","0.0","0.0","0.0","0.0","46.91","94.13","416.97","208.48","370.06","322.83","0.0","","","","","","",""
"2015.0","3.0","2.0","61.0","2.0","0.39","0.91","0.0","2.27","0.91","2.06","0.0","0.0","0.0","0.0","48.97","94.13","416.97","208.48","368.0","322.83","0.0","","","","","","",""
"2015.0","3.0","3.0","62.0","2.0","0.38","0.91","0.0","2.57","0.91","2.33","0.86","0.86","0.0","0.0","50.44","94.13","416.97","208.48","366.53","322.83","0.0","","","","","","",""
"2015.0","3.0","4.0","63.0","2.0","0.37","0.91","0.0","2.6","0.91","2.36","0.0","0.0","0.0","0.0","52.79","94.13","416.97","208.48","364.18","322.83","0.0","","","","","","",""
"2015.0","3.0","5.0","64.0","2.0","0.37","0.91","0.0","2.79","0.91","2.53","0.0","0.0","0.0","0.0","55.32","94.13","416.97","208.48","361.65","322.83","0.0","","","","","","",""
"2015.0","3.0","6.0","65.0","2.0","0.36","0.91","0.0","2.99","0.91","2.71","0.0","0.0","0.0","0.0","58.03","94.13","416.97","208.48","358.94","322.83","0.0","","","","","","",""
"2015.0","3.0","7.0","66.0","2.0","0.35","0.91","0.0","2.82","0.91","2.55","0.0","0.0","0.0","0.0","60.58","94.13","416.97","208.48","356.38","322.83","0.0","","","","","","",""
"2015.0","3.0","8.0","67.0","2.0","0.34","0.91","0.0","2.96","0.91","2.68","0.0","0.0","0.0","0.0","63.26","94.13","416.97","208.48","353.7","322.83","0.0","","","","","","",""
"2015.0","3.0","9.0","68.0","2.0","0.33","0.91","0.0","2.98","0.91","2.7","0.0","0.0","0.0","0.0","65.96","94.13","416.97","208.48","351.0","322.83","0.0","","","","","","",""
"2015.0","3.0","10.0","69.0","2.0","0.33","0.91","0.0","2.43","0.91","2.2","0.0","0.0","0.0","0.0","68.17","94.13","416.97","208.48","348.8","322.83","0.0","","","","","","",""
"2015.0","3.0","11.0","70.0","2.0","0.32","0.91","0.0","2.13","0.91","1.93","0.72","0.72","0.0","0.0","69.38","94.13","416.97","208.48","347.59","322.83","0.0","","","","","","",""
"2015.0","3.0","12.0","71.0","2.0","1.08","0.91","0.0","3.4","1.08","3.69","3.96","3.96","0.0","0.0","69.1","94.13","416.97","208.48","347.87","322.83","0.0","","","","","","",""
"2015.0","3.0","13.0","72.0","2.0","1.07","0.91","0.0","3.07","1.07","3.28","0.0","0.0","0.0","0.0","72.38","94.13","416.97","208.48","344.59","322.83","0.0","","","","","","",""
"2015.0","3.0","14.0","73.0","2.0","0.87","0.91","0.0","3.32","0.91","3.01","0.0","0.0","0.0","0.0","75.39","94.13","416.97","208.48","341.58","322.83","0.0","","","","","","",""
"2015.0","3.0","15.0","74.0","2.0","0.73","0.91","0.0","3.87","0.91","3.51","0.0","0.0","0.0","0.0","78.89","94.13","416.97","208.48","338.07","322.83","0.0","","","","","","",""
"2015.0","3.0","16.0","75.0","2.0","0.67","0.91","0.0","2.59","0.91","2.35","0.0","0.0","0.0","0.0","81.24","94.13","416.97","208.48","335.73","322.83","0.0","","","","","","",""
"2015.0","3.0","17.0","76.0","2.0","0.61","0.91","0.0","3.57","0.91","3.23","0.0","0.0","0.0","0.0","84.47","94.13","416.97","208.48","332.49","322.83","0.0","","","","","","",""
"2015.0","3.0","18.0","77.0","2.0","0.56","0.91","0.0","3.85","0.91","3.49","0.21","0.21","0.0","0.0","87.75","94.13","416.97","208.48","329.22","322.83","0.0","","","","","","",""
"2015.0","3.0","19.0","78.0","2.0","0.52","0.91","0.0","3.88","0.91","3.52","0.0","0.0","0.0","0.0","91.27","94.13","416.97","208.48","325.7","322.83","0.0","","","","","","",""
"2015.0","3.0","20.0","79.0","2.0","0.49","0.91","0.0","3.12","0.91","2.83","0.0","0.0","0.0","0.0","94.09","94.13","416.97","208.48","322.87","322.83","0.0","","","","","","",""
"2015.0","3.0","21.0","80.0","2.0","0.46","0.91","0.0","3.61","0.91","3.27","0.0","0.0","0.0","0.0","0.0","94.13","416.97","208.48","416.97","322.83","97.36","","","","","","",""
"2015.0","3.0","22.0","81.0","2.0","0.44","0.91","0.0","3.15","0.91","2.85","0.0","0.0","0.0","0.0","2.85","94.13","416.97","208.48","414.11","322.83","0.0","","","","","","",""
"2015.0","3.0","23.0","82.0","2.0","0.42","0.91","0.0","3.24","0.91","2.94","0.46","0.46","0.0","0.0","5.33","94.13","416.97","208.48","411.64","322.83","0.0","","","","","","",""
"2015.0","3.0","24.0","83.0","2.0","0.41","0.91","0.0","3.22","0.91","2.92","0.0","0.0","0.0","0.0","8.25","94.13","416.97","208.48","408.72","322.83","0.0","","","","","","",""
"2015.0","3.0","25.0","84.0","2.0","0.39","0.91","0.0","4.16","0.91","3.77","0.0","0.0","0.0","0.0","12.02","94.13","416.97","208.48","404.95","322.83","0.0","","","","","","",""
"2015.0","3.0","26.0","85.0","2.0","0.38","0.91","0.0","3.91","0.91","3.54","0.0","0.0","0.0","0.0","15.56","94.13","416.97","208.48","401.41","322.83","0.0","","","","","","",""
"2015.0","3.0","27.0","86.0","2.0","0.36","0.91","0.0","4.48","0.91","4.06","0.0","0.0","0.0","0.0","19.62","94.13","416.97","208.48","397.35","322.83","0.0","","","","","","",""
"2015.0","3.0","28.0","87.0","2.0","0.34","0.91","0.0","4.95","0.91","4.48","0.0","0.0","0.0","0.0","24.1","94.13","416.97","208.48","392.86","322.83","0.0","","","","","","",""
"2015.0","3.0","29.0","88.0","2.0","0.33","0.91","0.0","4.75","0.91","4.3","0.0","0.0","0.0","0.0","28.41","94.13","416.97","208.48","388.56","322.83","0.0","","","","","","",""
"2015.0","3.0","30.0","89.0","2.0","0.32","0.91","0.0","4.54","0.91","4.11","0.0","0.0","0.0","0.0","32.52","94.13","416.97","208.48","384.45","322.83","0.0","","","","","","",""
"2015.0","3.0","31.0","90.0","2.0","0.31","0.91","0.0","4.67","0.91","4.23","0.0","0.0","0.0","0.0","36.75","94.13","416.97","208.48","380.22","322.83","0.0","","","","","","",""
"2015.0","4.0","1.0","91.0","2.0","0.3","0.91","0.0","4.21","0.91","3.81","0.0","0.0","0.0","0.0","40.56","94.13","416.97","208.48","376.4","322.83","0.0","","","","","","",""
"2015.0","4.0","2.0","92.0","2.0","0.29","0.91","0.0","5.53","0.91","5.01","0.0","0.0","0.0","0.0","45.57","94.13","416.97","208.48","371.39","322.83","0.0","","","","","","",""
"2015.0","4.0","3.0","93.0","2.0","0.28","0.91","0.0","4.65","0.91","4.21","0.0","0.0","0.0","0.0","49.79","94.13","416.97","208.48","367.18","322.83","0.0","","","","","","",""
"2015.0","4.0","4.0","94.0","2.0","0.28","0.91","0.0","4.54","0.91","4.11","0.0","0.0","0.0","0.0","53.9","94.13","416.97","208.48","363.07","322.83","0.0","","","","","","",""
"2015.0","4.0","5.0","95.0","2.0","0.27","0.91","0.0","2.51","0.91","2.27","0.08","0.08","0.0","0.0","56.09","94.13","416.97","208.48","360.87","322.83","0.0","","","","","","",""
"2015.0","4.0","6.0","96.0","2.0","0.27","0.91","0.0","2.97","0.91","2.69","2.53","2.53","0.0","0.0","56.25","94.13","416.97","208.48","360.71","322.83","0.0","","","","","","",""
"2015.0","4.0","7.0","97.0","2.0","0.27","0.91","0.0","2.49","0.91","2.26","3.03","3.03","0.0","0.0","55.48","94.13","416.97","208.48","361.49","322.83","0.0","","","","","","",""
"2015.0","4.0","8.0","98.0","2.0","1.1","0.91","0.0","2.99","1.1","3.29","14.46","14.46","0.0","0.0","44.31","94.13","416.97","208.48","372.66","322.83","0.0","","","","","","",""
"2015.0","4.0","9.0","99.0","2.0","1.07","0.91","0.0","3.5","1.07","3.73","0.0","0.0","0.0","0.0","48.04","94.13","416.97","208.48","368.93","322.83","0.0","","","","","","",""
"2015.0","4.0","10.0","100.0","2.0","0.83","0.91","0.0","4.14","0.91","3.75","0.0","0.0","0.0","0.0","51.79","94.13","416.97","208.48","365.17","322.83","0.0","","","","","","",""
"2015.0","4.0","11.0","101.0","2.0","0.7","0.91","0.0","4.3","0.91","3.9","0.0","0.0","0.0","0.0","55.69","94.13","416.97","208.48","361.28","322.83","0.0","","","","","","",""
"2015.0","4.0","12.0","102.0","2.0","0.6","0.91","0.0","4.93","0.91","4.47","0.0","0.0","0.0","0.0","60.15","94.13","416.97","208.48","356.81","322.83","0.0","","","","","","",""
"2015.0","4.0","13.0","103.0","2.0","0.54","0.91","0.0","5.02","0.91","4.55","0.0","0.0","0.0","0.0","64.7","94.13","416.97","208.48","352.26","322.83","0.0","","","","","","",""
"2015.0","4.0","14.0","104.0","2.0","0.49","0.91","0.0","4.9","0.91","4.44","0.0","0.0","0.0","0.0","69.14","94.13","416.97","208.48","347.82","322.83","0.0","","","","","","",""
"2015.0","4.0","15.0","105.0","2.0","0.44","0.91","0.0","6.53","0.91","5.92","0.0","0.0","0.0","0.0","75.06","94.13","416.97","208.48","341.91","322.83","0.0","","","","","","",""
"2015.0","4.0","16.0","106.0","2.0","0.41","0.91","0.0","5.97","0.91","5.41","0.0","0.0","0.0","0.0","80.47","94.13","416.97","208.48","336.5","322.83","0.0","","","","","","",""
"2015.0","4.0","17.0","107.0","2.0","0.38","0.91","0.0","5.35","0.91","4.85","0.0","0.0","0.0","0.0","85.31","94.13","416.97","208.48","331.65","322.83","0.0","","","","","","",""
"2015.0","4.0","18.0","108.0","2.0","0.36","0.91","0.0","4.99","0.91","4.52","0.0","0.0","0.0","0.0","89.83","94.13","416.97","208.48","327.13","322.83","0.0","","","","","","",""
"2015.0","4.0","19.0","109.0","2.0","0.35","0.91","0.0","5.25","0.91","4.76","0.0","0.0","0.0","0.0","0.0","94.13","416.97","208.48","416.97","322.83","94.59","","","","","","",""
"2015.0","4.0","20.0","110.0","2.0","0.33","0.91","0.0","4.8","0.91","4.35","0.0","0.0","0.0","0.0","4.35","94.13","416.97","208.48","412.62","322.83","0.0","","","","","","",""
"2015.0","4.0","21.0","111.0","2.0","0.32","0.91","0.0","3.83","0.91","3.47","0.0","0.0","0.0","0.0","7.82","94.13","416.97","208.48","409.15","322.83","0.0","","","","","","",""
"2015.0","4.0","22.0","112.0","2.0","0.31","0.91","0.0","4.16","0.91","3.77","0.0","0.0","0.0","0.0","11.59","94.13","416.97","208.48","405.38","322.83","0.0","","","","","","",""
"2015.0","4.0","23.0","113.0","2.0","0.3","0.91","0.0","4.79","0.91","4.34","0.0","0.0","0.0","0.0","15.93","94.13","416.97","208.48","401.04","322.83","0.0","","","","","","",""
"2015.0","4.0","24.0","114.0","2.0","0.29","0.91","0.0","5.05","0.91","4.58","0.0","0.0","0.0","0.0","20.5","94.13","416.97","208.48","396.46","322.83","0.0","","","","","","",""
"2015.0","4.0","25.0","115.0","2.0","1.06","0.91","0.0","4.07","1.06","4.3","12.34","12.34","0.0","0.0","12.47","94.13","416.97","208.48","404.5","322.83","0.0","","","","","","",""
"2015.0","4.0","26.0","116.0","2.0","0.87","0.91","0.0","5.14","0.91","4.66","0.0","0.0","0.0","0.0","17.12","94.13","416.97","208.48","399.84","322.83","0.0","","","","","","",""
"2015.0","4.0","27.0","117.0","2.0","0.67","0.91","0.0","6.01","0.91","5.45","0.0","0.0","0.0","0.0","22.57","94.13","416.97","208.48","394.4","322.83","0.0","","","","","","",""
"2015.0","4.0","28.0","118.0","2.0","0.57","0.91","0.0","5.62","0.91","5.09","0.0","0.0","0.0","0.0","27.66","94.13","416.97","208.48","389.31","322.83","0.0","","","","","","",""
"2015.0","4.0","29.0","119.0","2.0","0.51","0.91","0.0","5.35","0.91","4.85","0.0","0.0","0.0","0.0","32.51","94.13","416.97","208.48","384.46","322.83","0.0","","","","","","",""
"2015.0","4.0","30.0","120.0","2.0","0.46","0.91","0.0","6.46","0.91","5.85","0.0","0.0","0.0","0.0","38.36","94.13","416.97","208.48","378.61","322.83","0.0","","","","","","",""
"2015.0","5.0","1.0","121.0","2.0","0.41","0.91","0.0","6.52","0.91","5.91","0.0","0.0","0.0","0.0","44.27","94.13","416.97","208.48","372.7","322.83","0.0","","","","","","",""
"2015.0","5.0","2.0","122.0","2.0","0.39","0.91","0.0","6.03","0.91","5.46","0.0","0.0","0.0","0.0","49.73","94.13","416.97","208.48","367.24","322.83","0.0","","","","","","",""
"2015.0","5.0","3.0","123.0","2.0","0.37","0.91","0.0","5.29","0.91","4.79","0.0","0.0","0.0","0.0","54.52","94.13","416.97","208.48","362.44","322.83","0.0","","","","","","",""
"2015.0","5.0","4.0","124.0","2.0","0.35","0.91","0.0","4.85","0.91","4.39","0.0","0.0","0.0","0.0","58.92","94.13","416.97","208.48","358.05","322.83","0.0","","","","","","",""
"2015.0","5.0","5.0","125.0","2.0","0.34","0.91","0.0","4.86","0.91","4.4","0.0","0.0","0.0","0.0","63.32","94.13","416.97","208.48","353.65","322.83","0.0","","","","","","",""
"2015.0","5.0","6.0","126.0","2.0","0.32","0.91","0.0","5.17","0.91","4.68","0.0","0.0","0.0","0.0","68.0","94.13","416.97","208.48","348.96","322.83","0.0","","","","","","",""
"2015.0","5.0","7.0","127.0","2.0","0.31","0.91","0.0","3.74","0.91","3.39","0.12","0.12","0.0","0.0","71.27","94.13","416.97","208.48","345.69","322.83","0.0","","","","","","",""
"2015.0","5.0","8.0","128.0","2.0","0.3","0.91","0.0","4.45","0.91","4.03","0.04","0.04","0.0","0.0","75.26","94.13","416.97","208.48","341.7","322.83","0.0","","","","","","",""
"2015.0","5.0","9.0","129.0","2.0","0.29","0.91","0.0","5.02","0.91","4.55","0.0","0.0","0.0","0.0","79.81","94.13","416.97","208.48","337.15","322.83","0.0","","","","","","",""
"2015.0","5.0","10.0","130.0","2.0","0.29","0.91","0.0","5.24","0.91","4.75","0.0","0.0","0.0","0.0","84.56","94.13","416.97","208.48","332.41","322.83","0.0","","","","","","",""
"2015.0","5.0","11.0","131.0","2.0","0.28","0.91","0.0","5.2","0.91","4.71","0.0","0.0","0.0","0.0","89.27","94.13","416.97","208.48","327.7","322.83","0.0","","","","","","",""
"2015.0","5.0","12.0","132.0","2.0","0.27","0.91","0.0","5.04","0.91","4.57","0.0","0.0","0.0","0.0","93.84","94.13","416.97","208.48","323.13","322.83","0.0","","","","","","",""
"2015.0","5.0","13.0","133.0","2.0","0.26","0.91","0.0","4.75","0.91","4.3","0.0","0.0","0.0","0.0","0.0","94.13","416.97","208.48","416.97","322.83","98.14","","","","","","",""
"2015.0","5.0","14.0","134.0","2.0","0.26","0.91","0.0","3.53","0.91","3.2","0.0","0.0","0.0","0.0","3.2","94.13","416.97","208.48","413.77","322.83","0.0","","","","","","",""
"2015.0","5.0","15.0","135.0","2.0","0.25","0.91","0.0","4.69","0.91","4.25","0.41","0.41","0.0","0.0","7.04","94.13","416.97","208.48","409.93","322.83","0.0","","","","","","",""
"2015.0","5.0","16.0","136.0","2.0","0.25","0.91","0.0","4.83","0.91","4.38","0.0","0.0","0.0","0.0","11.41","94.13","416.97","208.48","405.55","322.83","0.0","","","","","","",""
"2015.0","5.0","17.0","137.0","2.0","0.24","0.91","0.0","4.03","0.91","3.65","0.0","0.0","0.0","0.0","15.06","94.13","416.97","208.48","401.9","322.83","0.0","","","","","","",""
"2015.0","5.0","18.0","138.0","2.0","0.24","0.91","0.0","4.74","0.91","4.29","0.0","0.0","0.0","0.0","19.36","94.13","416.97","208.48","397.61","322.83","0.0","","","","","","",""
"2015.0","5.0","19.0","139.0","2.0","0.23","0.91","0.0","5.03","0.91","4.56","0.0","0.0","0.0","0.0","23.92","94.13","416.97","208.48","393.05","322.83","0.0","","","","","","",""
"2015.0","5.0","20.0","140.0","2.0","0.23","0.91","0.0","4.98","0.91","4.51","0.0","0.0","0.0","0.0","28.43","94.13","416.97","208.48","388.54","322.83","0.0","","","","","","",""
"2015.0","5.0","21.0","141.0","2.0","0.23","0.91","0.0","4.26","0.91","3.86","0.0","0.0","0.0","0.0","32.29","94.13","416.97","208.48","384.68","322.83","0.0","","","","","","",""
"2015.0","5.0","22.0","142.0","2.0","0.22","0.91","0.0","4.91","0.91","4.45","0.0","0.0","0.0","0.0","36.74","94.13","416.97","208.48","380.23","322.83","0.0","","","","","","",""
"2015.0","5.0","23.0","143.0","2.0","0.22","0.91","0.0","4.7","0.91","4.26","0.0","0.0","0.0","0.0","40.99","94.13","416.97","208.48","375.97","322.83","0.0","","","","","","",""
"2015.0","5.0","24.0","144.0","2.0","0.21","0.91","0.0","5.63","0.91","5.1","0.0","0.0","0.0","0.0","46.09","94.13","416.97","208.48","370.87","322.83","0.0","","","","","","",""
"2015.0","5.0","25.0","145.0","2.0","0.21","0.91","0.0","5.5","0.91","4.98","0.0","0.0","0.0","0.0","51.08","94.13","416.97","208.48","365.89","322.83","0.0","","","","","","",""
"2015.0","5.0","26.0","146.0","2.0","0.21","0.91","0.0","5.52","0.91","5.0","0.0","0.0","0.0","0.0","56.08","94.13","416.97","208.48","360.89","322.83","0.0","","","","","","",""
"2015.0","5.0","27.0","147.0","2.0","0.2","0.91","0.0","5.56","0.91","5.04","0.0","0.0","0.0","0.0","61.12","94.13","416.97","208.48","355.85","322.83","0.0","","","","","","",""
"2015.0","5.0","28.0","148.0","2.0","0.2","0.91","0.0","5.44","0.91","4.93","0.0","0.0","0.0","0.0","66.05","94.13","416.97","208.48","350.92","322.83","0.0","","","","","","",""
"2015.0","5.0","29.0","149.0","2.0","0.2","0.91","0.0","6.1","0.91","5.53","0.0","0.0","0.0","0.0","71.57","94.13","416.97","208.48","345.39","322.83","0.0","","","","","","",""
"2015.0","5.0","30.0","150.0","2.0","0.19","0.91","0.0","6.43","0.91","5.83","0.0","0.0","0.0","0.0","77.4","94.13","416.97","208.48","339.57","322.83","0.0","","","","","","",""
"2015.0","5.0","31.0","151.0","2.0","0.19","0.91","0.0","5.4","0.91","4.89","0.0","0.0","0.0","0.0","82.29","94.13","416.97","208.48","334.68","322.83","0.0","","","","","","",""
"2015.0","6.0","1.0","152.0","2.0","0.19","0.91","0.0","5.46","0.91","4.95","0.0","0.0","0.0","0.0","87.24","94.13","416.97","208.48","329.73","322.83","0.0","","","","","","",""
"2015.0","6.0","2.0","153.0","2.0","0.18","0.91","0.0","5.75","0.91","5.21","0.0","0.0","0.0","0.0","92.45","94.13","416.97","208.48","324.52","322.83","0.0","","","","","","",""
"2015.0","6.0","3.0","154.0","2.0","0.18","0.91","0.0","5.49","0.91","4.97","0.0","0.0","0.0","0.0","0.0","94.13","416.97","208.48","416.97","322.83","97.42","","","","","","",""
"2015.0","6.0","4.0","155.0","2.0","0.18","0.91","0.0","5.89","0.91","5.34","0.0","0.0","0.0","0.0","5.34","94.13","416.97","208.48","411.63","322.83","0.0","","","","","","",""
"2015.0","6.0","5.0","156.0","2.0","0.18","0.91","0.0","6.77","0.91","6.13","0.0","0.0","0.0","0.0","11.47","94.13","416.97","208.48","405.5","322.83","0.0","","","","","","",""
"2015.0","6.0","6.0","157.0","2.0","0.17","0.91","0.0","6.34","0.91","5.74","0.0","0.0","0.0","0.0","17.21","94.13","416.97","208.48","399.75","322.83","0.0","","","","","","",""
"2015.0","6.0","7.0","158.0","2.0","0.17","0.91","0.0","6.9","0.91","6.25","0.0","0.0","0.0","0.0","23.47","94.13","416.97","208.48","393.5","322.83","0.0","","","","","","",""
"2015.0","6.0","8.0","159.0","2.0","0.17","0.91","0.0","7.39","0.91","6.7","0.0","0.0","0.0","0.0","30.16","94.13","416.97","208.48","386.81","322.83","0.0","","","","","","",""
"2015.0","6.0","9.0","160.0","2.0","0.17","0.91","0.0","7.03","0.91","6.37","0.0","0.0","0.0","0.0","36.53","94.13","416.97","208.48","380.44","322.83","0.0","","","","","","",""
"2015.0","6.0","10.0","161.0","2.0","0.17","0.91","0.0","2.7","0.91","2.45","0.02","0.02","0.0","0.0","38.96","94.13","416.97","208.48","378.01","322.83","0.0","","","","","","",""
"2015.0","6.0","11.0","162.0","2.0","0.16","0.91","0.0","7.01","0.91","6.35","2.18","2.18","0.0","0.0","43.13","94.13","416.97","208.48","373.84","322.83","0.0","","","","","","",""
"2015.0","6.0","12.0","163.0","2.0","0.16","0.91","0.0","7.89","0.91","7.15","0.0","0.0","0.0","0.0","50.28","94.13","416.97","208.48","366.69","322.83","0.0","","","","","","",""
"2015.0","6.0","13.0","164.0","2.0","0.16","0.91","0.0","7.55","0.91","6.84","0.0","0.0","0.0","0.0","57.12","94.13","416.97","208.48","359.85","322.83","0.0","","","","","","",""
"2015.0","6.0","14.0","165.0","2.0","0.16","0.91","0.0","6.8","0.91","6.16","0.0","0.0","0.0","0.0","63.28","94.13","416.97","208.48","353.69","322.83","0.0","","","","","","",""
"2015.0","6.0","15.0","166.0","2.0","0.15","0.91","0.0","6.62","0.91","6.0","0.0","0.0","0.0","0.0","69.27","94.13","416.97","208.48","347.69","322.83","0.0","","","","","","",""
"2015.0","6.0","16.0","167.0","2.0","0.15","0.91","0.0","6.96","0.91","6.31","0.51","0.51","0.0","0.0","75.07","94.13","416.97","208.48","341.9","322.83","0.0","","","","","","",""
"2015.0","6.0","17.0","168.0","2.0","0.15","0.91","0.0","6.97","0.91","6.31","0.0","0.0","0.0","0.0","81.38","94.13","416.97","208.48","335.58","322.83","0.0","","","","","","",""
"2015.0","6.0","18.0","169.0","2.0","0.15","0.91","0.0","7.62","0.91","6.9","0.0","0.0","0.0","0.0","88.29","94.13","416.97","208.48","328.68","322.83","0.0","","","","","","",""
"2015.0","6.0","19.0","170.0","2.0","0.15","0.91","0.0","7.42","0.91","6.72","0.0","0.0","0.0","0.0","0.0","94.13","416.97","208.48","416.97","322.83","95.01","","","","","","",""
"2015.0","6.0","20.0","171.0","2.0","0.14","0.91","0.0","7.06","0.91","6.4","0.0","0.0","0.0","0.0","6.4","94.13","416.97","208.48","410.57","322.83","0.0","","","","","","",""
"2015.0","6.0","21.0","172.0","2.0","0.14","0.91","0.0","7.62","0.91","6.9","0.0","0.0","0.0","0.0","13.3","94.13","416.97","208.48","403.67","322.83","0.0","","","","","","",""
"2015.0","6.0","22.0","173.0","2.0","0.14","0.91","0.0","6.99","0.91","6.33","0.0","0.0","0.0","0.0","19.63","94.13","416.97","208.48","397.33","322.83","0.0","","","","","","",""
"2015.0","6.0","23.0","174.0","2.0","0.14","0.91","0.0","7.4","0.91","6.7","0.0","0.0","0.0","0.0","26.34","94.13","416.97","208.48","390.63","322.83","0.0","","","","","","",""
"2015.0","6.0","24.0","175.0","2.0","0.14","0.91","0.0","7.41","0.91","6.71","0.0","0.0","0.0","0.0","33.05","94.13","416.97","208.48","383.92","322.83","0.0","","","","","","",""
"2015.0","6.0","25.0","176.0","2.0","0.14","0.91","0.0","8.0","0.91","7.25","0.0","0.0","0.0","0.0","40.3","94.13","416.97","208.48","376.67","322.83","0.0","","","","","","",""
"2015.0","6.0","26.0","177.0","2.0","0.13","0.91","0.0","8.37","0.91","7.58","0.0","0.0","0.0","0.0","47.88","94.13","416.97","208.48","369.08","322.83","0.0","","","","","","",""
"2015.0","6.0","27.0","178.0","2.0","0.13","0.91","0.0","6.94","0.91","6.29","0.0","0.0","0.0","0.0","54.17","94.13","416.97","208.48","362.8","322.83","0.0","","","","","","",""
"2015.0","6.0","28.0","179.0","2.0","0.13","0.91","0.0","7.3","0.91","6.61","0.0","0.0","0.0","0.0","60.78","94.13","416.97","208.48","356.18","322.83","0.0","","","","","","",""
"2015.0","6.0","29.0","180.0","2.0","0.13","0.91","0.0","7.58","0.91","6.87","0.0","0.0","0.0","0.0","67.65","94.13","416.97","208.48","349.32","322.83","0.0","","","","","","",""
"2015.0","6.0","30.0","181.0","2.0","0.13","0.91","0.0","7.69","0.91","6.97","0.0","0.0","0.0","0.0","74.62","94.13","416.97","208.48","342.35","322.83","0.0","","","","","","",""
"2015.0","7.0","1.0","182.0","2.0","0.13","0.91","0.0","7.56","0.91","6.85","0.0","0.0","0.0","0.0","81.47","94.13","416.97","208.48","335.5","322.83","0.0","","","","","","",""
"2015.0","7.0","2.0","183.0","2.0","0.13","0.91","0.0","7.24","0.91","6.56","0.0","0.0","0.0","0.0","88.03","94.13","416.97","208.48","328.94","322.83","0.0","","","","","","",""
"2015.0","7.0","3.0","184.0","2.0","0.13","0.91","0.0","7.52","0.91","6.81","0.0","0.0","0.0","0.0","0.0","94.13","416.97","208.48","416.97","322.83","94.84","","","","","","",""
