" Daily soil water balance output for Truck Crops in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Truck Crops in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","2.0","8.0","39.0","1417.0","1.16","0.0","0.0","1.39","1.16","1.62","12.03","4.68","0.0","0.0","0.0","22.8","324.31","162.15","324.31","301.51","0.0","","","","","","","","",""
"2015.0","2.0","9.0","40.0","1417.0","1.14","0.0","0.0","2.02","1.14","2.3","18.45","2.3","0.0","0.0","0.0","22.8","324.31","162.15","324.31","301.51","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","1417.0","1.14","0.0","0.0","1.84","1.14","2.1","0.02","0.02","0.0","0.0","2.08","22.8","324.31","162.15","322.22","301.51","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","1417.0","1.15","0.0","0.0","1.63","1.15","1.87","0.0","0.0","0.0","0.0","3.95","22.8","324.31","162.15","320.36","301.51","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","1417.0","1.02","0.0","0.0","1.98","1.02","2.02","0.0","0.0","0.0","0.0","5.97","22.8","324.31","162.15","318.34","301.51","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","1417.0","0.9","0.0","0.0","2.03","0.9","1.83","0.0","0.0","0.0","0.0","7.8","22.8","324.31","162.15","316.51","301.51","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","1417.0","0.81","0.0","0.0","2.18","0.81","1.77","0.0","0.0","0.0","0.0","9.57","22.8","324.31","162.15","314.74","301.51","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","1417.0","0.75","0.0","0.0","2.08","0.75","1.56","0.0","0.0","0.0","0.0","11.13","22.8","324.31","162.15","313.18","301.51","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","1417.0","0.7","0.0","0.0","2.18","0.7","1.52","0.0","0.0","0.0","0.0","12.65","22.8","324.31","162.15","311.66","301.51","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","1417.0","0.66","0.0","0.0","1.84","0.66","1.21","0.0","0.0","0.0","0.0","13.86","22.8","324.31","162.15","310.45","301.51","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","1417.0","0.63","0.0","0.0","1.59","0.63","1.0","0.0","0.0","0.0","0.0","14.86","22.8","324.31","162.15","309.45","301.51","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","1417.0","0.62","0.0","0.0","1.06","0.62","0.65","0.0","0.0","0.0","0.0","15.51","22.8","324.31","162.15","308.79","301.51","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","1417.0","0.59","0.0","0.0","1.88","0.59","1.11","0.0","0.0","0.0","0.0","16.62","22.8","324.31","162.15","307.69","301.51","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","1417.0","0.57","0.0","0.0","1.63","0.57","0.93","0.0","0.0","0.0","0.0","17.55","22.8","324.31","162.15","306.76","301.51","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","1417.0","0.53","0.0","0.0","3.48","0.53","1.85","0.0","0.0","0.0","0.0","19.4","22.8","324.31","162.15","304.91","301.51","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","1417.0","0.49","0.0","0.0","4.09","0.49","2.02","0.0","0.0","0.0","0.0","21.41","22.8","324.31","162.15","302.89","301.51","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","1417.0","0.47","0.0","0.0","2.78","0.47","1.31","0.0","0.0","0.0","0.0","22.73","22.8","324.31","162.15","301.58","301.51","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","1417.0","0.46","0.0","0.0","2.16","0.46","0.99","0.0","0.0","0.0","0.0","23.72","22.8","324.31","162.15","300.59","301.51","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","1417.0","0.44","0.0","0.0","3.01","0.44","1.33","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","1417.0","0.43","0.0","0.0","2.86","0.43","1.22","0.0","0.0","0.0","0.0","24.02","22.8","324.31","162.15","300.29","301.51","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","1417.0","0.42","0.0","0.0","2.01","0.42","0.83","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","1417.0","0.4","0.0","0.0","2.6","0.4","1.05","0.0","0.0","0.0","0.0","23.85","22.8","324.31","162.15","300.46","301.51","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","1417.0","0.39","0.0","0.0","2.27","0.39","0.89","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","1417.0","0.38","0.0","0.0","2.57","0.38","0.99","0.86","0.86","0.0","0.0","22.93","22.8","324.31","162.15","301.38","301.51","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","1417.0","0.37","0.0","0.0","2.6","0.37","0.97","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","1417.0","0.37","0.0","0.0","2.79","0.37","1.02","0.0","0.0","0.0","0.0","23.82","22.8","324.31","162.15","300.49","301.51","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","1417.0","0.36","0.0","0.0","2.99","0.36","1.06","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","1417.0","0.35","0.0","0.0","2.82","0.35","0.98","0.0","0.0","0.0","0.0","23.78","22.8","324.31","162.15","300.53","301.51","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","1417.0","0.34","0.0","0.0","2.96","0.34","1.01","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","1417.0","0.33","0.0","0.0","2.98","0.33","0.99","0.0","0.0","0.0","0.0","23.79","22.8","324.31","162.15","300.52","301.51","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","1417.0","0.33","0.0","0.0","2.43","0.33","0.79","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","1417.0","0.32","0.0","0.0","2.13","0.32","0.69","0.72","0.72","0.0","0.0","22.77","22.8","324.31","162.15","301.54","301.51","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","1417.0","1.08","0.0","0.0","3.4","1.08","3.69","3.96","3.96","0.0","0.0","22.49","22.8","324.31","162.15","301.82","301.51","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","1417.0","1.07","0.0","0.0","3.07","1.07","3.28","0.0","0.0","0.0","0.0","25.77","22.8","324.31","162.15","298.54","301.51","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","1417.0","0.87","0.0","0.0","3.32","0.87","2.88","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","1417.0","0.73","0.0","0.0","3.87","0.73","2.83","0.0","0.0","0.0","0.0","25.63","22.8","324.31","162.15","298.67","301.51","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","1417.0","0.67","0.0","0.0","2.59","0.67","1.74","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","1417.0","0.61","0.0","0.0","3.57","0.61","2.17","0.0","0.0","0.0","0.0","24.97","22.8","324.31","162.15","299.33","301.51","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","1417.0","0.56","0.0","0.0","3.85","0.56","2.14","0.21","0.21","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","1417.0","0.52","0.0","0.0","3.88","0.52","2.0","0.0","0.0","0.0","0.0","24.8","22.8","324.31","162.15","299.51","301.51","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","1417.0","0.49","0.0","0.0","3.12","0.49","1.52","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","1417.0","0.46","0.0","0.0","3.61","0.46","1.67","0.0","0.0","0.0","0.0","24.47","22.8","324.31","162.15","299.84","301.51","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","1417.0","0.44","0.0","0.0","3.15","0.44","1.39","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","1417.0","0.42","0.0","0.0","3.24","0.42","1.38","0.46","0.46","0.0","0.0","23.72","22.8","324.31","162.15","300.59","301.51","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","1417.0","0.41","0.0","0.0","3.22","0.41","1.32","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","1417.0","0.39","0.0","0.0","4.16","0.39","1.62","0.0","0.0","0.0","0.0","24.42","22.8","324.31","162.15","299.88","301.51","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","1417.0","0.38","0.0","0.0","3.91","0.38","1.47","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","1417.0","0.36","0.0","0.0","4.48","0.36","1.61","0.0","0.0","0.0","0.0","24.41","22.8","324.31","162.15","299.9","301.51","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","1417.0","0.34","0.0","0.0","4.95","0.34","1.7","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","1417.0","0.33","0.0","0.0","4.75","0.33","1.57","0.0","0.0","0.0","0.0","24.37","22.8","324.31","162.15","299.93","301.51","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","1417.0","0.32","0.0","0.0","4.54","0.32","1.45","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","1417.0","0.31","0.0","0.0","4.67","0.31","1.45","0.0","0.0","0.0","0.0","24.25","22.8","324.31","162.15","300.06","301.51","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","1417.0","0.3","0.0","0.0","4.21","0.3","1.27","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","1417.0","0.29","0.0","0.0","5.53","0.29","1.61","0.0","0.0","0.0","0.0","24.41","22.8","324.31","162.15","299.9","301.51","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","1417.0","0.28","0.0","0.0","4.65","0.28","1.32","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","1417.0","0.28","0.0","0.0","4.54","0.28","1.25","0.0","0.0","0.0","0.0","24.05","22.8","324.31","162.15","300.25","301.51","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","1417.0","0.27","0.0","0.0","2.51","0.27","0.68","0.08","0.08","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","1417.0","0.27","0.0","0.0","2.97","0.27","0.8","2.53","2.53","0.0","0.0","21.07","22.8","324.31","162.15","303.24","301.51","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","1417.0","0.27","0.0","0.0","2.49","0.27","0.66","3.03","3.03","0.0","0.0","18.7","22.8","324.31","162.15","305.61","301.51","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","1417.0","1.1","0.0","0.0","2.99","1.1","3.29","14.46","14.46","0.0","0.0","7.53","22.8","324.31","162.15","316.78","301.51","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","1417.0","1.07","0.0","0.0","3.5","1.07","3.73","0.0","0.0","0.0","0.0","11.26","22.8","324.31","162.15","313.05","301.51","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","1417.0","0.83","0.0","0.0","4.14","0.83","3.43","0.0","0.0","0.0","0.0","14.69","22.8","324.31","162.15","309.62","301.51","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","1417.0","0.7","0.0","0.0","4.3","0.7","2.99","0.0","0.0","0.0","0.0","17.68","22.8","324.31","162.15","306.62","301.51","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","1417.0","0.6","0.0","0.0","4.93","0.6","2.96","0.0","0.0","0.0","0.0","20.65","22.8","324.31","162.15","303.66","301.51","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","1417.0","0.54","0.0","0.0","5.02","0.54","2.69","0.0","0.0","0.0","0.0","23.33","22.8","324.31","162.15","300.98","301.51","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","1417.0","0.49","0.0","0.0","4.9","0.49","2.39","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","1417.0","0.44","0.0","0.0","6.53","0.44","2.87","0.0","0.0","0.0","0.0","25.67","22.8","324.31","162.15","298.64","301.51","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","1417.0","0.41","0.0","0.0","5.97","0.41","2.43","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","1417.0","0.38","0.0","0.0","5.35","0.38","2.05","0.0","0.0","0.0","0.0","24.85","22.8","324.31","162.15","299.46","301.51","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","1417.0","0.36","0.0","0.0","4.99","0.36","1.81","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","1417.0","0.35","0.0","0.0","5.25","0.35","1.82","0.0","0.0","0.0","0.0","24.62","22.8","324.31","162.15","299.69","301.51","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","1417.0","0.33","0.0","0.0","4.8","0.33","1.6","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","1417.0","0.32","0.0","0.0","3.83","0.32","1.24","0.0","0.0","0.0","0.0","24.04","22.8","324.31","162.15","300.27","301.51","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","1417.0","0.31","0.0","0.0","4.16","0.31","1.31","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","1417.0","0.3","0.0","0.0","4.79","0.3","1.46","0.0","0.0","0.0","0.0","24.26","22.8","324.31","162.15","300.05","301.51","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","1417.0","0.29","0.0","0.0","5.05","0.29","1.49","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","1417.0","1.06","0.0","0.0","4.07","1.06","4.3","12.34","12.34","0.0","0.0","14.76","22.8","324.31","162.15","309.54","301.51","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","1417.0","0.87","0.0","0.0","5.14","0.87","4.48","0.0","0.0","0.0","0.0","19.24","22.8","324.31","162.15","305.06","301.51","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","1417.0","0.67","0.0","0.0","6.01","0.67","4.04","0.0","0.0","0.0","0.0","23.28","22.8","324.31","162.15","301.02","301.51","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","1417.0","0.57","0.0","0.0","5.62","0.57","3.22","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","1417.0","0.51","0.0","0.0","5.35","0.51","2.73","0.0","0.0","0.0","0.0","25.53","22.8","324.31","162.15","298.77","301.51","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","1417.0","0.46","0.0","0.0","6.46","0.46","2.94","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","1417.0","0.41","0.0","0.0","6.52","0.41","2.7","0.0","0.0","0.0","0.0","25.5","22.8","324.31","162.15","298.8","301.51","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","1417.0","0.39","0.0","0.0","6.03","0.39","2.32","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","1417.0","0.37","0.0","0.0","5.29","0.37","1.93","0.0","0.0","0.0","0.0","24.73","22.8","324.31","162.15","299.58","301.51","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","1417.0","0.35","0.0","0.0","4.85","0.35","1.69","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","1417.0","0.34","0.0","0.0","4.86","0.34","1.63","0.0","0.0","0.0","0.0","24.43","22.8","324.31","162.15","299.88","301.51","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","1417.0","0.32","0.0","0.0","5.17","0.32","1.66","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","1417.0","0.31","0.0","0.0","3.74","0.31","1.17","0.12","0.12","0.0","0.0","23.85","22.8","324.31","162.15","300.45","301.51","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","1417.0","0.3","0.0","0.0","4.45","0.3","1.36","0.04","0.04","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","1417.0","0.29","0.0","0.0","5.02","0.29","1.48","0.0","0.0","0.0","0.0","24.28","22.8","324.31","162.15","300.03","301.51","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","1417.0","0.29","0.0","0.0","5.24","0.29","1.5","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","1417.0","0.28","0.0","0.0","5.2","0.28","1.44","0.0","0.0","0.0","0.0","24.24","22.8","324.31","162.15","300.07","301.51","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","1417.0","0.27","0.0","0.0","5.04","0.27","1.36","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","1417.0","0.26","0.0","0.0","4.75","0.26","1.25","0.0","0.0","0.0","0.0","24.05","22.8","324.31","162.15","300.26","301.51","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","1417.0","0.26","0.0","0.0","3.53","0.26","0.91","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","1417.0","0.25","0.77","0.0","4.69","0.77","3.6","0.41","0.41","0.0","0.0","25.99","70.54","324.31","162.15","298.32","253.77","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","1417.0","0.25","0.77","0.0","4.83","0.77","3.7","0.0","0.0","0.0","0.0","29.69","70.54","324.31","162.15","294.62","253.77","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","1417.0","0.24","0.77","0.0","4.03","0.77","3.09","0.0","0.0","0.0","0.0","32.78","70.54","324.31","162.15","291.52","253.77","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","1417.0","0.24","0.77","0.0","4.74","0.77","3.64","0.0","0.0","0.0","0.0","36.42","70.54","324.31","162.15","287.89","253.77","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","1417.0","0.23","0.77","0.0","5.03","0.77","3.86","0.0","0.0","0.0","0.0","40.28","70.54","324.31","162.15","284.03","253.77","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","1417.0","0.23","0.77","0.0","4.98","0.77","3.82","0.0","0.0","0.0","0.0","44.1","70.54","324.31","162.15","280.21","253.77","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","1417.0","0.23","0.77","0.0","4.26","0.77","3.27","0.0","0.0","0.0","0.0","47.36","70.54","324.31","162.15","276.94","253.77","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","1417.0","0.22","0.77","0.0","4.91","0.77","3.77","0.0","0.0","0.0","0.0","51.13","70.54","324.31","162.15","273.18","253.77","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","1417.0","0.22","0.77","0.0","4.7","0.77","3.6","0.0","0.0","0.0","0.0","54.73","70.54","324.31","162.15","269.57","253.77","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","1417.0","0.21","0.77","0.0","5.63","0.77","4.32","0.0","0.0","0.0","0.0","59.05","70.54","324.31","162.15","265.25","253.77","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","1417.0","0.21","0.77","0.0","5.5","0.77","4.22","0.0","0.0","0.0","0.0","63.27","70.54","324.31","162.15","261.04","253.77","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","1417.0","0.21","0.77","0.0","5.52","0.77","4.23","0.0","0.0","0.0","0.0","67.5","70.54","324.31","162.15","256.8","253.77","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","1417.0","0.2","0.77","0.0","5.56","0.77","4.26","0.0","0.0","0.0","0.0","0.0","70.54","324.31","162.15","324.31","253.77","71.77","","","","","","","","",""
"2015.0","5.0","28.0","148.0","1417.0","0.2","0.77","0.0","5.44","0.77","4.17","0.0","0.0","0.0","0.0","4.17","70.54","324.31","162.15","320.13","253.77","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","1417.0","0.2","0.77","0.0","6.1","0.77","4.68","0.0","0.0","0.0","0.0","8.85","70.54","324.31","162.15","315.46","253.77","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","1417.0","0.19","0.77","0.0","6.43","0.77","4.93","0.0","0.0","0.0","0.0","13.78","70.54","324.31","162.15","310.52","253.77","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","1417.0","0.19","0.77","0.0","5.4","0.77","4.14","0.0","0.0","0.0","0.0","17.92","70.54","324.31","162.15","306.38","253.77","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","1417.0","0.19","0.77","0.0","5.46","0.77","4.19","0.0","0.0","0.0","0.0","22.11","70.54","324.31","162.15","302.19","253.77","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","1417.0","0.18","0.77","0.0","5.75","0.77","4.41","0.0","0.0","0.0","0.0","26.52","70.54","324.31","162.15","297.78","253.77","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","1417.0","0.18","0.77","0.0","5.49","0.77","4.21","0.0","0.0","0.0","0.0","30.73","70.54","324.31","162.15","293.57","253.77","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","1417.0","0.18","0.77","0.0","5.89","0.77","4.52","0.0","0.0","0.0","0.0","35.25","70.54","324.31","162.15","289.06","253.77","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","1417.0","0.18","0.77","0.0","6.77","0.77","5.19","0.0","0.0","0.0","0.0","40.44","70.54","324.31","162.15","283.86","253.77","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","1417.0","0.17","0.77","0.0","6.34","0.77","4.86","0.0","0.0","0.0","0.0","45.31","70.54","324.31","162.15","279.0","253.77","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","1417.0","0.17","0.77","0.0","6.9","0.77","5.29","0.0","0.0","0.0","0.0","50.6","70.54","324.31","162.15","273.71","253.77","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","1417.0","0.17","0.77","0.0","7.39","0.77","5.67","0.0","0.0","0.0","0.0","56.27","70.54","324.31","162.15","268.04","253.77","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","1417.0","0.17","0.77","0.0","7.03","0.77","5.39","0.0","0.0","0.0","0.0","61.66","70.54","324.31","162.15","262.65","253.77","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","1417.0","0.17","0.77","0.0","2.7","0.77","2.07","0.02","0.02","0.0","0.0","63.71","70.54","324.31","162.15","260.6","253.77","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","1417.0","0.16","0.77","0.0","7.01","0.77","5.38","2.18","2.18","0.0","0.0","66.91","70.54","324.31","162.15","257.4","253.77","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","1417.0","0.16","0.77","0.0","7.89","0.77","6.05","0.0","0.0","0.0","0.0","0.0","70.54","324.31","162.15","324.31","253.77","72.96","","","","","","","","",""
"2015.0","6.0","13.0","164.0","1417.0","0.16","0.77","0.0","7.55","0.77","5.82","0.0","0.0","0.0","0.0","5.82","70.54","324.31","162.15","318.49","253.77","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","1417.0","0.16","0.78","0.0","6.8","0.78","5.27","0.0","0.0","0.0","0.0","11.09","70.54","324.31","162.15","313.22","253.77","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","1417.0","0.15","0.78","0.0","6.62","0.78","5.16","0.0","0.0","0.0","0.0","16.25","70.54","324.31","162.15","308.06","253.77","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","1417.0","0.15","0.78","0.0","6.96","0.78","5.45","0.51","0.51","0.0","0.0","21.19","70.54","324.31","162.15","303.12","253.77","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","1417.0","0.15","0.79","0.0","6.97","0.79","5.49","0.0","0.0","0.0","0.0","26.68","70.54","324.31","162.15","297.63","253.77","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","1417.0","0.15","0.79","0.0","7.62","0.79","6.03","0.0","0.0","0.0","0.0","32.7","70.54","324.31","162.15","291.6","253.77","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","1417.0","0.15","0.8","0.0","7.42","0.8","5.9","0.0","0.0","0.0","0.0","38.6","70.54","324.31","162.15","285.7","253.77","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","1417.0","0.14","0.8","0.0","7.06","0.8","5.64","0.0","0.0","0.0","0.0","44.25","70.54","324.31","162.15","280.06","253.77","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","1417.0","0.14","0.8","0.0","7.62","0.8","6.12","0.0","0.0","0.0","0.0","50.37","70.54","324.31","162.15","273.94","253.77","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","1417.0","0.14","0.81","0.0","6.99","0.81","5.64","0.0","0.0","0.0","0.0","56.01","70.54","324.31","162.15","268.3","253.77","0.0","","","","","","","","",""
"2015.0","6.0","23.0","174.0","1417.0","0.14","0.81","0.0","7.4","0.81","6.0","0.0","0.0","0.0","0.0","62.01","70.54","324.31","162.15","262.29","253.77","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","1417.0","0.14","0.82","0.0","7.41","0.82","6.04","0.0","0.0","0.0","0.0","68.05","70.54","324.31","162.15","256.25","253.77","0.0","","","","","","","","",""
