" Daily soil water balance output for Corn in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Corn in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"2015.0","2.0","8.0","39.0","13425.0","1.16","0.0","0.0","1.48","1.16","1.72","13.84","13.84","0.0","0.0","4.29","30.6","435.25","217.63","430.96","404.65","0.0","","","","","","","","",""
"2015.0","2.0","9.0","40.0","13425.0","1.14","0.0","0.0","2.07","1.14","2.35","11.18","6.64","0.0","0.0","0.0","30.6","435.25","217.63","435.25","404.65","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","13425.0","1.14","0.0","0.0","1.86","1.14","2.12","0.0","0.0","0.0","0.0","2.12","30.6","435.25","217.63","433.13","404.65","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","13425.0","1.15","0.0","0.0","1.69","1.15","1.94","0.0","0.0","0.0","0.0","4.06","30.6","435.25","217.63","431.2","404.65","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","13425.0","1.01","0.0","0.0","2.01","1.01","2.02","0.0","0.0","0.0","0.0","6.08","30.6","435.25","217.63","429.17","404.65","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","13425.0","0.89","0.0","0.0","2.06","0.89","1.84","0.0","0.0","0.0","0.0","7.92","30.6","435.25","217.63","427.33","404.65","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","13425.0","0.81","0.0","0.0","2.19","0.81","1.76","0.0","0.0","0.0","0.0","9.69","30.6","435.25","217.63","425.57","404.65","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","13425.0","0.74","0.0","0.0","2.1","0.74","1.56","0.0","0.0","0.0","0.0","11.24","30.6","435.25","217.63","424.01","404.65","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","13425.0","0.69","0.0","0.0","2.08","0.69","1.44","0.0","0.0","0.0","0.0","12.68","30.6","435.25","217.63","422.57","404.65","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","13425.0","0.66","0.0","0.0","1.79","0.66","1.18","0.0","0.0","0.0","0.0","13.86","30.6","435.25","217.63","421.39","404.65","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","13425.0","0.63","0.0","0.0","1.77","0.63","1.11","0.0","0.0","0.0","0.0","14.97","30.6","435.25","217.63","420.28","404.65","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","13425.0","0.61","0.0","0.0","1.04","0.61","0.64","0.0","0.0","0.0","0.0","15.61","30.6","435.25","217.63","419.65","404.65","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","13425.0","0.59","0.0","0.0","1.91","0.59","1.12","0.0","0.0","0.0","0.0","16.73","30.6","435.25","217.63","418.53","404.65","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","13425.0","0.56","0.0","0.0","1.73","0.56","0.98","0.0","0.0","0.0","0.0","17.7","30.6","435.25","217.63","417.55","404.65","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","13425.0","0.53","0.0","0.0","3.17","0.53","1.68","0.0","0.0","0.0","0.0","19.38","30.6","435.25","217.63","415.87","404.65","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","13425.0","0.5","0.0","0.0","3.74","0.5","1.86","0.0","0.0","0.0","0.0","21.24","30.6","435.25","217.63","414.02","404.65","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","13425.0","0.48","0.0","0.0","2.72","0.48","1.29","0.0","0.0","0.0","0.0","22.53","30.6","435.25","217.63","412.72","404.65","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","13425.0","0.46","0.0","0.0","2.16","0.46","1.0","0.0","0.0","0.0","0.0","23.53","30.6","435.25","217.63","411.73","404.65","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","13425.0","0.44","0.0","0.0","2.91","0.44","1.29","0.0","0.0","0.0","0.0","24.82","30.6","435.25","217.63","410.44","404.65","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","13425.0","0.43","0.0","0.0","2.89","0.43","1.24","0.0","0.0","0.0","0.0","26.05","30.6","435.25","217.63","409.2","404.65","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","13425.0","0.42","0.0","0.0","2.1","0.42","0.88","0.0","0.0","0.0","0.0","26.93","30.6","435.25","217.63","408.33","404.65","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","13425.0","0.41","0.0","0.0","2.54","0.41","1.03","0.0","0.0","0.0","0.0","27.96","30.6","435.25","217.63","407.3","404.65","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","13425.0","0.4","0.0","0.0","2.2","0.4","0.87","0.0","0.0","0.0","0.0","28.83","30.6","435.25","217.63","406.42","404.65","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","13425.0","0.39","0.0","0.0","2.5","0.39","0.97","0.31","0.31","0.0","0.0","29.49","30.6","435.25","217.63","405.77","404.65","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","13425.0","0.38","0.0","0.0","2.61","0.38","0.98","0.0","0.0","0.0","0.0","30.47","30.6","435.25","217.63","404.78","404.65","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","13425.0","0.37","0.0","0.0","2.81","0.37","1.03","0.0","0.0","0.0","0.0","31.5","30.6","435.25","217.63","403.75","404.65","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","13425.0","0.36","0.0","0.0","2.99","0.36","1.07","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","13425.0","0.35","0.0","0.0","2.86","0.35","1.0","0.0","0.0","0.0","0.0","31.6","30.6","435.25","217.63","403.66","404.65","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","13425.0","0.34","0.0","0.0","2.91","0.34","0.99","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","13425.0","0.33","0.0","0.0","2.86","0.33","0.95","0.0","0.0","0.0","0.0","31.55","30.6","435.25","217.63","403.7","404.65","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","13425.0","0.33","0.0","0.0","2.39","0.33","0.78","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","13425.0","1.13","0.0","0.0","2.24","1.13","2.53","2.67","2.67","0.0","0.0","30.46","30.6","435.25","217.63","404.79","404.65","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","13425.0","1.11","0.0","0.0","3.32","1.11","3.68","2.08","2.08","0.0","0.0","32.06","30.6","435.25","217.63","403.19","404.65","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","13425.0","0.93","0.0","0.0","3.03","0.93","2.83","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","13425.0","0.79","0.0","0.0","3.33","0.79","2.63","0.0","0.0","0.0","0.0","33.23","30.6","435.25","217.63","402.02","404.65","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","13425.0","0.69","0.0","0.0","3.77","0.69","2.59","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","13425.0","0.64","0.0","0.0","2.61","0.64","1.66","0.0","0.0","0.0","0.0","32.26","30.6","435.25","217.63","402.99","404.65","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","13425.0","0.58","0.0","0.0","3.59","0.58","2.09","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","13425.0","0.54","0.0","0.0","3.75","0.54","2.01","1.28","1.28","0.0","0.0","31.33","30.6","435.25","217.63","403.92","404.65","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","13425.0","0.5","0.0","0.0","3.78","0.5","1.89","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","13425.0","0.48","0.0","0.0","3.08","0.48","1.47","0.0","0.0","0.0","0.0","32.07","30.6","435.25","217.63","403.19","404.65","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","13425.0","0.45","0.0","0.0","3.5","0.45","1.58","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","13425.0","0.43","0.0","0.0","3.12","0.43","1.35","0.0","0.0","0.0","0.0","31.95","30.6","435.25","217.63","403.3","404.65","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","13425.0","0.42","0.0","0.0","3.08","0.42","1.29","0.53","0.53","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","13425.0","0.4","0.0","0.0","3.33","0.4","1.34","0.0","0.0","0.0","0.0","31.94","30.6","435.25","217.63","403.31","404.65","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","13425.0","0.39","0.0","0.0","4.06","0.39","1.56","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","13425.0","0.37","0.0","0.0","3.9","0.37","1.45","0.0","0.0","0.0","0.0","32.05","30.6","435.25","217.63","403.21","404.65","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","13425.0","0.36","0.0","0.0","4.27","0.36","1.52","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","13425.0","0.34","0.0","0.0","4.84","0.34","1.65","0.0","0.0","0.0","0.0","32.25","30.6","435.25","217.63","403.0","404.65","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","13425.0","0.33","0.0","0.0","4.63","0.33","1.52","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","13425.0","0.32","0.0","0.0","4.42","0.32","1.41","0.0","0.0","0.0","0.0","32.01","30.6","435.25","217.63","403.25","404.65","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","13425.0","0.31","0.0","0.0","4.62","0.31","1.43","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","13425.0","0.3","0.0","0.0","4.12","0.3","1.24","0.0","0.0","0.0","0.0","31.84","30.6","435.25","217.63","403.42","404.65","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","13425.0","0.29","0.0","0.0","5.35","0.29","1.55","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","13425.0","0.28","0.0","0.0","4.55","0.28","1.29","0.0","0.0","0.0","0.0","31.89","30.6","435.25","217.63","403.37","404.65","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","13425.0","0.28","0.0","0.0","4.42","0.28","1.22","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","13425.0","0.27","0.0","0.0","2.61","0.27","0.71","0.65","0.65","0.0","0.0","30.66","30.6","435.25","217.63","404.59","404.65","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","13425.0","1.1","0.0","0.0","2.92","1.1","3.22","4.82","4.82","0.0","0.0","25.84","30.6","435.25","217.63","409.41","404.65","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","13425.0","1.11","0.0","0.0","2.82","1.11","3.12","3.41","3.41","0.0","0.0","25.55","30.6","435.25","217.63","409.7","404.65","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","13425.0","1.1","0.0","0.0","3.06","1.1","3.36","6.61","6.61","0.0","0.0","22.3","30.6","435.25","217.63","412.95","404.65","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","13425.0","1.06","0.0","0.0","3.49","1.06","3.7","0.0","0.0","0.0","0.0","26.0","30.6","435.25","217.63","409.25","404.65","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","13425.0","0.83","0.0","0.0","4.07","0.83","3.37","0.0","0.0","0.0","0.0","29.37","30.6","435.25","217.63","405.88","404.65","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","13425.0","0.7","0.0","0.0","4.2","0.7","2.94","0.0","0.0","0.0","0.0","32.31","30.6","435.25","217.63","402.94","404.65","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","13425.0","0.61","0.0","0.0","4.8","0.61","2.9","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","13425.0","0.54","0.0","0.0","4.68","0.54","2.54","0.0","0.0","0.0","0.0","33.14","30.6","435.25","217.63","402.12","404.65","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","13425.0","0.49","0.0","0.0","4.89","0.49","2.42","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","13425.0","0.45","0.0","0.0","6.17","0.45","2.76","0.0","0.0","0.0","0.0","33.36","30.6","435.25","217.63","401.9","404.65","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","13425.0","0.41","0.0","0.0","5.75","0.41","2.37","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","13425.0","0.39","0.0","0.0","5.26","0.39","2.04","0.0","0.0","0.0","0.0","32.64","30.6","435.25","217.63","402.61","404.65","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","13425.0","0.37","0.0","0.0","4.83","0.37","1.78","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","13425.0","0.35","0.0","0.0","4.94","0.35","1.74","0.0","0.0","0.0","0.0","32.34","30.6","435.25","217.63","402.91","404.65","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","13425.0","0.34","0.0","0.0","4.55","0.34","1.54","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","13425.0","0.33","0.0","0.0","3.69","0.33","1.22","0.0","0.0","0.0","0.0","31.82","30.6","435.25","217.63","403.44","404.65","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","13425.0","0.32","0.0","0.0","4.06","0.32","1.3","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","13425.0","0.31","0.0","0.0","4.61","0.31","1.43","0.0","0.0","0.0","0.0","32.03","30.6","435.25","217.63","403.23","404.65","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","13425.0","0.3","0.0","0.0","4.98","0.3","1.49","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","13425.0","1.06","0.0","0.0","3.96","1.06","4.2","7.89","7.89","0.0","0.0","26.91","30.6","435.25","217.63","408.34","404.65","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","13425.0","0.88","0.0","0.0","5.06","0.88","4.47","0.0","0.0","0.0","0.0","31.38","30.6","435.25","217.63","403.87","404.65","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","13425.0","0.68","0.0","0.0","5.85","0.68","3.99","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","13425.0","0.58","0.0","0.0","5.37","0.58","3.13","0.0","0.0","0.0","0.0","33.73","30.6","435.25","217.63","401.52","404.65","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","13425.0","0.52","0.0","0.0","5.19","0.52","2.7","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","13425.0","0.46","0.0","0.0","6.36","0.46","2.94","0.0","0.0","0.0","0.0","33.54","30.6","435.25","217.63","401.71","404.65","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","13425.0","0.42","0.2","0.0","6.3","0.42","2.66","0.0","0.0","0.0","0.0","36.2","86.64","435.25","217.63","399.05","348.61","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","13425.0","0.39","0.2","0.0","5.65","0.39","2.22","0.0","0.0","0.0","0.0","38.42","86.64","435.25","217.63","396.83","348.61","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","13425.0","0.37","0.2","0.0","4.95","0.37","1.85","0.0","0.0","0.0","0.0","40.27","86.64","435.25","217.63","394.98","348.61","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","13425.0","0.36","0.2","0.0","4.62","0.36","1.65","0.0","0.0","0.0","0.0","41.92","86.64","435.25","217.63","393.33","348.61","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","13425.0","0.34","0.2","0.0","4.71","0.34","1.61","0.0","0.0","0.0","0.0","43.54","86.64","435.25","217.63","391.72","348.61","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","13425.0","0.33","0.2","0.0","4.99","0.33","1.64","0.0","0.0","0.0","0.0","45.18","86.64","435.25","217.63","390.07","348.61","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","13425.0","0.32","0.2","0.0","3.32","0.32","1.07","0.0","0.0","0.0","0.0","46.25","86.64","435.25","217.63","389.01","348.61","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","13425.0","0.31","0.2","0.0","4.33","0.31","1.35","0.3","0.3","0.0","0.0","47.3","86.64","435.25","217.63","387.95","348.61","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","13425.0","0.3","0.2","0.0","4.75","0.3","1.44","0.0","0.0","0.0","0.0","48.74","86.64","435.25","217.63","386.52","348.61","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","13425.0","0.29","0.2","0.0","4.97","0.29","1.45","0.0","0.0","0.0","0.0","50.19","86.64","435.25","217.63","385.06","348.61","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","13425.0","0.28","0.2","0.0","4.98","0.28","1.41","0.0","0.0","0.0","0.0","51.61","86.64","435.25","217.63","383.65","348.61","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","13425.0","0.28","0.2","0.0","4.94","0.28","1.36","0.0","0.0","0.0","0.0","52.97","86.64","435.25","217.63","382.28","348.61","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","13425.0","0.27","0.2","0.0","4.64","0.27","1.25","0.0","0.0","0.0","0.0","54.22","86.64","435.25","217.63","381.03","348.61","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","13425.0","0.27","0.2","0.0","3.04","0.27","0.81","0.0","0.0","0.0","0.0","55.03","86.64","435.25","217.63","380.23","348.61","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","13425.0","0.26","0.2","0.0","4.56","0.26","1.19","3.66","3.66","0.0","0.0","52.55","86.64","435.25","217.63","382.7","348.61","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","13425.0","0.25","0.2","0.0","4.67","0.25","1.19","0.0","0.0","0.0","0.0","53.74","86.64","435.25","217.63","381.51","348.61","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","13425.0","0.25","0.2","0.0","3.98","0.25","0.99","0.0","0.0","0.0","0.0","54.74","86.64","435.25","217.63","380.52","348.61","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","13425.0","0.24","0.2","0.0","4.71","0.24","1.15","0.0","0.0","0.0","0.0","55.89","86.64","435.25","217.63","379.37","348.61","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","13425.0","0.24","0.2","0.0","4.89","0.24","1.17","0.0","0.0","0.0","0.0","57.06","86.64","435.25","217.63","378.19","348.61","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","13425.0","0.24","0.2","0.0","4.74","0.24","1.11","0.0","0.0","0.0","0.0","58.17","86.64","435.25","217.63","377.08","348.61","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","13425.0","0.23","0.2","0.0","4.02","0.23","0.93","0.0","0.0","0.0","0.0","59.11","86.64","435.25","217.63","376.15","348.61","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","13425.0","0.23","0.2","0.0","4.76","0.23","1.08","0.0","0.0","0.0","0.0","60.19","86.64","435.25","217.63","375.07","348.61","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","13425.0","0.22","0.2","0.0","4.73","0.22","1.06","0.0","0.0","0.0","0.0","61.25","86.64","435.25","217.63","374.01","348.61","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","13425.0","0.22","0.2","0.0","5.3","0.22","1.16","0.0","0.0","0.0","0.0","62.41","86.64","435.25","217.63","372.85","348.61","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","13425.0","0.22","0.2","0.0","5.22","0.22","1.12","0.0","0.0","0.0","0.0","63.53","86.64","435.25","217.63","371.72","348.61","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","13425.0","0.21","0.2","0.0","5.23","0.21","1.11","0.0","0.0","0.0","0.0","64.64","86.64","435.25","217.63","370.61","348.61","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","13425.0","0.21","0.2","0.0","5.27","0.21","1.1","0.0","0.0","0.0","0.0","65.74","86.64","435.25","217.63","369.52","348.61","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","13425.0","0.2","0.2","0.0","5.16","0.2","1.06","0.0","0.0","0.0","0.0","66.79","86.64","435.25","217.63","368.46","348.61","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","13425.0","0.2","0.2","0.0","5.83","0.2","1.17","0.0","0.0","0.0","0.0","67.97","86.64","435.25","217.63","367.29","348.61","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","13425.0","0.2","0.2","0.0","6.13","0.2","1.23","0.0","0.0","0.0","0.0","69.19","86.64","435.25","217.63","366.06","348.61","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","13425.0","0.19","0.2","0.0","5.1","0.2","1.02","0.0","0.0","0.0","0.0","70.21","86.64","435.25","217.63","365.04","348.61","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","13425.0","0.19","0.22","0.0","5.33","0.22","1.19","0.0","0.0","0.0","0.0","71.4","86.64","435.25","217.63","363.86","348.61","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","13425.0","0.19","0.24","0.0","5.55","0.24","1.36","0.0","0.0","0.0","0.0","72.76","86.64","435.25","217.63","362.5","348.61","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","13425.0","0.19","0.27","0.0","5.22","0.27","1.39","0.0","0.0","0.0","0.0","74.15","86.64","435.25","217.63","361.1","348.61","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","13425.0","0.18","0.29","0.0","5.69","0.29","1.65","0.0","0.0","0.0","0.0","75.8","86.64","435.25","217.63","359.46","348.61","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","13425.0","0.18","0.31","0.0","6.41","0.31","2.0","0.0","0.0","0.0","0.0","77.8","86.64","435.25","217.63","357.46","348.61","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","13425.0","0.18","0.33","0.0","6.08","0.33","2.03","0.0","0.0","0.0","0.0","79.83","86.64","435.25","217.63","355.42","348.61","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","13425.0","0.18","0.36","0.0","6.53","0.36","2.33","0.0","0.0","0.0","0.0","82.16","86.64","435.25","217.63","353.1","348.61","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","13425.0","0.17","0.38","0.0","7.19","0.38","2.72","0.0","0.0","0.0","0.0","84.88","86.64","435.25","217.63","350.37","348.61","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","13425.0","0.17","0.4","0.0","6.4","0.4","2.57","0.0","0.0","0.0","0.0","0.0","86.64","435.25","217.63","435.25","348.61","87.45","","","","","","","","",""
"2015.0","6.0","10.0","161.0","13425.0","0.17","0.42","0.0","2.74","0.42","1.16","0.19","0.19","0.0","0.0","0.97","86.64","435.25","217.63","434.28","348.61","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","13425.0","0.17","0.45","0.0","6.69","0.45","2.98","3.14","3.14","0.0","0.0","0.81","86.64","435.25","217.63","434.44","348.61","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","13425.0","0.16","0.47","0.0","7.43","0.47","3.48","0.0","0.0","0.0","0.0","4.3","86.64","435.25","217.63","430.96","348.61","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","13425.0","0.16","0.49","0.0","7.13","0.49","3.5","0.0","0.0","0.0","0.0","7.79","86.64","435.25","217.63","427.46","348.61","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","13425.0","0.16","0.51","0.0","6.37","0.51","3.27","0.0","0.0","0.0","0.0","11.06","86.64","435.25","217.63","424.19","348.61","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","13425.0","0.16","0.54","0.0","6.19","0.54","3.31","0.0","0.0","0.0","0.0","14.38","86.64","435.25","217.63","420.88","348.61","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","13425.0","0.16","0.56","0.0","6.63","0.56","3.7","3.09","3.09","0.0","0.0","14.99","86.64","435.25","217.63","420.27","348.61","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","13425.0","0.15","0.58","0.0","6.67","0.58","3.87","0.0","0.0","0.0","0.0","18.86","86.64","435.25","217.63","416.4","348.61","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","13425.0","0.15","0.6","0.0","7.15","0.6","4.31","0.0","0.0","0.0","0.0","23.17","86.64","435.25","217.63","412.09","348.61","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","13425.0","0.15","0.63","0.0","7.13","0.63","4.46","0.0","0.0","0.0","0.0","27.62","86.64","435.25","217.63","407.63","348.61","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","13425.0","0.15","0.65","0.0","6.67","0.65","4.32","0.0","0.0","0.0","0.0","31.94","86.64","435.25","217.63","403.31","348.61","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","13425.0","0.15","0.67","0.0","7.12","0.67","4.77","0.0","0.0","0.0","0.0","36.71","86.64","435.25","217.63","398.55","348.61","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","13425.0","0.15","0.69","0.0","6.69","0.69","4.63","0.0","0.0","0.0","0.0","41.34","86.64","435.25","217.63","393.92","348.61","0.0","","","","","","","","",""
"2015.0","6.0","23.0","174.0","13425.0","0.14","0.71","0.0","7.08","0.71","5.06","0.0","0.0","0.0","0.0","46.4","86.64","435.25","217.63","388.86","348.61","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","13425.0","0.14","0.74","0.0","7.0","0.74","5.16","0.0","0.0","0.0","0.0","51.56","86.64","435.25","217.63","383.7","348.61","0.0","","","","","","","","",""
