" Daily soil water balance output for Other Deciduous in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Other Deciduous at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"2015.0","2.0","9.0","40.0","391.0","1.14","0.0","0.0","2.11","1.14","2.4","13.89","2.89","0.0","0.0","0.0","21.6","307.24","153.62","307.24","285.64","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","391.0","1.14","0.0","0.0","1.9","1.14","2.17","0.0","0.0","0.0","0.0","2.17","21.6","307.24","153.62","305.07","285.64","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","391.0","1.14","0.0","0.0","1.76","1.14","2.01","0.0","0.0","0.0","0.0","4.18","21.6","307.24","153.62","303.06","285.64","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","391.0","0.99","0.0","0.0","2.06","0.99","2.05","0.0","0.0","0.0","0.0","6.22","21.6","307.24","153.62","301.02","285.64","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","391.0","0.88","0.0","0.0","2.11","0.88","1.86","0.0","0.0","0.0","0.0","8.08","21.6","307.24","153.62","299.16","285.64","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","391.0","0.8","0.0","0.0","2.23","0.8","1.77","0.0","0.0","0.0","0.0","9.85","21.6","307.24","153.62","297.38","285.64","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","391.0","0.73","0.0","0.0","2.13","0.73","1.56","0.0","0.0","0.0","0.0","11.42","21.6","307.24","153.62","295.82","285.64","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","391.0","0.69","0.0","0.0","2.07","0.69","1.42","0.0","0.0","0.0","0.0","12.84","21.6","307.24","153.62","294.4","285.64","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","391.0","0.65","0.0","0.0","1.78","0.65","1.16","0.0","0.0","0.0","0.0","14.0","21.6","307.24","153.62","293.24","285.64","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","391.0","0.62","0.0","0.0","1.83","0.62","1.14","0.0","0.0","0.0","0.0","15.13","21.6","307.24","153.62","292.11","285.64","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","391.0","0.6","0.0","0.0","1.16","0.6","0.7","0.0","0.0","0.0","0.0","15.83","21.6","307.24","153.62","291.4","285.64","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","391.0","0.58","0.0","0.0","1.9","0.58","1.1","0.0","0.0","0.0","0.0","16.93","21.6","307.24","153.62","290.3","285.64","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","391.0","0.56","0.0","0.0","1.8","0.56","1.0","0.0","0.0","0.0","0.0","17.94","21.6","307.24","153.62","289.3","285.64","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","391.0","0.53","0.0","0.0","2.86","0.53","1.51","0.0","0.0","0.0","0.0","19.45","21.6","307.24","153.62","287.79","285.64","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","391.0","0.5","0.0","0.0","3.4","0.5","1.69","0.0","0.0","0.0","0.0","21.14","21.6","307.24","153.62","286.1","285.64","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","391.0","0.48","0.0","0.0","2.7","0.48","1.29","0.0","0.0","0.0","0.0","22.42","21.6","307.24","153.62","284.81","285.64","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","391.0","0.46","0.0","0.0","2.19","0.46","1.01","0.0","0.0","0.0","0.0","21.6","21.6","307.24","153.62","285.64","285.64","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","391.0","0.44","0.0","0.0","2.85","0.44","1.27","0.0","0.0","0.0","0.0","22.87","21.6","307.24","153.62","284.37","285.64","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","391.0","0.43","0.0","0.0","2.91","0.43","1.25","0.0","0.0","0.0","0.0","21.6","21.6","307.24","153.62","285.64","285.64","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","391.0","0.42","0.0","0.0","2.05","0.42","0.86","0.0","0.0","0.0","0.0","22.46","21.6","307.24","153.62","284.78","285.64","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","391.0","0.41","0.0","0.0","2.5","0.41","1.02","0.02","0.02","0.0","0.0","21.6","21.6","307.24","153.62","285.64","285.64","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","391.0","0.4","0.0","0.0","2.14","0.4","0.85","0.0","0.0","0.0","0.0","22.45","21.6","307.24","153.62","284.79","285.64","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","391.0","0.39","0.5","0.0","2.47","0.5","1.24","0.02","0.02","0.0","0.0","23.67","69.27","307.24","153.62","283.57","237.97","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","391.0","0.38","0.5","0.0","2.62","0.5","1.32","0.0","0.0","0.0","0.0","24.98","69.27","307.24","153.62","282.26","237.97","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","391.0","0.37","0.5","0.0","2.83","0.5","1.43","0.0","0.0","0.0","0.0","26.41","69.27","307.24","153.62","280.83","237.97","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","391.0","0.36","0.51","0.0","3.01","0.51","1.53","0.0","0.0","0.0","0.0","27.94","69.27","307.24","153.62","279.3","237.97","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","391.0","0.35","0.51","0.0","2.91","0.51","1.48","0.0","0.0","0.0","0.0","29.42","69.27","307.24","153.62","277.82","237.97","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","391.0","0.34","0.51","0.0","2.92","0.51","1.5","0.0","0.0","0.0","0.0","30.92","69.27","307.24","153.62","276.32","237.97","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","391.0","0.33","0.51","0.0","2.84","0.51","1.46","0.0","0.0","0.0","0.0","32.38","69.27","307.24","153.62","274.86","237.97","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","391.0","0.33","0.52","0.0","2.41","0.52","1.25","0.0","0.0","0.0","0.0","33.63","69.27","307.24","153.62","273.61","237.97","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","391.0","1.14","0.52","0.0","2.12","1.14","2.41","2.84","2.84","0.0","0.0","33.19","69.27","307.24","153.62","274.04","237.97","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","391.0","1.09","0.52","0.0","3.28","1.09","3.57","3.22","3.22","0.0","0.0","33.55","69.27","307.24","153.62","273.69","237.97","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","391.0","1.08","0.52","0.0","3.05","1.08","3.3","0.0","0.0","0.0","0.0","36.84","69.27","307.24","153.62","270.4","237.97","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","391.0","0.86","0.53","0.0","3.51","0.86","3.04","0.0","0.0","0.0","0.0","39.88","69.27","307.24","153.62","267.36","237.97","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","391.0","0.73","0.53","0.0","3.83","0.73","2.8","0.0","0.0","0.0","0.0","42.68","69.27","307.24","153.62","264.56","237.97","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","391.0","0.67","0.53","0.0","2.77","0.67","1.85","0.0","0.0","0.0","0.0","44.53","69.27","307.24","153.62","262.71","237.97","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","391.0","0.61","0.53","0.0","3.6","0.61","2.18","0.0","0.0","0.0","0.0","46.71","69.27","307.24","153.62","260.53","237.97","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","391.0","0.56","0.54","0.0","3.7","0.56","2.06","0.0","0.0","0.0","0.0","48.77","69.27","307.24","153.62","258.47","237.97","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","391.0","0.52","0.54","0.0","3.73","0.54","2.01","0.0","0.0","0.0","0.0","50.78","69.27","307.24","153.62","256.46","237.97","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","391.0","0.49","0.54","0.0","3.13","0.54","1.7","0.0","0.0","0.0","0.0","52.48","69.27","307.24","153.62","254.76","237.97","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","391.0","0.46","0.54","0.0","3.46","0.54","1.88","0.0","0.0","0.0","0.0","54.36","69.27","307.24","153.62","252.88","237.97","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","391.0","0.45","0.55","0.0","2.95","0.55","1.61","0.0","0.0","0.0","0.0","55.98","69.27","307.24","153.62","251.26","237.97","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","391.0","0.43","0.55","0.0","3.01","0.55","1.65","0.09","0.09","0.0","0.0","57.54","69.27","307.24","153.62","249.7","237.97","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","391.0","0.41","0.55","0.0","3.29","0.55","1.82","0.0","0.0","0.0","0.0","59.36","69.27","307.24","153.62","247.88","237.97","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","391.0","0.39","0.55","0.0","3.98","0.55","2.21","0.0","0.0","0.0","0.0","61.56","69.27","307.24","153.62","245.67","237.97","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","391.0","0.38","0.56","0.0","3.89","0.56","2.17","0.0","0.0","0.0","0.0","63.73","69.27","307.24","153.62","243.51","237.97","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","391.0","0.36","0.56","0.0","4.2","0.56","2.35","0.0","0.0","0.0","0.0","66.08","69.27","307.24","153.62","241.16","237.97","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","391.0","0.35","0.56","0.0","4.77","0.56","2.68","0.0","0.0","0.0","0.0","68.76","69.27","307.24","153.62","238.48","237.97","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","391.0","0.34","0.56","0.0","4.58","0.56","2.59","0.0","0.0","0.0","0.0","0.0","69.27","307.24","153.62","307.24","237.97","71.35","","","","","","","","",""
"2015.0","3.0","30.0","89.0","391.0","0.32","0.57","0.0","4.37","0.57","2.48","0.0","0.0","0.0","0.0","2.48","69.27","307.24","153.62","304.76","237.97","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","391.0","0.31","0.57","0.0","4.56","0.57","2.6","0.0","0.0","0.0","0.0","5.07","69.27","307.24","153.62","302.16","237.97","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","391.0","0.31","0.57","0.0","4.09","0.57","2.34","0.0","0.0","0.0","0.0","7.41","69.27","307.24","153.62","299.83","237.97","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","391.0","0.3","0.57","0.0","5.22","0.57","3.0","0.0","0.0","0.0","0.0","10.41","69.27","307.24","153.62","296.83","237.97","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","391.0","0.29","0.58","0.0","4.53","0.58","2.61","0.0","0.0","0.0","0.0","13.02","69.27","307.24","153.62","294.21","237.97","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","391.0","0.28","0.58","0.0","4.37","0.58","2.53","0.0","0.0","0.0","0.0","15.56","69.27","307.24","153.62","291.68","237.97","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","391.0","0.28","0.58","0.0","2.64","0.58","1.54","0.82","0.82","0.0","0.0","16.27","69.27","307.24","153.62","290.97","237.97","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","391.0","0.27","0.58","0.0","2.87","0.58","1.68","1.69","1.69","0.0","0.0","16.26","69.27","307.24","153.62","290.98","237.97","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","391.0","1.11","0.59","0.0","2.84","1.11","3.14","3.8","3.8","0.0","0.0","15.6","69.27","307.24","153.62","291.64","237.97","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","391.0","1.09","0.59","0.0","3.15","1.09","3.45","4.57","4.57","0.0","0.0","14.48","69.27","307.24","153.62","292.76","237.97","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","391.0","1.05","0.59","0.0","3.48","1.05","3.66","0.0","0.0","0.0","0.0","18.14","69.27","307.24","153.62","289.1","237.97","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","391.0","0.83","0.59","0.0","4.04","0.83","3.34","0.0","0.0","0.0","0.0","21.48","69.27","307.24","153.62","285.76","237.97","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","391.0","0.7","0.6","0.0","4.18","0.7","2.92","0.0","0.0","0.0","0.0","24.4","69.27","307.24","153.62","282.84","237.97","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","391.0","0.61","0.6","0.0","4.74","0.61","2.87","0.0","0.0","0.0","0.0","27.27","69.27","307.24","153.62","279.97","237.97","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","391.0","0.54","0.6","0.0","4.61","0.6","2.77","0.0","0.0","0.0","0.0","30.04","69.27","307.24","153.62","277.19","237.97","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","391.0","0.49","0.6","0.0","4.9","0.6","2.96","0.0","0.0","0.0","0.0","33.0","69.27","307.24","153.62","274.23","237.97","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","391.0","0.45","0.61","0.0","5.96","0.61","3.62","0.0","0.0","0.0","0.0","36.62","69.27","307.24","153.62","270.62","237.97","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","391.0","0.42","0.61","0.0","5.56","0.61","3.39","0.0","0.0","0.0","0.0","40.01","69.27","307.24","153.62","267.23","237.97","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","391.0","0.39","0.61","0.0","5.25","0.61","3.21","0.0","0.0","0.0","0.0","43.22","69.27","307.24","153.62","264.02","237.97","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","391.0","0.37","0.61","0.0","4.79","0.61","2.94","0.0","0.0","0.0","0.0","46.16","69.27","307.24","153.62","261.08","237.97","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","391.0","0.36","0.62","0.0","4.84","0.62","2.98","0.0","0.0","0.0","0.0","49.14","69.27","307.24","153.62","258.1","237.97","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","391.0","0.34","0.62","0.0","4.45","0.62","2.75","0.0","0.0","0.0","0.0","51.9","69.27","307.24","153.62","255.34","237.97","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","391.0","0.33","0.62","0.0","3.69","0.62","2.29","0.0","0.0","0.0","0.0","54.19","69.27","307.24","153.62","253.05","237.97","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","391.0","0.32","0.62","0.0","4.06","0.62","2.53","0.0","0.0","0.0","0.0","56.72","69.27","307.24","153.62","250.51","237.97","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","391.0","0.31","0.63","0.0","4.55","0.63","2.85","0.0","0.0","0.0","0.0","59.57","69.27","307.24","153.62","247.66","237.97","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","391.0","0.3","0.63","0.0","4.92","0.63","3.09","0.0","0.0","0.0","0.0","62.67","69.27","307.24","153.62","244.57","237.97","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","391.0","0.29","0.63","0.0","4.04","0.63","2.55","4.04","4.04","0.0","0.0","61.18","69.27","307.24","153.62","246.06","237.97","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","391.0","0.29","0.63","0.0","5.0","0.63","3.17","0.0","0.0","0.0","0.0","64.35","69.27","307.24","153.62","242.89","237.97","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","391.0","0.28","0.64","0.0","5.7","0.64","3.63","0.0","0.0","0.0","0.0","67.98","69.27","307.24","153.62","239.26","237.97","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","391.0","0.27","0.64","0.0","5.31","0.64","3.39","0.0","0.0","0.0","0.0","0.0","69.27","307.24","153.62","307.24","237.97","71.37","","","","","","","","",""
"2015.0","4.0","29.0","119.0","391.0","0.26","0.64","0.0","5.12","0.64","3.28","0.0","0.0","0.0","0.0","3.28","69.27","307.24","153.62","303.95","237.97","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","391.0","0.25","0.64","0.0","6.3","0.64","4.06","0.0","0.0","0.0","0.0","7.34","69.27","307.24","153.62","299.9","237.97","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","391.0","0.25","0.65","0.0","6.17","0.65","3.99","0.0","0.0","0.0","0.0","11.33","69.27","307.24","153.62","295.91","237.97","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","391.0","0.24","0.65","0.0","5.52","0.65","3.58","0.0","0.0","0.0","0.0","14.91","69.27","307.24","153.62","292.33","237.97","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","391.0","0.24","0.65","0.0","4.85","0.65","3.16","0.0","0.0","0.0","0.0","18.07","69.27","307.24","153.62","289.17","237.97","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","391.0","0.23","0.65","0.0","4.57","0.65","2.99","0.0","0.0","0.0","0.0","21.05","69.27","307.24","153.62","286.18","237.97","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","391.0","0.23","0.66","0.0","4.68","0.66","3.07","0.0","0.0","0.0","0.0","24.13","69.27","307.24","153.62","283.11","237.97","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","391.0","0.22","0.66","0.0","4.88","0.66","3.21","0.0","0.0","0.0","0.0","27.34","69.27","307.24","153.62","279.9","237.97","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","391.0","0.22","0.66","0.0","3.03","0.66","2.0","0.0","0.0","0.0","0.0","29.34","69.27","307.24","153.62","277.9","237.97","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","391.0","0.22","0.66","0.0","4.27","0.66","2.83","1.21","1.21","0.0","0.0","30.97","69.27","307.24","153.62","276.27","237.97","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","391.0","0.21","0.67","0.0","4.65","0.67","3.1","0.0","0.0","0.0","0.0","34.06","69.27","307.24","153.62","273.17","237.97","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","391.0","0.21","0.67","0.0","4.94","0.67","3.3","0.0","0.0","0.0","0.0","37.37","69.27","307.24","153.62","269.87","237.97","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","391.0","0.21","0.67","0.0","4.97","0.67","3.34","0.0","0.0","0.0","0.0","40.7","69.27","307.24","153.62","266.54","237.97","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","391.0","0.2","0.67","0.0","4.93","0.67","3.32","0.0","0.0","0.0","0.0","44.02","69.27","307.24","153.62","263.22","237.97","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","391.0","0.2","0.68","0.0","4.61","0.68","3.12","0.0","0.0","0.0","0.0","47.14","69.27","307.24","153.62","260.1","237.97","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","391.0","0.2","0.68","0.0","3.0","0.68","2.04","0.0","0.0","0.0","0.0","49.17","69.27","307.24","153.62","258.06","237.97","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","391.0","1.04","0.68","0.0","4.53","1.04","4.71","11.7","11.7","0.0","0.0","42.18","69.27","307.24","153.62","265.06","237.97","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","391.0","0.88","0.68","0.0","4.61","0.88","4.04","0.0","0.0","0.0","0.0","46.22","69.27","307.24","153.62","261.02","237.97","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","391.0","0.74","0.69","0.0","3.94","0.74","2.9","0.0","0.0","0.0","0.0","49.11","69.27","307.24","153.62","258.12","237.97","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","391.0","0.63","0.69","0.0","4.69","0.69","3.23","0.0","0.0","0.0","0.0","52.34","69.27","307.24","153.62","254.9","237.97","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","391.0","0.56","0.69","0.0","4.84","0.69","3.34","0.0","0.0","0.0","0.0","55.69","69.27","307.24","153.62","251.55","237.97","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","391.0","0.51","0.69","0.0","4.67","0.69","3.24","0.0","0.0","0.0","0.0","58.93","69.27","307.24","153.62","248.31","237.97","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","391.0","0.47","0.7","0.0","4.2","0.7","2.92","0.0","0.0","0.0","0.0","61.85","69.27","307.24","153.62","245.39","237.97","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","391.0","0.44","0.7","0.0","4.77","0.7","3.33","0.0","0.0","0.0","0.0","65.18","69.27","307.24","153.62","242.06","237.97","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","391.0","0.41","0.7","0.0","4.69","0.7","3.29","0.0","0.0","0.0","0.0","68.47","69.27","307.24","153.62","238.77","237.97","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","391.0","0.39","0.7","0.0","5.17","0.7","3.64","0.0","0.0","0.0","0.0","0.0","69.27","307.24","153.62","307.24","237.97","72.1","","","","","","","","",""
"2015.0","5.0","25.0","145.0","391.0","0.37","0.71","0.0","5.17","0.71","3.65","0.0","0.0","0.0","0.0","3.65","69.27","307.24","153.62","303.59","237.97","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","391.0","0.35","0.71","0.0","5.18","0.71","3.67","0.0","0.0","0.0","0.0","7.32","69.27","307.24","153.62","299.92","237.97","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","391.0","0.34","0.71","0.0","5.24","0.71","3.72","0.0","0.0","0.0","0.0","11.04","69.27","307.24","153.62","296.2","237.97","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","391.0","0.32","0.71","0.0","5.12","0.71","3.65","0.0","0.0","0.0","0.0","14.69","69.27","307.24","153.62","292.54","237.97","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","391.0","0.31","0.72","0.0","5.74","0.72","4.11","0.0","0.0","0.0","0.0","18.8","69.27","307.24","153.62","288.44","237.97","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","391.0","0.3","0.72","0.0","6.09","0.72","4.37","0.0","0.0","0.0","0.0","23.18","69.27","307.24","153.62","284.06","237.97","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","391.0","0.29","0.72","0.0","5.25","0.72","3.78","0.0","0.0","0.0","0.0","26.96","69.27","307.24","153.62","280.28","237.97","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","391.0","0.28","0.72","0.0","5.51","0.72","3.98","0.0","0.0","0.0","0.0","30.94","69.27","307.24","153.62","276.29","237.97","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","391.0","0.27","0.73","0.0","5.52","0.73","4.01","0.0","0.0","0.0","0.0","34.95","69.27","307.24","153.62","272.29","237.97","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","391.0","0.26","0.73","0.0","5.25","0.73","3.82","0.0","0.0","0.0","0.0","38.77","69.27","307.24","153.62","268.47","237.97","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","391.0","0.26","0.73","0.0","5.59","0.73","4.08","0.0","0.0","0.0","0.0","42.86","69.27","307.24","153.62","264.38","237.97","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","391.0","0.25","0.73","0.0","6.19","0.73","4.54","0.0","0.0","0.0","0.0","47.39","69.27","307.24","153.62","259.85","237.97","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","391.0","0.24","0.74","0.0","6.0","0.74","4.41","0.0","0.0","0.0","0.0","51.81","69.27","307.24","153.62","255.43","237.97","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","391.0","0.23","0.74","0.0","6.42","0.74","4.74","0.0","0.0","0.0","0.0","56.54","69.27","307.24","153.62","250.69","237.97","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","391.0","0.23","0.74","0.0","7.13","0.74","5.28","0.0","0.0","0.0","0.0","61.82","69.27","307.24","153.62","245.41","237.97","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","391.0","0.22","0.74","0.0","6.15","0.74","4.57","0.0","0.0","0.0","0.0","66.39","69.27","307.24","153.62","240.85","237.97","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","391.0","0.22","0.75","0.0","2.9","0.75","2.16","0.76","0.76","0.0","0.0","67.8","69.27","307.24","153.62","239.44","237.97","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","391.0","0.22","0.75","0.0","6.56","0.75","4.91","3.16","3.16","0.0","0.0","0.0","69.27","307.24","153.62","307.24","237.97","69.54","","","","","","","","",""
"2015.0","6.0","12.0","163.0","391.0","0.21","0.75","0.0","7.25","0.75","5.44","0.0","0.0","0.0","0.0","5.44","69.27","307.24","153.62","301.8","237.97","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","391.0","0.21","0.75","0.0","7.01","0.75","5.28","0.0","0.0","0.0","0.0","10.72","69.27","307.24","153.62","296.52","237.97","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","391.0","0.2","0.76","0.0","6.27","0.76","4.74","0.0","0.0","0.0","0.0","15.45","69.27","307.24","153.62","291.78","237.97","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","391.0","0.2","0.76","0.0","6.1","0.76","4.62","0.0","0.0","0.0","0.0","20.08","69.27","307.24","153.62","287.16","237.97","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","391.0","0.19","0.76","0.0","6.47","0.76","4.92","0.0","0.0","0.0","0.0","25.0","69.27","307.24","153.62","282.24","237.97","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","391.0","0.19","0.76","0.0","6.61","0.76","5.04","0.0","0.0","0.0","0.0","30.04","69.27","307.24","153.62","277.2","237.97","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","391.0","0.19","0.77","0.0","6.97","0.77","5.33","0.0","0.0","0.0","0.0","35.37","69.27","307.24","153.62","271.87","237.97","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","391.0","0.18","0.77","0.0","6.99","0.77","5.37","0.0","0.0","0.0","0.0","40.74","69.27","307.24","153.62","266.5","237.97","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","391.0","0.18","0.77","0.0","6.55","0.77","5.05","0.0","0.0","0.0","0.0","45.78","69.27","307.24","153.62","261.45","237.97","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","391.0","0.18","0.77","0.0","7.0","0.77","5.41","0.0","0.0","0.0","0.0","51.19","69.27","307.24","153.62","256.04","237.97","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","391.0","0.17","0.78","0.0","6.6","0.78","5.12","0.0","0.0","0.0","0.0","56.31","69.27","307.24","153.62","250.93","237.97","0.0","","","","","","","","",""
"2015.0","6.0","23.0","174.0","391.0","0.17","0.78","0.0","6.94","0.78","5.4","0.0","0.0","0.0","0.0","61.71","69.27","307.24","153.62","245.53","237.97","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","391.0","0.17","0.78","0.0","6.83","0.78","5.33","0.0","0.0","0.0","0.0","67.04","69.27","307.24","153.62","240.2","237.97","0.0","","","","","","","","",""
"2015.0","6.0","25.0","176.0","391.0","0.17","0.78","0.0","7.59","0.78","5.94","0.0","0.0","0.0","0.0","0.0","69.27","307.24","153.62","307.24","237.97","72.98","","","","","","","","",""
"2015.0","6.0","26.0","177.0","391.0","0.16","0.79","0.0","7.7","0.79","6.05","0.0","0.0","0.0","0.0","6.05","69.27","307.24","153.62","301.19","237.97","0.0","","","","","","","","",""
